Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA,week,year,game_id
1.0,4:08,2.0,1.0,ATL 39,3.0,3.0,Kirk Cousins pass short middle intended for Drake London is intercepted by DeShon Elliott at PIT-49 and returned for no gain,1.61,-2.19,1.0,2024,3
1.0,4:02,1.0,10.0,PIT 49,3.0,3.0,Justin Fields pass complete short right to George Pickens for -5 yards (tackle by James Smith-Williams),2.19,0.97,1.0,2024,3
1.0,3:23,2.0,15.0,PIT 44,3.0,3.0,Justin Fields scrambles right tackle for 3 yards (tackle by Troy Andersen and James Smith-Williams),0.97,0.7,1.0,2024,3
1.0,2:40,3.0,12.0,PIT 47,3.0,3.0,Justin Fields pass complete short right to George Pickens for 12 yards (tackle by AJ Terrell),0.7,2.85,1.0,2024,3
1.0,1:55,1.0,10.0,ATL 41,3.0,3.0,Jaylen Warren right guard for -1 yards (tackle by Mike Hughes and Kentavius Street),2.85,2.17,1.0,2024,3
1.0,1:12,2.0,11.0,ATL 42,3.0,3.0,Najee Harris right guard for 8 yards (tackle by Arnold Ebiketie and DeAundre Alford),2.17,2.54,1.0,2024,3
1.0,0:19,,,,,,Timeout #1 by Atlanta Falcons,,,1.0,2024,3
1.0,0:19,3.0,3.0,ATL 34,3.0,3.0,Justin Fields pass complete short left to George Pickens for 3 yards (tackle by Mike Hughes),2.54,3.51,1.0,2024,3
2.0,15:00,1.0,10.0,ATL 31,3.0,3.0,George Pickens right end for -10 yards (tackle by Grady Jarrett),3.51,1.62,1.0,2024,3
2.0,14:16,2.0,20.0,ATL 41,3.0,3.0,Najee Harris right end for 3 yards (tackle by Matt Judon and Kaden Elliss),1.62,1.36,1.0,2024,3
2.0,13:35,3.0,17.0,ATL 38,3.0,3.0,Cordarrelle Patterson right end for 5 yards (tackle by Mike Hughes and Kaden Elliss),1.36,1.15,1.0,2024,3
2.0,12:58,4.0,12.0,ATL 33,6.0,3.0,Chris Boswell 51 yard field goal good,1.15,3.0,1.0,2024,3
2.0,12:54,,,PIT 35,6.0,3.0,"Chris Boswell kicks off 64 yards, returned by Ray-Ray McCloud for 27 yards (tackle by DeMarvin Leal)",0.0,0.81,1.0,2024,3
2.0,12:47,1.0,10.0,ATL 28,6.0,3.0,Kirk Cousins pass complete short middle to Drake London for 7 yards (tackle by Joey Porter),0.81,1.21,1.0,2024,3
2.0,12:05,2.0,3.0,ATL 35,6.0,3.0,Bijan Robinson left end for 4 yards (tackle by Alex Highsmith and Minkah Fitzpatrick),1.21,1.53,1.0,2024,3
2.0,11:26,1.0,10.0,ATL 39,6.0,3.0,Bijan Robinson left tackle for 3 yards (tackle by Cameron Heyward and Keeanu Benton),1.53,1.39,1.0,2024,3
2.0,10:50,2.0,7.0,ATL 42,6.0,3.0,Kirk Cousins pass complete short left to Bijan Robinson for 8 yards (tackle by DeShon Elliott),1.39,2.26,1.0,2024,3
2.0,10:06,1.0,10.0,PIT 50,6.0,3.0,Kirk Cousins pass incomplete short left intended for Charlie Woerner (defended by DeShon Elliott),2.26,1.71,1.0,2024,3
2.0,9:57,2.0,10.0,PIT 50,6.0,3.0,Bijan Robinson left tackle for no gain (tackle by Minkah Fitzpatrick),1.71,1.03,1.0,2024,3
2.0,9:17,3.0,10.0,PIT 50,6.0,3.0,Kirk Cousins pass incomplete deep left intended for Darnell Mooney (defended by Donte Jackson),1.03,-0.06,1.0,2024,3
2.0,9:11,4.0,10.0,PIT 50,6.0,3.0,"Bradley Pinion punts 41 yards, returned by Calvin Austin for 13 yards (tackle by KhaDarel Hodge)",-0.06,-0.41,1.0,2024,3
2.0,8:58,1.0,10.0,PIT 22,6.0,3.0,Justin Fields pass complete short right to Najee Harris for 9 yards (tackle by Arnold Ebiketie),0.41,1.08,1.0,2024,3
2.0,8:26,2.0,1.0,PIT 31,6.0,3.0,Najee Harris right end for 2 yards (tackle by Arnold Ebiketie),1.08,1.14,1.0,2024,3
2.0,7:56,1.0,10.0,PIT 33,6.0,3.0,Justin Fields right guard for 5 yards (tackle by Nathan Landman),1.14,1.27,1.0,2024,3
2.0,7:24,2.0,5.0,PIT 38,6.0,3.0,Cordarrelle Patterson right tackle for 4 yards (tackle by Troy Andersen),1.27,1.09,1.0,2024,3
2.0,6:48,3.0,1.0,PIT 42,6.0,3.0,Justin Fields right guard for 3 yards (tackle by Kaden Elliss),1.09,1.93,1.0,2024,3
2.0,6:08,1.0,10.0,PIT 45,6.0,3.0,Justin Fields pass complete short right to George Pickens for 2 yards (tackle by Jessie Bates),1.93,1.65,1.0,2024,3
2.0,5:38,2.0,8.0,PIT 47,6.0,3.0,"Justin Fields left tackle for no gain. Penalty on Van Jefferson: False Start, 5 yards (accepted) (no play)",1.65,0.98,1.0,2024,3
2.0,5:31,2.0,13.0,PIT 42,6.0,3.0,Justin Fields pass complete short left to Jaylen Warren for 4 yards (tackle by Kaden Elliss and Justin Simmons),0.98,0.83,1.0,2024,3
2.0,5:01,3.0,9.0,PIT 46,6.0,3.0,"Justin Fields pass complete deep left to George Pickens for no gain (tackle by AJ Terrell). Penalty on George Pickens: Offensive Pass Interference, 10 yards (accepted) (no play)",0.83,-0.49,1.0,2024,3
2.0,4:36,3.0,19.0,PIT 36,6.0,3.0,Justin Fields pass complete short left to Jaylen Warren for 9 yards (tackle by Matt Judon and Kevin King),-0.49,-0.39,1.0,2024,3
2.0,3:58,4.0,10.0,PIT 45,6.0,3.0,"Cameron Johnston punts 45 yards, fair catch by Avery Williams at ATL-10",-0.39,0.38,1.0,2024,3
2.0,3:50,1.0,10.0,ATL 10,6.0,3.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 9 yards (tackle by Donte Jackson),-0.38,0.24,1.0,2024,3
2.0,3:22,2.0,1.0,ATL 19,6.0,3.0,Bijan Robinson right tackle for 3 yards (tackle by Payton Wilson and Montravius Adams),0.24,0.41,1.0,2024,3
2.0,2:57,1.0,10.0,ATL 22,6.0,3.0,Kirk Cousins pass complete deep middle to Ray-Ray McCloud for 20 yards (tackle by Minkah Fitzpatrick),0.41,1.73,1.0,2024,3
2.0,2:23,1.0,10.0,ATL 42,6.0,3.0,Kirk Cousins pass complete short right to Kyle Pitts for 6 yards (tackle by Beanie Bishop),1.73,2.0,1.0,2024,3
2.0,2:00,2.0,4.0,ATL 48,6.0,3.0,Bijan Robinson left end for no gain (tackle by Cameron Heyward),2.0,1.29,1.0,2024,3
2.0,1:23,3.0,4.0,ATL 48,6.0,3.0,Kirk Cousins pass complete short left to Bijan Robinson for 5 yards (tackle by Payton Wilson),1.29,2.46,1.0,2024,3
2.0,0:57,1.0,10.0,PIT 47,6.0,3.0,Kirk Cousins pass complete short right to Bijan Robinson for 14 yards (tackle by Minkah Fitzpatrick),2.46,3.38,1.0,2024,3
2.0,0:47,1.0,10.0,PIT 33,6.0,3.0,Kirk Cousins pass complete deep middle to Ray-Ray McCloud for 16 yards (tackle by Minkah Fitzpatrick),3.38,4.44,1.0,2024,3
2.0,0:41,,,,,,Timeout #2 by Atlanta Falcons,,,1.0,2024,3
2.0,0:41,1.0,10.0,PIT 17,6.0,3.0,"Penalty on T.J. Watt: Defensive Offside, 5 yards (accepted)",4.44,5.37,1.0,2024,3
2.0,0:38,1.0,6.0,PIT 12,6.0,9.0,"Kirk Cousins pass complete short left to Kyle Pitts for 12 yards, touchdown",5.37,7.0,1.0,2024,3
2.0,0:32,,,PIT 15,6.0,10.0,Younghoe Koo kicks extra point good,0.0,0.0,1.0,2024,3
2.0,0:32,,,ATL 35,6.0,10.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,3
2.0,0:32,1.0,10.0,PIT 30,6.0,10.0,Justin Fields pass complete short left to Calvin Austin for 7 yards (tackle by Troy Andersen),0.94,1.34,1.0,2024,3
2.0,0:14,2.0,3.0,PIT 37,6.0,10.0,Justin Fields pass complete short right to Pat Freiermuth for 5 yards (tackle by Kaden Elliss),1.34,1.73,1.0,2024,3
2.0,0:09,,,,,,Timeout #3 by Atlanta Falcons,,,1.0,2024,3
2.0,0:09,1.0,10.0,PIT 42,6.0,10.0,"Justin Fields pass complete deep right to George Pickens for 41 yards (tackle by AJ Terrell) Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Justin Fields pass complete deep right to George Pickens for 33 yards (tackle by Jessie Bates)",1.73,3.91,1.0,2024,3
2.0,0:03,1.0,10.0,ATL 25,9.0,10.0,Chris Boswell 44 yard field goal good,3.91,3.0,1.0,2024,3
3.0,15:00,,,ATL 35,9.0,10.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,3
3.0,15:00,1.0,10.0,PIT 30,9.0,10.0,Najee Harris left tackle for 5 yards (tackle by Eddie Goldman),0.94,1.07,1.0,2024,3
3.0,14:25,2.0,5.0,PIT 35,9.0,10.0,Najee Harris left end for 1 yard (tackle by Jessie Bates and David Onyemata),1.07,0.5,1.0,2024,3
3.0,13:44,3.0,4.0,PIT 36,9.0,10.0,Justin Fields sacked by Grady Jarrett for -15 yards,0.5,-1.96,1.0,2024,3
3.0,13:09,4.0,19.0,PIT 21,9.0,10.0,"Cameron Johnston punts 58 yards, returned by Avery Williams for 28 yards (tackle by Tyler Matakevich)",-1.96,-2.19,1.0,2024,3
3.0,12:56,1.0,10.0,ATL 49,9.0,10.0,Bijan Robinson right tackle for 4 yards (tackle by Cameron Heyward and DeShon Elliott),2.19,2.19,1.0,2024,3
3.0,12:27,2.0,6.0,PIT 47,9.0,10.0,Bijan Robinson left tackle for 4 yards (tackle by Keeanu Benton),2.19,2.01,1.0,2024,3
3.0,12:01,3.0,2.0,PIT 43,9.0,10.0,Bijan Robinson left end for 1 yard (tackle by Cameron Heyward and Alex Highsmith),2.01,0.46,1.0,2024,3
3.0,11:21,4.0,1.0,PIT 42,9.0,10.0,Bijan Robinson left end for 10 yards (tackle by Minkah Fitzpatrick and Joey Porter),0.46,3.45,1.0,2024,3
3.0,10:37,1.0,10.0,PIT 32,9.0,10.0,"Drew Dalman aborted snap, recovered by T.J. Watt at PIT-38",3.45,-1.47,1.0,2024,3
3.0,10:29,1.0,10.0,PIT 38,9.0,10.0,Justin Fields pass complete short left to MyCole Pruitt for 9 yards (tackle by Clark Phillips),1.47,2.14,1.0,2024,3
3.0,10:03,2.0,1.0,PIT 47,9.0,10.0,Justin Fields pass incomplete deep left intended for George Pickens,2.14,1.42,1.0,2024,3
3.0,9:57,3.0,1.0,PIT 47,9.0,10.0,Justin Fields right guard for 1 yard (tackle by Arnold Ebiketie and James Smith-Williams),1.42,2.13,1.0,2024,3
3.0,9:28,1.0,10.0,PIT 48,9.0,10.0,Najee Harris left tackle for 5 yards (tackle by Zach Harrison and Nathan Landman),2.13,2.26,1.0,2024,3
3.0,8:43,2.0,5.0,ATL 47,9.0,10.0,"Najee Harris left tackle for 2 yards (tackle by Kaden Elliss and Nathan Landman). Penalty on Eddie Goldman: Defensive Holding, 5 yards (accepted)",2.26,2.92,1.0,2024,3
3.0,8:23,1.0,10.0,ATL 40,9.0,10.0,Justin Fields pass incomplete short left intended for MyCole Pruitt,2.92,2.37,1.0,2024,3
3.0,8:17,2.0,10.0,ATL 40,9.0,10.0,Cordarrelle Patterson left guard for 2 yards (tackle by Kaden Elliss and James Smith-Williams),2.37,1.95,1.0,2024,3
3.0,8:00,3.0,8.0,ATL 38,9.0,10.0,Justin Fields pass incomplete short left intended for Calvin Austin (defended by Justin Simmons),1.95,0.72,1.0,2024,3
3.0,7:50,4.0,8.0,ATL 38,12.0,10.0,Chris Boswell 56 yard field goal good,0.72,3.0,1.0,2024,3
3.0,7:45,,,PIT 35,12.0,10.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,3
3.0,7:45,1.0,10.0,ATL 30,12.0,10.0,Tyler Allgeier left tackle for 7 yards (tackle by Alex Highsmith and Larry Ogunjobi),0.94,1.34,1.0,2024,3
3.0,7:07,2.0,3.0,ATL 37,12.0,10.0,Tyler Allgeier left end for 1 yard (tackle by T.J. Watt and Alex Highsmith),1.34,0.76,1.0,2024,3
3.0,6:20,3.0,2.0,ATL 38,12.0,10.0,"Kirk Cousins pass complete short left to Kyle Pitts for 17 yards (tackle by Payton Wilson). Penalty on Jake Matthews: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.76,-0.56,1.0,2024,3
3.0,6:06,3.0,12.0,ATL 28,12.0,10.0,"Kirk Cousins sacked by T.J. Watt for no gain. Kirk Cousins fumbles (forced by T.J. Watt), recovered by T.J. Watt at ATL-28 (tackle by T.J. Watt). Penalty on Donte Jackson: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",-0.56,1.14,1.0,2024,3
3.0,5:59,1.0,10.0,ATL 33,12.0,10.0,Bijan Robinson right tackle for 2 yards (tackle by Nick Herbig),1.14,0.86,1.0,2024,3
3.0,5:14,2.0,8.0,ATL 35,12.0,10.0,Kirk Cousins sacked by Montravius Adams for -9 yards,0.86,-1.02,1.0,2024,3
3.0,4:41,3.0,17.0,ATL 26,12.0,10.0,Kirk Cousins pass complete short right to Charlie Woerner for 4 yards (tackle by Beanie Bishop),-1.02,-1.37,1.0,2024,3
3.0,3:57,4.0,13.0,ATL 30,12.0,10.0,"Bradley Pinion punts 55 yards, returned by Calvin Austin for 12 yards (tackle by DeAngelo Malone). Penalty on KhaDarel Hodge: Player Out of Bounds on a Punt, 5 yards (accepted)",-1.37,-1.07,1.0,2024,3
3.0,3:49,1.0,10.0,PIT 32,12.0,10.0,Justin Fields pass complete deep left to George Pickens for 40 yards (tackle by AJ Terrell),1.07,3.71,1.0,2024,3
3.0,2:59,1.0,10.0,ATL 28,12.0,10.0,Najee Harris left end for 4 yards (tackle by AJ Terrell),3.71,3.71,1.0,2024,3
3.0,2:31,2.0,6.0,ATL 24,12.0,10.0,"Penalty on Spencer Anderson: False Start, 5 yards (accepted) (no play)",3.71,3.03,1.0,2024,3
3.0,2:15,2.0,11.0,ATL 29,12.0,10.0,Justin Fields left end for 4 yards (tackle by Troy Andersen),3.03,2.87,1.0,2024,3
3.0,1:32,3.0,7.0,ATL 25,12.0,10.0,"Justin Fields pass complete short left to MyCole Pruitt for no gain (tackle by Troy Andersen). Penalty on Van Jefferson: Illegal Shift, 5 yards (accepted) (no play)",2.87,2.21,1.0,2024,3
3.0,1:11,3.0,12.0,ATL 30,12.0,10.0,Justin Fields pass complete short left to Pat Freiermuth for 8 yards (tackle by Justin Simmons and Kaden Elliss),2.21,2.07,1.0,2024,3
3.0,0:28,4.0,4.0,ATL 22,15.0,10.0,Chris Boswell 40 yard field goal good,2.07,3.0,1.0,2024,3
3.0,0:25,,,PIT 35,15.0,10.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,3
3.0,0:25,1.0,10.0,ATL 30,15.0,10.0,Bijan Robinson left end for 5 yards (tackle by Patrick Queen),0.94,1.07,1.0,2024,3
4.0,14:53,2.0,5.0,ATL 35,15.0,10.0,"Bijan Robinson right end for 5 yards. Penalty on Kaleb McGary: Offensive Holding, 10 yards (accepted) (no play)",1.07,-0.28,1.0,2024,3
4.0,14:39,2.0,15.0,ATL 25,15.0,10.0,Kirk Cousins pass incomplete short left,-0.28,-0.96,1.0,2024,3
4.0,14:36,,,,,,Timeout #1 by Pittsburgh Steelers,,,1.0,2024,3
4.0,14:36,3.0,15.0,ATL 25,15.0,10.0,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud,-0.96,-1.7,1.0,2024,3
4.0,14:32,4.0,15.0,ATL 25,15.0,10.0,"Bradley Pinion punts 59 yards, returned by Calvin Austin for 6 yards (tackle by JD Bertrand)",-1.7,-0.41,1.0,2024,3
4.0,14:28,1.0,10.0,PIT 22,15.0,10.0,Justin Fields right end for 7 yards (tackle by DeAundre Alford),0.41,0.81,1.0,2024,3
4.0,13:44,2.0,3.0,PIT 29,15.0,10.0,Najee Harris right end for 20 yards (tackle by Arnold Ebiketie and Justin Simmons),0.81,2.19,1.0,2024,3
4.0,13:04,1.0,10.0,PIT 49,15.0,10.0,Najee Harris left guard for 1 yard (tackle by Nathan Landman),2.19,1.78,1.0,2024,3
4.0,12:40,2.0,9.0,PIT 50,15.0,10.0,Justin Fields pass complete short left to Pat Freiermuth for 10 yards (tackle by AJ Terrell),1.78,2.92,1.0,2024,3
4.0,12:04,1.0,10.0,ATL 40,15.0,10.0,Najee Harris left tackle for 3 yards (tackle by Kentavius Street and Zach Harrison),2.92,2.78,1.0,2024,3
4.0,11:32,2.0,7.0,ATL 37,15.0,10.0,Jaylen Warren left guard for 8 yards (tackle by Jessie Bates),2.78,3.64,1.0,2024,3
4.0,10:57,1.0,10.0,ATL 29,15.0,10.0,Justin Fields left end for 4 yards (tackle by Lorenzo Carter),3.64,3.64,1.0,2024,3
4.0,10:09,2.0,6.0,ATL 25,15.0,10.0,Justin Fields pass complete short left to Darnell Washington for 5 yards (tackle by Lorenzo Carter),3.64,3.6,1.0,2024,3
4.0,9:26,3.0,1.0,ATL 20,15.0,10.0,Justin Fields right guard for 5 yards (tackle by Kaden Elliss),3.6,4.58,1.0,2024,3
4.0,8:48,1.0,10.0,ATL 15,15.0,10.0,Najee Harris left tackle for 2 yards (tackle by David Onyemata and Lorenzo Carter),4.58,4.28,1.0,2024,3
4.0,8:06,2.0,8.0,ATL 13,15.0,10.0,Najee Harris left end for 6 yards (tackle by Mike Hughes),4.28,4.5,1.0,2024,3
4.0,7:37,3.0,3.0,ATL 7,15.0,10.0,Penalty on Grady Jarrett: Unsportsmanlike Conduct / Defense (offset) (no play),4.5,4.5,1.0,2024,3
4.0,7:37,3.0,3.0,ATL 7,15.0,10.0,Penalty on Broderick Jones: Unsportsmanlike Conduct / Offense (offset) (no play),4.5,4.5,1.0,2024,3
4.0,7:37,3.0,3.0,ATL 7,15.0,10.0,Justin Fields pass complete short right to Van Jefferson for 1 yard (tackle by Jessie Bates),4.5,3.02,1.0,2024,3
4.0,7:09,4.0,1.0,ATL 6,15.0,10.0,Justin Fields left guard for no gain (tackle by Nathan Landman),3.02,0.38,1.0,2024,3
4.0,7:03,1.0,10.0,ATL 6,15.0,10.0,Bijan Robinson right guard for 3 yards (tackle by Joey Porter),-0.38,-0.56,1.0,2024,3
4.0,6:39,2.0,7.0,ATL 9,15.0,10.0,"Kirk Cousins pass complete short left to Kyle Pitts for no gain. Penalty on Kyle Pitts: Illegal Formation, 4 yards (accepted) (no play)",-0.56,-0.85,1.0,2024,3
4.0,6:15,2.0,11.0,ATL 5,15.0,10.0,Kirk Cousins pass incomplete short left intended for Ray-Ray McCloud (defended by Alex Highsmith),-0.85,-1.54,1.0,2024,3
4.0,6:09,3.0,11.0,ATL 5,15.0,10.0,Kirk Cousins pass complete short middle to Kyle Pitts for 8 yards (tackle by Minkah Fitzpatrick),-1.54,-2.49,1.0,2024,3
4.0,5:25,4.0,4.0,ATL 13,15.0,10.0,"Bradley Pinion punts 55 yards, returned by Calvin Austin for 16 yards (tackle by Troy Andersen). Penalty on Mark Robinson: Illegal Block Above the Waist, 10 yards (accepted)",-2.49,-1.47,1.0,2024,3
4.0,4:56,1.0,10.0,PIT 38,15.0,10.0,Najee Harris left end for -3 yards (tackle by James Smith-Williams),1.47,0.52,1.0,2024,3
4.0,4:27,2.0,13.0,PIT 35,15.0,10.0,Justin Fields pass incomplete short right,0.52,-0.16,1.0,2024,3
4.0,4:20,3.0,13.0,PIT 35,15.0,10.0,Justin Fields sacked by and Matt Judon for -8 yards and Grady Jarrett for -8 yards,-0.16,-1.57,1.0,2024,3
4.0,3:38,4.0,21.0,PIT 27,15.0,10.0,"Cameron Johnston punts, returned by Avery Williams for no gain. Penalty on Cory Trice: Offensive Holding, 10 yards (accepted) (no play)",-1.57,-2.32,1.0,2024,3
4.0,3:29,4.0,31.0,PIT 17,15.0,10.0,"Chris Boswell punts 43 yards, returned by Avery Williams for no gain (tackle by Scott Miller)",-2.32,-1.6,1.0,2024,3
4.0,3:20,1.0,10.0,ATL 40,15.0,10.0,Bijan Robinson left end for 13 yards (tackle by DeShon Elliott and Alex Highsmith),1.6,2.46,1.0,2024,3
4.0,2:49,1.0,10.0,PIT 47,15.0,10.0,Kirk Cousins pass short left intended for Ray-Ray McCloud is intercepted by Donte Jackson at PIT-33 and returned for 49 yards (tackle by Drew Dalman),2.46,-4.37,1.0,2024,3
4.0,2:34,1.0,10.0,ATL 18,15.0,10.0,Najee Harris right guard for 1 yard (tackle by Matt Judon),4.37,3.94,1.0,2024,3
4.0,2:28,,,,,,Timeout #1 by Atlanta Falcons,,,1.0,2024,3
4.0,2:28,2.0,9.0,ATL 17,15.0,10.0,Justin Fields left tackle for 4 yards (tackle by Matt Judon),3.94,3.82,1.0,2024,3
4.0,2:22,,,,,,Timeout #2 by Atlanta Falcons,,,1.0,2024,3
4.0,2:22,3.0,5.0,ATL 13,15.0,10.0,Justin Fields right tackle for 7 yards (tackle by Mike Hughes),3.82,5.83,1.0,2024,3
4.0,2:16,,,,,,Timeout #3 by Atlanta Falcons,,,1.0,2024,3
4.0,2:16,1.0,6.0,ATL 6,15.0,10.0,Najee Harris right guard for 1 yard (tackle by Nathan Landman),5.83,5.15,1.0,2024,3
4.0,2:00,2.0,5.0,ATL 5,15.0,10.0,Najee Harris left tackle for -1 yards (tackle by Mike Hughes and Matt Judon),5.15,4.04,1.0,2024,3
4.0,1:14,,,,,,Timeout #2 by Pittsburgh Steelers,,,1.0,2024,3
4.0,1:14,3.0,6.0,ATL 6,15.0,10.0,Justin Fields left tackle for -1 yards (tackle by Mike Hughes),4.04,2.99,1.0,2024,3
4.0,0:29,,,,,,Timeout #3 by Pittsburgh Steelers,,,1.0,2024,3
4.0,0:29,4.0,6.0,ATL 6,18.0,10.0,Chris Boswell 25 yard field goal good,2.99,3.0,1.0,2024,3
4.0,0:28,,,PIT 35,18.0,10.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,3
4.0,0:28,1.0,10.0,ATL 30,18.0,10.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 7 yards (tackle by Beanie Bishop),0.94,1.34,1.0,2024,3
4.0,0:14,2.0,3.0,ATL 37,18.0,10.0,Kirk Cousins spiked the ball,1.34,0.63,1.0,2024,3
4.0,0:13,3.0,3.0,ATL 37,18.0,10.0,Kirk Cousins sacked by T.J. Watt for -9 yards,0.63,-1.5,1.0,2024,3
