Quarter,Time,Down,ToGo,Location,TEN,CHI,Detail,EPB,EPA,week,year,game_id
1.0,1:27,2.0,4.0,CHI 33,0.0,0.0,Tony Pollard left tackle for 7 yards (tackle by Chris Williams),3.25,3.84,1.0,2024,6
1.0,0:47,1.0,10.0,CHI 26,6.0,0.0,"Tony Pollard left guard for 26 yards, touchdown",3.84,7.0,1.0,2024,6
1.0,0:41,,,CHI 15,7.0,0.0,Nick Folk kicks extra point good,0.0,0.0,1.0,2024,6
1.0,0:41,,,TEN 35,7.0,0.0,"Nick Folk kicks off 63 yards, recovered by Julius Chestnut at CHI-23",0.0,-4.04,1.0,2024,6
1.0,0:36,1.0,10.0,CHI 23,7.0,0.0,Tony Pollard right guard for 4 yards (tackle by Montez Sweat),4.04,3.97,1.0,2024,6
2.0,15:00,2.0,7.0,CHI 19,7.0,0.0,Will Levis sacked by Darrell Taylor for -3 yards,3.97,2.87,1.0,2024,6
2.0,14:17,3.0,10.0,CHI 22,7.0,0.0,Will Levis pass incomplete short middle,2.87,1.99,1.0,2024,6
2.0,14:11,4.0,10.0,CHI 22,10.0,0.0,Nick Folk 40 yard field goal good,1.99,3.0,1.0,2024,6
2.0,14:06,,,TEN 35,10.0,0.0,"Nick Folk kicks off 65 yards,",0.0,0.94,1.0,2024,6
2.0,14:06,1.0,10.0,CHI 30,10.0,0.0,Caleb Williams pass complete short right to D.J. Moore for 11 yards (tackle by Jarvis Brownlee),0.94,1.66,1.0,2024,6
2.0,13:27,1.0,10.0,CHI 41,10.0,0.0,Caleb Williams pass complete short left to Keenan Allen for 9 yards (tackle by Roger McCreary),1.66,2.34,1.0,2024,6
2.0,13:04,2.0,1.0,CHI 50,10.0,0.0,D'Andre Swift right end for -3 yards (tackle by Jarvis Brownlee),2.34,1.22,1.0,2024,6
2.0,12:25,3.0,4.0,CHI 47,10.0,0.0,Caleb Williams pass incomplete deep left intended for DeAndre Carter,1.22,-0.26,1.0,2024,6
2.0,12:19,4.0,4.0,CHI 47,10.0,0.0,"Tory Taylor punts 43 yards, returned by Jha'Quan Jackson for 7 yards (tackle by Jaylon Jones). Penalty on Khari Blasingame: Offensive Holding, 10 yards (accepted)",-0.26,-0.74,1.0,2024,6
2.0,12:07,1.0,10.0,TEN 27,10.0,0.0,Will Levis pass incomplete short right,0.74,0.2,1.0,2024,6
2.0,12:03,,,,,,Timeout #1 by Tennessee Titans,,,1.0,2024,6
2.0,12:03,2.0,10.0,TEN 27,10.0,0.0,"Penalty on JC Latham: False Start, 5 yards (accepted) (no play)",0.2,-0.48,1.0,2024,6
2.0,12:03,2.0,15.0,TEN 22,10.0,0.0,Will Levis pass incomplete short right intended for Treylon Burks (defended by Tyrique Stevenson),-0.48,-1.15,1.0,2024,6
2.0,12:00,3.0,15.0,TEN 22,10.0,0.0,Will Levis pass complete deep left to Calvin Ridley for 22 yards (tackle by Kyler Gordon and Jaquan Brisker),-1.15,1.86,1.0,2024,6
2.0,11:21,1.0,10.0,TEN 44,10.0,0.0,Tyjae Spears left guard for 3 yards (tackle by Darrell Taylor),1.86,1.72,1.0,2024,6
2.0,10:36,2.0,7.0,TEN 47,10.0,0.0,Will Levis pass complete short left to Tony Pollard for 6 yards (tackle by T.J. Edwards),1.72,1.82,1.0,2024,6
2.0,9:56,3.0,1.0,CHI 47,10.0,0.0,Tyjae Spears left tackle for 5 yards (tackle by Darrell Taylor and T.J. Edwards),1.82,2.79,1.0,2024,6
2.0,9:16,1.0,10.0,CHI 42,10.0,0.0,Will Levis pass incomplete deep right intended for Calvin Ridley (defended by Jaylon Johnson),2.79,2.24,1.0,2024,6
2.0,9:08,2.0,10.0,CHI 42,10.0,0.0,Will Levis pass complete short left to Tony Pollard for -2 yards (tackle by T.J. Edwards),2.24,1.29,1.0,2024,6
2.0,8:22,3.0,12.0,CHI 44,10.0,0.0,Will Levis scrambles right guard for 9 yards (tackle by Montez Sweat and Jaquan Brisker),1.29,0.99,1.0,2024,6
2.0,7:36,,,,,,Timeout #2 by Tennessee Titans,,,1.0,2024,6
2.0,7:36,4.0,3.0,CHI 35,10.0,0.0,Will Levis pass complete short left to Tyler Boyd for 3 yards (tackle by Jaquan Brisker and Tyrique Stevenson),0.99,3.45,1.0,2024,6
2.0,6:50,1.0,10.0,CHI 32,10.0,0.0,Will Levis left tackle for 15 yards (tackle by Darrell Taylor),3.45,4.44,1.0,2024,6
2.0,6:07,1.0,10.0,CHI 17,10.0,0.0,Tyjae Spears right guard for 2 yards (tackle by Jaylon Johnson),4.44,4.15,1.0,2024,6
2.0,5:24,2.0,8.0,CHI 15,10.0,0.0,Tony Pollard left guard for 3 yards (tackle by Darrell Taylor and T.J. Edwards),4.15,3.88,1.0,2024,6
2.0,4:33,3.0,5.0,CHI 12,10.0,0.0,"Penalty on Montez Sweat: Defensive Offside, 5 yards (accepted) (no play)",3.88,5.6,1.0,2024,6
2.0,4:33,1.0,7.0,CHI 7,10.0,0.0,"Tyjae Spears left guard for no gain (tackle by T.J. Edwards). Penalty on Will Levis: Illegal Formation, 5 yards (accepted) (no play)",5.6,4.64,1.0,2024,6
2.0,4:08,1.0,12.0,CHI 12,10.0,0.0,"Penalty on Chigoziem Okonkwo: False Start, 5 yards (accepted) (no play)",4.64,4.26,1.0,2024,6
2.0,3:50,1.0,17.0,CHI 17,16.0,0.0,"Will Levis pass complete deep right to Chigoziem Okonkwo for 17 yards, touchdown",4.26,7.0,1.0,2024,6
2.0,3:44,,,CHI 15,17.0,0.0,Nick Folk kicks extra point good,0.0,0.0,1.0,2024,6
2.0,3:44,,,TEN 35,17.0,0.0,"Nick Folk kicks off 66 yards, returned by DeAndre Carter for 67 yards (tackle by Darrell Baker)",0.0,3.31,1.0,2024,6
2.0,3:35,1.0,10.0,TEN 34,17.0,0.0,D'Andre Swift left guard for -4 yards (tackle by Roger McCreary),3.31,2.23,1.0,2024,6
2.0,3:11,2.0,14.0,TEN 38,17.0,0.0,Caleb Williams pass complete short middle to D.J. Moore for 13 yards (tackle by L'Jarius Sneed),2.23,3.27,1.0,2024,6
2.0,2:26,3.0,1.0,TEN 25,17.0,0.0,Khalil Herbert right guard for no gain (tackle by Jeffery Simmons and Amani Hooker),3.27,1.95,1.0,2024,6
2.0,2:00,4.0,1.0,TEN 25,17.0,0.0,Khalil Herbert left tackle for 4 yards (tackle by Harold Landry and Ernest Jones),1.95,4.17,1.0,2024,6
2.0,1:26,1.0,10.0,TEN 21,17.0,0.0,"Caleb Williams pass complete short middle to Rome Odunze for 11 yards. Rome Odunze fumbles (forced by Amani Hooker), recovered by Teven Jenkins at TEN-10 (tackle by Amani Hooker)",4.17,4.91,1.0,2024,6
2.0,1:04,1.0,10.0,TEN 10,17.0,0.0,"Caleb Williams pass complete short left to Cole Kmet for 4 yards (tackle by Kenneth Murray and L'Jarius Sneed) Replay Assistant challenged the pass completion ruling, and the play was upheld.",4.91,4.95,1.0,2024,6
2.0,0:39,2.0,6.0,TEN 6,17.0,0.0,Caleb Williams pass incomplete short left intended for Keenan Allen,4.95,4.04,1.0,2024,6
2.0,0:35,3.0,6.0,TEN 6,17.0,0.0,Caleb Williams pass incomplete short middle intended for Keenan Allen (defended by Ernest Jones),4.04,2.99,1.0,2024,6
2.0,0:30,4.0,6.0,TEN 6,17.0,3.0,Cairo Santos 24 yard field goal good,2.99,3.0,1.0,2024,6
2.0,0:27,,,CHI 35,17.0,3.0,"Cairo Santos kicks off 70 yards, returned by Jha'Quan Jackson for 22 yards (tackle by Amen Ogbongbemiga)",0.0,-0.06,1.0,2024,6
2.0,0:21,1.0,10.0,TEN 17,17.0,3.0,Tyjae Spears left guard for 11 yards (tackle by Tremaine Edmunds and Kyler Gordon),-0.06,0.81,1.0,2024,6
3.0,15:00,,,TEN 35,17.0,3.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,6
3.0,15:00,1.0,10.0,CHI 30,17.0,3.0,Velus Jones left end for 5 yards (tackle by Quandre Diggs and Jack Gibbens),0.94,1.07,1.0,2024,6
3.0,14:13,2.0,5.0,CHI 35,17.0,3.0,Caleb Williams pass incomplete short middle intended for Keenan Allen,1.07,0.37,1.0,2024,6
3.0,14:08,3.0,5.0,CHI 35,17.0,3.0,Caleb Williams pass complete short left to D.J. Moore for 12 yards (tackle by Quandre Diggs),0.37,2.06,1.0,2024,6
3.0,13:25,1.0,10.0,CHI 47,17.0,3.0,Caleb Williams pass incomplete short left intended for Keenan Allen (defended by Amani Hooker),2.06,1.52,1.0,2024,6
3.0,13:18,2.0,10.0,CHI 47,17.0,3.0,"Penalty on Caleb Williams: Delay of Game, 5 yards (accepted) (no play)",1.52,0.84,1.0,2024,6
3.0,13:18,2.0,15.0,CHI 42,17.0,3.0,Caleb Williams pass incomplete short middle intended for Keenan Allen (defended by Sebastian Joseph-Day),0.84,0.17,1.0,2024,6
3.0,13:13,3.0,15.0,CHI 42,17.0,3.0,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",0.17,-0.49,1.0,2024,6
3.0,13:13,3.0,20.0,CHI 37,17.0,3.0,Caleb Williams sacked by Harold Landry for -10 yards,-0.49,-1.57,1.0,2024,6
3.0,12:37,4.0,30.0,CHI 27,17.0,3.0,"Tory Taylor punts 60 yards, returned by Jha'Quan Jackson for 12 yards (tackle by Daniel Hardy)",-1.57,-0.61,1.0,2024,6
3.0,12:26,1.0,10.0,TEN 25,17.0,3.0,Tony Pollard left tackle for 3 yards (tackle by Jaquan Brisker and T.J. Edwards),0.61,0.47,1.0,2024,6
3.0,11:46,2.0,7.0,TEN 28,17.0,3.0,Will Levis pass complete short left to Treylon Burks for 2 yards (tackle by T.J. Edwards),0.47,0.04,1.0,2024,6
3.0,10:57,3.0,5.0,TEN 30,17.0,3.0,Will Levis scrambles right guard for 8 yards (tackle by Tremaine Edmunds and Jaquan Brisker),0.04,1.47,1.0,2024,6
3.0,10:12,1.0,10.0,TEN 38,17.0,3.0,Treylon Burks left end for -5 yards (tackle by Jaylon Johnson),1.47,0.25,1.0,2024,6
3.0,9:26,2.0,15.0,TEN 33,17.0,3.0,Will Levis pass incomplete short right,0.25,-0.43,1.0,2024,6
3.0,9:21,3.0,15.0,TEN 33,17.0,3.0,Will Levis pass incomplete deep left intended for Calvin Ridley,-0.43,-1.18,1.0,2024,6
3.0,9:14,4.0,15.0,TEN 33,17.0,9.0,"Ryan Stonehouse punts 47 yards blocked by Daniel Hardy, touchdown",-1.18,-7.0,1.0,2024,6
3.0,9:07,,,TEN 15,17.0,10.0,Cairo Santos kicks extra point good,0.0,0.0,1.0,2024,6
3.0,9:07,,,CHI 35,17.0,10.0,"Cairo Santos kicks off 60 yards, returned by Jha'Quan Jackson for 26 yards (tackle by Jaylon Jones)",0.0,1.0,1.0,2024,6
3.0,9:02,1.0,10.0,TEN 31,17.0,10.0,"Tony Pollard left end for no gain (tackle by T.J. Edwards). Penalty on Peter Skoronski: Offensive Holding, 10 yards (accepted) (no play)",1.0,0.34,1.0,2024,6
3.0,8:34,1.0,20.0,TEN 21,17.0,10.0,Will Levis pass complete short middle to Tony Pollard for 8 yards (tackle by T.J. Edwards),0.34,0.19,1.0,2024,6
3.0,7:56,2.0,12.0,TEN 29,17.0,10.0,Will Levis pass incomplete short right,0.19,-0.49,1.0,2024,6
3.0,7:51,3.0,12.0,TEN 29,17.0,10.0,Will Levis sacked by Gervon Dexter for -5 yards,-0.49,-1.77,1.0,2024,6
3.0,7:16,4.0,17.0,TEN 24,17.0,10.0,"Ryan Stonehouse punts 55 yards, returned by DeAndre Carter for 14 yards (tackle by Nick Westbrook-Ikhine). Penalty on Daniel Hardy: Illegal Block Above the Waist, 10 yards (accepted)",-1.77,-0.61,1.0,2024,6
3.0,7:02,1.0,10.0,CHI 25,17.0,10.0,D'Andre Swift left end for -3 yards (tackle by Jeffery Simmons),0.61,-0.34,1.0,2024,6
3.0,6:19,2.0,13.0,CHI 22,17.0,10.0,Caleb Williams pass incomplete short right intended for D'Andre Swift,-0.34,-1.02,1.0,2024,6
3.0,6:15,3.0,13.0,CHI 22,17.0,10.0,Caleb Williams pass incomplete short middle intended for Rome Odunze,-1.02,-1.9,1.0,2024,6
3.0,6:12,4.0,13.0,CHI 22,17.0,10.0,"Tory Taylor punts 49 yards, returned by Jha'Quan Jackson for 2 yards (tackle by Scott Daly). Penalty on Nick Westbrook-Ikhine: Illegal Block Above the Waist, 10 yards (accepted)",-1.9,-0.34,1.0,2024,6
3.0,5:59,1.0,10.0,TEN 21,17.0,10.0,Tony Pollard left guard for -1 yards (tackle by T.J. Edwards and Darrell Taylor),0.34,-0.34,1.0,2024,6
3.0,5:21,2.0,11.0,TEN 20,17.0,10.0,Will Levis pass complete short right to DeAndre Hopkins for 8 yards (tackle by Tyrique Stevenson),-0.34,0.04,1.0,2024,6
3.0,4:39,3.0,3.0,TEN 28,17.0,10.0,Will Levis pass complete short middle to Tyjae Spears for 2 yards (tackle by Tremaine Edmunds),0.04,-1.37,1.0,2024,6
3.0,3:57,4.0,1.0,TEN 30,17.0,10.0,"Ryan Stonehouse punts 59 yards, returned by DeAndre Carter for 13 yards (tackle by Chigoziem Okonkwo)",-1.37,-0.54,1.0,2024,6
3.0,3:46,1.0,10.0,CHI 24,17.0,10.0,Caleb Williams pass incomplete short right intended for D.J. Moore,0.54,0.0,1.0,2024,6
3.0,3:41,2.0,10.0,CHI 24,17.0,10.0,Caleb Williams pass incomplete short right intended for D.J. Moore,0.0,-0.69,1.0,2024,6
3.0,3:32,3.0,10.0,CHI 24,17.0,10.0,Caleb Williams scrambles right end for 11 yards (tackle by Caleb Murphy),-0.69,1.27,1.0,2024,6
3.0,2:59,1.0,10.0,CHI 35,17.0,10.0,Travis Homer right guard for 6 yards (tackle by Amani Hooker),1.27,1.53,1.0,2024,6
3.0,2:34,2.0,4.0,CHI 41,17.0,10.0,Caleb Williams pass complete short left to Keenan Allen for 7 yards (tackle by Chidobe Awuzie and Roger McCreary),1.53,2.13,1.0,2024,6
3.0,2:02,1.0,10.0,CHI 48,17.0,10.0,Caleb Williams pass complete short left to Keenan Allen for 8 yards (tackle by Kenneth Murray),2.13,2.66,1.0,2024,6
3.0,1:37,2.0,2.0,TEN 44,17.0,10.0,Travis Homer left guard for 4 yards (tackle by Sebastian Joseph-Day and Kenneth Murray),2.66,2.92,1.0,2024,6
3.0,1:00,1.0,10.0,TEN 40,17.0,10.0,D'Andre Swift right end for 5 yards (tackle by Ernest Jones and Keondre Coburn),2.92,3.05,1.0,2024,6
3.0,0:15,2.0,5.0,TEN 35,17.0,10.0,D'Andre Swift left guard for -2 yards (tackle by Sebastian Joseph-Day and Ernest Jones),3.05,2.08,1.0,2024,6
4.0,15:00,3.0,7.0,TEN 37,17.0,10.0,"Penalty on Harold Landry: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.08,2.74,1.0,2024,6
4.0,15:00,3.0,2.0,TEN 32,17.0,10.0,"Caleb Williams aborted snap, recovered by Caleb Williams at TEN-32 Caleb Williams pass incomplete deep right intended for Keenan Allen",2.74,1.3,1.0,2024,6
4.0,14:51,4.0,2.0,TEN 32,17.0,13.0,Cairo Santos 50 yard field goal good,1.3,3.0,1.0,2024,6
4.0,14:47,,,CHI 35,17.0,13.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,6
4.0,14:47,1.0,10.0,TEN 30,17.0,13.0,Will Levis pass complete short right to Nick Vannett for 3 yards (tackle by T.J. Edwards),0.94,0.8,1.0,2024,6
4.0,14:01,2.0,7.0,TEN 33,17.0,13.0,Tony Pollard right guard for 11 yards (tackle by Gervon Dexter and Kevin Byard),0.8,1.86,1.0,2024,6
4.0,13:17,1.0,10.0,TEN 44,17.0,13.0,Tony Pollard right end for 5 yards (tackle by Gervon Dexter and T.J. Edwards),1.86,1.99,1.0,2024,6
4.0,12:38,2.0,5.0,TEN 49,17.0,13.0,Tony Pollard right tackle for -1 yards (tackle by Andrew Billings),1.99,1.16,1.0,2024,6
4.0,11:55,3.0,6.0,TEN 48,17.0,13.0,"Will Levis sacked by Darrell Taylor for -15 yards. Will Levis fumbles (forced by Darrell Taylor), recovered by T.J. Edwards at TEN-31 (tackle by Darrell Taylor)",1.16,-3.51,1.0,2024,6
4.0,11:44,1.0,10.0,TEN 31,17.0,13.0,Caleb Williams pass incomplete short left intended for Rome Odunze (defended by Arden Key),3.51,2.97,1.0,2024,6
4.0,11:39,2.0,10.0,TEN 31,17.0,13.0,"D'Andre Swift left guard for no gain (tackle by T'Vondre Sweat). Penalty on Coleman Shelton: Offensive Holding, 10 yards (accepted) (no play)",2.97,1.62,1.0,2024,6
4.0,11:17,2.0,20.0,TEN 41,17.0,13.0,Caleb Williams pass complete short left to DeAndre Carter for 6 yards (tackle by Quandre Diggs and Kenneth Murray),1.62,1.75,1.0,2024,6
4.0,10:39,3.0,14.0,TEN 35,17.0,13.0,Caleb Williams scrambles left tackle for 5 yards (tackle by Harold Landry),1.75,1.41,1.0,2024,6
4.0,9:57,4.0,9.0,TEN 30,17.0,16.0,Cairo Santos 48 yard field goal good,1.41,3.0,1.0,2024,6
4.0,9:52,,,CHI 35,17.0,16.0,"Cairo Santos kicks off 65 yards, returned by Jha'Quan Jackson for 30 yards (tackle by Travis Homer)",0.0,0.94,1.0,2024,6
4.0,9:45,1.0,10.0,TEN 30,17.0,16.0,Will Levis pass complete short middle to Tyler Boyd for 11 yards (tackle by Jaquan Brisker),0.94,1.66,1.0,2024,6
4.0,9:08,1.0,10.0,TEN 41,17.0,16.0,Tony Pollard right guard for no gain (tackle by Kyler Gordon and T.J. Edwards),1.66,1.12,1.0,2024,6
4.0,8:30,2.0,10.0,TEN 41,17.0,16.0,Will Levis pass complete short left to Tyler Boyd for 4 yards (tackle by Kyler Gordon),1.12,0.96,1.0,2024,6
4.0,7:45,3.0,6.0,TEN 45,17.0,22.0,"Will Levis pass short left is intercepted by Tyrique Stevenson at TEN-43 and returned for 43 yards, touchdown",0.96,-7.0,1.0,2024,6
4.0,7:35,,,TEN 2,17.0,24.0,Two Point Attempt: Caleb Williams pass complete to to D'Andre Swift for no gain,1.0,1.0,1.0,2024,6
4.0,7:35,,,CHI 35,17.0,24.0,"Cairo Santos kicks off 61 yards, returned by Jha'Quan Jackson for 26 yards (tackle by Elijah Hicks)",0.0,0.94,1.0,2024,6
4.0,7:28,1.0,10.0,TEN 30,17.0,24.0,Will Levis scrambles left guard for 4 yards (tackle by Darrell Taylor),0.94,0.93,1.0,2024,6
4.0,6:49,2.0,6.0,TEN 34,17.0,24.0,Tony Pollard right tackle for 1 yard (tackle by Byron Cowart),0.93,0.37,1.0,2024,6
4.0,6:05,3.0,5.0,TEN 35,17.0,24.0,Will Levis pass incomplete short middle intended for Calvin Ridley,0.37,-1.04,1.0,2024,6
4.0,6:03,4.0,5.0,TEN 35,17.0,24.0,"Ryan Stonehouse punts 55 yards, returned by DeAndre Carter for 1 yard (tackle by Nick Westbrook-Ikhine and Mike Brown)",-1.04,0.37,1.0,2024,6
4.0,5:49,1.0,10.0,CHI 11,17.0,24.0,D.J. Moore left end for 14 yards (tackle by Amani Hooker),-0.37,0.61,1.0,2024,6
4.0,5:08,1.0,10.0,CHI 25,17.0,24.0,Caleb Williams pass complete short right to Velus Jones for 8 yards (tackle by Harold Landry and Jack Gibbens),0.61,1.14,1.0,2024,6
4.0,4:22,2.0,2.0,CHI 33,17.0,24.0,D'Andre Swift left end for 20 yards (tackle by Amani Hooker),1.14,2.46,1.0,2024,6
4.0,3:37,1.0,10.0,TEN 47,17.0,24.0,D'Andre Swift left end for 4 yards (tackle by L'Jarius Sneed),2.46,2.45,1.0,2024,6
4.0,3:29,,,,,,Timeout #1 by Tennessee Titans,,,1.0,2024,6
4.0,3:29,2.0,6.0,TEN 43,17.0,24.0,Caleb Williams left end for 1 yard (tackle by Quandre Diggs),2.45,1.88,1.0,2024,6
4.0,3:20,,,,,,Timeout #2 by Tennessee Titans,,,1.0,2024,6
4.0,3:20,3.0,5.0,TEN 42,17.0,24.0,Caleb Williams pass complete short left to D.J. Moore for -1 yards (tackle by Roger McCreary),1.88,0.4,1.0,2024,6
4.0,2:33,4.0,6.0,TEN 43,17.0,24.0,"Penalty on CHI: Delay of Game, 5 yards (declined) (no play)",0.4,0.4,1.0,2024,6
4.0,2:33,4.0,6.0,TEN 43,17.0,24.0,"Tory Taylor punts 34 yards, returned by Jha'Quan Jackson for 9 yards (tackle by Josh Blackwell and Khalil Herbert)",0.4,-0.04,1.0,2024,6
4.0,2:20,1.0,10.0,TEN 18,17.0,24.0,Will Levis pass complete deep right to Calvin Ridley for 22 yards (tackle by Tyrique Stevenson),0.04,1.6,1.0,2024,6
4.0,2:14,1.0,10.0,TEN 40,17.0,24.0,Will Levis pass complete short right to Tyjae Spears for 2 yards (tackle by T.J. Edwards),1.6,1.32,1.0,2024,6
4.0,2:00,2.0,8.0,TEN 42,17.0,24.0,Will Levis pass incomplete deep right intended for Calvin Ridley,1.32,0.63,1.0,2024,6
4.0,1:55,3.0,8.0,TEN 42,17.0,24.0,Will Levis pass complete short left to Chigoziem Okonkwo for -2 yards (tackle by Jaylon Johnson),0.63,-0.72,1.0,2024,6
4.0,1:07,4.0,10.0,TEN 40,17.0,24.0,Will Levis pass deep right intended for Tyler Boyd is intercepted by Jaylon Johnson at CHI-31 and returned for 9 yards (tackle by Chigoziem Okonkwo),-0.72,-1.6,1.0,2024,6
4.0,1:05,1.0,10.0,CHI 40,17.0,24.0,Caleb Williams kneels for -1 yards,1.6,0.92,1.0,2024,6
4.0,0:28,2.0,11.0,CHI 39,17.0,24.0,Caleb Williams kneels for -1 yards,0.92,0.1,1.0,2024,6
