Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA,week,year,game_id
1.0,2:20,1.0,10.0,KAN 33,7.0,7.0,Patrick Mahomes pass complete short middle to Rashee Rice for 19 yards (tackle by Eddie Jackson),1.14,2.39,1.0,2024,1
1.0,1:41,1.0,10.0,BAL 48,7.0,7.0,Isiah Pacheco up the middle for 1 yard (tackle by Broderick Washington and Kyle Hamilton),2.39,1.98,1.0,2024,1
1.0,1:11,2.0,9.0,BAL 47,7.0,7.0,Patrick Mahomes pass complete short right to Rashee Rice for 1 yard (tackle by Odafe Oweh and Nate Wiggins),1.98,1.42,1.0,2024,1
1.0,0:30,3.0,8.0,BAL 46,7.0,7.0,Patrick Mahomes sacked by David Ojabo for -10 yards,1.42,-0.46,1.0,2024,1
2.0,15:00,4.0,18.0,KAN 44,7.0,7.0,"Matt Araiza punts 56 yards, touchback.",-0.46,-0.28,1.0,2024,1
2.0,14:53,1.0,10.0,BAL 20,7.0,7.0,"Lamar Jackson sacked by Chris Jones for -6 yards. Lamar Jackson fumbles (forced by Chris Jones), recovered by Felix Anudike-Uzomah at BAL-14",0.28,-4.65,1.0,2024,1
2.0,14:44,1.0,10.0,BAL 14,7.0,7.0,"Isiah Pacheco left end for 2 yards (tackle by Odafe Oweh). Penalty on Travis Kelce: Offensive Holding, 10 yards (accepted) (no play)",4.65,3.97,1.0,2024,1
2.0,14:28,1.0,20.0,BAL 24,7.0,7.0,Patrick Mahomes pass incomplete short right intended for Isiah Pacheco,3.97,2.74,1.0,2024,1
2.0,14:26,,,,,,Timeout #1 by Kansas City Chiefs,,,1.0,2024,1
2.0,14:26,2.0,20.0,BAL 24,7.0,7.0,Patrick Mahomes pass complete short middle to Noah Gray for 11 yards (tackle by Roquan Smith and Kyle Hamilton),2.74,3.26,1.0,2024,1
2.0,13:45,3.0,9.0,BAL 13,7.0,7.0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster (defended by Marcus Williams),3.26,2.57,1.0,2024,1
2.0,13:40,4.0,9.0,BAL 13,7.0,10.0,Harrison Butker 32 yard field goal good,2.57,3.0,1.0,2024,1
2.0,13:37,,,KAN 35,7.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,1
2.0,13:37,1.0,10.0,BAL 30,7.0,10.0,Lamar Jackson pass complete short left to Zay Flowers for 7 yards (tackle by Chamarri Conner),0.94,1.34,1.0,2024,1
2.0,13:00,2.0,3.0,BAL 37,7.0,10.0,Derrick Henry left guard for 6 yards (tackle by Drue Tranquill),1.34,1.8,1.0,2024,1
2.0,12:17,1.0,10.0,BAL 43,7.0,10.0,Lamar Jackson pass complete short right to Isaiah Likely for 5 yards (tackle by Chamarri Conner),1.8,1.93,1.0,2024,1
2.0,11:38,2.0,5.0,BAL 48,7.0,10.0,"Lamar Jackson pass complete short left to Zay Flowers for no gain (tackle by Tershawn Wharton and Trent McDuffie). Penalty on Rashod Bateman: Offensive Pass Interference, 10 yards (accepted) (no play)",1.93,0.58,1.0,2024,1
2.0,11:11,2.0,15.0,BAL 38,7.0,10.0,Lamar Jackson right guard for 5 yards (tackle by Justin Reid and Drue Tranquill),0.58,0.56,1.0,2024,1
2.0,10:27,3.0,10.0,BAL 43,7.0,10.0,Lamar Jackson scrambles right end for 7 yards (tackle by Jaylen Watson and Nick Bolton),0.56,-0.06,1.0,2024,1
2.0,9:44,4.0,3.0,BAL 50,7.0,10.0,Lamar Jackson pass complete short right to Zay Flowers for 1 yard (tackle by Trent McDuffie),-0.06,-2.19,1.0,2024,1
2.0,9:39,1.0,10.0,KAN 49,7.0,10.0,Isiah Pacheco right end for 2 yards (tackle by Michael Pierce and Trenton Simpson),2.19,1.92,1.0,2024,1
2.0,9:03,2.0,8.0,BAL 49,7.0,10.0,Patrick Mahomes pass complete short left to Travis Kelce for 1 yard (tackle by Marlon Humphrey),1.92,1.36,1.0,2024,1
2.0,8:20,3.0,7.0,BAL 48,7.0,10.0,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",1.36,0.7,1.0,2024,1
2.0,8:04,3.0,12.0,KAN 47,7.0,10.0,Patrick Mahomes pass complete deep right to Travis Kelce for 23 yards (tackle by Brandon Stephens),0.7,3.58,1.0,2024,1
2.0,7:12,1.0,10.0,BAL 30,7.0,10.0,Patrick Mahomes pass complete short right to Xavier Worthy for 12 yards (tackle by Brandon Stephens),3.58,4.37,1.0,2024,1
2.0,6:34,1.0,10.0,BAL 18,7.0,10.0,Isiah Pacheco left guard for 5 yards (tackle by Roquan Smith),4.37,4.61,1.0,2024,1
2.0,5:57,2.0,5.0,BAL 13,7.0,10.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,4.61,3.82,1.0,2024,1
2.0,5:53,3.0,5.0,BAL 13,7.0,10.0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy (defended by Ar'Darius Washington),3.82,2.62,1.0,2024,1
2.0,5:47,4.0,5.0,BAL 13,7.0,13.0,Harrison Butker 31 yard field goal good,2.62,3.0,1.0,2024,1
2.0,5:44,,,KAN 35,7.0,13.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,1
2.0,5:44,1.0,10.0,BAL 30,7.0,13.0,"Lamar Jackson pass incomplete short middle intended for Zay Flowers. Penalty on Drue Tranquill: Defensive Pass Interference, 5 yards (accepted) (no play)",0.94,1.27,1.0,2024,1
2.0,5:40,1.0,10.0,BAL 35,7.0,13.0,Zay Flowers right end for 6 yards (tackle by George Karlaftis),1.27,1.53,1.0,2024,1
2.0,5:04,2.0,4.0,BAL 41,7.0,13.0,"Derrick Henry right guard for 9 yards (tackle by Justin Reid). Penalty on Chris Jones: Defensive Offside, 5 yards (declined)",1.53,2.26,1.0,2024,1
2.0,4:34,1.0,10.0,BAL 50,7.0,13.0,Lamar Jackson scrambles up the middle for 13 yards (tackle by Jaylen Watson),2.26,3.12,1.0,2024,1
2.0,3:46,1.0,10.0,KAN 37,7.0,13.0,"Penalty on Lamar Jackson: Delay of Game, 5 yards (accepted) (no play)",3.12,2.79,1.0,2024,1
2.0,3:24,1.0,15.0,KAN 42,7.0,13.0,Lamar Jackson right end for 3 yards (tackle by Leo Chenal),2.79,2.3,1.0,2024,1
2.0,2:40,2.0,12.0,KAN 39,7.0,13.0,"Lamar Jackson pass complete short right to Mark Andrews for no gain (tackle by Drue Tranquill and Trent McDuffie). Penalty on Ronnie Stanley: Illegal Formation, 5 yards (accepted) (no play)",2.3,1.63,1.0,2024,1
2.0,2:20,2.0,17.0,KAN 44,7.0,13.0,Lamar Jackson pass complete short left to Zay Flowers for 9 yards (tackle by Nick Bolton),1.63,2.15,1.0,2024,1
2.0,2:00,3.0,8.0,KAN 35,7.0,13.0,Lamar Jackson pass incomplete short right intended for Rashod Bateman,2.15,0.97,1.0,2024,1
2.0,1:55,4.0,8.0,KAN 35,7.0,13.0,Justin Tucker 53 yard field goal no good,0.97,-1.8,1.0,2024,1
2.0,1:50,1.0,10.0,KAN 43,7.0,13.0,Patrick Mahomes pass short middle intended for Rashee Rice is intercepted by Roquan Smith at BAL-49 and returned for no gain (tackle by Rashee Rice),1.8,-2.19,1.0,2024,1
2.0,1:44,1.0,10.0,BAL 49,7.0,13.0,Lamar Jackson pass complete short left to Justice Hill for 7 yards (tackle by Bryan Cook),2.19,2.59,1.0,2024,1
2.0,1:36,2.0,3.0,KAN 44,7.0,13.0,Lamar Jackson scrambles left guard for 10 yards (tackle by Chamarri Conner),2.59,3.31,1.0,2024,1
2.0,1:03,1.0,10.0,KAN 34,7.0,13.0,Lamar Jackson scrambles left end for 6 yards (tackle by Michael Danna),3.31,3.58,1.0,2024,1
2.0,0:33,2.0,4.0,KAN 28,7.0,13.0,Lamar Jackson pass complete short right to Isaiah Likely for 9 yards (tackle by Trent McDuffie and George Karlaftis),3.58,4.31,1.0,2024,1
2.0,0:27,,,,,,Timeout #1 by Baltimore Ravens,,,1.0,2024,1
2.0,0:27,1.0,10.0,KAN 19,7.0,13.0,Lamar Jackson pass complete short right to Isaiah Likely for 9 yards (tackle by Drue Tranquill),4.31,5.36,1.0,2024,1
2.0,0:21,,,,,,Timeout #2 by Baltimore Ravens,,,1.0,2024,1
2.0,0:21,2.0,1.0,KAN 10,7.0,13.0,Lamar Jackson pass incomplete short right intended for Zay Flowers,5.36,4.69,1.0,2024,1
2.0,0:18,3.0,1.0,KAN 10,7.0,13.0,Justice Hill right end for 3 yards (tackle by Nick Bolton and Leo Chenal),4.69,5.6,1.0,2024,1
2.0,0:13,,,,,,Timeout #3 by Baltimore Ravens,,,1.0,2024,1
2.0,0:13,1.0,7.0,KAN 7,7.0,13.0,Lamar Jackson pass incomplete short left intended for Justice Hill (defended by Leo Chenal),5.6,4.76,1.0,2024,1
2.0,0:09,,,,,,Timeout #2 by Kansas City Chiefs,,,1.0,2024,1
2.0,0:09,2.0,7.0,KAN 7,7.0,13.0,Lamar Jackson pass incomplete short right intended for Justice Hill,4.76,3.81,1.0,2024,1
2.0,0:05,3.0,7.0,KAN 7,10.0,13.0,Justin Tucker 25 yard field goal good,3.81,3.0,1.0,2024,1
2.0,0:03,,,BAL 35,10.0,13.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,1
2.0,0:03,1.0,10.0,KAN 30,10.0,13.0,Patrick Mahomes kneels for -1 yards,0.94,0.26,1.0,2024,1
3.0,15:00,,,BAL 35,10.0,13.0,"Justin Tucker kicks off 65 yards, returned by Mecole Hardman for 29 yards (tackle by Josh Ross). Penalty on Jack Cochrane: Defensive Holding, 10 yards (accepted)",0.0,0.15,1.0,2024,1
3.0,14:54,1.0,10.0,KAN 19,10.0,13.0,Isiah Pacheco right end for 5 yards (tackle by Kyle Van Noy),0.15,0.34,1.0,2024,1
3.0,14:13,2.0,5.0,KAN 24,10.0,13.0,Patrick Mahomes pass complete short middle to Rashee Rice for 33 yards (tackle by Jalyn Armour-Davis and Marcus Williams),0.34,2.72,1.0,2024,1
3.0,13:30,,,,,,Timeout #1 by Baltimore Ravens,,,1.0,2024,1
3.0,13:30,1.0,10.0,BAL 43,10.0,13.0,Patrick Mahomes pass complete short middle to Justin Watson for 25 yards (tackle by Trenton Simpson),2.72,4.37,1.0,2024,1
3.0,12:46,1.0,10.0,BAL 18,10.0,13.0,"Isiah Pacheco left guard for no gain (tackle by Marcus Williams). Penalty on Kingsley Suamataia: Offensive Holding, 10 yards (accepted) (no play)",4.37,3.71,1.0,2024,1
3.0,12:26,1.0,20.0,BAL 28,10.0,13.0,Patrick Mahomes pass incomplete short middle intended for Rashee Rice (defended by Trenton Simpson),3.71,2.48,1.0,2024,1
3.0,12:23,2.0,20.0,BAL 28,10.0,13.0,"Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster. Penalty on Nnamdi Madubuike: Roughing the Passer, 14 yards (accepted) (no play)",2.48,4.65,1.0,2024,1
3.0,12:19,1.0,10.0,BAL 14,10.0,13.0,Patrick Mahomes pass complete short right to Noah Gray for 13 yards (tackle by Marcus Williams and Marlon Humphrey),4.65,6.97,1.0,2024,1
3.0,11:38,1.0,1.0,BAL 1,10.0,19.0,"Isiah Pacheco right guard for 1 yard, touchdown",6.97,7.0,1.0,2024,1
3.0,11:28,,,BAL 15,10.0,20.0,Harrison Butker kicks extra point good,0.0,0.0,1.0,2024,1
3.0,11:28,,,KAN 35,10.0,20.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,1
3.0,11:28,1.0,10.0,BAL 30,10.0,20.0,Lamar Jackson pass incomplete short right intended for Zay Flowers,0.94,0.39,1.0,2024,1
3.0,11:24,2.0,10.0,BAL 30,10.0,20.0,Lamar Jackson pass complete short left to Zay Flowers for -2 yards (tackle by Felix Anudike-Uzomah),0.39,-0.56,1.0,2024,1
3.0,10:45,3.0,12.0,BAL 28,10.0,20.0,Lamar Jackson pass complete short left to Justice Hill for 17 yards (tackle by Joshua Williams),-0.56,1.93,1.0,2024,1
3.0,10:01,1.0,10.0,BAL 45,10.0,20.0,Lamar Jackson pass complete short left to Mark Andrews for 11 yards (tackle by Justin Reid),1.93,2.65,1.0,2024,1
3.0,9:23,1.0,10.0,KAN 44,10.0,20.0,Derrick Henry right guard for -1 yards (tackle by Leo Chenal and Nick Bolton),2.65,1.91,1.0,2024,1
3.0,8:42,2.0,12.0,KAN 45,10.0,20.0,Lamar Jackson pass incomplete deep middle intended for Isaiah Likely,1.91,1.22,1.0,2024,1
3.0,8:37,3.0,12.0,KAN 45,10.0,20.0,Lamar Jackson pass incomplete deep right intended for Zay Flowers (defended by Jaylen Watson),1.22,0.27,1.0,2024,1
3.0,8:31,4.0,12.0,KAN 45,10.0,20.0,"Jordan Stout punts 35 yards, fair catch by Mecole Hardman at KC-10",0.27,0.38,1.0,2024,1
3.0,8:24,1.0,10.0,KAN 10,10.0,20.0,Isiah Pacheco left end for 5 yards (tackle by Trenton Simpson),-0.38,-0.35,1.0,2024,1
3.0,7:49,2.0,5.0,KAN 15,10.0,20.0,Isiah Pacheco right tackle for 2 yards (tackle by Roquan Smith),-0.35,-0.6,1.0,2024,1
3.0,7:08,3.0,3.0,KAN 17,10.0,20.0,Patrick Mahomes pass complete short right to Travis Kelce for 10 yards (tackle by Kyle Hamilton),-0.6,0.74,1.0,2024,1
3.0,6:29,,,,,,Timeout #2 by Baltimore Ravens,,,1.0,2024,1
3.0,6:29,1.0,10.0,KAN 27,10.0,20.0,Patrick Mahomes pass complete short middle to Rashee Rice for 15 yards (tackle by Marcus Williams),0.74,1.73,1.0,2024,1
3.0,5:53,1.0,10.0,KAN 42,10.0,20.0,Isiah Pacheco left guard for 3 yards (tackle by Malik Harrison),1.73,1.59,1.0,2024,1
3.0,5:18,2.0,7.0,KAN 45,10.0,20.0,Patrick Mahomes pass complete short right to Samaje Perine for 10 yards (tackle by Travis Jones),1.59,2.59,1.0,2024,1
3.0,4:40,1.0,10.0,BAL 45,10.0,20.0,Carson Steele left guard for 5 yards (tackle by Michael Pierce and Malik Harrison),2.59,2.72,1.0,2024,1
3.0,3:57,2.0,5.0,BAL 40,10.0,20.0,Patrick Mahomes pass incomplete short right,2.72,2.01,1.0,2024,1
3.0,3:50,3.0,5.0,BAL 40,10.0,20.0,Patrick Mahomes pass incomplete short left intended for Samaje Perine,2.01,0.59,1.0,2024,1
3.0,3:46,4.0,5.0,BAL 40,10.0,20.0,"Matt Araiza punts 40 yards, touchback.",0.59,-0.28,1.0,2024,1
3.0,3:37,1.0,10.0,BAL 20,10.0,20.0,Lamar Jackson pass incomplete short left intended for Derrick Henry,0.28,-0.27,1.0,2024,1
3.0,3:33,2.0,10.0,BAL 20,10.0,20.0,Lamar Jackson pass complete short right to Rashod Bateman for 15 yards (tackle by Justin Reid and Jaylen Watson),-0.27,1.27,1.0,2024,1
3.0,2:52,1.0,10.0,BAL 35,10.0,20.0,Derrick Henry right guard for 6 yards (tackle by Michael Danna),1.27,1.53,1.0,2024,1
3.0,2:16,2.0,4.0,BAL 41,10.0,20.0,Derrick Henry right end for 1 yard (tackle by Tershawn Wharton),1.53,0.96,1.0,2024,1
3.0,1:30,3.0,3.0,BAL 42,10.0,20.0,Lamar Jackson scrambles right guard for 16 yards (tackle by Bryan Cook),0.96,2.79,1.0,2024,1
3.0,0:46,1.0,10.0,KAN 42,10.0,20.0,"Lamar Jackson scrambles right end for no gain (tackle by Trent McDuffie). Penalty on Tyler Linderbaum: Offensive Holding, 10 yards (accepted) (no play)",2.79,2.13,1.0,2024,1
3.0,0:10,1.0,20.0,BAL 48,10.0,20.0,Lamar Jackson right end for 3 yards (tackle by Jaylen Watson),2.13,1.3,1.0,2024,1
4.0,15:00,2.0,17.0,KAN 49,16.0,20.0,"Lamar Jackson pass complete deep right to Isaiah Likely for 49 yards, touchdown",1.3,7.0,1.0,2024,1
4.0,14:47,,,KAN 15,17.0,20.0,Justin Tucker kicks extra point good,0.0,0.0,1.0,2024,1
4.0,14:47,,,BAL 35,17.0,20.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,1
4.0,14:47,1.0,10.0,KAN 30,17.0,20.0,Patrick Mahomes pass complete short right to Rashee Rice for 8 yards (tackle by Brandon Stephens),0.94,1.47,1.0,2024,1
4.0,14:15,2.0,2.0,KAN 38,17.0,20.0,Isiah Pacheco right guard for 3 yards (tackle by Michael Pierce and Trenton Simpson),1.47,1.66,1.0,2024,1
4.0,13:36,1.0,10.0,KAN 41,17.0,20.0,Patrick Mahomes pass complete short right to Noah Gray for 13 yards (tackle by Marcus Williams),1.66,2.52,1.0,2024,1
4.0,12:57,1.0,10.0,BAL 46,17.0,20.0,Isiah Pacheco right tackle for 5 yards (tackle by Michael Pierce),2.52,2.65,1.0,2024,1
4.0,12:21,2.0,5.0,BAL 41,17.0,20.0,Isiah Pacheco left guard for 2 yards (tackle by Odafe Oweh),2.65,2.21,1.0,2024,1
4.0,11:40,3.0,3.0,BAL 39,17.0,20.0,Patrick Mahomes left end for 4 yards (tackle by Marcus Williams),2.21,3.25,1.0,2024,1
4.0,11:09,1.0,10.0,BAL 35,17.0,20.0,Isiah Pacheco left end for no gain (tackle by Odafe Oweh),3.25,2.7,1.0,2024,1
4.0,10:32,2.0,10.0,BAL 35,17.0,26.0,"Patrick Mahomes pass complete deep right to Xavier Worthy for 35 yards, touchdown",2.7,7.0,1.0,2024,1
4.0,10:25,,,BAL 15,17.0,27.0,Harrison Butker kicks extra point good,0.0,0.0,1.0,2024,1
4.0,10:25,,,KAN 35,17.0,27.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,1
4.0,10:25,1.0,10.0,BAL 30,17.0,27.0,Zay Flowers right end for 8 yards (tackle by Drue Tranquill),0.94,1.47,1.0,2024,1
4.0,9:46,2.0,2.0,BAL 38,17.0,27.0,Lamar Jackson pass complete short left to Isaiah Likely for 4 yards (tackle by Bryan Cook and Michael Danna),1.47,1.73,1.0,2024,1
4.0,9:20,1.0,10.0,BAL 42,17.0,27.0,Lamar Jackson left end for 9 yards (tackle by Tershawn Wharton),1.73,2.4,1.0,2024,1
4.0,8:41,2.0,1.0,KAN 49,17.0,27.0,Derrick Henry right guard for 5 yards (tackle by Michael Danna),2.4,2.65,1.0,2024,1
4.0,8:17,1.0,10.0,KAN 44,17.0,27.0,Lamar Jackson right end for 13 yards (tackle by Jaylen Watson and Chris Jones),2.65,3.51,1.0,2024,1
4.0,7:46,1.0,10.0,KAN 31,17.0,27.0,Lamar Jackson pass incomplete deep left intended for Rashod Bateman,3.51,2.97,1.0,2024,1
4.0,7:38,2.0,10.0,KAN 31,17.0,27.0,Lamar Jackson pass complete short left to Nelson Agholor for 6 yards (tackle by Bryan Cook),2.97,3.07,1.0,2024,1
4.0,7:13,3.0,4.0,KAN 25,17.0,27.0,Lamar Jackson pass complete short right to Mark Andrews for 3 yards (tackle by Chamarri Conner),3.07,2.14,1.0,2024,1
4.0,6:35,4.0,1.0,KAN 22,17.0,27.0,Derrick Henry left guard for 2 yards (tackle by Justin Reid and Mike Pennel),2.14,4.24,1.0,2024,1
4.0,5:52,1.0,10.0,KAN 20,17.0,27.0,Lamar Jackson scrambles right end for 4 yards (tackle by Jaylen Watson and Leo Chenal),4.24,4.28,1.0,2024,1
4.0,5:14,2.0,6.0,KAN 16,17.0,27.0,Lamar Jackson pass incomplete short right,4.28,3.52,1.0,2024,1
4.0,4:58,3.0,6.0,KAN 16,17.0,27.0,"Lamar Jackson scrambles left guard for 2 yards (tackle by Leo Chenal). Penalty on Rashod Bateman: Illegal Formation, 5 yards (declined)",3.52,2.58,1.0,2024,1
4.0,4:58,4.0,4.0,KAN 14,20.0,27.0,Justin Tucker 32 yard field goal good,2.58,3.0,1.0,2024,1
4.0,4:54,,,BAL 35,20.0,27.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,1
4.0,4:54,1.0,10.0,KAN 30,20.0,27.0,Isiah Pacheco right tackle for 5 yards (tackle by Eddie Jackson),0.94,1.07,1.0,2024,1
4.0,4:15,2.0,5.0,KAN 35,20.0,27.0,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",1.07,0.39,1.0,2024,1
4.0,4:14,2.0,10.0,KAN 30,20.0,27.0,"Patrick Mahomes scrambles right end for no gain (tackle by Roquan Smith). Penalty on Rashee Rice: Offensive Holding, 10 yards (offset) . Penalty on Marcus Williams: Personal Foul / Defense, 15 yards (offset) (no play)",0.39,0.39,1.0,2024,1
4.0,4:06,2.0,10.0,KAN 30,20.0,27.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 10 yards (tackle by Nate Wiggins),0.39,1.6,1.0,2024,1
4.0,3:28,1.0,10.0,KAN 40,20.0,27.0,Isiah Pacheco right guard for 2 yards (tackle by Travis Jones),1.6,1.32,1.0,2024,1
4.0,2:47,2.0,8.0,KAN 42,20.0,27.0,Carson Steele left end for -2 yards (tackle by Roquan Smith),1.32,0.37,1.0,2024,1
4.0,2:36,,,,,,Timeout #3 by Baltimore Ravens,,,1.0,2024,1
4.0,2:36,3.0,10.0,KAN 40,20.0,27.0,Patrick Mahomes pass complete short middle to Patrick Mahomes for 2 yards (tackle by Odafe Oweh),0.37,-0.59,1.0,2024,1
4.0,2:00,4.0,8.0,KAN 42,20.0,27.0,"Matt Araiza punts 48 yards, returned by Deonte Harty for 3 yards (tackle by Nazeeh Johnson)",-0.59,0.32,1.0,2024,1
4.0,1:50,1.0,10.0,BAL 13,20.0,27.0,Lamar Jackson pass complete short right to Isaiah Likely for 8 yards (tackle by Jaylen Watson),-0.32,0.35,1.0,2024,1
4.0,1:45,2.0,2.0,BAL 21,20.0,27.0,Lamar Jackson scrambles right end for 9 yards (tackle by Chamarri Conner),0.35,0.94,1.0,2024,1
4.0,1:37,1.0,10.0,BAL 30,20.0,27.0,Lamar Jackson pass incomplete deep left intended for Rashod Bateman,0.94,0.39,1.0,2024,1
4.0,1:31,2.0,10.0,BAL 30,20.0,27.0,Lamar Jackson pass complete short right to Isaiah Likely for 8 yards (tackle by Jaylen Watson),0.39,0.76,1.0,2024,1
4.0,1:26,3.0,2.0,BAL 38,20.0,27.0,Lamar Jackson scrambles up the middle for 3 yards (tackle by Nick Bolton),0.76,1.66,1.0,2024,1
4.0,1:11,,,,,,Timeout #1 by Kansas City Chiefs,,,1.0,2024,1
