Quarter,Time,Down,ToGo,Location,GNB,PHI,Detail,EPB,EPA,week,year,game_id
1.0,8:26,,,GNB 35,3.0,0.0,"Brayden Narveson kicks off 61 yards, recovered by Kenneth Gainwell at PHI-7 (tackle by Edgerrin Cooper)",0.0,-0.14,1.0,2024,2
1.0,8:21,1.0,10.0,PHI 16,3.0,0.0,Saquon Barkley right guard for 3 yards (tackle by Tedarrell Slaton),-0.14,-0.18,1.0,2024,2
1.0,7:46,2.0,7.0,PHI 19,3.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 1 yard (tackle by Javon Bullard),-0.18,-0.82,1.0,2024,2
1.0,7:11,3.0,6.0,PHI 20,3.0,0.0,"Jalen Hurts aborted snap, recovered by Devonte Wyatt at PHI-14",-0.82,-4.71,1.0,2024,2
1.0,7:06,1.0,10.0,PHI 13,3.0,0.0,"Josh Jacobs right end for no gain (tackle by Darius Slay). Penalty on Tucker Kraft: Offensive Holding, 10 yards (accepted) (no play)",4.71,4.04,1.0,2024,2
1.0,6:43,1.0,20.0,PHI 23,3.0,0.0,Jordan Love pass complete short right to Jayden Reed for 9 yards (tackle by Reed Blankenship and Zack Baun),4.04,3.9,1.0,2024,2
1.0,5:58,2.0,11.0,PHI 14,3.0,0.0,Jordan Love pass complete short right to Romeo Doubs for 10 yards (tackle by Darius Slay),3.9,5.01,1.0,2024,2
1.0,5:27,3.0,1.0,PHI 4,3.0,0.0,Josh Jacobs up the middle for -1 yards (tackle by Nakobe Dean and Brandon Graham),5.01,3.03,1.0,2024,2
1.0,4:44,4.0,2.0,PHI 5,3.0,0.0,Josh Jacobs right tackle for 2 yards (tackle by C.J. Gardner-Johnson and Zack Baun),3.03,6.51,1.0,2024,2
1.0,3:58,,,,,,Timeout #2 by Green Bay Packers,,,1.0,2024,2
1.0,3:58,1.0,3.0,PHI 3,3.0,0.0,"Jordan Love pass incomplete short left intended for Christian Watson. Penalty on Romeo Doubs: Offensive Pass Interference, 10 yards (accepted) (no play)",6.51,4.53,1.0,2024,2
1.0,3:53,1.0,13.0,PHI 13,3.0,0.0,Jordan Love pass complete short right to Tucker Kraft for 8 yards (tackle by C.J. Gardner-Johnson and Jalen Carter),4.53,5.15,1.0,2024,2
1.0,3:15,2.0,5.0,PHI 5,3.0,0.0,Jordan Love pass incomplete short right,5.15,4.26,1.0,2024,2
1.0,3:09,3.0,5.0,PHI 5,3.0,0.0,Jordan Love pass incomplete short right intended for Christian Watson,4.26,3.01,1.0,2024,2
1.0,3:04,4.0,5.0,PHI 5,6.0,0.0,Brayden Narveson 23 yard field goal good,3.01,3.0,1.0,2024,2
1.0,3:01,,,GNB 35,6.0,0.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,2
1.0,3:01,1.0,10.0,PHI 30,6.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 4 yards (tackle by Jaire Alexander),0.94,0.93,1.0,2024,2
1.0,2:23,2.0,6.0,PHI 34,6.0,0.0,Saquon Barkley left tackle for 5 yards (tackle by Quay Walker),0.93,0.89,1.0,2024,2
1.0,1:40,3.0,1.0,PHI 39,6.0,0.0,"Jalen Hurts pass complete short left to A.J. Brown for 8 yards (tackle by Jaire Alexander). Penalty on Kenny Clark: Defensive Offside, 5 yards (declined)",0.89,2.06,1.0,2024,2
1.0,1:21,1.0,10.0,PHI 47,6.0,0.0,Jalen Hurts right end for 2 yards (tackle by Keisean Nixon),2.06,1.79,1.0,2024,2
1.0,0:39,2.0,8.0,PHI 49,6.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 8 yards (tackle by Karl Brooks and Quay Walker),1.79,2.72,1.0,2024,2
1.0,0:06,1.0,10.0,GNB 43,6.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 9 yards (tackle by Keisean Nixon),2.72,3.39,1.0,2024,2
2.0,15:00,2.0,1.0,GNB 34,6.0,0.0,Jalen Hurts pass incomplete short right,3.39,2.68,1.0,2024,2
2.0,14:54,3.0,1.0,GNB 34,6.0,0.0,Jalen Hurts up the middle for no gain (tackle by Quay Walker),2.68,1.1,1.0,2024,2
2.0,14:21,4.0,1.0,GNB 34,6.0,0.0,"Penalty on Tedarrell Slaton: Encroachment, 6 yards (accepted) (no play)",1.1,3.71,1.0,2024,2
2.0,14:08,1.0,10.0,GNB 28,6.0,0.0,Saquon Barkley up the middle for 11 yards (tackle by Xavier McKinney),3.71,4.44,1.0,2024,2
2.0,13:27,1.0,10.0,GNB 17,6.0,0.0,Saquon Barkley up the middle for -1 yards (tackle by Eric Wilson and Tedarrell Slaton),4.44,3.72,1.0,2024,2
2.0,12:43,2.0,11.0,GNB 18,6.0,6.0,"Jalen Hurts pass complete deep left to Saquon Barkley for 18 yards, touchdown",3.72,7.0,1.0,2024,2
2.0,12:38,,,GNB 15,6.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2024,2
2.0,12:38,,,PHI 35,6.0,7.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,2
2.0,12:38,1.0,10.0,GNB 30,6.0,7.0,Jordan Love pass incomplete deep left intended for Dontayvion Wicks,0.94,0.39,1.0,2024,2
2.0,12:33,2.0,10.0,GNB 30,6.0,7.0,Emanuel Wilson left tackle for 14 yards (tackle by Reed Blankenship),0.39,1.86,1.0,2024,2
2.0,11:57,1.0,10.0,GNB 44,6.0,7.0,Emanuel Wilson left end for 5 yards (tackle by Zack Baun),1.86,1.99,1.0,2024,2
2.0,11:13,2.0,5.0,GNB 49,6.0,7.0,Emanuel Wilson up the middle for 18 yards (tackle by Zack Baun),1.99,3.38,1.0,2024,2
2.0,10:24,,,,,,Timeout #3 by Green Bay Packers,,,1.0,2024,2
2.0,10:24,1.0,10.0,PHI 33,12.0,7.0,"Jayden Reed right end for 33 yards, touchdown",3.38,7.0,1.0,2024,2
2.0,10:16,,,PHI 15,12.0,7.0,"Brayden Narveson kicks extra point good. Penalty on Jalen Carter: Defensive Offside, 1 yard (accepted) (no play)",0.0,1.0,1.0,2024,2
2.0,10:16,,,PHI 1,12.0,7.0,"Two Point Attempt: Josh Jacobs rushes, conversion fails.",1.0,-1.0,1.0,2024,2
2.0,10:16,,,GNB 35,12.0,7.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,2
2.0,10:16,1.0,10.0,PHI 30,12.0,7.0,Saquon Barkley left tackle for 2 yards (tackle by Karl Brooks and Isaiah McDuffie),0.94,0.66,1.0,2024,2
2.0,9:33,2.0,8.0,PHI 32,12.0,7.0,Jalen Hurts pass incomplete deep right,0.66,-0.03,1.0,2024,2
2.0,9:26,3.0,8.0,PHI 32,12.0,7.0,Jalen Hurts pass complete short left to A.J. Brown for 20 yards (tackle by Xavier McKinney),-0.03,2.39,1.0,2024,2
2.0,8:47,1.0,10.0,GNB 48,12.0,7.0,Jalen Hurts right end for 1 yard (tackle by Quay Walker),2.39,1.98,1.0,2024,2
2.0,8:04,2.0,9.0,GNB 47,12.0,7.0,Jalen Hurts pass complete short left to DeVonta Smith for 25 yards (tackle by Javon Bullard),1.98,4.11,1.0,2024,2
2.0,7:19,1.0,10.0,GNB 22,12.0,7.0,Jalen Hurts pass complete short left to Saquon Barkley for 5 yards (tackle by Quay Walker),4.11,4.29,1.0,2024,2
2.0,6:40,2.0,5.0,GNB 17,12.0,7.0,Jalen Hurts right guard for 4 yards (tackle by Edgerrin Cooper and Tedarrell Slaton),4.29,4.39,1.0,2024,2
2.0,6:08,3.0,1.0,GNB 13,12.0,7.0,Jalen Hurts up the middle for 2 yards (tackle by Quay Walker),4.39,4.84,1.0,2024,2
2.0,5:38,1.0,10.0,GNB 11,12.0,13.0,"Saquon Barkley right guard for 11 yards, touchdown",4.84,7.0,1.0,2024,2
2.0,5:34,,,GNB 15,12.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2024,2
2.0,5:34,,,PHI 35,12.0,14.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,2
2.0,5:34,1.0,10.0,GNB 30,12.0,14.0,Jordan Love pass incomplete short right intended for Josh Jacobs,0.94,0.39,1.0,2024,2
2.0,5:29,2.0,10.0,GNB 30,12.0,14.0,Jordan Love pass incomplete deep left intended for Luke Musgrave (defended by Quinyon Mitchell),0.39,-0.3,1.0,2024,2
2.0,5:22,3.0,10.0,GNB 30,18.0,14.0,"Jordan Love pass complete deep right to Jayden Reed for 70 yards, touchdown",-0.3,7.0,1.0,2024,2
2.0,5:11,,,PHI 15,18.0,14.0,"Penalty on Rasheed Walker: False Start, 5 yards (accepted) (no play)",0.0,0.0,1.0,2024,2
2.0,5:11,,,PHI 20,19.0,14.0,Brayden Narveson kicks extra point good,0.0,0.0,1.0,2024,2
2.0,5:11,,,GNB 35,19.0,14.0,"Brayden Narveson kicks off 71 yards, returned by Kenneth Gainwell for 29 yards (tackle by Zayne Anderson)",0.0,0.48,1.0,2024,2
2.0,5:06,1.0,10.0,PHI 23,19.0,14.0,Jalen Hurts pass incomplete short middle intended for A.J. Brown,0.48,-0.07,1.0,2024,2
2.0,5:01,2.0,10.0,PHI 23,19.0,14.0,Jalen Hurts pass complete short left to A.J. Brown for 13 yards (tackle by Jaire Alexander),-0.07,1.33,1.0,2024,2
2.0,4:20,1.0,10.0,PHI 36,19.0,14.0,Jalen Hurts pass incomplete short right,1.33,0.79,1.0,2024,2
2.0,4:11,2.0,10.0,PHI 36,19.0,14.0,Saquon Barkley right end for 3 yards (tackle by Karl Brooks),0.79,0.5,1.0,2024,2
2.0,3:33,3.0,7.0,PHI 39,19.0,14.0,Jalen Hurts pass complete short left to Dallas Goedert for 21 yards (tackle by Jaire Alexander),0.5,2.92,1.0,2024,2
2.0,2:54,1.0,10.0,GNB 40,19.0,14.0,Saquon Barkley up the middle for 2 yards (tackle by Lukas Van Ness),2.92,2.64,1.0,2024,2
2.0,2:10,2.0,8.0,GNB 38,19.0,14.0,Jalen Hurts pass incomplete deep right intended for Johnny Wilson,2.64,1.95,1.0,2024,2
2.0,2:03,3.0,8.0,GNB 38,19.0,14.0,Jalen Hurts up the middle for 5 yards (tackle by Rashan Gary and Kenny Clark),1.95,1.19,1.0,2024,2
2.0,1:59,,,,,,Timeout #1 by Philadelphia Eagles,,,1.0,2024,2
2.0,1:59,4.0,3.0,GNB 33,19.0,14.0,Jalen Hurts pass complete short left to DeVonta Smith for 7 yards (tackle by Isaiah McDuffie),1.19,3.84,1.0,2024,2
2.0,1:24,1.0,10.0,GNB 26,19.0,14.0,Kenneth Gainwell up the middle for 2 yards (tackle by Kenny Clark),3.84,3.57,1.0,2024,2
2.0,0:53,2.0,8.0,GNB 24,19.0,14.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 10 yards (tackle by Xavier McKinney and Quay Walker),3.57,4.65,1.0,2024,2
2.0,0:43,,,,,,Timeout #2 by Philadelphia Eagles,,,1.0,2024,2
2.0,0:43,1.0,10.0,GNB 14,19.0,14.0,Jalen Hurts sacked by Keisean Nixon for -6 yards,4.65,3.28,1.0,2024,2
2.0,0:31,,,,,,Timeout #3 by Philadelphia Eagles,,,1.0,2024,2
2.0,0:31,2.0,16.0,GNB 20,19.0,14.0,"Penalty on Dallas Goedert: False Start, 5 yards (accepted) (no play)",3.28,2.61,1.0,2024,2
2.0,0:31,2.0,21.0,GNB 25,19.0,14.0,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards (tackle by Javon Bullard),2.61,2.61,1.0,2024,2
2.0,0:05,3.0,16.0,GNB 20,19.0,14.0,Jalen Hurts spiked the ball,2.61,2.12,1.0,2024,2
2.0,0:04,4.0,16.0,GNB 20,19.0,17.0,Jake Elliott 38 yard field goal good,2.12,3.0,1.0,2024,2
3.0,15:00,,,GNB 35,19.0,17.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,2
3.0,15:00,1.0,10.0,PHI 30,19.0,17.0,Saquon Barkley right tackle for 3 yards (tackle by Eric Wilson),0.94,0.8,1.0,2024,2
3.0,14:22,2.0,7.0,PHI 33,19.0,23.0,"Jalen Hurts pass complete deep right to A.J. Brown for 67 yards, touchdown",0.8,7.0,1.0,2024,2
3.0,14:09,,,GNB 15,19.0,24.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2024,2
3.0,14:09,,,PHI 35,19.0,24.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,2
3.0,14:09,1.0,10.0,GNB 30,19.0,24.0,Jordan Love pass incomplete deep left,0.94,0.39,1.0,2024,2
3.0,13:59,2.0,10.0,GNB 30,19.0,24.0,"Josh Jacobs right guard for 5 yards. Josh Jacobs fumbles (forced by Darius Slay), recovered by Bo Melton at GB-39",0.39,0.89,1.0,2024,2
3.0,13:31,3.0,1.0,GNB 39,19.0,24.0,"Jordan Love pass incomplete short left intended for Bo Melton. Penalty on Quinyon Mitchell: Defensive Pass Interference, 15 yards (declined) . Penalty on Zack Baun: Roughing the Passer, 16 yards (accepted) (no play)",0.89,2.59,1.0,2024,2
3.0,13:25,1.0,10.0,PHI 45,19.0,24.0,Jordan Love pass complete short left to Tucker Kraft for 29 yards (tackle by Reed Blankenship),2.59,4.51,1.0,2024,2
3.0,12:45,1.0,10.0,PHI 16,19.0,24.0,Josh Jacobs left guard for 1 yard (tackle by Zack Baun and C.J. Gardner-Johnson),4.51,4.05,1.0,2024,2
3.0,12:06,2.0,9.0,PHI 15,19.0,24.0,Jordan Love pass incomplete short right intended for Tucker Kraft,4.05,3.22,1.0,2024,2
3.0,12:01,3.0,9.0,PHI 15,19.0,24.0,"Jordan Love pass incomplete short right intended for Dontayvion Wicks. Penalty on Avonte Maddox: Defensive Pass Interference, 13 yards (accepted) (no play)",3.22,6.74,1.0,2024,2
3.0,11:58,1.0,2.0,PHI 2,25.0,24.0,"Jordan Love pass complete short left to Christian Watson for 2 yards, touchdown",6.74,7.0,1.0,2024,2
3.0,11:55,,,PHI 15,26.0,24.0,Brayden Narveson kicks extra point good,0.0,0.0,1.0,2024,2
3.0,11:55,,,GNB 35,26.0,24.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,2
3.0,11:55,1.0,10.0,PHI 30,26.0,24.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Rashan Gary),0.94,0.39,1.0,2024,2
3.0,11:50,2.0,10.0,PHI 30,26.0,24.0,Saquon Barkley right end for 2 yards (tackle by Edgerrin Cooper),0.39,-0.03,1.0,2024,2
3.0,11:25,3.0,8.0,PHI 32,26.0,24.0,Jalen Hurts sacked by Rashan Gary for -6 yards,-0.03,-1.63,1.0,2024,2
3.0,10:33,4.0,14.0,PHI 26,26.0,24.0,"Braden Mann punts 54 yards, fair catch by Jayden Reed at GB-20",-1.63,-0.28,1.0,2024,2
3.0,10:26,1.0,10.0,GNB 20,26.0,24.0,Jordan Love pass complete short left to Romeo Doubs for 12 yards (tackle by Quinyon Mitchell),0.28,1.07,1.0,2024,2
3.0,9:46,1.0,10.0,GNB 32,26.0,24.0,"Emanuel Wilson right guard for no gain (tackle by Zack Baun). Penalty on Tucker Kraft: Illegal Shift, 5 yards (accepted) (no play)",1.07,0.74,1.0,2024,2
3.0,9:23,1.0,15.0,GNB 27,26.0,24.0,Jordan Love pass incomplete deep left intended for Jayden Reed,0.74,-0.15,1.0,2024,2
3.0,9:18,2.0,15.0,GNB 27,26.0,24.0,Jordan Love pass incomplete short middle intended for Romeo Doubs,-0.15,-0.82,1.0,2024,2
3.0,9:13,3.0,15.0,GNB 27,26.0,24.0,"Jordan Love pass incomplete short left intended for Emanuel Wilson (defended by Nakobe Dean). Penalty on Tucker Kraft: Illegal Shift, 5 yards (declined)",-0.82,-1.57,1.0,2024,2
3.0,9:08,4.0,15.0,GNB 27,26.0,24.0,"Daniel Whelan punts, returned by Britain Covey for no gain (tackle by Eric Wilson). Penalty on Isaiah McDuffie: Illegal Formation, 5 yards (offset) . Penalty on Tristin McCollum: Illegal Blindside Block, 15 yards (offset) (no play)",-1.57,-1.57,1.0,2024,2
3.0,8:56,4.0,15.0,GNB 27,26.0,24.0,"Daniel Whelan punts 41 yards, fair catch by Britain Covey at PHI-32",-1.57,-1.07,1.0,2024,2
3.0,8:47,1.0,10.0,PHI 32,26.0,24.0,Saquon Barkley left tackle for 8 yards (tackle by Keisean Nixon),1.07,1.61,1.0,2024,2
3.0,8:12,2.0,2.0,PHI 40,26.0,24.0,Jalen Hurts left end for no gain (tackle by Preston Smith),1.61,0.89,1.0,2024,2
3.0,7:32,3.0,2.0,PHI 40,26.0,24.0,Jalen Hurts pass incomplete short right,0.89,-0.72,1.0,2024,2
3.0,7:27,4.0,2.0,PHI 40,26.0,24.0,"Braden Mann punts 47 yards, fair catch by Jayden Reed at GB-13",-0.72,0.32,1.0,2024,2
3.0,7:21,1.0,10.0,GNB 13,26.0,24.0,Josh Jacobs up the middle for 9 yards (tackle by Reed Blankenship and Bryce Huff),-0.32,0.49,1.0,2024,2
3.0,6:37,2.0,1.0,GNB 22,26.0,24.0,"Josh Jacobs left end for no gain (tackle by C.J. Gardner-Johnson and Quinyon Mitchell). Penalty on Rasheed Walker: Offensive Holding, 10 yards (accepted) (no play)",0.49,-0.85,1.0,2024,2
3.0,6:14,2.0,11.0,GNB 12,26.0,24.0,Jordan Love pass short middle intended for Luke Musgrave is intercepted by Reed Blankenship at GB-25 and returned for 1 yard (tackle by Dontayvion Wicks),-0.85,-3.97,1.0,2024,2
3.0,6:08,1.0,10.0,GNB 24,26.0,24.0,Jalen Hurts pass complete short right to DeVonta Smith for 8 yards (tackle by Isaiah McDuffie),3.97,4.65,1.0,2024,2
3.0,5:35,2.0,2.0,GNB 16,26.0,24.0,Saquon Barkley left guard for 5 yards (tackle by Lukas Van Ness and Javon Bullard),4.65,4.84,1.0,2024,2
3.0,5:04,1.0,10.0,GNB 11,26.0,24.0,Saquon Barkley up the middle for 9 yards (tackle by Keisean Nixon and Javon Bullard),4.84,5.85,1.0,2024,2
3.0,4:32,2.0,1.0,GNB 2,26.0,30.0,"Saquon Barkley up the middle for 2 yards, touchdown",5.85,7.0,1.0,2024,2
3.0,4:26,,,GNB 15,26.0,31.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2024,2
3.0,4:26,,,PHI 35,26.0,31.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,2
3.0,4:26,1.0,10.0,GNB 30,26.0,31.0,Jordan Love pass complete short left to Romeo Doubs for 9 yards (tackle by Nakobe Dean),0.94,1.61,1.0,2024,2
3.0,3:48,2.0,1.0,GNB 39,26.0,31.0,Josh Jacobs up the middle for 3 yards (tackle by Zack Baun),1.61,1.73,1.0,2024,2
3.0,3:10,1.0,10.0,GNB 42,26.0,31.0,Jordan Love pass incomplete short left intended for Dontayvion Wicks (defended by Quinyon Mitchell),1.73,1.19,1.0,2024,2
3.0,3:07,2.0,10.0,GNB 42,26.0,31.0,Jordan Love pass complete short right to Josh Jacobs for 11 yards (tackle by Jalen Carter and C.J. Gardner-Johnson),1.19,2.46,1.0,2024,2
3.0,2:32,1.0,10.0,PHI 47,26.0,31.0,Josh Jacobs right guard for 22 yards (tackle by Reed Blankenship),2.46,3.91,1.0,2024,2
3.0,1:51,1.0,10.0,PHI 25,26.0,31.0,Josh Jacobs right end for no gain (tackle by Zack Baun),3.91,3.36,1.0,2024,2
3.0,1:10,2.0,10.0,PHI 25,26.0,31.0,Jordan Love pass complete short left to Emanuel Wilson for no gain (tackle by Zack Baun),3.36,2.68,1.0,2024,2
3.0,0:24,3.0,10.0,PHI 25,26.0,31.0,Jordan Love pass incomplete short left intended for Jayden Reed,2.68,1.8,1.0,2024,2
3.0,0:21,4.0,10.0,PHI 25,26.0,31.0,Brayden Narveson 43 yard field goal no good,1.8,-1.14,1.0,2024,2
3.0,0:17,1.0,10.0,PHI 33,26.0,31.0,Saquon Barkley left guard for 34 yards (tackle by Javon Bullard),1.14,3.38,1.0,2024,2
4.0,15:00,1.0,10.0,GNB 33,26.0,31.0,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Edgerrin Cooper),3.38,2.84,1.0,2024,2
4.0,14:57,2.0,10.0,GNB 33,26.0,31.0,Jalen Hurts pass complete short right to Grant Calcaterra for 11 yards (tackle by Javon Bullard),2.84,4.11,1.0,2024,2
4.0,14:28,1.0,10.0,GNB 22,26.0,31.0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Javon Bullard and Keisean Nixon),4.11,4.84,1.0,2024,2
4.0,13:51,1.0,10.0,GNB 11,26.0,31.0,Jalen Hurts left guard for -3 yards (tackle by Keisean Nixon and Preston Smith),4.84,3.69,1.0,2024,2
4.0,13:14,2.0,13.0,GNB 14,26.0,31.0,Jalen Hurts pass incomplete short left intended for Jahan Dotson (defended by Keisean Nixon),3.69,3.03,1.0,2024,2
4.0,13:09,3.0,13.0,GNB 14,26.0,31.0,Jalen Hurts pass deep middle intended for A.J. Brown is intercepted by Jaire Alexander in end zone and returned for 17 yards (tackle by DeVonta Smith),3.03,0.32,1.0,2024,2
4.0,12:53,1.0,10.0,GNB 13,26.0,31.0,Josh Jacobs left tackle for 32 yards (tackle by Nakobe Dean),-0.32,1.93,1.0,2024,2
4.0,12:16,1.0,10.0,GNB 45,26.0,31.0,Josh Jacobs left tackle for -1 yards (tackle by Nakobe Dean),1.93,1.25,1.0,2024,2
4.0,11:36,2.0,11.0,GNB 44,26.0,31.0,Jordan Love pass complete short middle to Christian Watson for 6 yards (tackle by Quinyon Mitchell),1.25,1.36,1.0,2024,2
4.0,10:56,3.0,5.0,GNB 50,26.0,31.0,Jordan Love pass complete deep left to Jayden Reed for 26 yards (tackle by Reed Blankenship),1.36,3.97,1.0,2024,2
4.0,10:11,1.0,10.0,PHI 24,26.0,31.0,Emanuel Wilson left guard for 9 yards (tackle by Quinyon Mitchell and Jalen Carter),3.97,4.85,1.0,2024,2
4.0,9:28,2.0,1.0,PHI 15,26.0,31.0,Jordan Love pass complete short right to Emanuel Wilson for 2 yards (tackle by Zack Baun),4.85,4.71,1.0,2024,2
4.0,8:48,1.0,10.0,PHI 13,26.0,31.0,Josh Jacobs right guard for 5 yards (tackle by Zack Baun and Reed Blankenship),4.71,4.96,1.0,2024,2
4.0,8:06,2.0,5.0,PHI 8,26.0,31.0,Jordan Love pass incomplete short left,4.96,4.1,1.0,2024,2
4.0,8:00,3.0,5.0,PHI 8,26.0,31.0,Jordan Love pass incomplete short middle intended for Romeo Doubs,4.1,2.97,1.0,2024,2
4.0,7:56,4.0,5.0,PHI 8,29.0,31.0,Brayden Narveson 26 yard field goal good,2.97,3.0,1.0,2024,2
4.0,7:52,,,GNB 35,29.0,31.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,2
4.0,7:52,1.0,10.0,PHI 30,29.0,31.0,Saquon Barkley left end for -2 yards (tackle by Quay Walker),0.94,0.12,1.0,2024,2
4.0,7:08,2.0,12.0,PHI 28,29.0,31.0,"Jalen Hurts pass incomplete deep right. Penalty on Jaire Alexander: Defensive Holding, 5 yards (accepted) (no play)",0.12,1.14,1.0,2024,2
4.0,6:59,1.0,10.0,PHI 33,29.0,31.0,Saquon Barkley up the middle for 9 yards (tackle by Isaiah McDuffie),1.14,1.81,1.0,2024,2
4.0,6:17,2.0,1.0,PHI 42,29.0,31.0,Saquon Barkley up the middle for 2 yards (tackle by Edgerrin Cooper and Rashan Gary),1.81,1.86,1.0,2024,2
4.0,5:33,,,,,,Timeout #1 by Philadelphia Eagles,,,1.0,2024,2
4.0,5:33,1.0,10.0,PHI 44,29.0,31.0,Jalen Hurts scrambles right tackle for 8 yards (tackle by Javon Bullard),1.86,2.4,1.0,2024,2
4.0,4:54,2.0,2.0,GNB 48,29.0,31.0,"Jalen Hurts pass complete short right to Kenneth Gainwell for no gain (tackle by Eric Stokes). Penalty on Lane Johnson: Illegal Formation, 5 yards (accepted) (no play)",2.4,1.72,1.0,2024,2
