Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA,week,year,game_id
1.0,0:54,1.0,10.0,LAC 31,6.0,3.0,"Gardner Minshew pass complete short right to Alexander Mattison for 31 yards, touchdown",3.51,7.0,1.0,2024,12
1.0,0:45,,,LAC 15,7.0,3.0,Daniel Carlson kicks extra point good,0.0,0.0,1.0,2024,12
1.0,0:45,,,LVR 35,7.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,12
1.0,0:45,1.0,10.0,LAC 30,7.0,3.0,"Penalty on Eric Tomlinson: False Start, 5 yards (accepted) (no play)",0.94,0.61,1.0,2024,12
1.0,0:45,1.0,15.0,LAC 25,7.0,3.0,Justin Herbert pass complete short left to Quentin Johnston for 9 yards (tackle by Robert Spillane),0.61,0.93,1.0,2024,12
1.0,0:01,2.0,6.0,LAC 34,7.0,3.0,J.K. Dobbins left tackle for 1 yard (tackle by Christian Wilkins and Divine Deablo),0.93,0.37,1.0,2024,12
2.0,15:00,3.0,5.0,LAC 35,7.0,3.0,Justin Herbert pass complete short middle to Ladd McConkey for 4 yards (tackle by Robert Spillane),0.37,-0.78,1.0,2024,12
2.0,14:23,4.0,1.0,LAC 39,7.0,3.0,"JK Scott punts 52 yards, fair catch by Tre Tucker at LV-9",-0.78,0.38,1.0,2024,12
2.0,14:15,1.0,10.0,LVR 9,7.0,3.0,Alexander Mattison up the middle for 7 yards (tackle by Denzel Perryman),-0.38,-0.16,1.0,2024,12
2.0,13:46,2.0,3.0,LVR 16,7.0,3.0,Gardner Minshew pass complete short right to Michael Mayer for no gain (tackle by Denzel Perryman and Khalil Mack),-0.16,-0.6,1.0,2024,12
2.0,13:05,3.0,3.0,LVR 16,7.0,3.0,Gardner Minshew scrambles up the middle for 1 yard (tackle by Joey Bosa),-0.6,-2.32,1.0,2024,12
2.0,12:23,4.0,2.0,LVR 17,7.0,3.0,"AJ Cole punts 52 yards, fair catch by Derius Davis at LAC-31",-2.32,-1.0,1.0,2024,12
2.0,12:13,1.0,10.0,LAC 31,7.0,3.0,Justin Herbert pass complete short right to Ladd McConkey for 11 yards (tackle by Marcus Epps),1.0,1.73,1.0,2024,12
2.0,11:31,1.0,10.0,LAC 42,7.0,3.0,Gus Edwards left guard for -1 yards (tackle by Robert Spillane),1.73,1.05,1.0,2024,12
2.0,10:48,2.0,11.0,LAC 41,7.0,3.0,Justin Herbert pass complete short right to J.K. Dobbins for 1 yard (tackle by Robert Spillane),1.05,0.5,1.0,2024,12
2.0,10:13,3.0,10.0,LAC 42,7.0,3.0,"Penalty on Ladd McConkey: False Start, 5 yards (accepted) (no play)",0.5,-0.16,1.0,2024,12
2.0,9:41,3.0,15.0,LAC 37,7.0,3.0,Justin Herbert scrambles right end for 8 yards (tackle by Robert Spillane),-0.16,-0.39,1.0,2024,12
2.0,9:06,4.0,7.0,LAC 45,7.0,3.0,"JK Scott punts 55 yards, touchback.",-0.39,-0.28,1.0,2024,12
2.0,8:58,1.0,10.0,LVR 20,7.0,3.0,Zamir White left end for 2 yards (tackle by Kristian Fulton and Poona Ford),0.28,0.0,1.0,2024,12
2.0,8:21,2.0,8.0,LVR 22,7.0,3.0,Gardner Minshew pass complete short left to Brock Bowers for 6 yards (tackle by Daiyan Henley and Kristian Fulton),0.0,0.1,1.0,2024,12
2.0,7:40,3.0,2.0,LVR 28,7.0,3.0,Gardner Minshew pass complete short left to Michael Mayer for 3 yards (tackle by Derwin James),0.1,1.0,1.0,2024,12
2.0,6:58,1.0,10.0,LVR 31,7.0,3.0,Gardner Minshew pass complete deep left to Brock Bowers for 26 yards (tackle by Kristian Fulton),1.0,2.72,1.0,2024,12
2.0,6:14,1.0,10.0,LAC 43,7.0,3.0,Gardner Minshew pass incomplete short middle intended for Michael Mayer (defended by Junior Colson),2.72,2.18,1.0,2024,12
2.0,6:10,2.0,10.0,LAC 43,7.0,3.0,Gardner Minshew sacked by and Khalil Mack for -12 yards and Morgan Fox for -12 yards,2.18,-0.1,1.0,2024,12
2.0,5:26,3.0,22.0,LVR 45,7.0,3.0,Gardner Minshew sacked by Joey Bosa for -6 yards,-0.1,-0.78,1.0,2024,12
2.0,4:40,4.0,28.0,LVR 39,7.0,3.0,"AJ Cole punts 59 yards, returned by Derius Davis for 9 yards (tackle by Amari Burney)",-0.78,0.37,1.0,2024,12
2.0,4:27,1.0,10.0,LAC 11,7.0,3.0,Derius Davis left end for 6 yards (tackle by Nate Hobbs),-0.37,-0.16,1.0,2024,12
2.0,3:46,2.0,4.0,LAC 17,7.0,3.0,Gus Edwards right guard for no gain (tackle by John Jenkins and Divine Deablo),-0.16,-0.72,1.0,2024,12
2.0,3:03,3.0,4.0,LAC 17,7.0,3.0,Justin Herbert pass complete short right to J.K. Dobbins for no gain (tackle by Jack Jones),-0.72,-2.32,1.0,2024,12
2.0,2:19,4.0,4.0,LAC 17,7.0,3.0,"JK Scott punts 56 yards, returned by Tre Tucker for 7 yards (tackle by Deane Leonard)",-2.32,-1.2,1.0,2024,12
2.0,2:09,1.0,10.0,LVR 34,7.0,3.0,Zamir White right guard for 4 yards (tackle by Daiyan Henley),1.2,1.2,1.0,2024,12
2.0,2:00,2.0,6.0,LVR 38,7.0,3.0,Gardner Minshew pass incomplete short left intended for Alexander Mattison (defended by Poona Ford),1.2,0.5,1.0,2024,12
2.0,1:55,3.0,6.0,LVR 38,7.0,3.0,Gardner Minshew pass complete short left to Tre Tucker for 14 yards (tackle by Ja'Sir Taylor),0.5,2.39,1.0,2024,12
2.0,1:28,1.0,10.0,LAC 48,7.0,3.0,"Gardner Minshew sacked by. Gardner Minshew fumbles, recovered by Khalil Mack at LV-34 and returned for 22 yards (tackle by Kolton Miller)",2.39,-4.78,1.0,2024,12
2.0,1:13,1.0,10.0,LVR 12,7.0,3.0,Gus Edwards right guard for 1 yard (tackle by Christian Wilkins),4.78,4.27,1.0,2024,12
2.0,0:43,2.0,9.0,LVR 11,7.0,3.0,Justin Herbert pass incomplete short middle intended for Josh Palmer,4.27,3.29,1.0,2024,12
2.0,0:34,3.0,9.0,LVR 11,7.0,3.0,Justin Herbert pass complete short right to Josh Palmer for 4 yards,3.29,2.98,1.0,2024,12
2.0,0:29,4.0,5.0,LVR 7,7.0,6.0,Cameron Dicker 25 yard field goal good,2.98,3.0,1.0,2024,12
2.0,0:26,,,LAC 35,7.0,6.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,12
2.0,0:26,1.0,10.0,LVR 30,7.0,6.0,Alexander Mattison up the middle for 4 yards (tackle by Morgan Fox),0.94,0.93,1.0,2024,12
3.0,15:00,,,LAC 35,7.0,6.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,12
3.0,15:00,1.0,10.0,LVR 30,7.0,6.0,Gardner Minshew pass complete short left to Brock Bowers for 4 yards (tackle by Denzel Perryman),0.94,0.93,1.0,2024,12
3.0,14:24,2.0,6.0,LVR 34,7.0,6.0,Zamir White left end for 3 yards (tackle by Daiyan Henley),0.93,0.63,1.0,2024,12
3.0,13:42,3.0,3.0,LVR 37,7.0,6.0,Gardner Minshew scrambles left end for 1 yard (tackle by Joey Bosa and Daiyan Henley),0.63,-0.85,1.0,2024,12
3.0,13:00,4.0,2.0,LVR 38,7.0,6.0,"AJ Cole punts 62 yards, touchback.",-0.85,-0.28,1.0,2024,12
3.0,12:53,1.0,10.0,LAC 20,7.0,6.0,J.K. Dobbins right guard for 2 yards (tackle by John Jenkins and Maxx Crosby),0.28,0.0,1.0,2024,12
3.0,12:18,2.0,8.0,LAC 22,7.0,6.0,Justin Herbert pass complete short middle to Quentin Johnston for 16 yards (tackle by Robert Spillane),0.0,1.47,1.0,2024,12
3.0,11:51,1.0,10.0,LAC 38,7.0,6.0,Justin Herbert pass complete short left to Ladd McConkey for 9 yards (tackle by Robert Spillane),1.47,2.14,1.0,2024,12
3.0,11:32,2.0,1.0,LAC 47,7.0,6.0,J.K. Dobbins right guard for no gain (tackle by Christian Wilkins and Maxx Crosby),2.14,1.42,1.0,2024,12
3.0,10:53,3.0,1.0,LAC 47,7.0,6.0,J.K. Dobbins up the middle for 46 yards (tackle by Nate Hobbs),1.42,5.6,1.0,2024,12
3.0,10:02,1.0,7.0,LVR 7,7.0,6.0,J.K. Dobbins left tackle for 1 yard (tackle by Charles Snowden),5.6,4.95,1.0,2024,12
3.0,9:22,2.0,6.0,LVR 6,7.0,6.0,Justin Herbert pass incomplete short left intended for Hayden Hurst,4.95,4.04,1.0,2024,12
3.0,9:15,3.0,6.0,LVR 6,7.0,6.0,Justin Herbert pass incomplete short right intended for Ladd McConkey,4.04,2.99,1.0,2024,12
3.0,9:11,4.0,6.0,LVR 6,7.0,9.0,Cameron Dicker 24 yard field goal good,2.99,3.0,1.0,2024,12
3.0,9:08,,,LAC 35,7.0,9.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,12
3.0,9:08,1.0,10.0,LVR 30,7.0,9.0,"Gardner Minshew pass complete short left to Davante Adams for 4 yards (tackle by Ja'Sir Taylor). Penalty on Ja'Sir Taylor: Unnecessary Roughness / Defense, 15 yards (accepted)",0.94,2.19,1.0,2024,12
3.0,9:02,1.0,10.0,LVR 49,7.0,9.0,"Zamir White left tackle for 6 yards (tackle by Derwin James). Penalty on Michael Mayer: Offensive Holding, 10 yards (accepted)",2.19,1.93,1.0,2024,12
3.0,8:49,1.0,14.0,LVR 45,7.0,9.0,"Zamir White left end for 8 yards. Zamir White fumbles (forced by Joey Bosa), recovered by Ja'Sir Taylor at LAC-45 (tackle by Joey Bosa)",1.93,-1.93,1.0,2024,12
3.0,8:20,1.0,10.0,LAC 45,7.0,9.0,Derius Davis left end for 3 yards (tackle by Robert Spillane and Jack Jones),1.93,1.79,1.0,2024,12
3.0,7:43,2.0,7.0,LAC 48,7.0,9.0,Justin Herbert pass complete short right to J.K. Dobbins for 3 yards (tackle by Jack Jones),1.79,1.49,1.0,2024,12
3.0,6:53,3.0,4.0,LVR 49,7.0,9.0,"Justin Herbert pass short right intended for Josh Palmer is intercepted by Tre'von Moehrig at LV-49 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Justin Herbert pass incomplete short right intended for Josh Palmer",1.49,0.0,1.0,2024,12
3.0,6:51,4.0,4.0,LVR 49,7.0,9.0,"JK Scott punts 49 yards, touchback.",0.0,-0.28,1.0,2024,12
3.0,6:47,1.0,10.0,LVR 20,7.0,9.0,Zamir White up the middle for 8 yards (tackle by Derwin James),0.28,0.81,1.0,2024,12
3.0,6:13,2.0,2.0,LVR 28,7.0,9.0,Zamir White right end for no gain (tackle by Denzel Perryman),0.81,0.1,1.0,2024,12
3.0,5:30,3.0,2.0,LVR 28,7.0,9.0,Gardner Minshew pass complete short left to Alexander Mattison for 3 yards (tackle by Daiyan Henley),0.1,1.0,1.0,2024,12
3.0,4:53,1.0,10.0,LVR 31,7.0,9.0,Zamir White right guard for 12 yards (tackle by Derwin James and Asante Samuel),1.0,1.8,1.0,2024,12
3.0,4:11,1.0,10.0,LVR 43,7.0,9.0,Gardner Minshew pass complete short middle to Davante Adams for 23 yards (tackle by Kristian Fulton),1.8,3.31,1.0,2024,12
3.0,3:34,1.0,10.0,LAC 34,7.0,9.0,Zamir White right end for no gain (tackle by Morgan Fox),3.31,2.77,1.0,2024,12
3.0,2:51,2.0,10.0,LAC 34,7.0,9.0,Gardner Minshew scrambles up the middle for 3 yards (tackle by Joey Bosa),2.77,2.48,1.0,2024,12
3.0,2:11,3.0,7.0,LAC 31,7.0,9.0,Gardner Minshew pass incomplete short right,2.48,1.32,1.0,2024,12
3.0,2:06,4.0,7.0,LAC 31,7.0,9.0,Daniel Carlson 49 yard field goal no good,1.32,-1.53,1.0,2024,12
3.0,2:02,1.0,10.0,LAC 39,7.0,9.0,Justin Herbert pass complete deep right to Hayden Hurst for 27 yards (tackle by Jack Jones),1.53,3.31,1.0,2024,12
3.0,1:29,1.0,10.0,LVR 34,7.0,9.0,Justin Herbert pass incomplete short right,3.31,2.77,1.0,2024,12
3.0,1:21,2.0,10.0,LVR 34,7.0,9.0,Gus Edwards right tackle for 1 yard (tackle by Maxx Crosby and Adam Butler),2.77,2.21,1.0,2024,12
3.0,0:53,3.0,9.0,LVR 33,7.0,9.0,Justin Herbert pass complete short right to Josh Palmer for 11 yards,2.21,4.11,1.0,2024,12
3.0,0:24,1.0,10.0,LVR 22,7.0,9.0,Gus Edwards up the middle for 10 yards (tackle by Tre'von Moehrig and Marcus Epps),4.11,4.78,1.0,2024,12
4.0,15:00,1.0,10.0,LVR 12,7.0,15.0,"J.K. Dobbins right tackle for 12 yards, touchdown",4.78,7.0,1.0,2024,12
4.0,14:55,,,LVR 15,7.0,16.0,Cameron Dicker kicks extra point good,0.0,0.0,1.0,2024,12
4.0,14:55,,,LAC 35,7.0,16.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,12
4.0,14:55,1.0,10.0,LVR 30,7.0,16.0,Gardner Minshew pass complete short right to Davante Adams for 3 yards (tackle by Derwin James),0.94,0.8,1.0,2024,12
4.0,14:19,2.0,7.0,LVR 33,7.0,16.0,Gardner Minshew pass complete short middle to Brock Bowers for 11 yards (tackle by Junior Colson and Derwin James),0.8,1.86,1.0,2024,12
4.0,13:41,1.0,10.0,LVR 44,7.0,16.0,Gardner Minshew pass incomplete short left intended for Brock Bowers (defended by Bud Dupree),1.86,1.32,1.0,2024,12
4.0,13:33,2.0,10.0,LVR 44,7.0,16.0,Gardner Minshew pass complete deep right to Jakobi Meyers for 33 yards (tackle by Alohi Gilman),1.32,4.04,1.0,2024,12
4.0,12:35,1.0,10.0,LAC 23,7.0,16.0,Alexander Mattison left tackle for 4 yards (tackle by Morgan Fox),4.04,4.05,1.0,2024,12
4.0,12:10,2.0,6.0,LAC 19,7.0,16.0,Gardner Minshew sacked by Khalil Mack for -4 yards,4.05,2.81,1.0,2024,12
4.0,11:20,3.0,10.0,LAC 23,7.0,16.0,Gardner Minshew pass complete short left to DJ Turner for 9 yards (tackle by Poona Ford),2.81,2.66,1.0,2024,12
4.0,10:33,4.0,1.0,LAC 14,10.0,16.0,Daniel Carlson 32 yard field goal good,2.66,3.0,1.0,2024,12
4.0,10:30,,,LVR 35,10.0,16.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,12
4.0,10:30,1.0,10.0,LAC 30,10.0,16.0,Justin Herbert pass incomplete short left intended for Scott Matlock,0.94,0.39,1.0,2024,12
4.0,10:26,2.0,10.0,LAC 30,10.0,16.0,Justin Herbert pass complete short right to Gus Edwards for 2 yards (tackle by Adam Butler and Tre'von Moehrig),0.39,-0.03,1.0,2024,12
4.0,9:46,3.0,8.0,LAC 32,10.0,16.0,Justin Herbert pass incomplete short right intended for Quentin Johnston,-0.03,-1.24,1.0,2024,12
4.0,9:40,4.0,8.0,LAC 32,10.0,16.0,"JK Scott punts 41 yards, returned by Tre Tucker for 21 yards (tackle by Troy Dye)",-1.24,-2.13,1.0,2024,12
4.0,9:30,1.0,10.0,LVR 48,10.0,16.0,Zamir White right guard for 2 yards (tackle by Joey Bosa),2.13,1.85,1.0,2024,12
4.0,8:52,2.0,8.0,LAC 50,10.0,16.0,Gardner Minshew pass complete short left to Zamir White for 1 yard (tackle by Ja'Sir Taylor),1.85,1.29,1.0,2024,12
4.0,8:07,3.0,7.0,LAC 49,10.0,16.0,Gardner Minshew pass complete short left to Alexander Mattison for 6 yards (tackle by Daiyan Henley and Alohi Gilman),1.29,0.4,1.0,2024,12
4.0,7:20,4.0,1.0,LAC 43,10.0,16.0,"AJ Cole punts 35 yards, fair catch by Derius Davis at LAC-8",0.4,0.38,1.0,2024,12
4.0,7:09,1.0,10.0,LAC 8,10.0,16.0,Gus Edwards right guard for 3 yards (tackle by John Jenkins),-0.38,-0.56,1.0,2024,12
4.0,6:27,2.0,7.0,LAC 11,10.0,16.0,Justin Herbert pass complete short left to Ladd McConkey for 5 yards (tackle by Marcus Epps),-0.56,-0.48,1.0,2024,12
4.0,5:48,3.0,2.0,LAC 16,10.0,16.0,J.K. Dobbins up the middle for 2 yards (tackle by Adam Butler),-0.48,0.04,1.0,2024,12
4.0,4:58,,,,,,Timeout #1 by Los Angeles Chargers,,,1.0,2024,12
4.0,4:58,1.0,10.0,LAC 18,10.0,16.0,J.K. Dobbins left tackle for 7 yards (tackle by Nate Hobbs),0.04,0.55,1.0,2024,12
4.0,4:24,2.0,3.0,LAC 25,10.0,16.0,J.K. Dobbins left tackle for 61 yards (tackle by Nate Hobbs and Marcus Epps),0.55,4.65,1.0,2024,12
4.0,3:57,,,,,,Timeout #1 by Las Vegas Raiders,,,1.0,2024,12
4.0,3:57,1.0,10.0,LVR 14,10.0,16.0,Gus Edwards up the middle for 3 yards (tackle by Robert Spillane and John Jenkins),4.65,4.52,1.0,2024,12
4.0,3:51,,,,,,Timeout #2 by Las Vegas Raiders,,,1.0,2024,12
4.0,3:51,2.0,7.0,LVR 11,10.0,16.0,Gus Edwards up the middle for 1 yard (tackle by John Jenkins and Luke Masterson),4.52,3.82,1.0,2024,12
4.0,3:47,,,,,,Timeout #3 by Las Vegas Raiders,,,1.0,2024,12
4.0,3:47,3.0,6.0,LVR 10,10.0,22.0,"Justin Herbert pass complete short left to Ladd McConkey for 10 yards, touchdown",3.82,7.0,1.0,2024,12
4.0,3:40,,,LVR 2,10.0,22.0,"Two Point Attempt: Gus Edwards rushes, conversion fails.",1.0,-1.0,1.0,2024,12
4.0,3:40,,,LAC 35,10.0,22.0,Penalty on Jack Jones: Unsportsmanlike Conduct / Defense (offset) Penalty on Josh Palmer: Unsportsmanlike Conduct / Offense (offset) (no play),0.0,0.0,1.0,2024,12
4.0,3:40,,,LAC 35,10.0,22.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,12
4.0,3:40,1.0,10.0,LVR 30,10.0,22.0,Gardner Minshew pass complete deep middle to Jakobi Meyers for 19 yards (tackle by Junior Colson and Elijah Molden),0.94,2.19,1.0,2024,12
4.0,3:13,1.0,10.0,LVR 49,10.0,22.0,Gardner Minshew pass complete short middle to Brock Bowers for 8 yards (tackle by Derwin James),2.19,2.73,1.0,2024,12
4.0,2:48,2.0,2.0,LAC 43,10.0,22.0,Gardner Minshew pass complete short right to Brock Bowers for 3 yards (tackle by Asante Samuel),2.73,2.92,1.0,2024,12
4.0,2:23,1.0,10.0,LAC 40,10.0,22.0,Gardner Minshew pass complete short right to Alexander Mattison for 3 yards (tackle by Asante Samuel),2.92,2.78,1.0,2024,12
4.0,2:01,2.0,7.0,LAC 37,10.0,22.0,Gardner Minshew pass incomplete short right intended for Tre Tucker,2.78,2.08,1.0,2024,12
4.0,1:57,3.0,7.0,LAC 37,10.0,22.0,"Gardner Minshew pass incomplete short right intended for Jakobi Meyers. Penalty on Bud Dupree: Defensive Offside, 5 yards (accepted) (no play)",2.08,2.74,1.0,2024,12
4.0,1:50,3.0,2.0,LAC 32,10.0,22.0,Gardner Minshew pass short right (defended by Khalil Mack) intended for Alexander Mattison is intercepted by Poona Ford at LAC-35 and returned for 3 yards (tackle by Dylan Parham),2.74,-1.47,1.0,2024,12
4.0,1:44,1.0,10.0,LAC 38,10.0,22.0,Justin Herbert kneels for -1 yards,1.47,0.79,1.0,2024,12
4.0,1:16,2.0,11.0,LAC 37,10.0,22.0,Justin Herbert kneels for no gain,0.79,0.1,1.0,2024,12
4.0,0:29,3.0,11.0,LAC 37,10.0,22.0,Justin Herbert kneels for -1 yards,0.1,-0.98,1.0,2024,12
