Quarter,Time,Down,ToGo,Location,WAS,TAM,Detail,EPB,EPA,week,year,game_id
2.0,7:17,,,TAM 15,7.0,13.0,Cade York kicks extra point good,0.0,0.0,1.0,2024,14
2.0,7:17,,,WAS 35,7.0,13.0,"Cade York kicks off 62 yards, out of bounds. Penalty on Cade York: Kickoff Out of Bounds (accepted)",0.0,1.6,1.0,2024,14
2.0,7:17,1.0,10.0,TAM 40,7.0,13.0,Baker Mayfield pass complete short right to Mike Evans for 6 yards (tackle by Benjamin St-Juste),1.6,1.86,1.0,2024,14
2.0,6:38,2.0,4.0,TAM 46,7.0,13.0,Bucky Irving left tackle for 2 yards (tackle by Quan Martin and Bobby Wagner),1.86,1.42,1.0,2024,14
2.0,5:53,3.0,2.0,TAM 48,7.0,13.0,Baker Mayfield pass complete short left to Chris Godwin for 5 yards (tackle by Emmanuel Forbes),1.42,2.46,1.0,2024,14
2.0,5:10,1.0,10.0,WAS 47,7.0,13.0,Rachaad White right tackle for 6 yards (tackle by Mike Sainristil and Bobby Wagner),2.46,2.72,1.0,2024,14
2.0,4:30,2.0,4.0,WAS 41,7.0,13.0,Rachaad White right guard for 1 yard (tackle by Jonathan Allen),2.72,2.15,1.0,2024,14
2.0,3:53,,,,,,Timeout #2 by Washington Commanders,,,1.0,2024,14
2.0,3:53,3.0,3.0,WAS 40,7.0,13.0,Baker Mayfield pass complete short middle to Chris Godwin for 14 yards (tackle by Emmanuel Forbes),2.15,3.84,1.0,2024,14
2.0,3:14,1.0,10.0,WAS 26,7.0,13.0,Rachaad White right tackle for -3 yards (tackle by Dante Fowler),3.84,2.89,1.0,2024,14
2.0,2:34,2.0,13.0,WAS 29,7.0,13.0,Baker Mayfield pass complete short right to Rachaad White for 7 yards (tackle by Bobby Wagner and Mykal Walker),2.89,3.07,1.0,2024,14
2.0,2:00,3.0,7.0,WAS 22,7.0,13.0,Baker Mayfield pass complete short left to Chris Godwin for 9 yards (tackle by Mike Sainristil),3.07,4.71,1.0,2024,14
2.0,1:55,1.0,10.0,WAS 13,7.0,13.0,Rachaad White right guard for 3 yards (tackle by Frankie Luvu and Mike Sainristil),4.71,4.58,1.0,2024,14
2.0,1:15,2.0,7.0,WAS 10,7.0,13.0,Baker Mayfield pass complete short right to Rachaad White for 4 yards (tackle by Phidarian Mathis and Bobby Wagner),4.58,4.56,1.0,2024,14
2.0,0:26,3.0,3.0,WAS 6,7.0,13.0,"Penalty on Cade Otton: False Start, 5 yards (accepted) (no play)",4.56,3.45,1.0,2024,14
2.0,0:26,3.0,8.0,WAS 11,7.0,13.0,Baker Mayfield pass incomplete short middle intended for Mike Evans,3.45,2.7,1.0,2024,14
2.0,0:20,4.0,8.0,WAS 11,7.0,16.0,Chase McLaughlin 29 yard field goal good,2.7,3.0,1.0,2024,14
2.0,0:16,,,TAM 35,7.0,16.0,"Jake Camarda kicks off 61 yards, returned by Austin Ekeler for 24 yards (tackle by J.J. Russell)",0.0,0.81,1.0,2024,14
2.0,0:11,1.0,10.0,WAS 28,7.0,16.0,Jayden Daniels kneels for -2 yards,0.81,-0.01,1.0,2024,14
3.0,15:00,,,TAM 35,7.0,16.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,14
3.0,15:00,1.0,10.0,WAS 30,7.0,16.0,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,0.94,0.39,1.0,2024,14
3.0,14:55,2.0,10.0,WAS 30,7.0,16.0,Jayden Daniels pass incomplete short middle intended for Zach Ertz (defended by Jordan Whitehead),0.39,-0.3,1.0,2024,14
3.0,14:51,,,,,,Timeout #1 by Washington Commanders,,,1.0,2024,14
3.0,14:51,3.0,10.0,WAS 30,7.0,16.0,"Jayden Daniels sacked by Joe Tryon-Shoyinka for no gain. Penalty on Tykee Smith: Defensive Holding, 5 yards (accepted) (no play)",-0.3,1.27,1.0,2024,14
3.0,14:44,1.0,10.0,WAS 35,7.0,16.0,Jayden Daniels pass complete short right to Jamison Crowder for 5 yards (tackle by K.J. Britt),1.27,1.4,1.0,2024,14
3.0,14:15,2.0,5.0,WAS 40,7.0,16.0,Jayden Daniels scrambles right tackle for 11 yards (tackle by Jordan Whitehead),1.4,2.32,1.0,2024,14
3.0,13:31,1.0,10.0,TAM 49,7.0,16.0,Brian Robinson up the middle for 3 yards (tackle by Jordan Whitehead),2.32,2.19,1.0,2024,14
3.0,13:06,2.0,7.0,TAM 46,7.0,16.0,Brian Robinson right guard for 6 yards (tackle by K.J. Britt and C.J. Brewer),2.19,2.28,1.0,2024,14
3.0,12:37,3.0,1.0,TAM 40,7.0,16.0,Brian Robinson up the middle for no gain (tackle by K.J. Britt and Antoine Winfield),2.28,0.59,1.0,2024,14
3.0,11:52,4.0,1.0,TAM 40,7.0,16.0,Jayden Daniels left end for 2 yards (tackle by Lavonte David),0.59,3.05,1.0,2024,14
3.0,11:30,1.0,10.0,TAM 38,7.0,16.0,Jayden Daniels left guard for 2 yards (tackle by Vita Vea),3.05,2.78,1.0,2024,14
3.0,10:51,2.0,8.0,TAM 36,7.0,16.0,"Jayden Daniels sacked by Joe Tryon-Shoyinka for -10 yards. Jayden Daniels fumbles (forced by Joe Tryon-Shoyinka), recovered by Tyler Biadasz at TB-46",2.78,0.76,1.0,2024,14
3.0,10:15,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,1.0,2024,14
3.0,10:15,3.0,18.0,TAM 46,7.0,16.0,Jayden Daniels pass complete short left to Luke McCaffrey for 8 yards (tackle by Jordan Whitehead and SirVocea Dennis),0.76,0.72,1.0,2024,14
3.0,9:27,4.0,10.0,TAM 38,7.0,16.0,Cade York 56 yard field goal no good,0.72,-1.99,1.0,2024,14
3.0,9:21,1.0,10.0,TAM 46,7.0,16.0,Baker Mayfield pass complete short middle to Bucky Irving for 9 yards (tackle by Emmanuel Forbes and Frankie Luvu),1.99,2.67,1.0,2024,14
3.0,8:40,2.0,1.0,WAS 45,7.0,16.0,Rachaad White left guard for 15 yards (tackle by Quan Martin),2.67,3.58,1.0,2024,14
3.0,8:02,1.0,10.0,WAS 30,7.0,16.0,Baker Mayfield pass incomplete short right intended for Cade Otton,3.58,3.03,1.0,2024,14
3.0,7:59,2.0,10.0,WAS 30,7.0,16.0,Rachaad White right tackle for no gain (tackle by Bobby Wagner and Frankie Luvu),3.03,2.34,1.0,2024,14
3.0,7:21,3.0,10.0,WAS 30,7.0,16.0,"Baker Mayfield pass incomplete deep left intended for Jalen McMillan. Penalty on Emmanuel Forbes: Defensive Pass Interference, 22 yards (accepted) (no play)",2.34,5.37,1.0,2024,14
3.0,7:21,1.0,8.0,WAS 8,7.0,16.0,"Penalty on Emmanuel Forbes: Face Mask (15 Yards), 4 yards (accepted)",5.37,6.28,1.0,2024,14
3.0,7:15,1.0,4.0,WAS 4,7.0,22.0,"Baker Mayfield pass complete short left to Chris Godwin for 4 yards, touchdown",6.28,7.0,1.0,2024,14
3.0,7:11,,,WAS 15,7.0,23.0,Chase McLaughlin kicks extra point good,0.0,0.0,1.0,2024,14
3.0,7:11,,,TAM 35,7.0,23.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,14
3.0,7:11,1.0,10.0,WAS 30,7.0,23.0,Brian Robinson up the middle for 5 yards (tackle by Lavonte David),0.94,1.07,1.0,2024,14
3.0,6:36,2.0,5.0,WAS 35,7.0,23.0,Jayden Daniels pass incomplete short right intended for Brian Robinson,1.07,0.37,1.0,2024,14
3.0,6:33,3.0,5.0,WAS 35,7.0,23.0,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus (defended by Christian Izien),0.37,-1.04,1.0,2024,14
3.0,6:29,4.0,5.0,WAS 35,7.0,23.0,Tress Way punts 41 yards downed by Mykal Walker,-1.04,-0.54,1.0,2024,14
3.0,6:20,1.0,10.0,TAM 24,7.0,23.0,Baker Mayfield pass incomplete short middle intended for Jalen McMillan (defended by Noah Igbinoghene),0.54,0.0,1.0,2024,14
3.0,6:17,2.0,10.0,TAM 24,7.0,23.0,Bucky Irving right tackle for 7 yards (tackle by Jeremy Chinn),0.0,0.23,1.0,2024,14
3.0,5:39,3.0,3.0,TAM 31,7.0,23.0,Baker Mayfield sacked by Clelin Ferrell for -9 yards,0.23,-1.9,1.0,2024,14
3.0,4:54,4.0,12.0,TAM 22,7.0,23.0,"Jake Camarda punts 38 yards, fair catch by Jamison Crowder at WAS-40",-1.9,-1.6,1.0,2024,14
3.0,4:48,1.0,10.0,WAS 40,7.0,23.0,Jayden Daniels pass complete short middle to Zach Ertz for 9 yards (tackle by Lavonte David),1.6,2.27,1.0,2024,14
3.0,4:15,2.0,1.0,WAS 49,7.0,23.0,Brian Robinson right guard for 6 yards (tackle by K.J. Britt),2.27,2.59,1.0,2024,14
3.0,3:30,1.0,10.0,TAM 45,7.0,23.0,Jayden Daniels pass complete short left to Terry McLaurin for 6 yards (tackle by Anthony Nelson),2.59,2.85,1.0,2024,14
3.0,2:54,2.0,4.0,TAM 39,7.0,23.0,Brian Robinson up the middle for 6 yards (tackle by Antoine Winfield),2.85,3.38,1.0,2024,14
3.0,2:32,1.0,10.0,TAM 33,7.0,23.0,Jayden Daniels pass complete short right to Brian Robinson for 32 yards (tackle by Antoine Winfield),3.38,6.97,1.0,2024,14
3.0,1:55,1.0,1.0,TAM 1,13.0,23.0,"Jayden Daniels right tackle for 1 yard, touchdown",6.97,7.0,1.0,2024,14
3.0,1:52,,,TAM 15,14.0,23.0,Cade York kicks extra point good,0.0,0.0,1.0,2024,14
3.0,1:52,,,WAS 35,14.0,23.0,"Cade York kicks off 59 yards, returned by Sean Tucker for 22 yards (tackle by Mykal Walker)",0.0,0.81,1.0,2024,14
3.0,1:47,1.0,10.0,TAM 28,14.0,23.0,Baker Mayfield pass complete short left to Cade Otton for 5 yards (tackle by Mike Sainristil),0.81,0.94,1.0,2024,14
3.0,1:12,2.0,5.0,TAM 33,14.0,23.0,Baker Mayfield pass complete short left to Rachaad White for 32 yards (tackle by Quan Martin),0.94,3.25,1.0,2024,14
3.0,0:44,1.0,10.0,WAS 35,14.0,23.0,Baker Mayfield pass incomplete short left intended for Bucky Irving,3.25,2.7,1.0,2024,14
3.0,0:39,2.0,10.0,WAS 35,14.0,23.0,Bucky Irving up the middle for 3 yards (tackle by Jonathan Allen),2.7,2.41,1.0,2024,14
4.0,15:00,3.0,7.0,WAS 32,14.0,29.0,"Baker Mayfield pass complete deep right to Jalen McMillan for 32 yards, touchdown",2.41,7.0,1.0,2024,14
4.0,14:55,,,WAS 15,14.0,30.0,Chase McLaughlin kicks extra point good,0.0,0.0,1.0,2024,14
4.0,14:55,,,TAM 35,14.0,30.0,"Jake Camarda kicks off 65 yards, touchback.. Penalty on Zach Ertz: Illegal Formation, 5 yards (accepted)",0.0,0.61,1.0,2024,14
4.0,14:55,1.0,10.0,WAS 25,14.0,30.0,Jayden Daniels pass complete short left to Austin Ekeler for 11 yards (tackle by Jamel Dean),0.61,1.33,1.0,2024,14
4.0,14:14,1.0,10.0,WAS 36,14.0,30.0,Jayden Daniels left end for 4 yards (tackle by Joe Tryon-Shoyinka),1.33,1.33,1.0,2024,14
4.0,13:36,2.0,6.0,WAS 40,14.0,30.0,"Jayden Daniels pass incomplete short right intended for Luke McCaffrey. Penalty on SirVocea Dennis: Defensive Pass Interference, 5 yards (accepted) (no play)",1.33,1.93,1.0,2024,14
4.0,13:30,1.0,10.0,WAS 45,14.0,30.0,"Jayden Daniels right end for 3 yards. Jayden Daniels fumbles, ball out of bounds at WAS-48 (forced by Christian Izien). Jayden Daniels fumbles out of bounds",1.93,1.79,1.0,2024,14
4.0,12:41,2.0,7.0,WAS 48,14.0,30.0,Jayden Daniels sacked by SirVocea Dennis for -13 yards,1.79,-0.63,1.0,2024,14
4.0,11:56,3.0,20.0,WAS 35,14.0,30.0,Jayden Daniels pass complete short left to Austin Ekeler for 12 yards (tackle by SirVocea Dennis),-0.63,-0.26,1.0,2024,14
4.0,11:15,4.0,8.0,WAS 47,14.0,30.0,Tress Way punts 44 yards out of bounds,-0.26,0.38,1.0,2024,14
4.0,11:07,1.0,10.0,TAM 9,14.0,30.0,Bucky Irving right guard for 8 yards (tackle by Quan Martin and Noah Igbinoghene),-0.38,-0.02,1.0,2024,14
4.0,10:27,2.0,2.0,TAM 17,14.0,30.0,Bucky Irving right tackle for 31 yards (tackle by Quan Martin),-0.02,2.13,1.0,2024,14
4.0,9:45,1.0,10.0,TAM 48,14.0,30.0,Rachaad White left end for -3 yards (tackle by Bobby Wagner),2.13,1.18,1.0,2024,14
4.0,9:01,2.0,13.0,TAM 45,14.0,30.0,Rachaad White left tackle for -5 yards (tackle by Bobby Wagner),1.18,-0.16,1.0,2024,14
4.0,8:26,3.0,18.0,TAM 40,14.0,30.0,Baker Mayfield pass complete short right to Chris Godwin for 24 yards (tackle by Jeremy Chinn),-0.16,3.18,1.0,2024,14
4.0,7:39,1.0,10.0,WAS 36,14.0,30.0,Bucky Irving up the middle for 11 yards (tackle by Quan Martin),3.18,3.91,1.0,2024,14
4.0,6:57,1.0,10.0,WAS 25,14.0,30.0,Bucky Irving right tackle for -4 yards (tackle by Percy Butler),3.91,2.82,1.0,2024,14
4.0,6:15,2.0,14.0,WAS 29,14.0,30.0,Baker Mayfield pass complete short left to Rachaad White for 8 yards (tackle by Quan Martin and Frankie Luvu),2.82,3.2,1.0,2024,14
4.0,5:48,3.0,6.0,WAS 21,14.0,30.0,Baker Mayfield scrambles up the middle for 11 yards (tackle by Mike Sainristil),3.2,4.91,1.0,2024,14
4.0,5:01,1.0,10.0,WAS 10,14.0,30.0,Rachaad White right tackle for 5 yards (tackle by Percy Butler),4.91,5.15,1.0,2024,14
4.0,4:18,2.0,5.0,WAS 5,14.0,30.0,Rachaad White left tackle for 4 yards (tackle by Clelin Ferrell),5.15,5.17,1.0,2024,14
4.0,3:34,3.0,1.0,WAS 1,14.0,36.0,"Baker Mayfield pass complete short right to Mike Evans for 1 yard, touchdown",5.17,7.0,1.0,2024,14
4.0,3:29,,,WAS 15,14.0,37.0,Chase McLaughlin kicks extra point good,0.0,0.0,1.0,2024,14
4.0,3:29,,,TAM 35,14.0,37.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,14
4.0,3:29,1.0,10.0,WAS 30,14.0,37.0,Jayden Daniels pass complete short left to Terry McLaurin for 11 yards (tackle by Jamel Dean),0.94,1.66,1.0,2024,14
4.0,3:09,1.0,10.0,WAS 41,14.0,37.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 15 yards (tackle by Christian Izien),1.66,2.65,1.0,2024,14
4.0,3:04,1.0,10.0,TAM 44,14.0,37.0,Jayden Daniels pass complete short right to Austin Ekeler for 7 yards (tackle by C.J. Brewer),2.65,3.06,1.0,2024,14
4.0,2:32,2.0,3.0,TAM 37,14.0,37.0,Austin Ekeler right guard for 6 yards (tackle by Antoine Winfield and SirVocea Dennis),3.06,3.51,1.0,2024,14
4.0,2:09,1.0,10.0,TAM 31,14.0,37.0,Jayden Daniels scrambles left end for 8 yards (tackle by SirVocea Dennis),3.51,4.05,1.0,2024,14
4.0,2:01,2.0,2.0,TAM 23,14.0,37.0,Jayden Daniels pass complete short left to Zach Ertz for 12 yards (tackle by Jamel Dean),4.05,4.84,1.0,2024,14
4.0,1:56,1.0,10.0,TAM 11,14.0,37.0,Jayden Daniels pass complete short middle to Luke McCaffrey for 10 yards (tackle by Tykee Smith and Jordan Whitehead),4.84,6.97,1.0,2024,14
4.0,1:38,1.0,1.0,TAM 1,14.0,37.0,"Jayden Daniels left guard for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Jayden Daniels left guard for no gain (tackle by Jordan Whitehead and Anthony Nelson)",6.97,5.91,1.0,2024,14
4.0,1:25,2.0,1.0,TAM 1,14.0,37.0,Brian Robinson left guard for no gain (tackle by Mike Greene and Ben Stille),5.91,5.17,1.0,2024,14
4.0,1:16,,,,,,Timeout #2 by Washington Commanders,,,1.0,2024,14
4.0,1:16,3.0,1.0,TAM 1,20.0,37.0,"Jayden Daniels right tackle for 1 yard, touchdown",5.17,7.0,1.0,2024,14
4.0,1:12,,,TAM 2,20.0,37.0,Two Point Attempt: Jayden Daniels pass incomplete intended for intended for Luke McCaffrey,1.0,-1.0,1.0,2024,14
4.0,1:12,,,WAS 35,20.0,37.0,"Cade York kicks onside 12 yards, returned by Trey Palmer for no gain",0.0,2.46,1.0,2024,14
4.0,1:11,1.0,10.0,WAS 47,20.0,37.0,Kyle Trask kneels for -1 yards,2.46,1.78,1.0,2024,14
4.0,0:33,2.0,11.0,WAS 48,20.0,37.0,Kyle Trask kneels for -1 yards,1.78,0.96,1.0,2024,14
