Quarter,Time,Down,ToGo,Location,NYJ,SFO,Detail,EPB,EPA,week,year,game_id
2.0,0:04,1.0,10.0,NYJ 30,7.0,16.0,Aaron Rodgers kneels for -1 yards,0.94,0.26,1.0,2024,16
3.0,15:00,,,NYJ 35,7.0,16.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,16
3.0,15:00,1.0,10.0,SFO 30,7.0,16.0,Jordan Mason right guard for 1 yard (tackle by Jermaine Johnson),0.94,0.53,1.0,2024,16
3.0,14:23,2.0,9.0,SFO 31,7.0,16.0,Brock Purdy pass complete short middle to Deebo Samuel for 10 yards (tackle by C.J. Mosley),0.53,1.66,1.0,2024,16
3.0,13:40,1.0,10.0,SFO 41,7.0,16.0,Brock Purdy pass complete short right to George Kittle for 6 yards (tackle by Quincy Williams),1.66,1.93,1.0,2024,16
3.0,13:04,2.0,4.0,SFO 47,7.0,16.0,Jordan Mason right tackle for no gain (tackle by C.J. Mosley),1.93,1.22,1.0,2024,16
3.0,12:20,3.0,4.0,SFO 47,7.0,16.0,Brock Purdy pass complete short left to Jauan Jennings for 5 yards (tackle by Michael Carter),1.22,2.39,1.0,2024,16
3.0,11:36,1.0,10.0,NYJ 48,7.0,16.0,Jordan Mason right guard for 2 yards (tackle by Javon Kinlaw and Quinnen Williams),2.39,2.12,1.0,2024,16
3.0,10:55,2.0,8.0,NYJ 46,7.0,16.0,Brock Purdy pass complete short middle to Kyle Juszczyk for 6 yards (tackle by C.J. Mosley),2.12,2.21,1.0,2024,16
3.0,10:13,3.0,2.0,NYJ 40,7.0,16.0,Jordan Mason up the middle for 8 yards (tackle by Solomon Thomas),2.21,3.45,1.0,2024,16
3.0,9:32,1.0,10.0,NYJ 32,7.0,16.0,"Penalty on Colton McKivitz: False Start, 5 yards (accepted) (no play)",3.45,3.12,1.0,2024,16
3.0,9:08,1.0,15.0,NYJ 37,7.0,16.0,Brock Purdy pass complete deep left to Kyle Juszczyk for 34 yards (tackle by Ashtyn Davis),3.12,6.51,1.0,2024,16
3.0,8:25,1.0,3.0,NYJ 3,7.0,16.0,Jordan Mason up the middle for -2 yards (tackle by Jalyn Holmes),6.51,5.15,1.0,2024,16
3.0,7:47,2.0,5.0,NYJ 5,7.0,22.0,"Jordan Mason up the middle for 5 yards, touchdown",5.15,7.0,1.0,2024,16
3.0,7:42,,,NYJ 15,7.0,23.0,Jake Moody kicks extra point good,0.0,0.0,1.0,2024,16
3.0,7:42,,,SFO 35,7.0,23.0,"Jake Moody kicks off 70 yards, returned by Xavier Gipson for 28 yards (tackle by Malik Mustapha)",0.0,0.48,1.0,2024,16
3.0,7:39,1.0,10.0,NYJ 23,7.0,23.0,Aaron Rodgers pass complete short left to Breece Hall for 12 yards (tackle by Demetrius Flannigan-Fowles),0.48,1.27,1.0,2024,16
3.0,7:01,1.0,10.0,NYJ 35,7.0,23.0,Breece Hall up the middle for 5 yards (tackle by Fred Warner),1.27,1.4,1.0,2024,16
3.0,6:18,2.0,5.0,NYJ 40,7.0,23.0,Aaron Rodgers pass short left (defended by Deommodore Lenoir) intended for Garrett Wilson is intercepted by Demetrius Flannigan-Fowles at NYJ-46 and returned for no gain,1.4,-2.52,1.0,2024,16
3.0,6:11,1.0,10.0,NYJ 46,7.0,23.0,"Penalty on Maliek Collins: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",2.52,1.53,1.0,2024,16
3.0,6:11,1.0,10.0,SFO 39,7.0,23.0,Brock Purdy pass incomplete short left intended for George Kittle,1.53,0.99,1.0,2024,16
3.0,6:06,2.0,10.0,SFO 39,7.0,23.0,Jordan Mason left guard for 11 yards (tackle by Tony Adams and Sauce Gardner),0.99,2.26,1.0,2024,16
3.0,5:28,1.0,10.0,NYJ 50,7.0,23.0,Jordan Mason up the middle for 2 yards (tackle by Solomon Thomas and D.J. Reed),2.26,1.98,1.0,2024,16
3.0,4:53,2.0,8.0,NYJ 48,7.0,23.0,Brock Purdy pass incomplete short right intended for Kyle Juszczyk,1.98,1.29,1.0,2024,16
3.0,4:48,3.0,8.0,NYJ 48,7.0,23.0,"Brock Purdy pass incomplete deep middle intended for George Kittle. Penalty on Jermaine Johnson: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.29,2.72,1.0,2024,16
3.0,4:43,1.0,10.0,NYJ 43,7.0,23.0,Jordan Mason up the middle for 5 yards (tackle by Will McDonald and Chuck Clark),2.72,2.85,1.0,2024,16
3.0,4:05,2.0,5.0,NYJ 38,7.0,23.0,Jordan Mason left tackle for 3 yards (tackle by D.J. Reed and Jalyn Holmes),2.85,2.54,1.0,2024,16
3.0,3:37,3.0,2.0,NYJ 35,7.0,23.0,Brock Purdy pass incomplete deep right intended for Eric Saubert (defended by Tony Adams),2.54,0.99,1.0,2024,16
3.0,3:33,4.0,2.0,NYJ 35,7.0,26.0,Jake Moody 53 yard field goal good,0.99,3.0,1.0,2024,16
3.0,3:28,,,SFO 35,7.0,26.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,16
3.0,3:28,1.0,10.0,NYJ 30,7.0,26.0,Aaron Rodgers pass complete short right to Garrett Wilson for 6 yards (tackle by Deommodore Lenoir),0.94,1.2,1.0,2024,16
3.0,3:03,2.0,4.0,NYJ 36,7.0,26.0,Aaron Rodgers pass complete short left to Allen Lazard for 26 yards (tackle by Isaac Yiadom),1.2,3.05,1.0,2024,16
3.0,2:27,1.0,10.0,SFO 38,7.0,26.0,Breece Hall left guard for 2 yards (tackle by Javon Hargrave),3.05,2.78,1.0,2024,16
3.0,1:47,2.0,8.0,SFO 36,7.0,26.0,Aaron Rodgers pass incomplete short left intended for Breece Hall,2.78,2.08,1.0,2024,16
3.0,1:43,3.0,8.0,SFO 36,13.0,26.0,"Aaron Rodgers pass complete deep middle to Allen Lazard for 36 yards, touchdown. Penalty on Leonard Floyd: Defensive Offside, 5 yards (declined)",2.08,7.0,1.0,2024,16
3.0,1:39,,,SFO 2,13.0,26.0,"Two Point Attempt: Breece Hall rushes, conversion fails.",1.0,-1.0,1.0,2024,16
3.0,1:39,,,NYJ 35,13.0,26.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.28,1.0,2024,16
3.0,1:39,1.0,10.0,SFO 20,13.0,26.0,Jordan Mason right tackle for 1 yard (tackle by C.J. Mosley),0.28,-0.13,1.0,2024,16
3.0,1:02,2.0,9.0,SFO 21,13.0,26.0,Brock Purdy pass complete short right to Jauan Jennings for 15 yards (tackle by C.J. Mosley),-0.13,1.33,1.0,2024,16
3.0,0:16,1.0,10.0,SFO 36,13.0,26.0,"Brock Purdy pass complete short right to Kyle Juszczyk for no gain (tackle by Quincy Williams). Penalty on Braiden McGregor: Defensive Holding, 5 yards (accepted) (no play)",1.33,1.66,1.0,2024,16
4.0,15:00,1.0,10.0,SFO 41,13.0,26.0,Jordan Mason right end for 2 yards (tackle by Jamien Sherwood),1.66,1.39,1.0,2024,16
4.0,14:14,2.0,8.0,SFO 43,13.0,26.0,Brock Purdy pass complete short left to Deebo Samuel for 25 yards (tackle by Chuck Clark and C.J. Mosley),1.39,3.45,1.0,2024,16
4.0,13:31,1.0,10.0,NYJ 32,13.0,26.0,Brock Purdy pass complete short left to George Kittle for 2 yards (tackle by Chuck Clark),3.45,3.17,1.0,2024,16
4.0,12:53,2.0,8.0,NYJ 30,13.0,26.0,Jordan Mason right guard for 2 yards (tackle by Solomon Thomas),3.17,2.74,1.0,2024,16
4.0,12:09,3.0,6.0,NYJ 28,13.0,26.0,Brock Purdy pass complete short left to Brandon Aiyuk for 14 yards (tackle by Michael Carter),2.74,4.65,1.0,2024,16
4.0,11:28,1.0,10.0,NYJ 14,13.0,26.0,Deebo Samuel right guard for no gain (tackle by D.J. Reed),4.65,4.0,1.0,2024,16
4.0,11:04,2.0,10.0,NYJ 14,13.0,26.0,Jordan Mason left guard for 1 yard (tackle by Javon Kinlaw),4.0,3.26,1.0,2024,16
4.0,10:21,3.0,9.0,NYJ 13,13.0,26.0,Brock Purdy pass complete short right to Jauan Jennings for 8 yards (tackle by D.J. Reed and Tony Adams),3.26,3.03,1.0,2024,16
4.0,9:46,,,,,,Timeout #1 by New York Jets,,,1.0,2024,16
4.0,9:46,4.0,1.0,NYJ 5,13.0,29.0,Jake Moody 23 yard field goal good,3.03,3.0,1.0,2024,16
4.0,9:43,,,SFO 35,13.0,29.0,"Jake Moody kicks off 63 yards, returned by Xavier Gipson for 22 yards (tackle by Curtis Robinson and Isaac Guerendo)",0.0,0.54,1.0,2024,16
4.0,9:37,1.0,10.0,NYJ 24,13.0,29.0,Breece Hall right tackle for 3 yards (tackle by Robert Beal and De'Vondre Campbell),0.54,0.4,1.0,2024,16
4.0,9:09,2.0,7.0,NYJ 27,13.0,29.0,Aaron Rodgers pass complete short left to Allen Lazard for 14 yards (tackle by Isaac Yiadom),0.4,1.66,1.0,2024,16
4.0,8:36,1.0,10.0,NYJ 41,13.0,29.0,Aaron Rodgers pass complete short left to Breece Hall for 9 yards (tackle by Fred Warner),1.66,2.34,1.0,2024,16
4.0,8:02,2.0,1.0,NYJ 50,13.0,29.0,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,2.34,1.62,1.0,2024,16
4.0,7:59,3.0,1.0,NYJ 50,13.0,29.0,Breece Hall up the middle for no gain (tackle by Sam Okuayinonu and Ji'Ayir Brown),1.62,-0.06,1.0,2024,16
4.0,7:25,4.0,1.0,NYJ 50,13.0,29.0,Aaron Rodgers pass incomplete short left intended for Garrett Wilson (defended by Isaac Yiadom),-0.06,-2.26,1.0,2024,16
4.0,7:22,1.0,10.0,NYJ 50,13.0,29.0,Jordan Mason right end for 24 yards (tackle by Quincy Williams),2.26,3.84,1.0,2024,16
4.0,6:40,1.0,10.0,NYJ 26,13.0,29.0,Jordan Mason right tackle for 3 yards (tackle by Jermaine Johnson),3.84,3.7,1.0,2024,16
4.0,5:55,2.0,7.0,NYJ 23,13.0,29.0,Jordan Mason right tackle for 5 yards (tackle by D.J. Reed),3.7,3.75,1.0,2024,16
4.0,5:06,,,,,,Timeout #1 by San Francisco 49ers,,,1.0,2024,16
4.0,5:06,3.0,2.0,NYJ 18,13.0,29.0,Brock Purdy sacked by Micheal Clemons for -6 yards,3.75,1.87,1.0,2024,16
4.0,4:24,4.0,8.0,NYJ 24,13.0,32.0,Jake Moody 42 yard field goal good,1.87,3.0,1.0,2024,16
4.0,4:20,,,SFO 35,13.0,32.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,16
4.0,4:20,1.0,10.0,NYJ 30,13.0,32.0,Breece Hall right tackle for 3 yards (tackle by Nick Bosa),0.94,0.8,1.0,2024,16
4.0,3:44,2.0,7.0,NYJ 33,13.0,32.0,Breece Hall left tackle for 16 yards (tackle by Deommodore Lenoir and De'Vondre Campbell),0.8,2.19,1.0,2024,16
4.0,3:05,1.0,10.0,NYJ 49,13.0,32.0,Tyrod Taylor pass complete short right to Tyler Conklin for 6 yards (tackle by Deommodore Lenoir),2.19,2.46,1.0,2024,16
4.0,2:42,2.0,4.0,SFO 45,13.0,32.0,Tyrod Taylor pass complete short right to Allen Lazard for 6 yards (tackle by Charvarius Ward),2.46,2.98,1.0,2024,16
4.0,2:17,1.0,10.0,SFO 39,13.0,32.0,Tyrod Taylor pass incomplete deep right intended for Allen Lazard (defended by Charvarius Ward),2.98,2.44,1.0,2024,16
4.0,2:12,2.0,10.0,SFO 39,13.0,32.0,Tyrod Taylor pass complete short right to Braelon Allen for 9 yards (tackle by Ji'Ayir Brown),2.44,2.94,1.0,2024,16
4.0,2:00,3.0,1.0,SFO 30,13.0,32.0,Braelon Allen up the middle for 8 yards (tackle by Isaac Yiadom),2.94,4.11,1.0,2024,16
4.0,1:37,1.0,10.0,SFO 22,13.0,32.0,Tyrod Taylor pass complete short right to Garrett Wilson for 8 yards (tackle by Charvarius Ward and De'Vondre Campbell),4.11,4.85,1.0,2024,16
4.0,1:12,2.0,2.0,SFO 14,13.0,32.0,Tyrod Taylor pass incomplete short right intended for Garrett Wilson. Penalty on Garrett Wilson: Illegal Touch Pass (accepted),4.85,4.15,1.0,2024,16
4.0,1:06,3.0,2.0,SFO 14,13.0,32.0,Tyrod Taylor pass complete short right to Allen Lazard for 4 yards (tackle by De'Vondre Campbell),4.15,4.91,1.0,2024,16
4.0,0:58,,,,,,Timeout #2 by New York Jets,,,1.0,2024,16
4.0,0:58,1.0,10.0,SFO 10,13.0,32.0,Tyrod Taylor scrambles right end for 7 yards (tackle by George Odum),4.91,5.53,1.0,2024,16
4.0,0:30,2.0,3.0,SFO 3,19.0,32.0,"Tyrod Taylor pass complete short left to Allen Lazard for 3 yards, touchdown",5.53,7.0,1.0,2024,16
4.0,0:25,,,SFO 2,19.0,32.0,Two Point Attempt: Tyrod Taylor pass incomplete intended for intended for Allen Lazard,1.0,-1.0,1.0,2024,16
4.0,0:25,,,NYJ 35,19.0,32.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,16
4.0,0:25,1.0,10.0,SFO 30,19.0,32.0,Brandon Allen kneels for -1 yards,0.94,0.26,1.0,2024,16
