Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA,week,year,game_id
1.0,2:48,1.0,10.0,CIN 29,0.0,0.0,Jacoby Brissett pass incomplete short right intended for Austin Hooper (defended by Germaine Pratt),3.64,3.1,1.0,2024,7
1.0,2:38,2.0,10.0,CIN 29,0.0,0.0,"Penalty on Vederian Lowe: False Start, 5 yards (accepted) (no play)",3.1,2.42,1.0,2024,7
1.0,2:38,2.0,15.0,CIN 34,0.0,0.0,Jacoby Brissett pass complete short middle to Tyquan Thornton for 10 yards (tackle by Daxton Hill),2.42,3.07,1.0,2024,7
1.0,1:55,3.0,5.0,CIN 24,0.0,0.0,Jacoby Brissett scrambles left end for 16 yards (tackle by Logan Wilson and Cam Taylor-Britt),3.07,5.37,1.0,2024,7
1.0,1:29,1.0,8.0,CIN 8,0.0,0.0,Rhamondre Stevenson right end for -2 yards (tackle by Jay Tufele),5.37,4.19,1.0,2024,7
1.0,0:51,2.0,10.0,CIN 10,0.0,0.0,Jacoby Brissett pass complete short middle to K.J. Osborn for 7 yards (tackle by Logan Wilson),4.19,4.72,1.0,2024,7
2.0,15:00,3.0,3.0,CIN 3,6.0,0.0,"Rhamondre Stevenson right guard for 3 yards, touchdown",4.72,7.0,1.0,2024,7
2.0,14:58,,,CIN 15,7.0,0.0,Joey Slye kicks extra point good,0.0,0.0,1.0,2024,7
2.0,14:58,,,NWE 35,7.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,7
2.0,14:58,1.0,10.0,CIN 30,7.0,0.0,Joe Burrow pass complete short middle to Chase Brown for 5 yards (tackle by Kyle Dugger),0.94,1.07,1.0,2024,7
2.0,14:13,2.0,5.0,CIN 35,7.0,0.0,Joe Burrow scrambles right guard for 2 yards (tackle by Ja'Whaun Bentley),1.07,0.63,1.0,2024,7
2.0,13:32,3.0,3.0,CIN 37,7.0,0.0,Joe Burrow sacked by and Keion White for -5 yards and Ja'Whaun Bentley for -5 yards,0.63,-1.24,1.0,2024,7
2.0,12:45,4.0,8.0,CIN 32,7.0,0.0,"Ryan Rehkow punts 51 yards, fair catch by Marcus Jones at NE-17",-1.24,0.06,1.0,2024,7
2.0,12:42,1.0,10.0,NWE 17,7.0,0.0,Antonio Gibson left tackle for 1 yard (tackle by Jay Tufele and Germaine Pratt),-0.06,-0.42,1.0,2024,7
2.0,12:03,2.0,9.0,NWE 18,7.0,0.0,"Jacoby Brissett pass incomplete short left intended for K.J. Osborn. Penalty on David Andrews: Ineligible Downfield Pass, 5 yards (declined)",-0.42,-1.13,1.0,2024,7
2.0,11:54,3.0,9.0,NWE 18,7.0,0.0,Jacoby Brissett pass incomplete short right intended for K.J. Osborn,-1.13,-2.24,1.0,2024,7
2.0,11:50,4.0,9.0,NWE 18,7.0,0.0,"Bryce Baringer punts 56 yards, returned by Charlie Jones for 9 yards (tackle by Brenden Schooler)",-2.24,-1.27,1.0,2024,7
2.0,11:42,1.0,10.0,CIN 35,7.0,0.0,Chase Brown right guard for 4 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),1.27,1.26,1.0,2024,7
2.0,11:06,2.0,6.0,CIN 39,7.0,0.0,"Joe Burrow pass complete short right to Ja'Marr Chase for no gain (tackle by Jabrill Peppers). Penalty on Ja'Marr Chase: Illegal Shift, 5 yards (declined)",1.26,0.56,1.0,2024,7
2.0,10:34,3.0,6.0,CIN 39,7.0,0.0,Joe Burrow pass complete short right to Andrei Iosivas for 12 yards (tackle by Jaylinn Hawkins),0.56,2.32,1.0,2024,7
2.0,9:51,1.0,10.0,NWE 49,7.0,0.0,Joe Burrow pass incomplete short right intended for Zack Moss,2.32,1.78,1.0,2024,7
2.0,9:47,2.0,10.0,NWE 49,7.0,0.0,Joe Burrow pass complete short right to Chase Brown for 4 yards (tackle by Marco Wilson),1.78,1.62,1.0,2024,7
2.0,9:05,3.0,6.0,NWE 45,7.0,0.0,"Joe Burrow scrambles up the middle for no gain (tackle by Deatrich Wise). Penalty on Josh Uche: Defensive Offside, 5 yards (accepted) (no play)",1.62,2.28,1.0,2024,7
2.0,8:51,3.0,1.0,NWE 40,7.0,0.0,Zack Moss up the middle for 2 yards (tackle by Jeremiah Pharms),2.28,3.05,1.0,2024,7
2.0,8:07,1.0,10.0,NWE 38,7.0,0.0,Joe Burrow pass complete short left to Zack Moss for 12 yards (tackle by Ja'Whaun Bentley and Marco Wilson),3.05,3.84,1.0,2024,7
2.0,7:32,1.0,10.0,NWE 26,7.0,0.0,Joe Burrow pass complete short middle to Charlie Jones for 5 yards (tackle by Marcus Jones),3.84,3.97,1.0,2024,7
2.0,7:00,2.0,5.0,NWE 21,7.0,0.0,Joe Burrow pass incomplete deep right intended for Trenton Irwin,3.97,3.27,1.0,2024,7
2.0,6:55,3.0,5.0,NWE 21,7.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Christian Gonzalez and Marcus Jones),3.27,4.65,1.0,2024,7
2.0,6:16,1.0,10.0,NWE 14,7.0,0.0,Chase Brown left tackle for -1 yards (tackle by Jahlani Tavai),4.65,3.85,1.0,2024,7
2.0,5:24,2.0,11.0,NWE 15,7.0,0.0,"Joe Burrow pass complete short right to Mike Gesicki for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Joe Burrow pass incomplete short right intended for Mike Gesicki (defended by Kyle Dugger)",3.85,3.06,1.0,2024,7
2.0,5:19,3.0,11.0,NWE 15,7.0,0.0,"Joe Burrow pass complete short middle to Tanner Hudson for 13 yards. Tanner Hudson fumbles (forced by Kyle Dugger), recovered by Marcus Jones at NE-1 and returned for 17 yards (tackle by Ja'Marr Chase and Zack Moss)",3.06,-0.04,1.0,2024,7
2.0,5:09,1.0,10.0,NWE 18,7.0,0.0,Rhamondre Stevenson left guard for 16 yards (tackle by Logan Wilson),0.04,1.2,1.0,2024,7
2.0,4:25,1.0,10.0,NWE 34,7.0,0.0,Jacoby Brissett pass complete short right to Rhamondre Stevenson for 6 yards (tackle by Vonn Bell and Logan Wilson),1.2,1.47,1.0,2024,7
2.0,3:55,2.0,4.0,NWE 40,7.0,0.0,Rhamondre Stevenson right guard for 17 yards (tackle by Daxton Hill and Mike Hilton),1.47,2.72,1.0,2024,7
2.0,3:20,1.0,10.0,CIN 43,7.0,0.0,Rhamondre Stevenson left end for 1 yard (tackle by Trey Hendrickson and Zachary Carter),2.72,2.31,1.0,2024,7
2.0,2:54,2.0,9.0,CIN 42,7.0,0.0,Jacoby Brissett pass complete deep left to Tyquan Thornton for 17 yards (tackle by Cam Taylor-Britt),2.31,3.91,1.0,2024,7
2.0,2:01,1.0,10.0,CIN 25,7.0,0.0,"Penalty on Mike Hilton: Defensive Offside, 5 yards (accepted) (no play)",3.91,4.64,1.0,2024,7
2.0,2:00,1.0,5.0,CIN 20,7.0,0.0,Antonio Gibson right guard for 3 yards (tackle by Vonn Bell and Sheldon Rankins),4.64,4.55,1.0,2024,7
2.0,1:50,,,,,,Timeout #1 by Cincinnati Bengals,,,1.0,2024,7
2.0,1:50,2.0,2.0,CIN 17,7.0,0.0,Antonio Gibson left tackle for no gain (tackle by Trey Hendrickson and Cam Taylor-Britt),4.55,3.85,1.0,2024,7
2.0,1:45,,,,,,Timeout #2 by Cincinnati Bengals,,,1.0,2024,7
2.0,1:45,3.0,2.0,CIN 17,7.0,0.0,Jacoby Brissett pass complete short middle to K.J. Osborn for 5 yards (tackle by Cam Taylor-Britt),3.85,4.78,1.0,2024,7
2.0,1:36,,,,,,Timeout #3 by Cincinnati Bengals,,,1.0,2024,7
2.0,1:36,1.0,10.0,CIN 12,7.0,0.0,Jacoby Brissett pass incomplete short right intended for Hunter Henry (defended by Geno Stone),4.78,4.1,1.0,2024,7
2.0,1:30,2.0,10.0,CIN 12,7.0,0.0,Rhamondre Stevenson right end for -1 yards (tackle by B.J. Hill and Logan Wilson),4.1,3.1,1.0,2024,7
2.0,0:44,,,,,,Timeout #1 by New England Patriots,,,1.0,2024,7
2.0,0:44,3.0,11.0,CIN 13,7.0,0.0,Jacoby Brissett sacked by Daxton Hill for -1 yards,3.1,2.51,1.0,2024,7
2.0,0:02,,,,,,Timeout #2 by New England Patriots,,,1.0,2024,7
2.0,0:02,4.0,12.0,CIN 14,10.0,0.0,Joey Slye 32 yard field goal good,2.51,3.0,1.0,2024,7
3.0,15:00,,,CIN 35,10.0,0.0,"Evan McPherson kicks off 62 yards, returned by Jamycal Hasty for 27 yards (tackle by Akeem Davis-Gaither)",0.0,0.94,1.0,2024,7
3.0,14:54,1.0,10.0,NWE 30,10.0,0.0,Jacoby Brissett pass incomplete deep right intended for Tyquan Thornton,0.94,0.39,1.0,2024,7
3.0,14:49,2.0,10.0,NWE 30,10.0,0.0,Jacoby Brissett scrambles up the middle for 6 yards (tackle by Joseph Ossai and Germaine Pratt),0.39,0.5,1.0,2024,7
3.0,14:04,3.0,4.0,NWE 36,10.0,0.0,Jacoby Brissett pass incomplete short left,0.5,-0.98,1.0,2024,7
3.0,13:56,4.0,4.0,NWE 36,10.0,0.0,"Bryce Baringer punts 54 yards, returned by Charlie Jones for 10 yards. Charlie Jones fumbles (forced by Joe Cardona), recovered by Jaylinn Hawkins at CIN-24 (tackle by Joe Cardona)",-0.98,3.97,1.0,2024,7
3.0,13:42,1.0,10.0,CIN 24,10.0,0.0,Rhamondre Stevenson left tackle for 1 yard (tackle by Joseph Ossai),3.97,3.57,1.0,2024,7
3.0,13:04,2.0,9.0,CIN 23,10.0,0.0,Rhamondre Stevenson left tackle for 3 yards (tackle by Jay Tufele),3.57,3.27,1.0,2024,7
3.0,12:20,3.0,6.0,CIN 20,10.0,0.0,Jacoby Brissett pass complete short left to Rhamondre Stevenson for 3 yards (tackle by Vonn Bell),3.27,2.41,1.0,2024,7
3.0,11:37,4.0,3.0,CIN 17,13.0,0.0,Joey Slye 35 yard field goal good,2.41,3.0,1.0,2024,7
3.0,11:34,,,NWE 35,13.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,7
3.0,11:34,1.0,10.0,CIN 30,13.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Christian Gonzalez),0.94,1.47,1.0,2024,7
3.0,11:05,2.0,2.0,CIN 38,13.0,0.0,Zack Moss left guard for 1 yard (tackle by Anfernee Jennings),1.47,0.89,1.0,2024,7
3.0,10:28,3.0,1.0,CIN 39,13.0,0.0,Joe Burrow right guard for 2 yards (tackle by Ja'Whaun Bentley),0.89,1.66,1.0,2024,7
3.0,9:53,1.0,10.0,CIN 41,13.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Jonathan Jones and Jahlani Tavai),1.66,2.34,1.0,2024,7
3.0,9:21,2.0,1.0,CIN 50,13.0,0.0,Joe Burrow pass complete short middle to Trenton Irwin for 6 yards (tackle by Jabrill Peppers),2.34,2.65,1.0,2024,7
3.0,8:44,1.0,10.0,NWE 44,13.0,0.0,Joe Burrow pass complete short right to Chase Brown for 3 yards (tackle by Jahlani Tavai),2.65,2.52,1.0,2024,7
3.0,7:48,2.0,7.0,NWE 41,13.0,0.0,Joe Burrow pass complete short left to Mike Gesicki for 5 yards (tackle by Jabrill Peppers),2.52,2.48,1.0,2024,7
3.0,7:17,3.0,2.0,NWE 36,13.0,0.0,Joe Burrow pass incomplete short middle intended for Tanner Hudson (defended by Jahlani Tavai),2.48,0.89,1.0,2024,7
3.0,7:08,4.0,2.0,NWE 36,13.0,0.0,Joe Burrow pass complete short right to Andrei Iosivas for 1 yard (tackle by Jonathan Jones),0.89,-1.27,1.0,2024,7
3.0,7:03,1.0,10.0,NWE 35,13.0,0.0,Rhamondre Stevenson right end for 5 yards (tackle by Mike Hilton),1.27,1.4,1.0,2024,7
3.0,6:36,2.0,5.0,NWE 40,13.0,0.0,Rhamondre Stevenson left guard for 2 yards (tackle by Zachary Carter and Jay Tufele),1.4,0.96,1.0,2024,7
3.0,5:54,3.0,3.0,NWE 42,13.0,0.0,Jacoby Brissett pass incomplete short right intended for Demario Douglas,0.96,-0.59,1.0,2024,7
3.0,5:47,4.0,3.0,NWE 42,13.0,0.0,"Bryce Baringer punts 47 yards, returned by Charlie Jones for -1 yards (tackle by Brenden Schooler)",-0.59,0.38,1.0,2024,7
3.0,5:37,1.0,10.0,CIN 10,13.0,0.0,"Joe Burrow pass incomplete deep right intended for Andrei Iosivas. Penalty on Marco Wilson: Defensive Pass Interference, 20 yards (accepted) (no play)",-0.38,0.94,1.0,2024,7
3.0,5:28,1.0,10.0,CIN 30,13.0,0.0,Zack Moss left guard for 7 yards (tackle by Jabrill Peppers and Jeremiah Pharms),0.94,1.34,1.0,2024,7
3.0,4:51,2.0,3.0,CIN 37,13.0,0.0,Zack Moss up the middle for 16 yards (tackle by Jonathan Jones and Jabrill Peppers),1.34,2.46,1.0,2024,7
3.0,4:17,1.0,10.0,NWE 47,13.0,0.0,Joe Burrow pass incomplete short left intended for Andrei Iosivas (defended by Jonathan Jones),2.46,1.91,1.0,2024,7
3.0,4:10,2.0,10.0,NWE 47,13.0,0.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 10 yards (tackle by Ja'Whaun Bentley),1.91,3.12,1.0,2024,7
3.0,3:30,1.0,10.0,NWE 37,13.0,0.0,Chase Brown right guard for 8 yards (tackle by Oshane Ximines and Kyle Dugger),3.12,3.65,1.0,2024,7
3.0,2:47,2.0,2.0,NWE 29,13.0,0.0,Joe Burrow pass complete short right to Andrei Iosivas for 13 yards,3.65,4.51,1.0,2024,7
3.0,2:13,1.0,10.0,NWE 16,13.0,0.0,"Joe Burrow scrambles right tackle for no gain. Joe Burrow fumbles (forced by Ja'Whaun Bentley), recovered by Jonathan Jones at NE-5 (tackle by Andrei Iosivas) Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Joe Burrow scrambles right tackle for 6 yards (tackle by Ja'Whaun Bentley)",4.51,4.97,1.0,2024,7
3.0,1:51,2.0,4.0,NWE 10,13.0,0.0,Zack Moss left tackle for 5 yards (tackle by Keion White),4.97,6.06,1.0,2024,7
3.0,1:13,1.0,5.0,NWE 5,13.0,6.0,"Zack Moss right tackle for 5 yards, touchdown",6.06,7.0,1.0,2024,7
3.0,1:10,,,NWE 15,13.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,1.0,2024,7
3.0,1:10,,,CIN 35,13.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,7
3.0,1:10,1.0,10.0,NWE 30,13.0,7.0,Rhamondre Stevenson right guard for 2 yards (tackle by Daxton Hill and Sam Hubbard),0.94,0.66,1.0,2024,7
3.0,0:34,2.0,8.0,NWE 32,13.0,7.0,Jacoby Brissett pass complete short right to Ja'Lynn Polk for 6 yards (tackle by Daxton Hill),0.66,0.76,1.0,2024,7
4.0,15:00,3.0,2.0,NWE 38,13.0,7.0,Jacoby Brissett scrambles up the middle for 6 yards (tackle by Vonn Bell and Logan Wilson),0.76,1.86,1.0,2024,7
4.0,14:15,1.0,10.0,NWE 44,13.0,7.0,"Rhamondre Stevenson up the middle for no gain (tackle by Logan Wilson) CIN challenged the fumble ruling, and the original play was overturned. Rhamondre Stevenson up the middle for no gain. Rhamondre Stevenson fumbles (forced by Logan Wilson), recovered by Rhamondre Stevenson at NE-44 (tackle by Logan Wilson)",1.86,1.32,1.0,2024,7
4.0,13:31,2.0,10.0,NWE 44,13.0,7.0,Jacoby Brissett pass complete short left to Austin Hooper for 15 yards (tackle by Vonn Bell),1.32,2.85,1.0,2024,7
4.0,12:51,1.0,10.0,CIN 41,13.0,7.0,Rhamondre Stevenson left end for 4 yards (tackle by Germaine Pratt and Logan Wilson),2.85,2.85,1.0,2024,7
4.0,12:16,2.0,6.0,CIN 37,13.0,7.0,Antonio Gibson right guard for 2 yards (tackle by B.J. Hill and Logan Wilson),2.85,2.41,1.0,2024,7
4.0,11:23,3.0,4.0,CIN 35,13.0,7.0,Jacoby Brissett pass complete short right to Hunter Henry for 9 yards (tackle by Germaine Pratt),2.41,3.84,1.0,2024,7
4.0,11:15,1.0,10.0,CIN 26,13.0,7.0,Antonio Gibson left tackle for 2 yards (tackle by Mike Hilton),3.84,3.57,1.0,2024,7
4.0,10:24,2.0,8.0,CIN 24,13.0,7.0,Jacoby Brissett pass complete short right to Rhamondre Stevenson for -3 yards (tackle by Germaine Pratt),3.57,2.48,1.0,2024,7
4.0,9:34,3.0,11.0,CIN 27,13.0,7.0,Jacoby Brissett pass complete short right to K.J. Osborn for 9 yards (tackle by Daxton Hill),2.48,2.37,1.0,2024,7
4.0,8:50,4.0,2.0,CIN 18,16.0,7.0,Joey Slye 37 yard field goal good,2.37,3.0,1.0,2024,7
4.0,8:46,,,NWE 35,16.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,7
4.0,8:46,1.0,10.0,CIN 30,16.0,7.0,Joe Burrow pass complete short right to Mike Gesicki for 6 yards (tackle by Ja'Whaun Bentley),0.94,1.2,1.0,2024,7
4.0,8:25,2.0,4.0,CIN 36,16.0,7.0,Joe Burrow pass complete deep middle to Ja'Marr Chase for 28 yards (tackle by Jabrill Peppers and Kyle Dugger),1.2,3.18,1.0,2024,7
4.0,7:51,1.0,10.0,NWE 36,16.0,7.0,Joe Burrow pass incomplete short left intended for Andrei Iosivas,3.18,2.64,1.0,2024,7
4.0,7:48,2.0,10.0,NWE 36,16.0,7.0,Joe Burrow scrambles right end for 5 yards (tackle by Ja'Whaun Bentley),2.64,2.61,1.0,2024,7
4.0,7:07,3.0,5.0,NWE 31,16.0,7.0,Joe Burrow sacked by Keion White for -2 yards,2.61,1.15,1.0,2024,7
4.0,6:18,4.0,7.0,NWE 33,16.0,10.0,Evan McPherson 51 yard field goal good,1.15,3.0,1.0,2024,7
4.0,6:14,,,CIN 35,16.0,10.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,7
4.0,6:14,1.0,10.0,NWE 30,16.0,10.0,Rhamondre Stevenson left tackle for 12 yards (tackle by Sam Hubbard),0.94,1.73,1.0,2024,7
4.0,5:31,1.0,10.0,NWE 42,16.0,10.0,Rhamondre Stevenson right end for 2 yards (tackle by Sam Hubbard),1.73,1.46,1.0,2024,7
4.0,4:52,2.0,8.0,NWE 44,16.0,10.0,Rhamondre Stevenson right tackle for 3 yards (tackle by Germaine Pratt and Sheldon Rankins),1.46,1.16,1.0,2024,7
4.0,4:03,3.0,5.0,NWE 47,16.0,10.0,Jacoby Brissett pass complete short left to Demario Douglas for 3 yards (tackle by Logan Wilson),1.16,-0.06,1.0,2024,7
4.0,3:14,4.0,2.0,CIN 50,16.0,10.0,"Penalty on Jacoby Brissett: Delay of Game, 5 yards (accepted) (no play)",-0.06,-0.39,1.0,2024,7
4.0,3:14,4.0,7.0,NWE 45,16.0,10.0,"Bryce Baringer punts 49 yards, returned by Charlie Jones for 4 yards (tackle by Brenden Schooler)",-0.39,0.38,1.0,2024,7
4.0,3:04,1.0,10.0,CIN 10,16.0,10.0,Joe Burrow pass incomplete short right intended for Andrei Iosivas,-0.38,-0.78,1.0,2024,7
4.0,3:00,2.0,10.0,CIN 10,16.0,10.0,Joe Burrow pass incomplete short middle intended for Zack Moss,-0.78,-1.42,1.0,2024,7
4.0,2:55,3.0,10.0,CIN 10,16.0,10.0,Joe Burrow pass complete short left to Zack Moss for 5 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),-1.42,-2.44,1.0,2024,7
4.0,2:19,4.0,5.0,CIN 15,16.0,10.0,"Ryan Rehkow punts 70 yards, returned by Marcus Jones for 10 yards (tackle by Cal Adomitis). Penalty on Ja'Marr Chase: Illegal Substitution, 5 yards (accepted)",-2.44,-0.94,1.0,2024,7
4.0,2:13,1.0,10.0,NWE 30,16.0,10.0,Rhamondre Stevenson left guard for 5 yards (tackle by Logan Wilson),0.94,1.07,1.0,2024,7
4.0,2:08,,,,,,Timeout #1 by Cincinnati Bengals,,,1.0,2024,7
4.0,2:08,2.0,5.0,NWE 35,16.0,10.0,Rhamondre Stevenson right tackle for 9 yards (tackle by Daxton Hill),1.07,1.86,1.0,2024,7
4.0,2:00,1.0,10.0,NWE 44,16.0,10.0,Rhamondre Stevenson left guard for 3 yards (tackle by Cam Taylor-Britt and Akeem Davis-Gaither),1.86,1.72,1.0,2024,7
4.0,1:52,,,,,,Timeout #2 by Cincinnati Bengals,,,1.0,2024,7
4.0,1:52,2.0,7.0,NWE 47,16.0,10.0,Rhamondre Stevenson right tackle for 9 yards (tackle by Cam Taylor-Britt),1.72,2.65,1.0,2024,7
4.0,1:44,,,,,,Timeout #3 by Cincinnati Bengals,,,1.0,2024,7
4.0,1:44,1.0,10.0,CIN 44,16.0,10.0,Jacoby Brissett kneels for -1 yards,2.65,1.98,1.0,2024,7
4.0,1:03,2.0,11.0,CIN 45,16.0,10.0,Jacoby Brissett kneels for no gain,1.98,1.29,1.0,2024,7
4.0,0:33,3.0,11.0,CIN 45,16.0,10.0,Jacoby Brissett kneels for -1 yards,1.29,0.2,1.0,2024,7
