Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA,week,year,game_id
2.0,6:21,2.0,5.0,HOU 38,12.0,7.0,Jonathan Taylor up the middle for 2 yards (tackle by Henry To'oTo'o),2.85,2.41,1.0,2024,8
2.0,5:45,3.0,3.0,HOU 36,12.0,7.0,Jonathan Taylor up the middle for 7 yards (tackle by Jimmie Ward),2.41,3.64,1.0,2024,8
2.0,4:58,1.0,10.0,HOU 29,12.0,7.0,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,3.64,3.1,1.0,2024,8
2.0,4:47,2.0,10.0,HOU 29,12.0,7.0,Anthony Richardson pass complete short middle to Alec Pierce for 8 yards (tackle by Azeez Al-Shaair),3.1,3.47,1.0,2024,8
2.0,4:08,3.0,2.0,HOU 21,12.0,7.0,Anthony Richardson left end for 3 yards (tackle by Jimmie Ward),3.47,4.37,1.0,2024,8
2.0,3:23,1.0,10.0,HOU 18,12.0,7.0,Jonathan Taylor left tackle for -2 yards (tackle by Henry To'oTo'o),4.37,3.56,1.0,2024,8
2.0,2:48,2.0,12.0,HOU 20,12.0,7.0,Anthony Richardson pass short left intended for Kylen Granson is intercepted by Calen Bullock at HOU-8 and returned for no gain (tackle by Kylen Granson),3.56,0.38,1.0,2024,8
2.0,2:39,1.0,10.0,HOU 8,12.0,7.0,Joe Mixon right guard for 8 yards (tackle by Julian Blackmon),-0.38,-0.09,1.0,2024,8
2.0,2:00,2.0,2.0,HOU 16,12.0,7.0,Joe Mixon up the middle for 13 yards (tackle by Julius Brents and Nick Cross),-0.09,0.87,1.0,2024,8
2.0,1:25,1.0,10.0,HOU 29,12.0,7.0,Joe Mixon left tackle for 4 yards (tackle by DeForest Buckner),0.87,0.87,1.0,2024,8
2.0,0:56,2.0,6.0,HOU 33,12.0,7.0,C.J. Stroud pass complete short right to Nico Collins for 8 yards (tackle by Jaylon Jones and Kenny Moore),0.87,1.66,1.0,2024,8
2.0,0:35,1.0,10.0,HOU 41,12.0,7.0,C.J. Stroud pass complete short right to Dalton Schultz for 5 yards (tackle by E.J. Speed),1.66,1.8,1.0,2024,8
2.0,0:28,,,,,,Timeout #2 by Houston Texans,,,1.0,2024,8
2.0,0:28,2.0,5.0,HOU 46,12.0,7.0,C.J. Stroud pass incomplete deep right intended for Nico Collins,1.8,1.09,1.0,2024,8
2.0,0:23,3.0,5.0,HOU 46,12.0,7.0,C.J. Stroud pass complete short middle to Nico Collins for 16 yards (tackle by Jaylon Jones and Nick Cross),1.09,3.05,1.0,2024,8
2.0,0:18,,,,,,Timeout #3 by Houston Texans,,,1.0,2024,8
2.0,0:18,1.0,10.0,IND 38,12.0,7.0,"C.J. Stroud pass complete short middle to Dalton Schultz for 7 yards (tackle by Julian Blackmon and E.J. Speed) Replay Assistant challenged the pass completion ruling, and the play was upheld.",3.05,3.45,1.0,2024,8
3.0,15:00,,,IND 35,12.0,7.0,"Spencer Shrader kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,8
3.0,15:00,1.0,10.0,HOU 30,12.0,7.0,Joe Mixon left tackle for no gain (tackle by E.J. Speed),0.94,0.39,1.0,2024,8
3.0,14:28,2.0,10.0,HOU 30,12.0,7.0,C.J. Stroud pass complete short right to Stefon Diggs for 10 yards (tackle by Kenny Moore and Julius Brents),0.39,1.6,1.0,2024,8
3.0,13:48,1.0,10.0,HOU 40,12.0,7.0,"C.J. Stroud pass short right is intercepted by Julius Brents at HOU-42 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. C.J. Stroud pass incomplete short right",1.6,1.05,1.0,2024,8
3.0,13:41,2.0,10.0,HOU 40,12.0,7.0,Joe Mixon up the middle for 8 yards (tackle by Julian Blackmon and Julius Brents),1.05,1.42,1.0,2024,8
3.0,13:15,3.0,2.0,HOU 48,12.0,7.0,C.J. Stroud pass complete short right to Tank Dell for 11 yards (tackle by Julius Brents),1.42,2.85,1.0,2024,8
3.0,12:32,1.0,10.0,IND 41,12.0,7.0,C.J. Stroud pass incomplete deep middle intended for Tank Dell (defended by Jaylon Jones),2.85,2.31,1.0,2024,8
3.0,12:23,2.0,10.0,IND 41,12.0,7.0,Joe Mixon left guard for 5 yards (tackle by Julian Blackmon and Zaire Franklin),2.31,2.28,1.0,2024,8
3.0,11:44,3.0,5.0,IND 36,12.0,7.0,C.J. Stroud pass complete short right to Dare Ogunbowale for 3 yards (tackle by E.J. Speed),2.28,1.2,1.0,2024,8
3.0,11:00,4.0,2.0,IND 33,15.0,7.0,Ka'imi Fairbairn 51 yard field goal good,1.2,3.0,1.0,2024,8
3.0,10:55,,,HOU 35,15.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,8
3.0,10:55,1.0,10.0,IND 30,15.0,7.0,Jonathan Taylor up the middle for 2 yards (tackle by Jalen Pitre),0.94,0.66,1.0,2024,8
3.0,10:21,2.0,8.0,IND 32,15.0,7.0,Jonathan Taylor right guard for 5 yards (tackle by Will Anderson),0.66,0.63,1.0,2024,8
3.0,9:41,3.0,3.0,IND 37,15.0,7.0,Anthony Richardson sacked by Folorunso Fatukasi for -2 yards,0.63,-1.04,1.0,2024,8
3.0,9:04,4.0,5.0,IND 35,15.0,7.0,"Rigoberto Sanchez punts 55 yards, fair catch by Steven Sims at HOU-10",-1.04,0.38,1.0,2024,8
3.0,8:55,1.0,10.0,HOU 10,15.0,7.0,Joe Mixon right tackle for 3 yards (tackle by Julian Blackmon and Tyquan Lewis),-0.38,-0.56,1.0,2024,8
3.0,8:17,2.0,7.0,HOU 13,15.0,7.0,"C.J. Stroud pass complete short left to Dalton Schultz for no gain (tackle by E.J. Speed). Penalty on Tyquan Lewis: Defensive Offside, 5 yards (accepted) (no play)",-0.56,0.07,1.0,2024,8
3.0,8:08,2.0,2.0,HOU 18,15.0,7.0,Joe Mixon up the middle for 7 yards (tackle by Nick Cross and Julius Brents),0.07,0.61,1.0,2024,8
3.0,7:23,1.0,10.0,HOU 25,15.0,7.0,C.J. Stroud pass incomplete deep right intended for Tank Dell,0.61,0.06,1.0,2024,8
3.0,7:17,2.0,10.0,HOU 25,15.0,7.0,C.J. Stroud pass complete short right to Xavier Hutchinson for 3 yards (tackle by Kenny Moore and Nick Cross),0.06,-0.23,1.0,2024,8
3.0,6:35,3.0,7.0,HOU 28,15.0,7.0,C.J. Stroud sacked by and DeForest Buckner for -10 yards and Dayo Odeyingbo for -10 yards,-0.23,-2.24,1.0,2024,8
3.0,5:49,4.0,17.0,HOU 18,15.0,7.0,blocked by Segun Olubi,-2.24,-6.06,1.0,2024,8
3.0,5:43,1.0,5.0,HOU 5,15.0,13.0,"Jonathan Taylor up the middle for 5 yards, touchdown",6.06,7.0,1.0,2024,8
3.0,5:40,,,HOU 2,15.0,13.0,"Two Point Attempt: Jonathan Taylor rushes, conversion fails.",1.0,-1.0,1.0,2024,8
3.0,5:40,,,IND 35,15.0,13.0,"Spencer Shrader kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,8
3.0,5:40,1.0,10.0,HOU 30,15.0,13.0,C.J. Stroud pass incomplete short left intended for Brevin Jordan,0.94,0.39,1.0,2024,8
3.0,5:36,2.0,10.0,HOU 30,15.0,13.0,Joe Mixon left end for 13 yards (tackle by Nick Cross),0.39,1.8,1.0,2024,8
3.0,4:49,1.0,10.0,HOU 43,15.0,13.0,Joe Mixon left tackle for 4 yards (tackle by Julian Blackmon),1.8,1.79,1.0,2024,8
3.0,4:16,2.0,6.0,HOU 47,15.0,13.0,C.J. Stroud pass complete short left to Nico Collins for 7 yards (tackle by Jaylon Jones),1.79,2.52,1.0,2024,8
3.0,3:29,1.0,10.0,IND 46,15.0,13.0,"Tank Dell right end for 2 yards (tackle by E.J. Speed). Penalty on Nico Collins: Offensive Holding, 10 yards (accepted)",2.52,1.99,1.0,2024,8
3.0,3:03,1.0,18.0,HOU 46,15.0,13.0,Joe Mixon left guard for 3 yards (tackle by Julian Blackmon),1.99,1.3,1.0,2024,8
3.0,2:21,2.0,15.0,HOU 49,15.0,13.0,C.J. Stroud pass complete short left to Joe Mixon for 1 yard (tackle by DeForest Buckner),1.3,0.76,1.0,2024,8
3.0,1:40,3.0,14.0,HOU 50,15.0,13.0,C.J. Stroud pass complete short middle to Nico Collins for 19 yards (tackle by Julian Blackmon),0.76,3.51,1.0,2024,8
3.0,0:49,1.0,10.0,IND 31,15.0,13.0,Joe Mixon left end for 8 yards (tackle by Nick Cross),3.51,4.05,1.0,2024,8
3.0,0:07,2.0,2.0,IND 23,15.0,13.0,"Joe Mixon right tackle for 10 yards (tackle by Jaylon Jones and Nick Cross). Penalty on Raekwon Davis: Defensive Holding, 5 yards (accepted)",4.05,5.37,1.0,2024,8
4.0,15:00,1.0,8.0,IND 8,15.0,13.0,C.J. Stroud pass complete short left to Stefon Diggs for no gain (tackle by E.J. Speed),5.37,4.57,1.0,2024,8
4.0,14:50,2.0,8.0,IND 8,15.0,13.0,Joe Mixon left guard for no gain (tackle by Grover Stewart and Tyquan Lewis),4.57,3.58,1.0,2024,8
4.0,13:56,3.0,8.0,IND 8,15.0,13.0,"C.J. Stroud pass short right is intercepted by Kenny Moore at IND-3 and returned for no gain (tackle by C.J. Stroud). Penalty on Jaylon Jones: Defensive Holding, 5 yards (accepted) (no play)",3.58,6.51,1.0,2024,8
4.0,13:45,1.0,3.0,IND 3,21.0,13.0,"Joe Mixon left end for 3 yards, touchdown",6.51,7.0,1.0,2024,8
4.0,13:41,,,IND 15,22.0,13.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,1.0,2024,8
4.0,13:41,,,HOU 35,22.0,13.0,"Ka'imi Fairbairn kicks off 65 yards, touchback., touchback.",0.0,0.94,1.0,2024,8
4.0,13:34,1.0,10.0,IND 30,22.0,13.0,"Anthony Richardson pass incomplete deep left intended for Adonai Mitchell. Penalty on Kamari Lassiter: Illegal Contact, 5 yards (accepted) (no play)",0.94,1.27,1.0,2024,8
4.0,13:34,1.0,10.0,IND 35,22.0,13.0,Anthony Richardson pass incomplete short middle intended for Michael Pittman (defended by Jimmie Ward),1.27,0.72,1.0,2024,8
4.0,13:30,2.0,10.0,IND 35,22.0,13.0,Anthony Richardson pass complete short left to Michael Pittman for 8 yards (tackle by Henry To'oTo'o and Kamari Lassiter),0.72,1.09,1.0,2024,8
4.0,13:07,3.0,2.0,IND 43,22.0,13.0,Jonathan Taylor up the middle for 3 yards (tackle by Azeez Al-Shaair and Henry To'oTo'o),1.09,1.99,1.0,2024,8
4.0,12:22,1.0,10.0,IND 46,22.0,19.0,"Anthony Richardson pass complete deep right to Ashton Dulin for 54 yards, touchdown",1.99,7.0,1.0,2024,8
4.0,12:12,,,HOU 15,22.0,20.0,Spencer Shrader kicks extra point good,0.0,0.0,1.0,2024,8
4.0,12:12,,,IND 35,22.0,20.0,"Spencer Shrader kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,8
4.0,12:12,1.0,10.0,HOU 30,22.0,20.0,C.J. Stroud pass complete short right to Joe Mixon for 11 yards (tackle by Zaire Franklin),0.94,1.66,1.0,2024,8
4.0,11:29,1.0,10.0,HOU 41,22.0,20.0,Joe Mixon left end for 8 yards (tackle by Julian Blackmon),1.66,2.2,1.0,2024,8
4.0,10:45,2.0,2.0,HOU 49,22.0,20.0,Tank Dell left end for 17 yards (tackle by Jaylon Jones),2.2,3.31,1.0,2024,8
4.0,9:56,1.0,10.0,IND 34,22.0,20.0,Dameon Pierce up the middle for 9 yards (tackle by Nick Cross),3.31,3.99,1.0,2024,8
4.0,9:15,2.0,1.0,IND 25,22.0,20.0,Dameon Pierce right end for 3 yards (tackle by Zaire Franklin),3.99,4.11,1.0,2024,8
4.0,8:31,1.0,10.0,IND 22,22.0,20.0,C.J. Stroud pass complete short left to Tank Dell for 6 yards (tackle by Julius Brents),4.11,4.46,1.0,2024,8
4.0,7:48,2.0,4.0,IND 16,22.0,20.0,Joe Mixon left end for 7 yards (tackle by Jaylon Jones),4.46,5.14,1.0,2024,8
4.0,7:04,1.0,9.0,IND 9,22.0,20.0,Joe Mixon left tackle for 7 yards (tackle by Nick Cross and Julian Blackmon),5.14,5.72,1.0,2024,8
4.0,6:22,,,,,,Timeout #1 by Houston Texans,,,1.0,2024,8
4.0,6:22,2.0,2.0,IND 2,22.0,20.0,Joe Mixon up the middle for -2 yards (tackle by Jaylon Jones),5.72,4.49,1.0,2024,8
4.0,5:38,3.0,4.0,IND 4,22.0,20.0,C.J. Stroud scrambles up the middle for 2 yards (tackle by Zaire Franklin),4.49,3.25,1.0,2024,8
4.0,4:45,4.0,2.0,IND 2,28.0,20.0,"C.J. Stroud pass complete short left to Stefon Diggs for 2 yards, touchdown",3.25,7.0,1.0,2024,8
4.0,4:42,,,IND 15,29.0,20.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,1.0,2024,8
4.0,4:42,,,HOU 35,29.0,20.0,"Ka'imi Fairbairn kicks off 59 yards, returned by Anthony Gould for 26 yards (tackle by Myles Bryant)",0.0,1.07,1.0,2024,8
4.0,4:36,1.0,10.0,IND 32,29.0,20.0,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,1.07,0.53,1.0,2024,8
4.0,4:31,2.0,10.0,IND 32,29.0,20.0,Anthony Richardson pass incomplete short right intended for Michael Pittman (defended by Danielle Hunter),0.53,-0.16,1.0,2024,8
4.0,4:26,3.0,10.0,IND 32,29.0,20.0,"Penalty on Anthony Richardson: False Start, 5 yards (accepted) (no play)",-0.16,-0.82,1.0,2024,8
4.0,4:26,3.0,15.0,IND 27,29.0,20.0,Anthony Richardson pass complete deep middle to Alec Pierce for 57 yards (tackle by Jimmie Ward),-0.82,4.51,1.0,2024,8
4.0,3:49,1.0,10.0,HOU 16,29.0,20.0,Anthony Richardson scrambles left end for 10 yards (tackle by Mario Edwards),4.51,5.83,1.0,2024,8
4.0,3:23,1.0,6.0,HOU 6,29.0,20.0,Anthony Richardson pass incomplete short middle intended for Mo Alie-Cox (defended by Henry To'oTo'o),5.83,4.95,1.0,2024,8
4.0,3:21,2.0,6.0,HOU 6,29.0,20.0,Jonathan Taylor up the middle for 5 yards (tackle by Azeez Al-Shaair and Calen Bullock),4.95,5.17,1.0,2024,8
4.0,3:00,3.0,1.0,HOU 1,29.0,20.0,Jonathan Taylor up the middle for -2 yards (tackle by Derek Stingley),5.17,3.04,1.0,2024,8
4.0,2:20,4.0,3.0,HOU 3,29.0,26.0,"Anthony Richardson scrambles right end for 3 yards, touchdown",3.04,7.0,1.0,2024,8
4.0,2:14,,,HOU 15,29.0,27.0,Spencer Shrader kicks extra point good,0.0,0.0,1.0,2024,8
4.0,2:14,,,IND 35,29.0,27.0,"Spencer Shrader kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,8
4.0,2:14,1.0,10.0,HOU 30,29.0,27.0,Joe Mixon left end for no gain (tackle by Tyquan Lewis),0.94,0.39,1.0,2024,8
4.0,2:09,,,,,,Timeout #1 by Indianapolis Colts,,,1.0,2024,8
4.0,2:09,2.0,10.0,HOU 30,29.0,27.0,Joe Mixon right end for 4 yards (tackle by DeForest Buckner and Grover Stewart),0.39,0.23,1.0,2024,8
4.0,2:00,3.0,6.0,HOU 34,29.0,27.0,"Penalty on Kenyon Green: False Start, 5 yards (accepted) (no play)",0.23,-0.43,1.0,2024,8
4.0,2:00,3.0,11.0,HOU 29,29.0,27.0,"C.J. Stroud pass complete short right to Nico Collins for 12 yards Replay Assistant challenged the pass completion ruling, and the play was upheld.",-0.43,1.66,1.0,2024,8
4.0,1:56,1.0,10.0,HOU 41,29.0,27.0,Joe Mixon up the middle for 4 yards (tackle by Tyquan Lewis),1.66,1.66,1.0,2024,8
4.0,1:52,,,,,,Timeout #2 by Indianapolis Colts,,,1.0,2024,8
4.0,1:52,2.0,6.0,HOU 45,29.0,27.0,Joe Mixon left end for 3 yards (tackle by Zaire Franklin),1.66,1.36,1.0,2024,8
4.0,1:48,,,,,,Timeout #3 by Indianapolis Colts,,,1.0,2024,8
4.0,1:48,3.0,3.0,HOU 48,29.0,27.0,Joe Mixon right tackle for 9 yards (tackle by Nick Cross),1.36,2.72,1.0,2024,8
4.0,1:01,,,,,,Timeout #2 by Houston Texans,,,1.0,2024,8
4.0,1:01,1.0,10.0,IND 43,29.0,27.0,C.J. Stroud kneels for -1 yards,2.72,2.04,1.0,2024,8
4.0,0:36,2.0,11.0,IND 44,29.0,27.0,C.J. Stroud kneels for -1 yards,2.04,1.22,1.0,2024,8
