Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA,week,year,game_id
3.0,4:55,,,CAR 35,10.0,37.0,"Eddy Piñeiro kicks off 61 yards, returned by Jamaal Williams for 32 yards (tackle by Jon Rhattigan and Chau Smith-Wade)",0.0,1.33,1.0,2024,5
3.0,4:49,1.0,10.0,NOR 36,10.0,37.0,Jamaal Williams left guard for 2 yards (tackle by Derrick Brown and Jordan Fuller),1.33,1.06,1.0,2024,5
3.0,4:15,2.0,8.0,NOR 38,10.0,37.0,Derek Carr pass complete short middle to Jamaal Williams for 13 yards (tackle by Josey Jewell and Xavier Woods),1.06,2.32,1.0,2024,5
3.0,3:35,1.0,10.0,CAR 49,10.0,37.0,Jamaal Williams right tackle for 6 yards (tackle by Josey Jewell),2.32,2.59,1.0,2024,5
3.0,2:58,2.0,4.0,CAR 43,10.0,37.0,Alvin Kamara left tackle for 1 yard (tackle by Shaq Thompson),2.59,2.02,1.0,2024,5
3.0,2:20,,,,,,Timeout #2 by New Orleans Saints,,,1.0,2024,5
3.0,2:20,3.0,3.0,CAR 42,10.0,37.0,Jamaal Williams left guard for 4 yards (tackle by Troy Hill),2.02,3.05,1.0,2024,5
3.0,1:42,1.0,10.0,CAR 38,10.0,37.0,Jamaal Williams left guard for -3 yards (tackle by Eku Leota),3.05,2.1,1.0,2024,5
3.0,1:02,2.0,13.0,CAR 41,10.0,37.0,Derek Carr pass complete short middle to Juwan Johnson for 10 yards (tackle by Jordan Fuller),2.1,2.74,1.0,2024,5
3.0,0:24,3.0,3.0,CAR 31,10.0,37.0,Derek Carr up the middle for 5 yards (tackle by Jayden Peevy and Derrick Brown),2.74,3.84,1.0,2024,5
4.0,15:00,1.0,10.0,CAR 26,10.0,37.0,Derek Carr pass complete short right to Alvin Kamara for 5 yards (tackle by Jordan Fuller),3.84,3.97,1.0,2024,5
4.0,14:26,2.0,5.0,CAR 21,10.0,37.0,Jamaal Williams left tackle for 1 yard (tackle by DJ Johnson),3.97,3.4,1.0,2024,5
4.0,13:50,3.0,4.0,CAR 20,10.0,37.0,Jamaal Williams right end for -1 yards (tackle by Shaq Thompson),3.4,2.11,1.0,2024,5
4.0,13:12,4.0,5.0,CAR 21,10.0,40.0,Blake Grupe 39 yard field goal good,2.11,3.0,1.0,2024,5
4.0,13:08,,,NOR 35,10.0,40.0,"Blake Grupe kicks off 64 yards, returned by Raheem Blackshear for 31 yards (tackle by Isaiah Foskey and Will Harris)",0.0,1.07,1.0,2024,5
4.0,13:01,1.0,10.0,CAR 32,10.0,40.0,Bryce Young pass incomplete deep middle intended for Jordan Matthews,1.07,0.53,1.0,2024,5
4.0,12:57,2.0,10.0,CAR 32,10.0,40.0,Miles Sanders left guard for 2 yards (tackle by Paulson Adebo),0.53,0.1,1.0,2024,5
4.0,12:15,3.0,8.0,CAR 34,10.0,40.0,Bryce Young sacked by Alontae Taylor for -9 yards,0.1,-1.7,1.0,2024,5
4.0,11:32,4.0,17.0,CAR 25,10.0,40.0,Johnny Hekker punts 11 yards downed by J.J. Jansen,-1.7,-3.18,1.0,2024,5
4.0,11:21,1.0,10.0,CAR 36,10.0,40.0,Derek Carr pass complete deep right to Foster Moreau for 22 yards (tackle by Xavier Woods),3.18,4.65,1.0,2024,5
4.0,10:43,1.0,10.0,CAR 14,10.0,46.0,"Jamaal Williams left end for 14 yards, touchdown",4.65,7.0,1.0,2024,5
4.0,10:38,,,CAR 15,10.0,47.0,Blake Grupe kicks extra point good,0.0,0.0,1.0,2024,5
4.0,10:38,,,NOR 35,10.0,47.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,5
4.0,10:38,1.0,10.0,CAR 30,10.0,47.0,"Bryce Young pass incomplete deep left intended for Miles Sanders. Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,1.0,2024,5
4.0,10:31,1.0,20.0,CAR 20,10.0,47.0,Bryce Young pass complete short middle to David Moore for 14 yards (tackle by Pete Werner),0.28,0.93,1.0,2024,5
4.0,9:50,2.0,6.0,CAR 34,10.0,47.0,Chuba Hubbard right guard for 1 yard (tackle by Carl Granderson),0.93,0.37,1.0,2024,5
4.0,9:10,3.0,5.0,CAR 35,10.0,47.0,"Bryce Young pass incomplete short right intended for Jonathan Mingo. Penalty on Paulson Adebo: Defensive Pass Interference, 5 yards (accepted) (no play)",0.37,1.6,1.0,2024,5
4.0,9:06,1.0,10.0,CAR 40,10.0,47.0,Bryce Young pass complete short left to Jonathan Mingo for 5 yards (tackle by Kool-Aid McKinstry),1.6,1.73,1.0,2024,5
4.0,8:31,2.0,5.0,CAR 45,10.0,47.0,Bryce Young pass complete deep right to Adam Thielen for 32 yards (tackle by Alontae Taylor),1.73,4.04,1.0,2024,5
4.0,7:49,1.0,10.0,NOR 23,10.0,47.0,Bryce Young pass incomplete deep middle intended for Xavier Legette (defended by Alontae Taylor),4.04,3.5,1.0,2024,5
4.0,7:44,2.0,10.0,NOR 23,10.0,47.0,Bryce Young pass complete short right to Xavier Legette for 4 yards (tackle by Paulson Adebo),3.5,3.34,1.0,2024,5
4.0,6:59,3.0,6.0,NOR 19,10.0,47.0,Bryce Young pass incomplete deep left intended for Xavier Legette,3.34,2.21,1.0,2024,5
4.0,6:55,4.0,6.0,NOR 19,10.0,47.0,Bryce Young pass incomplete deep right intended for David Moore,2.21,-0.15,1.0,2024,5
4.0,6:51,1.0,10.0,NOR 19,10.0,47.0,Jamaal Williams right guard for 4 yards (tackle by Shaq Thompson and Jadeveon Clowney),0.15,0.21,1.0,2024,5
4.0,6:07,2.0,6.0,NOR 23,10.0,47.0,Jordan Mims right guard for 4 yards (tackle by A'Shawn Robinson),0.21,-0.03,1.0,2024,5
4.0,5:22,3.0,2.0,NOR 27,10.0,47.0,Jordan Mims right guard for no gain (tackle by Shaq Thompson and A'Shawn Robinson),-0.03,-1.57,1.0,2024,5
4.0,4:37,4.0,2.0,NOR 27,10.0,47.0,"Matthew Hayball punts 38 yards out of bounds. Penalty on J.T. Gray: Kick Catch Interference, 15 yards (accepted)",-1.57,-2.26,1.0,2024,5
4.0,4:29,1.0,10.0,CAR 50,10.0,47.0,Miles Sanders right end for 5 yards (tackle by Jordan Howden and Kool-Aid McKinstry),2.26,2.39,1.0,2024,5
4.0,4:23,2.0,5.0,NOR 45,10.0,47.0,Bryce Young pass incomplete deep left intended for Xavier Legette,2.39,1.69,1.0,2024,5
4.0,4:17,3.0,5.0,NOR 45,10.0,47.0,Bryce Young pass incomplete short right intended for Jonathan Mingo,1.69,0.27,1.0,2024,5
4.0,4:11,4.0,5.0,NOR 45,10.0,47.0,Bryce Young pass incomplete short right intended for David Moore (defended by Payton Turner),0.27,-1.93,1.0,2024,5
4.0,4:07,1.0,10.0,NOR 45,10.0,47.0,Jordan Mims right guard for 2 yards (tackle by Xavier Woods and Nick Thurman),1.93,1.65,1.0,2024,5
4.0,3:26,2.0,8.0,NOR 47,10.0,47.0,Jake Haener pass incomplete short right intended for Bub Means (defended by Josey Jewell),1.65,0.96,1.0,2024,5
4.0,3:20,3.0,8.0,NOR 47,10.0,47.0,Jordan Mims right tackle for 5 yards (tackle by Nick Thurman and Shy Tuttle),0.96,0.07,1.0,2024,5
4.0,2:22,4.0,3.0,CAR 48,10.0,47.0,Matthew Hayball punts 35 yards out of bounds,0.07,0.32,1.0,2024,5
4.0,2:16,1.0,10.0,CAR 13,10.0,47.0,Mike Boone left guard for 5 yards (tackle by Kendal Vickers and Khristian Boyd),-0.32,-0.14,1.0,2024,5
4.0,2:00,2.0,5.0,CAR 18,10.0,47.0,Mike Boone left tackle for 1 yard (tackle by Kendal Vickers),-0.14,-0.71,1.0,2024,5
4.0,1:21,3.0,4.0,CAR 19,10.0,47.0,Andy Dalton pass incomplete short left intended for Jonathan Mingo (defended by Rico Payton),-0.71,-2.14,1.0,2024,5
4.0,1:17,4.0,4.0,CAR 19,10.0,47.0,"Johnny Hekker punts 36 yards, recovered by Feleipe Franks at NO-45",-2.14,2.59,1.0,2024,5
4.0,1:06,1.0,10.0,NOR 45,10.0,47.0,Mike Boone right tackle for 1 yard (tackle by Will Harris and Pete Werner),2.59,2.18,1.0,2024,5
4.0,0:28,2.0,9.0,NOR 44,10.0,47.0,Mike Boone left tackle for no gain (tackle by Anfernee Orji and Isaiah Foskey),2.18,1.49,1.0,2024,5
