Quarter,Time,Down,ToGo,Location,DAL,CLE,Detail,EPB,EPA,week,year,game_id
1.0,6:55,1.0,10.0,CLE 25,7.0,3.0,"Penalty on Dawand Jones: False Start, 5 yards (accepted) (no play)",0.61,0.28,1.0,2024,13
1.0,6:55,1.0,15.0,CLE 20,7.0,3.0,Jerome Ford left tackle for no gain (tackle by Eric Kendricks),0.28,-0.61,1.0,2024,13
1.0,6:20,2.0,15.0,CLE 20,7.0,3.0,Deshaun Watson pass complete short left to Jerry Jeudy for 4 yards (tackle by DeMarvion Overshown),-0.61,-0.76,1.0,2024,13
1.0,5:44,3.0,11.0,CLE 24,7.0,3.0,Deshaun Watson pass complete short middle to Jerome Ford for 8 yards (tackle by DeMarvion Overshown and Eric Kendricks),-0.76,-1.24,1.0,2024,13
1.0,4:57,4.0,3.0,CLE 32,7.0,3.0,Corey Bojorquez punts 58 yards downed by Mike Ford,-1.24,0.38,1.0,2024,13
1.0,4:45,1.0,10.0,DAL 10,7.0,3.0,Ezekiel Elliott up the middle for 1 yard (tackle by Quinton Jefferson and Mohamoud Diabate),-0.38,-0.71,1.0,2024,13
1.0,4:11,2.0,9.0,DAL 11,7.0,3.0,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by Jeremiah Owusu-Koramoah and Quinton Jefferson),-0.71,-0.6,1.0,2024,13
1.0,3:32,3.0,3.0,DAL 17,7.0,3.0,Ezekiel Elliott right guard for 7 yards (tackle by Maurice Hurst and Jeremiah Owusu-Koramoah),-0.6,0.54,1.0,2024,13
1.0,3:03,1.0,10.0,DAL 24,7.0,3.0,Ezekiel Elliott left guard for 1 yard (tackle by Jordan Hicks and Dalvin Tomlinson),0.54,0.13,1.0,2024,13
1.0,2:31,2.0,9.0,DAL 25,7.0,3.0,Dak Prescott pass complete short middle to CeeDee Lamb for 11 yards (tackle by Juan Thornhill and Martin Emerson),0.13,1.33,1.0,2024,13
1.0,2:01,1.0,10.0,DAL 36,7.0,3.0,Dak Prescott pass complete short left to CeeDee Lamb for 5 yards (tackle by Martin Emerson and Jordan Hicks),1.33,1.47,1.0,2024,13
1.0,1:31,2.0,5.0,DAL 41,7.0,3.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Denzel Ward),1.47,0.76,1.0,2024,13
1.0,1:23,3.0,5.0,DAL 41,7.0,3.0,Dak Prescott pass incomplete short right intended for Brandin Cooks,0.76,-0.65,1.0,2024,13
1.0,1:20,4.0,5.0,DAL 41,7.0,3.0,"Bryan Anger punts 52 yards, returned by Jaelon Darden for 13 yards (tackle by Trent Sieg)",-0.65,-0.28,1.0,2024,13
1.0,1:10,1.0,10.0,CLE 20,7.0,3.0,Deshaun Watson pass incomplete deep right intended for Jerry Jeudy (defended by Caelen Carson),0.28,-0.27,1.0,2024,13
1.0,1:01,2.0,10.0,CLE 20,7.0,3.0,Deshaun Watson pass incomplete short right intended for David Njoku,-0.27,-0.96,1.0,2024,13
1.0,0:56,3.0,10.0,CLE 20,7.0,3.0,Deshaun Watson sacked by Micah Parsons for -5 yards,-0.96,-2.44,1.0,2024,13
1.0,0:11,4.0,15.0,CLE 15,7.0,3.0,"Corey Bojorquez punts 53 yards, returned by KaVontae Turpin for 7 yards (tackle by Devin Bush). Penalty on Israel Mukuamu: Offensive Holding, 10 yards (accepted)",-2.44,-0.87,1.0,2024,13
2.0,15:00,1.0,10.0,DAL 29,7.0,3.0,Rico Dowdle left guard for 2 yards (tackle by Alex Wright),0.87,0.6,1.0,2024,13
2.0,14:28,2.0,8.0,DAL 31,7.0,3.0,"Dak Prescott sacked by Myles Garrett for -7 yards. Dak Prescott fumbles (forced by Myles Garrett), recovered by Jalen Tolbert at DAL-24",0.6,-1.02,1.0,2024,13
2.0,13:39,3.0,15.0,DAL 24,7.0,3.0,Dak Prescott pass complete short left to Jake Ferguson for 7 yards (tackle by Juan Thornhill),-1.02,-1.31,1.0,2024,13
2.0,13:03,4.0,8.0,DAL 31,7.0,3.0,Bryan Anger punts 46 yards out of bounds,-1.31,-0.48,1.0,2024,13
2.0,12:56,1.0,10.0,CLE 23,7.0,3.0,Jerome Ford right tackle for 1 yard (tackle by Marshawn Kneeland),0.48,0.07,1.0,2024,13
2.0,12:11,2.0,9.0,CLE 24,7.0,3.0,Deshaun Watson pass incomplete short middle intended for Elijah Moore,0.07,-0.63,1.0,2024,13
2.0,12:07,3.0,9.0,CLE 24,7.0,3.0,Deshaun Watson pass complete short left to David Njoku for 7 yards (tackle by Jourdan Lewis),-0.63,-1.31,1.0,2024,13
2.0,11:25,4.0,2.0,CLE 31,7.0,3.0,"Corey Bojorquez punts 56 yards, returned by KaVontae Turpin for 9 yards (tackle by Pierre Strong and Devin Bush)",-1.31,-0.41,1.0,2024,13
2.0,11:11,1.0,10.0,DAL 22,7.0,3.0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb (defended by Martin Emerson),0.41,-0.13,1.0,2024,13
2.0,11:03,2.0,10.0,DAL 22,7.0,3.0,Ezekiel Elliott left end for 9 yards (tackle by Martin Emerson),-0.13,0.37,1.0,2024,13
2.0,10:38,3.0,1.0,DAL 31,7.0,3.0,Dak Prescott up the middle for 3 yards (tackle by Mohamoud Diabate),0.37,1.2,1.0,2024,13
2.0,10:03,1.0,10.0,DAL 34,7.0,3.0,CeeDee Lamb right end for 12 yards (tackle by Juan Thornhill),1.2,1.99,1.0,2024,13
2.0,9:37,1.0,10.0,DAL 46,7.0,3.0,Ezekiel Elliott left guard for 3 yards (tackle by Grant Delpit and Quinton Jefferson),1.99,1.86,1.0,2024,13
2.0,9:03,2.0,7.0,DAL 49,7.0,3.0,Dak Prescott pass complete short right to Hunter Luepke for 6 yards (tackle by Grant Delpit),1.86,1.95,1.0,2024,13
2.0,8:27,3.0,1.0,CLE 45,7.0,3.0,Rico Dowdle right tackle for 6 yards (tackle by Za'Darius Smith),1.95,2.98,1.0,2024,13
2.0,7:44,1.0,10.0,CLE 39,7.0,3.0,Dak Prescott pass complete short middle to Jalen Brooks for 18 yards (tackle by Juan Thornhill),2.98,4.17,1.0,2024,13
2.0,7:01,1.0,10.0,CLE 21,7.0,3.0,Dak Prescott pass complete short right to Brandin Cooks for 5 yards (tackle by Greg Newsome),4.17,4.37,1.0,2024,13
2.0,6:24,2.0,5.0,CLE 16,7.0,3.0,Dak Prescott pass complete short left to Ezekiel Elliott for 9 yards (tackle by Juan Thornhill),4.37,5.6,1.0,2024,13
2.0,5:41,1.0,7.0,CLE 7,7.0,3.0,"Dak Prescott sacked by Myles Garrett for no gain. Penalty on Myles Garrett: Defensive Offside, 4 yards (accepted) (no play)",5.6,6.51,1.0,2024,13
2.0,5:18,1.0,3.0,CLE 3,13.0,3.0,"Ezekiel Elliott up the middle for 3 yards, touchdown",6.51,7.0,1.0,2024,13
2.0,5:15,,,CLE 15,14.0,3.0,Brandon Aubrey kicks extra point good,0.0,0.0,1.0,2024,13
2.0,5:15,,,DAL 35,14.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.28,1.0,2024,13
2.0,5:15,1.0,10.0,CLE 20,14.0,3.0,Deshaun Watson pass incomplete short left intended for Jordan Akins,0.28,-0.27,1.0,2024,13
2.0,5:08,2.0,10.0,CLE 20,14.0,3.0,Deshaun Watson pass incomplete deep right intended for Amari Cooper,-0.27,-0.96,1.0,2024,13
2.0,5:01,3.0,10.0,CLE 20,14.0,3.0,"Deshaun Watson pass complete short right to Elijah Moore for 3 yards (tackle by Malik Hooker). Penalty on Cedric Tillman: Offensive Holding, 10 yards (declined)",-0.96,-1.83,1.0,2024,13
2.0,4:42,4.0,7.0,CLE 23,14.0,3.0,Corey Bojorquez punts 33 yards out of bounds,-1.83,-1.86,1.0,2024,13
2.0,4:34,1.0,10.0,DAL 44,14.0,3.0,Dak Prescott pass complete short left to Brandin Cooks for 15 yards (tackle by Martin Emerson),1.86,2.85,1.0,2024,13
2.0,4:00,1.0,10.0,CLE 41,14.0,3.0,Rico Dowdle left guard for -1 yards (tackle by Shelby Harris and Martin Emerson),2.85,2.17,1.0,2024,13
2.0,3:27,2.0,11.0,CLE 42,14.0,3.0,Deuce Vaughn right guard for 4 yards (tackle by Za'Darius Smith and Jeremiah Owusu-Koramoah),2.17,2.02,1.0,2024,13
2.0,2:54,3.0,7.0,CLE 38,14.0,3.0,Dak Prescott pass complete short right to Brandin Cooks for -1 yards (tackle by Juan Thornhill),2.02,0.66,1.0,2024,13
2.0,2:11,4.0,8.0,CLE 39,17.0,3.0,Brandon Aubrey 57 yard field goal good,0.66,3.0,1.0,2024,13
2.0,2:06,,,DAL 35,17.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,13
2.0,2:06,1.0,10.0,CLE 30,17.0,3.0,Jerome Ford right tackle for 6 yards (tackle by DeMarcus Lawrence and Jourdan Lewis),0.94,1.2,1.0,2024,13
2.0,2:00,2.0,4.0,CLE 36,17.0,3.0,"Jerome Ford left end for no gain (tackle by Malik Hooker). Penalty on David Njoku: Offensive Holding, 10 yards (accepted) (no play)",1.2,-0.15,1.0,2024,13
2.0,1:52,2.0,14.0,CLE 26,17.0,3.0,Deshaun Watson pass short right (defended by Micah Parsons) intended for Elijah Moore is intercepted by Eric Kendricks at CLE-31 and returned for 8 yards (tackle by David Njoku),-0.15,-4.04,1.0,2024,13
2.0,1:46,1.0,10.0,CLE 23,17.0,3.0,Ezekiel Elliott up the middle for 3 yards (tackle by Jordan Hicks and Juan Thornhill),4.04,3.9,1.0,2024,13
2.0,1:06,2.0,7.0,CLE 20,17.0,3.0,Dak Prescott pass incomplete deep right intended for Jake Ferguson,3.9,3.2,1.0,2024,13
2.0,1:01,3.0,7.0,CLE 20,17.0,3.0,Dak Prescott sacked by Za'Darius Smith for -2 yards,3.2,1.99,1.0,2024,13
2.0,0:55,,,,,,Timeout #2 by Cleveland Browns,,,1.0,2024,13
2.0,0:55,4.0,9.0,CLE 22,20.0,3.0,Brandon Aubrey 40 yard field goal good,1.99,3.0,1.0,2024,13
2.0,0:51,,,DAL 35,20.0,3.0,"Brandon Aubrey kicks off 59 yards, returned by Jaelon Darden for 21 yards (tackle by Marist Liufau and DeMarvion Overshown)",0.0,0.74,1.0,2024,13
2.0,0:46,1.0,10.0,CLE 27,20.0,3.0,Deshaun Watson pass complete short right to David Njoku for 3 yards (tackle by DeMarvion Overshown),0.74,0.6,1.0,2024,13
2.0,0:26,2.0,7.0,CLE 30,20.0,3.0,Deshaun Watson pass incomplete short right intended for Jerry Jeudy (defended by Donovan Wilson),0.6,-0.1,1.0,2024,13
2.0,0:23,3.0,7.0,CLE 30,20.0,3.0,Pierre Strong up the middle for 4 yards (tackle by Marshawn Kneeland and Micah Parsons),-0.1,-1.11,1.0,2024,13
2.0,0:17,,,,,,Timeout #1 by Dallas Cowboys,,,1.0,2024,13
2.0,0:17,4.0,3.0,CLE 34,20.0,3.0,"Corey Bojorquez punts 46 yards, returned by KaVontae Turpin for 20 yards (tackle by Charley Hughlett)",-1.11,-1.6,1.0,2024,13
2.0,0:09,1.0,10.0,DAL 40,20.0,3.0,Dak Prescott pass complete short left to Jalen Tolbert for 12 yards (tackle by Martin Emerson),1.6,2.39,1.0,2024,13
2.0,0:04,1.0,10.0,CLE 48,20.0,3.0,"Penalty on DAL: Delay of Game, 5 yards (accepted) (no play)",2.39,2.06,1.0,2024,13
2.0,0:04,,,,,,Timeout #3 by Cleveland Browns,,,1.0,2024,13
2.0,0:04,1.0,15.0,DAL 47,20.0,3.0,Dak Prescott pass incomplete deep middle,2.06,1.17,1.0,2024,13
3.0,15:00,,,DAL 35,20.0,3.0,"Brandon Aubrey kicks off 64 yards, returned by Jaelon Darden for 24 yards (tackle by Jalen Brooks)",0.0,0.61,1.0,2024,13
3.0,14:54,1.0,10.0,CLE 25,20.0,3.0,Jerome Ford right end for 4 yards (tackle by Eric Kendricks and DeMarcus Lawrence),0.61,0.6,1.0,2024,13
3.0,14:25,2.0,6.0,CLE 29,20.0,3.0,"Deshaun Watson pass complete short right to Jerome Ford for no gain (tackle by Donovan Wilson). Penalty on Dawand Jones: Illegal Formation, 5 yards (accepted) (no play)",0.6,-0.07,1.0,2024,13
3.0,14:03,2.0,11.0,CLE 24,20.0,3.0,Deshaun Watson pass incomplete short middle intended for Amari Cooper,-0.07,-0.76,1.0,2024,13
3.0,14:00,3.0,11.0,CLE 24,20.0,3.0,Deshaun Watson sacked by DeMarcus Lawrence for -13 yards,-0.76,-2.49,1.0,2024,13
3.0,13:15,4.0,24.0,CLE 11,26.0,3.0,"Corey Bojorquez punts 49 yards, returned by KaVontae Turpin for 60 yards, touchdown",-2.49,-7.0,1.0,2024,13
3.0,12:59,,,CLE 15,27.0,3.0,Brandon Aubrey kicks extra point good,0.0,0.0,1.0,2024,13
3.0,12:59,,,DAL 35,27.0,3.0,"Brandon Aubrey kicks off 68 yards, returned by Jaelon Darden for 28 yards (tackle by DeMarvion Overshown and Tyrus Wheat)",0.0,0.61,1.0,2024,13
3.0,12:53,1.0,10.0,CLE 25,27.0,3.0,Jerome Ford right tackle for 4 yards (tackle by Jordan Phillips and Chauncey Golston),0.61,0.6,1.0,2024,13
3.0,12:30,2.0,6.0,CLE 29,27.0,3.0,Deshaun Watson pass incomplete deep middle intended for Amari Cooper,0.6,-0.1,1.0,2024,13
3.0,12:23,,,,,,Timeout #1 by Cleveland Browns,,,1.0,2024,13
3.0,12:23,3.0,6.0,CLE 29,27.0,3.0,Deshaun Watson pass complete short right to Jerry Jeudy for 15 yards (tackle by Caelen Carson),-0.1,1.86,1.0,2024,13
3.0,11:47,1.0,10.0,CLE 44,27.0,3.0,Deshaun Watson sacked by Eric Kendricks for no gain,1.86,1.32,1.0,2024,13
3.0,11:15,2.0,10.0,CLE 44,27.0,3.0,Deshaun Watson pass complete short right to David Njoku for 29 yards (tackle by Eric Kendricks and Malik Hooker),1.32,3.78,1.0,2024,13
3.0,10:38,1.0,10.0,DAL 27,27.0,3.0,Deshaun Watson pass complete short right to Jordan Akins for 7 yards (tackle by Caelen Carson),3.78,4.18,1.0,2024,13
3.0,10:03,2.0,3.0,DAL 20,27.0,3.0,Deshaun Watson pass complete short left to Elijah Moore for 4 yards (tackle by Eric Kendricks),4.18,4.51,1.0,2024,13
3.0,9:25,1.0,10.0,DAL 16,27.0,3.0,Deshaun Watson pass incomplete deep left intended for Jerry Jeudy,4.51,3.9,1.0,2024,13
3.0,9:18,2.0,10.0,DAL 16,27.0,3.0,Deshaun Watson pass incomplete deep right intended for Amari Cooper,3.9,3.08,1.0,2024,13
3.0,9:13,3.0,10.0,DAL 16,27.0,3.0,Deshaun Watson pass complete short right to Amari Cooper for 10 yards (tackle by Caelen Carson),3.08,5.83,1.0,2024,13
3.0,8:52,1.0,6.0,DAL 6,27.0,3.0,Deshaun Watson pass incomplete short left,5.83,4.95,1.0,2024,13
3.0,8:46,2.0,6.0,DAL 6,27.0,9.0,"Deshaun Watson pass complete short right to Jerry Jeudy for 6 yards, touchdown",4.95,7.0,1.0,2024,13
3.0,8:42,,,DAL 15,27.0,10.0,Dustin Hopkins kicks extra point good,0.0,0.0,1.0,2024,13
3.0,8:42,,,CLE 35,27.0,10.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,13
3.0,8:42,1.0,10.0,DAL 30,27.0,10.0,Dak Prescott pass incomplete deep left intended for Brandin Cooks,0.94,0.39,1.0,2024,13
3.0,8:38,2.0,10.0,DAL 30,27.0,10.0,CeeDee Lamb right end for 3 yards (tackle by Juan Thornhill),0.39,0.1,1.0,2024,13
3.0,8:03,3.0,7.0,DAL 33,27.0,10.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by Greg Newsome),0.1,-1.18,1.0,2024,13
3.0,7:58,4.0,7.0,DAL 33,27.0,10.0,"Bryan Anger punts 43 yards, returned by Jaelon Darden for no gain (tackle by Trent Sieg). Penalty on Ogbonnia Okoronkwo: Offensive Holding, 10 yards (accepted)",-1.18,0.28,1.0,2024,13
3.0,7:47,1.0,10.0,CLE 14,27.0,10.0,"Deshaun Watson pass incomplete deep right intended for Amari Cooper. Penalty on Caelen Carson: Illegal Contact, 5 yards (accepted) (no play)",-0.28,0.15,1.0,2024,13
3.0,7:41,1.0,10.0,CLE 19,27.0,10.0,Deshaun Watson pass incomplete deep left intended for Jerry Jeudy,0.15,-0.39,1.0,2024,13
3.0,7:34,2.0,10.0,CLE 19,27.0,10.0,Deshaun Watson pass complete short left to Jerome Ford for 4 yards (tackle by Jourdan Lewis),-0.39,-0.55,1.0,2024,13
3.0,6:58,3.0,6.0,CLE 23,27.0,10.0,"Deshaun Watson sacked by Eric Kendricks for -8 yards Penalty on CLE: Illegal Formation, 5 yards (declined)",-0.55,-2.44,1.0,2024,13
3.0,6:45,4.0,14.0,CLE 15,27.0,10.0,"Corey Bojorquez punts 62 yards, returned by KaVontae Turpin for no gain (tackle by Pierre Strong). Penalty on C.J. Goodwin: Offensive Holding, 10 yards (accepted)",-2.44,0.32,1.0,2024,13
3.0,6:35,1.0,10.0,DAL 13,27.0,10.0,Dak Prescott pass complete short right to Jake Ferguson for 2 yards (tackle by Jordan Hicks),-0.32,-0.57,1.0,2024,13
3.0,6:11,2.0,8.0,DAL 15,27.0,10.0,Ezekiel Elliott left guard for 2 yards (tackle by Jeremiah Owusu-Koramoah),-0.57,-0.94,1.0,2024,13
3.0,5:33,3.0,6.0,DAL 17,27.0,10.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by Jeremiah Owusu-Koramoah),-0.94,-2.32,1.0,2024,13
3.0,5:29,4.0,6.0,DAL 17,27.0,10.0,"Bryan Anger punts 52 yards, returned by Jaelon Darden for 14 yards (tackle by Markquese Bell)",-2.32,-1.93,1.0,2024,13
3.0,5:17,1.0,10.0,CLE 45,27.0,10.0,Jerome Ford right tackle for 6 yards (tackle by Osa Odighizuwa and DeMarvion Overshown),1.93,2.19,1.0,2024,13
3.0,4:50,2.0,4.0,DAL 49,27.0,10.0,Deshaun Watson pass incomplete short right intended for Jerry Jeudy,2.19,1.49,1.0,2024,13
3.0,4:47,3.0,4.0,DAL 49,27.0,10.0,Jerome Ford left tackle for -2 yards (tackle by DeMarcus Lawrence),1.49,-0.13,1.0,2024,13
3.0,4:02,4.0,6.0,CLE 49,27.0,10.0,Deshaun Watson sacked by DeMarvion Overshown for -3 yards,-0.13,-2.52,1.0,2024,13
3.0,3:55,1.0,10.0,CLE 46,27.0,10.0,Rico Dowdle right guard for 5 yards (tackle by Maurice Hurst and Tony Fields),2.52,2.65,1.0,2024,13
3.0,3:29,2.0,5.0,CLE 41,27.0,10.0,Rico Dowdle left tackle for 10 yards (tackle by Martin Emerson),2.65,3.51,1.0,2024,13
3.0,2:58,1.0,10.0,CLE 31,27.0,10.0,Rico Dowdle left guard for 1 yard (tackle by Myles Garrett),3.51,3.1,1.0,2024,13
3.0,2:16,2.0,9.0,CLE 30,27.0,10.0,Dak Prescott pass incomplete short right intended for Jalen Tolbert,3.1,2.41,1.0,2024,13
3.0,2:09,3.0,9.0,CLE 30,27.0,10.0,"Penalty on DAL: Delay of Game, 5 yards (accepted) (no play)",2.41,1.75,1.0,2024,13
3.0,2:09,3.0,14.0,CLE 35,27.0,10.0,Dak Prescott pass complete short right to CeeDee Lamb for 3 yards (tackle by Shelby Harris),1.75,1.24,1.0,2024,13
3.0,1:31,4.0,11.0,CLE 32,30.0,10.0,Brandon Aubrey 50 yard field goal good,1.24,3.0,1.0,2024,13
3.0,1:27,,,DAL 35,30.0,10.0,"Brandon Aubrey kicks off 57 yards, returned by Jaelon Darden for 24 yards (tackle by Nick Vigil)",0.0,1.07,1.0,2024,13
3.0,1:22,1.0,10.0,CLE 32,30.0,10.0,Deshaun Watson pass complete short middle to Jerome Ford for 5 yards (tackle by DeMarvion Overshown),1.07,1.2,1.0,2024,13
3.0,0:53,2.0,5.0,CLE 37,30.0,10.0,Deshaun Watson pass complete short left to Cedric Tillman for 3 yards (tackle by Trevon Diggs),1.2,0.89,1.0,2024,13
3.0,0:23,3.0,2.0,CLE 40,30.0,10.0,"Deshaun Watson scrambles left end for no gain (tackle by Donovan Wilson). Penalty on Amari Cooper: Illegal Shift, 5 yards (accepted) (no play)",0.89,0.23,1.0,2024,13
4.0,15:00,3.0,7.0,CLE 35,30.0,10.0,Deshaun Watson scrambles right end for 3 yards (tackle by Damone Clark and Nick Vigil),0.23,-0.85,1.0,2024,13
4.0,14:15,4.0,4.0,CLE 38,30.0,10.0,Deshaun Watson pass incomplete deep left intended for Jerome Ford (defended by Marshawn Kneeland),-0.85,-3.05,1.0,2024,13
4.0,14:07,1.0,10.0,CLE 38,30.0,10.0,Dak Prescott pass complete short right to Hunter Luepke for 12 yards (tackle by Jeremiah Owusu-Koramoah),3.05,3.84,1.0,2024,13
4.0,13:34,1.0,10.0,CLE 26,30.0,10.0,Ezekiel Elliott up the middle for 3 yards (tackle by Tony Fields),3.84,3.7,1.0,2024,13
4.0,13:16,2.0,7.0,CLE 23,30.0,10.0,"Brandin Cooks left end for 5 yards (tackle by Jordan Hicks). Penalty on Tyler Guyton: Offensive Illegal Block Above the Waist, 10 yards (accepted)",3.7,3.03,1.0,2024,13
4.0,12:42,2.0,12.0,CLE 28,30.0,10.0,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Denzel Ward),3.03,2.35,1.0,2024,13
4.0,12:36,3.0,12.0,CLE 28,30.0,10.0,Dak Prescott pass complete short left to Ezekiel Elliott for no gain (tackle by Jeremiah Owusu-Koramoah),2.35,1.59,1.0,2024,13
4.0,11:55,4.0,12.0,CLE 28,33.0,10.0,Brandon Aubrey 46 yard field goal good,1.59,3.0,1.0,2024,13
4.0,11:51,,,DAL 35,33.0,10.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,13
4.0,11:51,1.0,10.0,CLE 30,33.0,10.0,Jerome Ford up the middle for 11 yards (tackle by DeMarvion Overshown and Donovan Wilson),0.94,1.66,1.0,2024,13
4.0,11:26,1.0,10.0,CLE 41,33.0,10.0,Deshaun Watson pass complete short left to Jerome Ford for 2 yards (tackle by DeMarvion Overshown),1.66,1.39,1.0,2024,13
4.0,10:57,2.0,8.0,CLE 43,33.0,10.0,Deshaun Watson pass complete short middle to Pierre Strong for 20 yards (tackle by Donovan Wilson and Trevon Diggs),1.39,3.12,1.0,2024,13
4.0,10:28,1.0,10.0,DAL 37,33.0,10.0,Deshaun Watson pass incomplete deep left,3.12,2.57,1.0,2024,13
4.0,10:17,2.0,10.0,DAL 37,33.0,10.0,Deshaun Watson pass complete short middle to Jordan Akins for 13 yards (tackle by Malik Hooker),2.57,3.97,1.0,2024,13
4.0,9:50,1.0,10.0,DAL 24,33.0,10.0,Deshaun Watson pass complete short right to Elijah Moore for 2 yards (tackle by Jourdan Lewis),3.97,3.7,1.0,2024,13
