Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA,week,year,game_id
1.0,7:21,2.0,15.0,NOR 39,0.0,0.0,James Conner up the middle for 12 yards (tackle by Justin Reid and Chris Rumph),2.09,3.01,1,2025,7
1.0,6:37,3.0,3.0,NOR 27,0.0,0.0,Kyler Murray pass complete short right to Michael Wilson for 5 yards (tackle by Pete Werner),3.01,4.11,1,2025,7
1.0,5:59,1.0,10.0,NOR 22,0.0,0.0,James Conner up the middle for 3 yards (tackle by Demario Davis),4.11,3.97,1,2025,7
1.0,5:17,2.0,7.0,NOR 19,0.0,0.0,Kyler Murray pass incomplete short left intended for Elijah Higgins (defended by Carl Granderson),3.97,3.26,1,2025,7
1.0,5:14,3.0,7.0,NOR 19,0.0,0.0,"Penalty on Kyler Murray: Delay of Game, 5 yards (accepted) (no play)",3.26,2.61,1,2025,7
1.0,5:14,3.0,12.0,NOR 24,0.0,0.0,Kyler Murray pass incomplete deep right intended for Michael Wilson,2.61,1.87,1,2025,7
1.0,5:07,4.0,12.0,NOR 24,3.0,0.0,Chad Ryland 42 yard field goal good,1.87,3.0,1,2025,7
1.0,5:03,,,ARI 35,3.0,0.0,"Chad Ryland kicks off 62 yards, returned by Kendre Miller for 22 yards (tackle by Owen Pappoe and Akeem Davis-Gaither)",0.0,0.61,1,2025,7
1.0,4:56,1.0,10.0,NOR 25,3.0,0.0,Spencer Rattler pass complete short right to Juwan Johnson for 11 yards (tackle by Mack Wilson and Zaven Collins),0.61,1.33,1,2025,7
1.0,4:34,1.0,10.0,NOR 36,3.0,0.0,Spencer Rattler right guard for 2 yards (tackle by Calais Campbell),1.33,1.06,1,2025,7
1.0,4:16,2.0,8.0,NOR 38,3.0,0.0,Spencer Rattler pass complete short left to Chris Olave for 13 yards (tackle by Max Melton),1.06,2.32,1,2025,7
1.0,3:40,1.0,10.0,ARI 49,3.0,0.0,"Spencer Rattler pass complete short left to Alvin Kamara for no gain. Penalty on Chris Olave: Illegal Shift, 5 yards (accepted) (tackle by Budda Baker and Max Melton) (no play)",2.32,1.99,1,2025,7
1.0,3:13,1.0,15.0,NOR 46,3.0,0.0,Kendre Miller left guard for 10 yards (tackle by Garrett Williams and Mack Wilson),1.99,2.46,1,2025,7
1.0,2:34,2.0,5.0,ARI 44,3.0,0.0,"Alvin Kamara right guard for no gain. Penalty on Cesar Ruiz: Offensive Holding, 10 yards (accepted) (tackle by Jalen Thompson) (no play)",2.46,1.11,1,2025,7
1.0,2:11,2.0,15.0,NOR 46,3.0,0.0,"Spencer Rattler pass deep left is intercepted by Will Johnson in end zone and returned for no gain. Penalty on Max Melton: Illegal Contact, 5 yards (accepted) (tackle by Rashid Shaheed) (no play)",1.11,2.32,1,2025,7
1.0,2:01,1.0,10.0,ARI 49,3.0,0.0,Alvin Kamara right end for 9 yards (tackle by Akeem Davis-Gaither),2.32,3.0,1,2025,7
1.0,1:21,2.0,1.0,ARI 40,3.0,0.0,Alvin Kamara up the middle for 2 yards (tackle by Calais Campbell),3.0,3.05,1,2025,7
1.0,0:46,1.0,10.0,ARI 38,3.0,0.0,Spencer Rattler pass incomplete short right intended for Devin Neal (no play),3.05,2.72,1,2025,7
1.0,0:40,1.0,15.0,ARI 43,3.0,0.0,Spencer Rattler right end for 6 yards (tackle by Budda Baker),2.72,2.64,1,2025,7
1.0,0:09,2.0,9.0,ARI 37,3.0,0.0,Spencer Rattler pass complete short left to Brandin Cooks for 12 yards (tackle by Jalen Thompson),2.64,3.91,1,2025,7
2.0,15:00,1.0,10.0,ARI 25,3.0,0.0,Spencer Rattler pass complete short right to Alvin Kamara for 7 yards (tackle by Calais Campbell and Jalen Thompson),3.91,4.37,1,2025,7
2.0,14:26,2.0,3.0,ARI 18,3.0,6.0,"Alvin Kamara right guard for 18 yards, touchdown",4.37,7.0,1,2025,7
2.0,14:20,,,ARI 15,3.0,7.0,Blake Grupe kicks extra point good,0.0,0.0,1,2025,7
2.0,14:20,,,NOR 35,3.0,7.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,1.27,1,2025,7
2.0,14:20,1.0,10.0,ARI 35,3.0,7.0,Kyler Murray pass complete short right to Trey Benson for 6 yards (tackle by Alontae Taylor and Isaac Yiadom),1.27,1.53,1,2025,7
2.0,13:39,2.0,4.0,ARI 41,3.0,7.0,Kyler Murray pass complete deep right to Marvin Harrison for 45 yards (tackle by Kool-Aid McKinstry),1.53,4.65,1,2025,7
2.0,13:03,1.0,10.0,NOR 14,3.0,7.0,Trey Benson up the middle for 4 yards (tackle by Pete Werner and Davon Godchaux),4.65,4.71,1,2025,7
2.0,12:26,2.0,6.0,NOR 10,3.0,7.0,Trey Benson right guard for 4 yards (tackle by Davon Godchaux and Julian Blackmon),4.71,4.73,1,2025,7
2.0,11:40,3.0,2.0,NOR 6,3.0,7.0,Kyler Murray right end for 3 yards (tackle by Julian Blackmon),4.73,6.51,1,2025,7
2.0,10:55,1.0,3.0,NOR 3,3.0,7.0,"Kyler Murray pass incomplete short right. Penalty on Demario Davis: Defensive Holding, 2 yards (accepted) (no play)",6.51,6.97,1,2025,7
2.0,10:49,1.0,1.0,NOR 1,3.0,7.0,James Conner left guard for no gain (tackle by Demario Davis),6.97,5.91,1,2025,7
2.0,10:10,2.0,1.0,NOR 1,9.0,7.0,"Kyler Murray pass complete short left to Marvin Harrison for 1 yard, touchdown",5.91,7.0,1,2025,7
2.0,10:05,,,NOR 15,10.0,7.0,Chad Ryland kicks extra point good,0.0,0.0,1,2025,7
2.0,10:05,,,ARI 35,10.0,7.0,"Chad Ryland kicks off 63 yards, returned by Kendre Miller for 43 yards (tackle by Emari Demercado)",0.0,1.93,1,2025,7
2.0,9:58,1.0,10.0,NOR 45,10.0,7.0,Devin Neal up the middle for 4 yards (tackle by Zaven Collins),1.93,1.92,1,2025,7
2.0,9:31,2.0,6.0,NOR 49,10.0,7.0,Spencer Rattler pass complete short left to Chris Olave for 5 yards (tackle by Mack Wilson),1.92,1.88,1,2025,7
2.0,9:07,3.0,1.0,ARI 46,10.0,7.0,"Spencer Rattler up the middle for no gain. Penalty on Cesar Ruiz: Offensive Offside, 4 yards (accepted) (no play)",1.88,1.36,1,2025,7
2.0,9:07,3.0,5.0,ARI 50,10.0,7.0,Spencer Rattler pass complete short left to Chris Olave for 10 yards (tackle by Jalen Thompson),1.36,2.92,1,2025,7
2.0,8:10,1.0,10.0,ARI 40,10.0,7.0,Devin Neal up the middle for 5 yards (tackle by Baron Browning and Jalen Thompson),2.92,2.98,1,2025,7
2.0,7:50,2.0,6.0,ARI 35,10.0,7.0,Spencer Rattler pass complete short right to Juwan Johnson for 4 yards (tackle by Max Melton),2.98,2.81,1,2025,7
2.0,7:12,3.0,2.0,ARI 31,10.0,7.0,Kendre Miller right guard for 8 yards (tackle by Jalen Thompson and Max Melton),2.81,4.04,1,2025,7
2.0,6:29,1.0,10.0,ARI 23,10.0,7.0,Kendre Miller up the middle for 2 yards (tackle by Mack Wilson and Akeem Davis-Gaither),4.04,3.77,1,2025,7
2.0,5:51,2.0,8.0,ARI 21,10.0,7.0,"Spencer Rattler pass incomplete deep right. Penalty on Erik McCoy: Ineligible Downfield Pass, 5 yards (declined)",3.77,3.07,1,2025,7
2.0,5:42,3.0,8.0,ARI 21,10.0,7.0,Spencer Rattler pass complete short middle to Chris Olave for 3 yards (tackle by Garrett Williams),3.07,2.3,1,2025,7
2.0,5:02,4.0,5.0,ARI 18,10.0,10.0,Blake Grupe 36 yard field goal good,2.3,3.0,1,2025,7
2.0,4:58,,,NOR 35,10.0,10.0,"Blake Grupe kicks off 65 yards, returned by Emari Demercado for 29 yards (tackle by Isaiah Stalbird)",0.0,0.87,1,2025,7
2.0,4:53,1.0,10.0,ARI 29,10.0,10.0,Kyler Murray pass incomplete short right intended for Trey McBride (defended by Carl Granderson),0.87,0.33,1,2025,7
2.0,4:49,2.0,10.0,ARI 29,10.0,10.0,Kyler Murray pass incomplete short left intended for Trey McBride,0.33,-0.36,1,2025,7
2.0,4:46,3.0,10.0,ARI 29,10.0,10.0,Kyler Murray pass complete short middle to Trey McBride for 11 yards (tackle by Pete Werner),-0.36,1.6,1,2025,7
2.0,4:11,1.0,10.0,ARI 40,10.0,10.0,"Kyler Murray right end for 2 yards. Penalty on Jonah Williams: Face Mask (15 Yards), 15 yards (accepted) (tackle by Jonah Williams and Nathan Shepherd)",1.6,2.72,1,2025,7
2.0,3:48,1.0,10.0,NOR 43,10.0,10.0,"James Conner left end for no gain. Penalty on Evan Brown: Offensive Holding, 10 yards (accepted) (tackle by Demario Davis) (no play)",2.72,2.06,1,2025,7
2.0,3:28,1.0,20.0,ARI 47,10.0,10.0,Kyler Murray pass complete short right to James Conner for -3 yards (tackle by Carl Granderson and Julian Blackmon),2.06,0.42,1,2025,7
2.0,2:47,2.0,23.0,ARI 44,10.0,10.0,Kyler Murray pass complete short middle to Marvin Harrison for 11 yards (tackle by Julian Blackmon),0.42,1.22,1,2025,7
2.0,2:07,3.0,12.0,NOR 45,10.0,10.0,Kyler Murray pass complete short middle to Trey McBride for 25 yards (tackle by Julian Blackmon and Kool-Aid McKinstry),1.22,4.24,1,2025,7
2.0,2:00,1.0,10.0,NOR 20,10.0,10.0,"Kyler Murray pass incomplete short left intended for Marvin Harrison. Penalty on Nathan Shepherd: Defensive Offside, 5 yards (accepted) (no play)",4.24,5.19,1,2025,7
2.0,1:57,1.0,5.0,NOR 15,10.0,10.0,James Conner up the middle for 7 yards (tackle by Carl Granderson),5.19,5.37,1,2025,7
2.0,1:18,1.0,8.0,NOR 8,10.0,10.0,Kyler Murray pass complete short left to Trey McBride for 4 yards (tackle by Demario Davis),5.37,5.34,1,2025,7
2.0,0:32,2.0,4.0,NOR 4,16.0,10.0,"Kyler Murray pass complete short middle to James Conner for 4 yards, touchdown",5.34,7.0,1,2025,7
2.0,0:28,,,NOR 15,17.0,10.0,Chad Ryland kicks extra point good,0.0,0.0,1,2025,7
2.0,0:28,,,ARI 35,17.0,10.0,"Chad Ryland kicks off 59 yards, returned by Kendre Miller for 23 yards (tackle by Cody Simon)",0.0,0.87,1,2025,7
2.0,0:23,1.0,10.0,NOR 29,17.0,10.0,Alvin Kamara left guard for 6 yards (tackle by Josh Sweat),0.87,1.14,1,2025,7
3.0,15:00,,,ARI 35,17.0,10.0,"Chad Ryland kicks off 58 yards, returned by Velus Jones for 18 yards. Penalty on Chris Rumph: Offensive Holding, 10 yards (accepted) (tackle by Akeem Davis-Gaither)",0.0,-0.22,1,2025,7
3.0,14:54,1.0,10.0,NOR 15,17.0,10.0,Spencer Rattler pass complete short middle to Rashid Shaheed for 2 yards (tackle by Zaven Collins),-0.22,-0.44,1,2025,7
3.0,14:18,2.0,8.0,NOR 17,17.0,10.0,Spencer Rattler pass complete deep right to Rashid Shaheed for 17 yards (tackle by Jalen Thompson),-0.44,1.2,1,2025,7
3.0,13:56,1.0,10.0,NOR 34,17.0,10.0,Alvin Kamara left tackle for 1 yard (tackle by Budda Baker and Mack Wilson),1.2,0.79,1,2025,7
3.0,13:21,2.0,9.0,NOR 35,17.0,10.0,Spencer Rattler pass complete short middle to Rashid Shaheed for 2 yards (tackle by Budda Baker),0.79,0.37,1,2025,7
3.0,12:56,3.0,7.0,NOR 37,17.0,10.0,"Spencer Rattler sacked by Baron Browning for 6 yards. Penalty on Taliese Fuaga: Offensive Holding, 10 yards (declined)",0.37,-1.31,1,2025,7
3.0,12:35,4.0,13.0,NOR 31,17.0,10.0,"Kai Kroeger punts 50 yards, fair catch by Greg Dortch at ARI-19",-1.31,-0.15,1,2025,7
3.0,12:27,1.0,10.0,ARI 19,17.0,10.0,Kyler Murray pass complete short left to James Conner for -1 yards (tackle by Demario Davis),0.15,-0.56,1,2025,7
3.0,11:46,2.0,11.0,ARI 18,17.0,10.0,Trey Benson right end for 52 yards (tackle by Carl Granderson),-0.56,3.58,1,2025,7
3.0,10:55,1.0,10.0,NOR 30,17.0,10.0,Kyler Murray pass incomplete deep right intended for Michael Wilson,3.58,3.03,1,2025,7
3.0,10:49,2.0,10.0,NOR 30,17.0,10.0,Trey Benson right end for no gain (tackle by Demario Davis and Justin Reid),3.03,2.34,1,2025,7
3.0,10:03,3.0,10.0,NOR 30,17.0,10.0,Kyler Murray pass complete short left to Greg Dortch for -2 yards (tackle by Demario Davis),2.34,1.24,1,2025,7
3.0,9:21,4.0,12.0,NOR 32,20.0,10.0,Chad Ryland 50 yard field goal good,1.24,3.0,1,2025,7
3.0,9:16,,,ARI 35,20.0,10.0,"Chad Ryland kicks off 60 yards, returned by Velus Jones for 22 yards (tackle by Jordan Burch)",0.0,0.74,1,2025,7
3.0,9:09,1.0,10.0,NOR 27,20.0,10.0,Spencer Rattler pass incomplete short middle intended for Juwan Johnson (defended by Akeem Davis-Gaither),0.74,0.2,1,2025,7
3.0,9:05,2.0,10.0,NOR 27,20.0,10.0,Spencer Rattler pass complete short middle to Juwan Johnson for 12 yards (tackle by Jalen Thompson),0.2,1.53,1,2025,7
3.0,8:43,1.0,10.0,NOR 39,20.0,10.0,Alvin Kamara right guard for 3 yards (tackle by Jordan Burch),1.53,1.39,1,2025,7
3.0,8:03,2.0,7.0,NOR 42,20.0,10.0,Spencer Rattler pass incomplete short right intended for Chris Olave,1.39,0.7,1,2025,7
3.0,7:58,3.0,7.0,NOR 42,20.0,10.0,Spencer Rattler pass complete short right to Juwan Johnson for 11 yards (tackle by Akeem Davis-Gaither),0.7,2.46,1,2025,7
3.0,7:37,1.0,10.0,ARI 47,20.0,10.0,"Penalty on Cesar Ruiz: False Start, 5 yards (accepted) (no play)",2.46,2.13,1,2025,7
3.0,7:24,1.0,15.0,NOR 48,20.0,10.0,Spencer Rattler pass complete short left to Chris Olave for 8 yards (tackle by Garrett Williams and Budda Baker),2.13,2.32,1,2025,7
3.0,6:59,2.0,7.0,ARI 44,20.0,10.0,Spencer Rattler pass complete short right to Juwan Johnson for 6 yards (tackle by Max Melton),2.32,2.41,1,2025,7
3.0,6:34,3.0,1.0,ARI 38,20.0,10.0,Alvin Kamara up the middle for 2 yards (tackle by L.J. Collier),2.41,3.18,1,2025,7
3.0,6:09,1.0,10.0,ARI 36,20.0,10.0,Spencer Rattler pass complete short left to Brandin Cooks for 8 yards (tackle by Budda Baker and Baron Browning),3.18,3.72,1,2025,7
3.0,5:45,2.0,2.0,ARI 28,20.0,10.0,Alvin Kamara left guard for -2 yards (tackle by Budda Baker),3.72,2.74,1,2025,7
3.0,5:10,3.0,4.0,ARI 30,20.0,10.0,"Penalty on Darius Robinson: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.74,3.91,1,2025,7
3.0,4:52,1.0,10.0,ARI 25,20.0,10.0,Spencer Rattler pass incomplete deep left intended for Chris Olave,3.91,3.36,1,2025,7
3.0,4:45,2.0,10.0,ARI 25,20.0,10.0,Alvin Kamara left guard for 5 yards (tackle by Zaven Collins and Jalen Thompson),3.36,3.34,1,2025,7
3.0,4:01,3.0,5.0,ARI 20,20.0,10.0,Spencer Rattler pass incomplete deep right intended for Rashid Shaheed (defended by Will Johnson),3.34,2.17,1,2025,7
3.0,3:59,4.0,5.0,ARI 20,20.0,10.0,Blake Grupe 37 yard field goal no good,2.17,-0.81,1,2025,7
3.0,3:55,1.0,10.0,ARI 28,20.0,10.0,James Conner left end for 7 yards (tackle by Justin Reid),0.81,1.21,1,2025,7
3.0,3:18,2.0,3.0,ARI 35,20.0,10.0,Kyler Murray pass complete short right to James Conner for 5 yards (tackle by Pete Werner),1.21,1.6,1,2025,7
3.0,2:52,1.0,10.0,ARI 40,20.0,10.0,Kyler Murray pass complete short left to Marvin Harrison for 2 yards (tackle by Isaac Yiadom),1.6,1.32,1,2025,7
3.0,2:23,2.0,8.0,ARI 42,20.0,10.0,Kyler Murray scrambles left end for 4 yards (tackle by Pete Werner),1.32,1.16,1,2025,7
3.0,1:41,3.0,4.0,ARI 46,20.0,10.0,Kyler Murray sacked by and Cameron Jordan for 7 yards and Carl Granderson for 7 yards,1.16,-0.78,1,2025,7
3.0,1:01,4.0,11.0,ARI 39,20.0,10.0,Blake Gillikin punts 34 yards out of bounds,-0.78,-0.74,1,2025,7
3.0,0:53,1.0,10.0,NOR 27,20.0,10.0,Kendre Miller up the middle for 3 yards (tackle by Dante Stills),0.74,0.6,1,2025,7
3.0,0:24,2.0,7.0,NOR 30,20.0,10.0,"Spencer Rattler pass incomplete short middle intended for Devaughn Vele. Penalty on Garrett Williams: Defensive Pass Interference, 7 yards (accepted) (no play)",0.6,1.4,1,2025,7
3.0,0:18,1.0,10.0,NOR 37,20.0,10.0,Kendre Miller right end for 1 yard (tackle by Dante Stills),1.4,0.99,1,2025,7
4.0,15:00,2.0,9.0,NOR 38,20.0,10.0,Spencer Rattler pass complete short right to Rashid Shaheed for 1 yard (tackle by Mack Wilson),0.99,0.43,1,2025,7
4.0,14:38,3.0,8.0,NOR 39,20.0,10.0,"Penalty on Dillon Radunz: False Start, 5 yards (accepted) (no play)",0.43,-0.23,1,2025,7
4.0,14:38,3.0,13.0,NOR 34,20.0,10.0,Spencer Rattler pass complete short left to Juwan Johnson for 6 yards (tackle by Dadrion Taylor-Demerson),-0.23,-0.72,1,2025,7
4.0,14:00,4.0,7.0,NOR 40,20.0,10.0,"Kai Kroeger punts 54 yards, returned by Greg Dortch for no gain",-0.72,0.38,1,2025,7
4.0,13:51,1.0,10.0,ARI 6,20.0,10.0,"Kyler Murray scrambles up the middle for no gain. Penalty on Evan Brown: Offensive Holding, 3 yards (accepted) (tackle by Pete Werner) (no play)",-0.38,-0.49,1,2025,7
4.0,13:35,1.0,13.0,ARI 3,20.0,10.0,Kyler Murray pass incomplete deep middle intended for Marvin Harrison,-0.49,-1.0,1,2025,7
4.0,13:29,2.0,13.0,ARI 3,20.0,10.0,James Conner up the middle for 2 yards (tackle by Nathan Shepherd),-1.0,-1.54,1,2025,7
4.0,12:50,3.0,11.0,ARI 5,20.0,10.0,Kyler Murray pass complete short left to Marvin Harrison for 12 yards (tackle by Justin Reid and Isaac Yiadom),-1.54,-0.06,1,2025,7
4.0,12:09,1.0,10.0,ARI 17,20.0,10.0,James Conner right end for 2 yards (tackle by Demario Davis and Nathan Shepherd),-0.06,-0.25,1,2025,7
4.0,11:26,2.0,8.0,ARI 19,20.0,10.0,Kyler Murray pass complete short right to Tip Reiman for 10 yards (tackle by Kool-Aid McKinstry and Pete Werner),-0.25,0.87,1,2025,7
4.0,10:51,1.0,10.0,ARI 29,20.0,10.0,Kyler Murray scrambles left end for 11 yards (tackle by Chris Rumph),0.87,1.6,1,2025,7
4.0,10:09,1.0,10.0,ARI 40,20.0,10.0,Kyler Murray pass incomplete deep left intended for Michael Wilson (defended by Kool-Aid McKinstry),1.6,1.05,1,2025,7
4.0,10:03,2.0,10.0,ARI 40,20.0,10.0,James Conner right tackle for 1 yard (tackle by Bryan Bresee),1.05,0.5,1,2025,7
4.0,9:18,3.0,9.0,ARI 41,20.0,10.0,Kyler Murray pass incomplete short right intended for Trey McBride (defended by Julian Blackmon) (defended by Cameron Jordan),0.5,-0.65,1,2025,7
4.0,9:16,4.0,9.0,ARI 41,20.0,10.0,"Blake Gillikin punts 42 yards, fair catch by Rashid Shaheed at NO-17",-0.65,0.06,1,2025,7
4.0,9:09,1.0,10.0,NOR 17,20.0,10.0,Spencer Rattler pass incomplete short right intended for Chris Olave (defended by Max Melton),-0.06,-0.58,1,2025,7
4.0,9:04,2.0,10.0,NOR 17,20.0,10.0,Spencer Rattler pass incomplete short left intended for Chris Olave (defended by Will Johnson),-0.58,-1.25,1,2025,7
4.0,9:01,3.0,10.0,NOR 17,20.0,10.0,"Penalty on Asim Richards: False Start, 5 yards (accepted) (no play)",-1.25,-2.01,1,2025,7
4.0,9:01,3.0,15.0,NOR 12,20.0,10.0,Spencer Rattler pass incomplete short middle intended for Brandin Cooks (defended by Dadrion Taylor-Demerson),-2.01,-2.49,1,2025,7
4.0,8:57,4.0,15.0,NOR 12,20.0,10.0,"Kai Kroeger punts 51 yards, returned by Greg Dortch for 23 yards (tackle by Jack Stoll)",-2.49,-2.92,1,2025,7
4.0,8:43,1.0,10.0,NOR 40,20.0,10.0,Trey Benson right tackle for 3 yards (tackle by Kool-Aid McKinstry),2.92,2.78,1,2025,7
4.0,8:01,2.0,7.0,NOR 37,20.0,10.0,Kyler Murray pass complete short middle to Zay Jones for 4 yards (tackle by Kool-Aid McKinstry),2.78,2.61,1,2025,7
4.0,7:17,3.0,3.0,NOR 33,20.0,10.0,Kyler Murray pass complete short left to Trey McBride for 5 yards (tackle by Kool-Aid McKinstry),2.61,3.71,1,2025,7
4.0,6:34,1.0,10.0,NOR 28,20.0,10.0,Trey Benson up the middle for -2 yards (tackle by Cameron Jordan),3.71,2.9,1,2025,7
4.0,5:54,2.0,12.0,NOR 30,20.0,10.0,"Kyler Murray left end for 1 yard. Penalty on Hjalte Froholdt: Offensive Holding, 10 yards (accepted) (tackle by Carl Granderson)",2.9,1.68,1,2025,7
4.0,5:27,2.0,21.0,NOR 39,20.0,10.0,Kyler Murray up the middle for 4 yards (tackle by Pete Werner),1.68,1.55,1,2025,7
4.0,4:48,3.0,17.0,NOR 35,20.0,10.0,Trey Benson right end for 7 yards (tackle by Demario Davis and Bryan Bresee),1.55,1.59,1,2025,7
4.0,4:40,,,,,,Timeout #1 by New Orleans Saints,,,1,2025,7
4.0,4:40,4.0,10.0,NOR 28,20.0,10.0,Chad Ryland 46 yard field goal no good blocked by Bryan Bresee,1.59,-1.33,1,2025,7
4.0,4:34,1.0,10.0,NOR 36,20.0,10.0,Spencer Rattler pass complete short left to Chris Olave for 6 yards (tackle by Budda Baker),1.33,1.6,1,2025,7
4.0,4:17,2.0,4.0,NOR 42,20.0,10.0,Spencer Rattler pass complete deep left to Juwan Johnson for 21 yards (tackle by Dadrion Taylor-Demerson),1.6,3.12,1,2025,7
4.0,3:54,1.0,10.0,ARI 37,20.0,10.0,Spencer Rattler pass complete short left to Rashid Shaheed for 5 yards (tackle by Max Melton and Budda Baker),3.12,3.25,1,2025,7
4.0,3:31,2.0,5.0,ARI 32,20.0,10.0,Spencer Rattler pass complete short right to Devaughn Vele for 13 yards,3.25,4.31,1,2025,7
4.0,3:24,1.0,10.0,ARI 19,20.0,10.0,"Spencer Rattler scrambles up the middle for 12 yards. Penalty on Max Melton: Defensive Holding, 4 yards (accepted) (tackle by Mack Wilson)",4.31,6.51,1,2025,7
4.0,3:17,1.0,3.0,ARI 3,20.0,10.0,Spencer Rattler pass incomplete short middle intended for Devaughn Vele (defended by Mack Wilson),6.51,5.53,1,2025,7
4.0,3:13,2.0,3.0,ARI 3,20.0,10.0,Alvin Kamara up the middle for -2 yards (tackle by Mack Wilson and Dante Stills),5.53,4.26,1,2025,7
4.0,2:53,3.0,5.0,ARI 5,20.0,10.0,Spencer Rattler pass incomplete short right,4.26,3.01,1,2025,7
4.0,2:44,4.0,5.0,ARI 5,20.0,10.0,Blake Grupe yard field goal good (no play),3.01,2.76,1,2025,7
4.0,2:44,4.0,10.0,ARI 10,20.0,13.0,Blake Grupe 28 yard field goal good,2.76,3.0,1,2025,7
4.0,2:42,,,NOR 35,20.0,13.0,"Blake Grupe kicks off 61 yards, returned by Greg Dortch for 22 yards (tackle by Isaiah Stalbird)",0.0,0.67,1,2025,7
4.0,2:34,1.0,10.0,ARI 26,20.0,13.0,James Conner left guard for 3 yards (tackle by Pete Werner),0.67,0.54,1,2025,7
4.0,2:29,,,,,,Timeout #2 by New Orleans Saints,,,1,2025,7
4.0,2:29,2.0,7.0,ARI 29,20.0,13.0,Kyler Murray pass complete short right to Elijah Higgins for 3 yards (tackle by Julian Blackmon),0.54,0.23,1,2025,7
4.0,2:23,,,,,,Timeout #3 by New Orleans Saints,,,1,2025,7
4.0,2:23,3.0,4.0,ARI 32,20.0,13.0,Kyler Murray sacked by Alontae Taylor for 15 yards,0.23,-2.32,1,2025,7
4.0,2:00,4.0,19.0,ARI 17,20.0,13.0,"Blake Gillikin punts 52 yards, returned by Rashid Shaheed for 11 yards (tackle by Greg Dortch and Zaven Collins)",-2.32,-1.73,1,2025,7
4.0,1:49,1.0,10.0,NOR 42,20.0,13.0,"Spencer Rattler pass complete short middle to Chris Olave for 11 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Spencer Rattler pass incomplete short middle intended for Chris Olave (defended by Dadrion Taylor-Demerson) (tackle by Dadrion Taylor-Demerson)",1.73,1.19,1,2025,7
