Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA,week,year,game_id
1.0,7:25,1.0,10.0,DEN 50,3.0,3.0,"Cam Ward scrambles left tackle for no gain. Penalty on Dan Moore: Offensive Holding, 10 yards (accepted) (tackle by Alex Singleton) (no play)",2.26,1.6,1,2025,11
1.0,6:59,1.0,20.0,TEN 40,3.0,3.0,Tony Pollard left end for 1 yard (tackle by Justin Strnad),1.6,0.5,1,2025,11
1.0,6:14,2.0,19.0,TEN 41,3.0,3.0,Cam Ward pass complete short left to Chigoziem Okonkwo for 1 yard (tackle by Jonah Elliss and Alex Singleton),0.5,-0.03,1,2025,11
1.0,5:30,3.0,18.0,TEN 42,3.0,3.0,"Cam Ward pass incomplete deep left intended for Elic Ayomanor Penalty on TEN: Illegal Formation, 5 yards (declined)",-0.03,-0.59,1,2025,11
1.0,5:23,4.0,18.0,TEN 42,3.0,3.0,"Johnny Hekker punts 50 yards, fair catch by Marvin Mims at DEN-8",-0.59,0.38,1,2025,11
1.0,5:16,1.0,10.0,DEN 8,3.0,3.0,RJ Harvey up the middle for 8 yards (tackle by Amani Hooker and Cedric Gray),-0.38,-0.09,1,2025,11
1.0,4:34,2.0,2.0,DEN 16,3.0,3.0,Bo Nix pass incomplete short right,-0.09,-0.48,1,2025,11
1.0,4:29,3.0,2.0,DEN 16,3.0,3.0,Bo Nix pass complete short middle to Troy Franklin for 6 yards (tackle by Roger McCreary),-0.48,0.41,1,2025,11
1.0,3:55,1.0,10.0,DEN 22,3.0,3.0,Bo Nix pass complete short left to RJ Harvey for -1 yards (tackle by Jarvis Brownlee),0.41,-0.27,1,2025,11
1.0,3:14,2.0,11.0,DEN 21,3.0,3.0,Bo Nix pass complete short middle to Evan Engram for 5 yards (tackle by Quandre Diggs),-0.27,-0.29,1,2025,11
1.0,2:38,3.0,6.0,DEN 26,3.0,3.0,"Bo Nix pass complete short middle to Marvin Mims for 5 yards Replay Assistant challenged the first down ruling, and the original play was overturned. Bo Nix pass complete short middle to Marvin Mims for 6 yards (tackle by Cedric Gray) (tackle by Cedric Gray)",-0.29,1.07,1,2025,11
1.0,1:51,1.0,10.0,DEN 32,3.0,3.0,RJ Harvey right end for 2 yards (tackle by James Lynch),1.07,0.8,1,2025,11
1.0,1:18,2.0,8.0,DEN 34,3.0,3.0,"Bo Nix pass complete deep right to Courtland Sutton for no gain. Penalty on Ben Powers: Offensive Holding, 10 yards (accepted) (tackle by Darrell Baker) (no play)",0.8,-0.55,1,2025,11
1.0,0:51,2.0,18.0,DEN 24,3.0,3.0,Bo Nix pass deep left intended for Courtland Sutton is intercepted by Roger McCreary at TEN-46 and returned for no gain (tackle by Courtland Sutton),-0.55,-1.99,1,2025,11
1.0,0:41,1.0,10.0,TEN 46,3.0,3.0,Tony Pollard right tackle for 5 yards (tackle by Talanoa Hufanga and Alex Singleton),1.99,2.13,1,2025,11
2.0,15:00,2.0,5.0,DEN 49,3.0,3.0,Tony Pollard up the middle for 6 yards (tackle by Brandon Jones and Talanoa Hufanga),2.13,2.72,1,2025,11
2.0,14:15,,,,,,Timeout #1 by Tennessee Titans,,,1,2025,11
2.0,14:15,1.0,10.0,DEN 43,3.0,3.0,Chimere Dike left end for 9 yards (tackle by Talanoa Hufanga),2.72,3.39,1,2025,11
2.0,13:47,2.0,1.0,DEN 34,3.0,3.0,"Penalty on Kevin Zeitler: False Start, 5 yards (accepted) (no play)",3.39,2.72,1,2025,11
2.0,13:25,2.0,6.0,DEN 39,3.0,3.0,"Tony Pollard right guard for 2 yards. Tony Pollard fumbles, recovered by Brandon Jones at DEN-32 (tackle by Jonathon Cooper)",2.72,-1.07,1,2025,11
2.0,13:15,1.0,10.0,DEN 32,3.0,3.0,Bo Nix pass complete short right to Troy Franklin for 5 yards (tackle by Darrell Baker),1.07,1.2,1,2025,11
2.0,12:36,2.0,5.0,DEN 37,3.0,3.0,J.K. Dobbins up the middle for 2 yards (tackle by Sebastian Joseph-Day and Jihad Ward),1.2,0.76,1,2025,11
2.0,11:54,3.0,3.0,DEN 39,3.0,3.0,Bo Nix pass incomplete short left intended for Tyler Badie,0.76,-0.78,1,2025,11
2.0,11:49,4.0,3.0,DEN 39,3.0,3.0,"Jeremy Crawshaw punts 53 yards, fair catch by Chimere Dike at TEN-8",-0.78,0.38,1,2025,11
2.0,11:40,1.0,10.0,TEN 8,3.0,3.0,Tony Pollard right end for 6 yards (tackle by Alex Singleton and Brandon Jones),-0.38,-0.32,1,2025,11
2.0,10:59,2.0,4.0,TEN 14,3.0,3.0,Tony Pollard right tackle for no gain (tackle by Nik Bonitto),-0.32,-0.72,1,2025,11
2.0,10:15,3.0,4.0,TEN 14,3.0,3.0,"Cam Ward pass complete short left to Elic Ayomanor for 4 yards Replay Assistant challenged the first down ruling, and the original play was overturned. Cam Ward pass complete short left to Elic Ayomanor for 3 yards (tackle by Riley Moss) (tackle by Riley Moss)",-0.72,-2.32,1,2025,11
2.0,9:45,4.0,1.0,TEN 17,3.0,3.0,"Johnny Hekker punts 65 yards, returned by Marvin Mims for 18 yards (tackle by Johnny Hekker)",-2.32,-1.33,1,2025,11
2.0,9:29,1.0,10.0,DEN 36,3.0,3.0,Bo Nix pass complete short right to Evan Engram for 6 yards (tackle by Cedric Gray),1.33,1.6,1,2025,11
2.0,8:58,2.0,4.0,DEN 42,3.0,3.0,RJ Harvey left guard for 3 yards (tackle by Amani Hooker and Jarvis Brownlee),1.6,1.29,1,2025,11
2.0,8:31,3.0,1.0,DEN 45,3.0,3.0,Bo Nix up the middle for 2 yards (tackle by Jeffery Simmons),1.29,2.06,1,2025,11
2.0,7:53,1.0,10.0,DEN 47,3.0,3.0,J.K. Dobbins left tackle for 1 yard (tackle by Jarvis Brownlee and Sebastian Joseph-Day),2.06,1.65,1,2025,11
2.0,7:16,2.0,9.0,DEN 48,3.0,3.0,"Bo Nix sacked by Jeffery Simmons for 10 yards. Bo Nix fumbles (forced by Jeffery Simmons), recovered by Sebastian Joseph-Day at DEN-38 (tackle by Mike McGlinchey)",1.65,-3.05,1,2025,11
2.0,7:03,1.0,10.0,DEN 38,3.0,3.0,Cam Ward pass complete short left to Calvin Ridley for 1 yard (tackle by Riley Moss),3.05,2.64,1,2025,11
2.0,6:26,2.0,9.0,DEN 37,3.0,3.0,Cam Ward pass complete short left to Elic Ayomanor for 10 yards (tackle by Riley Moss),2.64,3.78,1,2025,11
2.0,5:46,1.0,10.0,DEN 27,3.0,3.0,Tony Pollard up the middle for 8 yards (tackle by Talanoa Hufanga),3.78,4.35,1,2025,11
2.0,5:13,2.0,2.0,DEN 19,3.0,3.0,Tony Pollard up the middle for 9 yards (tackle by Talanoa Hufanga),4.35,4.91,1,2025,11
2.0,4:31,1.0,10.0,DEN 10,3.0,3.0,Tony Pollard up the middle for 6 yards (tackle by Alex Singleton and Brandon Jones),4.91,5.34,1,2025,11
2.0,3:52,2.0,4.0,DEN 4,3.0,3.0,Julius Chestnut right guard for 1 yard (tackle by John Franklin-Myers and Eyioma Uwazurike),5.34,4.72,1,2025,11
2.0,3:07,3.0,3.0,DEN 3,3.0,3.0,Cam Ward sacked by Nik Bonitto for 12 yards,4.72,2.44,1,2025,11
2.0,2:19,4.0,15.0,DEN 15,6.0,3.0,Joey Slye 33 yard field goal good,2.44,3.0,1,2025,11
2.0,2:16,,,TEN 35,6.0,3.0,"Joey Slye kicks off 66 yards, returned by Marvin Mims for 28 yards (tackle by Jaylen Harrell)",0.0,0.74,1,2025,11
2.0,2:11,1.0,10.0,DEN 27,6.0,3.0,J.K. Dobbins right tackle for 5 yards (tackle by Cody Barton and Oluwafemi Oladejo),0.74,0.87,1,2025,11
2.0,2:00,2.0,5.0,DEN 32,6.0,3.0,Bo Nix pass complete short middle to Tyler Badie for 3 yards (tackle by Roger McCreary),0.87,0.56,1,2025,11
2.0,1:42,3.0,2.0,DEN 35,6.0,3.0,"Bo Nix pass incomplete short left intended for Courtland Sutton. Penalty on Jarvis Brownlee: Illegal Contact, 5 yards (accepted) (no play)",0.56,1.6,1,2025,11
2.0,1:38,1.0,10.0,DEN 40,6.0,3.0,"Bo Nix pass complete short left to Tyler Badie for no gain. Penalty on Luke Wattenberg: Ineligible Downfield Pass, 5 yards (accepted) (tackle by Jarvis Brownlee) (no play)",1.6,1.27,1,2025,11
2.0,1:30,1.0,15.0,DEN 35,6.0,3.0,Bo Nix pass incomplete short left intended for Evan Engram (defended by Amani Hooker),1.27,0.38,1,2025,11
2.0,1:26,2.0,15.0,DEN 35,6.0,3.0,Bo Nix pass complete short middle to Tyler Badie for 13 yards (tackle by Roger McCreary and Quandre Diggs),0.38,1.42,1,2025,11
2.0,1:00,3.0,2.0,DEN 48,6.0,3.0,Bo Nix pass incomplete short right intended for Lucas Krull,1.42,-0.19,1,2025,11
2.0,0:54,4.0,2.0,DEN 48,6.0,3.0,"Jeremy Crawshaw punts 45 yards, fair catch by Chimere Dike at TEN-7",-0.19,0.38,1,2025,11
2.0,0:47,1.0,10.0,TEN 7,6.0,3.0,Cam Ward pass incomplete short right,-0.38,-0.78,1,2025,11
2.0,0:43,2.0,10.0,TEN 7,6.0,3.0,Cam Ward pass incomplete short right,-0.78,-1.42,1,2025,11
2.0,0:40,3.0,10.0,TEN 7,6.0,3.0,Cam Ward sacked by Jonathon Cooper for 6 yards,-1.42,-2.49,1,2025,11
2.0,0:39,,,,,,Timeout #2 by Denver Broncos,,,1,2025,11
2.0,0:39,4.0,16.0,TEN 1,6.0,3.0,"Johnny Hekker punts 54 yards, returned by Marvin Mims for 17 yards (tackle by David Martin-Robinson)",-2.49,-3.05,1,2025,11
2.0,0:27,1.0,10.0,TEN 38,6.0,3.0,"Bo Nix pass incomplete deep right intended for Courtland Sutton. Penalty on Jarvis Brownlee: Defensive Pass Interference, 16 yards (accepted) (no play)",3.05,4.11,1,2025,11
2.0,0:22,1.0,10.0,TEN 22,6.0,9.0,"Bo Nix pass complete deep left to Courtland Sutton for 22 yards, touchdown",4.11,7.0,1,2025,11
2.0,0:16,,,TEN 15,6.0,10.0,Wil Lutz kicks extra point good,0.0,0.0,1,2025,11
2.0,0:16,,,DEN 35,6.0,10.0,"Wil Lutz kicks off 60 yards, returned by Chimere Dike for 71 yards (tackle by Jahdae Barron)",0.0,3.97,1,2025,11
2.0,0:06,1.0,10.0,DEN 24,9.0,10.0,Joey Slye 42 yard field goal good,3.97,3.0,1,2025,11
2.0,0:02,,,TEN 35,9.0,10.0,"Joey Slye kicks off 65 yards, touchback.",0.0,1.27,1,2025,11
2.0,0:02,1.0,10.0,DEN 35,9.0,10.0,Bo Nix kneels for -1 yards,1.27,0.59,1,2025,11
3.0,15:00,,,TEN 35,9.0,10.0,"Joey Slye kicks off 65 yards, returned by Marvin Mims for 23 yards (tackle by Cedric Gray)",0.0,0.48,1,2025,11
3.0,14:54,1.0,10.0,DEN 23,9.0,10.0,J.K. Dobbins right guard for 6 yards (tackle by Xavier Woods and Jarvis Brownlee),0.48,0.74,1,2025,11
3.0,14:19,2.0,4.0,DEN 29,9.0,10.0,Bo Nix pass deep right intended for Troy Franklin is intercepted by Xavier Woods at DEN-42 and returned for 16 yards (tackle by Quinn Meinerz and Luke Wattenberg),0.74,-3.84,1,2025,11
3.0,14:05,1.0,10.0,DEN 26,9.0,10.0,Tony Pollard left guard for 7 yards (tackle by Justin Strnad and Riley Moss),3.84,4.27,1,2025,11
3.0,13:26,2.0,3.0,DEN 19,9.0,10.0,Tony Pollard up the middle for 1 yard (tackle by Talanoa Hufanga),4.27,3.75,1,2025,11
3.0,12:49,3.0,2.0,DEN 18,9.0,10.0,Julius Chestnut right guard for 1 yard (tackle by Brandon Jones),3.75,2.46,1,2025,11
3.0,11:59,4.0,1.0,DEN 17,12.0,10.0,Joey Slye 35 yard field goal good,2.46,3.0,1,2025,11
3.0,11:56,,,TEN 35,12.0,10.0,"Joey Slye kicks off 64 yards, returned by Marvin Mims for 31 yards. Penalty on James Williams: Illegal Formation, 5 yards (accepted) (tackle by Jaylen Harrell)",0.0,1.4,1,2025,11
3.0,11:50,1.0,10.0,DEN 37,12.0,10.0,RJ Harvey right guard for 2 yards (tackle by Sebastian Joseph-Day),1.4,1.13,1,2025,11
3.0,11:22,2.0,8.0,DEN 39,12.0,10.0,Bo Nix pass incomplete short right,1.13,0.43,1,2025,11
3.0,11:12,3.0,8.0,DEN 39,12.0,10.0,"Bo Nix pass complete short right to Marvin Mims for 7 yards. Penalty on Jarvis Brownlee: Face Mask (15 Yards), 15 yards (accepted) (tackle by Jarvis Brownlee)",0.43,2.98,1,2025,11
3.0,11:04,1.0,10.0,TEN 39,12.0,10.0,"Bo Nix pass complete short left to Marvin Mims for no gain. Penalty on Trent Sherfield: Offensive Holding, 10 yards (accepted) (tackle by Xavier Woods) (no play)",2.98,2.32,1,2025,11
3.0,10:35,1.0,20.0,TEN 49,12.0,10.0,Bo Nix pass complete short left to J.K. Dobbins for 2 yards (tackle by Roger McCreary),2.32,1.36,1,2025,11
3.0,9:55,2.0,18.0,TEN 47,12.0,10.0,Bo Nix scrambles up the middle for 11 yards (tackle by Cody Barton),1.36,2.15,1,2025,11
3.0,9:10,3.0,7.0,TEN 36,12.0,10.0,Bo Nix pass complete short left to Courtland Sutton for 8 yards (tackle by Jarvis Brownlee),2.15,3.71,1,2025,11
3.0,8:30,1.0,10.0,TEN 28,12.0,10.0,J.K. Dobbins up the middle for 8 yards (tackle by Cedric Gray and Sebastian Joseph-Day),3.71,4.25,1,2025,11
3.0,7:47,2.0,2.0,TEN 20,12.0,10.0,J.K. Dobbins left guard for 1 yard (tackle by Jihad Ward and Cody Barton),4.25,3.72,1,2025,11
3.0,7:09,3.0,1.0,TEN 19,12.0,10.0,Bo Nix up the middle for 1 yard (tackle by T'Vondre Sweat),3.72,4.37,1,2025,11
3.0,6:32,1.0,10.0,TEN 18,12.0,10.0,Bo Nix pass complete short right to Trent Sherfield for 3 yards (tackle by Darrell Baker),4.37,4.25,1,2025,11
3.0,5:56,2.0,7.0,TEN 15,12.0,10.0,Bo Nix pass complete short middle to Courtland Sutton for 5 yards (tackle by Cody Barton),4.25,4.51,1,2025,11
3.0,5:17,3.0,2.0,TEN 10,12.0,10.0,J.K. Dobbins right guard for no gain (tackle by Dre'Mont Jones and Cedric Gray),4.51,2.89,1,2025,11
3.0,4:20,4.0,2.0,TEN 10,12.0,10.0,"Penalty on Bo Nix: Delay of Game, 5 yards (accepted) (no play)",2.89,2.44,1,2025,11
3.0,4:20,4.0,7.0,TEN 15,12.0,13.0,Wil Lutz 33 yard field goal good,2.44,3.0,1,2025,11
3.0,4:17,,,DEN 35,12.0,13.0,"Wil Lutz kicks off 59 yards, returned by Chimere Dike for 24 yards (tackle by Kris Abrams-Draine)",0.0,0.94,1,2025,11
3.0,4:12,1.0,10.0,TEN 30,12.0,13.0,Cam Ward sacked by Justin Strnad for 3 yards,0.94,-0.01,1,2025,11
3.0,3:30,2.0,13.0,TEN 27,12.0,13.0,Cam Ward pass incomplete short left intended for Elic Ayomanor,-0.01,-0.69,1,2025,11
3.0,3:26,3.0,13.0,TEN 27,12.0,13.0,"Cam Ward pass complete short right to Chigoziem Okonkwo for 14 yards DEN challenged the first down ruling, and the play was upheld. (tackle by Alex Singleton)",-0.69,1.66,1,2025,11
3.0,2:57,1.0,10.0,TEN 41,12.0,13.0,"Cam Ward pass incomplete short right. Penalty on JC Latham: Offensive Holding, 10 yards (accepted) . Penalty on Dan Moore: Ineligible Downfield Pass, 5 yards (declined) (no play)",1.66,1.0,1,2025,11
3.0,2:52,1.0,20.0,TEN 31,12.0,13.0,Cam Ward pass incomplete deep right intended for Elic Ayomanor (defended by Riley Moss),1.0,-0.23,1,2025,11
3.0,2:44,2.0,20.0,TEN 31,12.0,13.0,Cam Ward pass incomplete short right intended for Calvin Ridley (defended by Patrick Surtain),-0.23,-0.89,1,2025,11
3.0,2:41,3.0,20.0,TEN 31,12.0,13.0,Cam Ward pass incomplete deep left intended for Elic Ayomanor (defended by Riley Moss),-0.89,-1.31,1,2025,11
3.0,2:34,4.0,20.0,TEN 31,12.0,13.0,"Penalty on Johnny Hekker: Delay of Game, 5 yards (accepted) (no play)",-1.31,-1.63,1,2025,11
3.0,2:34,4.0,25.0,TEN 26,12.0,13.0,"Johnny Hekker punts 43 yards, fair catch by Marvin Mims at DEN-31",-1.63,-1.0,1,2025,11
3.0,2:27,1.0,10.0,DEN 31,12.0,13.0,Bo Nix pass incomplete short middle,1.0,0.46,1,2025,11
3.0,2:24,2.0,10.0,DEN 31,12.0,13.0,Bo Nix left end for 2 yards (tackle by Cody Barton),0.46,0.04,1,2025,11
3.0,1:45,3.0,8.0,DEN 33,12.0,13.0,Bo Nix pass complete short right to Evan Engram for 10 yards (tackle by Oluwafemi Oladejo and Darrell Baker),0.04,1.8,1,2025,11
3.0,1:06,1.0,10.0,DEN 43,12.0,13.0,J.K. Dobbins left tackle for no gain (tackle by Sebastian Joseph-Day and Cody Barton),1.8,1.25,1,2025,11
3.0,0:26,2.0,10.0,DEN 43,12.0,13.0,Bo Nix pass incomplete short left intended for Courtland Sutton (defended by Jarvis Brownlee),1.25,0.56,1,2025,11
3.0,0:17,3.0,10.0,DEN 43,12.0,13.0,Bo Nix pass complete short right to Adam Prentice for 4 yards (tackle by Darrell Baker),0.56,-0.26,1,2025,11
4.0,15:00,4.0,6.0,DEN 47,12.0,13.0,"Jeremy Crawshaw punts 46 yards, returned by Chimere Dike for 12 yards. Penalty on James Williams: Unnecessary Roughness / Offense, 9 yards (accepted) (tackle by Trent Sherfield)",-0.26,0.38,1,2025,11
4.0,14:50,1.0,10.0,TEN 10,12.0,13.0,Tony Pollard left guard for 2 yards (tackle by Justin Strnad and Eyioma Uwazurike),-0.38,-0.63,1,2025,11
4.0,14:18,2.0,8.0,TEN 12,12.0,13.0,Cam Ward pass complete short left to Calvin Ridley for 13 yards (tackle by Riley Moss),-0.63,0.61,1,2025,11
4.0,13:29,1.0,10.0,TEN 25,12.0,13.0,Tony Pollard left tackle for 1 yard (tackle by Dondrea Tillman and Brandon Jones),0.61,0.2,1,2025,11
4.0,12:51,2.0,9.0,TEN 26,12.0,13.0,Cam Ward pass incomplete short middle intended for Calvin Ridley,0.2,-0.49,1,2025,11
4.0,12:40,3.0,9.0,TEN 26,12.0,13.0,Cam Ward pass complete short right to Calvin Ridley for 8 yards (tackle by Ja'Quan McMillian and Brandon Jones),-0.49,-1.11,1,2025,11
4.0,11:54,4.0,1.0,TEN 34,12.0,13.0,"Johnny Hekker punts 46 yards, recovered by Dorian Mausi at DEN-24",-1.11,3.97,1,2025,11
4.0,11:43,1.0,10.0,DEN 24,12.0,13.0,Tony Pollard left guard for 2 yards (tackle by Jordan Jackson and Eyioma Uwazurike),3.97,3.7,1,2025,11
4.0,11:03,2.0,8.0,DEN 22,12.0,13.0,Cam Ward sacked by Jonah Elliss for 16 yards,3.7,0.89,1,2025,11
4.0,10:15,,,,,,Timeout #1 by Tennessee Titans,,,1,2025,11
4.0,10:15,3.0,24.0,DEN 38,12.0,13.0,Cam Ward sacked by Zach Allen for 11 yards,0.89,0.0,1,2025,11
4.0,9:30,4.0,35.0,DEN 49,12.0,13.0,"Johnny Hekker punts 49 yards, touchback.",0.0,-0.28,1,2025,11
4.0,9:22,1.0,10.0,DEN 20,12.0,13.0,RJ Harvey right guard for 50 yards (tackle by Cedric Gray),0.28,3.58,1,2025,11
4.0,9:01,1.0,10.0,TEN 30,12.0,13.0,RJ Harvey right guard for 5 yards (tackle by Amani Hooker),3.58,3.71,1,2025,11
4.0,8:27,2.0,5.0,TEN 25,12.0,13.0,Bo Nix pass complete short middle to Courtland Sutton for 6 yards (tackle by Quandre Diggs),3.71,4.31,1,2025,11
4.0,7:43,1.0,10.0,TEN 19,12.0,19.0,"J.K. Dobbins left guard for 19 yards, touchdown",4.31,7.0,1,2025,11
4.0,7:37,,,TEN 15,12.0,20.0,Wil Lutz kicks extra point good,0.0,0.0,1,2025,11
4.0,7:37,,,DEN 35,12.0,20.0,"Wil Lutz kicks off 59 yards, returned by Chimere Dike for 24 yards (tackle by Jonah Elliss)",0.0,0.94,1,2025,11
4.0,7:31,1.0,10.0,TEN 30,12.0,20.0,Cam Ward pass complete short right to Bryce Oliver for 8 yards (tackle by Riley Moss),0.94,1.47,1,2025,11
4.0,7:12,2.0,2.0,TEN 38,12.0,20.0,"Cam Ward pass incomplete short right. Penalty on Cam Ward: Intentional Grounding, 16 yards (accepted)",1.47,-1.35,1,2025,11
4.0,7:07,3.0,18.0,TEN 22,12.0,20.0,"Cam Ward pass complete short left to Calvin Ridley for 5 yards. Penalty on Peter Skoronski: Offensive Holding, 10 yards (declined)",-1.35,-1.57,1,2025,11
4.0,6:49,4.0,13.0,TEN 27,12.0,20.0,"Johnny Hekker punts 48 yards, returned by Marvin Mims for 12 yards (tackle by David Martin-Robinson and Jaylen Harrell)",-1.57,-1.4,1,2025,11
4.0,6:35,1.0,10.0,DEN 37,12.0,20.0,Bo Nix pass incomplete short middle intended for Troy Franklin,1.4,0.86,1,2025,11
4.0,6:30,2.0,10.0,DEN 37,12.0,20.0,J.K. Dobbins left tackle for 1 yard (tackle by Jeffery Simmons),0.86,0.3,1,2025,11
4.0,5:48,3.0,9.0,DEN 38,12.0,20.0,"Bo Nix pass complete short middle to Courtland Sutton for 10 yards TEN challenged the first down ruling, and the original play was overturned. Bo Nix pass complete short middle to Courtland Sutton for 8 yards (tackle by Roger McCreary) (tackle by Roger McCreary)",0.3,-0.32,1,2025,11
4.0,5:12,4.0,1.0,DEN 46,12.0,20.0,Bo Nix up the middle for no gain (tackle by T'Vondre Sweat),-0.32,-2.52,1,2025,11
4.0,5:07,1.0,10.0,DEN 46,12.0,20.0,Tony Pollard right guard for no gain (tackle by D.J. Jones),2.52,1.98,1,2025,11
4.0,4:32,2.0,10.0,DEN 46,12.0,20.0,Cam Ward pass incomplete deep middle intended for Chimere Dike,1.98,1.29,1,2025,11
4.0,4:20,3.0,10.0,DEN 46,12.0,20.0,Cam Ward pass incomplete deep middle intended for Calvin Ridley,1.29,0.2,1,2025,11
4.0,4:16,4.0,10.0,DEN 46,12.0,20.0,"Johnny Hekker punts 40 yards, fair catch by Marvin Mims at DEN-6",0.2,0.38,1,2025,11
4.0,4:09,1.0,10.0,DEN 6,12.0,20.0,J.K. Dobbins left guard for 12 yards (tackle by Jarvis Brownlee and Xavier Woods),-0.38,0.04,1,2025,11
4.0,3:28,1.0,10.0,DEN 18,12.0,20.0,"Bo Nix pass complete short left to Troy Franklin for 15 yards. Penalty on Amani Hooker: Face Mask (15 Yards), 15 yards (accepted) (tackle by Cedric Gray)",0.04,2.13,1,2025,11
4.0,3:19,1.0,10.0,DEN 48,12.0,20.0,J.K. Dobbins right tackle for 3 yards (tackle by Jeffery Simmons and Dre'Mont Jones),2.13,1.99,1,2025,11
4.0,3:13,,,,,,Timeout #2 by Tennessee Titans,,,1,2025,11
4.0,3:13,2.0,7.0,TEN 49,12.0,20.0,"Bo Nix pass complete short right to J.K. Dobbins for 3 yards. Penalty on Trent Sherfield: Offensive Holding, 10 yards (accepted) (tackle by Cody Barton)",1.99,1.04,1,2025,11
4.0,3:07,2.0,14.0,DEN 44,12.0,20.0,Bo Nix left end for 4 yards (tackle by Arden Key),1.04,0.89,1,2025,11
4.0,2:58,,,,,,Timeout #3 by Tennessee Titans,,,1,2025,11
