Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA,week,year,game_id
1.0,9:24,3.0,8.0,KAN 10,0.0,0.0,"Justin Herbert pass incomplete short right intended for Tyler Conklin. Penalty on George Karlaftis: Defensive Offside, 5 yards (accepted) (no play)",3.48,4.61,1,2025,2
1.0,9:16,3.0,3.0,KAN 5,0.0,6.0,"Justin Herbert pass complete short left to Quentin Johnston for 5 yards, touchdown",4.61,7.0,1,2025,2
1.0,9:11,,,KAN 15,0.0,6.0,"Penalty on George Karlaftis: Roughing the Passer, 8 yards (accepted) (no play)",0.0,0.0,1,2025,2
1.0,9:11,1.0,7.0,KAN 7,0.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,1,2025,2
1.0,9:11,,,LAC 35,0.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,1.27,1,2025,2
1.0,9:11,1.0,10.0,KAN 35,0.0,7.0,Patrick Mahomes scrambles left end for 11 yards (tackle by Alohi Gilman),1.27,1.99,1,2025,2
1.0,8:32,1.0,10.0,KAN 46,0.0,7.0,Isiah Pacheco right guard for 1 yard (tackle by Teair Tart),1.99,1.59,1,2025,2
1.0,7:57,2.0,9.0,KAN 47,0.0,7.0,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Alohi Gilman),1.59,2.72,1,2025,2
1.0,7:19,1.0,10.0,LAC 43,0.0,7.0,"Penalty on Josh Simmons: False Start, 5 yards (accepted) (no play)",2.72,2.39,1,2025,2
1.0,7:02,1.0,15.0,LAC 48,0.0,7.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 6 yards (tackle by Donte Jackson),2.39,2.31,1,2025,2
1.0,6:20,2.0,9.0,LAC 42,0.0,7.0,Patrick Mahomes pass incomplete deep right intended for Tyquan Thornton,2.31,1.62,1,2025,2
1.0,6:14,,,,,,Timeout #1 by Los Angeles Chargers,,,1,2025,2
1.0,6:14,3.0,9.0,LAC 42,0.0,7.0,Patrick Mahomes pass incomplete short left intended for Marquise Brown,1.62,0.46,1,2025,2
1.0,6:10,4.0,9.0,LAC 42,0.0,7.0,Matt Araiza punts 40 yards downed by Nohl Williams,0.46,0.38,1,2025,2
1.0,6:01,1.0,10.0,LAC 2,0.0,7.0,Justin Herbert pass incomplete short right intended for Keenan Allen,-0.38,-0.78,1,2025,2
1.0,5:55,2.0,10.0,LAC 2,0.0,7.0,Justin Herbert pass complete short right to Ladd McConkey for 8 yards (tackle by Nick Bolton),-0.78,-0.48,1,2025,2
1.0,5:18,3.0,2.0,LAC 10,0.0,7.0,Omarion Hampton right guard for no gain (tackle by Drue Tranquill),-0.48,-2.49,1,2025,2
1.0,4:40,4.0,2.0,LAC 10,0.0,7.0,"JK Scott punts 56 yards, returned by Nikko Remigio for 8 yards (tackle by Troy Dye and Del'Shawn Phillips)",-2.49,-1.73,1,2025,2
1.0,4:28,1.0,10.0,KAN 42,0.0,7.0,Patrick Mahomes pass incomplete short left intended for Marquise Brown,1.73,1.19,1,2025,2
1.0,4:22,2.0,10.0,KAN 42,0.0,7.0,Kareem Hunt up the middle for 1 yard (tackle by Caleb Murphy),1.19,0.63,1,2025,2
1.0,3:42,3.0,9.0,KAN 43,0.0,7.0,Patrick Mahomes pass incomplete deep right intended for Tyquan Thornton,0.63,-0.52,1,2025,2
1.0,3:34,4.0,9.0,KAN 43,0.0,7.0,"Matt Araiza punts 36 yards, fair catch by Derius Davis at LAC-21",-0.52,-0.34,1,2025,2
1.0,3:27,1.0,10.0,LAC 21,0.0,7.0,"Justin Herbert pass complete short right to Tyler Conklin for 33 yards. Tyler Conklin fumbles, ball out of bounds at KC-46 (forced by Chamarri Conner). Tyler Conklin fumbles out of bounds. Penalty on Ladd McConkey: Illegal Bat / Offense, 10 yards (accepted)",0.34,1.86,1,2025,2
1.0,2:53,1.0,10.0,LAC 44,0.0,7.0,Justin Herbert pass incomplete deep right intended for Keenan Allen,1.86,1.32,1,2025,2
1.0,2:47,2.0,10.0,LAC 44,0.0,7.0,Omarion Hampton left end for 11 yards (tackle by Jaylen Watson),1.32,2.59,1,2025,2
1.0,2:02,1.0,10.0,KAN 45,0.0,7.0,Justin Herbert pass complete short middle to Keenan Allen for 13 yards (tackle by Bryan Cook),2.59,3.45,1,2025,2
1.0,1:18,1.0,10.0,KAN 32,0.0,7.0,Justin Herbert pass complete deep left to Tyler Conklin for 17 yards (tackle by Chamarri Conner),3.45,4.58,1,2025,2
1.0,0:42,1.0,10.0,KAN 15,0.0,7.0,"Omarion Hampton left tackle for no gain. Penalty on Ladd McConkey: Offensive Holding, 10 yards (accepted) (tackle by Jaden Hicks and Bryan Cook) (no play)",4.58,3.91,1,2025,2
1.0,0:13,1.0,20.0,KAN 25,0.0,7.0,"Justin Herbert scrambles right end for no gain. Penalty on Jamaree Salyer: Offensive Holding, 10 yards (accepted) (tackle by Nick Bolton) (no play)",3.91,3.25,1,2025,2
2.0,15:00,1.0,30.0,KAN 35,0.0,7.0,Justin Herbert pass complete short right to Najee Harris for 5 yards (tackle by Chamarri Conner),3.25,2.0,1,2025,2
2.0,14:33,2.0,25.0,KAN 30,0.0,7.0,Justin Herbert pass incomplete deep left intended for KeAndre Lambert-Smith,2.0,1.35,1,2025,2
2.0,14:29,3.0,25.0,KAN 30,0.0,7.0,Justin Herbert pass complete short left to Keenan Allen for 9 yards (tackle by Nick Bolton and Trent McDuffie),1.35,2.06,1,2025,2
2.0,13:50,4.0,16.0,KAN 21,0.0,10.0,"Cameron Dicker 39 yard field goal good. Penalty on Eric Scott: Defensive Offside, 5 yards (declined)",2.06,3.0,1,2025,2
2.0,13:47,,,LAC 35,0.0,10.0,"Cameron Dicker kicks off 65 yards, returned by Nikko Remigio for 34 yards (tackle by Del'Shawn Phillips and Benjamin St-Juste)",0.0,1.2,1,2025,2
2.0,13:40,1.0,10.0,KAN 34,0.0,10.0,Patrick Mahomes pass complete short right to Marquise Brown for 6 yards (tackle by Cam Hart),1.2,1.47,1,2025,2
2.0,12:58,2.0,4.0,KAN 40,0.0,10.0,Patrick Mahomes pass incomplete short left intended for Isiah Pacheco,1.47,0.76,1,2025,2
2.0,12:53,3.0,4.0,KAN 40,0.0,10.0,Patrick Mahomes pass complete short left to Tyquan Thornton for 3 yards (tackle by Donte Jackson),0.76,-0.52,1,2025,2
2.0,12:12,4.0,1.0,KAN 43,0.0,10.0,Kareem Hunt right end for 6 yards (tackle by Daiyan Henley and Alohi Gilman),-0.52,2.19,1,2025,2
2.0,11:28,1.0,10.0,KAN 49,0.0,10.0,Isiah Pacheco right end for 6 yards (tackle by Daiyan Henley),2.19,2.53,1,2025,2
2.0,10:53,2.0,3.0,LAC 45,0.0,10.0,Patrick Mahomes pass complete short right to Marquise Brown for 4 yards (tackle by Troy Dye),2.53,2.85,1,2025,2
2.0,10:14,1.0,10.0,LAC 41,0.0,10.0,Patrick Mahomes scrambles left end for 4 yards (tackle by Derwin James),2.85,2.85,1,2025,2
2.0,9:36,2.0,6.0,LAC 37,0.0,10.0,Patrick Mahomes pass complete short middle to Marquise Brown for 5 yards (tackle by Cam Hart),2.85,2.81,1,2025,2
2.0,8:53,3.0,1.0,LAC 32,0.0,10.0,"Creed Humphrey aborted snap, recovered by Patrick Mahomes at LAC-36 Patrick Mahomes pass complete short right to Marquise Brown for no gain (tackle by Elijah Molden)",2.81,1.31,1,2025,2
2.0,8:45,,,,,,Timeout #1 by Kansas City Chiefs,,,1,2025,2
2.0,8:45,4.0,1.0,LAC 32,0.0,10.0,Patrick Mahomes pass complete short right to Kareem Hunt for 6 yards (tackle by Daiyan Henley),1.31,3.84,1,2025,2
2.0,8:13,1.0,10.0,LAC 26,0.0,10.0,"Patrick Mahomes scrambles right end for no gain. Penalty on Jawaan Taylor: Offensive Holding, 10 yards (accepted) (tackle by Troy Dye) (no play)",3.84,3.18,1,2025,2
2.0,7:45,1.0,20.0,LAC 36,0.0,10.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 16 yards (tackle by Troy Dye),3.18,4.11,1,2025,2
2.0,7:08,2.0,4.0,LAC 20,0.0,10.0,Isiah Pacheco left tackle for 10 yards (tackle by Alohi Gilman and Daiyan Henley),4.11,4.91,1,2025,2
2.0,6:23,1.0,10.0,LAC 10,0.0,10.0,Patrick Mahomes pass incomplete short left intended for Marquise Brown,4.91,4.19,1,2025,2
2.0,6:18,2.0,10.0,LAC 10,0.0,10.0,Patrick Mahomes pass complete short left to Marquise Brown for 1 yard (tackle by Tarheeb Still),4.19,3.36,1,2025,2
2.0,5:36,3.0,9.0,LAC 9,0.0,10.0,Patrick Mahomes sacked by Daiyan Henley for 8 yards,3.36,2.31,1,2025,2
2.0,4:53,4.0,17.0,LAC 17,3.0,10.0,Harrison Butker 35 yard field goal good,2.31,3.0,1,2025,2
2.0,4:50,,,KAN 35,3.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,1.27,1,2025,2
2.0,4:50,1.0,10.0,LAC 35,3.0,10.0,Omarion Hampton up the middle for 3 yards (tackle by Ashton Gillotte),1.27,1.13,1,2025,2
2.0,4:10,2.0,7.0,LAC 38,3.0,10.0,Justin Herbert pass incomplete short right intended for Keenan Allen,1.13,0.43,1,2025,2
2.0,4:07,3.0,7.0,LAC 38,3.0,10.0,Justin Herbert pass complete short middle to Ladd McConkey for 9 yards (tackle by Chamarri Conner),0.43,2.06,1,2025,2
2.0,3:31,1.0,10.0,LAC 47,3.0,10.0,Omarion Hampton left end for -1 yards (tackle by Jerry Tillery),2.06,1.38,1,2025,2
2.0,2:45,2.0,11.0,LAC 46,3.0,10.0,Justin Herbert pass complete deep left to Ladd McConkey for 23 yards (tackle by Trent McDuffie),1.38,3.51,1,2025,2
2.0,2:00,1.0,10.0,KAN 31,3.0,10.0,Justin Herbert pass incomplete deep right intended for Ladd McConkey,3.51,2.97,1,2025,2
2.0,1:54,2.0,10.0,KAN 31,3.0,10.0,Justin Herbert scrambles left tackle for 4 yards (tackle by Charles Omenihu),2.97,2.81,1,2025,2
2.0,1:48,,,,,,Timeout #2 by Kansas City Chiefs,,,1,2025,2
2.0,1:48,3.0,6.0,KAN 27,3.0,10.0,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Nick Bolton),2.81,4.24,1,2025,2
2.0,1:40,,,,,,Timeout #3 by Kansas City Chiefs,,,1,2025,2
2.0,1:40,1.0,10.0,KAN 20,3.0,10.0,Omarion Hampton left tackle for -1 yards (tackle by George Karlaftis and Chris Jones),4.24,3.56,1,2025,2
2.0,0:59,2.0,11.0,KAN 21,3.0,10.0,"Penalty on Justin Herbert: Delay of Game, 5 yards (accepted) (no play)",3.56,2.88,1,2025,2
2.0,0:59,2.0,16.0,KAN 26,3.0,10.0,Justin Herbert pass incomplete short middle intended for Ladd McConkey,2.88,2.21,1,2025,2
2.0,0:54,3.0,16.0,KAN 26,3.0,10.0,Omarion Hampton right end for 8 yards (tackle by Nick Bolton),2.21,2.25,1,2025,2
2.0,0:49,4.0,8.0,KAN 18,3.0,13.0,Cameron Dicker 36 yard field goal good,2.25,3.0,1,2025,2
2.0,0:45,,,LAC 35,3.0,13.0,"Cameron Dicker kicks off 62 yards, returned by Brashard Smith for 26 yards (tackle by Caleb Murphy)",0.0,0.87,1,2025,2
2.0,0:40,1.0,10.0,KAN 29,3.0,13.0,Patrick Mahomes pass complete deep right to Tyquan Thornton for 38 yards (tackle by Cam Hart),0.87,3.38,1,2025,2
2.0,0:22,1.0,10.0,LAC 33,3.0,13.0,Patrick Mahomes spiked the ball,3.38,2.84,1,2025,2
2.0,0:21,2.0,10.0,LAC 33,3.0,13.0,Patrick Mahomes pass incomplete short left intended for Marquise Brown (defended by Donte Jackson),2.84,2.15,1,2025,2
2.0,0:17,3.0,10.0,LAC 33,3.0,13.0,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",2.15,1.49,1,2025,2
2.0,0:17,3.0,15.0,LAC 38,3.0,13.0,"Penalty on Josh Simmons: False Start, 5 yards (accepted) (no play)",1.49,0.83,1,2025,2
2.0,0:17,3.0,20.0,LAC 43,3.0,13.0,Patrick Mahomes pass complete short right to Noah Gray for 3 yards (tackle by Tarheeb Still),0.83,0.59,1,2025,2
2.0,0:03,4.0,17.0,LAC 40,6.0,13.0,Harrison Butker 59 yard field goal good,0.59,3.0,1,2025,2
3.0,15:00,,,KAN 35,6.0,13.0,"Harrison Butker kicks off 59 yards, returned by Hassan Haskins for 22 yards (tackle by Cooper McDonald and Chamarri Conner)",0.0,0.81,1,2025,2
3.0,14:55,1.0,10.0,LAC 28,6.0,13.0,Omarion Hampton left guard for 1 yard (tackle by Chamarri Conner),0.81,0.4,1,2025,2
3.0,14:18,2.0,9.0,LAC 29,6.0,13.0,Justin Herbert pass incomplete short left intended for Ladd McConkey,0.4,-0.3,1,2025,2
3.0,14:14,3.0,9.0,LAC 29,6.0,13.0,"Justin Herbert pass incomplete deep right intended for Quentin Johnston (defended by Trent McDuffie). Penalty on Mekhi Becton: Offensive Holding, 10 yards (declined)",-0.3,-1.44,1,2025,2
3.0,14:08,4.0,9.0,LAC 29,6.0,13.0,"JK Scott punts 50 yards, returned by Nikko Remigio for -1 yards (tackle by Ja'Sir Taylor)",-1.44,-0.28,1,2025,2
3.0,13:58,1.0,10.0,KAN 20,6.0,13.0,Patrick Mahomes scrambles right end for 11 yards (tackle by Troy Dye),0.28,1.0,1,2025,2
3.0,13:28,1.0,10.0,KAN 31,6.0,13.0,"Isiah Pacheco right guard for no gain. Penalty on Jawaan Taylor: Offensive Holding, 10 yards (accepted) (tackle by Daiyan Henley) (no play)",1.0,0.34,1,2025,2
3.0,13:06,1.0,20.0,KAN 21,6.0,13.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 14 yards (tackle by Elijah Molden),0.34,1.0,1,2025,2
3.0,12:24,2.0,6.0,KAN 35,6.0,13.0,Isiah Pacheco left guard for 4 yards (tackle by Troy Dye and Alohi Gilman),1.0,0.83,1,2025,2
3.0,11:46,3.0,2.0,KAN 39,6.0,13.0,Patrick Mahomes pass complete short left to Marquise Brown for 13 yards (tackle by Cam Hart),0.83,2.39,1,2025,2
3.0,11:16,1.0,10.0,LAC 48,6.0,13.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 7 yards (tackle by Alohi Gilman),2.39,2.79,1,2025,2
3.0,10:34,2.0,3.0,LAC 41,6.0,13.0,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",2.79,2.12,1,2025,2
3.0,10:13,2.0,8.0,LAC 46,6.0,13.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce (defended by Bud Dupree),2.12,1.42,1,2025,2
3.0,10:10,3.0,8.0,LAC 46,6.0,13.0,Patrick Mahomes scrambles right end for 15 yards (tackle by Donte Jackson),1.42,3.51,1,2025,2
3.0,9:42,1.0,10.0,LAC 31,6.0,13.0,Patrick Mahomes pass complete short left to Marquise Brown for 2 yards (tackle by Tarheeb Still),3.51,3.24,1,2025,2
3.0,9:05,2.0,8.0,LAC 29,6.0,13.0,Patrick Mahomes pass complete short right to Marquise Brown for 7 yards (tackle by Alohi Gilman and Derwin James),3.24,3.47,1,2025,2
3.0,8:30,3.0,1.0,LAC 22,6.0,13.0,"Kareem Hunt up the middle for 2 yards. Penalty on Teair Tart: Unnecessary Roughness / Defense, 9 yards (accepted) (tackle by Derwin James)",3.47,4.84,1,2025,2
3.0,8:11,1.0,10.0,LAC 11,12.0,13.0,"Patrick Mahomes scrambles right end for 11 yards, touchdown",4.84,7.0,1,2025,2
3.0,8:05,,,LAC 15,12.0,13.0,Harrison Butker kicks extra point no good,0.0,-1.0,1,2025,2
3.0,8:05,,,KAN 35,12.0,13.0,"Harrison Butker kicks off 64 yards, returned by Hassan Haskins for 25 yards (tackle by Jack Cochrane and Nohl Williams)",0.0,0.67,1,2025,2
3.0,7:58,1.0,10.0,LAC 26,12.0,13.0,Derius Davis left end for 3 yards (tackle by Jaylen Watson),0.67,0.54,1,2025,2
3.0,7:14,2.0,7.0,LAC 29,12.0,13.0,Justin Herbert sacked by Drue Tranquill for 8 yards,0.54,-1.22,1,2025,2
3.0,6:30,3.0,15.0,LAC 21,12.0,13.0,Justin Herbert pass complete short middle to Quentin Johnston for 14 yards (tackle by Kristian Fulton),-1.22,-1.04,1,2025,2
3.0,5:47,4.0,1.0,LAC 35,12.0,13.0,Omarion Hampton left end for 4 yards (tackle by Nick Bolton),-1.04,1.53,1,2025,2
3.0,5:18,1.0,10.0,LAC 39,12.0,13.0,"Penalty on Mekhi Becton: False Start, 5 yards (accepted) (no play)",1.53,1.2,1,2025,2
3.0,4:54,1.0,15.0,LAC 34,12.0,13.0,Justin Herbert scrambles right end for 7 yards (tackle by Leo Chenal),1.2,1.26,1,2025,2
3.0,4:09,2.0,8.0,LAC 41,12.0,13.0,Justin Herbert pass complete short left to Keenan Allen for 15 yards (tackle by Trent McDuffie),1.26,2.65,1,2025,2
3.0,3:26,1.0,10.0,KAN 44,12.0,13.0,Justin Herbert pass complete deep left to Ladd McConkey for 16 yards (tackle by Jaylen Watson),2.65,3.71,1,2025,2
3.0,3:01,1.0,10.0,KAN 28,12.0,13.0,Najee Harris up the middle for 5 yards (tackle by Nick Bolton and Chamarri Conner),3.71,3.84,1,2025,2
3.0,2:04,2.0,5.0,KAN 23,12.0,13.0,Omarion Hampton up the middle for 5 yards (tackle by Charles Omenihu),3.84,4.37,1,2025,2
3.0,1:25,1.0,10.0,KAN 18,12.0,13.0,Omarion Hampton left tackle for 7 yards (tackle by Nick Bolton),4.37,5.01,1,2025,2
3.0,0:41,2.0,3.0,KAN 11,12.0,13.0,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by Jaylen Watson),5.01,4.26,1,2025,2
3.0,0:36,3.0,3.0,KAN 11,12.0,19.0,"Justin Herbert pass complete short left to Keenan Allen for 11 yards, touchdown",4.26,7.0,1,2025,2
3.0,0:32,,,KAN 15,12.0,20.0,Cameron Dicker kicks extra point good,0.0,0.0,1,2025,2
3.0,0:32,,,LAC 35,12.0,20.0,"Cameron Dicker kicks off 67 yards, returned by Brashard Smith for 37 yards (tackle by Del'Shawn Phillips and Ja'Sir Taylor)",0.0,1.27,1,2025,2
3.0,0:25,1.0,10.0,KAN 35,12.0,20.0,Kareem Hunt right guard for 5 yards (tackle by Daiyan Henley and Caleb Murphy),1.27,1.4,1,2025,2
4.0,15:00,2.0,5.0,KAN 40,12.0,20.0,Patrick Mahomes pass incomplete short right intended for Marquise Brown (defended by Teair Tart),1.4,0.7,1,2025,2
4.0,14:56,3.0,5.0,KAN 40,12.0,20.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 12 yards (tackle by Daiyan Henley and Tuli Tuipulotu),0.7,2.39,1,2025,2
4.0,14:16,1.0,10.0,LAC 48,12.0,20.0,Kareem Hunt left guard for 2 yards (tackle by Derwin James and Da'Shawn Hand),2.39,2.12,1,2025,2
4.0,13:33,2.0,8.0,LAC 46,12.0,20.0,Patrick Mahomes pass complete short left to Kareem Hunt for 4 yards (tackle by Derwin James),2.12,1.95,1,2025,2
4.0,12:54,3.0,4.0,LAC 42,12.0,20.0,Patrick Mahomes scrambles up the middle for 5 yards (tackle by Alohi Gilman),1.95,3.12,1,2025,2
4.0,12:10,1.0,10.0,LAC 37,18.0,20.0,"Patrick Mahomes pass complete short right to Travis Kelce for 37 yards, touchdown",3.12,7.0,1,2025,2
4.0,12:04,,,LAC 2,18.0,20.0,Two Point Attempt: Patrick Mahomes pass incomplete intended for intended for Noah Gray,1.0,-1.0,1,2025,2
4.0,12:04,,,KAN 35,18.0,20.0,"Harrison Butker kicks off 59 yards, returned by Hassan Haskins for 20 yards (tackle by Nohl Williams)",0.0,0.67,1,2025,2
4.0,11:55,1.0,10.0,LAC 26,18.0,20.0,Justin Herbert pass complete short right to Omarion Hampton for 7 yards (tackle by Jaylen Watson and Drue Tranquill),0.67,1.07,1,2025,2
4.0,11:10,2.0,3.0,LAC 33,18.0,20.0,Justin Herbert pass complete short left to Keenan Allen for 4 yards (tackle by Chamarri Conner),1.07,1.4,1,2025,2
4.0,10:34,1.0,10.0,LAC 37,18.0,20.0,Omarion Hampton right end for -1 yards (tackle by Michael Danna and Jaden Hicks),1.4,0.72,1,2025,2
4.0,9:52,2.0,11.0,LAC 36,18.0,20.0,Justin Herbert pass complete short right to Quentin Johnston for 4 yards (tackle by Trent McDuffie),0.72,0.56,1,2025,2
4.0,9:11,3.0,7.0,LAC 40,18.0,20.0,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Jaden Hicks),0.56,2.19,1,2025,2
4.0,8:32,1.0,10.0,LAC 49,18.0,20.0,Justin Herbert pass complete short left to Omarion Hampton for 6 yards (tackle by Jaden Hicks),2.19,2.46,1,2025,2
4.0,7:52,2.0,4.0,KAN 45,18.0,20.0,Justin Herbert pass complete short left to Tre Harris for 11 yards (tackle by Drue Tranquill),2.46,3.31,1,2025,2
4.0,7:10,1.0,10.0,KAN 34,18.0,20.0,Justin Herbert pass complete short right to Ladd McConkey for 9 yards (tackle by Jaylen Watson),3.31,3.99,1,2025,2
4.0,6:31,2.0,1.0,KAN 25,18.0,20.0,Omarion Hampton up the middle for no gain (tackle by Chris Jones and Leo Chenal),3.99,3.27,1,2025,2
4.0,5:53,3.0,1.0,KAN 25,18.0,20.0,Tyler Conklin up the middle for 2 yards (tackle by Derrick Nnadi),3.27,4.04,1,2025,2
4.0,5:09,1.0,10.0,KAN 23,18.0,26.0,"Justin Herbert pass complete deep right to Quentin Johnston for 23 yards, touchdown",4.04,7.0,1,2025,2
4.0,5:02,1.0,10.0,KAN 14,18.0,26.0,"Penalty on Jaden Hicks: Face Mask (15 Yards), 8 yards (accepted) (no play)",4.65,0.0,1,2025,2
4.0,5:02,1.0,7.0,KAN 7,18.0,27.0,Cameron Dicker kicks extra point good,0.0,0.0,1,2025,2
4.0,5:02,,,LAC 35,18.0,27.0,"Cameron Dicker kicks off 59 yards, returned by Nikko Remigio for 22 yards (tackle by Kendall Williamson and Caleb Murphy)",0.0,0.81,1,2025,2
4.0,4:57,1.0,10.0,KAN 28,18.0,27.0,Patrick Mahomes sacked by Da'Shawn Hand for 1 yard,0.81,0.13,1,2025,2
4.0,4:35,2.0,11.0,KAN 27,18.0,27.0,Patrick Mahomes pass complete short middle to Marquise Brown for 12 yards (tackle by Elijah Molden),0.13,1.53,1,2025,2
4.0,4:16,1.0,10.0,KAN 39,18.0,27.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 4 yards (tackle by Derwin James),1.53,1.53,1,2025,2
4.0,4:11,2.0,6.0,KAN 43,18.0,27.0,Patrick Mahomes pass complete short right to Isiah Pacheco for -1 yards (tackle by Derwin James),1.53,0.7,1,2025,2
4.0,3:32,3.0,7.0,KAN 42,18.0,27.0,Patrick Mahomes pass incomplete short right intended for Kareem Hunt,0.7,-0.59,1,2025,2
4.0,3:24,4.0,7.0,KAN 42,18.0,27.0,Patrick Mahomes pass complete deep middle to Marquise Brown for 49 yards (tackle by Elijah Molden),-0.59,5.14,1,2025,2
4.0,2:48,1.0,9.0,LAC 9,18.0,27.0,Patrick Mahomes pass incomplete short right intended for Marquise Brown (defended by Teair Tart),5.14,4.38,1,2025,2
4.0,2:44,2.0,9.0,LAC 9,18.0,27.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,4.38,3.36,1,2025,2
4.0,2:41,3.0,9.0,LAC 9,18.0,27.0,Patrick Mahomes pass incomplete short left intended for Jason Brownlee,3.36,2.83,1,2025,2
4.0,2:37,4.0,9.0,LAC 9,21.0,27.0,Harrison Butker 27 yard field goal good,2.83,3.0,1,2025,2
4.0,2:34,,,KAN 35,21.0,27.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.28,1,2025,2
4.0,2:34,1.0,10.0,LAC 20,21.0,27.0,Justin Herbert pass complete short right to Will Dissly for 18 yards (tackle by Jaylen Watson),0.28,1.47,1,2025,2
4.0,2:26,,,,,,Timeout #1 by Kansas City Chiefs,,,1,2025,2
4.0,2:26,1.0,10.0,LAC 38,21.0,27.0,Omarion Hampton right guard for 1 yard (tackle by Bryan Cook and Michael Danna),1.47,1.06,1,2025,2
4.0,2:21,,,,,,Timeout #2 by Kansas City Chiefs,,,1,2025,2
4.0,2:21,2.0,9.0,LAC 39,21.0,27.0,Justin Herbert sacked by Drue Tranquill for 5 yards,1.06,-0.29,1,2025,2
4.0,2:14,,,,,,Timeout #3 by Kansas City Chiefs,,,1,2025,2
4.0,2:14,3.0,14.0,LAC 34,21.0,27.0,Justin Herbert scrambles right end for 19 yards (tackle by Chamarri Conner),-0.29,2.46,1,2025,2
4.0,2:00,1.0,10.0,KAN 47,21.0,27.0,Justin Herbert kneels for -1 yards,2.46,1.78,1,2025,2
4.0,1:18,2.0,11.0,KAN 48,21.0,27.0,Justin Herbert kneels for -2 yards,1.78,0.83,1,2025,2
4.0,0:38,3.0,13.0,KAN 50,21.0,27.0,Justin Herbert kneels for -1 yards,0.83,-0.13,1,2025,2
