Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA,week,year,game_id
2.0,7:44,3.0,5.0,MIN 30,3.0,7.0,J.J. McCarthy pass complete short middle to Justin Jefferson for 4 yards (tackle by Tremaine Edmunds and Noah Sewell),0.04,-1.11,1,2025,16
2.0,7:00,4.0,1.0,MIN 34,3.0,7.0,Ryan Wright punts 31 yards out of bounds,-1.11,-1.27,1,2025,16
2.0,6:52,1.0,10.0,CHI 35,3.0,7.0,Caleb Williams pass incomplete short right intended for Rome Odunze (defended by Tyrion Ingram-Dawkins),1.27,0.72,1,2025,16
2.0,6:41,2.0,10.0,CHI 35,3.0,7.0,"Caleb Williams pass incomplete deep right intended for Olamide Zaccheaus. Penalty on Kyle Monangai: Offensive Holding, 10 yards (declined)",0.72,0.04,1,2025,16
2.0,6:41,3.0,10.0,CHI 35,3.0,7.0,Caleb Williams scrambles left end for 2 yards (tackle by Josh Metellus),0.04,-0.91,1,2025,16
2.0,6:00,4.0,8.0,CHI 37,3.0,7.0,"Tory Taylor punts 48 yards, returned by Myles Price for 9 yards (tackle by Daniel Hardy and Jaylon Jones)",-0.91,-0.54,1,2025,16
2.0,5:52,1.0,10.0,MIN 24,3.0,7.0,"Jordan Mason left guard for no gain. Penalty on Justin Skule: Offensive Holding, 10 yards (accepted) (tackle by Kevin Byard) (no play)",0.54,-0.5,1,2025,16
2.0,5:24,1.0,20.0,MIN 14,3.0,7.0,J.J. McCarthy pass incomplete deep middle intended for T.J. Hockenson (defended by Tremaine Edmunds),-0.5,-1.47,1,2025,16
2.0,5:20,2.0,20.0,MIN 14,3.0,7.0,J.J. McCarthy pass incomplete short right intended for Jalen Nailor (defended by Dayo Odeyingbo),-1.47,-2.45,1,2025,16
2.0,5:15,3.0,20.0,MIN 14,3.0,7.0,"Penalty on J.J. McCarthy: Delay of Game, 5 yards (accepted) (no play)",-2.45,-3.18,1,2025,16
2.0,5:15,3.0,25.0,MIN 9,3.0,7.0,J.J. McCarthy pass complete short left to Jordan Mason for 7 yards (tackle by Tremaine Edmunds),-3.18,-2.39,1,2025,16
2.0,4:39,4.0,18.0,MIN 16,3.0,7.0,"Ryan Wright punts 51 yards, returned by Devin Duvernay for 8 yards (tackle by Tai Felton)",-2.39,-1.66,1,2025,16
2.0,4:29,1.0,10.0,CHI 41,3.0,7.0,D'Andre Swift right guard for 4 yards (tackle by Jonathan Allen),1.66,1.66,1,2025,16
2.0,3:44,2.0,6.0,CHI 45,3.0,7.0,"Penalty on Jonah Jackson: False Start, 5 yards (accepted) (no play)",1.66,0.99,1,2025,16
2.0,3:26,2.0,11.0,CHI 40,3.0,7.0,Caleb Williams pass complete short middle to Olamide Zaccheaus for 16 yards (tackle by Blake Cashman and Josh Metellus),0.99,2.65,1,2025,16
2.0,2:48,1.0,10.0,MIN 44,3.0,7.0,D'Andre Swift left end for 3 yards (tackle by Dallas Turner and Jonathan Allen),2.65,2.52,1,2025,16
2.0,2:10,2.0,7.0,MIN 41,3.0,7.0,D'Andre Swift left guard for 2 yards (tackle by Ivan Pace),2.52,2.08,1,2025,16
2.0,2:00,3.0,5.0,MIN 39,3.0,7.0,Caleb Williams pass complete short right to Olamide Zaccheaus for 7 yards (tackle by Jeff Okudah),2.08,3.45,1,2025,16
2.0,1:55,1.0,10.0,MIN 32,3.0,7.0,D'Andre Swift left tackle for 3 yards (tackle by Jonathan Greenard),3.45,3.31,1,2025,16
2.0,1:19,2.0,7.0,MIN 29,3.0,7.0,D'Andre Swift right guard for 2 yards (tackle by Dallas Turner),3.31,2.87,1,2025,16
2.0,0:37,3.0,5.0,MIN 27,3.0,7.0,Caleb Williams pass complete short right to Rome Odunze for 3 yards (tackle by Byron Murphy),2.87,1.99,1,2025,16
2.0,0:28,,,,,,Timeout #2 by Minnesota Vikings,,,1,2025,16
2.0,0:28,4.0,2.0,MIN 24,3.0,10.0,Cairo Santos 42 yard field goal good,1.99,3.0,1,2025,16
2.0,0:24,,,CHI 35,3.0,10.0,"Cairo Santos kicks off 59 yards, returned by Myles Price for 25 yards (tackle by Jaylon Jones and Daniel Hardy)",0.0,1.0,1,2025,16
2.0,0:19,1.0,10.0,MIN 31,3.0,10.0,J.J. McCarthy pass complete deep left to Jalen Nailor for 28 yards (tackle by Nahshon Wright),1.0,2.85,1,2025,16
2.0,0:11,,,,,,Timeout #3 by Minnesota Vikings,,,1,2025,16
2.0,0:11,1.0,10.0,CHI 41,6.0,10.0,Will Reichard 59 yard field goal good,2.85,3.0,1,2025,16
2.0,0:06,,,MIN 35,6.0,10.0,"Will Reichard kicks off 59 yards, returned by Luther Burden for 44 yards (tackle by Jay Ward)",0.0,1.27,1,2025,16
3.0,15:00,,,MIN 35,6.0,10.0,"Will Reichard kicks off 64 yards, returned by Devin Duvernay for 21 yards (tackle by Chaz Chambliss)",0.0,0.41,1,2025,16
3.0,14:54,1.0,10.0,CHI 22,6.0,10.0,Caleb Williams pass incomplete short right intended for D'Andre Swift,0.41,-0.13,1,2025,16
3.0,14:49,2.0,10.0,CHI 22,6.0,10.0,Caleb Williams pass incomplete short right intended for Cole Kmet,-0.13,-0.82,1,2025,16
3.0,14:44,3.0,10.0,CHI 22,6.0,10.0,Caleb Williams pass incomplete short left intended for Olamide Zaccheaus,-0.82,-1.9,1,2025,16
3.0,14:41,4.0,10.0,CHI 22,6.0,10.0,"Tory Taylor punts 47 yards, returned by Myles Price for 20 yards (tackle by Jonathan Owens)",-1.9,-2.32,1,2025,16
3.0,14:28,1.0,10.0,CHI 49,6.0,10.0,"J.J. McCarthy pass incomplete short right intended for Justin Jefferson. Penalty on Dayo Odeyingbo: Roughing the Passer, 15 yards (accepted) (no play)",2.32,3.31,1,2025,16
3.0,14:21,1.0,10.0,CHI 34,6.0,10.0,Aaron Jones right guard for no gain (tackle by Kevin Byard),3.31,2.77,1,2025,16
3.0,13:51,2.0,10.0,CHI 34,6.0,10.0,Aaron Jones right end for 2 yards (tackle by Jaquan Brisker),2.77,2.35,1,2025,16
3.0,13:03,3.0,8.0,CHI 32,6.0,16.0,"J.J. McCarthy pass short left intended for Justin Jefferson is intercepted by Nahshon Wright at CHI-26 and returned for 74 yards, touchdown",2.35,-7.0,1,2025,16
3.0,12:51,,,MIN 15,6.0,17.0,Cairo Santos kicks extra point good,0.0,0.0,1,2025,16
3.0,12:51,,,CHI 35,6.0,17.0,"Cairo Santos kicks off 63 yards, returned by Ty Chandler for 26 yards (tackle by Jonathan Owens)",0.0,0.81,1,2025,16
3.0,12:45,1.0,10.0,MIN 28,6.0,17.0,Jordan Mason left end for 3 yards (tackle by Noah Sewell),0.81,0.67,1,2025,16
3.0,12:06,2.0,7.0,MIN 31,6.0,17.0,J.J. McCarthy sacked by Tanoh Kpassagnon for 6 yards,0.67,-0.82,1,2025,16
3.0,11:17,3.0,13.0,MIN 25,6.0,17.0,"Penalty on J.J. McCarthy: Delay of Game, 5 yards (accepted) (no play)",-0.82,-1.48,1,2025,16
3.0,10:57,3.0,18.0,MIN 20,6.0,17.0,Jordan Mason right guard for -2 yards (tackle by Montez Sweat and Gervon Dexter),-1.48,-2.24,1,2025,16
3.0,10:20,4.0,20.0,MIN 18,6.0,17.0,"Ryan Wright punts 52 yards, returned by Devin Duvernay for no gain. Penalty on Carl Jones: Offensive Holding, 10 yards (accepted) (tackle by Tai Felton)",-2.24,-0.28,1,2025,16
3.0,10:08,1.0,10.0,CHI 20,6.0,17.0,D'Andre Swift right tackle for no gain (tackle by Javon Hargrave),0.28,-0.27,1,2025,16
3.0,9:30,2.0,10.0,CHI 20,6.0,17.0,Caleb Williams pass complete deep left to D.J. Moore for 22 yards,-0.27,1.73,1,2025,16
3.0,8:54,1.0,10.0,CHI 42,6.0,17.0,Caleb Williams pass complete short right to Luther Burden for -3 yards (tackle by Andrew Van Ginkel),1.73,0.78,1,2025,16
3.0,8:16,2.0,13.0,CHI 39,6.0,17.0,Caleb Williams pass incomplete short left intended for Olamide Zaccheaus (defended by Andrew Van Ginkel),0.78,0.1,1,2025,16
3.0,8:11,3.0,13.0,CHI 39,6.0,17.0,Caleb Williams pass complete short left to Colston Loveland for 4 yards (tackle by Josh Metellus),0.1,-0.52,1,2025,16
3.0,7:26,4.0,9.0,CHI 43,6.0,17.0,"Tory Taylor punts 51 yards, returned by Myles Price for 17 yards (tackle by Elijah Hicks)",-0.52,-0.48,1,2025,16
3.0,7:14,1.0,10.0,MIN 23,6.0,17.0,"J.J. McCarthy pass complete short right to T.J. Hockenson for 2 yards CHI challenged the runner was down by contact ruling, and the play was upheld. (tackle by Noah Sewell)",0.48,0.2,1,2025,16
3.0,6:39,2.0,8.0,MIN 25,6.0,17.0,J.J. McCarthy pass complete short left to Aaron Jones for 6 yards (tackle by Kevin Byard),0.2,0.3,1,2025,16
3.0,6:00,3.0,2.0,MIN 31,6.0,17.0,J.J. McCarthy pass incomplete short right intended for Adam Thielen (defended by Tyrique Stevenson),0.3,-1.31,1,2025,16
3.0,5:53,4.0,2.0,MIN 31,6.0,17.0,"Ryan Wright punts 45 yards, fair catch by Devin Duvernay at CHI-24",-1.31,-0.54,1,2025,16
3.0,5:46,1.0,10.0,CHI 24,6.0,17.0,D'Andre Swift right guard for 9 yards (tackle by Blake Cashman),0.54,1.21,1,2025,16
3.0,5:05,2.0,1.0,CHI 33,6.0,17.0,D.J. Moore left end for 2 yards (tackle by Jalen Redmond and Andrew Van Ginkel),1.21,1.27,1,2025,16
3.0,4:20,1.0,10.0,CHI 35,6.0,17.0,D'Andre Swift left guard for 4 yards (tackle by Levi Drake Rodriguez and Ivan Pace),1.27,1.26,1,2025,16
3.0,3:48,2.0,6.0,CHI 39,6.0,17.0,Caleb Williams scrambles right end for 13 yards (tackle by Byron Murphy),1.26,2.39,1,2025,16
3.0,3:14,1.0,10.0,MIN 48,6.0,17.0,D'Andre Swift left tackle for 1 yard (tackle by Javon Hargrave and Eric Wilson),2.39,1.98,1,2025,16
3.0,2:34,2.0,9.0,MIN 47,6.0,17.0,D'Andre Swift right guard for 13 yards (tackle by Isaiah Rodgers),1.98,3.31,1,2025,16
3.0,1:49,1.0,10.0,MIN 34,6.0,17.0,"Penalty on Javon Hargrave: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.31,4.04,1,2025,16
3.0,1:36,1.0,5.0,MIN 29,6.0,17.0,D'Andre Swift left end for 5 yards (tackle by Isaiah Rodgers and Josh Metellus),4.04,3.97,1,2025,16
3.0,0:51,1.0,10.0,MIN 24,6.0,17.0,"Caleb Williams pass complete short left to D'Andre Swift for no gain. Penalty on Darnell Wright: Offensive Holding, 10 yards (accepted) (tackle by Dallas Turner) (no play)",3.97,3.31,1,2025,16
3.0,0:19,1.0,20.0,MIN 34,6.0,17.0,Caleb Williams pass incomplete short middle intended for Cole Kmet,3.31,2.08,1,2025,16
3.0,0:15,2.0,20.0,MIN 34,6.0,17.0,"Caleb Williams pass incomplete short left. Penalty on Caleb Williams: Intentional Grounding, 10 yards (accepted)",2.08,0.1,1,2025,16
3.0,0:05,3.0,30.0,MIN 44,6.0,17.0,Caleb Williams pass complete short left to Olamide Zaccheaus for 12 yards (tackle by Jay Ward and Isaiah Rodgers),0.1,1.24,1,2025,16
4.0,15:00,4.0,18.0,MIN 32,6.0,17.0,Cairo Santos 50 yard field goal no good,1.24,-1.6,1,2025,16
4.0,14:55,1.0,10.0,MIN 40,6.0,17.0,Jordan Mason up the middle for 7 yards (tackle by Tremaine Edmunds and Tanoh Kpassagnon),1.6,2.0,1,2025,16
4.0,14:20,2.0,3.0,MIN 47,6.0,17.0,Jordan Mason right guard for 18 yards (tackle by Kevin Byard),2.0,3.25,1,2025,16
4.0,13:41,1.0,10.0,CHI 35,6.0,17.0,J.J. McCarthy pass complete deep left to Justin Jefferson for 17 yards,3.25,4.37,1,2025,16
4.0,13:01,1.0,10.0,CHI 18,6.0,17.0,Jordan Mason left end for 5 yards (tackle by Nahshon Wright),4.37,4.61,1,2025,16
4.0,12:24,2.0,5.0,CHI 13,6.0,17.0,J.J. McCarthy pass incomplete short left intended for Jalen Nailor (defended by Montez Sweat),4.61,3.82,1,2025,16
4.0,12:18,3.0,5.0,CHI 13,12.0,17.0,"J.J. McCarthy pass complete short middle to Justin Jefferson for 13 yards, touchdown",3.82,7.0,1,2025,16
4.0,12:13,,,CHI 2,12.0,17.0,"Two Point Attempt: J.J. McCarthy pass incomplete intended for. Penalty on Dayo Odeyingbo: Illegal Use of Hands / Defense, 1 yard (accepted) (no play)",1.0,1.0,1,2025,16
4.0,12:13,,,CHI 1,12.0,17.0,Two Point Attempt: J.J. McCarthy pass incomplete intended for to Josh Oliver for no gain (tackle by Jonathan Owens),1.0,-1.0,1,2025,16
4.0,12:13,,,MIN 35,12.0,17.0,"Will Reichard kicks off 66 yards, returned by Devin Duvernay for 26 yards (tackle by Eric Wilson)",0.0,0.61,1,2025,16
4.0,12:09,1.0,10.0,CHI 25,12.0,17.0,Caleb Williams sacked by Javon Hargrave for 8 yards,0.61,-1.15,1,2025,16
4.0,11:32,2.0,18.0,CHI 17,12.0,17.0,D'Andre Swift right guard for -1 yards (tackle by Eric Wilson),-1.15,-2.14,1,2025,16
4.0,10:56,3.0,19.0,CHI 16,12.0,17.0,Caleb Williams pass incomplete short right intended for Rome Odunze (defended by Andrew Van Ginkel),-2.14,-2.39,1,2025,16
4.0,10:51,4.0,19.0,CHI 16,12.0,17.0,"Tory Taylor punts 56 yards, returned by Myles Price for 22 yards (tackle by Elijah Hicks and Scott Daly)",-2.39,-2.26,1,2025,16
4.0,10:37,1.0,10.0,CHI 50,12.0,17.0,Aaron Jones right tackle for 9 yards (tackle by Tyrique Stevenson),2.26,2.93,1,2025,16
4.0,10:04,2.0,1.0,CHI 41,12.0,17.0,J.J. McCarthy pass incomplete deep right intended for Justin Jefferson,2.93,2.21,1,2025,16
4.0,9:57,3.0,1.0,CHI 41,12.0,17.0,"J.J. McCarthy pass incomplete deep left intended for Jalen Nailor. Penalty on Tyrique Stevenson: Defensive Pass Interference, 14 yards (accepted) (no play)",2.21,3.78,1,2025,16
4.0,9:52,1.0,10.0,CHI 27,18.0,17.0,"J.J. McCarthy pass complete deep right to Aaron Jones for 27 yards, touchdown",3.78,7.0,1,2025,16
4.0,9:46,,,CHI 2,20.0,17.0,Two Point Attempt: J.J. McCarthy pass complete to to Adam Thielen for no gain,1.0,1.0,1,2025,16
4.0,9:46,,,MIN 35,20.0,17.0,"Will Reichard kicks off 65 yards, touchback.",0.0,1.27,1,2025,16
4.0,9:46,1.0,10.0,CHI 35,20.0,17.0,D'Andre Swift right end for no gain (tackle by Jalen Redmond),1.27,0.72,1,2025,16
4.0,9:06,2.0,10.0,CHI 35,20.0,17.0,Caleb Williams pass complete short middle to Rome Odunze for 12 yards (tackle by Josh Metellus),0.72,2.06,1,2025,16
4.0,8:27,1.0,10.0,CHI 47,20.0,17.0,Caleb Williams sacked by Javon Hargrave for 4 yards,2.06,0.98,1,2025,16
4.0,7:49,2.0,14.0,CHI 43,20.0,17.0,Caleb Williams pass incomplete deep right intended for Rome Odunze,0.98,0.3,1,2025,16
4.0,7:42,3.0,14.0,CHI 43,20.0,17.0,Caleb Williams pass incomplete short left intended for Cole Kmet,0.3,-0.52,1,2025,16
4.0,7:38,4.0,14.0,CHI 43,20.0,17.0,Tory Taylor punts 25 yards downed by Scott Daly,-0.52,-1.07,1,2025,16
4.0,7:24,1.0,10.0,MIN 32,20.0,17.0,Jordan Mason right guard for 19 yards (tackle by Nahshon Wright and Tremaine Edmunds),1.07,2.32,1,2025,16
4.0,6:43,1.0,10.0,CHI 49,20.0,17.0,Jordan Mason left tackle for no gain (tackle by Noah Sewell),2.32,1.78,1,2025,16
4.0,6:04,2.0,10.0,CHI 49,20.0,17.0,J.J. McCarthy pass complete short right to T.J. Hockenson for 9 yards (tackle by Tremaine Edmunds),1.78,2.28,1,2025,16
4.0,5:21,3.0,1.0,CHI 40,20.0,17.0,Aaron Jones left tackle for 2 yards (tackle by Jaquan Brisker),2.28,3.05,1,2025,16
4.0,4:37,1.0,10.0,CHI 38,20.0,17.0,Aaron Jones left end for 4 yards (tackle by Grady Jarrett and Ruben Hyppolite),3.05,3.05,1,2025,16
4.0,4:00,2.0,6.0,CHI 34,20.0,17.0,J.J. McCarthy pass complete short right to Aaron Jones for 11 yards (tackle by Noah Sewell),3.05,4.04,1,2025,16
4.0,3:52,1.0,10.0,CHI 23,20.0,17.0,Jordan Mason left tackle for -1 yards (tackle by Montez Sweat and Noah Sewell),4.04,3.36,1,2025,16
4.0,3:10,2.0,11.0,CHI 24,20.0,17.0,J.J. McCarthy pass complete short right to Justin Jefferson for 10 yards (tackle by Grady Jarrett),3.36,4.28,1,2025,16
4.0,2:59,,,,,,Timeout #2 by Chicago Bears,,,1,2025,16
4.0,2:59,3.0,1.0,CHI 14,26.0,17.0,"J.J. McCarthy right end for 14 yards, touchdown",4.28,7.0,1,2025,16
4.0,2:53,,,CHI 15,27.0,17.0,Will Reichard kicks extra point good,0.0,0.0,1,2025,16
4.0,2:53,,,MIN 35,27.0,17.0,"Will Reichard kicks off 65 yards, touchback.",0.0,1.27,1,2025,16
4.0,2:53,1.0,10.0,CHI 35,27.0,17.0,Caleb Williams pass complete deep middle to Cole Kmet for 31 yards (tackle by Jay Ward),1.27,3.31,1,2025,16
4.0,2:33,1.0,10.0,MIN 34,27.0,17.0,Caleb Williams pass incomplete deep left intended for D.J. Moore,3.31,2.77,1,2025,16
4.0,2:26,2.0,10.0,MIN 34,27.0,17.0,Caleb Williams pass incomplete short right intended for D'Andre Swift,2.77,2.08,1,2025,16
4.0,2:21,3.0,10.0,MIN 34,27.0,17.0,"Caleb Williams pass incomplete deep middle intended for Rome Odunze. Penalty on Byron Murphy: Illegal Contact, 5 yards (accepted) (no play)",2.08,3.64,1,2025,16
4.0,2:16,1.0,10.0,MIN 29,27.0,17.0,"Caleb Williams pass incomplete deep middle intended for D.J. Moore (defended by Isaiah Rodgers). Penalty on Ivan Pace: Roughing the Passer, 15 yards (accepted) (no play)",3.64,4.65,1,2025,16
4.0,2:12,1.0,10.0,MIN 14,27.0,17.0,"Caleb Williams scrambles right tackle for 14 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Caleb Williams scrambles right tackle for 13 yards. Penalty on Byron Murphy: Illegal Contact (accepted) (tackle by Theo Jackson)",4.65,6.97,1,2025,16
4.0,2:05,1.0,1.0,MIN 1,27.0,23.0,"Caleb Williams pass complete short middle to Rome Odunze for 1 yard, touchdown",6.97,7.0,1,2025,16
4.0,2:02,,,MIN 15,27.0,24.0,Cairo Santos kicks extra point good,0.0,0.0,1,2025,16
4.0,2:02,,,CHI 35,27.0,24.0,"Cairo Santos kicks off 72 yards, returned by Ty Chandler for 33 yards (tackle by Ruben Hyppolite)",0.0,0.67,1,2025,16
4.0,1:55,1.0,10.0,MIN 26,27.0,24.0,Jordan Mason right tackle for 3 yards (tackle by Kevin Byard),0.67,0.54,1,2025,16
4.0,1:47,,,,,,Timeout #3 by Chicago Bears,,,1,2025,16
4.0,1:47,2.0,7.0,MIN 29,27.0,24.0,Jordan Mason right tackle for 1 yard (tackle by Jaquan Brisker),0.54,-0.03,1,2025,16
4.0,1:02,,,,,,Timeout #1 by Minnesota Vikings,,,1,2025,16
4.0,1:02,3.0,6.0,MIN 30,27.0,24.0,Jordan Mason left guard for 1 yard (tackle by Gervon Dexter),-0.03,-1.31,1,2025,16
4.0,0:16,,,,,,Timeout #2 by Minnesota Vikings,,,1,2025,16
4.0,0:16,4.0,5.0,MIN 31,27.0,24.0,"Ryan Wright punts 49 yards, fair catch by Devin Duvernay at CHI-20",-1.31,-0.28,1,2025,16
