Quarter,Time,Down,ToGo,Location,BAL,BUF,Detail,EPB,EPA,week,year,game_id
2.0,0:31,,,BAL 35,20.0,10.0,"Tyler Loop kicks off 61 yards, returned by Ty Johnson for 23 yards (tackle by Rasheen Ali)",0.0,0.74,1,2025,15
2.0,0:25,1.0,10.0,BUF 27,20.0,10.0,Josh Allen pass complete deep left to Khalil Shakir for 26 yards (tackle by Jaire Alexander),0.74,2.46,1,2025,15
2.0,0:08,1.0,10.0,BAL 47,20.0,10.0,Josh Allen spiked the ball,2.46,1.91,1,2025,15
2.0,0:07,,,,,,Timeout #2 by Baltimore Ravens,,,1,2025,15
2.0,0:07,2.0,10.0,BAL 47,20.0,10.0,Josh Allen pass complete deep left to Dalton Kincaid for 22 yards (tackle by Marlon Humphrey),1.91,3.91,1,2025,15
2.0,0:01,1.0,10.0,BAL 25,20.0,13.0,Matt Prater 43 yard field goal good,3.91,3.0,1,2025,15
3.0,15:00,,,BUF 35,20.0,13.0,"Matt Prater kicks off 65 yards, touchback.",0.0,1.27,1,2025,15
3.0,15:00,1.0,10.0,BAL 35,20.0,13.0,Derrick Henry left tackle for 3 yards (tackle by Gregory Rousseau),1.27,1.13,1,2025,15
3.0,14:19,2.0,7.0,BAL 38,20.0,13.0,Lamar Jackson sacked by Matt Milano for no gain,1.13,0.43,1,2025,15
3.0,13:42,3.0,7.0,BAL 38,20.0,13.0,Lamar Jackson pass complete deep middle to Zay Flowers for 39 yards (tackle by Taylor Rapp),0.43,4.04,1,2025,15
3.0,12:54,1.0,10.0,BUF 23,26.0,13.0,"Lamar Jackson pass complete short left to Zay Flowers for 23 yards, touchdown",4.04,7.0,1,2025,15
3.0,12:48,,,BUF 15,27.0,13.0,Tyler Loop kicks extra point good,0.0,0.0,1,2025,15
3.0,12:48,,,BAL 35,27.0,13.0,"Tyler Loop kicks off 25 yards,. Penalty on Tyler Loop: Kickoff Short of Landing Zone (accepted)",0.0,1.6,1,2025,15
3.0,12:48,1.0,10.0,BUF 40,27.0,13.0,James Cook left tackle for 5 yards (tackle by Mike Green),1.6,1.73,1,2025,15
3.0,12:17,2.0,5.0,BUF 45,27.0,13.0,James Cook right guard for 3 yards (tackle by Nnamdi Madubuike),1.73,1.42,1,2025,15
3.0,11:35,3.0,2.0,BUF 48,27.0,13.0,Josh Allen scrambles up the middle for 5 yards (tackle by Teddye Buchanan),1.42,2.46,1,2025,15
3.0,10:58,1.0,10.0,BAL 47,27.0,13.0,James Cook up the middle for 11 yards (tackle by Malaki Starks),2.46,3.18,1,2025,15
3.0,10:12,1.0,10.0,BAL 36,27.0,13.0,Josh Allen pass incomplete short middle intended for Josh Palmer (defended by Kyle Hamilton),3.18,2.64,1,2025,15
3.0,10:03,2.0,10.0,BAL 36,27.0,13.0,Josh Allen pass complete short right to James Cook for 2 yards (tackle by Chidobe Awuzie),2.64,2.21,1,2025,15
3.0,9:21,3.0,8.0,BAL 34,27.0,13.0,Josh Allen pass complete short right to Elijah Moore for 3 yards (tackle by Roquan Smith),2.21,1.35,1,2025,15
3.0,8:40,4.0,5.0,BAL 31,27.0,13.0,"Josh Allen pass incomplete deep right intended for Josh Palmer. Penalty on Jaire Alexander: Defensive Pass Interference, 27 yards (accepted) (no play)",1.35,6.28,1,2025,15
3.0,8:35,1.0,4.0,BAL 4,27.0,13.0,Josh Allen right tackle for 2 yards (tackle by Roquan Smith),6.28,5.72,1,2025,15
3.0,7:51,2.0,2.0,BAL 2,27.0,19.0,"James Cook right guard for 2 yards, touchdown",5.72,7.0,1,2025,15
3.0,7:47,,,BAL 15,27.0,19.0,Matt Prater kicks extra point good (no play),0.0,1.0,1,2025,15
3.0,7:47,,,BAL 1,27.0,19.0,Two Point Attempt: Josh Allen pass incomplete intended for intended for Keon Coleman,1.0,-1.0,1,2025,15
3.0,7:47,,,BUF 35,27.0,19.0,"Matt Prater kicks off 58 yards, returned by Rasheen Ali for 26 yards (tackle by Shaq Thompson)",0.0,1.14,1,2025,15
3.0,7:41,1.0,10.0,BAL 33,27.0,19.0,Derrick Henry up the middle for 5 yards (tackle by Taron Johnson),1.14,1.27,1,2025,15
3.0,7:05,2.0,5.0,BAL 38,27.0,19.0,Derrick Henry left guard for -5 yards (tackle by Ed Oliver),1.27,-0.1,1,2025,15
3.0,6:32,3.0,10.0,BAL 33,27.0,19.0,Lamar Jackson pass incomplete deep right intended for Rashod Bateman,-0.1,-1.18,1,2025,15
3.0,6:25,4.0,10.0,BAL 33,27.0,19.0,"Jordan Stout punts 51 yards, returned by Brandon Codrington for no gain (tackle by Keyon Martin)",-1.18,0.14,1,2025,15
3.0,6:14,1.0,10.0,BUF 16,27.0,19.0,Josh Allen pass complete short right to James Cook for no gain (tackle by Kyle Hamilton),-0.14,-0.66,1,2025,15
3.0,5:34,2.0,10.0,BUF 16,27.0,19.0,"Josh Allen scrambles left end for no gain. Penalty on Spencer Brown: Offensive Holding, 8 yards (accepted) (tackle by Marlon Humphrey) (no play)",-0.66,-1.36,1,2025,15
3.0,5:10,2.0,18.0,BUF 8,27.0,19.0,Josh Allen pass complete short left to Khalil Shakir for 17 yards (tackle by Jaire Alexander and Kyle Hamilton),-1.36,-0.2,1,2025,15
3.0,4:32,3.0,1.0,BUF 25,27.0,19.0,Josh Allen up the middle for 2 yards (tackle by Nnamdi Madubuike),-0.2,0.74,1,2025,15
3.0,3:47,1.0,10.0,BUF 27,27.0,19.0,Ray Davis right tackle for 2 yards (tackle by Tavius Robinson),0.74,0.47,1,2025,15
3.0,3:08,2.0,8.0,BUF 29,27.0,19.0,Josh Allen pass incomplete deep right intended for Josh Palmer,0.47,-0.23,1,2025,15
3.0,3:00,3.0,8.0,BUF 29,27.0,19.0,Josh Allen pass incomplete deep right intended for Khalil Shakir (defended by Kyle Hamilton),-0.23,-1.44,1,2025,15
3.0,2:50,4.0,8.0,BUF 29,27.0,19.0,"Brad Robbins punts 39 yards, fair catch by LaJohntay Wester at BAL-32",-1.44,-1.07,1,2025,15
3.0,2:42,1.0,10.0,BAL 32,27.0,19.0,Lamar Jackson pass complete short right to Zay Flowers for 36 yards (tackle by Cole Bishop),1.07,3.45,1,2025,15
3.0,2:09,1.0,10.0,BUF 32,27.0,19.0,Derrick Henry right tackle for 3 yards (tackle by Dorian Williams),3.45,3.31,1,2025,15
3.0,1:14,2.0,7.0,BUF 29,33.0,19.0,"Lamar Jackson pass complete deep right to DeAndre Hopkins for 29 yards, touchdown",3.31,7.0,1,2025,15
3.0,1:09,,,BUF 15,34.0,19.0,Tyler Loop kicks extra point good,0.0,0.0,1,2025,15
3.0,1:09,,,BAL 35,34.0,19.0,"Tyler Loop kicks off 62 yards, returned by Brandon Codrington for 23 yards. Penalty on Dorian Williams: Offensive Holding, 10 yards (accepted) (tackle by T.J. Tampa)",0.0,-0.14,1,2025,15
3.0,1:02,1.0,10.0,BUF 16,34.0,19.0,James Cook up the middle for 4 yards (tackle by Tavius Robinson),-0.14,0.01,1,2025,15
3.0,0:27,2.0,6.0,BUF 20,34.0,19.0,Josh Allen pass complete short right to Josh Palmer for 8 yards (tackle by Nate Wiggins),0.01,0.81,1,2025,15
4.0,15:00,1.0,10.0,BUF 28,34.0,19.0,Josh Allen pass complete short left to Keon Coleman for 15 yards (tackle by Chidobe Awuzie and Malaki Starks),0.81,1.8,1,2025,15
4.0,14:38,1.0,10.0,BUF 43,34.0,19.0,Josh Allen pass complete short left to James Cook for 4 yards (tackle by Teddye Buchanan),1.8,1.79,1,2025,15
4.0,14:14,2.0,6.0,BUF 47,34.0,19.0,Josh Allen pass incomplete deep left intended for Keon Coleman,1.79,1.09,1,2025,15
4.0,14:06,3.0,6.0,BUF 47,34.0,19.0,Josh Allen pass complete short right to James Cook for 51 yards (tackle by Nate Wiggins),1.09,6.74,1,2025,15
4.0,13:30,1.0,2.0,BAL 2,34.0,19.0,Josh Allen left tackle for no gain (tackle by Roquan Smith and Malaki Starks),6.74,5.72,1,2025,15
4.0,12:56,2.0,2.0,BAL 2,34.0,25.0,"Josh Allen scrambles right end for 2 yards, touchdown",5.72,7.0,1,2025,15
4.0,12:51,,,BAL 2,34.0,25.0,"Two Point Attempt: Josh Allen pass incomplete. Interception by Kyle Hamilton, lateral to Kyle Van Noy for no gain",1.0,-1.0,1,2025,15
4.0,12:51,,,BUF 35,34.0,25.0,"Matt Prater kicks off 60 yards, returned by Rasheen Ali for 30 yards (tackle by Sam Franklin)",0.0,1.27,1,2025,15
4.0,12:45,1.0,10.0,BAL 35,34.0,25.0,Lamar Jackson pass incomplete deep right intended for Zay Flowers,1.27,0.72,1,2025,15
4.0,12:40,2.0,10.0,BAL 35,34.0,25.0,"Lamar Jackson pass complete short right to Justice Hill for 9 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Lamar Jackson pass incomplete short right intended for Justice Hill",0.72,0.04,1,2025,15
4.0,12:37,3.0,10.0,BAL 35,34.0,25.0,Lamar Jackson scrambles right tackle for 19 yards (tackle by Terrel Bernard),0.04,2.52,1,2025,15
4.0,11:50,1.0,10.0,BUF 46,40.0,25.0,"Derrick Henry left end for 46 yards, touchdown",2.52,7.0,1,2025,15
4.0,11:42,,,BUF 15,40.0,25.0,Tyler Loop kicks extra point no good,0.0,-1.0,1,2025,15
4.0,11:42,,,BAL 35,40.0,25.0,"Tyler Loop kicks off 62 yards, returned by Brandon Codrington for 25 yards (tackle by Teddye Buchanan)",0.0,0.81,1,2025,15
4.0,11:35,1.0,10.0,BUF 28,40.0,25.0,Josh Allen pass complete short right to Keon Coleman for 9 yards (tackle by Marlon Humphrey),0.81,1.48,1,2025,15
4.0,11:15,2.0,1.0,BUF 37,40.0,25.0,Josh Allen pass complete short middle to Khalil Shakir for 6 yards (tackle by Roquan Smith),1.48,1.8,1,2025,15
4.0,10:54,1.0,10.0,BUF 43,40.0,25.0,"Josh Allen pass short left is intercepted by Chidobe Awuzie at BAL-45 and returned for 2 yards Replay Assistant challenged the pass interception ruling, and the original play was overturned. Josh Allen pass incomplete short left intended for Josh Palmer (tackle by Josh Palmer)",1.8,1.25,1,2025,15
4.0,10:48,2.0,10.0,BUF 43,40.0,25.0,Josh Allen scrambles left end for 9 yards (tackle by Marlon Humphrey),1.25,1.75,1,2025,15
4.0,10:22,3.0,1.0,BAL 48,40.0,25.0,"Ray Davis left tackle for no gain. Penalty on Dion Dawkins: Offensive Holding, 10 yards (accepted) (tackle by Jaire Alexander) (no play)",1.75,0.43,1,2025,15
4.0,10:06,3.0,11.0,BUF 42,40.0,25.0,Josh Allen sacked by Nnamdi Madubuike for 5 yards,0.43,-0.91,1,2025,15
4.0,9:32,4.0,16.0,BUF 37,40.0,25.0,Brad Robbins punts 28 yards downed by Reid Ferguson,-0.91,-1.27,1,2025,15
4.0,9:18,1.0,10.0,BAL 35,40.0,25.0,Derrick Henry right tackle for 3 yards (tackle by Matt Milano),1.27,1.13,1,2025,15
4.0,8:44,2.0,7.0,BAL 38,40.0,25.0,Derrick Henry left tackle for -1 yards (tackle by DaQuan Jones),1.13,0.3,1,2025,15
4.0,7:57,3.0,8.0,BAL 37,40.0,25.0,"Penalty on Tylan Wallace: False Start, 5 yards (accepted) (no play)",0.3,-0.36,1,2025,15
4.0,7:57,3.0,13.0,BAL 32,40.0,25.0,"Lamar Jackson pass complete short middle to Zay Flowers for 9 yards. Penalty on Zay Flowers: Illegal Motion, 5 yards (declined) (tackle by Taron Johnson)",-0.36,-0.65,1,2025,15
4.0,7:23,4.0,4.0,BAL 41,40.0,25.0,"Jordan Stout punts 59 yards, touchback.",-0.65,-0.28,1,2025,15
4.0,7:16,1.0,10.0,BUF 20,40.0,25.0,Josh Allen pass complete deep left to Keon Coleman for 21 yards (tackle by Malaki Starks),0.28,1.66,1,2025,15
4.0,6:55,1.0,10.0,BUF 41,40.0,25.0,Josh Allen scrambles left tackle for 6 yards (tackle by Kyle Van Noy),1.66,1.93,1,2025,15
4.0,6:22,2.0,4.0,BUF 47,40.0,25.0,Josh Allen pass complete short middle to Josh Palmer for 9 yards (tackle by Roquan Smith),1.93,2.65,1,2025,15
4.0,5:59,1.0,10.0,BAL 44,40.0,25.0,Josh Allen pass incomplete short left intended for Khalil Shakir (defended by Aeneas Peebles),2.65,2.11,1,2025,15
4.0,5:52,2.0,10.0,BAL 44,40.0,25.0,Josh Allen pass complete short middle to Keon Coleman for 7 yards (tackle by Marlon Humphrey),2.11,2.35,1,2025,15
4.0,5:08,3.0,3.0,BAL 37,40.0,25.0,"Josh Allen pass incomplete short left intended for Keon Coleman. Penalty on Nate Wiggins: Defensive Pass Interference, 8 yards (accepted) (no play)",2.35,3.64,1,2025,15
4.0,5:04,1.0,10.0,BAL 29,40.0,25.0,Josh Allen pass complete short left to Dalton Kincaid for 11 yards (tackle by Chidobe Awuzie),3.64,4.37,1,2025,15
4.0,4:59,1.0,10.0,BAL 18,40.0,25.0,Josh Allen pass incomplete deep right intended for Josh Palmer,4.37,3.8,1,2025,15
4.0,4:53,2.0,10.0,BAL 18,40.0,25.0,Josh Allen pass incomplete deep left intended for Ty Johnson,3.8,3.05,1,2025,15
4.0,4:48,3.0,10.0,BAL 18,40.0,25.0,Josh Allen pass complete short right to Josh Palmer for 8 yards (tackle by Nate Wiggins),3.05,2.89,1,2025,15
4.0,4:05,4.0,2.0,BAL 10,40.0,31.0,"Josh Allen pass complete short right to Keon Coleman for 10 yards, touchdown",2.89,7.0,1,2025,15
4.0,3:56,,,BAL 15,40.0,32.0,Matt Prater kicks extra point good,0.0,0.0,1,2025,15
4.0,3:56,,,BUF 35,40.0,32.0,"Matt Prater kicks off 61 yards, returned by Rasheen Ali for 24 yards (tackle by Dorian Williams)",0.0,0.81,1,2025,15
4.0,3:50,1.0,10.0,BAL 28,40.0,32.0,Lamar Jackson left tackle for 13 yards (tackle by Cole Bishop),0.81,1.66,1,2025,15
4.0,3:10,1.0,10.0,BAL 41,40.0,32.0,"Derrick Henry left tackle for -9 yards. Derrick Henry fumbles (forced by Ed Oliver), recovered by Terrel Bernard at BAL-30",1.66,-3.58,1,2025,15
4.0,3:06,1.0,10.0,BAL 30,40.0,32.0,Josh Allen pass complete deep middle to Jackson Hawes for 29 yards (tackle by Nate Wiggins),3.58,6.97,1,2025,15
4.0,2:46,1.0,1.0,BAL 1,40.0,32.0,Josh Allen up the middle for no gain (tackle by Kyle Van Noy and Nnamdi Madubuike),6.97,5.91,1,2025,15
4.0,2:09,2.0,1.0,BAL 1,40.0,32.0,James Cook left guard for no gain (tackle by Travis Jones),5.91,5.17,1,2025,15
4.0,2:00,3.0,1.0,BAL 1,40.0,38.0,"Josh Allen up the middle for 1 yard, touchdown",5.17,7.0,1,2025,15
4.0,1:58,,,BAL 2,40.0,38.0,Two Point Attempt: Josh Allen pass incomplete intended for intended for Keon Coleman,1.0,-1.0,1,2025,15
4.0,1:58,,,BUF 35,40.0,38.0,"Matt Prater kicks off 58 yards, returned by Rasheen Ali for 24 yards (tackle by Dorian Williams)",0.0,1.0,1,2025,15
4.0,1:51,1.0,10.0,BAL 31,40.0,38.0,Derrick Henry left tackle for 1 yard (tackle by Gregory Rousseau),1.0,0.6,1,2025,15
4.0,1:45,,,,,,Timeout #1 by Buffalo Bills,,,1,2025,15
4.0,1:45,2.0,9.0,BAL 32,40.0,38.0,Zay Flowers right end for no gain (tackle by Matt Milano),0.6,-0.1,1,2025,15
4.0,1:40,,,,,,Timeout #2 by Buffalo Bills,,,1,2025,15
4.0,1:40,3.0,9.0,BAL 32,40.0,38.0,Lamar Jackson pass complete short left to DeAndre Hopkins for 6 yards (tackle by Christian Benford),-0.1,-0.85,1,2025,15
4.0,1:33,,,,,,Timeout #3 by Buffalo Bills,,,1,2025,15
4.0,1:33,4.0,3.0,BAL 38,40.0,38.0,Jordan Stout punts 42 yards out of bounds,-0.85,-0.28,1,2025,15
4.0,1:26,1.0,10.0,BUF 20,40.0,38.0,Josh Allen pass complete short middle to Khalil Shakir for 6 yards (tackle by Roquan Smith),0.28,0.54,1,2025,15
