Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA,week,year,game_id
1.0,3:04,1.0,10.0,DET 31,0.0,3.0,Rhamondre Stevenson up the middle for 2 yards (tackle by Isaiah Buggs and DeShon Elliott),3.51,3.24,5.0,2022,71
1.0,2:23,2.0,8.0,DET 29,0.0,3.0,"Penalty on Kendrick Bourne: False Start, 6 yards (accepted) (no play)",3.24,2.5,5.0,2022,71
1.0,2:02,2.0,13.0,DET 35,0.0,3.0,Bailey Zappe pass complete short left to Jakobi Meyers for 10 yards (tackle by AJ Parker),2.5,3.07,5.0,2022,71
1.0,1:27,3.0,4.0,DET 25,0.0,3.0,Rhamondre Stevenson left end for 4 yards (tackle by Alex Anzalone),3.07,4.17,5.0,2022,71
1.0,0:48,1.0,10.0,DET 21,0.0,3.0,Damien Harris left guard for 9 yards (tackle by DeShon Elliott),4.17,5.16,5.0,2022,71
1.0,0:10,2.0,1.0,DET 12,0.0,3.0,Damien Harris left guard for no gain (tackle by Benito Jones),5.16,4.49,5.0,2022,71
2.0,15:00,3.0,1.0,DET 12,0.0,3.0,Rhamondre Stevenson up the middle for -2 yards (tackle by Alim McNeill and Kerby Joseph),4.49,2.61,5.0,2022,71
2.0,14:19,4.0,3.0,DET 14,0.0,6.0,Nick Folk 32 yard field goal good,2.61,3.0,5.0,2022,71
2.0,14:14,,,NWE 35,0.0,6.0,"Jake Bailey kicks off 65 yards, returned by Maurice Alexander for 47 yards (tackle by Jake Bailey)",0.0,2.06,5.0,2022,71
2.0,14:05,1.0,10.0,DET 47,0.0,6.0,"Jamaal Williams right tackle for 4 yards (tackle by Deatrich Wise). Penalty on Davon Godchaux: Defensive Holding, 5 yards (accepted)",2.06,2.65,5.0,2022,71
2.0,13:42,1.0,10.0,NWE 44,0.0,6.0,Jamaal Williams right tackle for 5 yards (tackle by Jahlani Tavai),2.65,2.85,5.0,2022,71
2.0,13:09,2.0,4.0,NWE 39,0.0,6.0,Jamaal Williams right tackle for 4 yards (tackle by Deatrich Wise and Ja'Whaun Bentley),2.85,2.61,5.0,2022,71
2.0,12:31,3.0,1.0,NWE 35,0.0,6.0,Jamaal Williams right guard for 1 yard (tackle by Sam Roberts and Kyle Dugger),2.61,3.31,5.0,2022,71
2.0,11:55,1.0,10.0,NWE 34,0.0,6.0,Jared Goff pass incomplete deep left intended for T.J. Hockenson,3.31,2.77,5.0,2022,71
2.0,11:49,2.0,10.0,NWE 34,0.0,6.0,Craig Reynolds up the middle for 3 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),2.77,2.48,5.0,2022,71
2.0,11:07,3.0,7.0,NWE 31,0.0,6.0,Jared Goff sacked by Matt Judon for -9 yards,2.48,0.59,5.0,2022,71
2.0,10:23,4.0,16.0,NWE 40,0.0,6.0,"Penalty on Scott Daly: False Start, 5 yards (accepted) (no play)",0.59,0.27,5.0,2022,71
2.0,10:15,4.0,21.0,NWE 45,0.0,6.0,Jack Fox punts 32 yards downed by Chris Board,0.27,0.32,5.0,2022,71
2.0,10:03,1.0,10.0,NWE 13,0.0,6.0,Bailey Zappe pass complete short left to Jakobi Meyers for 17 yards (tackle by Derrick Barnes),-0.32,0.94,5.0,2022,71
2.0,9:21,1.0,10.0,NWE 30,0.0,6.0,Bailey Zappe scrambles right end for 5 yards (tackle by DeShon Elliott),0.94,1.07,5.0,2022,71
2.0,8:38,2.0,5.0,NWE 35,0.0,6.0,"Bailey Zappe sacked by Isaiah Buggs for no gain. Penalty on Derrick Barnes: Illegal Contact, 5 yards (accepted) (no play)",1.07,1.6,5.0,2022,71
2.0,8:00,1.0,10.0,NWE 40,0.0,6.0,"Bailey Zappe aborted snap, recovered by Rhamondre Stevenson at NE-36 Rhamondre Stevenson for no gain (tackle by DeShon Elliott). Penalty on Kendrick Bourne: Illegal Formation, 5 yards (declined)",1.6,0.51,5.0,2022,71
2.0,7:40,2.0,14.0,NWE 36,0.0,6.0,Bailey Zappe pass short middle intended for Nelson Agholor is intercepted by DeShon Elliott at 50 and returned for no gain (tackle by Rhamondre Stevenson),0.51,-2.26,5.0,2022,71
2.0,7:32,1.0,10.0,NWE 50,0.0,6.0,Craig Reynolds left guard for 4 yards (tackle by Raekwon McMillan),2.26,2.25,5.0,2022,71
2.0,6:59,2.0,6.0,NWE 46,0.0,6.0,"Jamaal Williams right tackle for 3 yards (tackle by Raekwon McMillan and Adrian Phillips). Penalty on T.J. Hockenson: Offensive Holding, 10 yards (accepted)",2.25,1.31,5.0,2022,71
2.0,6:35,2.0,13.0,DET 47,0.0,6.0,Jared Goff pass incomplete short right intended for Josh Reynolds,1.31,0.63,5.0,2022,71
2.0,6:30,3.0,13.0,DET 47,0.0,6.0,Jared Goff pass complete deep right to Kalif Raymond for 20 yards (tackle by Devin McCourty),0.63,3.38,5.0,2022,71
2.0,5:53,1.0,10.0,NWE 33,0.0,6.0,Jamaal Williams up the middle for 3 yards (tackle by Christian Barmore and Davon Godchaux),3.38,3.24,5.0,2022,71
2.0,5:17,2.0,7.0,NWE 30,0.0,6.0,Jamaal Williams right tackle for 5 yards (tackle by Deatrich Wise),3.24,3.2,5.0,2022,71
2.0,4:27,,,,,,Timeout #1 by Detroit Lions,,,5.0,2022,71
2.0,4:27,3.0,2.0,NWE 25,0.0,6.0,Craig Reynolds right end for -7 yards (tackle by Adrian Phillips),3.2,1.24,5.0,2022,71
2.0,3:40,4.0,9.0,NWE 32,0.0,12.0,"Jared Goff sacked by Matt Judon for -9 yards. Jared Goff fumbles (forced by Matt Judon), recovered by Kyle Dugger at NE-41 and returned for 59 yards, touchdown",1.24,-7.0,5.0,2022,71
2.0,3:26,,,DET 15,0.0,13.0,Nick Folk kicks extra point good,0.0,0.0,5.0,2022,71
2.0,3:26,,,NWE 35,0.0,13.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,71
2.0,3:26,1.0,10.0,DET 25,0.0,13.0,Jamaal Williams right end for 2 yards (tackle by Jahlani Tavai and Adrian Phillips),0.61,0.33,5.0,2022,71
2.0,2:48,2.0,8.0,DET 27,0.0,13.0,Jamaal Williams up the middle for 3 yards (tackle by Davon Godchaux and Jahlani Tavai),0.33,0.04,5.0,2022,71
2.0,2:04,3.0,5.0,DET 30,0.0,13.0,Jared Goff pass incomplete short left,0.04,-1.37,5.0,2022,71
2.0,1:56,4.0,5.0,DET 30,0.0,13.0,"Jack Fox punts 56 yards, returned by Marcus Jones for 12 yards (tackle by Malcolm Rodriguez). Penalty on Josh Uche: Unnecessary Roughness / Offense, 13 yards (accepted)",-1.37,0.32,5.0,2022,71
2.0,1:46,1.0,10.0,NWE 13,0.0,13.0,Bailey Zappe pass complete short right to Jakobi Meyers for 15 yards (tackle by DeShon Elliott),-0.32,0.81,5.0,2022,71
2.0,1:38,1.0,10.0,NWE 28,0.0,13.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Isaiah Buggs),0.81,0.67,5.0,2022,71
2.0,1:14,2.0,7.0,NWE 31,0.0,13.0,Bailey Zappe pass complete short right to Hunter Henry for 8 yards (tackle by Mike Hughes),0.67,1.53,5.0,2022,71
2.0,0:52,1.0,10.0,NWE 39,0.0,13.0,"Bailey Zappe pass incomplete deep left intended for DeVante Parker. Penalty on Jeff Okudah: Defensive Pass Interference, 22 yards (accepted) (no play)",1.53,2.98,5.0,2022,71
2.0,0:47,1.0,10.0,DET 39,0.0,13.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for 15 yards (tackle by DeShon Elliott),2.98,3.97,5.0,2022,71
2.0,0:36,,,,,,Timeout #1 by New England Patriots,,,5.0,2022,71
2.0,0:36,1.0,10.0,DET 24,0.0,13.0,"Bailey Zappe pass complete short right to Rhamondre Stevenson for no gain (tackle by Mike Hughes and AJ Parker). Penalty on Isaiah Wynn: Offensive Holding, 10 yards (accepted) (no play)",3.97,3.31,5.0,2022,71
2.0,0:27,,,,,,Timeout #2 by New England Patriots,,,5.0,2022,71
2.0,0:27,1.0,20.0,DET 34,0.0,13.0,Rhamondre Stevenson up the middle for 8 yards (tackle by Julian Okwara and Alex Anzalone),3.31,3.16,5.0,2022,71
2.0,0:05,,,,,,Timeout #3 by New England Patriots,,,5.0,2022,71
2.0,0:05,2.0,12.0,DET 26,0.0,16.0,Nick Folk 44 yard field goal good,3.16,3.0,5.0,2022,71
3.0,15:00,,,DET 35,0.0,16.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,71
3.0,15:00,1.0,10.0,NWE 25,0.0,16.0,Bailey Zappe pass incomplete deep right intended for Jakobi Meyers,0.61,0.06,5.0,2022,71
3.0,14:55,2.0,10.0,NWE 25,0.0,16.0,Rhamondre Stevenson up the middle for 11 yards (tackle by DeShon Elliott),0.06,1.33,5.0,2022,71
3.0,14:21,1.0,10.0,NWE 36,0.0,16.0,Rhamondre Stevenson left tackle for -1 yards (tackle by DeShon Elliott),1.33,0.66,5.0,2022,71
3.0,13:42,2.0,11.0,NWE 35,0.0,16.0,"Bailey Zappe pass incomplete deep left intended for DeVante Parker. Penalty on Jeff Okudah: Defensive Pass Interference, 25 yards (accepted) (no play)",0.66,2.92,5.0,2022,71
3.0,13:35,1.0,10.0,DET 40,0.0,16.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Isaiah Buggs and Austin Bryant),2.92,2.91,5.0,2022,71
3.0,13:00,2.0,6.0,DET 36,0.0,16.0,Bailey Zappe pass complete short right to Hunter Henry for 17 yards (tackle by AJ Parker and Mike Hughes),2.91,4.31,5.0,2022,71
3.0,12:22,1.0,10.0,DET 19,0.0,16.0,Rhamondre Stevenson up the middle for no gain (tackle by Austin Bryant),4.31,3.75,5.0,2022,71
3.0,11:45,2.0,10.0,DET 19,0.0,16.0,Bailey Zappe pass complete short right to Rhamondre Stevenson for -1 yards (tackle by Malcolm Rodriguez and Alex Anzalone),3.75,2.94,5.0,2022,71
3.0,10:54,3.0,11.0,DET 20,0.0,16.0,Bailey Zappe pass complete short left to Kendrick Bourne for 1 yard (tackle by Mike Hughes),2.94,2.18,5.0,2022,71
3.0,10:13,4.0,10.0,DET 19,0.0,19.0,Nick Folk 37 yard field goal good,2.18,3.0,5.0,2022,71
3.0,10:09,,,NWE 35,0.0,19.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,71
3.0,10:09,1.0,10.0,DET 25,0.0,19.0,Jared Goff pass complete short left to Josh Reynolds for 8 yards (tackle by Jabrill Peppers),0.61,1.14,5.0,2022,71
3.0,9:35,2.0,2.0,DET 33,0.0,19.0,Craig Reynolds right guard for 2 yards (tackle by Anfernee Jennings),1.14,1.27,5.0,2022,71
3.0,8:53,1.0,10.0,DET 35,0.0,19.0,Jamaal Williams right tackle for 13 yards (tackle by Jonathan Jones),1.27,2.13,5.0,2022,71
3.0,8:32,1.0,10.0,DET 48,0.0,19.0,Jared Goff pass complete short middle to Kalif Raymond for 10 yards (tackle by Jalen Mills),2.13,2.79,5.0,2022,71
3.0,7:54,1.0,10.0,NWE 42,0.0,19.0,Craig Reynolds left tackle for 3 yards (tackle by Anfernee Jennings),2.79,2.65,5.0,2022,71
3.0,7:20,2.0,7.0,NWE 39,0.0,19.0,Jamaal Williams left tackle for 5 yards (tackle by Anfernee Jennings and Davon Godchaux),2.65,2.61,5.0,2022,71
3.0,6:45,3.0,2.0,NWE 34,0.0,19.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,2.61,1.1,5.0,2022,71
3.0,6:41,4.0,2.0,NWE 34,0.0,19.0,Jared Goff pass complete short right to Amon-Ra St. Brown for no gain (tackle by Jonathan Jones),1.1,-1.2,5.0,2022,71
3.0,6:34,1.0,10.0,NWE 34,0.0,19.0,Bailey Zappe pass complete short right to Tyquan Thornton for 2 yards (tackle by Aidan Hutchinson),1.2,0.93,5.0,2022,71
3.0,5:55,2.0,8.0,NWE 36,0.0,19.0,Bailey Zappe pass complete short left to Tyquan Thornton for 5 yards (tackle by Mike Hughes),0.93,0.89,5.0,2022,71
3.0,5:09,3.0,3.0,NWE 41,0.0,19.0,Bailey Zappe pass complete short right to Hunter Henry for 6 yards (tackle by DeShon Elliott),0.89,2.06,5.0,2022,71
3.0,4:45,1.0,10.0,NWE 47,0.0,19.0,Rhamondre Stevenson left tackle for no gain (tackle by Austin Bryant),2.06,1.52,5.0,2022,71
3.0,4:08,2.0,10.0,NWE 47,0.0,19.0,Bailey Zappe pass complete short middle to Jakobi Meyers for 10 yards (tackle by Ifeatu Melifonwu and AJ Parker),1.52,2.72,5.0,2022,71
3.0,3:16,1.0,10.0,DET 43,0.0,19.0,Rhamondre Stevenson up the middle for 8 yards (tackle by Bobby Price),2.72,3.26,5.0,2022,71
3.0,2:41,2.0,2.0,DET 35,0.0,19.0,Rhamondre Stevenson right end for 11 yards (tackle by Chase Lucas),3.26,3.97,5.0,2022,71
3.0,1:57,1.0,10.0,DET 24,0.0,25.0,"Bailey Zappe pass complete deep right to Jakobi Meyers for 24 yards, touchdown",3.97,7.0,5.0,2022,71
3.0,1:51,,,DET 15,0.0,26.0,Nick Folk kicks extra point good,0.0,0.0,5.0,2022,71
3.0,1:51,,,NWE 35,0.0,26.0,"Jake Bailey kicks off 62 yards, returned by Maurice Alexander for 20 yards (tackle by Mack Wilson)",0.0,0.48,5.0,2022,71
3.0,1:44,1.0,10.0,DET 23,0.0,26.0,Jared Goff pass complete short left to Josh Reynolds for 17 yards (tackle by Jack Jones),0.48,1.6,5.0,2022,71
3.0,1:06,1.0,10.0,DET 40,0.0,26.0,Jared Goff pass complete short left to Craig Reynolds for 36 yards (tackle by Devin McCourty),1.6,3.97,5.0,2022,71
3.0,0:28,1.0,10.0,NWE 24,0.0,26.0,Jared Goff pass incomplete short right,3.97,3.43,5.0,2022,71
3.0,0:21,2.0,10.0,NWE 24,0.0,26.0,Jared Goff pass incomplete short left intended for Kalif Raymond,3.43,2.74,5.0,2022,71
3.0,0:18,3.0,10.0,NWE 24,0.0,26.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Marcus Jones),2.74,4.71,5.0,2022,71
4.0,15:00,1.0,10.0,NWE 13,0.0,26.0,"Jared Goff pass complete to Tom Kennedy for no gain, touchdown. Penalty on Justin Jackson: Offensive Pass Interference, 10 yards (accepted) (no play)",4.71,4.04,5.0,2022,71
4.0,14:52,1.0,20.0,NWE 23,0.0,26.0,Jared Goff pass complete short right to Josh Reynolds for 6 yards (tackle by Jalen Mills and Kyle Dugger),4.04,3.5,5.0,2022,71
4.0,14:10,2.0,14.0,NWE 17,0.0,26.0,Jared Goff pass incomplete short left,3.5,2.88,5.0,2022,71
4.0,14:03,3.0,14.0,NWE 17,0.0,26.0,"Jared Goff pass incomplete short right. Penalty on Mack Wilson: Roughing the Passer, 9 yards (accepted) (no play)",2.88,5.37,5.0,2022,71
4.0,13:57,1.0,8.0,NWE 8,0.0,26.0,Jared Goff pass incomplete short middle intended for T.J. Hockenson,5.37,4.57,5.0,2022,71
4.0,13:53,2.0,8.0,NWE 8,0.0,26.0,Jared Goff pass complete short middle to Kalif Raymond for 3 yards (tackle by Daniel Ekuale and Ja'Whaun Bentley),4.57,4.26,5.0,2022,71
4.0,13:22,,,,,,Timeout #1 by New England Patriots,,,5.0,2022,71
4.0,13:22,3.0,5.0,NWE 5,0.0,26.0,Jared Goff pass incomplete short left intended for Josh Reynolds,4.26,3.01,5.0,2022,71
4.0,13:17,4.0,5.0,NWE 5,0.0,26.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Myles Bryant),3.01,0.38,5.0,2022,71
4.0,13:12,1.0,10.0,NWE 6,0.0,26.0,"Penalty on Lil'Jordan Humphrey: False Start, 3 yards (accepted) (no play)",-0.38,-0.49,5.0,2022,71
4.0,13:12,1.0,13.0,NWE 3,0.0,26.0,"Rhamondre Stevenson up the middle for 1 yard (tackle by Aidan Hutchinson). Penalty on Isaiah Buggs: Illegal Use of Hands / Defense, 5 yards (accepted)",-0.49,-0.38,5.0,2022,71
4.0,12:45,1.0,10.0,NWE 9,0.0,26.0,Bailey Zappe pass incomplete deep left intended for Tyquan Thornton,-0.38,-0.78,5.0,2022,71
4.0,12:39,2.0,10.0,NWE 9,0.0,26.0,Rhamondre Stevenson left tackle for 7 yards (tackle by Alex Anzalone and Jeff Okudah),-0.78,-0.6,5.0,2022,71
4.0,11:59,3.0,3.0,NWE 16,0.0,26.0,Rhamondre Stevenson left end for -2 yards (tackle by DeShon Elliott),-0.6,-2.47,5.0,2022,71
4.0,11:24,4.0,5.0,NWE 14,0.0,26.0,"Jake Bailey punts 61 yards, returned by Kalif Raymond for 10 yards (tackle by Cody Davis)",-2.47,-1.27,5.0,2022,71
4.0,11:13,1.0,10.0,DET 35,0.0,26.0,Jared Goff pass incomplete deep left intended for Justin Jackson,1.27,0.72,5.0,2022,71
4.0,11:07,2.0,10.0,DET 35,0.0,26.0,Jared Goff pass complete short right to Craig Reynolds for 25 yards (tackle by Josh Uche),0.72,2.92,5.0,2022,71
4.0,10:32,1.0,10.0,NWE 40,0.0,26.0,Jared Goff pass incomplete short right,2.92,2.37,5.0,2022,71
4.0,10:24,2.0,10.0,NWE 40,0.0,26.0,Jared Goff pass complete short middle to Craig Reynolds for 7 yards (tackle by Jahlani Tavai),2.37,2.68,5.0,2022,71
4.0,10:05,3.0,2.0,NWE 33,0.0,26.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 2 yards (tackle by Myles Bryant),2.68,1.41,5.0,2022,71
4.0,9:25,4.0,1.0,NWE 31,0.0,26.0,Justin Jackson up the middle for -1 yards (tackle by Raekwon McMillan),1.41,-1.07,5.0,2022,71
4.0,9:20,1.0,10.0,NWE 32,0.0,26.0,Rhamondre Stevenson up the middle for 2 yards (tackle by Alex Anzalone and Bobby Price),1.07,0.8,5.0,2022,71
4.0,8:38,2.0,8.0,NWE 34,0.0,26.0,Bailey Zappe pass complete short right to Jakobi Meyers for 23 yards (tackle by Bobby Price),0.8,2.72,5.0,2022,71
4.0,7:53,1.0,10.0,DET 43,0.0,26.0,Rhamondre Stevenson right end for 26 yards (tackle by DeShon Elliott),2.72,4.44,5.0,2022,71
4.0,7:11,1.0,10.0,DET 17,0.0,26.0,Kendrick Bourne right end for -1 yards (tackle by Austin Bryant),4.44,3.72,5.0,2022,71
4.0,6:28,,,,,,Timeout #2 by New England Patriots,,,5.0,2022,71
4.0,6:28,2.0,11.0,DET 18,0.0,26.0,Rhamondre Stevenson left tackle for 2 yards (tackle by Austin Bryant),3.72,3.19,5.0,2022,71
4.0,5:50,3.0,9.0,DET 16,0.0,26.0,Bailey Zappe right end for 5 yards (tackle by AJ Parker),3.19,2.77,5.0,2022,71
4.0,5:05,4.0,4.0,DET 11,0.0,29.0,Nick Folk 29 yard field goal good,2.77,3.0,5.0,2022,71
4.0,5:01,,,NWE 35,0.0,29.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,71
4.0,5:01,1.0,10.0,DET 25,0.0,29.0,Jared Goff pass complete short right to Kalif Raymond for 12 yards (tackle by Jack Jones),0.61,1.4,5.0,2022,71
4.0,4:54,1.0,10.0,DET 37,0.0,29.0,Jared Goff pass complete short middle to Josh Reynolds for 8 yards (tackle by Marcus Jones and Jahlani Tavai),1.4,1.87,5.0,2022,71
4.0,4:33,2.0,3.0,DET 45,0.0,29.0,Jared Goff pass complete deep left to Josh Reynolds for 31 yards (tackle by Jalen Mills),1.87,3.97,5.0,2022,71
4.0,3:43,1.0,10.0,NWE 24,0.0,29.0,Jared Goff pass incomplete deep middle intended for Kalif Raymond,3.97,3.43,5.0,2022,71
4.0,3:37,2.0,10.0,NWE 24,0.0,29.0,Jared Goff pass complete to T.J. Hockenson for 6 yards (tackle by Adrian Phillips and Jabrill Peppers),3.43,3.57,5.0,2022,71
4.0,3:16,3.0,4.0,NWE 18,0.0,29.0,Jared Goff pass incomplete short right intended for Josh Reynolds,3.57,2.32,5.0,2022,71
4.0,3:10,4.0,4.0,NWE 18,0.0,29.0,Jared Goff pass incomplete deep left intended for Josh Reynolds (defended by Jack Jones),2.32,-0.04,5.0,2022,71
4.0,3:02,1.0,10.0,NWE 18,0.0,29.0,Rhamondre Stevenson right guard for 7 yards (tackle by Malcolm Rodriguez and DeShon Elliott),0.04,0.55,5.0,2022,71
4.0,2:55,,,,,,Timeout #1 by Detroit Lions,,,5.0,2022,71
4.0,2:55,2.0,3.0,NWE 25,0.0,29.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Isaiah Buggs),0.55,0.87,5.0,2022,71
4.0,2:45,,,,,,Timeout #2 by Detroit Lions,,,5.0,2022,71
4.0,2:45,1.0,10.0,NWE 29,0.0,29.0,Rhamondre Stevenson right guard for 11 yards (tackle by Malcolm Rodriguez),0.87,1.6,5.0,2022,71
4.0,2:37,,,,,,Timeout #3 by Detroit Lions,,,5.0,2022,71
4.0,2:37,1.0,10.0,NWE 40,0.0,29.0,Rhamondre Stevenson left tackle for 1 yard (tackle by Derrick Barnes),1.6,1.19,5.0,2022,71
4.0,2:00,2.0,9.0,NWE 41,0.0,29.0,Bailey Zappe kneels for -3 yards,1.19,0.1,5.0,2022,71
4.0,1:17,3.0,12.0,NWE 38,0.0,29.0,Bailey Zappe kneels for -2 yards,0.1,-0.98,5.0,2022,71
4.0,0:35,4.0,14.0,NWE 36,0.0,29.0,"Jake Bailey punts 40 yards, returned by Kalif Raymond for 6 yards (tackle by Kyle Dugger and Cody Davis)",-0.98,-0.94,5.0,2022,71
4.0,0:22,1.0,10.0,DET 30,0.0,29.0,Jared Goff kneels for -1 yards,0.94,0.26,5.0,2022,71
