Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA,week,year,game_id
1.0,9:23,1.0,10.0,CLE 36,0.0,7.0,Justin Herbert pass incomplete short right intended for Tre' McKitty (defended by Perrion Winfrey),3.18,2.64,5.0,2022,70
1.0,9:19,2.0,10.0,CLE 36,0.0,7.0,Justin Herbert pass complete short left to Josh Palmer for 8 yards (tackle by John Johnson),2.64,3.01,5.0,2022,70
1.0,9:00,3.0,2.0,CLE 28,0.0,7.0,Justin Herbert pass incomplete short right intended for Josh Palmer,3.01,1.7,5.0,2022,70
1.0,8:56,4.0,2.0,CLE 28,0.0,7.0,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Denzel Ward),1.7,-0.81,5.0,2022,70
1.0,8:52,1.0,10.0,CLE 28,0.0,7.0,Jacoby Brissett pass complete deep left to Amari Cooper for 20 yards (tackle by Asante Samuel),0.81,2.13,5.0,2022,70
1.0,8:16,1.0,10.0,CLE 48,0.0,7.0,Kareem Hunt right tackle for 2 yards (tackle by Morgan Fox),2.13,1.85,5.0,2022,70
1.0,7:36,2.0,8.0,LAC 50,0.0,7.0,Kareem Hunt right guard for 17 yards (tackle by Alohi Gilman),1.85,3.38,5.0,2022,70
1.0,6:54,1.0,10.0,LAC 33,0.0,7.0,Kareem Hunt left guard for 4 yards (tackle by Christian Covington),3.38,3.24,5.0,2022,70
1.0,6:40,2.0,7.0,LAC 30,0.0,7.0,"Penalty on Kenneth Murray: Unsportsmanlike Conduct / Defense, 15 yards (offset) Penalty on Jedrick Wills: Unsportsmanlike Conduct / Offense, 15 yards (offset) (no play)",3.24,3.38,5.0,2022,70
1.0,6:30,2.0,6.0,LAC 29,0.0,7.0,Jacoby Brissett pass complete short right to Amari Cooper for 6 yards (tackle by Asante Samuel),3.38,4.04,5.0,2022,70
1.0,5:54,1.0,10.0,LAC 23,0.0,7.0,Kareem Hunt left tackle for 3 yards (tackle by Derwin James and Sebastian Joseph-Day),4.04,3.9,5.0,2022,70
1.0,5:12,2.0,7.0,LAC 20,0.0,7.0,Jacoby Brissett pass complete short left to Kareem Hunt for 6 yards (tackle by Chris Rumph),3.9,4.05,5.0,2022,70
1.0,4:46,3.0,2.0,LAC 15,0.0,7.0,Jacoby Brissett up the middle for 3 yards (tackle by Austin Johnson),4.05,4.84,5.0,2022,70
1.0,4:06,1.0,10.0,LAC 11,0.0,13.0,"Jacoby Brissett pass complete short left to Amari Cooper for 11 yards, touchdown",4.84,7.0,5.0,2022,70
1.0,4:01,,,LAC 15,0.0,14.0,Cade York kicks extra point good,0.0,0.0,5.0,2022,70
1.0,4:01,,,CLE 35,0.0,14.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,70
1.0,4:01,1.0,10.0,LAC 25,0.0,14.0,Austin Ekeler right guard for 71 yards (tackle by Greg Newsome),0.61,6.28,5.0,2022,70
1.0,3:12,1.0,4.0,CLE 4,0.0,14.0,Sony Michel right guard for no gain (tackle by Jadeveon Clowney and Jeremiah Owusu-Koramoah),6.28,5.34,5.0,2022,70
1.0,2:38,2.0,4.0,CLE 4,0.0,14.0,Justin Herbert pass incomplete short right intended for Tre' McKitty,5.34,4.49,5.0,2022,70
1.0,2:34,3.0,4.0,CLE 4,0.0,14.0,"Penalty on Jamaree Salyer: False Start, 5 yards (accepted) (no play)",4.49,3.36,5.0,2022,70
1.0,2:34,3.0,9.0,CLE 9,0.0,14.0,Justin Herbert pass incomplete short left intended for Donald Parham,3.36,2.83,5.0,2022,70
1.0,2:30,4.0,9.0,CLE 9,3.0,14.0,Taylor Bertolet 28 yard field goal good,2.83,3.0,5.0,2022,70
1.0,2:26,,,LAC 35,3.0,14.0,"Taylor Bertolet kicks off 59 yards, returned by Chester Rogers for 19 yards (tackle by Deane Leonard)",0.0,0.61,5.0,2022,70
1.0,2:21,1.0,10.0,CLE 25,3.0,14.0,Nick Chubb right tackle for 3 yards (tackle by Austin Johnson),0.61,0.47,5.0,2022,70
1.0,1:42,2.0,7.0,CLE 28,3.0,14.0,Jacoby Brissett pass incomplete deep right intended for Nick Chubb,0.47,-0.23,5.0,2022,70
1.0,1:37,,,,,,Timeout #1 by Cleveland Browns,,,5.0,2022,70
1.0,1:37,3.0,7.0,CLE 28,3.0,14.0,Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 1 yard (tackle by Derwin James),-0.23,-1.44,5.0,2022,70
1.0,0:52,4.0,6.0,CLE 29,3.0,14.0,"Corey Bojorquez punts 58 yards, returned by DeAndre Carter for 12 yards (tackle by Dakota Allen)",-1.44,-0.61,5.0,2022,70
1.0,0:41,1.0,10.0,LAC 25,3.0,14.0,"Austin Ekeler right guard for 4 yards (tackle by Alex Wright). Penalty on Isaiah Thomas: Face Mask (15 Yards), 15 yards (accepted)",0.61,1.86,5.0,2022,70
1.0,0:17,1.0,10.0,LAC 44,3.0,14.0,Justin Herbert pass complete deep right to Mike Williams for 38 yards (tackle by Denzel Ward),1.86,4.37,5.0,2022,70
2.0,15:00,1.0,10.0,CLE 18,3.0,14.0,Joshua Kelley right tackle for 3 yards (tackle by Jadeveon Clowney and Grant Delpit),4.37,4.25,5.0,2022,70
2.0,14:24,2.0,7.0,CLE 15,3.0,14.0,Justin Herbert pass complete short right to Mike Williams for 10 yards (tackle by Denzel Ward),4.25,6.06,5.0,2022,70
2.0,13:43,1.0,5.0,CLE 5,9.0,14.0,"Joshua Kelley right tackle for 5 yards, touchdown",6.06,7.0,5.0,2022,70
2.0,13:39,,,CLE 15,10.0,14.0,Taylor Bertolet kicks extra point good,0.0,0.0,5.0,2022,70
2.0,13:39,,,LAC 35,10.0,14.0,"Taylor Bertolet kicks off 61 yards, returned by Chester Rogers for 28 yards (tackle by Michael Davis)",0.0,1.07,5.0,2022,70
2.0,13:28,1.0,10.0,CLE 32,10.0,14.0,Nick Chubb right tackle for 4 yards (tackle by Kyle Van Noy and Sebastian Joseph-Day),1.07,0.93,5.0,2022,70
2.0,12:46,2.0,7.0,CLE 35,10.0,14.0,Nick Chubb right tackle for 2 yards (tackle by Kyle Van Noy and Khalil Mack),0.93,0.63,5.0,2022,70
2.0,12:04,3.0,4.0,CLE 38,10.0,14.0,Jacoby Brissett pass incomplete short right intended for Amari Cooper,0.63,-0.85,5.0,2022,70
2.0,12:00,4.0,4.0,CLE 38,10.0,14.0,Corey Bojorquez punts 61 yards downed by Martin Emerson,-0.85,0.38,5.0,2022,70
2.0,11:51,1.0,10.0,LAC 1,10.0,14.0,Zander Horvath left guard for 3 yards (tackle by Jacob Phillips and Denzel Ward),-0.38,-0.56,5.0,2022,70
2.0,10:57,2.0,7.0,LAC 4,10.0,14.0,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by Denzel Ward),-0.56,-0.37,5.0,2022,70
2.0,10:34,1.0,10.0,LAC 11,10.0,14.0,Justin Herbert pass complete short right to Mike Williams for 5 yards (tackle by Ronnie Harrison),-0.37,-0.3,5.0,2022,70
2.0,9:56,2.0,5.0,LAC 16,10.0,14.0,Joshua Kelley right tackle for 12 yards (tackle by Grant Delpit),-0.3,0.81,5.0,2022,70
2.0,9:20,1.0,10.0,LAC 28,10.0,14.0,Justin Herbert pass incomplete deep right intended for Gerald Everett,0.81,0.26,5.0,2022,70
2.0,9:16,2.0,10.0,LAC 28,10.0,14.0,Austin Ekeler left tackle for 10 yards (tackle by Grant Delpit),0.26,1.47,5.0,2022,70
2.0,8:30,1.0,10.0,LAC 38,10.0,14.0,Austin Ekeler left tackle for 15 yards (tackle by Denzel Ward),1.47,2.46,5.0,2022,70
2.0,7:58,1.0,10.0,CLE 47,10.0,14.0,Justin Herbert pass complete short left to Joshua Kelley for 22 yards (tackle by John Johnson),2.46,3.91,5.0,2022,70
2.0,7:27,1.0,10.0,CLE 25,10.0,14.0,Joshua Kelley right guard for 3 yards (tackle by Jeremiah Owusu-Koramoah),3.91,3.77,5.0,2022,70
2.0,6:49,2.0,7.0,CLE 22,10.0,14.0,Justin Herbert scrambles left end for 2 yards (tackle by John Johnson),3.77,3.34,5.0,2022,70
2.0,6:41,3.0,5.0,CLE 20,10.0,14.0,"Penalty on John Johnson: Unsportsmanlike Conduct / Defense, 10 yards (accepted) (no play)",3.34,4.91,5.0,2022,70
2.0,6:33,1.0,10.0,CLE 10,10.0,14.0,Austin Ekeler left guard for -2 yards (tackle by Jadeveon Clowney and Myles Garrett),4.91,3.86,5.0,2022,70
2.0,5:57,2.0,12.0,CLE 12,16.0,14.0,"Justin Herbert pass complete short left to Austin Ekeler for 12 yards, touchdown",3.86,7.0,5.0,2022,70
2.0,5:51,,,CLE 15,17.0,14.0,Taylor Bertolet kicks extra point good,0.0,0.0,5.0,2022,70
2.0,11:15,2.0,8.0,LAC 4,,,Justin Herbert pass complete,-0.63,0.0,5.0,2022,70
2.0,5:51,,,LAC 35,17.0,14.0,"Taylor Bertolet kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,70
2.0,5:51,1.0,10.0,CLE 25,17.0,14.0,Jacoby Brissett pass complete deep right to David Njoku for 38 yards (tackle by Alohi Gilman),0.61,3.12,5.0,2022,70
2.0,5:08,1.0,10.0,LAC 37,17.0,14.0,Jacoby Brissett pass complete short right to David Njoku for 5 yards (tackle by Derwin James),3.12,3.25,5.0,2022,70
2.0,4:39,2.0,5.0,LAC 32,17.0,14.0,Nick Chubb left tackle for 29 yards (tackle by Asante Samuel),3.25,6.51,5.0,2022,70
2.0,3:54,1.0,3.0,LAC 3,17.0,14.0,Jacoby Brissett pass incomplete short right intended for Amari Cooper,6.51,5.53,5.0,2022,70
2.0,3:46,2.0,3.0,LAC 3,17.0,14.0,Nick Chubb left tackle for -1 yards (tackle by Drue Tranquill and Derwin James),5.53,4.49,5.0,2022,70
2.0,3:03,3.0,4.0,LAC 4,17.0,14.0,"Jacoby Brissett pass incomplete short middle intended for Amari Cooper. Penalty on Sebastian Joseph-Day: Roughing the Passer, 2 yards (accepted) (no play)",4.49,6.74,5.0,2022,70
2.0,2:59,1.0,2.0,LAC 2,17.0,20.0,"Nick Chubb right guard for 2 yards, touchdown",6.74,7.0,5.0,2022,70
2.0,2:55,,,LAC 15,17.0,21.0,Cade York kicks extra point good,0.0,0.0,5.0,2022,70
2.0,2:55,,,CLE 35,17.0,21.0,"Cade York kicks off 61 yards, returned by DeAndre Carter for 22 yards (tackle by Grant Delpit)",0.0,0.67,5.0,2022,70
2.0,2:51,1.0,10.0,LAC 26,17.0,21.0,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Jeremiah Owusu-Koramoah),0.67,0.54,5.0,2022,70
2.0,2:16,2.0,7.0,LAC 29,17.0,21.0,Justin Herbert pass complete short right to Mike Williams for 6 yards (tackle by Martin Emerson),0.54,0.63,5.0,2022,70
2.0,2:00,3.0,1.0,LAC 35,17.0,21.0,Zander Horvath right guard for no gain (tackle by Jadeveon Clowney and Jordan Elliott),0.63,-1.04,5.0,2022,70
2.0,1:55,,,,,,Timeout #2 by Cleveland Browns,,,5.0,2022,70
2.0,1:55,4.0,1.0,LAC 35,17.0,21.0,"JK Scott punts 37 yards, fair catch by Chester Rogers at CLE-28",-1.04,-0.74,5.0,2022,70
2.0,1:48,1.0,10.0,CLE 27,17.0,21.0,Kareem Hunt right tackle for 8 yards (tackle by Alohi Gilman and Drue Tranquill),0.74,1.41,5.0,2022,70
2.0,1:29,2.0,1.0,CLE 36,17.0,21.0,Jacoby Brissett pass complete deep right to David Njoku for 17 yards (tackle by Derwin James),1.41,2.46,5.0,2022,70
2.0,1:07,1.0,10.0,LAC 47,17.0,21.0,"Jacoby Brissett pass complete to Donovan Peoples-Jones for no gain. Penalty on Jack Conklin: Illegal Formation, 5 yards (accepted) (no play)",2.46,2.13,5.0,2022,70
2.0,1:01,1.0,15.0,CLE 48,17.0,21.0,Jacoby Brissett pass complete short right to Amari Cooper for 15 yards (tackle by J.C. Jackson),2.13,3.12,5.0,2022,70
2.0,0:56,1.0,10.0,LAC 37,17.0,21.0,Kareem Hunt right tackle for 10 yards (tackle by Derwin James and Jerry Tillery),3.12,3.78,5.0,2022,70
2.0,0:29,1.0,10.0,LAC 27,17.0,21.0,Jacoby Brissett pass incomplete deep right intended for Amari Cooper,3.78,3.23,5.0,2022,70
2.0,0:26,2.0,10.0,LAC 27,17.0,21.0,Jacoby Brissett pass incomplete short right,3.23,2.54,5.0,2022,70
2.0,0:23,3.0,10.0,LAC 27,17.0,21.0,Jacoby Brissett pass incomplete short right intended for Amari Cooper (defended by J.C. Jackson),2.54,1.67,5.0,2022,70
2.0,0:16,4.0,10.0,LAC 27,17.0,21.0,Cade York 45 yard field goal no good,1.67,-1.27,5.0,2022,70
2.0,0:11,1.0,10.0,LAC 35,17.0,21.0,Justin Herbert kneels for -1 yards,1.27,0.59,5.0,2022,70
3.0,15:00,,,CLE 35,17.0,21.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,70
3.0,15:00,1.0,10.0,LAC 25,17.0,21.0,Austin Ekeler right guard for 6 yards (tackle by Jacob Phillips and John Johnson),0.61,0.87,5.0,2022,70
3.0,14:19,2.0,4.0,LAC 31,17.0,21.0,"Justin Herbert pass incomplete short left intended for Zander Horvath. Penalty on Denzel Ward: Defensive Holding, 5 yards (accepted) (no play)",0.87,1.33,5.0,2022,70
3.0,14:19,1.0,10.0,LAC 36,17.0,21.0,Austin Ekeler right guard for 4 yards (tackle by Ronnie Harrison),1.33,1.33,5.0,2022,70
3.0,13:45,2.0,6.0,LAC 40,17.0,21.0,Justin Herbert sacked by Jacob Phillips for -1 yards,1.33,0.5,5.0,2022,70
3.0,13:04,3.0,7.0,LAC 39,17.0,21.0,"Justin Herbert pass complete to Austin Ekeler for no gain. Penalty on Corey Linsley: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.5,-0.16,5.0,2022,70
3.0,12:37,3.0,12.0,LAC 34,17.0,21.0,Justin Herbert pass complete short right to Mike Williams for 21 yards (tackle by Denzel Ward and Jacob Phillips),-0.16,2.59,5.0,2022,70
3.0,11:54,1.0,10.0,CLE 45,17.0,21.0,Justin Herbert pass incomplete short left intended for Josh Palmer,2.59,2.04,5.0,2022,70
3.0,11:50,2.0,10.0,CLE 45,17.0,21.0,Justin Herbert pass complete short left to Joshua Kelley for 11 yards (tackle by Alex Wright),2.04,3.31,5.0,2022,70
3.0,11:09,1.0,10.0,CLE 34,17.0,21.0,Justin Herbert scrambles up the middle for 12 yards (tackle by Grant Delpit),3.31,4.11,5.0,2022,70
3.0,10:27,1.0,10.0,CLE 22,17.0,21.0,"Justin Herbert pass complete to Mike Williams for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Justin Herbert pass incomplete deep right intended for Mike Williams (defended by Greg Newsome)",4.11,3.56,5.0,2022,70
3.0,10:28,2.0,10.0,CLE 22,23.0,21.0,"Austin Ekeler right tackle for 22 yards, touchdown",3.56,7.0,5.0,2022,70
3.0,10:21,,,CLE 15,24.0,21.0,Taylor Bertolet kicks extra point good,0.0,0.0,5.0,2022,70
3.0,10:21,,,LAC 35,24.0,21.0,"Penalty on Jeremiah Owusu-Koramoah: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.0,-2.26,5.0,2022,70
3.0,10:21,1.0,10.0,LAC 50,24.0,21.0,"Taylor Bertolet kicks off 50 yards, touchback.",2.26,0.61,5.0,2022,70
3.0,10:21,1.0,10.0,CLE 25,24.0,21.0,Jacoby Brissett pass incomplete short left intended for Donovan Peoples-Jones,0.61,0.06,5.0,2022,70
3.0,10:17,2.0,10.0,CLE 25,24.0,21.0,Nick Chubb right guard for 5 yards (tackle by Derwin James and Drue Tranquill),0.06,0.04,5.0,2022,70
3.0,9:36,3.0,5.0,CLE 30,24.0,21.0,Jacoby Brissett pass complete short left to Amari Cooper for 4 yards (tackle by Asante Samuel),0.04,-1.11,5.0,2022,70
3.0,8:55,,,,,,Timeout #1 by Los Angeles Chargers,,,5.0,2022,70
3.0,8:55,4.0,1.0,CLE 34,24.0,21.0,Kareem Hunt right guard for -4 yards (tackle by Christian Covington),-1.11,-3.58,5.0,2022,70
3.0,8:51,1.0,10.0,CLE 30,24.0,21.0,Austin Ekeler left guard for 6 yards (tackle by Myles Garrett and Grant Delpit),3.58,3.84,5.0,2022,70
3.0,8:27,2.0,4.0,CLE 24,24.0,21.0,Justin Herbert pass complete short right to Gerald Everett for 2 yards (tackle by Jacob Phillips),3.84,3.4,5.0,2022,70
3.0,8:02,3.0,2.0,CLE 22,24.0,21.0,Justin Herbert pass complete short right to Mike Williams for 16 yards (tackle by Denzel Ward),3.4,5.83,5.0,2022,70
3.0,7:35,1.0,6.0,CLE 6,24.0,21.0,Joshua Kelley right tackle for 2 yards (tackle by Grant Delpit and Denzel Ward),5.83,5.34,5.0,2022,70
3.0,6:58,2.0,4.0,CLE 4,24.0,21.0,"Penalty on Donald Parham: False Start, 5 yards (accepted) (no play)",5.34,4.38,5.0,2022,70
3.0,6:36,2.0,9.0,CLE 9,24.0,21.0,Justin Herbert pass incomplete short left intended for Gerald Everett,4.38,3.36,5.0,2022,70
3.0,6:33,3.0,9.0,CLE 9,24.0,21.0,Justin Herbert pass complete short left to DeAndre Carter for 2 yards (tackle by Greg Newsome),3.36,2.97,5.0,2022,70
3.0,5:50,4.0,7.0,CLE 7,27.0,21.0,Taylor Bertolet 25 yard field goal good,2.97,3.0,5.0,2022,70
3.0,5:47,,,LAC 35,27.0,21.0,"Taylor Bertolet kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,70
3.0,5:47,1.0,10.0,CLE 25,27.0,21.0,Nick Chubb left guard for no gain (tackle by J.C. Jackson and Sebastian Joseph-Day),0.61,0.06,5.0,2022,70
3.0,5:09,2.0,10.0,CLE 25,27.0,21.0,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 19 yards (tackle by Kenneth Murray),0.06,1.86,5.0,2022,70
3.0,4:41,1.0,10.0,CLE 44,27.0,21.0,Jacoby Brissett pass incomplete short left intended for Harrison Bryant,1.86,1.32,5.0,2022,70
3.0,4:39,2.0,10.0,CLE 44,27.0,21.0,Jacoby Brissett pass complete deep right to Donovan Peoples-Jones for 16 yards (tackle by Asante Samuel),1.32,2.92,5.0,2022,70
3.0,4:18,1.0,10.0,LAC 40,27.0,21.0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 14 yards (tackle by J.C. Jackson),2.92,3.84,5.0,2022,70
3.0,3:49,1.0,10.0,LAC 26,27.0,21.0,Nick Chubb left tackle for 8 yards (tackle by Alohi Gilman and Derwin James),3.84,4.45,5.0,2022,70
3.0,3:11,2.0,2.0,LAC 18,27.0,21.0,Jacoby Brissett pass complete short left to Kareem Hunt for 2 yards (tackle by Kenneth Murray),4.45,4.51,5.0,2022,70
3.0,2:28,1.0,10.0,LAC 16,27.0,21.0,Kareem Hunt right tackle for 5 yards (tackle by Kenneth Murray and Sebastian Joseph-Day),4.51,4.76,5.0,2022,70
3.0,1:52,2.0,5.0,LAC 11,27.0,21.0,Kareem Hunt left guard for no gain (tackle by Khalil Mack),4.76,3.94,5.0,2022,70
3.0,1:11,3.0,5.0,LAC 11,27.0,21.0,"Jacoby Brissett pass complete short left to David Njoku for 9 yards (tackle by Derwin James). Penalty on Derwin James: Defensive Holding, 5 yards (declined)",3.94,6.51,5.0,2022,70
3.0,1:01,1.0,3.0,LAC 3,27.0,27.0,"Kareem Hunt right guard for 2 yards, touchdown",6.51,7.0,5.0,2022,70
3.0,0:55,,,LAC 15,27.0,28.0,Cade York kicks extra point good,0.0,0.0,5.0,2022,70
3.0,0:55,,,CLE 35,27.0,28.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,70
3.0,0:55,1.0,10.0,LAC 25,27.0,28.0,Austin Ekeler right guard for 4 yards (tackle by Jordan Elliott and Sione Takitaki),0.61,0.47,5.0,2022,70
3.0,0:35,2.0,7.0,LAC 28,27.0,28.0,Justin Herbert pass complete short right to Mike Williams for no gain (tackle by Jeremiah Owusu-Koramoah),0.47,-0.1,5.0,2022,70
4.0,15:00,3.0,6.0,LAC 29,27.0,28.0,Justin Herbert pass complete short left to DeAndre Carter for 7 yards (tackle by Denzel Ward),-0.1,1.33,5.0,2022,70
4.0,14:27,1.0,10.0,LAC 36,27.0,28.0,Joshua Kelley left guard for 4 yards (tackle by Jacob Phillips and Greg Newsome),1.33,1.33,5.0,2022,70
4.0,13:49,2.0,6.0,LAC 40,27.0,28.0,Austin Ekeler left tackle for 17 yards (tackle by Denzel Ward),1.33,2.72,5.0,2022,70
4.0,13:04,1.0,10.0,CLE 43,27.0,28.0,Austin Ekeler left guard for 3 yards (tackle by Jacob Phillips),2.72,2.58,5.0,2022,70
4.0,12:29,2.0,7.0,CLE 40,27.0,28.0,Joshua Kelley right guard for 16 yards (tackle by John Johnson),2.58,3.97,5.0,2022,70
4.0,11:48,1.0,10.0,CLE 24,27.0,28.0,Joshua Kelley right tackle for 3 yards (tackle by Tommy Togiai and Jacob Phillips),3.97,3.84,5.0,2022,70
4.0,11:13,2.0,7.0,CLE 21,27.0,28.0,Justin Herbert pass complete short left to Josh Palmer for 9 yards (tackle by John Johnson),3.84,4.78,5.0,2022,70
4.0,10:53,1.0,10.0,CLE 12,27.0,28.0,Austin Ekeler left guard for 2 yards (tackle by Jadeveon Clowney),4.78,4.45,5.0,2022,70
4.0,10:18,2.0,8.0,CLE 10,27.0,28.0,Justin Herbert pass complete short left to Austin Ekeler for 1 yard (tackle by Sione Takitaki),4.45,3.7,5.0,2022,70
4.0,9:36,3.0,7.0,CLE 9,27.0,28.0,Justin Herbert pass incomplete short right intended for Josh Palmer,3.7,2.83,5.0,2022,70
4.0,9:32,4.0,7.0,CLE 9,30.0,28.0,Taylor Bertolet 27 yard field goal good,2.83,3.0,5.0,2022,70
4.0,9:29,,,LAC 35,30.0,28.0,"Taylor Bertolet kicks off 64 yards, returned by Chester Rogers for 17 yards (tackle by Nasir Adderley)",0.0,0.04,5.0,2022,70
4.0,9:22,1.0,10.0,CLE 18,30.0,28.0,Nick Chubb right tackle for 16 yards (tackle by Drue Tranquill),0.04,1.2,5.0,2022,70
4.0,8:55,1.0,10.0,CLE 34,30.0,28.0,Nick Chubb left tackle for 11 yards (tackle by Derwin James),1.2,1.93,5.0,2022,70
4.0,8:16,1.0,10.0,CLE 45,30.0,28.0,Nick Chubb right tackle for 1 yard (tackle by Sebastian Joseph-Day),1.93,1.38,5.0,2022,70
4.0,7:44,2.0,10.0,CLE 45,30.0,28.0,Jacoby Brissett pass complete short middle to Kareem Hunt for 2 yards (tackle by Drue Tranquill),1.38,1.09,5.0,2022,70
4.0,6:53,3.0,7.0,CLE 48,30.0,28.0,Jacoby Brissett pass complete short left to David Njoku for 8 yards (tackle by Alohi Gilman and J.C. Jackson),1.09,2.72,5.0,2022,70
4.0,6:07,1.0,10.0,LAC 43,30.0,28.0,Jacoby Brissett pass incomplete short right,2.72,2.11,5.0,2022,70
4.0,6:02,2.0,10.0,LAC 44,30.0,28.0,Nick Chubb left tackle for 1 yard (tackle by Drue Tranquill and Derwin James),2.11,1.55,5.0,2022,70
4.0,5:23,3.0,9.0,LAC 43,30.0,28.0,Jacoby Brissett scrambles for 20 yards (tackle by Alohi Gilman),1.55,4.04,5.0,2022,70
4.0,4:45,1.0,10.0,LAC 23,30.0,28.0,Jacoby Brissett pass complete short middle to David Njoku for 11 yards (tackle by Derwin James),4.04,4.84,5.0,2022,70
4.0,4:20,1.0,10.0,LAC 11,30.0,28.0,Nick Chubb right tackle for -3 yards (tackle by Khalil Mack and Kenneth Murray),4.84,3.56,5.0,2022,70
4.0,3:30,2.0,14.0,LAC 15,30.0,28.0,Jacoby Brissett pass complete short middle to David Bell for 6 yards (tackle by Bryce Callahan),3.56,3.53,5.0,2022,70
4.0,2:54,3.0,8.0,LAC 9,30.0,28.0,Jacoby Brissett pass intended for Amari Cooper is intercepted by Alohi Gilman in end zone and returned for 18 yards (tackle by Jacoby Brissett and David Bell),3.53,0.06,5.0,2022,70
4.0,2:44,1.0,10.0,LAC 17,30.0,28.0,Austin Ekeler left guard for 1 yard (tackle by Jeremiah Owusu-Koramoah and Taven Bryan),-0.06,-0.42,5.0,2022,70
4.0,2:40,,,,,,Timeout #1 by Cleveland Browns,,,5.0,2022,70
4.0,2:40,2.0,9.0,LAC 18,30.0,28.0,Justin Herbert pass complete short right to Mike Williams for 19 yards (tackle by Martin Emerson),-0.42,1.4,5.0,2022,70
4.0,2:30,,,,,,Timeout #2 by Cleveland Browns,,,5.0,2022,70
4.0,2:30,1.0,10.0,LAC 37,30.0,28.0,Joshua Kelley left guard for no gain (tackle by Grant Delpit and Taven Bryan),1.4,0.86,5.0,2022,70
4.0,2:26,,,,,,Timeout #3 by Cleveland Browns,,,5.0,2022,70
4.0,2:26,2.0,10.0,LAC 37,30.0,28.0,Justin Herbert pass complete short right to Mike Williams for 7 yards (tackle by Martin Emerson),0.86,1.09,5.0,2022,70
4.0,2:00,3.0,3.0,LAC 44,30.0,28.0,Austin Ekeler left guard for 2 yards (tackle by Myles Garrett),1.09,-0.39,5.0,2022,70
