Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA,week,year,game_id
2.0,7:20,,,MIN 35,3.0,21.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,69
2.0,7:20,1.0,10.0,CHI 25,3.0,21.0,Khalil Herbert right guard for 4 yards (tackle by Eric Kendricks),0.61,0.6,5.0,2022,69
2.0,6:46,2.0,6.0,CHI 29,3.0,21.0,Khalil Herbert left end for 1 yard (tackle by Chandon Sullivan),0.6,0.04,5.0,2022,69
2.0,6:09,3.0,5.0,CHI 30,3.0,21.0,Justin Fields scrambles left tackle for 7 yards (tackle by Cameron Dantzler),0.04,1.4,5.0,2022,69
2.0,5:32,1.0,10.0,CHI 37,3.0,21.0,Justin Fields scrambles right end for 4 yards (tackle by Danielle Hunter),1.4,1.4,5.0,2022,69
2.0,4:59,2.0,6.0,CHI 41,3.0,21.0,Khalil Herbert left guard for -1 yards (tackle by Harrison Phillips and Dalvin Tomlinson),1.4,0.56,5.0,2022,69
2.0,4:20,,,,,,Timeout #1 by Chicago Bears,,,5.0,2022,69
2.0,4:20,3.0,7.0,CHI 40,3.0,21.0,"Justin Fields pass incomplete deep left intended for Dante Pettis. Penalty on Sam Mustipher: Offensive Holding, 10 yards (declined)",0.56,-0.72,5.0,2022,69
2.0,4:15,4.0,7.0,CHI 40,3.0,21.0,"Trenton Gill punts 60 yards, touchback.",-0.72,-0.28,5.0,2022,69
2.0,4:05,1.0,10.0,MIN 20,3.0,21.0,Dalvin Cook right end for 11 yards (tackle by Jaquan Brisker),0.28,1.0,5.0,2022,69
2.0,3:23,1.0,10.0,MIN 31,3.0,21.0,Dalvin Cook right end for 15 yards (tackle by Eddie Jackson and Kyler Gordon),1.0,1.99,5.0,2022,69
2.0,2:55,1.0,10.0,MIN 46,3.0,21.0,Kirk Cousins pass incomplete short middle,1.99,1.45,5.0,2022,69
2.0,2:52,2.0,10.0,MIN 46,3.0,21.0,Kirk Cousins pass complete short left to Justin Jefferson for 6 yards (tackle by Kindle Vildor),1.45,1.55,5.0,2022,69
2.0,2:16,3.0,4.0,CHI 48,3.0,21.0,Kirk Cousins sacked by Justin Jones for -7 yards,1.55,-0.39,5.0,2022,69
2.0,2:00,4.0,11.0,MIN 45,3.0,21.0,Ryan Wright punts 15 yards out of bounds,-0.39,-2.26,5.0,2022,69
2.0,1:54,1.0,10.0,CHI 50,3.0,21.0,Justin Fields pass complete deep left to Darnell Mooney for 39 yards (tackle by Chandon Sullivan),2.26,4.84,5.0,2022,69
2.0,1:25,1.0,10.0,MIN 11,3.0,21.0,David Montgomery up the middle for 2 yards (tackle by Danielle Hunter and Harrison Phillips),4.84,4.51,5.0,2022,69
2.0,1:20,,,,,,Timeout #1 by Minnesota Vikings,,,5.0,2022,69
2.0,1:20,2.0,8.0,MIN 9,3.0,21.0,Justin Fields pass incomplete short left intended for Ihmir Smith-Marsette (defended by Jordan Hicks),4.51,3.53,5.0,2022,69
2.0,1:12,3.0,8.0,MIN 9,9.0,21.0,"David Montgomery up the middle for 9 yards, touchdown",3.53,7.0,5.0,2022,69
2.0,1:08,,,MIN 15,10.0,21.0,Cairo Santos kicks extra point good,0.0,0.0,5.0,2022,69
2.0,1:08,,,CHI 35,10.0,21.0,"Cairo Santos kicks off 67 yards, returned by Kene Nwangwu for 26 yards (tackle by DeAndre Houston-Carson and Josh Blackwell)",0.0,0.54,5.0,2022,69
2.0,1:03,1.0,10.0,MIN 24,10.0,21.0,Kirk Cousins pass incomplete short right intended for Adam Thielen (defended by Justin Jones),0.54,0.0,5.0,2022,69
2.0,1:00,2.0,10.0,MIN 24,10.0,21.0,Kirk Cousins pass complete short left to Irv Smith for 7 yards (tackle by Jaylon Jones),0.0,0.23,5.0,2022,69
2.0,0:39,3.0,3.0,MIN 31,10.0,21.0,Kirk Cousins pass complete short left to Alexander Mattison for 9 yards (tackle by Eddie Jackson),0.23,1.6,5.0,2022,69
2.0,0:31,,,,,,Timeout #2 by Minnesota Vikings,,,5.0,2022,69
2.0,0:31,1.0,10.0,MIN 40,10.0,21.0,"Kirk Cousins pass incomplete intended for Justin Jefferson (defended by Kindle Vildor). Penalty on Robert Quinn: Defensive Offside, 5 yards (accepted) (no play)",1.6,2.33,5.0,2022,69
2.0,0:26,1.0,5.0,MIN 45,10.0,21.0,Kirk Cousins pass incomplete short right intended for Alexander Mattison,2.33,1.73,5.0,2022,69
2.0,0:21,2.0,5.0,MIN 45,10.0,21.0,Kirk Cousins pass complete to Justin Jefferson for 10 yards (tackle by Eddie Jackson),1.73,2.59,5.0,2022,69
2.0,0:15,,,,,,Timeout #3 by Minnesota Vikings,,,5.0,2022,69
2.0,0:15,1.0,10.0,CHI 45,10.0,21.0,Kirk Cousins pass complete to K.J. Osborn for 9 yards (tackle by Kyler Gordon),2.59,3.26,5.0,2022,69
2.0,0:04,2.0,1.0,CHI 36,10.0,21.0,Kirk Cousins spiked the ball,3.26,2.54,5.0,2022,69
2.0,0:03,3.0,1.0,CHI 36,10.0,21.0,Greg Joseph 53 yard field goal no good,2.54,1.8,5.0,2022,69
3.0,15:00,,,MIN 35,10.0,21.0,"Greg Joseph kicks off 56 yards, returned by Velus Jones for 24 yards (tackle by Ty Chandler and Josh Metellus)",0.0,1.14,5.0,2022,69
3.0,14:56,1.0,10.0,CHI 33,10.0,21.0,David Montgomery left end for 3 yards (tackle by Danielle Hunter),1.14,1.0,5.0,2022,69
3.0,14:17,2.0,7.0,CHI 36,10.0,21.0,Justin Fields pass complete to Equanimeous St. Brown for 18 yards (tackle by Patrick Peterson),1.0,2.52,5.0,2022,69
3.0,13:43,1.0,10.0,MIN 46,10.0,21.0,David Montgomery up the middle for -6 yards (tackle by Za'Darius Smith),2.52,1.17,5.0,2022,69
3.0,13:07,2.0,16.0,CHI 48,10.0,21.0,Justin Fields scrambles right end for 6 yards (tackle by Patrick Peterson),1.17,1.29,5.0,2022,69
3.0,12:32,3.0,10.0,MIN 46,10.0,21.0,Justin Fields pass complete short middle to Cole Kmet for 23 yards (tackle by Danielle Hunter and Harrison Smith),1.29,4.04,5.0,2022,69
3.0,11:50,1.0,10.0,MIN 23,10.0,21.0,David Montgomery left guard for 5 yards (tackle by Eric Kendricks),4.04,4.21,5.0,2022,69
3.0,11:09,2.0,5.0,MIN 18,10.0,21.0,Justin Fields scrambles left end for 9 yards (tackle by Jordan Hicks),4.21,5.14,5.0,2022,69
3.0,10:31,1.0,9.0,MIN 9,16.0,21.0,"Justin Fields pass complete short middle to Velus Jones for 9 yards, touchdown",5.14,7.0,5.0,2022,69
3.0,10:24,,,MIN 2,16.0,21.0,Two Point Attempt: Justin Fields pass incomplete to Dante Pettis for no gain,1.0,-1.0,5.0,2022,69
3.0,10:24,,,CHI 35,16.0,21.0,"Cairo Santos kicks onside 13 yards, returned by Akayleb Evans for no gain",0.0,2.39,5.0,2022,69
3.0,10:23,1.0,10.0,CHI 48,16.0,21.0,Dalvin Cook left end for 7 yards (tackle by Jaquan Brisker),2.39,2.79,5.0,2022,69
3.0,9:52,2.0,3.0,CHI 41,16.0,21.0,Dalvin Cook left tackle for 2 yards (tackle by Al-Quadin Muhammad),2.79,2.34,5.0,2022,69
3.0,9:13,3.0,1.0,CHI 39,16.0,21.0,Kirk Cousins pass complete short right to Justin Jefferson for 6 yards (tackle by Eddie Jackson),2.34,3.38,5.0,2022,69
3.0,8:26,1.0,10.0,CHI 33,16.0,21.0,Alexander Mattison right tackle for no gain (tackle by Roquan Smith and Angelo Blackson),3.38,2.84,5.0,2022,69
3.0,7:47,2.0,10.0,CHI 33,16.0,21.0,Kirk Cousins pass incomplete short right,2.84,2.15,5.0,2022,69
3.0,7:41,3.0,10.0,CHI 33,16.0,21.0,Kirk Cousins pass incomplete intended for Irv Smith (defended by Trevis Gipson),2.15,1.15,5.0,2022,69
3.0,7:38,4.0,10.0,CHI 33,16.0,21.0,Greg Joseph 51 yard field goal no good blocked by Dominique Robinson,1.15,-1.66,5.0,2022,69
3.0,7:34,1.0,10.0,CHI 41,16.0,21.0,David Montgomery left guard for 6 yards (tackle by Eric Kendricks and Harrison Phillips),1.66,1.93,5.0,2022,69
3.0,6:58,2.0,4.0,CHI 47,16.0,21.0,David Montgomery left end for -3 yards (tackle by Danielle Hunter and Jordan Hicks),1.93,0.83,5.0,2022,69
3.0,6:15,3.0,7.0,CHI 44,16.0,21.0,Justin Fields pass complete short left to Darnell Mooney for 13 yards (tackle by Cameron Dantzler),0.83,2.72,5.0,2022,69
3.0,5:36,1.0,10.0,MIN 43,16.0,21.0,"Justin Fields scrambles for no gain. Penalty on Teven Jenkins: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06,5.0,2022,69
3.0,5:17,1.0,20.0,CHI 47,16.0,21.0,Justin Fields pass complete short left to Ryan Griffin for 1 yard (tackle by Jordan Hicks),2.06,0.96,5.0,2022,69
3.0,4:41,2.0,19.0,CHI 48,16.0,21.0,Khalil Herbert right end for 7 yards (tackle by Patrick Peterson),0.96,1.22,5.0,2022,69
3.0,4:02,3.0,12.0,MIN 45,16.0,21.0,Justin Fields pass complete short left to Cole Kmet for 8 yards (tackle by Cameron Dantzler and Eric Kendricks),1.22,0.79,5.0,2022,69
3.0,3:18,4.0,4.0,MIN 37,16.0,21.0,Justin Fields scrambles up the middle for 7 yards (tackle by Eric Kendricks),0.79,3.58,5.0,2022,69
3.0,2:41,1.0,10.0,MIN 30,16.0,21.0,David Montgomery up the middle for 3 yards (tackle by Jordan Hicks and Jonathan Bullard),3.58,3.44,5.0,2022,69
3.0,1:57,2.0,7.0,MIN 27,16.0,21.0,Justin Fields right end for 2 yards (tackle by Patrick Jones and Jordan Hicks),3.44,3.01,5.0,2022,69
3.0,1:17,3.0,5.0,MIN 25,16.0,21.0,Justin Fields pass incomplete deep right intended for Darnell Mooney (defended by Harrison Smith),3.01,1.85,5.0,2022,69
3.0,1:09,4.0,5.0,MIN 25,19.0,21.0,Cairo Santos 43 yard field goal good,1.85,3.0,5.0,2022,69
3.0,1:05,,,CHI 35,19.0,21.0,"Cairo Santos kicks off 63 yards, returned by Kene Nwangwu for 32 yards (tackle by Jaylon Jones and Elijah Hicks)",0.0,1.2,5.0,2022,69
3.0,0:58,1.0,10.0,MIN 34,19.0,21.0,Dalvin Cook left end for 13 yards (tackle by Eddie Jackson),1.2,2.06,5.0,2022,69
3.0,0:25,1.0,10.0,MIN 47,19.0,21.0,"Dalvin Cook for no gain. Penalty on Johnny Mundt: Offensive Holding, 10 yards (accepted) (no play)",2.06,1.4,5.0,2022,69
4.0,15:00,1.0,20.0,MIN 37,19.0,21.0,Kirk Cousins pass complete short middle to K.J. Osborn for 7 yards (tackle by Roquan Smith),1.4,1.11,5.0,2022,69
4.0,14:27,2.0,13.0,MIN 44,19.0,21.0,Kirk Cousins pass complete short right to Johnny Mundt for 2 yards (tackle by Kyler Gordon),1.11,0.7,5.0,2022,69
4.0,13:45,3.0,11.0,MIN 46,19.0,21.0,Kirk Cousins pass complete short left to Irv Smith for 7 yards (tackle by Kyler Gordon),0.7,0.13,5.0,2022,69
4.0,12:59,4.0,4.0,CHI 47,19.0,21.0,"Kirk Cousins pass incomplete intended for Justin Jefferson. Penalty on Jaylon Jones: Defensive Holding, 5 yards (accepted) (no play)",0.13,2.79,5.0,2022,69
4.0,12:54,1.0,10.0,CHI 42,19.0,21.0,Kirk Cousins pass intended for Adam Thielen is intercepted by Kindle Vildor at CHI-30 and returned for 18 yards (tackle by Ed Ingram),2.79,-2.13,5.0,2022,69
4.0,12:44,1.0,10.0,CHI 48,19.0,21.0,David Montgomery right guard for no gain (tackle by Harrison Phillips),2.13,1.58,5.0,2022,69
4.0,12:08,2.0,10.0,CHI 48,19.0,21.0,"Justin Fields scrambles for 12 yards, touchdown. Penalty on Ihmir Smith-Marsette: Offensive Illegal Block Above the Waist, 10 yards (accepted)",1.58,1.85,5.0,2022,69
4.0,11:56,2.0,8.0,MIN 50,19.0,21.0,Justin Fields pass complete short middle to Cole Kmet for 10 yards (tackle by Harrison Smith and Camryn Bynum),1.85,2.92,5.0,2022,69
4.0,11:25,1.0,10.0,MIN 40,19.0,21.0,David Montgomery right guard for 1 yard (tackle by James Lynch),2.92,2.51,5.0,2022,69
4.0,10:46,2.0,9.0,MIN 39,19.0,21.0,Justin Fields pass complete short right to Equanimeous St. Brown for 6 yards (tackle by Patrick Peterson),2.51,2.61,5.0,2022,69
4.0,10:13,3.0,3.0,MIN 33,19.0,21.0,David Montgomery left tackle for no gain (tackle by Harrison Phillips and Jordan Hicks),2.61,1.19,5.0,2022,69
4.0,9:31,4.0,3.0,MIN 33,22.0,21.0,Cairo Santos 51 yard field goal good,1.19,3.0,5.0,2022,69
4.0,9:26,,,CHI 35,22.0,21.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,69
4.0,9:26,1.0,10.0,MIN 25,22.0,21.0,"Penalty on Ed Ingram: False Start, 5 yards (accepted) (no play)",0.61,0.28,5.0,2022,69
4.0,9:26,1.0,15.0,MIN 20,22.0,21.0,Kirk Cousins pass complete short middle to Irv Smith for 15 yards (tackle by Eddie Jackson),0.28,1.27,5.0,2022,69
4.0,8:49,1.0,10.0,MIN 35,22.0,21.0,Dalvin Cook right tackle for 5 yards (tackle by Dominique Robinson and Nicholas Morrow),1.27,1.4,5.0,2022,69
4.0,8:16,2.0,5.0,MIN 40,22.0,21.0,Kirk Cousins pass complete short left to Dalvin Cook for 4 yards (tackle by Jaylon Jones),1.4,1.22,5.0,2022,69
4.0,7:38,3.0,1.0,MIN 44,22.0,21.0,Alexander Mattison up the middle for 2 yards (tackle by Nicholas Morrow),1.22,1.99,5.0,2022,69
4.0,7:01,1.0,10.0,MIN 46,22.0,21.0,Alexander Mattison left guard for -4 yards (tackle by Trevis Gipson),1.99,0.91,5.0,2022,69
4.0,6:27,2.0,14.0,MIN 42,22.0,21.0,Kirk Cousins pass complete short left to Justin Jefferson for 10 yards (tackle by Kindle Vildor and Kyler Gordon),0.91,1.55,5.0,2022,69
4.0,5:42,3.0,4.0,CHI 48,22.0,21.0,Kirk Cousins pass complete short middle to Irv Smith for 13 yards (tackle by Roquan Smith and Jaylon Jones),1.55,3.25,5.0,2022,69
4.0,5:01,1.0,10.0,CHI 35,22.0,21.0,Dalvin Cook left tackle for 10 yards (tackle by Kindle Vildor),3.25,3.91,5.0,2022,69
4.0,4:19,1.0,10.0,CHI 25,22.0,21.0,Dalvin Cook right end for 1 yard (tackle by Nicholas Morrow),3.91,3.5,5.0,2022,69
4.0,3:43,2.0,9.0,CHI 24,22.0,21.0,Kirk Cousins pass complete short left to Adam Thielen for 4 yards,3.5,3.34,5.0,2022,69
4.0,3:37,3.0,5.0,CHI 20,22.0,21.0,Kirk Cousins scrambles for 5 yards (tackle by Jaquan Brisker),3.34,4.58,5.0,2022,69
4.0,2:56,1.0,10.0,CHI 15,22.0,21.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson,4.58,3.95,5.0,2022,69
4.0,2:50,2.0,10.0,CHI 15,22.0,21.0,Dalvin Cook left end for 2 yards (tackle by Jaylon Jones),3.95,3.4,5.0,2022,69
4.0,2:45,3.0,8.0,CHI 13,22.0,21.0,Kirk Cousins pass complete short left to Alexander Mattison for 11 yards (tackle by Jaylon Jones and Roquan Smith),3.4,6.74,5.0,2022,69
4.0,2:39,,,,,,Timeout #1 by Chicago Bears,,,5.0,2022,69
4.0,2:39,1.0,2.0,CHI 2,22.0,21.0,Kirk Cousins pass incomplete short right intended for Adam Thielen,6.74,5.72,5.0,2022,69
4.0,2:34,2.0,2.0,CHI 2,22.0,21.0,Dalvin Cook left end for 1 yard (tackle by Eddie Jackson and Kindle Vildor),5.72,5.17,5.0,2022,69
4.0,2:29,,,,,,Timeout #2 by Chicago Bears,,,5.0,2022,69
4.0,2:29,3.0,1.0,CHI 1,22.0,27.0,"Kirk Cousins up the middle for 1 yard, touchdown",5.17,7.0,5.0,2022,69
4.0,2:26,,,CHI 2,22.0,29.0,Two Point Attempt: Kirk Cousins pass complete to to Justin Jefferson for no gain,1.0,1.0,5.0,2022,69
4.0,2:26,,,MIN 35,22.0,29.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,69
4.0,2:26,1.0,10.0,CHI 25,22.0,29.0,Justin Fields pass complete short left to David Montgomery for 8 yards (tackle by Cameron Dantzler),0.61,1.14,5.0,2022,69
4.0,2:19,2.0,2.0,CHI 33,22.0,29.0,Justin Fields pass complete short middle to David Montgomery for 3 yards (tackle by Jordan Hicks and Eric Kendricks),1.14,1.33,5.0,2022,69
4.0,2:00,1.0,10.0,CHI 36,22.0,29.0,"Justin Fields sacked by and Za'Darius Smith for -11 yards and D.J. Wonnum for -11 yards. Justin Fields fumbles (forced by D.J. Wonnum), recovered by Lucas Patrick at CHI-25 and returned for 11 yards",1.33,-0.7,5.0,2022,69
4.0,1:31,2.0,21.0,CHI 25,22.0,29.0,Justin Fields pass complete to David Montgomery for 21 yards (tackle by D.J. Wonnum),-0.7,1.99,5.0,2022,69
4.0,1:14,1.0,10.0,CHI 46,22.0,29.0,"Justin Fields pass complete to Ihmir Smith-Marsette for 15 yards. Ihmir Smith-Marsette fumbles (forced by Cameron Dantzler), recovered by Cameron Dantzler at MIN-39 and returned for 16 yards (tackle by Darnell Mooney)",1.99,-2.59,5.0,2022,69
4.0,1:01,1.0,10.0,CHI 45,22.0,29.0,Kirk Cousins kneels for -1 yards,2.59,1.91,5.0,2022,69
4.0,0:19,2.0,11.0,CHI 46,22.0,29.0,Kirk Cousins kneels for -1 yards,1.91,1.09,5.0,2022,69
