Quarter,Time,Down,ToGo,Location,NYG,GNB,Detail,EPB,EPA,week,year,game_id
1.0,9:28,1.0,10.0,GNB 28,0.0,3.0,Aaron Rodgers pass complete short right to Tyler Davis for -3 yards (tackle by Tae Crowder),0.81,-0.14,5.0,2022,66
1.0,8:46,2.0,13.0,GNB 25,0.0,3.0,Aaron Rodgers pass complete short left to Randall Cobb for 3 yards (tackle by Darnay Holmes),-0.14,-0.43,5.0,2022,66
1.0,8:00,3.0,10.0,GNB 28,0.0,3.0,Aaron Rodgers pass complete short right to Romeo Doubs for -1 yards (tackle by Jihad Ward and Kayvon Thibodeaux),-0.43,-1.57,5.0,2022,66
1.0,7:24,4.0,11.0,GNB 27,0.0,3.0,Pat O'Donnell punts 50 yards downed by Rudy Ford,-1.57,-0.48,5.0,2022,66
1.0,7:13,1.0,10.0,NYG 23,0.0,3.0,Saquon Barkley up the middle for 2 yards (tackle by Rashan Gary),0.48,0.2,5.0,2022,66
1.0,6:32,2.0,8.0,NYG 25,0.0,3.0,Daniel Jones pass incomplete deep left intended for Saquon Barkley,0.2,-0.49,5.0,2022,66
1.0,6:26,3.0,8.0,NYG 25,0.0,3.0,"Penalty on NYG: Delay of Game, 5 yards (accepted) (no play)",-0.49,-1.15,5.0,2022,66
1.0,6:26,3.0,13.0,NYG 20,0.0,3.0,Daniel Jones pass complete short left to Saquon Barkley for -4 yards (tackle by Jaire Alexander),-1.15,-2.39,5.0,2022,66
1.0,5:46,4.0,17.0,NYG 16,0.0,3.0,"Jamie Gillan punts 58 yards, returned by Amari Rodgers for 11 yards. Amari Rodgers fumbles (forced by Julian Love), recovered by Isaiah McDuffie at GB-40",-2.39,-1.6,5.0,2022,66
1.0,5:34,1.0,10.0,GNB 40,0.0,3.0,AJ Dillon left tackle for 4 yards (tackle by Kayvon Thibodeaux and Justin Ellis),1.6,1.59,5.0,2022,66
1.0,5:00,2.0,6.0,GNB 44,0.0,3.0,Aaron Rodgers pass complete deep middle to Romeo Doubs for 22 yards (tackle by Adoree' Jackson),1.59,3.31,5.0,2022,66
1.0,4:17,1.0,10.0,NYG 34,0.0,3.0,Christian Watson right end for -3 yards (tackle by Adoree' Jackson),3.31,2.37,5.0,2022,66
1.0,3:35,2.0,13.0,NYG 37,0.0,3.0,"Aaron Rodgers pass incomplete intended for Robert Tonyan. Penalty on Xavier McKinney: Defensive Pass Interference, 33 yards (accepted) (no play)",2.37,6.28,5.0,2022,66
1.0,3:26,1.0,4.0,NYG 4,0.0,3.0,Aaron Rodgers pass incomplete short left intended for Randall Cobb,6.28,5.34,5.0,2022,66
1.0,3:22,2.0,4.0,NYG 4,0.0,9.0,"Aaron Rodgers pass complete short right to Allen Lazard for 4 yards, touchdown",5.34,7.0,5.0,2022,66
1.0,3:19,,,NYG 15,0.0,10.0,Mason Crosby kicks extra point good,0.0,0.0,5.0,2022,66
1.0,3:19,,,GNB 35,0.0,10.0,"Mason Crosby kicks off 64 yards, returned by Gary Brightwell for 23 yards (tackle by Tipa Galeai)",0.0,0.54,5.0,2022,66
1.0,3:14,1.0,10.0,NYG 24,0.0,10.0,Daniel Jones pass complete short left to Darius Slayton for 26 yards (tackle by Eric Stokes),0.54,2.26,5.0,2022,66
1.0,2:40,1.0,10.0,NYG 50,0.0,10.0,Saquon Barkley right guard for 5 yards (tackle by Tedarrell Slaton),2.26,2.39,5.0,2022,66
1.0,2:03,2.0,5.0,GNB 45,0.0,10.0,Daniel Jones pass complete short right to Daniel Bellinger for 11 yards (tackle by Quay Walker),2.39,3.31,5.0,2022,66
1.0,1:25,1.0,10.0,GNB 34,0.0,10.0,"Saquon Barkley for 1 yard (tackle by Jaire Alexander). Penalty on Daniel Bellinger: Offensive Holding, 10 yards (accepted)",3.31,2.65,5.0,2022,66
1.0,0:56,1.0,20.0,GNB 44,0.0,10.0,Daniel Jones pass incomplete deep left intended for Darius Slayton,2.65,1.55,5.0,2022,66
1.0,0:52,2.0,19.0,GNB 43,0.0,10.0,Daniel Jones pass complete short left to Marcus Johnson for 12 yards (tackle by Jaire Alexander),1.55,2.48,5.0,2022,66
1.0,0:16,3.0,7.0,GNB 31,0.0,10.0,Daniel Jones pass incomplete short left intended for Saquon Barkley,2.48,1.32,5.0,2022,66
1.0,0:14,4.0,7.0,GNB 31,3.0,10.0,Graham Gano 48 yard field goal good,1.32,3.0,5.0,2022,66
1.0,0:09,,,NYG 35,3.0,10.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,66
1.0,0:09,1.0,10.0,GNB 25,3.0,10.0,Aaron Jones up the middle for 3 yards (tackle by Micah McFadden and Justin Ellis),0.61,0.47,5.0,2022,66
2.0,15:00,2.0,7.0,GNB 28,3.0,10.0,Aaron Rodgers pass complete short left to Aaron Jones for 8 yards (tackle by Micah McFadden),0.47,1.33,5.0,2022,66
2.0,14:27,1.0,10.0,GNB 36,3.0,10.0,Aaron Jones right end for 2 yards (tackle by Julian Love),1.33,1.06,5.0,2022,66
2.0,13:41,2.0,8.0,GNB 38,3.0,10.0,Aaron Rodgers pass complete short right to Josiah Deguara for 12 yards (tackle by Xavier McKinney),1.06,2.19,5.0,2022,66
2.0,13:02,1.0,10.0,GNB 49,3.0,10.0,Aaron Rodgers pass complete to Josiah Deguara for 7 yards (tackle by Jaylon Smith and Fabian Moreau),2.19,2.73,5.0,2022,66
2.0,12:18,2.0,2.0,NYG 43,3.0,10.0,Aaron Jones left tackle for 4 yards (tackle by Nick Williams and Tomon Fox),2.73,2.98,5.0,2022,66
2.0,11:38,1.0,10.0,NYG 39,3.0,10.0,AJ Dillon up the middle for 5 yards (tackle by Dexter Lawrence),2.98,3.12,5.0,2022,66
2.0,10:56,2.0,5.0,NYG 34,3.0,10.0,Aaron Rodgers pass complete short right to Aaron Jones for 9 yards (tackle by Tae Crowder),3.12,3.91,5.0,2022,66
2.0,10:13,1.0,10.0,NYG 25,3.0,10.0,Aaron Rodgers pass complete short left to Allen Lazard for 5 yards (tackle by Adoree' Jackson),3.91,4.04,5.0,2022,66
2.0,9:25,2.0,5.0,NYG 20,3.0,10.0,Aaron Rodgers pass complete short middle to Christian Watson for 1 yard (tackle by Jaylon Smith),4.04,3.49,5.0,2022,66
2.0,8:39,3.0,4.0,NYG 19,3.0,10.0,Aaron Jones up the middle for 8 yards (tackle by Tony Jefferson),3.49,4.84,5.0,2022,66
2.0,7:58,1.0,10.0,NYG 11,3.0,10.0,Aaron Rodgers pass complete short left to Randall Cobb for 9 yards (tackle by Dane Belton and Tony Jefferson),4.84,5.85,5.0,2022,66
2.0,7:29,2.0,1.0,NYG 2,3.0,16.0,"Aaron Rodgers pass complete short left to Marcedes Lewis for 2 yards, touchdown",5.85,7.0,5.0,2022,66
2.0,7:25,,,NYG 15,3.0,17.0,Mason Crosby kicks extra point good,0.0,0.0,5.0,2022,66
2.0,7:25,,,GNB 35,3.0,17.0,"Mason Crosby kicks off 63 yards, returned by Gary Brightwell for 12 yards (tackle by Shemar Jean-Charles and Rudy Ford)",0.0,-0.28,5.0,2022,66
2.0,7:19,1.0,10.0,NYG 14,3.0,17.0,"Daniel Jones sacked by Jarran Reed for no gain. Daniel Jones fumbles (forced by Jarran Reed), recovered by Daniel Jones at NYG-7. Penalty on Rasul Douglas: Defensive Holding, 5 yards (accepted) (no play)",-0.28,0.15,5.0,2022,66
2.0,7:00,1.0,10.0,NYG 19,3.0,17.0,Daniel Jones scrambles right end for 3 yards (tackle by De'Vondre Campbell),0.15,0.07,5.0,2022,66
2.0,6:28,2.0,7.0,NYG 22,3.0,17.0,Saquon Barkley left tackle for 40 yards (tackle by Eric Stokes),0.07,3.05,5.0,2022,66
2.0,6:04,1.0,10.0,GNB 38,3.0,17.0,Daniel Jones pass complete short right to Darius Slayton for 10 yards (tackle by Eric Stokes),3.05,3.71,5.0,2022,66
2.0,5:31,1.0,10.0,GNB 28,3.0,17.0,Daniel Jones sacked by Preston Smith for -4 yards,3.71,2.63,5.0,2022,66
2.0,4:45,2.0,14.0,GNB 32,3.0,17.0,Daniel Jones pass complete short left to Richie James for 1 yard (tackle by Kingsley Enagbare),2.63,2.08,5.0,2022,66
2.0,4:07,3.0,13.0,GNB 31,3.0,17.0,Daniel Jones pass complete short middle to Richie James for 15 yards (tackle by Darnell Savage),2.08,4.51,5.0,2022,66
2.0,3:28,1.0,10.0,GNB 16,3.0,17.0,Saquon Barkley left guard for 1 yard (tackle by Dean Lowry),4.51,4.05,5.0,2022,66
2.0,2:48,2.0,9.0,GNB 15,3.0,17.0,Daniel Jones pass incomplete short left intended for Daniel Bellinger (defended by Jonathan Garvin),4.05,3.22,5.0,2022,66
2.0,2:45,3.0,9.0,GNB 15,3.0,17.0,Daniel Jones pass complete short right to Darius Slayton for 10 yards (tackle by Eric Stokes and Quay Walker),3.22,5.83,5.0,2022,66
2.0,2:00,1.0,6.0,GNB 6,3.0,17.0,Matt Breida left guard for 3 yards (tackle by Kenny Clark),5.83,5.72,5.0,2022,66
2.0,1:22,2.0,2.0,GNB 2,9.0,17.0,"Daniel Bellinger right end for 2 yards, touchdown",5.72,7.0,5.0,2022,66
2.0,1:15,,,GNB 15,10.0,17.0,Graham Gano kicks extra point good,0.0,0.0,5.0,2022,66
2.0,1:15,,,NYG 35,10.0,17.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,66
2.0,1:15,1.0,10.0,GNB 25,10.0,17.0,Aaron Jones left guard for 11 yards (tackle by Julian Love),0.61,1.33,5.0,2022,66
2.0,0:52,1.0,10.0,GNB 36,10.0,17.0,Aaron Rodgers pass complete short right to Randall Cobb for 9 yards (tackle by Darnay Holmes and Adoree' Jackson),1.33,1.87,5.0,2022,66
2.0,0:46,,,,,,Timeout #1 by Green Bay Packers,,,5.0,2022,66
2.0,0:46,2.0,2.0,GNB 44,10.0,17.0,Aaron Rodgers pass complete short right to Robert Tonyan for 6 yards (tackle by Tony Jefferson),1.87,2.32,5.0,2022,66
2.0,0:43,,,,,,Timeout #2 by Green Bay Packers,,,5.0,2022,66
2.0,0:43,1.0,10.0,NYG 49,10.0,17.0,Aaron Rodgers pass complete short middle to Randall Cobb for 20 yards (tackle by Xavier McKinney),2.32,3.64,5.0,2022,66
2.0,0:38,,,,,,Timeout #3 by Green Bay Packers,,,5.0,2022,66
2.0,0:38,1.0,10.0,NYG 29,10.0,17.0,Aaron Rodgers pass incomplete deep left intended for Randall Cobb (defended by Darnay Holmes),3.64,3.1,5.0,2022,66
2.0,0:34,2.0,10.0,NYG 29,10.0,17.0,Aaron Rodgers pass incomplete short right intended for Romeo Doubs,3.1,2.41,5.0,2022,66
2.0,0:31,3.0,10.0,NYG 29,10.0,17.0,Aaron Rodgers pass complete short right to Robert Tonyan for -1 yards (tackle by Julian Love),2.41,1.32,5.0,2022,66
2.0,0:04,4.0,12.0,NYG 31,10.0,20.0,Mason Crosby 48 yard field goal good,1.32,3.0,5.0,2022,66
3.0,15:00,,,GNB 35,10.0,20.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,66
3.0,14:50,1.0,10.0,NYG 25,10.0,20.0,"Daniel Jones sacked by Rashan Gary for no gain. Penalty on Darnell Savage: Defensive Holding, 5 yards (accepted) (no play)",0.61,0.94,5.0,2022,66
3.0,14:34,1.0,10.0,NYG 30,10.0,20.0,Saquon Barkley up the middle for 5 yards (tackle by Jarran Reed),0.94,1.07,5.0,2022,66
3.0,14:01,2.0,5.0,NYG 35,10.0,20.0,Saquon Barkley left tackle for 2 yards (tackle by Dean Lowry),1.07,0.63,5.0,2022,66
3.0,13:16,3.0,3.0,NYG 37,10.0,20.0,Daniel Jones pass complete to Darius Slayton for 14 yards (tackle by De'Vondre Campbell),0.63,2.32,5.0,2022,66
3.0,12:36,1.0,10.0,GNB 49,10.0,20.0,Daniel Jones pass complete short left to Darius Slayton for 13 yards (tackle by Darnell Savage),2.32,3.18,5.0,2022,66
3.0,11:58,1.0,10.0,GNB 36,10.0,20.0,Saquon Barkley up the middle for 5 yards (tackle by Darnell Savage),3.18,3.31,5.0,2022,66
3.0,11:23,2.0,5.0,GNB 31,10.0,20.0,Saquon Barkley up the middle for 1 yard (tackle by Tedarrell Slaton),3.31,2.74,5.0,2022,66
3.0,10:48,3.0,4.0,GNB 30,10.0,20.0,Daniel Jones up the middle for 6 yards (tackle by Quay Walker),2.74,3.97,5.0,2022,66
3.0,10:19,1.0,10.0,GNB 24,10.0,20.0,Saquon Barkley left guard for no gain (tackle by Preston Smith),3.97,3.43,5.0,2022,66
3.0,9:37,2.0,10.0,GNB 24,10.0,20.0,Daniel Jones pass complete short right to David Sills for 7 yards (tackle by Adrian Amos),3.43,3.75,5.0,2022,66
3.0,8:57,3.0,3.0,GNB 17,10.0,20.0,"Penalty on Ben Bredeson: False Start, 5 yards (accepted) (no play)",3.75,3.01,5.0,2022,66
3.0,8:35,3.0,8.0,GNB 22,10.0,20.0,Daniel Jones up the middle for 3 yards (tackle by Rashan Gary),3.01,2.24,5.0,2022,66
3.0,8:02,4.0,5.0,GNB 19,13.0,20.0,Graham Gano 37 yard field goal good,2.24,3.0,5.0,2022,66
3.0,7:57,,,NYG 35,13.0,20.0,"Graham Gano kicks off 60 yards, returned by Christian Watson for 17 yards (tackle by Justin Layne). Penalty on Isaiah McDuffie: Offensive Holding, 10 yards (accepted)",0.0,1.07,5.0,2022,66
3.0,7:50,1.0,10.0,GNB 32,13.0,20.0,Aaron Rodgers pass complete to Allen Lazard for 17 yards (tackle by Nick McCloud),1.07,0.87,5.0,2022,66
3.0,7:05,1.0,10.0,GNB 29,13.0,20.0,Aaron Jones left guard for 3 yards (tackle by Dexter Lawrence and Nick Williams),0.87,0.73,5.0,2022,66
3.0,6:12,2.0,7.0,GNB 32,13.0,20.0,"Aaron Rodgers pass incomplete intended for Romeo Doubs. Penalty on Nick McCloud: Illegal Contact, 5 yards (accepted) (no play)",0.73,1.4,5.0,2022,66
3.0,6:12,1.0,10.0,GNB 37,13.0,20.0,AJ Dillon right tackle for 11 yards (tackle by Jaylon Smith),1.4,2.13,5.0,2022,66
3.0,5:31,1.0,10.0,GNB 48,13.0,20.0,"Aaron Rodgers pass incomplete short right intended for Randall Cobb GNB challenged the pass completion ruling, and the original play was overturned. Aaron Rodgers pass complete to Randall Cobb for 14 yards",2.13,3.05,5.0,2022,66
3.0,5:02,1.0,10.0,NYG 38,13.0,20.0,Aaron Jones left guard for 2 yards (tackle by Oshane Ximines),3.05,2.78,5.0,2022,66
3.0,4:15,2.0,8.0,NYG 36,13.0,20.0,Aaron Rodgers pass incomplete deep left intended for Romeo Doubs,2.78,2.08,5.0,2022,66
3.0,4:09,,,,,,Timeout #1 by Green Bay Packers,,,5.0,2022,66
3.0,4:09,3.0,8.0,NYG 36,13.0,20.0,Aaron Rodgers sacked by Dexter Lawrence for -6 yards,2.08,0.46,5.0,2022,66
3.0,3:25,4.0,14.0,NYG 42,13.0,20.0,Pat O'Donnell punts 33 yards downed by Keisean Nixon,0.46,0.38,5.0,2022,66
3.0,3:15,1.0,10.0,NYG 8,13.0,20.0,Daniel Jones pass complete short right to Saquon Barkley for -1 yards (tackle by De'Vondre Campbell),-0.38,-0.85,5.0,2022,66
3.0,2:39,2.0,11.0,NYG 8,13.0,20.0,Daniel Jones pass complete short right to Matt Breida for 13 yards (tackle by Adrian Amos),-0.85,0.34,5.0,2022,66
3.0,2:11,1.0,10.0,NYG 21,13.0,20.0,"Daniel Jones scrambles right end for 14 yards (tackle by De'Vondre Campbell). Penalty on Rasul Douglas: Defensive Holding, 5 yards (accepted)",0.34,1.6,5.0,2022,66
3.0,1:45,1.0,10.0,NYG 40,13.0,20.0,Matt Breida left tackle for -1 yards (tackle by Jarran Reed and Quay Walker),1.6,0.92,5.0,2022,66
3.0,1:02,2.0,11.0,NYG 39,13.0,20.0,Daniel Jones pass complete short left to Marcus Johnson for 7 yards (tackle by Jaire Alexander),0.92,1.16,5.0,2022,66
3.0,0:26,3.0,4.0,NYG 46,13.0,20.0,Daniel Jones pass complete short middle to Daniel Bellinger for 11 yards (tackle by Jaire Alexander and Quay Walker),1.16,2.72,5.0,2022,66
4.0,15:00,1.0,10.0,GNB 43,13.0,20.0,Daniel Jones up the middle for 3 yards (tackle by Dean Lowry and Tedarrell Slaton),2.72,2.58,5.0,2022,66
4.0,14:24,2.0,7.0,GNB 40,13.0,20.0,Daniel Jones scrambles right guard for 8 yards (tackle by Quay Walker),2.58,3.51,5.0,2022,66
4.0,13:37,1.0,10.0,GNB 31,13.0,20.0,Matt Breida left guard for 2 yards (tackle by Preston Smith),3.51,3.1,5.0,2022,66
4.0,13:00,2.0,9.0,GNB 30,13.0,20.0,Daniel Jones pass complete short right to Marcus Johnson for 16 yards (tackle by Eric Stokes),3.1,4.65,5.0,2022,66
4.0,12:15,1.0,10.0,GNB 14,13.0,20.0,Gary Brightwell right guard for 3 yards (tackle by Jarran Reed and Tedarrell Slaton),4.65,4.52,5.0,2022,66
4.0,11:33,2.0,7.0,GNB 11,13.0,20.0,Daniel Jones pass complete short middle to Chris Myarick for 4 yards (tackle by Rashan Gary),4.52,4.5,5.0,2022,66
4.0,10:48,3.0,3.0,GNB 7,13.0,20.0,Daniel Jones pass complete short right to David Sills for 5 yards (tackle by Quay Walker),4.5,6.74,5.0,2022,66
4.0,10:19,1.0,2.0,GNB 2,13.0,20.0,Daniel Jones pass incomplete short right,6.74,5.72,5.0,2022,66
4.0,10:14,2.0,2.0,GNB 2,19.0,20.0,"Gary Brightwell up the middle for 2 yards, touchdown",5.72,7.0,5.0,2022,66
4.0,10:08,,,GNB 15,20.0,20.0,Graham Gano kicks extra point good,0.0,0.0,5.0,2022,66
4.0,10:08,,,NYG 35,20.0,20.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,66
4.0,10:08,1.0,10.0,GNB 25,20.0,20.0,Aaron Rodgers pass incomplete deep right intended for Allen Lazard,0.61,0.06,5.0,2022,66
4.0,10:03,2.0,10.0,GNB 25,20.0,20.0,Aaron Rodgers pass incomplete short middle intended for Randall Cobb (defended by Nick McCloud),0.06,-0.62,5.0,2022,66
4.0,9:59,3.0,10.0,GNB 25,20.0,20.0,Aaron Rodgers pass incomplete deep left intended for Allen Lazard (defended by Fabian Moreau),-0.62,-1.7,5.0,2022,66
4.0,9:52,4.0,10.0,GNB 25,20.0,20.0,Pat O'Donnell punts 41 yards,-1.7,-1.6,5.0,2022,66
4.0,9:42,1.0,10.0,NYG 40,20.0,20.0,Daniel Jones pass complete to Matt Breida for no gain (tackle by De'Vondre Campbell),1.6,1.05,5.0,2022,66
4.0,9:10,2.0,10.0,NYG 40,20.0,20.0,Daniel Jones pass complete short left to Saquon Barkley for 41 yards (tackle by Quay Walker),1.05,4.24,5.0,2022,66
4.0,8:32,1.0,10.0,GNB 20,20.0,20.0,Matt Breida right guard for 10 yards (tackle by Eric Stokes),4.24,5.14,5.0,2022,66
4.0,7:53,1.0,9.0,GNB 9,20.0,20.0,Daniel Jones left end for 4 yards (tackle by Adrian Amos),5.14,5.15,5.0,2022,66
4.0,7:09,2.0,5.0,GNB 5,20.0,20.0,"Saquon Barkley for no gain. Penalty on Andrew Thomas: Illegal Formation, 5 yards (accepted) (no play)",5.15,4.19,5.0,2022,66
4.0,6:40,2.0,10.0,GNB 10,20.0,20.0,"Daniel Jones pass complete short right to Darius Slayton for 6 yards (tackle by Rasul Douglas). Penalty on Rasul Douglas: Unnecessary Roughness / Defense, 2 yards (accepted)",4.19,6.74,5.0,2022,66
4.0,6:12,1.0,2.0,GNB 2,26.0,20.0,"Saquon Barkley right end for 2 yards, touchdown",6.74,7.0,5.0,2022,66
4.0,6:08,,,GNB 15,27.0,20.0,Graham Gano kicks extra point good,0.0,0.0,5.0,2022,66
4.0,6:08,,,NYG 35,27.0,20.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,66
4.0,6:08,1.0,10.0,GNB 25,27.0,20.0,Aaron Rodgers pass incomplete deep right intended for Randall Cobb,0.61,0.06,5.0,2022,66
4.0,6:01,2.0,10.0,GNB 25,27.0,20.0,Aaron Jones up the middle for 6 yards (tackle by Jaylon Smith and Tae Crowder),0.06,0.17,5.0,2022,66
4.0,5:31,3.0,4.0,GNB 31,27.0,20.0,Aaron Rodgers pass complete short right to Robert Tonyan for 14 yards (tackle by Julian Love),0.17,1.93,5.0,2022,66
4.0,4:47,1.0,10.0,GNB 45,27.0,20.0,AJ Dillon right tackle for 2 yards (tackle by Tomon Fox and Justin Ellis),1.93,1.65,5.0,2022,66
4.0,4:10,2.0,8.0,GNB 47,27.0,20.0,Aaron Rodgers pass complete short left to Randall Cobb for 9 yards (tackle by Darnay Holmes),1.65,2.65,5.0,2022,66
4.0,4:01,1.0,10.0,NYG 44,27.0,20.0,Aaron Jones left end for 8 yards (tackle by Justin Layne),2.65,3.19,5.0,2022,66
4.0,3:23,2.0,2.0,NYG 36,27.0,20.0,Aaron Rodgers pass incomplete short left intended for Allen Lazard (defended by Justin Layne),3.19,2.48,5.0,2022,66
4.0,3:19,3.0,2.0,NYG 36,27.0,20.0,Aaron Rodgers pass complete short left to Allen Lazard for 9 yards (tackle by Justin Layne),2.48,3.78,5.0,2022,66
4.0,2:45,1.0,10.0,NYG 27,27.0,20.0,Aaron Rodgers pass complete short right to Romeo Doubs for 8 yards (tackle by Nick McCloud and Julian Love),3.78,4.18,5.0,2022,66
4.0,2:03,2.0,3.0,NYG 20,27.0,20.0,Aaron Rodgers pass complete short right to Robert Tonyan for 4 yards (tackle by Nick McCloud),4.18,4.65,5.0,2022,66
4.0,1:58,1.0,10.0,NYG 14,27.0,20.0,Aaron Jones up the middle for 7 yards (tackle by Jaylon Smith and Xavier McKinney),4.65,5.09,5.0,2022,66
4.0,1:18,2.0,4.0,NYG 8,27.0,20.0,Aaron Jones up the middle for 2 yards (tackle by Kayvon Thibodeaux),5.09,4.56,5.0,2022,66
4.0,1:11,,,,,,Timeout #1 by New York Giants,,,5.0,2022,66
4.0,1:11,3.0,3.0,NYG 6,27.0,20.0,Aaron Rodgers pass incomplete short left intended for Randall Cobb (defended by Kayvon Thibodeaux),4.56,3.01,5.0,2022,66
4.0,1:05,4.0,2.0,NYG 6,27.0,20.0,Aaron Rodgers pass incomplete short right intended for Allen Lazard (defended by Xavier McKinney),3.01,0.38,5.0,2022,66
4.0,1:02,1.0,10.0,NYG 6,27.0,20.0,Daniel Jones kneels for -1 yards,-0.38,-0.85,5.0,2022,66
4.0,1:01,,,,,,Timeout #2 by Green Bay Packers,,,5.0,2022,66
4.0,1:01,2.0,11.0,NYG 5,27.0,20.0,Daniel Jones kneels for -1 yards,-0.85,-1.65,5.0,2022,66
4.0,0:58,,,,,,Timeout #3 by Green Bay Packers,,,5.0,2022,66
4.0,0:58,3.0,12.0,NYG 4,27.0,20.0,Daniel Jones kneels for -2 yards,-1.65,-2.49,5.0,2022,66
4.0,0:15,,,,,,Timeout #2 by New York Giants,,,5.0,2022,66
4.0,0:15,4.0,13.0,NYG 3,27.0,22.0,"Jamie Gillan left end for -3 yards (tackle by Josiah Deguara), safety. Penalty on NYG: Offensive Holding, 10 yards (declined)",-2.49,-2.0,5.0,2022,66
4.0,0:11,,,NYG 20,27.0,22.0,"Jamie Gillan kicks off 57 yards, returned by Amari Rodgers for 18 yards (tackle by Tony Jefferson)",0.0,1.66,5.0,2022,66
4.0,0:07,1.0,10.0,GNB 41,27.0,22.0,"Penalty on David Bakhtiari: False Start, 5 yards (accepted) (no play)",1.66,1.33,5.0,2022,66
4.0,0:07,1.0,15.0,GNB 36,27.0,22.0,"Aaron Rodgers sacked by Oshane Ximines for -9 yards. Aaron Rodgers fumbles (forced by Oshane Ximines), recovered by Jon Runyan at GB-24",1.33,-0.77,5.0,2022,66
