Quarter,Time,Down,ToGo,Location,PHI,ARI,Detail,EPB,EPA,week,year,game_id
1.0,7:56,1.0,10.0,PHI 35,7.0,0.0,Jalen Hurts up the middle for 5 yards (tackle by Zaven Collins),1.27,1.4,5.0,2022,77
1.0,7:13,2.0,5.0,PHI 40,7.0,0.0,Miles Sanders left tackle for 4 yards (tackle by Zach Allen),1.4,1.22,5.0,2022,77
1.0,6:50,3.0,1.0,PHI 44,7.0,0.0,Jalen Hurts left end for -1 yards (tackle by Marco Wilson),1.22,-0.52,5.0,2022,77
1.0,6:13,4.0,2.0,PHI 43,7.0,0.0,"Arryn Siposs punts 45 yards, fair catch by Greg Dortch at ARI-12",-0.52,0.35,5.0,2022,77
1.0,6:05,1.0,10.0,ARI 12,7.0,0.0,Eno Benjamin left end for 5 yards (tackle by T.J. Edwards),-0.35,-0.23,5.0,2022,77
1.0,5:40,2.0,5.0,ARI 17,7.0,0.0,Kyler Murray pass complete short middle to Zach Ertz for 9 yards (tackle by C.J. Gardner-Johnson),-0.23,0.67,5.0,2022,77
1.0,5:20,1.0,10.0,ARI 26,7.0,0.0,Kyler Murray pass complete short left to Marquise Brown for 10 yards (tackle by Darius Slay),0.67,1.33,5.0,2022,77
1.0,4:52,1.0,10.0,ARI 36,7.0,0.0,Kyler Murray pass incomplete short middle,1.33,0.79,5.0,2022,77
1.0,4:48,2.0,10.0,ARI 36,7.0,0.0,James Conner left tackle for 4 yards (tackle by Kyzir White and Marlon Tuipulotu),0.79,0.63,5.0,2022,77
1.0,4:19,3.0,6.0,ARI 40,7.0,0.0,Kyler Murray pass complete short left to James Conner for 8 yards (tackle by T.J. Edwards and Kyzir White),0.63,2.13,5.0,2022,77
1.0,3:55,1.0,10.0,ARI 48,7.0,0.0,James Conner up the middle for 5 yards (tackle by Kyzir White),2.13,2.26,5.0,2022,77
1.0,3:20,2.0,5.0,PHI 47,7.0,0.0,Rondale Moore left end for -5 yards (tackle by C.J. Gardner-Johnson),2.26,0.89,5.0,2022,77
1.0,2:46,3.0,10.0,ARI 48,7.0,0.0,Kyler Murray pass incomplete deep left intended for A.J. Green,0.89,-0.19,5.0,2022,77
1.0,2:39,4.0,10.0,ARI 48,7.0,0.0,"Andy Lee punts 39 yards, fair catch by Britain Covey at PHI-13",-0.19,0.32,5.0,2022,77
1.0,2:31,1.0,10.0,PHI 13,7.0,0.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Byron Murphy),-0.32,-0.77,5.0,2022,77
1.0,2:25,2.0,10.0,PHI 13,7.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for -2 yards (tackle by Zach Allen and Michael Dogbe),-0.77,-1.65,5.0,2022,77
1.0,1:39,3.0,12.0,PHI 11,7.0,0.0,Jalen Hurts pass complete deep left to DeVonta Smith for 22 yards (tackle by Byron Murphy),-1.65,1.14,5.0,2022,77
1.0,1:06,1.0,10.0,PHI 33,7.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 8 yards (tackle by Jalen Thompson),1.14,1.67,5.0,2022,77
1.0,0:29,2.0,2.0,PHI 41,7.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 20 yards (tackle by Byron Murphy and Isaiah Simmons),1.67,2.98,5.0,2022,77
2.0,15:00,1.0,10.0,ARI 39,7.0,0.0,Jalen Hurts pass complete short left to Quez Watkins for 7 yards (tackle by Isaiah Simmons),2.98,3.39,5.0,2022,77
2.0,14:26,2.0,3.0,ARI 32,7.0,0.0,Miles Sanders up the middle for no gain (tackle by Zach Allen),3.39,2.68,5.0,2022,77
2.0,13:45,3.0,3.0,ARI 32,7.0,0.0,Miles Sanders up the middle for 4 yards (tackle by Leki Fotu and Isaiah Simmons),2.68,3.71,5.0,2022,77
2.0,13:04,1.0,10.0,ARI 28,7.0,0.0,Jalen Hurts pass incomplete deep right,3.71,3.17,5.0,2022,77
2.0,12:55,2.0,10.0,ARI 28,7.0,0.0,Jalen Hurts scrambles left end for 17 yards (tackle by Isaiah Simmons),3.17,4.84,5.0,2022,77
2.0,12:27,1.0,10.0,ARI 11,7.0,0.0,"Jalen Hurts left end for 10 yards (tackle by Isaiah Simmons). Penalty on A.J. Brown: Offensive Holding, 10 yards (accepted)",4.84,4.84,5.0,2022,77
2.0,12:22,1.0,10.0,ARI 11,7.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 7 yards (tackle by Marco Wilson),4.84,5.47,5.0,2022,77
2.0,11:45,2.0,3.0,ARI 4,7.0,0.0,Miles Sanders up the middle for 2 yards (tackle by Budda Baker and Cameron Thomas),5.47,5.12,5.0,2022,77
2.0,11:22,3.0,1.0,ARI 2,7.0,0.0,Jalen Hurts up the middle for 1 yard (tackle by Leki Fotu and Budda Baker),5.12,6.97,5.0,2022,77
2.0,10:53,1.0,1.0,ARI 1,7.0,0.0,Jalen Hurts up the middle for no gain (tackle by Cameron Thomas and Ben Niemann),6.97,5.91,5.0,2022,77
2.0,10:14,,,,,,Timeout #1 by Philadelphia Eagles,,,5.0,2022,77
2.0,10:14,2.0,1.0,ARI 1,13.0,0.0,"Jalen Hurts up the middle for 1 yard, touchdown",5.91,7.0,5.0,2022,77
2.0,10:11,,,ARI 15,14.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,5.0,2022,77
2.0,10:11,,,PHI 35,14.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,77
2.0,10:11,1.0,10.0,ARI 25,14.0,0.0,Kyler Murray pass incomplete deep right intended for A.J. Green,0.61,0.06,5.0,2022,77
2.0,10:05,2.0,10.0,ARI 25,14.0,0.0,James Conner up the middle for 3 yards (tackle by Kyzir White),0.06,-0.23,5.0,2022,77
2.0,9:35,3.0,7.0,ARI 28,14.0,0.0,Kyler Murray pass incomplete deep middle intended for Zach Ertz,-0.23,-1.5,5.0,2022,77
2.0,9:31,4.0,7.0,ARI 28,14.0,0.0,"Andy Lee punts 55 yards, returned by Britain Covey for 7 yards (tackle by Antonio Hamilton)",-1.5,-0.54,5.0,2022,77
2.0,9:20,1.0,10.0,PHI 24,14.0,0.0,"Jalen Hurts pass intended for A.J. Brown is intercepted by Jalen Thompson at PHI-40 and returned for -2 yards Replay Assistant challenged the pass interception ruling, and the original play was overturned. Jalen Hurts pass incomplete deep left intended for A.J. Brown (defended by Jalen Thompson)",0.54,0.0,5.0,2022,77
2.0,9:15,2.0,10.0,PHI 24,14.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for -1 yards (tackle by Byron Murphy),0.0,-0.82,5.0,2022,77
2.0,8:31,3.0,11.0,PHI 23,14.0,0.0,Jalen Hurts sacked by Zach Allen for -11 yards,-0.82,-2.49,5.0,2022,77
2.0,7:53,4.0,22.0,PHI 12,14.0,0.0,"Arryn Siposs punts 55 yards, returned by Greg Dortch for 10 yards (tackle by Kyron Johnson and Zech McPhearson)",-2.49,-1.8,5.0,2022,77
2.0,7:40,1.0,10.0,ARI 43,14.0,0.0,James Conner up the middle for 13 yards (tackle by Kyzir White and T.J. Edwards),1.8,2.65,5.0,2022,77
2.0,7:22,1.0,10.0,PHI 44,14.0,0.0,Kyler Murray pass complete short right to Rondale Moore for -2 yards (tackle by Josiah Scott),2.65,1.84,5.0,2022,77
2.0,6:49,2.0,12.0,PHI 46,14.0,0.0,Kyler Murray pass complete short left to Marquise Brown for 14 yards (tackle by Darius Slay),1.84,3.45,5.0,2022,77
2.0,6:22,1.0,10.0,PHI 32,14.0,0.0,James Conner right tackle for 8 yards (tackle by Marlon Tuipulotu),3.45,3.98,5.0,2022,77
2.0,6:00,2.0,2.0,PHI 24,14.0,0.0,James Conner up the middle for -1 yards (tackle by Marcus Epps),3.98,3.14,5.0,2022,77
2.0,5:33,3.0,3.0,PHI 25,14.0,6.0,"Kyler Murray pass complete short middle to Marquise Brown for 25 yards, touchdown",3.14,7.0,5.0,2022,77
2.0,5:24,,,PHI 15,14.0,7.0,Matt Ammendola kicks extra point good,0.0,0.0,5.0,2022,77
2.0,5:24,,,ARI 35,14.0,7.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,77
2.0,5:24,1.0,10.0,PHI 25,14.0,7.0,Jalen Hurts pass complete short right to Quez Watkins for 6 yards (tackle by Zaven Collins),0.61,0.87,5.0,2022,77
2.0,4:54,2.0,4.0,PHI 31,14.0,7.0,Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Byron Murphy and Jalen Thompson),0.87,1.6,5.0,2022,77
2.0,4:23,1.0,10.0,PHI 40,14.0,7.0,Jalen Hurts pass incomplete short left intended for A.J. Brown,1.6,1.05,5.0,2022,77
2.0,4:19,2.0,10.0,PHI 40,14.0,7.0,Jalen Hurts pass complete short left to DeVonta Smith for 8 yards (tackle by Isaiah Simmons),1.05,1.42,5.0,2022,77
2.0,3:38,3.0,2.0,PHI 48,14.0,7.0,Jalen Hurts pass incomplete short right,1.42,-0.19,5.0,2022,77
2.0,3:34,4.0,2.0,PHI 48,14.0,7.0,Arryn Siposs punts 45 yards downed by Zech McPhearson,-0.19,0.38,5.0,2022,77
2.0,3:22,1.0,10.0,ARI 7,14.0,7.0,James Conner left tackle for 2 yards (tackle by Jordan Davis),-0.38,-0.63,5.0,2022,77
2.0,2:49,2.0,8.0,ARI 9,14.0,7.0,Kyler Murray pass complete short middle to Marquise Brown for 13 yards (tackle by C.J. Gardner-Johnson and Darius Slay),-0.63,0.41,5.0,2022,77
2.0,2:29,1.0,10.0,ARI 22,14.0,7.0,Kyler Murray pass incomplete short middle intended for Marquise Brown,0.41,-0.13,5.0,2022,77
2.0,2:25,2.0,10.0,ARI 22,14.0,7.0,Kyler Murray pass complete short left to Zach Ertz for 6 yards (tackle by C.J. Gardner-Johnson),-0.13,-0.03,5.0,2022,77
2.0,2:00,3.0,4.0,ARI 28,14.0,7.0,Kyler Murray pass incomplete deep middle intended for Zach Ertz (defended by Marcus Epps),-0.03,-1.5,5.0,2022,77
2.0,1:55,4.0,4.0,ARI 28,14.0,7.0,Darrel Williams right end for 7 yards (tackle by Andre Chachere and Reed Blankenship),-1.5,1.27,5.0,2022,77
2.0,1:48,,,,,,Timeout #1 by Arizona Cardinals,,,5.0,2022,77
2.0,1:48,1.0,10.0,ARI 35,14.0,7.0,Kyler Murray pass complete short left to Rondale Moore for 9 yards (tackle by Josh Sweat),1.27,1.94,5.0,2022,77
2.0,1:28,2.0,1.0,ARI 44,14.0,7.0,Kyler Murray pass complete short left to Zach Ertz for 9 yards (tackle by C.J. Gardner-Johnson),1.94,2.46,5.0,2022,77
2.0,1:23,1.0,10.0,PHI 47,14.0,7.0,Kyler Murray pass complete short left to Marquise Brown for 9 yards (tackle by Darius Slay),2.46,3.13,5.0,2022,77
2.0,1:06,2.0,1.0,PHI 38,14.0,7.0,Darrel Williams left tackle for no gain (tackle by Javon Hargrave),3.13,2.41,5.0,2022,77
2.0,1:00,,,,,,Timeout #2 by Arizona Cardinals,,,5.0,2022,77
2.0,1:00,3.0,1.0,PHI 38,14.0,7.0,James Conner up the middle for 17 yards (tackle by Marcus Epps),2.41,4.17,5.0,2022,77
2.0,0:45,,,,,,Timeout #2 by Philadelphia Eagles,,,5.0,2022,77
2.0,0:45,1.0,10.0,PHI 21,14.0,7.0,Kyler Murray pass complete short middle to Rondale Moore for 8 yards (tackle by T.J. Edwards),4.17,4.95,5.0,2022,77
2.0,0:19,2.0,2.0,PHI 13,14.0,7.0,Kyler Murray pass complete short middle to Eno Benjamin for 11 yards (tackle by Darius Slay and Marcus Epps),4.95,6.74,5.0,2022,77
2.0,0:10,,,,,,Timeout #3 by Arizona Cardinals,,,5.0,2022,77
2.0,0:10,1.0,2.0,PHI 2,14.0,7.0,Kyler Murray pass incomplete short left intended for Rondale Moore,6.74,5.72,5.0,2022,77
2.0,0:07,2.0,2.0,PHI 2,14.0,7.0,Kyler Murray pass incomplete short right intended for Zach Ertz,5.72,4.95,5.0,2022,77
2.0,0:03,3.0,2.0,PHI 2,14.0,10.0,Matt Ammendola 20 yard field goal good,4.95,3.0,5.0,2022,77
3.0,15:00,,,ARI 35,14.0,10.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,77
3.0,15:00,1.0,10.0,PHI 25,14.0,10.0,Miles Sanders right end for 12 yards (tackle by Jalen Thompson and Budda Baker),0.61,1.4,5.0,2022,77
3.0,14:35,1.0,10.0,PHI 37,14.0,10.0,Jalen Hurts pass complete short left to Quez Watkins for 6 yards (tackle by Isaiah Simmons),1.4,1.67,5.0,2022,77
3.0,14:11,2.0,4.0,PHI 43,14.0,10.0,Jalen Hurts pass complete short left to Dallas Goedert for 11 yards (tackle by Marco Wilson),1.67,2.52,5.0,2022,77
3.0,13:40,1.0,10.0,ARI 46,14.0,10.0,Jalen Hurts scrambles up the middle for 13 yards (tackle by Budda Baker),2.52,3.38,5.0,2022,77
3.0,12:54,1.0,10.0,ARI 33,14.0,10.0,Jalen Hurts pass complete short right to Miles Sanders for 8 yards (tackle by Byron Murphy),3.38,3.92,5.0,2022,77
3.0,12:27,2.0,2.0,ARI 25,14.0,10.0,Jalen Hurts pass complete short left to DeVonta Smith for 10 yards (tackle by Jalen Thompson),3.92,4.58,5.0,2022,77
3.0,11:52,1.0,10.0,ARI 15,14.0,10.0,"Miles Sanders for 11 yards. Penalty on Sua Opeta: Offensive Holding, 10 yards (accepted) (no play)",4.58,3.91,5.0,2022,77
3.0,11:32,1.0,20.0,ARI 25,14.0,10.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Zach Allen),3.91,2.67,5.0,2022,77
3.0,11:28,2.0,20.0,ARI 25,14.0,10.0,Jalen Hurts pass complete short right to DeVonta Smith for -1 yards (tackle by Byron Murphy),2.67,1.88,5.0,2022,77
3.0,10:43,3.0,21.0,ARI 26,14.0,10.0,Jalen Hurts pass complete short left to DeVonta Smith for 2 yards (tackle by Isaiah Simmons),1.88,1.87,5.0,2022,77
3.0,10:01,4.0,19.0,ARI 24,17.0,10.0,Cameron Dicker 42 yard field goal good,1.87,3.0,5.0,2022,77
3.0,9:57,,,PHI 35,17.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,77
3.0,9:57,1.0,10.0,ARI 25,17.0,10.0,"Darrel Williams for no gain. Penalty on Will Hernandez: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,5.0,2022,77
3.0,9:50,1.0,20.0,ARI 15,17.0,10.0,Kyler Murray pass complete short left to Eno Benjamin for 1 yard (tackle by Darius Slay),-0.41,-1.29,5.0,2022,77
3.0,8:53,2.0,19.0,ARI 16,17.0,10.0,Eno Benjamin up the middle for 2 yards (tackle by T.J. Edwards),-1.29,-1.72,5.0,2022,77
3.0,8:22,3.0,17.0,ARI 18,17.0,10.0,Kyler Murray pass complete short left to Rondale Moore for 17 yards (tackle by C.J. Gardner-Johnson),-1.72,1.27,5.0,2022,77
3.0,7:40,1.0,10.0,ARI 35,17.0,10.0,Kyler Murray scrambles right end for 5 yards (tackle by Brandon Graham),1.27,1.4,5.0,2022,77
3.0,7:08,2.0,5.0,ARI 40,17.0,10.0,Darrel Williams up the middle for 2 yards (tackle by Marcus Epps),1.4,0.96,5.0,2022,77
3.0,6:35,3.0,3.0,ARI 42,17.0,10.0,Kyler Murray pass complete short right to A.J. Green for 5 yards,0.96,2.06,5.0,2022,77
3.0,6:04,1.0,10.0,ARI 47,17.0,10.0,Eno Benjamin right end for -1 yards (tackle by Brandon Graham),2.06,1.38,5.0,2022,77
3.0,5:31,2.0,11.0,ARI 46,17.0,10.0,Kyler Murray pass incomplete short right intended for Eno Benjamin (defended by James Bradberry),1.38,0.7,5.0,2022,77
3.0,5:27,3.0,11.0,ARI 46,17.0,10.0,Kyler Murray sacked by Haason Reddick for -11 yards,0.7,-1.04,5.0,2022,77
3.0,4:45,4.0,22.0,ARI 35,17.0,10.0,"Andy Lee punts 51 yards, recovered by Britain Covey at PHI-14",-1.04,0.28,5.0,2022,77
3.0,4:35,1.0,10.0,PHI 14,17.0,10.0,Miles Sanders up the middle for 2 yards (tackle by Dennis Gardeck),-0.28,-0.51,5.0,2022,77
3.0,4:04,2.0,8.0,PHI 16,17.0,10.0,Jalen Hurts pass complete deep left to Dallas Goedert for 31 yards (tackle by Marco Wilson),-0.51,2.06,5.0,2022,77
3.0,3:27,1.0,10.0,PHI 47,17.0,10.0,Miles Sanders up the middle for 6 yards (tackle by Cameron Thomas and Zach Allen),2.06,2.33,5.0,2022,77
3.0,2:53,2.0,4.0,ARI 47,17.0,10.0,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Byron Murphy),2.33,2.85,5.0,2022,77
3.0,2:15,1.0,10.0,ARI 41,17.0,10.0,"Jalen Hurts scrambles for no gain. Penalty on Landon Dickerson: Offensive Holding, 10 yards (accepted) (no play)",2.85,2.19,5.0,2022,77
3.0,1:46,1.0,20.0,PHI 49,17.0,10.0,Jalen Hurts pass complete short right to DeVonta Smith for 12 yards (tackle by Ben Niemann and Isaiah Simmons),2.19,2.58,5.0,2022,77
3.0,1:14,2.0,8.0,ARI 39,17.0,10.0,Jalen Hurts pass incomplete short left intended for DeVonta Smith,2.58,1.88,5.0,2022,77
3.0,1:08,3.0,8.0,ARI 39,17.0,10.0,Jalen Hurts sacked by and Byron Murphy for -10 yards and J.J. Watt for -10 yards,1.88,0.0,5.0,2022,77
3.0,0:32,4.0,18.0,ARI 49,17.0,10.0,Arryn Siposs punts 39 yards downed by Kyron Johnson,0.0,0.38,5.0,2022,77
3.0,0:20,1.0,10.0,ARI 10,17.0,10.0,Eno Benjamin right tackle for 9 yards (tackle by T.J. Edwards),-0.38,0.24,5.0,2022,77
4.0,15:00,2.0,1.0,ARI 19,17.0,10.0,Eno Benjamin up the middle for -4 yards (tackle by Josh Sweat),0.24,-0.84,5.0,2022,77
4.0,14:26,3.0,5.0,ARI 15,17.0,10.0,Kyler Murray pass complete short right to A.J. Green for 6 yards (tackle by James Bradberry),-0.84,0.34,5.0,2022,77
4.0,14:04,1.0,10.0,ARI 21,17.0,10.0,Kyler Murray pass complete short right to A.J. Green for 9 yards (tackle by James Bradberry),0.34,1.02,5.0,2022,77
4.0,13:39,2.0,1.0,ARI 30,17.0,10.0,Eno Benjamin up the middle for no gain (tackle by Jordan Davis),1.02,0.3,5.0,2022,77
4.0,12:58,3.0,1.0,ARI 30,17.0,10.0,Eno Benjamin left tackle for 3 yards (tackle by Javon Hargrave and T.J. Edwards),0.3,1.14,5.0,2022,77
4.0,12:28,1.0,10.0,ARI 33,17.0,10.0,Kyler Murray pass complete short right to Rondale Moore for 28 yards (tackle by C.J. Gardner-Johnson),1.14,2.98,5.0,2022,77
4.0,12:04,1.0,10.0,PHI 39,17.0,10.0,Kyler Murray pass complete short right to Marquise Brown for -4 yards (tackle by T.J. Edwards),2.98,1.9,5.0,2022,77
4.0,11:22,2.0,14.0,PHI 43,17.0,10.0,Kyler Murray pass complete short left to Eno Benjamin for 16 yards (tackle by Kyzir White),1.9,3.78,5.0,2022,77
4.0,10:55,1.0,10.0,PHI 27,17.0,10.0,Kyler Murray pass complete short left to Marquise Brown for 3 yards (tackle by Darius Slay and Josiah Scott),3.78,3.64,5.0,2022,77
4.0,10:21,2.0,7.0,PHI 24,17.0,10.0,Kyler Murray scrambles up the middle for 13 yards (tackle by Darius Slay),3.64,4.84,5.0,2022,77
4.0,9:47,1.0,10.0,PHI 11,17.0,16.0,"Eno Benjamin left tackle for 11 yards, touchdown",4.84,7.0,5.0,2022,77
4.0,9:43,,,PHI 15,17.0,17.0,Matt Ammendola kicks extra point good,0.0,0.0,5.0,2022,77
4.0,9:43,,,ARI 35,17.0,17.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,77
4.0,9:43,1.0,10.0,PHI 25,17.0,17.0,Miles Sanders left tackle for 8 yards (tackle by Jonathan Ledbetter and Isaiah Simmons),0.61,1.14,5.0,2022,77
4.0,9:17,2.0,2.0,PHI 33,17.0,17.0,Miles Sanders up the middle for 3 yards (tackle by Zaven Collins and Ben Niemann),1.14,1.33,5.0,2022,77
4.0,8:39,1.0,10.0,PHI 36,17.0,17.0,Jalen Hurts up the middle for 9 yards (tackle by Ben Niemann),1.33,2.01,5.0,2022,77
4.0,8:03,2.0,1.0,PHI 45,17.0,17.0,Kenneth Gainwell up the middle for 11 yards (tackle by Isaiah Simmons),2.01,2.65,5.0,2022,77
4.0,7:28,1.0,10.0,ARI 44,17.0,17.0,Kenneth Gainwell right tackle for 6 yards (tackle by Michael Dogbe),2.65,2.92,5.0,2022,77
4.0,6:55,2.0,4.0,ARI 38,17.0,17.0,Kenneth Gainwell left tackle for 3 yards (tackle by Michael Dogbe),2.92,2.61,5.0,2022,77
4.0,6:37,3.0,1.0,ARI 35,17.0,17.0,Jalen Hurts up the middle for 1 yard (tackle by Budda Baker),2.61,3.31,5.0,2022,77
4.0,5:57,1.0,10.0,ARI 34,17.0,17.0,Miles Sanders right tackle for no gain (tackle by Zach Allen),3.31,2.77,5.0,2022,77
4.0,5:16,2.0,10.0,ARI 34,17.0,17.0,Jalen Hurts pass complete short left to Miles Sanders for -2 yards (tackle by Byron Murphy),2.77,1.82,5.0,2022,77
4.0,4:28,3.0,12.0,ARI 36,17.0,17.0,Jalen Hurts pass complete short middle to Dallas Goedert for 16 yards (tackle by Budda Baker),1.82,4.24,5.0,2022,77
4.0,3:43,1.0,10.0,ARI 20,17.0,17.0,Miles Sanders up the middle for 7 yards (tackle by Jalen Thompson and Isaiah Simmons),4.24,4.83,5.0,2022,77
4.0,2:59,2.0,3.0,ARI 13,17.0,17.0,Jalen Hurts right end for 2 yards (tackle by Isaiah Simmons),4.83,4.59,5.0,2022,77
4.0,2:21,3.0,1.0,ARI 11,17.0,17.0,Jalen Hurts up the middle for 1 yard (tackle by Tanner Vallejo),4.59,4.91,5.0,2022,77
4.0,2:00,1.0,10.0,ARI 10,17.0,17.0,Miles Sanders up the middle for 2 yards (tackle by Victor Dimukeje and Leki Fotu),4.91,4.57,5.0,2022,77
4.0,1:56,,,,,,Timeout #1 by Arizona Cardinals,,,5.0,2022,77
4.0,1:56,2.0,8.0,ARI 8,17.0,17.0,Miles Sanders up the middle for 3 yards (tackle by Victor Dimukeje),4.57,4.26,5.0,2022,77
4.0,1:52,,,,,,Timeout #2 by Arizona Cardinals,,,5.0,2022,77
4.0,1:52,3.0,5.0,ARI 5,17.0,17.0,Jalen Hurts pass incomplete short right intended for Quez Watkins (defended by Jalen Thompson),4.26,3.01,5.0,2022,77
4.0,1:48,,,,,,Timeout #3 by Arizona Cardinals,,,5.0,2022,77
4.0,1:48,4.0,5.0,ARI 5,20.0,17.0,Cameron Dicker 23 yard field goal good,3.01,3.0,5.0,2022,77
4.0,1:45,,,PHI 35,20.0,17.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,77
4.0,1:45,1.0,10.0,ARI 25,20.0,17.0,Kyler Murray up the middle for 15 yards (tackle by Marcus Epps),0.61,1.6,5.0,2022,77
4.0,1:26,1.0,10.0,ARI 40,20.0,17.0,Kyler Murray pass complete short right to Zach Ertz for 7 yards (tackle by Marcus Epps),1.6,2.0,5.0,2022,77
4.0,1:20,2.0,3.0,ARI 47,20.0,17.0,"Penalty on Kelvin Beachum: False Start, 5 yards (accepted) (no play)",2.0,1.32,5.0,2022,77
4.0,1:20,2.0,8.0,ARI 42,20.0,17.0,Kyler Murray pass incomplete deep left intended for Zach Ertz,1.32,0.63,5.0,2022,77
4.0,1:15,3.0,8.0,ARI 42,20.0,17.0,Kyler Murray pass complete short left to Zach Ertz for 11 yards (tackle by C.J. Gardner-Johnson),0.63,2.46,5.0,2022,77
