Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA,week,year,game_id
2.0,5:59,3.0,7.0,ATL 49,0.0,7.0,Marcus Mariota pass incomplete short right intended for Drake London,1.16,-0.13,5.0,2022,67
2.0,5:55,4.0,7.0,ATL 49,0.0,7.0,Bradley Pinion punts 38 yards downed by Avery Williams,-0.13,0.32,5.0,2022,67
2.0,5:43,1.0,10.0,TAM 13,0.0,7.0,Rachaad White up the middle for no gain (tackle by Mykal Walker and Matt Dickerson),-0.32,-0.77,5.0,2022,67
2.0,5:07,2.0,10.0,TAM 13,0.0,7.0,Tom Brady pass complete short middle to Russell Gage for 14 yards (tackle by DeAundre Alford and Mykal Walker),-0.77,0.74,5.0,2022,67
2.0,4:41,1.0,10.0,TAM 27,0.0,7.0,Tom Brady pass complete short right to Cade Otton for 7 yards (tackle by Jaylinn Hawkins),0.74,1.14,5.0,2022,67
2.0,4:13,2.0,3.0,TAM 34,0.0,7.0,Tom Brady pass complete short middle to Scott Miller for 12 yards (tackle by Rashaan Evans),1.14,1.99,5.0,2022,67
2.0,3:49,1.0,10.0,TAM 46,0.0,7.0,Tom Brady pass complete short middle to Rachaad White for 12 yards (tackle by DeAundre Alford and Mykal Walker),1.99,2.79,5.0,2022,67
2.0,3:22,1.0,10.0,ATL 42,0.0,7.0,Tom Brady pass complete deep left to Chris Godwin for 18 yards (tackle by Richie Grant),2.79,3.97,5.0,2022,67
2.0,2:54,1.0,10.0,ATL 24,0.0,7.0,Tom Brady pass incomplete deep left intended for Mike Evans,3.97,3.43,5.0,2022,67
2.0,2:49,2.0,10.0,ATL 24,0.0,7.0,Tom Brady pass complete short left to Mike Evans for 7 yards,3.43,3.75,5.0,2022,67
2.0,2:29,3.0,3.0,ATL 17,0.0,7.0,"Penalty on Shaq Mason: False Start, 5 yards (accepted) (no play)",3.75,3.01,5.0,2022,67
2.0,2:06,3.0,8.0,ATL 22,0.0,7.0,Tom Brady pass complete short middle to Cade Otton for 12 yards (tackle by Mykal Walker and Jaylinn Hawkins),3.01,4.91,5.0,2022,67
2.0,1:58,1.0,10.0,ATL 10,0.0,7.0,Tom Brady pass incomplete short right intended for Cade Otton,4.91,4.19,5.0,2022,67
2.0,1:55,2.0,10.0,ATL 10,0.0,7.0,Chris Godwin right end for 2 yards (tackle by Richie Grant and Lorenzo Carter),4.19,3.58,5.0,2022,67
2.0,1:48,,,,,,Timeout #1 by Atlanta Falcons,,,5.0,2022,67
2.0,1:48,3.0,8.0,ATL 8,0.0,7.0,Tom Brady pass complete short left to Scott Miller for 5 yards (tackle by Casey Hayward),3.58,3.04,5.0,2022,67
2.0,1:21,,,,,,Timeout #2 by Atlanta Falcons,,,5.0,2022,67
2.0,1:21,4.0,3.0,ATL 3,0.0,10.0,Ryan Succop 21 yard field goal good,3.04,3.0,5.0,2022,67
2.0,1:18,,,TAM 35,0.0,10.0,"Jake Camarda kicks off 63 yards, returned by Avery Williams for 30 yards (tackle by Jake Camarda and Ko Kieft)",0.0,1.07,5.0,2022,67
2.0,1:10,1.0,10.0,ATL 32,0.0,10.0,Marcus Mariota scrambles left end for 8 yards (tackle by Jamel Dean),1.07,1.61,5.0,2022,67
2.0,0:47,2.0,2.0,ATL 40,0.0,10.0,"Marcus Mariota pass complete deep middle to Olamide Zaccheaus for 20 yards (tackle by Antoine Winfield). Penalty on Vita Vea: Roughing the Passer, 15 yards (accepted)",1.61,3.91,5.0,2022,67
2.0,0:39,1.0,10.0,TAM 25,0.0,10.0,Marcus Mariota pass incomplete short right intended for KhaDarel Hodge,3.91,3.36,5.0,2022,67
2.0,0:37,2.0,10.0,TAM 25,0.0,10.0,"Marcus Mariota sacked by Antoine Winfield for -9 yards. Marcus Mariota fumbles (forced by Antoine Winfield), recovered by Marcus Mariota at TB-34",3.36,1.49,5.0,2022,67
2.0,0:29,,,,,,Timeout #3 by Atlanta Falcons,,,5.0,2022,67
2.0,0:29,3.0,19.0,TAM 34,0.0,10.0,Marcus Mariota pass incomplete short right,1.49,1.06,5.0,2022,67
2.0,0:24,4.0,19.0,TAM 34,0.0,10.0,Younghoe Koo 52 yard field goal no good,1.06,-1.73,5.0,2022,67
2.0,0:20,1.0,10.0,TAM 42,0.0,10.0,Tom Brady pass incomplete deep middle intended for Scott Miller,1.73,1.19,5.0,2022,67
2.0,0:16,2.0,10.0,TAM 42,0.0,10.0,Tom Brady pass complete short middle to Leonard Fournette for 11 yards (tackle by Mykal Walker),1.19,2.46,5.0,2022,67
2.0,0:09,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,5.0,2022,67
2.0,0:09,1.0,10.0,ATL 47,0.0,10.0,Tom Brady pass complete short right to Leonard Fournette for 21 yards (tackle by Mykal Walker),2.46,3.84,5.0,2022,67
2.0,0:03,1.0,10.0,ATL 26,0.0,13.0,Ryan Succop 44 yard field goal good,3.84,3.0,5.0,2022,67
3.0,15:00,,,TAM 35,0.0,13.0,"Jake Camarda kicks off 66 yards, returned by Avery Williams for 19 yards (tackle by Zyon McCollum)",0.0,0.04,5.0,2022,67
3.0,14:55,1.0,10.0,ATL 18,0.0,13.0,"Penalty on Elijah Wilkinson: False Start, 5 yards (accepted) (no play)",0.04,-0.45,5.0,2022,67
3.0,14:55,1.0,15.0,ATL 13,0.0,13.0,Marcus Mariota pass complete short right to KhaDarel Hodge for 9 yards (tackle by Carlton Davis),-0.45,0.14,5.0,2022,67
3.0,14:32,2.0,6.0,ATL 22,0.0,13.0,Marcus Mariota pass complete short left to Drake London for no gain (tackle by Jamel Dean),0.14,-0.66,5.0,2022,67
3.0,14:01,3.0,6.0,ATL 22,0.0,13.0,"Marcus Mariota pass complete short right to Tyler Allgeier for no gain (tackle by Devin White). Penalty on Elijah Wilkinson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.66,-1.34,5.0,2022,67
3.0,13:35,3.0,11.0,ATL 17,0.0,13.0,Marcus Mariota pass complete short right to Avery Williams for 10 yards (tackle by Antoine Winfield and Mike Edwards),-1.34,-1.57,5.0,2022,67
3.0,13:11,4.0,1.0,ATL 27,0.0,13.0,Marcus Mariota up the middle for 3 yards (tackle by Devin White and Carl Nassib),-1.57,0.94,5.0,2022,67
3.0,12:32,1.0,10.0,ATL 30,0.0,13.0,Caleb Huntley left end for -1 yards (tackle by Devin White and William Gholston),0.94,0.26,5.0,2022,67
3.0,11:57,2.0,11.0,ATL 29,0.0,13.0,Marcus Mariota sacked by Deadrin Senat for -6 yards,0.26,-1.22,5.0,2022,67
3.0,11:24,3.0,17.0,ATL 23,0.0,13.0,Marcus Mariota pass complete short right to KhaDarel Hodge for 13 yards (tackle by Carlton Davis),-1.22,-0.98,5.0,2022,67
3.0,10:42,4.0,4.0,ATL 36,0.0,13.0,"Bradley Pinion punts 62 yards, returned by Jaelon Darden for 24 yards (tackle by Jaylinn Hawkins)",-0.98,-0.67,5.0,2022,67
3.0,10:28,1.0,10.0,TAM 26,0.0,13.0,Leonard Fournette left guard for 2 yards (tackle by Lorenzo Carter),0.67,0.4,5.0,2022,67
3.0,10:03,2.0,8.0,TAM 28,0.0,13.0,Tom Brady pass incomplete short left,0.4,-0.3,5.0,2022,67
3.0,9:59,3.0,8.0,TAM 28,0.0,13.0,Tom Brady pass complete short right to Leonard Fournette for 10 yards (tackle by DeAundre Alford),-0.3,1.47,5.0,2022,67
3.0,9:30,1.0,10.0,TAM 38,0.0,13.0,Tom Brady pass complete short middle to Leonard Fournette for 9 yards (tackle by Richie Grant),1.47,2.14,5.0,2022,67
3.0,8:53,2.0,1.0,TAM 47,0.0,13.0,Tom Brady pass incomplete deep left intended for Mike Evans (defended by DeAundre Alford),2.14,1.42,5.0,2022,67
3.0,8:47,3.0,1.0,TAM 47,0.0,13.0,Rachaad White right tackle for 1 yard (tackle by Grady Jarrett),1.42,2.13,5.0,2022,67
3.0,8:13,1.0,10.0,TAM 48,0.0,13.0,Tom Brady pass complete short right to Cade Otton for 3 yards (tackle by Dean Marlowe),2.13,1.99,5.0,2022,67
3.0,7:48,2.0,7.0,ATL 49,0.0,13.0,Tom Brady pass complete short middle to Scott Miller for 6 yards (tackle by Casey Hayward),1.99,2.08,5.0,2022,67
3.0,7:23,3.0,1.0,ATL 43,0.0,13.0,Rachaad White right tackle for 2 yards (tackle by Troy Andersen and Dean Marlowe),2.08,2.85,5.0,2022,67
3.0,6:56,1.0,10.0,ATL 41,0.0,13.0,"Tom Brady pass complete deep left to Mike Evans for 40 yards (tackle by Dean Marlowe) TAM challenged the runner broke the plane ruling, and the play was upheld.",2.85,6.97,5.0,2022,67
3.0,6:12,1.0,1.0,ATL 1,0.0,19.0,"Tom Brady pass complete short right to Leonard Fournette for 1 yard, touchdown",6.97,7.0,5.0,2022,67
3.0,6:09,,,ATL 2,0.0,21.0,Two Point Attempt: Tom Brady pass complete to to Russell Gage for no gain,1.0,1.0,5.0,2022,67
3.0,6:09,,,TAM 35,0.0,21.0,"Jake Camarda kicks off 65 yards, returned by Avery Williams for 20 yards (tackle by Dee Delaney)",0.0,0.28,5.0,2022,67
3.0,6:03,1.0,10.0,ATL 20,0.0,21.0,Marcus Mariota left end for 23 yards (tackle by Jamel Dean),0.28,1.8,5.0,2022,67
3.0,5:27,1.0,10.0,ATL 43,0.0,21.0,Tyler Allgeier left end for 7 yards (tackle by Devin White),1.8,2.2,5.0,2022,67
3.0,4:49,2.0,3.0,ATL 50,0.0,21.0,Tyler Allgeier right guard for 2 yards (tackle by Shaquil Barrett),2.2,1.75,5.0,2022,67
3.0,4:11,3.0,1.0,TAM 48,0.0,21.0,Marcus Mariota sacked by Logan Hall for -9 yards,1.75,-0.52,5.0,2022,67
3.0,3:33,4.0,10.0,ATL 43,0.0,21.0,"Bradley Pinion punts 44 yards, fair catch by Jaelon Darden at TB-13",-0.52,0.32,5.0,2022,67
3.0,3:25,1.0,10.0,TAM 13,0.0,21.0,Leonard Fournette left guard for -2 yards (tackle by Troy Andersen),-0.32,-0.93,5.0,2022,67
3.0,3:04,2.0,12.0,TAM 11,0.0,21.0,Tom Brady pass complete short left to Leonard Fournette for -4 yards (tackle by Matt Dickerson and Timmy Horne),-0.93,-2.12,5.0,2022,67
3.0,2:41,3.0,16.0,TAM 7,0.0,21.0,Tom Brady pass complete short left to Leonard Fournette for 12 yards (tackle by Jaylinn Hawkins),-2.12,-2.14,5.0,2022,67
3.0,2:00,4.0,4.0,TAM 19,0.0,21.0,"Jake Camarda punts 52 yards, returned by Avery Williams for 28 yards (tackle by K.J. Britt and Kenny Young)",-2.14,-2.72,5.0,2022,67
3.0,1:43,1.0,10.0,TAM 43,0.0,21.0,Caleb Huntley up the middle for 22 yards (tackle by Jamel Dean and Sean Murphy-Bunting),2.72,4.17,5.0,2022,67
3.0,1:06,1.0,10.0,TAM 21,0.0,21.0,"Penalty on Rakeem Nunez-Roches: Neutral Zone Infraction, 5 yards (accepted) (no play)",4.17,5.08,5.0,2022,67
3.0,0:56,1.0,5.0,TAM 16,0.0,21.0,Caleb Huntley left tackle for 1 yard (tackle by Deadrin Senat),5.08,4.55,5.0,2022,67
3.0,0:21,2.0,4.0,TAM 15,0.0,21.0,Tyler Allgeier up the middle for 1 yard (tackle by Carl Nassib and Lavonte David),4.55,4.02,5.0,2022,67
4.0,15:00,3.0,3.0,TAM 14,0.0,21.0,Tyler Allgeier up the middle for 4 yards (tackle by Lavonte David),4.02,4.91,5.0,2022,67
4.0,14:25,1.0,10.0,TAM 10,0.0,21.0,Tyler Allgeier right tackle for 2 yards (tackle by Carl Nassib and Deadrin Senat),4.91,4.57,5.0,2022,67
4.0,13:44,2.0,8.0,TAM 8,6.0,21.0,"Avery Williams right end for 8 yards, touchdown",4.57,7.0,5.0,2022,67
4.0,13:39,,,TAM 15,7.0,21.0,Younghoe Koo kicks extra point good,0.0,0.0,5.0,2022,67
4.0,13:39,,,ATL 35,7.0,21.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,67
4.0,13:39,1.0,10.0,TAM 25,7.0,21.0,Tom Brady pass incomplete short right intended for Russell Gage,0.61,0.06,5.0,2022,67
4.0,13:36,2.0,10.0,TAM 25,7.0,21.0,Tom Brady pass complete short right to Russell Gage for 6 yards (tackle by DeAundre Alford),0.06,0.17,5.0,2022,67
4.0,13:13,3.0,4.0,TAM 31,7.0,21.0,Tom Brady pass incomplete short right,0.17,-1.31,5.0,2022,67
4.0,13:05,4.0,4.0,TAM 31,7.0,21.0,"Jake Camarda punts 38 yards, fair catch by Avery Williams at ATL-31",-1.31,-1.0,5.0,2022,67
4.0,12:57,1.0,10.0,ATL 31,7.0,21.0,Marcus Mariota pass incomplete short middle intended for Olamide Zaccheaus,1.0,0.46,5.0,2022,67
4.0,12:54,2.0,10.0,ATL 31,7.0,21.0,Marcus Mariota pass complete short right to Drake London for 15 yards,0.46,1.99,5.0,2022,67
4.0,12:36,1.0,10.0,ATL 46,7.0,21.0,Marcus Mariota scrambles right end for 3 yards (tackle by Antoine Winfield),1.99,1.86,5.0,2022,67
4.0,12:03,2.0,7.0,ATL 49,7.0,21.0,"Caleb Huntley right tackle for no gain (tackle by Vita Vea). Penalty on Elijah Wilkinson: Face Mask (15 Yards), 15 yards (accepted) (no play)",1.86,-0.17,5.0,2022,67
4.0,11:45,2.0,22.0,ATL 34,7.0,21.0,Marcus Mariota scrambles up the middle for 6 yards (tackle by Joe Tryon-Shoyinka and William Gholston),-0.17,-0.03,5.0,2022,67
4.0,11:09,3.0,16.0,ATL 40,7.0,21.0,Marcus Mariota sacked by Vita Vea for -6 yards,-0.03,-1.11,5.0,2022,67
4.0,10:36,4.0,22.0,ATL 34,7.0,21.0,"Bradley Pinion punts 57 yards, returned by Jaelon Darden for 16 yards (tackle by Troy Andersen)",-1.11,-0.61,5.0,2022,67
4.0,10:25,1.0,10.0,TAM 25,7.0,21.0,Leonard Fournette left guard for 3 yards (tackle by Troy Andersen),0.61,0.47,5.0,2022,67
4.0,10:05,2.0,7.0,TAM 28,7.0,21.0,Tom Brady pass incomplete short middle intended for Russell Gage,0.47,-0.23,5.0,2022,67
4.0,10:00,3.0,7.0,TAM 28,7.0,21.0,Tom Brady pass incomplete intended for Mike Evans,-0.23,-1.5,5.0,2022,67
4.0,9:56,4.0,7.0,TAM 28,7.0,21.0,"Jake Camarda punts 42 yards, fair catch by Avery Williams at ATL-30",-1.5,-0.94,5.0,2022,67
4.0,9:49,1.0,10.0,ATL 30,7.0,21.0,Tyler Allgeier up the middle for 2 yards (tackle by Shaquil Barrett and Lavonte David),0.94,0.66,5.0,2022,67
4.0,9:16,2.0,8.0,ATL 32,7.0,21.0,Tyler Allgeier up the middle for 7 yards (tackle by William Gholston),0.66,0.89,5.0,2022,67
4.0,8:29,3.0,1.0,ATL 39,7.0,21.0,Tyler Allgeier up the middle for 2 yards (tackle by Logan Hall),0.89,1.66,5.0,2022,67
4.0,7:52,1.0,10.0,ATL 41,7.0,21.0,Marcus Mariota pass complete short middle to Parker Hesse for 9 yards (tackle by Keanu Neal),1.66,2.34,5.0,2022,67
4.0,7:24,2.0,1.0,ATL 50,7.0,21.0,Marcus Mariota up the middle for 2 yards (tackle by Deadrin Senat),2.34,2.39,5.0,2022,67
4.0,6:52,1.0,10.0,TAM 48,7.0,21.0,"Tyler Allgeier up the middle for 1 yard (tackle by Lavonte David and Shaquil Barrett). Penalty on Logan Hall: Defensive Holding, 5 yards (accepted)",2.39,2.79,5.0,2022,67
4.0,6:27,1.0,10.0,TAM 42,7.0,21.0,Avery Williams up the middle for no gain (tackle by Vita Vea and William Gholston),2.79,2.24,5.0,2022,67
4.0,5:50,2.0,10.0,TAM 42,7.0,21.0,Marcus Mariota pass complete short right to Drake London for 13 yards (tackle by Zyon McCollum),2.24,3.64,5.0,2022,67
4.0,5:29,1.0,10.0,TAM 29,7.0,21.0,Avery Williams up the middle for 3 yards (tackle by Anthony Nelson and Deadrin Senat),3.64,3.51,5.0,2022,67
4.0,4:50,2.0,7.0,TAM 26,7.0,21.0,Marcus Mariota pass incomplete short left intended for Olamide Zaccheaus,3.51,2.81,5.0,2022,67
4.0,4:47,3.0,7.0,TAM 26,7.0,21.0,Marcus Mariota pass complete short right to Drake London for 7 yards (tackle by Mike Edwards),2.81,4.31,5.0,2022,67
4.0,4:43,1.0,10.0,TAM 19,13.0,21.0,"Marcus Mariota pass complete short left to Olamide Zaccheaus for 19 yards, touchdown",4.31,7.0,5.0,2022,67
4.0,4:38,,,TAM 2,15.0,21.0,Two Point Attempt: Marcus Mariota pass complete to to KhaDarel Hodge for no gain,1.0,1.0,5.0,2022,67
4.0,4:38,,,ATL 35,15.0,21.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,67
4.0,4:38,1.0,10.0,TAM 25,15.0,21.0,Leonard Fournette up the middle for 12 yards (tackle by Jaylinn Hawkins),0.61,1.4,5.0,2022,67
4.0,4:01,1.0,10.0,TAM 37,15.0,21.0,Leonard Fournette left guard for 3 yards (tackle by Abdullah Anderson and Grady Jarrett),1.4,1.26,5.0,2022,67
4.0,3:55,,,,,,Timeout #1 by Atlanta Falcons,,,5.0,2022,67
4.0,3:55,2.0,7.0,TAM 40,15.0,21.0,Tom Brady pass complete short left to Chris Godwin for 3 yards (tackle by Troy Andersen),1.26,0.96,5.0,2022,67
4.0,3:18,3.0,4.0,TAM 43,15.0,21.0,"Tom Brady pass incomplete short middle intended for Chris Godwin. Penalty on AJ Terrell: Defensive Holding, 5 yards (accepted) (no play)",0.96,2.13,5.0,2022,67
4.0,3:15,1.0,10.0,TAM 48,15.0,21.0,Leonard Fournette up the middle for 5 yards (tackle by Arnold Ebiketie),2.13,2.26,5.0,2022,67
