Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA,week,year,game_id
1.0,9:42,4.0,10.0,DAL 46,6.0,0.0,Riley Dixon punts blocked by Dorance Armstrong (tackle by Matthew Orzech),0.2,-4.24,5.0,2022,78
1.0,9:34,1.0,10.0,LAR 20,6.0,0.0,Ezekiel Elliott right tackle for 5 yards (tackle by Aaron Donald and Bobby Wagner),4.24,4.45,5.0,2022,78
1.0,8:54,2.0,5.0,LAR 15,6.0,0.0,Cooper Rush pass incomplete short right intended for CeeDee Lamb,4.45,3.7,5.0,2022,78
1.0,8:51,,,,,,Timeout #1 by Dallas Cowboys,,,5.0,2022,78
1.0,8:51,3.0,5.0,LAR 15,6.0,0.0,Cooper Rush pass incomplete short right intended for Dalton Schultz,3.7,2.49,5.0,2022,78
1.0,8:47,4.0,5.0,LAR 15,9.0,0.0,Brett Maher 33 yard field goal good,2.49,3.0,5.0,2022,78
1.0,8:43,,,DAL 35,9.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,78
1.0,8:43,1.0,10.0,LAR 25,9.0,0.0,Cam Akers right tackle for 3 yards (tackle by DeMarcus Lawrence),0.61,0.47,5.0,2022,78
1.0,8:02,2.0,7.0,LAR 28,9.0,0.0,Cam Akers right tackle for 2 yards (tackle by Neville Gallimore),0.47,0.04,5.0,2022,78
1.0,7:23,3.0,5.0,LAR 30,9.0,0.0,"Penalty on Micah Parsons: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.04,1.27,5.0,2022,78
1.0,7:07,1.0,10.0,LAR 35,9.0,0.0,Matthew Stafford pass complete deep middle to Tutu Atwell for 54 yards (tackle by Trevon Diggs),1.27,4.84,5.0,2022,78
1.0,6:14,1.0,10.0,DAL 11,9.0,0.0,Cam Akers right tackle for 1 yard (tackle by Anthony Brown),4.84,4.32,5.0,2022,78
1.0,5:34,2.0,9.0,DAL 10,9.0,0.0,Matthew Stafford pass incomplete short left,4.32,3.3,5.0,2022,78
1.0,5:28,3.0,9.0,DAL 10,9.0,0.0,Matthew Stafford pass incomplete short left intended for Allen Robinson,3.3,2.76,5.0,2022,78
1.0,5:25,4.0,9.0,DAL 10,9.0,3.0,Matt Gay 29 yard field goal good,2.76,3.0,5.0,2022,78
1.0,5:22,,,LAR 35,9.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,78
1.0,5:22,1.0,10.0,DAL 25,9.0,3.0,Ezekiel Elliott up the middle for 4 yards (tackle by Aaron Donald and A'Shawn Robinson),0.61,0.6,5.0,2022,78
1.0,4:46,2.0,6.0,DAL 29,9.0,3.0,Cooper Rush pass complete short middle to Noah Brown for 5 yards (tackle by Ernest Jones),0.6,0.56,5.0,2022,78
1.0,4:10,3.0,1.0,DAL 34,9.0,3.0,Ezekiel Elliott left guard for 9 yards (tackle by Terrell Burgess and Derion Kendrick),0.56,1.8,5.0,2022,78
1.0,3:35,1.0,10.0,DAL 43,9.0,3.0,Ezekiel Elliott left tackle for 1 yard (tackle by A'Shawn Robinson),1.8,1.39,5.0,2022,78
1.0,2:57,2.0,9.0,DAL 44,9.0,3.0,Cooper Rush pass complete short left to CeeDee Lamb for 4 yards (tackle by Ernest Jones),1.39,1.22,5.0,2022,78
1.0,2:18,3.0,5.0,DAL 48,9.0,3.0,"Cooper Rush sacked by Aaron Donald for -9 yards. Cooper Rush fumbles (forced by Aaron Donald), recovered by Tyler Smith at DAL-39. Penalty on Tyron Smith: Offensive Holding, 10 yards (declined)",1.22,-0.78,5.0,2022,78
1.0,2:09,4.0,14.0,DAL 39,9.0,3.0,"Bryan Anger punts 51 yards, returned by Brandon Powell for no gain. Penalty on Brandon Powell: Unnecessary Roughness / Offense, 5 yards (accepted)",-0.78,0.38,5.0,2022,78
1.0,2:00,1.0,10.0,LAR 5,9.0,3.0,Cam Akers up the middle for 4 yards (tackle by Neville Gallimore),-0.38,-0.49,5.0,2022,78
1.0,1:20,2.0,6.0,LAR 9,9.0,3.0,Cam Akers right tackle for 5 yards (tackle by Dorance Armstrong and Anthony Barr),-0.49,-0.37,5.0,2022,78
1.0,0:35,3.0,1.0,LAR 14,9.0,3.0,Cam Akers right end for 13 yards (tackle by Leighton Vander Esch),-0.37,0.74,5.0,2022,78
2.0,15:00,1.0,10.0,LAR 27,9.0,3.0,Cam Akers right tackle for -3 yards (tackle by Sam Williams),0.74,-0.28,5.0,2022,78
2.0,14:15,2.0,14.0,LAR 24,9.0,3.0,Cam Akers right end for -4 yards (tackle by Trysten Hill),-0.28,-1.42,5.0,2022,78
2.0,13:40,3.0,17.0,LAR 20,9.0,3.0,Matthew Stafford pass complete short left to Ben Skowronek for 12 yards (tackle by DeMarcus Lawrence),-1.42,-1.24,5.0,2022,78
2.0,13:01,4.0,4.0,LAR 32,9.0,3.0,"Riley Dixon punts 42 yards, fair catch by KaVontae Turpin at DAL-26",-1.24,-0.67,5.0,2022,78
2.0,12:54,1.0,10.0,DAL 26,9.0,3.0,Cooper Rush pass complete short right to Michael Gallup for 11 yards (tackle by Derion Kendrick),0.67,1.4,5.0,2022,78
2.0,12:18,1.0,10.0,DAL 37,9.0,3.0,Ezekiel Elliott left tackle for 5 yards (tackle by A'Shawn Robinson),1.4,1.53,5.0,2022,78
2.0,11:44,2.0,5.0,DAL 42,9.0,3.0,Ezekiel Elliott right guard for 3 yards (tackle by Ernest Jones and Bobby Wagner),1.53,1.22,5.0,2022,78
2.0,11:14,3.0,2.0,DAL 45,9.0,3.0,Cooper Rush pass incomplete short left intended for Michael Gallup,1.22,-0.39,5.0,2022,78
2.0,11:07,4.0,2.0,DAL 45,9.0,3.0,"Bryan Anger punts 38 yards, fair catch by Brandon Powell at LA-17",-0.39,0.06,5.0,2022,78
2.0,11:00,1.0,10.0,LAR 17,9.0,3.0,Cooper Kupp right end for 4 yards (tackle by Micah Parsons),-0.06,0.08,5.0,2022,78
2.0,10:24,2.0,6.0,LAR 21,9.0,3.0,Matthew Stafford pass complete short left to Darrell Henderson for 4 yards (tackle by Leighton Vander Esch),0.08,-0.24,5.0,2022,78
2.0,9:42,3.0,2.0,LAR 25,9.0,9.0,"Matthew Stafford pass complete short right to Cooper Kupp for 75 yards, touchdown",-0.24,7.0,5.0,2022,78
2.0,9:31,,,DAL 15,9.0,10.0,Matt Gay kicks extra point good,0.0,0.0,5.0,2022,78
2.0,9:31,,,LAR 35,9.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,78
2.0,9:31,1.0,10.0,DAL 25,9.0,10.0,Tony Pollard right tackle for 2 yards (tackle by Aaron Donald and A'Shawn Robinson),0.61,0.33,5.0,2022,78
2.0,8:49,2.0,8.0,DAL 27,9.0,10.0,Cooper Rush pass complete short middle to CeeDee Lamb for 16 yards (tackle by Terrell Burgess),0.33,1.8,5.0,2022,78
2.0,8:10,1.0,10.0,DAL 43,15.0,10.0,"Tony Pollard right tackle for 57 yards, touchdown",1.8,7.0,5.0,2022,78
2.0,7:59,,,LAR 15,16.0,10.0,Brett Maher kicks extra point good,0.0,0.0,5.0,2022,78
2.0,7:59,,,DAL 35,16.0,10.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,78
2.0,7:59,1.0,10.0,LAR 25,16.0,10.0,Cam Akers left end for -3 yards (tackle by Osa Odighizuwa),0.61,-0.34,5.0,2022,78
2.0,7:16,2.0,13.0,LAR 22,16.0,10.0,Matthew Stafford pass incomplete short left intended for Tyler Higbee,-0.34,-1.02,5.0,2022,78
2.0,7:11,3.0,13.0,LAR 22,16.0,10.0,Matthew Stafford pass complete short right to Ben Skowronek for 6 yards (tackle by Anthony Barr),-1.02,-1.5,5.0,2022,78
2.0,6:34,4.0,7.0,LAR 28,16.0,10.0,"Riley Dixon punts 49 yards, fair catch by KaVontae Turpin at DAL-23",-1.5,-0.48,5.0,2022,78
2.0,6:27,1.0,10.0,DAL 23,16.0,10.0,Ezekiel Elliott left end for 12 yards (tackle by Terrell Burgess),0.48,1.27,5.0,2022,78
2.0,5:56,1.0,10.0,DAL 35,16.0,10.0,Ezekiel Elliott left tackle for 4 yards (tackle by Marquise Copeland and Terrell Burgess),1.27,1.33,5.0,2022,78
2.0,5:22,2.0,5.0,DAL 39,16.0,10.0,"Ezekiel Elliott left tackle for 1 yard (tackle by Terrell Burgess). Penalty on Tyler Smith: Offensive Holding, 10 yards (accepted) (no play)",1.33,-0.09,5.0,2022,78
2.0,5:02,2.0,16.0,DAL 29,16.0,10.0,Cooper Rush sacked by Aaron Donald for -9 yards,-0.09,-1.95,5.0,2022,78
2.0,4:16,3.0,25.0,DAL 20,16.0,10.0,Cooper Rush pass complete short middle to CeeDee Lamb for 13 yards (tackle by Bobby Wagner),-1.95,-1.18,5.0,2022,78
2.0,3:30,4.0,12.0,DAL 33,16.0,10.0,"Bryan Anger punts 67 yards, touchback.",-1.18,-0.28,5.0,2022,78
2.0,3:21,1.0,10.0,LAR 20,16.0,10.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Sam Williams),0.28,-0.27,5.0,2022,78
2.0,3:17,2.0,10.0,LAR 20,16.0,10.0,Matthew Stafford pass complete short right to Tyler Higbee for 5 yards (tackle by Donovan Wilson),-0.27,-0.3,5.0,2022,78
2.0,2:33,3.0,5.0,LAR 25,16.0,10.0,Matthew Stafford pass incomplete short right intended for Ben Skowronek,-0.3,-1.7,5.0,2022,78
2.0,2:29,4.0,5.0,LAR 25,16.0,10.0,Riley Dixon pass complete short middle to Jake Gervase for 12 yards (tackle by Luke Gifford),-1.7,1.4,5.0,2022,78
2.0,2:00,1.0,10.0,LAR 37,16.0,10.0,Matthew Stafford pass incomplete short right,1.4,0.86,5.0,2022,78
2.0,1:52,2.0,10.0,LAR 37,16.0,10.0,Matthew Stafford pass complete short left to Tyler Higbee for 5 yards (tackle by Anthony Barr),0.86,0.83,5.0,2022,78
2.0,1:09,3.0,5.0,LAR 42,16.0,10.0,Matthew Stafford pass complete short middle to Ben Skowronek for 8 yards (tackle by Anthony Barr),0.83,2.26,5.0,2022,78
2.0,0:44,1.0,10.0,LAR 50,16.0,10.0,Matthew Stafford pass complete short right to Ben Skowronek for 6 yards (tackle by Anthony Brown and Malik Hooker),2.26,2.46,5.0,2022,78
2.0,0:37,,,,,,Timeout #1 by Los Angeles Rams,,,5.0,2022,78
2.0,0:37,2.0,5.0,DAL 44,16.0,10.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee,2.46,1.75,5.0,2022,78
2.0,0:34,,,,,,Timeout #2 by Los Angeles Rams,,,5.0,2022,78
2.0,0:34,3.0,5.0,DAL 44,16.0,10.0,Matthew Stafford pass incomplete deep right intended for Darrell Henderson,1.75,0.33,5.0,2022,78
2.0,0:29,4.0,5.0,DAL 44,16.0,10.0,"Riley Dixon punts 32 yards, fair catch by KaVontae Turpin at DAL-12",0.33,0.35,5.0,2022,78
2.0,0:23,1.0,10.0,DAL 12,16.0,10.0,Ezekiel Elliott up the middle for 4 yards (tackle by Bobby Wagner and Terrell Lewis),-0.35,-0.37,5.0,2022,78
3.0,15:00,,,LAR 35,16.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,78
3.0,15:00,1.0,10.0,DAL 25,16.0,10.0,Cooper Rush pass complete short right to Michael Gallup for 5 yards (tackle by Leonard Floyd),0.61,0.74,5.0,2022,78
3.0,14:25,2.0,5.0,DAL 30,16.0,10.0,Tony Pollard right end for 4 yards (tackle by Robert Rochell),0.74,0.56,5.0,2022,78
3.0,13:50,3.0,1.0,DAL 34,16.0,10.0,Tony Pollard right tackle for 3 yards (tackle by Bobby Wagner),0.56,1.4,5.0,2022,78
3.0,13:10,1.0,10.0,DAL 37,16.0,10.0,"Cooper Rush sacked by Jalen Ramsey for -8 yards. Cooper Rush fumbles (forced by Jalen Ramsey), recovered by Cooper Rush at DAL-29 (tackle by Jalen Ramsey)",1.4,-0.22,5.0,2022,78
3.0,12:27,2.0,18.0,DAL 29,16.0,10.0,Cooper Rush left end for 2 yards (tackle by Terrell Burgess),-0.22,-0.62,5.0,2022,78
3.0,11:48,3.0,16.0,DAL 31,16.0,10.0,Cooper Rush pass complete deep right to Michael Gallup for 27 yards,-0.62,2.79,5.0,2022,78
3.0,11:20,1.0,10.0,LAR 42,16.0,10.0,Ezekiel Elliott up the middle for 8 yards (tackle by Terrell Burgess),2.79,3.32,5.0,2022,78
3.0,10:41,2.0,2.0,LAR 34,16.0,10.0,Ezekiel Elliott up the middle for -2 yards (tackle by Greg Gaines),3.32,2.34,5.0,2022,78
3.0,10:01,3.0,4.0,LAR 36,16.0,10.0,"Cooper Rush pass complete short right to CeeDee Lamb for 9 yards (tackle by Jalen Ramsey). Penalty on Grant Haley: Defensive Holding, 5 yards (declined)",2.34,3.78,5.0,2022,78
3.0,9:45,1.0,10.0,LAR 27,16.0,10.0,Ezekiel Elliott up the middle for 3 yards (tackle by Marquise Copeland and Nick Scott),3.78,3.64,5.0,2022,78
3.0,9:03,2.0,7.0,LAR 24,16.0,10.0,Ezekiel Elliott right tackle for 2 yards (tackle by Grant Haley and Aaron Donald),3.64,3.2,5.0,2022,78
3.0,8:18,3.0,5.0,LAR 22,16.0,10.0,Cooper Rush pass incomplete short left intended for Noah Brown (defended by Bobby Wagner),3.2,2.04,5.0,2022,78
3.0,8:15,4.0,5.0,LAR 22,19.0,10.0,Brett Maher 40 yard field goal good,2.04,3.0,5.0,2022,78
3.0,8:11,,,DAL 35,19.0,10.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,78
3.0,8:11,1.0,10.0,LAR 25,19.0,10.0,Matthew Stafford sacked by Jourdan Lewis for no gain,0.61,0.06,5.0,2022,78
3.0,7:31,2.0,10.0,LAR 25,19.0,10.0,Matthew Stafford pass complete short left to Darrell Henderson for 5 yards (tackle by Trevon Diggs),0.06,0.04,5.0,2022,78
3.0,6:47,3.0,5.0,LAR 30,19.0,10.0,Matthew Stafford pass complete short right to Tyler Higbee for 10 yards (tackle by Jourdan Lewis),0.04,1.6,5.0,2022,78
3.0,6:06,1.0,10.0,LAR 40,19.0,10.0,Matthew Stafford pass complete short left to Darrell Henderson for 6 yards (tackle by Trevon Diggs),1.6,1.86,5.0,2022,78
3.0,5:24,2.0,4.0,LAR 46,19.0,10.0,Cam Akers left tackle for 2 yards (tackle by Jayron Kearse and Dante Fowler),1.86,1.42,5.0,2022,78
3.0,4:39,3.0,2.0,LAR 48,19.0,10.0,Matthew Stafford pass complete short middle to Tyler Higbee for 6 yards (tackle by Anthony Brown),1.42,2.52,5.0,2022,78
3.0,4:03,1.0,10.0,DAL 46,19.0,10.0,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,2.52,1.98,5.0,2022,78
3.0,3:58,,,,,,Timeout #1 by Los Angeles Rams,,,5.0,2022,78
3.0,3:58,2.0,10.0,DAL 46,19.0,10.0,Matthew Stafford pass complete short right to Cooper Kupp for -1 yards (tackle by Anthony Brown),1.98,1.16,5.0,2022,78
3.0,3:29,3.0,11.0,DAL 47,19.0,10.0,Matthew Stafford sacked by Micah Parsons for -11 yards,1.16,-0.59,5.0,2022,78
3.0,2:53,4.0,22.0,LAR 42,19.0,10.0,Riley Dixon punts 53 yards out of bounds,-0.59,0.38,5.0,2022,78
3.0,2:46,1.0,10.0,DAL 5,19.0,10.0,Tony Pollard left tackle for 6 yards (tackle by Takkarist McKinley and Ernest Jones),-0.38,-0.34,5.0,2022,78
3.0,2:11,2.0,4.0,DAL 11,19.0,10.0,Tony Pollard right tackle for 3 yards (tackle by Greg Gaines and Marquise Copeland),-0.34,-0.37,5.0,2022,78
3.0,1:35,3.0,1.0,DAL 14,19.0,10.0,"Tony Pollard right tackle for no gain (tackle by Bobby Wagner). Penalty on Peyton Hendershot: Offensive Holding, 7 yards (accepted) (no play)",-0.37,-1.19,5.0,2022,78
3.0,1:19,3.0,8.0,DAL 7,19.0,10.0,Cooper Rush pass complete short left to Michael Gallup for 1 yard (tackle by Grant Haley),-1.19,-2.49,5.0,2022,78
3.0,0:39,4.0,7.0,DAL 8,19.0,10.0,"Bryan Anger punts 35 yards, returned by Brandon Powell for 14 yards (tackle by Kelvin Joseph)",-2.49,-3.64,5.0,2022,78
3.0,0:30,1.0,10.0,DAL 29,19.0,10.0,Cooper Kupp pass incomplete deep right intended for Cam Akers,3.64,3.1,5.0,2022,78
3.0,0:23,2.0,10.0,DAL 29,19.0,10.0,"Darrell Henderson right tackle for no gain (tackle by Anthony Brown). Penalty on Ben Skowronek: Offensive Holding, 10 yards (accepted) (no play)",3.1,1.75,5.0,2022,78
4.0,15:00,2.0,20.0,DAL 39,19.0,10.0,Matthew Stafford pass complete short left to Allen Robinson for 1 yard (tackle by Anthony Barr),1.75,1.22,5.0,2022,78
4.0,14:20,3.0,19.0,DAL 38,19.0,10.0,Matthew Stafford pass complete short right to Allen Robinson for 5 yards (tackle by Jourdan Lewis and Micah Parsons),1.22,1.15,5.0,2022,78
4.0,13:38,4.0,14.0,DAL 33,19.0,10.0,Matt Gay 51 yard field goal no good,1.15,-1.66,5.0,2022,78
4.0,13:34,1.0,10.0,DAL 41,19.0,10.0,Cooper Rush pass incomplete deep right intended for CeeDee Lamb (defended by Grant Haley),1.66,1.12,5.0,2022,78
4.0,13:27,2.0,10.0,DAL 41,19.0,10.0,Ezekiel Elliott left tackle for 5 yards (tackle by Justin Hollins),1.12,1.09,5.0,2022,78
4.0,12:46,3.0,5.0,DAL 46,19.0,10.0,Cooper Rush pass incomplete short right intended for CeeDee Lamb (defended by Grant Haley),1.09,-0.32,5.0,2022,78
4.0,12:40,4.0,5.0,DAL 46,19.0,10.0,"Bryan Anger punts 44 yards, fair catch by Brandon Powell at LA-10",-0.32,0.38,5.0,2022,78
4.0,12:33,1.0,10.0,LAR 10,19.0,10.0,Cam Akers up the middle for no gain (tackle by Sam Williams and Leighton Vander Esch),-0.38,-0.78,5.0,2022,78
4.0,11:57,2.0,10.0,LAR 10,19.0,10.0,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards (tackle by Trevon Diggs),-0.78,-0.6,5.0,2022,78
4.0,11:24,3.0,3.0,LAR 17,19.0,10.0,Matthew Stafford pass incomplete short left intended for Ben Skowronek,-0.6,-2.32,5.0,2022,78
4.0,11:20,4.0,3.0,LAR 17,19.0,10.0,"Riley Dixon punts 47 yards, returned by KaVontae Turpin for 12 yards (tackle by Matthew Orzech)",-2.32,-2.13,5.0,2022,78
4.0,11:09,1.0,10.0,DAL 48,19.0,10.0,Ezekiel Elliott up the middle for 5 yards (tackle by Leonard Floyd and Ernest Jones),2.13,2.26,5.0,2022,78
4.0,10:29,2.0,5.0,LAR 47,19.0,10.0,Ezekiel Elliott up the middle for 3 yards (tackle by Ernest Jones),2.26,1.95,5.0,2022,78
4.0,9:46,3.0,2.0,LAR 44,19.0,10.0,Ezekiel Elliott up the middle for 7 yards (tackle by Terrell Burgess),1.95,3.12,5.0,2022,78
4.0,9:06,1.0,10.0,LAR 37,19.0,10.0,Tony Pollard up the middle for 8 yards (tackle by A'Shawn Robinson),3.12,3.65,5.0,2022,78
4.0,8:25,2.0,2.0,LAR 29,19.0,10.0,Tony Pollard right tackle for 3 yards (tackle by A'Shawn Robinson),3.65,3.84,5.0,2022,78
4.0,7:45,1.0,10.0,LAR 26,19.0,10.0,Ezekiel Elliott up the middle for -2 yards (tackle by Marquise Copeland),3.84,3.03,5.0,2022,78
4.0,7:06,2.0,12.0,LAR 28,19.0,10.0,Ezekiel Elliott up the middle for no gain (tackle by Terrell Burgess and Bobby Wagner),3.03,2.35,5.0,2022,78
4.0,6:22,,,,,,Timeout #1 by Dallas Cowboys,,,5.0,2022,78
4.0,6:22,3.0,12.0,LAR 28,19.0,10.0,Cooper Rush pass complete short left to CeeDee Lamb for 11 yards (tackle by Derion Kendrick),2.35,2.46,5.0,2022,78
4.0,5:36,,,,,,Timeout #2 by Dallas Cowboys,,,5.0,2022,78
4.0,5:36,4.0,1.0,LAR 17,22.0,10.0,Brett Maher 36 yard field goal good,2.46,3.0,5.0,2022,78
4.0,5:32,,,DAL 35,22.0,10.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,78
4.0,5:32,1.0,10.0,LAR 25,22.0,10.0,Matthew Stafford pass complete short right to Tyler Higbee for 4 yards (tackle by Jayron Kearse),0.61,0.6,5.0,2022,78
4.0,5:10,2.0,6.0,LAR 29,22.0,10.0,Matthew Stafford pass complete short left to Darrell Henderson for 15 yards (tackle by Trevon Diggs),0.6,1.86,5.0,2022,78
4.0,4:41,1.0,10.0,LAR 44,22.0,10.0,"Matthew Stafford pass complete short left to Cooper Kupp for 19 yards (tackle by Donovan Wilson). Penalty on Dante Fowler: Roughing the Passer, 15 yards (accepted)",1.86,4.11,5.0,2022,78
4.0,4:33,1.0,10.0,DAL 22,22.0,10.0,Matthew Stafford pass complete short middle to Ben Skowronek for 6 yards (tackle by Anthony Barr and Anthony Brown),4.11,4.46,5.0,2022,78
4.0,4:10,2.0,4.0,DAL 16,22.0,10.0,"Matthew Stafford pass incomplete short left intended for Cooper Kupp. Penalty on Rob Havenstein: Offensive Holding, 10 yards (accepted) (no play)",4.46,3.02,5.0,2022,78
4.0,4:06,2.0,14.0,DAL 26,22.0,10.0,"Penalty on Trysten Hill: Encroachment, 5 yards (accepted) (no play)",3.02,3.7,5.0,2022,78
4.0,4:06,2.0,9.0,DAL 21,22.0,10.0,Matthew Stafford sacked by Osa Odighizuwa for -4 yards,3.7,2.48,5.0,2022,78
4.0,3:38,3.0,13.0,DAL 25,22.0,10.0,Matthew Stafford pass deep right intended for Allen Robinson is intercepted by Malik Hooker at DAL-1 and returned for 3 yards,2.48,0.38,5.0,2022,78
4.0,3:29,1.0,10.0,DAL 4,22.0,10.0,Ezekiel Elliott up the middle for 1 yard (tackle by Justin Hollins and Marquise Copeland),-0.38,-0.71,5.0,2022,78
4.0,3:23,,,,,,Timeout #2 by Los Angeles Rams,,,5.0,2022,78
4.0,3:23,2.0,9.0,DAL 5,22.0,10.0,Ezekiel Elliott up the middle for 2 yards (tackle by Terrell Burgess and A'Shawn Robinson),-0.71,-1.07,5.0,2022,78
4.0,3:17,,,,,,Timeout #3 by Los Angeles Rams,,,5.0,2022,78
4.0,3:17,3.0,7.0,DAL 7,22.0,10.0,Ezekiel Elliott up the middle for -1 yards (tackle by Leonard Floyd and Greg Gaines),-1.07,-2.49,5.0,2022,78
4.0,2:34,4.0,8.0,DAL 6,22.0,10.0,"Bryan Anger punts 53 yards, returned by Brandon Powell for 5 yards (tackle by Kelvin Joseph)",-2.49,-1.99,5.0,2022,78
4.0,2:21,1.0,10.0,LAR 46,22.0,10.0,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by Jayron Kearse),1.99,2.4,5.0,2022,78
4.0,2:01,2.0,3.0,DAL 47,22.0,10.0,Matthew Stafford pass complete short left to Cooper Kupp for 16 yards (tackle by Donovan Wilson),2.4,3.51,5.0,2022,78
4.0,1:56,1.0,10.0,DAL 31,22.0,10.0,Matthew Stafford pass complete short left to Ben Skowronek for 3 yards (tackle by Malik Hooker),3.51,3.37,5.0,2022,78
4.0,1:40,2.0,7.0,DAL 28,22.0,10.0,"Matthew Stafford sacked by Micah Parsons for -9 yards. Matthew Stafford fumbles (forced by Micah Parsons), recovered by Sam Williams at DAL-39 (tackle by Micah Parsons)",3.37,-1.53,5.0,2022,78
4.0,1:31,1.0,10.0,DAL 39,22.0,10.0,Cooper Rush kneels for -1 yards,1.53,0.85,5.0,2022,78
4.0,0:52,2.0,11.0,DAL 38,22.0,10.0,Cooper Rush kneels for -1 yards,0.85,0.04,5.0,2022,78
4.0,0:28,3.0,12.0,DAL 37,22.0,10.0,Cooper Rush kneels for -1 yards,0.04,-0.98,5.0,2022,78
