Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA,week,year,game_id
1.0,10:40,1.0,10.0,WAS 24,0.0,0.0,Tyrion Davis-Price left tackle for 6 yards (tackle by Darrick Forrest and Jonathan Allen),3.97,4.29,16.0,2022,234
1.0,10:02,2.0,4.0,WAS 18,0.0,0.0,Tyrion Davis-Price up the middle for 3 yards (tackle by Jonathan Allen and David Mayo),4.29,4.17,16.0,2022,234
1.0,9:32,3.0,1.0,WAS 15,0.0,0.0,Tyrion Davis-Price up the middle for no gain (tackle by Jonathan Allen),4.17,2.59,16.0,2022,234
1.0,8:47,,,,,,Timeout #1 by San Francisco 49ers,,,16.0,2022,234
1.0,8:47,4.0,1.0,WAS 15,0.0,0.0,Christian McCaffrey left end for no gain (tackle by David Mayo),2.59,0.22,16.0,2022,234
1.0,8:41,1.0,10.0,WAS 15,0.0,0.0,Brian Robinson left guard for -1 yards (tackle by Nick Bosa),-0.22,-0.82,16.0,2022,234
1.0,8:07,2.0,11.0,WAS 14,0.0,0.0,"Brian Robinson left end for no gain (tackle by Charvarius Ward and Talanoa Hufanga). Penalty on Charles Leno: Offensive Holding, 7 yards (accepted) (no play)",-0.82,-1.36,16.0,2022,234
1.0,7:47,2.0,18.0,WAS 7,0.0,0.0,Brian Robinson up the middle for 5 yards (tackle by Talanoa Hufanga),-1.36,-1.77,16.0,2022,234
1.0,7:10,3.0,13.0,WAS 12,0.0,0.0,Taylor Heinicke pass incomplete deep right intended for Terry McLaurin (defended by Tashaun Gipson),-1.77,-2.49,16.0,2022,234
1.0,7:01,4.0,13.0,WAS 12,0.0,0.0,"Tress Way punts 52 yards, returned by Ray-Ray McCloud for -1 yards (tackle by Percy Butler). Penalty on Percy Butler: Unnecessary Roughness / Offense, 15 yards (accepted)",-2.49,-2.26,16.0,2022,234
1.0,6:51,1.0,10.0,WAS 50,0.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for 6 yards (tackle by Jamin Davis),2.26,2.52,16.0,2022,234
1.0,6:13,2.0,4.0,WAS 44,0.0,0.0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk (defended by Jeremy Reaves),2.52,1.82,16.0,2022,234
1.0,6:07,3.0,4.0,WAS 44,0.0,0.0,Brock Purdy sacked by Daron Payne for -8 yards,1.82,-0.19,16.0,2022,234
1.0,5:28,4.0,12.0,SFO 48,0.0,0.0,"Mitch Wishnowsky punts 41 yards, returned by Dax Milne for 4 yards (tackle by Demetrius Flannigan-Fowles and Tyler Kroft)",-0.19,0.22,16.0,2022,234
1.0,5:20,1.0,10.0,WAS 15,0.0,0.0,Taylor Heinicke pass complete short left to Logan Thomas for 3 yards (tackle by Dre Greenlaw),-0.22,-0.28,16.0,2022,234
1.0,4:43,2.0,7.0,WAS 18,0.0,0.0,Brian Robinson right tackle for 9 yards (tackle by Tashaun Gipson and Deommodore Lenoir),-0.28,0.74,16.0,2022,234
1.0,4:08,1.0,10.0,WAS 27,0.0,0.0,Brian Robinson left guard for 1 yard (tackle by Jimmie Ward),0.74,0.33,16.0,2022,234
1.0,3:28,2.0,9.0,WAS 28,0.0,0.0,Taylor Heinicke left end for -4 yards (tackle by Jordan Willis),0.33,-0.89,16.0,2022,234
1.0,2:54,3.0,13.0,WAS 24,0.0,0.0,Taylor Heinicke pass complete short left to Terry McLaurin for 14 yards (tackle by Charvarius Ward),-0.89,1.47,16.0,2022,234
1.0,2:11,1.0,10.0,WAS 38,0.0,0.0,Antonio Gibson right guard for no gain (tackle by Dre Greenlaw and Akeem Spence),1.47,0.92,16.0,2022,234
1.0,1:31,2.0,10.0,WAS 38,0.0,0.0,"Taylor Heinicke sacked by Jordan Willis for no gain. Penalty on Charvarius Ward: Defensive Holding, 5 yards (accepted) (no play)",0.92,1.8,16.0,2022,234
1.0,1:10,1.0,10.0,WAS 43,0.0,0.0,Brian Robinson left end for 1 yard (tackle by Fred Warner),1.8,1.39,16.0,2022,234
1.0,0:30,2.0,9.0,WAS 44,0.0,0.0,Brian Robinson up the middle for no gain (tackle by Jordan Willis and Talanoa Hufanga),1.39,0.69,16.0,2022,234
2.0,15:00,3.0,9.0,WAS 44,0.0,0.0,Taylor Heinicke pass complete short left to Jahan Dotson for 11 yards (tackle by Deommodore Lenoir),0.69,2.59,16.0,2022,234
2.0,14:20,1.0,10.0,SFO 45,0.0,0.0,Brian Robinson up the middle for 3 yards (tackle by Fred Warner),2.59,2.45,16.0,2022,234
2.0,13:41,2.0,7.0,SFO 42,0.0,0.0,Brian Robinson left end for 10 yards (tackle by Charles Omenihu),2.45,3.45,16.0,2022,234
2.0,13:01,1.0,10.0,SFO 32,0.0,0.0,Antonio Gibson left guard for 2 yards (tackle by Nick Bosa and Michael Dwumfour),3.45,3.17,16.0,2022,234
2.0,12:23,2.0,8.0,SFO 30,0.0,0.0,Taylor Heinicke pass complete deep right to Jahan Dotson for 25 yards (tackle by Dre Greenlaw),3.17,6.06,16.0,2022,234
2.0,11:40,1.0,5.0,SFO 5,0.0,0.0,Brian Robinson right tackle for no gain (tackle by Fred Warner),6.06,5.15,16.0,2022,234
2.0,11:01,2.0,5.0,SFO 5,0.0,0.0,Brian Robinson up the middle for 4 yards (tackle by Dre Greenlaw and Talanoa Hufanga),5.15,5.17,16.0,2022,234
2.0,10:21,3.0,1.0,SFO 1,0.0,0.0,Brian Robinson left tackle for no gain (tackle by Dre Greenlaw and Akeem Spence),5.17,3.55,16.0,2022,234
2.0,9:38,4.0,1.0,SFO 1,0.0,0.0,Antonio Gibson right guard for no gain (tackle by Fred Warner),3.55,0.38,16.0,2022,234
2.0,9:32,1.0,10.0,SFO 1,0.0,0.0,Christian McCaffrey up the middle for 3 yards (tackle by Efe Obada),-0.38,-0.56,16.0,2022,234
2.0,8:52,2.0,7.0,SFO 4,0.0,0.0,Christian McCaffrey up the middle for 9 yards (tackle by Jamin Davis and David Mayo),-0.56,-0.32,16.0,2022,234
2.0,8:09,1.0,10.0,SFO 13,0.0,0.0,Tyrion Davis-Price right guard for 1 yard (tackle by Daron Payne and Chase Young),-0.32,-0.68,16.0,2022,234
2.0,7:30,2.0,9.0,SFO 14,0.0,0.0,Brock Purdy pass incomplete short right intended for George Kittle (defended by Chase Young),-0.68,-1.3,16.0,2022,234
2.0,7:25,3.0,9.0,SFO 14,0.0,0.0,Brock Purdy pass complete short left to Jauan Jennings for 15 yards (tackle by Danny Johnson),-1.3,0.87,16.0,2022,234
2.0,6:43,1.0,10.0,SFO 29,0.0,0.0,Brock Purdy pass incomplete short middle intended for George Kittle (defended by John Ridgeway),0.87,0.33,16.0,2022,234
2.0,6:37,2.0,10.0,SFO 29,0.0,6.0,"Ray-Ray McCloud right end for 71 yards, touchdown",0.33,7.0,16.0,2022,234
2.0,6:26,,,WAS 15,0.0,7.0,Robbie Gould kicks extra point good,0.0,0.0,16.0,2022,234
2.0,6:26,,,SFO 35,0.0,7.0,"Robbie Gould kicks off 62 yards, out of bounds",0.0,1.6,16.0,2022,234
2.0,6:26,1.0,10.0,WAS 40,0.0,7.0,Jonathan Williams left tackle for 2 yards (tackle by Fred Warner and Dre Greenlaw),1.6,1.32,16.0,2022,234
2.0,5:45,2.0,8.0,WAS 42,0.0,7.0,Taylor Heinicke pass complete short right to Antonio Gibson for 9 yards (tackle by Deommodore Lenoir),1.32,2.32,16.0,2022,234
2.0,5:06,1.0,10.0,SFO 49,0.0,7.0,"Taylor Heinicke pass complete deep left to Jahan Dotson for 44 yards (tackle by Deommodore Lenoir). Penalty on Charvarius Ward: Defensive Holding, 5 yards (offset) . Penalty on Wes Schweitzer: Offensive Holding, 10 yards (offset) (no play)",2.32,2.32,16.0,2022,234
2.0,4:36,1.0,10.0,SFO 49,0.0,7.0,Brian Robinson up the middle for no gain (tackle by Talanoa Hufanga and Azeez Al-Shaair),2.32,1.78,16.0,2022,234
2.0,3:56,2.0,10.0,SFO 49,0.0,7.0,Brian Robinson up the middle for -1 yards (tackle by Charvarius Ward and Charles Omenihu),1.78,0.96,16.0,2022,234
2.0,3:17,3.0,11.0,SFO 50,0.0,7.0,Taylor Heinicke pass incomplete short right intended for Jahan Dotson,0.96,-0.06,16.0,2022,234
2.0,3:10,4.0,11.0,SFO 50,0.0,7.0,"Tress Way punts 36 yards, fair catch by Ray-Ray McCloud at SF-14",-0.06,0.28,16.0,2022,234
2.0,3:03,1.0,10.0,SFO 14,0.0,7.0,Brock Purdy pass deep middle intended for Jauan Jennings is intercepted by Darrick Forrest at SF-31 and returned for no gain (tackle by Jauan Jennings),-0.28,-3.51,16.0,2022,234
2.0,2:57,1.0,10.0,SFO 31,0.0,7.0,Brian Robinson right guard for 5 yards (tackle by Fred Warner),3.51,3.64,16.0,2022,234
2.0,2:21,2.0,5.0,SFO 26,0.0,7.0,Brian Robinson right end for 4 yards (tackle by Fred Warner and Tashaun Gipson),3.64,3.47,16.0,2022,234
2.0,2:00,3.0,1.0,SFO 22,0.0,7.0,"Penalty on Trai Turner: False Start, 4 yards (accepted) (no play)",3.47,2.94,16.0,2022,234
2.0,2:00,3.0,5.0,SFO 26,0.0,7.0,Taylor Heinicke pass complete to Jahan Dotson for 9 yards (tackle by Talanoa Hufanga),2.94,4.44,16.0,2022,234
2.0,1:16,1.0,10.0,SFO 17,0.0,7.0,Taylor Heinicke sacked by Nick Bosa for -9 yards,4.44,2.68,16.0,2022,234
2.0,0:47,2.0,19.0,SFO 26,0.0,7.0,Antonio Gibson right guard for 5 yards (tackle by Samson Ebukam),2.68,2.68,16.0,2022,234
2.0,0:45,,,,,,Timeout #2 by San Francisco 49ers,,,16.0,2022,234
2.0,0:45,3.0,14.0,SFO 21,0.0,7.0,Taylor Heinicke pass complete short right to Curtis Samuel for 14 yards (tackle by Tashaun Gipson),2.68,5.6,16.0,2022,234
2.0,0:30,,,,,,Timeout #1 by Washington Commanders,,,16.0,2022,234
2.0,0:30,1.0,7.0,SFO 7,0.0,7.0,Antonio Gibson up the middle for 3 yards (tackle by Akeem Spence),5.6,5.34,16.0,2022,234
2.0,0:27,,,,,,Timeout #2 by Washington Commanders,,,16.0,2022,234
2.0,0:27,2.0,4.0,SFO 4,6.0,7.0,"Taylor Heinicke pass complete short right to Jahan Dotson for 4 yards, touchdown",5.34,7.0,16.0,2022,234
2.0,0:22,,,SFO 15,7.0,7.0,Joey Slye kicks extra point good,0.0,0.0,16.0,2022,234
2.0,0:22,,,WAS 35,7.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,234
2.0,0:22,1.0,10.0,SFO 25,7.0,7.0,Christian McCaffrey up the middle for 2 yards (tackle by Daron Payne and Jonathan Allen),0.61,0.33,16.0,2022,234
3.0,15:00,,,WAS 35,7.0,7.0,"Joey Slye kicks off 64 yards, returned by Ray-Ray McCloud for 23 yards (tackle by Jonathan Bostic and Cam Sims)",0.0,0.54,16.0,2022,234
3.0,14:54,1.0,10.0,SFO 24,7.0,7.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 13 yards (tackle by David Mayo),0.54,1.4,16.0,2022,234
3.0,14:16,1.0,10.0,SFO 37,7.0,7.0,Brock Purdy pass complete short left to George Kittle for 13 yards (tackle by Jamin Davis and David Mayo),1.4,2.26,16.0,2022,234
3.0,13:36,1.0,10.0,SFO 50,7.0,7.0,Christian McCaffrey left tackle for 3 yards (tackle by Jamin Davis and Jeremy Reaves),2.26,2.12,16.0,2022,234
3.0,12:53,2.0,7.0,WAS 47,7.0,7.0,Christian McCaffrey left tackle for 7 yards (tackle by Jamin Davis and Benjamin St-Juste),2.12,2.92,16.0,2022,234
3.0,12:08,1.0,10.0,WAS 40,7.0,7.0,Christian McCaffrey right tackle for 4 yards (tackle by Chase Young),2.92,2.91,16.0,2022,234
3.0,11:26,2.0,6.0,WAS 36,7.0,7.0,Tyrion Davis-Price up the middle for 2 yards (tackle by Daron Payne),2.91,2.48,16.0,2022,234
3.0,10:44,3.0,4.0,WAS 34,7.0,13.0,"Brock Purdy pass complete deep middle to George Kittle for 34 yards, touchdown",2.48,7.0,16.0,2022,234
3.0,10:38,,,WAS 15,7.0,14.0,Robbie Gould kicks extra point good,0.0,0.0,16.0,2022,234
3.0,10:38,,,SFO 35,7.0,14.0,"Robbie Gould kicks off 64 yards, recovered by Antonio Gibson at WAS-8 returned by Antonio Gibson for 3 yards (tackle by George Odum and Demetrius Flannigan-Fowles)",0.0,-0.37,16.0,2022,234
3.0,10:32,1.0,10.0,WAS 11,7.0,14.0,Brian Robinson left guard for 2 yards (tackle by Fred Warner),-0.37,-0.63,16.0,2022,234
3.0,9:52,2.0,8.0,WAS 13,7.0,14.0,Taylor Heinicke pass complete short right to Logan Thomas for 2 yards (tackle by Jimmie Ward),-0.63,-0.95,16.0,2022,234
3.0,9:15,3.0,6.0,WAS 15,7.0,14.0,Taylor Heinicke pass incomplete short middle intended for Antonio Gibson,-0.95,-2.44,16.0,2022,234
3.0,9:10,4.0,6.0,WAS 15,7.0,14.0,Tress Way punts 42 yards downed by Christian Holmes,-2.44,-1.8,16.0,2022,234
3.0,8:59,1.0,10.0,SFO 43,7.0,14.0,Christian McCaffrey up the middle for 3 yards (tackle by Jamin Davis and David Mayo),1.8,1.66,16.0,2022,234
3.0,8:17,2.0,7.0,SFO 46,7.0,14.0,"Brock Purdy pass complete short right to George Kittle for no gain (tackle by Darrick Forrest). Penalty on Aaron Banks: Offensive Holding, 10 yards (accepted) (no play)",1.66,0.31,16.0,2022,234
3.0,8:01,2.0,17.0,SFO 36,7.0,14.0,Brock Purdy pass incomplete deep left,0.31,-0.36,16.0,2022,234
3.0,7:52,3.0,17.0,SFO 36,7.0,14.0,Brock Purdy pass incomplete short left intended for Ray-Ray McCloud,-0.36,-0.98,16.0,2022,234
3.0,7:49,4.0,17.0,SFO 36,7.0,14.0,"Mitch Wishnowsky punts 39 yards, fair catch by Dax Milne at WAS-25",-0.98,-0.61,16.0,2022,234
3.0,7:42,1.0,10.0,WAS 25,7.0,14.0,Brian Robinson left tackle for 2 yards (tackle by Nick Bosa),0.61,0.33,16.0,2022,234
3.0,7:03,2.0,8.0,WAS 27,7.0,14.0,Brian Robinson left guard for 4 yards (tackle by Dre Greenlaw and Deommodore Lenoir),0.33,0.17,16.0,2022,234
3.0,6:22,3.0,4.0,WAS 31,7.0,14.0,Taylor Heinicke pass complete short left to Curtis Samuel for 3 yards (tackle by Jimmie Ward and Dre Greenlaw),0.17,-1.11,16.0,2022,234
3.0,5:46,4.0,1.0,WAS 34,7.0,14.0,Taylor Heinicke up the middle for no gain (tackle by Nick Bosa and Fred Warner),-1.11,-3.31,16.0,2022,234
3.0,5:43,1.0,10.0,WAS 34,7.0,14.0,Brock Purdy pass complete short left to Brandon Aiyuk for 1 yard (tackle by Jeremy Reaves),3.31,2.91,16.0,2022,234
3.0,5:02,2.0,9.0,WAS 33,7.0,20.0,"Brock Purdy pass complete short left to George Kittle for 33 yards, touchdown",2.91,7.0,16.0,2022,234
3.0,4:52,,,WAS 15,7.0,21.0,Robbie Gould kicks extra point good,0.0,0.0,16.0,2022,234
3.0,4:52,,,SFO 35,7.0,21.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,234
3.0,4:52,1.0,10.0,WAS 25,7.0,21.0,Taylor Heinicke pass complete short right to Jahan Dotson for 18 yards (tackle by Deommodore Lenoir),0.61,1.8,16.0,2022,234
3.0,4:19,1.0,10.0,WAS 43,7.0,21.0,Taylor Heinicke pass complete deep middle to Terry McLaurin for 51 yards (tackle by Samuel Womack),1.8,5.83,16.0,2022,234
3.0,3:32,1.0,6.0,SFO 6,7.0,21.0,Brian Robinson up the middle for 3 yards (tackle by T.Y. McGill and Fred Warner),5.83,5.53,16.0,2022,234
3.0,2:53,2.0,3.0,SFO 3,13.0,21.0,"Taylor Heinicke pass complete short middle to Terry McLaurin for 3 yards, touchdown. Penalty on Talanoa Hufanga: Illegal Contact, 5 yards (declined)",5.53,7.0,16.0,2022,234
3.0,2:46,,,SFO 15,14.0,21.0,Joey Slye kicks extra point good,0.0,0.0,16.0,2022,234
3.0,2:46,,,WAS 35,14.0,21.0,"Joey Slye kicks off 65 yards, touchback.. Penalty on Rachad Wildgoose: Unnecessary Roughness / Offense, 15 yards (accepted)",0.0,1.6,16.0,2022,234
3.0,2:46,1.0,10.0,SFO 40,14.0,21.0,Brock Purdy pass complete short left to Brandon Aiyuk for 54 yards (tackle by Bobby McCain),1.6,5.83,16.0,2022,234
3.0,1:58,1.0,6.0,WAS 6,14.0,21.0,Christian McCaffrey up the middle for 1 yard (tackle by Jonathan Allen),5.83,5.15,16.0,2022,234
3.0,1:22,2.0,5.0,WAS 5,14.0,21.0,Brock Purdy sacked by James Smith-Williams for -4 yards,5.15,0.0,16.0,2022,234
3.0,0:47,3.0,9.0,WAS 9,14.0,21.0,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",0.0,3.0,16.0,2022,234
3.0,0:33,3.0,14.0,WAS 14,14.0,21.0,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Jeremy Reaves and Bobby McCain),3.0,2.95,16.0,2022,234
4.0,15:00,4.0,8.0,WAS 8,14.0,24.0,Robbie Gould 26 yard field goal good,2.95,3.0,16.0,2022,234
4.0,14:56,,,SFO 35,14.0,24.0,"Robbie Gould kicks off 64 yards, returned by Antonio Gibson for 18 yards (tackle by George Odum and Jordan Mason)",0.0,0.15,16.0,2022,234
4.0,14:51,1.0,10.0,WAS 19,14.0,24.0,Curtis Samuel left end for 2 yards (tackle by Deommodore Lenoir),0.15,-0.06,16.0,2022,234
4.0,14:12,2.0,8.0,WAS 21,14.0,24.0,"Taylor Heinicke sacked by Nick Bosa for -10 yards. Taylor Heinicke fumbles (forced by Nick Bosa), recovered by Jordan Willis at WAS-11 (tackle by Cornelius Lucas and Cole Turner)",-0.06,-4.84,16.0,2022,234
4.0,14:04,1.0,10.0,WAS 11,14.0,24.0,Christian McCaffrey left end for no gain (tackle by Jeremy Reaves),4.84,4.14,16.0,2022,234
4.0,13:28,2.0,10.0,WAS 11,14.0,24.0,Brock Purdy pass complete short middle to George Kittle for 5 yards (tackle by David Mayo),4.14,4.21,16.0,2022,234
4.0,12:48,3.0,5.0,WAS 6,14.0,24.0,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",4.21,3.13,16.0,2022,234
4.0,12:48,3.0,10.0,WAS 11,14.0,24.0,Brock Purdy scrambles right tackle for 6 yards (tackle by Jamin Davis),3.13,3.01,16.0,2022,234
4.0,12:05,4.0,4.0,WAS 5,14.0,27.0,Robbie Gould 23 yard field goal good,3.01,3.0,16.0,2022,234
4.0,12:02,,,SFO 35,14.0,27.0,"Robbie Gould kicks off 63 yards, returned by Dax Milne for 17 yards (tackle by Oren Burks and Danny Gray)",0.0,0.15,16.0,2022,234
4.0,11:57,1.0,10.0,WAS 19,14.0,27.0,Brian Robinson left guard for 3 yards (tackle by Talanoa Hufanga),0.15,0.07,16.0,2022,234
4.0,11:23,2.0,7.0,WAS 22,14.0,27.0,"Taylor Heinicke pass short middle intended for Brian Robinson is intercepted by Jimmie Ward at WAS-25 and returned for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Taylor Heinicke pass short middle intended for Brian Robinson is intercepted by Jimmie Ward at WAS-25 and returned for no gain (tackle by Brian Robinson)",0.07,-3.91,16.0,2022,234
4.0,11:19,1.0,10.0,WAS 25,14.0,27.0,Brock Purdy pass complete short left to Brandon Aiyuk for 4 yards (tackle by Darrick Forrest),3.91,3.9,16.0,2022,234
4.0,10:42,2.0,6.0,WAS 21,14.0,27.0,Christian McCaffrey left end for -2 yards (tackle by Jamin Davis),3.9,2.94,16.0,2022,234
4.0,9:58,3.0,8.0,WAS 23,14.0,27.0,Brock Purdy pass complete short left to Jauan Jennings for 6 yards (tackle by Benjamin St-Juste),2.94,2.44,16.0,2022,234
4.0,9:20,4.0,2.0,WAS 17,14.0,30.0,Robbie Gould 35 yard field goal good,2.44,3.0,16.0,2022,234
4.0,9:16,,,SFO 35,14.0,30.0,"Robbie Gould kicks off 66 yards, returned by Dax Milne for 19 yards (tackle by George Odum)",0.0,0.04,16.0,2022,234
4.0,9:11,1.0,10.0,WAS 18,14.0,30.0,Carson Wentz pass incomplete deep right intended for Logan Thomas,0.04,-0.49,16.0,2022,234
4.0,9:07,2.0,10.0,WAS 18,14.0,30.0,Jonathan Williams up the middle for 9 yards (tackle by Deommodore Lenoir and Fred Warner),-0.49,-0.02,16.0,2022,234
4.0,8:44,3.0,1.0,WAS 27,14.0,30.0,Carson Wentz pass complete short left to Curtis Samuel for 4 yards (tackle by Charvarius Ward),-0.02,1.0,16.0,2022,234
4.0,8:18,1.0,10.0,WAS 31,14.0,30.0,Carson Wentz pass complete short right to Jonathan Williams for 21 yards (tackle by Deommodore Lenoir),1.0,2.39,16.0,2022,234
4.0,7:43,1.0,10.0,SFO 48,14.0,30.0,"Carson Wentz pass complete short right to Logan Thomas for 4 yards (tackle by Deommodore Lenoir) SFO challenged the pass completion ruling, and the play was upheld.",2.39,2.39,16.0,2022,234
4.0,7:13,2.0,6.0,SFO 44,14.0,30.0,Carson Wentz pass complete short left to Antonio Gibson for 12 yards (tackle by Talanoa Hufanga),2.39,3.45,16.0,2022,234
4.0,6:34,1.0,10.0,SFO 32,14.0,30.0,Carson Wentz pass complete short left to Jonathan Williams for 7 yards (tackle by Fred Warner),3.45,3.85,16.0,2022,234
4.0,6:06,2.0,3.0,SFO 25,14.0,30.0,Carson Wentz pass complete short middle to Logan Thomas for 5 yards (tackle by Jimmie Ward),3.85,4.24,16.0,2022,234
4.0,5:40,1.0,10.0,SFO 20,14.0,30.0,Carson Wentz pass incomplete short right intended for Jahan Dotson (defended by Deommodore Lenoir),4.24,3.69,16.0,2022,234
4.0,5:36,2.0,10.0,SFO 20,14.0,30.0,Carson Wentz pass incomplete short middle intended for Logan Thomas (defended by Talanoa Hufanga),3.69,3.01,16.0,2022,234
4.0,5:30,3.0,10.0,SFO 20,20.0,30.0,"Carson Wentz pass complete short left to Curtis Samuel for 20 yards, touchdown",3.01,7.0,16.0,2022,234
4.0,5:25,,,SFO 2,20.0,30.0,"Two Point Attempt: Carson Wentz pass incomplete, sacked by Carson Wentz sacked by",1.0,-1.0,16.0,2022,234
4.0,5:25,,,WAS 35,20.0,30.0,"Joey Slye kicks onside 3 yards,. Penalty on Khaleke Hudson: Illegal Touch Kick, 5 yards (accepted)",0.0,3.38,16.0,2022,234
4.0,5:25,1.0,10.0,WAS 33,20.0,30.0,Tyrion Davis-Price up the middle for 2 yards (tackle by John Ridgeway),3.38,3.11,16.0,2022,234
4.0,4:49,2.0,8.0,WAS 31,20.0,30.0,Tyrion Davis-Price right tackle for 7 yards (tackle by Jeremy Reaves and Darrick Forrest),3.11,3.34,16.0,2022,234
4.0,4:42,,,,,,Timeout #1 by Washington Commanders,,,16.0,2022,234
4.0,4:42,3.0,1.0,WAS 24,20.0,30.0,Tyrion Davis-Price up the middle for 6 yards (tackle by Jeremy Reaves and John Ridgeway),3.34,4.37,16.0,2022,234
4.0,4:37,,,,,,Timeout #2 by Washington Commanders,,,16.0,2022,234
4.0,4:37,1.0,10.0,WAS 18,20.0,30.0,Tyrion Davis-Price right end for 3 yards (tackle by David Mayo),4.37,4.25,16.0,2022,234
4.0,4:29,,,,,,Timeout #3 by Washington Commanders,,,16.0,2022,234
4.0,4:29,2.0,7.0,WAS 15,20.0,30.0,Brock Purdy sacked by Benjamin St-Juste for -4 yards,4.25,2.97,16.0,2022,234
4.0,3:45,,,,,,Timeout #2 by San Francisco 49ers,,,16.0,2022,234
4.0,3:45,3.0,11.0,WAS 19,20.0,30.0,Christian McCaffrey up the middle for 8 yards (tackle by Darrick Forrest),2.97,2.8,16.0,2022,234
4.0,3:02,,,,,,Timeout #3 by San Francisco 49ers,,,16.0,2022,234
4.0,3:02,4.0,3.0,WAS 11,20.0,30.0,Brock Purdy pass complete short middle to George Kittle for 10 yards (tackle by Jeremy Reaves),2.8,6.97,16.0,2022,234
4.0,2:16,1.0,1.0,WAS 1,20.0,36.0,"Christian McCaffrey for 1 yard, touchdown",6.97,7.0,16.0,2022,234
4.0,2:13,,,WAS 15,20.0,37.0,Robbie Gould kicks extra point good,0.0,0.0,16.0,2022,234
4.0,2:13,,,SFO 35,20.0,37.0,"Robbie Gould kicks off 65 yards, returned by Dax Milne for 18 yards (tackle by Oren Burks and Ambry Thomas)",0.0,0.04,16.0,2022,234
4.0,2:06,1.0,10.0,WAS 18,20.0,37.0,Jonathan Williams right tackle for 2 yards (tackle by Nick Bosa),0.04,-0.13,16.0,2022,234
4.0,2:00,2.0,8.0,WAS 20,20.0,37.0,Carson Wentz pass incomplete short left intended for Jonathan Williams,-0.13,-0.91,16.0,2022,234
4.0,1:52,3.0,8.0,WAS 20,20.0,37.0,Carson Wentz pass complete short middle to Logan Thomas for 15 yards (tackle by Oren Burks and Demetrius Flannigan-Fowles),-0.91,1.27,16.0,2022,234
4.0,1:35,1.0,10.0,WAS 35,20.0,37.0,Carson Wentz pass complete short right to Jahan Dotson for 9 yards (tackle by Samuel Womack),1.27,1.94,16.0,2022,234
4.0,1:14,2.0,1.0,WAS 44,20.0,37.0,Carson Wentz pass complete short left to Terry McLaurin for 9 yards (tackle by George Odum and Oren Burks),1.94,2.46,16.0,2022,234
4.0,0:51,1.0,10.0,SFO 47,20.0,37.0,Carson Wentz pass complete short right to Curtis Samuel for 11 yards (tackle by Ambry Thomas),2.46,3.18,16.0,2022,234
