Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA,week,year,game_id
3.0,14:01,2.0,6.0,ATL 35,3.0,14.0,Desmond Ridder pass incomplete short right intended for Olamide Zaccheaus (defended by Chuck Clark),1.0,0.3,16.0,2022,226
3.0,13:55,3.0,6.0,ATL 35,3.0,14.0,"Desmond Ridder pass incomplete intended for Drake London. Penalty on Damarion Williams: Defensive Pass Interference, 6 yards (accepted) (no play)",0.3,1.66,16.0,2022,226
3.0,13:50,1.0,10.0,ATL 41,3.0,14.0,Cordarrelle Patterson right guard for 2 yards (tackle by Travis Jones),1.66,1.39,16.0,2022,226
3.0,13:10,2.0,8.0,ATL 43,3.0,14.0,Desmond Ridder pass incomplete short left intended for Tyler Allgeier (defended by Tyus Bowser),1.39,0.7,16.0,2022,226
3.0,13:05,3.0,8.0,ATL 43,3.0,14.0,Desmond Ridder pass complete short middle to Avery Williams for 7 yards (tackle by Chuck Clark and Marcus Williams),0.7,-0.06,16.0,2022,226
3.0,12:21,4.0,1.0,ATL 50,3.0,14.0,Tyler Allgeier right end for 4 yards (tackle by Jason Pierre-Paul),-0.06,2.52,16.0,2022,226
3.0,11:38,1.0,10.0,BAL 46,3.0,14.0,Tyler Allgeier right tackle for 2 yards (tackle by Justin Madubuike and Roquan Smith),2.52,2.25,16.0,2022,226
3.0,10:58,2.0,8.0,BAL 44,3.0,14.0,Tyler Allgeier up the middle for 3 yards (tackle by Justin Madubuike and Jason Pierre-Paul),2.25,1.95,16.0,2022,226
3.0,10:21,3.0,5.0,BAL 41,3.0,14.0,Desmond Ridder pass complete short middle to Drake London for 8 yards (tackle by Kyle Hamilton),1.95,3.38,16.0,2022,226
3.0,9:53,1.0,10.0,BAL 33,3.0,14.0,Tyler Allgeier left end for 9 yards (tackle by Patrick Queen and Tyus Bowser),3.38,4.05,16.0,2022,226
3.0,9:30,2.0,1.0,BAL 24,3.0,14.0,Tyler Allgeier left end for 6 yards (tackle by Odafe Oweh),4.05,4.37,16.0,2022,226
