Quarter,Time,Down,ToGo,Location,DET,CAR,Detail,EPB,EPA,week,year,game_id
1.0,8:43,2.0,3.0,CAR 3,6.0,7.0,"Jared Goff pass complete short right to Shane Zylstra for 3 yards, touchdown",5.53,7.0,16.0,2022,228
1.0,8:38,,,CAR 15,7.0,7.0,Michael Badgley kicks extra point good,0.0,0.0,16.0,2022,228
1.0,8:38,,,DET 35,7.0,7.0,"Michael Badgley kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,228
1.0,8:38,1.0,10.0,CAR 25,7.0,7.0,D'Onta Foreman up the middle for 21 yards (tackle by Kerby Joseph),0.61,1.99,16.0,2022,228
1.0,8:03,1.0,10.0,CAR 46,7.0,7.0,"Penalty on Laviska Shenault: False Start, 5 yards (accepted) (no play)",1.99,1.66,16.0,2022,228
1.0,7:43,1.0,15.0,CAR 41,7.0,7.0,Raheem Blackshear up the middle for -1 yards (tackle by Alim McNeill),1.66,0.64,16.0,2022,228
1.0,6:59,2.0,16.0,CAR 40,7.0,7.0,Sam Darnold pass complete short right to Laviska Shenault for 10 yards (tackle by Kerby Joseph and Will Harris),0.64,1.29,16.0,2022,228
1.0,6:19,3.0,6.0,CAR 50,7.0,7.0,"Sam Darnold pass incomplete intended for Ian Thomas. Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (declined)",1.29,-0.06,16.0,2022,228
1.0,6:14,4.0,6.0,CAR 50,7.0,7.0,"Johnny Hekker punts 41 yards, fair catch by Kalif Raymond at DET-9",-0.06,0.38,16.0,2022,228
1.0,6:07,1.0,10.0,DET 9,7.0,7.0,Jamaal Williams left tackle for 3 yards (tackle by Jeremy Chinn and Matthew Ioannidis),-0.38,-0.56,16.0,2022,228
1.0,5:31,2.0,7.0,DET 12,7.0,7.0,Jared Goff pass complete short right to James Mitchell for 22 yards (tackle by Jeremy Chinn),-0.56,1.2,16.0,2022,228
1.0,4:56,1.0,10.0,DET 34,7.0,7.0,D'Andre Swift right guard for 3 yards (tackle by Henry Anderson),1.2,1.06,16.0,2022,228
1.0,4:20,2.0,7.0,DET 37,7.0,7.0,Jared Goff pass complete short right to Brock Wright for 11 yards (tackle by Xavier Woods),1.06,2.13,16.0,2022,228
1.0,3:43,1.0,10.0,DET 48,7.0,7.0,Jared Goff pass complete deep right to Amon-Ra St. Brown for 19 yards (tackle by Myles Hartsfield),2.13,3.38,16.0,2022,228
1.0,3:03,1.0,10.0,CAR 33,7.0,7.0,Justin Jackson left tackle for -1 yards (tackle by Matthew Ioannidis and Yetur Gross-Matos),3.38,2.7,16.0,2022,228
1.0,2:25,2.0,11.0,CAR 34,7.0,7.0,"Jared Goff pass incomplete intended for Josh Reynolds. Penalty on Jeremy Chinn: Defensive Pass Interference, 3 yards (accepted) (no play)",2.7,3.51,16.0,2022,228
1.0,2:20,1.0,10.0,CAR 31,7.0,7.0,Jamaal Williams up the middle for -4 yards (tackle by Frankie Luvu),3.51,2.43,16.0,2022,228
1.0,1:42,2.0,14.0,CAR 35,7.0,7.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Jeremy Chinn),2.43,1.75,16.0,2022,228
1.0,1:38,3.0,14.0,CAR 35,7.0,7.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Shaq Thompson),1.75,2.14,16.0,2022,228
1.0,0:54,4.0,1.0,CAR 22,7.0,7.0,Jamaal Williams left guard for 2 yards (tackle by Cory Littleton and Bravvion Roy),2.14,4.24,16.0,2022,228
1.0,0:16,1.0,10.0,CAR 20,7.0,7.0,Jamaal Williams up the middle for 4 yards (tackle by Yetur Gross-Matos),4.24,4.28,16.0,2022,228
2.0,15:00,2.0,6.0,CAR 16,7.0,7.0,Kalif Raymond right end for 8 yards (tackle by Jeremy Chinn and Jaycee Horn),4.28,5.37,16.0,2022,228
2.0,14:21,1.0,8.0,CAR 8,7.0,7.0,"Jared Goff aborted snap, recovered by Yetur Gross-Matos at CAR-9",5.37,0.38,16.0,2022,228
2.0,14:17,1.0,10.0,CAR 9,7.0,7.0,Sam Darnold pass complete short right to Tommy Tremble for 18 yards (tackle by Aidan Hutchinson),-0.38,0.74,16.0,2022,228
2.0,13:29,1.0,10.0,CAR 27,7.0,7.0,D'Onta Foreman up the middle for 38 yards (tackle by Jeff Okudah),0.74,3.25,16.0,2022,228
2.0,12:44,1.0,10.0,DET 35,7.0,7.0,Chuba Hubbard left tackle for 2 yards (tackle by Ifeatu Melifonwu),3.25,2.97,16.0,2022,228
2.0,12:03,2.0,8.0,DET 33,7.0,7.0,D'Onta Foreman left guard for 5 yards (tackle by John Cominsky),2.97,2.94,16.0,2022,228
2.0,11:22,3.0,3.0,DET 28,7.0,7.0,Sam Darnold pass complete short left to Ian Thomas for 12 yards (tackle by Ifeatu Melifonwu),2.94,4.51,16.0,2022,228
2.0,11:02,1.0,10.0,DET 16,7.0,7.0,Sam Darnold right tackle for 13 yards (tackle by Ifeatu Melifonwu and Kerby Joseph),4.51,6.51,16.0,2022,228
2.0,10:21,1.0,3.0,DET 3,7.0,7.0,Sam Darnold pass complete short left to Tommy Tremble for no gain (tackle by Derrick Barnes),6.51,5.53,16.0,2022,228
2.0,9:40,2.0,3.0,DET 3,7.0,13.0,"Sam Darnold left end for 3 yards, touchdown",5.53,7.0,16.0,2022,228
2.0,9:35,,,DET 15,7.0,14.0,Eddy Pineiro kicks extra point good,0.0,0.0,16.0,2022,228
2.0,9:35,,,CAR 35,7.0,14.0,"Eddy Pineiro kicks off 64 yards, returned by Justin Jackson for 27 yards (tackle by Cory Littleton)",0.0,0.81,16.0,2022,228
2.0,9:30,1.0,10.0,DET 28,7.0,14.0,D'Andre Swift up the middle for 4 yards (tackle by Marquan McCall and Bravvion Roy),0.81,0.8,16.0,2022,228
2.0,8:52,2.0,6.0,DET 32,7.0,14.0,Jared Goff pass incomplete short left intended for Josh Reynolds (defended by Brian Burns),0.8,0.1,16.0,2022,228
2.0,8:49,3.0,6.0,DET 32,7.0,14.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Marquis Haynes),0.1,-1.24,16.0,2022,228
2.0,8:45,4.0,6.0,DET 32,7.0,14.0,"Jack Fox punts 53 yards, returned by Shi Smith for no gain (tackle by Josh Woods)",-1.24,0.14,16.0,2022,228
2.0,8:34,1.0,10.0,CAR 16,7.0,14.0,"Penalty on Sam Franklin: Offensive Holding, 7 yards (accepted)",-0.14,-0.38,16.0,2022,228
2.0,8:34,1.0,10.0,CAR 8,7.0,14.0,Sam Darnold pass incomplete short right intended for Ian Thomas,-0.38,-0.78,16.0,2022,228
2.0,8:30,2.0,10.0,CAR 8,7.0,14.0,Sam Darnold pass complete deep left to Terrace Marshall for 36 yards (tackle by Jerry Jacobs),-0.78,1.86,16.0,2022,228
2.0,7:55,1.0,10.0,CAR 44,7.0,14.0,D'Onta Foreman up the middle for 21 yards (tackle by Ifeatu Melifonwu),1.86,3.25,16.0,2022,228
2.0,7:15,1.0,10.0,DET 35,7.0,14.0,D'Onta Foreman left guard for 6 yards (tackle by Jeff Okudah),3.25,3.51,16.0,2022,228
2.0,6:35,2.0,4.0,DET 29,7.0,14.0,D'Onta Foreman left guard for 1 yard (tackle by Malcolm Rodriguez),3.51,2.94,16.0,2022,228
2.0,5:54,3.0,3.0,DET 28,7.0,14.0,Sam Darnold left tackle for 2 yards (tackle by Alex Anzalone),2.94,1.89,16.0,2022,228
2.0,5:08,4.0,1.0,DET 26,7.0,14.0,Sam Darnold up the middle for 3 yards (tackle by Malcolm Rodriguez),1.89,4.04,16.0,2022,228
2.0,4:30,1.0,10.0,DET 23,7.0,14.0,D'Onta Foreman left tackle for 2 yards (tackle by Benito Jones),4.04,3.77,16.0,2022,228
2.0,3:50,2.0,8.0,DET 21,7.0,14.0,Sam Darnold pass complete short left to Raheem Blackshear for 12 yards (tackle by Ifeatu Melifonwu),3.77,5.14,16.0,2022,228
2.0,3:02,1.0,9.0,DET 9,7.0,14.0,D'Onta Foreman left tackle for no gain (tackle by John Cominsky and Jeff Okudah),5.14,4.38,16.0,2022,228
2.0,2:18,2.0,9.0,DET 9,7.0,14.0,"Sam Darnold pass incomplete intended for Ian Thomas. Penalty on Jerry Jacobs: Defensive Holding, 5 yards (accepted) (no play)",4.38,6.28,16.0,2022,228
2.0,2:12,1.0,4.0,DET 4,7.0,20.0,"D'Onta Foreman up the middle for 4 yards, touchdown",6.28,7.0,16.0,2022,228
2.0,2:08,,,DET 15,7.0,21.0,Eddy Pineiro kicks extra point good,0.0,0.0,16.0,2022,228
2.0,2:08,,,CAR 35,7.0,21.0,"Eddy Pineiro kicks off 65 yards, touchback., touchback.",0.0,0.61,16.0,2022,228
2.0,2:08,1.0,10.0,DET 25,7.0,21.0,Jared Goff pass complete to Jamaal Williams for no gain (tackle by Shaq Thompson),0.61,0.13,16.0,2022,228
2.0,2:00,2.0,9.0,DET 25,7.0,21.0,D'Andre Swift left guard for 1 yard (tackle by Matthew Ioannidis),0.13,-0.49,16.0,2022,228
2.0,1:53,,,,,,Timeout #1 by Carolina Panthers,,,16.0,2022,228
2.0,1:53,3.0,9.0,DET 26,7.0,21.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Jeremy Chinn),-0.49,-1.11,16.0,2022,228
2.0,1:10,4.0,1.0,DET 34,7.0,21.0,"Jack Fox punts 52 yards, returned by Shi Smith for no gain (tackle by Josh Woods)",-1.11,0.28,16.0,2022,228
2.0,0:59,1.0,10.0,CAR 14,7.0,21.0,Chuba Hubbard left guard for 4 yards (tackle by Aidan Hutchinson and John Cominsky),-0.28,-0.21,16.0,2022,228
2.0,0:37,2.0,6.0,CAR 18,7.0,21.0,Chuba Hubbard right tackle for 33 yards (tackle by Kerby Joseph),-0.21,2.32,16.0,2022,228
2.0,0:31,,,,,,Timeout #2 by Carolina Panthers,,,16.0,2022,228
2.0,0:31,1.0,10.0,DET 49,7.0,21.0,Sam Darnold pass complete short right to Terrace Marshall for 19 yards (tackle by Jeff Okudah),2.32,3.58,16.0,2022,228
2.0,0:25,1.0,10.0,DET 30,7.0,21.0,Sam Darnold pass incomplete short right intended for Shi Smith,3.58,3.03,16.0,2022,228
2.0,0:16,2.0,10.0,DET 30,7.0,21.0,"Sam Darnold pass incomplete short right intended for D.J. Moore. Penalty on Bradley Bozeman: Offensive Holding, 10 yards (accepted) (no play)",3.03,1.68,16.0,2022,228
2.0,12:46,2.0,20.0,DET 40,7.0,21.0,"Sam Darnold pass incomplete deep left intended for Stephen Sullivan. Penalty on Chris Board: Illegal Contact, 5 yards (accepted) (no play)",1.68,3.25,16.0,2022,228
2.0,0:01,1.0,10.0,DET 35,7.0,21.0,Sam Darnold pass complete short left to Shi Smith for 17 yards (tackle by Will Harris),3.25,4.37,16.0,2022,228
2.0,0:06,,,,,,Timeout #3 by Carolina Panthers,,,16.0,2022,228
2.0,0:06,1.0,10.0,DET 18,7.0,21.0,Sam Darnold pass incomplete deep right intended for D.J. Moore,4.37,3.8,16.0,2022,228
2.0,0:02,2.0,10.0,DET 18,7.0,24.0,Eddy Pineiro 37 yard field goal good,3.8,3.0,16.0,2022,228
3.0,15:00,,,CAR 35,7.0,24.0,"Eddy Pineiro kicks off 65 yards, returned by Justin Jackson for 30 yards (tackle by T.J. Carrie and Stephen Sullivan)",0.0,0.94,16.0,2022,228
3.0,14:55,1.0,10.0,DET 30,7.0,24.0,Jared Goff pass complete short right to Josh Reynolds for 5 yards (tackle by Jaycee Horn),0.94,1.07,16.0,2022,228
3.0,14:20,2.0,5.0,DET 35,7.0,24.0,Jamaal Williams right tackle for 2 yards (tackle by Myles Hartsfield),1.07,0.63,16.0,2022,228
3.0,13:35,3.0,3.0,DET 37,7.0,24.0,Jared Goff sacked by Brian Burns for -10 yards,0.63,-1.57,16.0,2022,228
3.0,12:54,4.0,13.0,DET 27,7.0,24.0,"Jack Fox punts 47 yards, recovered by C.J. Henderson at CAR-26",-1.57,-0.67,16.0,2022,228
3.0,12:46,1.0,10.0,CAR 26,7.0,24.0,D'Onta Foreman left tackle for 15 yards (tackle by Alex Anzalone),0.67,1.66,16.0,2022,228
3.0,12:05,1.0,10.0,CAR 41,7.0,24.0,Sam Darnold pass complete to D.J. Moore for 2 yards (tackle by Jerry Jacobs),1.66,1.39,16.0,2022,228
3.0,11:25,2.0,8.0,CAR 43,7.0,24.0,D.J. Moore left end for 8 yards (tackle by Kerby Joseph),1.39,2.32,16.0,2022,228
3.0,10:40,1.0,10.0,DET 49,7.0,24.0,Sam Darnold pass incomplete short right,2.32,1.78,16.0,2022,228
3.0,10:33,2.0,10.0,DET 49,7.0,24.0,Chuba Hubbard left tackle for -3 yards (tackle by Ifeatu Melifonwu),1.78,0.7,16.0,2022,228
3.0,9:52,3.0,13.0,CAR 48,7.0,24.0,Sam Darnold pass complete deep left to D.J. Moore for 47 yards (tackle by Jeff Okudah),0.7,6.06,16.0,2022,228
3.0,9:19,1.0,5.0,DET 5,7.0,30.0,"Sam Darnold pass complete short left to D.J. Moore for 5 yards, touchdown",6.06,7.0,16.0,2022,228
3.0,9:12,,,DET 15,7.0,31.0,Eddy Pineiro kicks extra point good,0.0,0.0,16.0,2022,228
3.0,9:12,,,CAR 35,7.0,31.0,"Eddy Pineiro kicks off 65 yards, returned by Justin Jackson for 21 yards (tackle by Marquis Haynes)",0.0,0.34,16.0,2022,228
3.0,9:07,1.0,10.0,DET 21,7.0,31.0,Jared Goff sacked by Brian Burns for -9 yards,0.34,-1.44,16.0,2022,228
3.0,8:25,2.0,19.0,DET 12,7.0,31.0,Jared Goff pass incomplete short left intended for D'Andre Swift,-1.44,-2.47,16.0,2022,228
3.0,8:22,3.0,19.0,DET 12,7.0,31.0,Jared Goff pass incomplete short left intended for Jameson Williams,-2.47,-2.49,16.0,2022,228
3.0,8:16,4.0,19.0,DET 12,7.0,31.0,"Jack Fox punts 54 yards, returned by Raheem Blackshear for 11 yards (tackle by Josh Woods)",-2.49,-1.93,16.0,2022,228
3.0,8:05,1.0,10.0,CAR 45,7.0,31.0,D'Onta Foreman right tackle for 3 yards (tackle by Benito Jones),1.93,1.79,16.0,2022,228
3.0,7:23,2.0,7.0,CAR 48,7.0,31.0,Sam Darnold pass incomplete short right intended for Terrace Marshall (defended by Jerry Jacobs),1.79,1.09,16.0,2022,228
3.0,7:15,3.0,7.0,CAR 48,7.0,31.0,Sam Darnold pass complete short left to Laviska Shenault for no gain (tackle by Jerry Jacobs and John Cominsky),1.09,-0.19,16.0,2022,228
3.0,6:30,4.0,7.0,CAR 48,7.0,31.0,"Johnny Hekker punts 52 yards, touchback.",-0.19,-0.28,16.0,2022,228
3.0,6:21,1.0,10.0,DET 20,7.0,31.0,Jared Goff pass incomplete short right intended for Shane Zylstra (defended by Bravvion Roy),0.28,-0.27,16.0,2022,228
3.0,6:18,2.0,10.0,DET 20,7.0,31.0,Jared Goff pass complete short middle to James Mitchell for 9 yards (tackle by Xavier Woods and Shaq Thompson),-0.27,0.23,16.0,2022,228
3.0,5:40,3.0,1.0,DET 29,7.0,31.0,Jared Goff pass complete deep left to Kalif Raymond for 56 yards (tackle by Jaycee Horn),0.23,4.58,16.0,2022,228
3.0,5:08,1.0,10.0,CAR 15,7.0,31.0,Jamaal Williams up the middle for 3 yards (tackle by Yetur Gross-Matos),4.58,4.45,16.0,2022,228
3.0,4:35,2.0,7.0,CAR 12,7.0,31.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 2 yards (tackle by Jaycee Horn),4.45,4.0,16.0,2022,228
3.0,3:55,3.0,5.0,CAR 10,7.0,31.0,Jared Goff pass complete short left to Jamaal Williams for 3 yards (tackle by Jaycee Horn),4.0,3.0,16.0,2022,228
3.0,3:17,4.0,2.0,CAR 7,13.0,31.0,"Jared Goff pass complete short right to Shane Zylstra for 7 yards, touchdown",3.0,7.0,16.0,2022,228
3.0,3:09,,,CAR 2,13.0,31.0,"Two Point Attempt: Justin Jackson rushes, conversion fails.",1.0,-1.0,16.0,2022,228
3.0,3:09,,,DET 35,13.0,31.0,"Jack Fox kicks off 63 yards, returned by Raheem Blackshear for 29 yards (tackle by Chris Board and Kerby Joseph)",0.0,1.0,16.0,2022,228
3.0,3:02,1.0,10.0,CAR 31,13.0,31.0,D'Onta Foreman left tackle for 1 yard (tackle by Alex Anzalone),1.0,0.6,16.0,2022,228
3.0,2:20,2.0,9.0,CAR 32,13.0,31.0,Sam Darnold pass complete short left to D.J. Moore for 14 yards (tackle by Mike Hughes),0.6,1.99,16.0,2022,228
3.0,1:40,1.0,10.0,CAR 46,13.0,31.0,D'Onta Foreman left tackle for no gain (tackle by Isaiah Buggs),1.99,1.45,16.0,2022,228
3.0,1:28,2.0,10.0,CAR 46,13.0,31.0,"Penalty on Isaiah Buggs: Personal Foul / Defense, 15 yards (accepted)",1.45,2.98,16.0,2022,228
3.0,1:06,1.0,10.0,DET 39,13.0,31.0,Raheem Blackshear left end for -3 yards (tackle by Alex Anzalone and Aidan Hutchinson),2.98,2.04,16.0,2022,228
3.0,0:21,2.0,13.0,DET 42,13.0,31.0,Chuba Hubbard up the middle for 2 yards (tackle by Alim McNeill and Malcolm Rodriguez),2.04,1.62,16.0,2022,228
4.0,15:00,3.0,11.0,DET 40,13.0,31.0,Sam Darnold pass complete short right to D.J. Moore for 15 yards,1.62,3.91,16.0,2022,228
4.0,14:55,1.0,10.0,DET 25,13.0,31.0,Chuba Hubbard up the middle for 3 yards (tackle by James Houston),3.91,3.77,16.0,2022,228
4.0,14:04,2.0,7.0,DET 22,13.0,31.0,D'Onta Foreman right guard for no gain (tackle by Mike Hughes and Malcolm Rodriguez),3.77,3.07,16.0,2022,228
4.0,13:21,3.0,7.0,DET 22,13.0,31.0,Sam Darnold pass incomplete short left intended for D.J. Moore,3.07,1.99,16.0,2022,228
4.0,13:17,4.0,7.0,DET 22,13.0,34.0,Eddy Pineiro 40 yard field goal good,1.99,3.0,16.0,2022,228
4.0,13:13,,,CAR 35,13.0,34.0,"Eddy Pineiro kicks off 59 yards, returned by Justin Jackson for 42 yards (tackle by T.J. Carrie)",0.0,2.13,16.0,2022,228
4.0,13:05,1.0,10.0,DET 48,13.0,34.0,Jared Goff pass complete deep right to Josh Reynolds for 26 yards (tackle by Jaycee Horn),2.13,3.84,16.0,2022,228
4.0,12:36,1.0,10.0,CAR 26,13.0,34.0,Jared Goff up the middle for 14 yards (tackle by Myles Hartsfield),3.84,4.78,16.0,2022,228
4.0,11:56,1.0,10.0,CAR 12,13.0,34.0,"Jared Goff pass incomplete short right intended for Amon-Ra St. Brown. Penalty on Evan Brown: Offensive penalty, 5 yards (declined)",4.78,4.1,16.0,2022,228
4.0,11:56,2.0,10.0,CAR 12,13.0,34.0,Jared Goff scrambles for 1 yard (tackle by Frankie Luvu),4.1,3.29,16.0,2022,228
4.0,11:13,3.0,9.0,CAR 11,13.0,34.0,D'Andre Swift up the middle for 4 yards (tackle by Frankie Luvu and Matthew Ioannidis),3.29,2.98,16.0,2022,228
4.0,10:28,4.0,5.0,CAR 7,13.0,34.0,"Jared Goff pass incomplete intended for Josh Reynolds (defended by Xavier Woods). Penalty on Josh Reynolds: Offensive Pass Interference, 10 yards (declined)",2.98,0.38,16.0,2022,228
4.0,10:28,1.0,10.0,CAR 7,13.0,34.0,D'Onta Foreman up the middle for 8 yards (tackle by Isaiah Buggs and Derrick Barnes),-0.38,-0.14,16.0,2022,228
4.0,9:40,2.0,2.0,CAR 15,13.0,34.0,D'Onta Foreman left tackle for 4 yards (tackle by Isaiah Buggs and Alim McNeill),-0.14,0.15,16.0,2022,228
4.0,8:54,1.0,10.0,CAR 19,13.0,34.0,Sam Darnold pass complete short right to Laviska Shenault for 43 yards (tackle by John Cominsky),0.15,3.05,16.0,2022,228
4.0,7:38,1.0,10.0,DET 38,13.0,34.0,Chuba Hubbard up the middle for 4 yards (tackle by Josh Paschal and Derrick Barnes),3.05,3.05,16.0,2022,228
4.0,7:19,2.0,6.0,DET 34,13.0,34.0,D'Onta Foreman right guard for 1 yard (tackle by Isaiah Buggs and Josh Paschal),3.05,2.48,16.0,2022,228
4.0,6:31,3.0,5.0,DET 33,13.0,34.0,Chuba Hubbard left guard for 1 yard (tackle by Isaiah Buggs and Alim McNeill),2.48,1.27,16.0,2022,228
4.0,5:41,4.0,4.0,DET 32,13.0,34.0,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",1.27,0.79,16.0,2022,228
4.0,5:43,4.0,9.0,DET 37,13.0,34.0,Johnny Hekker punts 24 yards out of bounds,0.79,0.32,16.0,2022,228
4.0,5:36,1.0,10.0,DET 13,13.0,34.0,Jared Goff pass complete short middle to Shane Zylstra for 5 yards (tackle by Jeremy Chinn),-0.32,-0.21,16.0,2022,228
4.0,5:17,2.0,6.0,DET 18,13.0,34.0,Jared Goff pass complete deep left to DJ Chark for 51 yards (tackle by Shaq Thompson),-0.21,3.51,16.0,2022,228
4.0,4:51,1.0,10.0,CAR 31,13.0,34.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 3 yards (tackle by Keith Taylor),3.51,3.37,16.0,2022,228
4.0,4:27,2.0,7.0,CAR 28,13.0,34.0,Jared Goff pass complete short right to Shane Zylstra for 10 yards (tackle by Frankie Luvu),3.37,4.37,16.0,2022,228
4.0,4:22,1.0,10.0,CAR 18,13.0,34.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,4.37,3.8,16.0,2022,228
4.0,4:19,2.0,10.0,CAR 18,13.0,34.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Xavier Woods),3.8,3.05,16.0,2022,228
4.0,4:15,3.0,10.0,CAR 18,13.0,34.0,Jared Goff pass complete short middle to D'Andre Swift for 13 yards (tackle by Frankie Luvu),3.05,6.06,16.0,2022,228
4.0,3:53,1.0,5.0,CAR 5,13.0,34.0,"Jared Goff pass incomplete intended for Josh Reynolds. Penalty on Myles Hartsfield: Defensive Pass Interference, 4 yards (accepted) (no play)",6.06,6.97,16.0,2022,228
4.0,3:50,1.0,1.0,CAR 1,19.0,34.0,"Jared Goff pass complete short left to Shane Zylstra for 1 yard, touchdown",6.97,7.0,16.0,2022,228
4.0,3:46,,,CAR 15,20.0,34.0,Michael Badgley kicks extra point good,0.0,0.0,16.0,2022,228
4.0,3:46,,,DET 35,20.0,34.0,"Michael Badgley kicks onside 15 yards, returned by D.J. Moore for no gain",0.0,2.26,16.0,2022,228
4.0,3:45,1.0,10.0,CAR 50,20.0,34.0,D'Onta Foreman up the middle for 1 yard (tackle by Alim McNeill and Ifeatu Melifonwu),2.26,1.85,16.0,2022,228
4.0,3:41,,,,,,Timeout #1 by Detroit Lions,,,16.0,2022,228
4.0,3:41,2.0,9.0,DET 49,20.0,34.0,D'Onta Foreman right guard for 28 yards (tackle by Kerby Joseph and Alex Anzalone),1.85,4.17,16.0,2022,228
4.0,2:53,1.0,10.0,DET 21,20.0,34.0,Sam Darnold left guard for -1 yards (tackle by Malcolm Rodriguez and Alim McNeill),4.17,3.49,16.0,2022,228
4.0,2:48,,,,,,Timeout #2 by Detroit Lions,,,16.0,2022,228
4.0,2:48,2.0,11.0,DET 22,20.0,34.0,Chuba Hubbard right tackle for 9 yards (tackle by Aidan Hutchinson),3.49,4.24,16.0,2022,228
4.0,2:42,,,,,,Timeout #3 by Detroit Lions,,,16.0,2022,228
4.0,2:42,3.0,2.0,DET 13,20.0,34.0,D'Onta Foreman right guard for no gain (tackle by Romeo Okwara),4.24,2.69,16.0,2022,228
4.0,2:00,4.0,2.0,DET 13,20.0,34.0,"Penalty on Sam Darnold: False Start, 5 yards (accepted)",2.69,2.25,16.0,2022,228
4.0,2:00,4.0,7.0,DET 18,20.0,37.0,Eddy Pineiro 36 yard field goal good,2.25,3.0,16.0,2022,228
4.0,1:56,,,CAR 35,20.0,37.0,"Eddy Pineiro kicks off 63 yards, returned by Justin Jackson for 20 yards (tackle by Damien Wilson)",0.0,0.41,16.0,2022,228
4.0,1:51,1.0,10.0,DET 22,20.0,37.0,"Jared Goff pass complete to DJ Chark for 14 yards (tackle by Xavier Woods) Replay Assistant challenged the pass completion ruling, and the play was upheld.",0.41,1.33,16.0,2022,228
4.0,1:36,1.0,10.0,DET 36,20.0,37.0,Jared Goff pass incomplete short left intended for D'Andre Swift,1.33,0.79,16.0,2022,228
4.0,1:29,2.0,10.0,DET 36,20.0,37.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 18 yards (tackle by Shaq Thompson),0.79,2.52,16.0,2022,228
4.0,1:06,1.0,10.0,CAR 46,20.0,37.0,Jared Goff pass incomplete short right intended for D'Andre Swift,2.52,1.98,16.0,2022,228
4.0,1:05,,,,,,Timeout #1 by Carolina Panthers,,,16.0,2022,228
4.0,1:05,2.0,10.0,CAR 46,20.0,37.0,"Jared Goff sacked by Yetur Gross-Matos for no gain. Penalty on Yetur Gross-Matos: Personal Foul / Defense, 15 yards (accepted) (no play)",1.98,3.51,16.0,2022,228
