Quarter,Time,Down,ToGo,Location,DEN,LAR,Detail,EPB,EPA,week,year,game_id
1.0,2:44,2.0,19.0,DEN 39,0.0,17.0,Russell Wilson pass complete short right to Jerry Jeudy for 23 yards (tackle by Bobby Wagner),0.37,3.05,16.0,2022,238
1.0,2:09,1.0,10.0,LAR 38,0.0,17.0,"Chase Edmonds up the middle for no gain (tackle by Bobby Wagner and Earnest Brown). Penalty on Graham Glasgow: Offensive Holding, 10 yards (accepted) (no play)",3.05,2.39,16.0,2022,238
1.0,1:49,,,,,,Timeout #1 by Denver Broncos,,,16.0,2022,238
1.0,1:49,1.0,20.0,LAR 48,0.0,17.0,Chase Edmonds left end for -2 yards (tackle by Nick Scott and Troy Hill),2.39,0.75,16.0,2022,238
1.0,1:13,2.0,23.0,DEN 49,0.0,17.0,"Russell Wilson pass incomplete intended for Courtland Sutton Replay Assistant challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass complete to Courtland Sutton for 12 yards (tackle by Jalen Ramsey)",0.75,1.82,16.0,2022,238
1.0,0:52,3.0,10.0,LAR 38,0.0,17.0,Russell Wilson pass complete short right to Jerry Jeudy for 2 yards,1.82,0.88,16.0,2022,238
1.0,0:43,4.0,8.0,LAR 36,3.0,17.0,Brandon McManus 54 yard field goal good,0.88,3.0,16.0,2022,238
1.0,0:39,,,DEN 35,3.0,17.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
1.0,0:39,1.0,10.0,LAR 25,3.0,17.0,Cam Akers left tackle for 1 yard (tackle by DeShawn Williams),0.61,0.2,16.0,2022,238
2.0,15:00,2.0,9.0,LAR 26,3.0,17.0,Baker Mayfield pass complete short right to Tutu Atwell for 7 yards (tackle by Damarri Mathis),0.2,0.43,16.0,2022,238
2.0,14:38,3.0,2.0,LAR 33,3.0,17.0,Baker Mayfield pass complete short left to Cam Akers for 17 yards (tackle by Damarri Mathis and Josey Jewell),0.43,2.26,16.0,2022,238
2.0,14:07,1.0,10.0,LAR 50,3.0,17.0,Baker Mayfield pass complete short left to Cam Akers for 12 yards (tackle by Justin Simmons),2.26,3.05,16.0,2022,238
2.0,13:26,1.0,10.0,DEN 38,3.0,17.0,Kyren Williams left tackle for 5 yards (tackle by Justin Simmons and Josey Jewell),3.05,3.18,16.0,2022,238
2.0,12:45,2.0,5.0,DEN 33,3.0,17.0,Kyren Williams up the middle for 7 yards (tackle by Justin Simmons and Jonathan Harris),3.18,3.84,16.0,2022,238
2.0,12:04,1.0,10.0,DEN 26,3.0,17.0,Baker Mayfield pass complete short left to Kyren Williams for 3 yards (tackle by Alex Singleton and Jonathon Cooper),3.84,3.7,16.0,2022,238
2.0,11:16,2.0,7.0,DEN 23,3.0,17.0,Baker Mayfield pass complete short left to Tyler Higbee for 14 yards (tackle by K'Waun Williams and Kareem Jackson),3.7,5.14,16.0,2022,238
2.0,10:33,1.0,9.0,DEN 9,3.0,17.0,Cam Akers left tackle for 2 yards (tackle by Alex Singleton),5.14,4.76,16.0,2022,238
2.0,9:52,2.0,7.0,DEN 7,3.0,17.0,Baker Mayfield pass incomplete short middle intended for Van Jefferson,4.76,3.81,16.0,2022,238
2.0,9:47,3.0,7.0,DEN 7,3.0,23.0,"Baker Mayfield pass complete short middle to Tyler Higbee for 7 yards, touchdown",3.81,7.0,16.0,2022,238
2.0,9:42,,,DEN 15,3.0,24.0,Matt Gay kicks extra point good,0.0,0.0,16.0,2022,238
2.0,9:42,,,LAR 35,3.0,24.0,"Penalty on Randy Gregory: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",0.0,-2.26,16.0,2022,238
2.0,9:42,1.0,10.0,LAR 50,3.0,24.0,"Matt Gay kicks off 45 yards, returned by Montrell Washington for 29 yards (tackle by Lance McCutcheon)",2.26,1.2,16.0,2022,238
2.0,9:36,1.0,10.0,DEN 34,3.0,24.0,Latavius Murray left tackle for 10 yards (tackle by Jalen Ramsey),1.2,1.93,16.0,2022,238
2.0,9:05,1.0,10.0,DEN 45,3.0,24.0,Latavius Murray left tackle for 4 yards (tackle by Jonah Williams),1.93,1.86,16.0,2022,238
2.0,8:36,2.0,6.0,DEN 48,3.0,24.0,Latavius Murray up the middle for 7 yards (tackle by Bobby Wagner and Daniel Hardy),1.86,2.59,16.0,2022,238
2.0,8:10,1.0,10.0,LAR 45,3.0,24.0,Russell Wilson pass incomplete short middle intended for Latavius Murray,2.59,2.04,16.0,2022,238
2.0,8:07,2.0,10.0,LAR 45,3.0,24.0,Russell Wilson pass incomplete short left intended for Greg Dulcich (defended by Jalen Ramsey),2.04,1.36,16.0,2022,238
2.0,8:01,3.0,10.0,LAR 45,3.0,24.0,Russell Wilson sacked by Larrell Murchison for -9 yards,1.36,-0.32,16.0,2022,238
2.0,7:19,4.0,19.0,DEN 46,3.0,24.0,"Corliss Waitman punts 44 yards, fair catch by Brandon Powell at LA-10",-0.32,0.38,16.0,2022,238
2.0,7:12,1.0,10.0,LAR 10,3.0,24.0,Cam Akers right end for 5 yards (tackle by Josey Jewell and Kareem Jackson),-0.38,-0.35,16.0,2022,238
2.0,6:38,2.0,5.0,LAR 15,3.0,24.0,Baker Mayfield pass incomplete short right intended for Tyler Higbee,-0.35,-0.84,16.0,2022,238
2.0,6:34,3.0,5.0,LAR 15,3.0,24.0,Baker Mayfield pass complete short middle to Brycen Hopkins for 16 yards (tackle by K'Waun Williams),-0.84,1.0,16.0,2022,238
2.0,5:47,1.0,10.0,LAR 31,3.0,24.0,Brandon Powell left end for 3 yards (tackle by Jonathon Cooper),1.0,0.87,16.0,2022,238
2.0,5:08,,,,,,Timeout #1 by Los Angeles Rams,,,16.0,2022,238
2.0,5:08,2.0,7.0,LAR 34,3.0,24.0,Baker Mayfield pass complete short right to Brandon Powell for 8 yards (tackle by Alex Singleton),0.87,1.73,16.0,2022,238
2.0,4:43,1.0,10.0,LAR 42,3.0,24.0,Baker Mayfield pass complete short middle to Brandon Powell for 5 yards (tackle by Alex Singleton),1.73,1.86,16.0,2022,238
2.0,4:19,2.0,5.0,LAR 47,3.0,24.0,Baker Mayfield pass complete short left to Van Jefferson for 4 yards (tackle by Alex Singleton and Jonathon Cooper),1.86,1.69,16.0,2022,238
2.0,3:34,3.0,1.0,DEN 49,3.0,24.0,Cam Akers left end for 5 yards (tackle by Jonathon Cooper and Alex Singleton),1.69,2.65,16.0,2022,238
2.0,2:47,,,,,,Timeout #2 by Los Angeles Rams,,,16.0,2022,238
2.0,2:47,1.0,10.0,DEN 44,3.0,24.0,Baker Mayfield pass complete short right to Tyler Higbee for 21 yards (tackle by DeShawn Williams and Alex Singleton),2.65,4.04,16.0,2022,238
2.0,2:01,1.0,10.0,DEN 23,3.0,24.0,"Penalty on Baron Browning: Encroachment, 5 yards (accepted) (no play)",4.04,4.86,16.0,2022,238
2.0,2:00,1.0,5.0,DEN 18,3.0,24.0,Cam Akers right tackle for 4 yards (tackle by Jonathon Cooper and Josey Jewell),4.86,4.95,16.0,2022,238
2.0,1:18,2.0,1.0,DEN 14,3.0,24.0,Baker Mayfield pass complete short left to Tyler Higbee for 12 yards (tackle by Alex Singleton and K'Waun Williams),4.95,6.74,16.0,2022,238
2.0,1:10,,,,,,Timeout #2 by Denver Broncos,,,16.0,2022,238
2.0,1:10,1.0,2.0,DEN 2,3.0,30.0,"Cam Akers up the middle for 2 yards, touchdown",6.74,7.0,16.0,2022,238
2.0,1:06,,,DEN 15,3.0,31.0,Matt Gay kicks extra point good,0.0,0.0,16.0,2022,238
2.0,1:06,,,LAR 35,3.0,31.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
2.0,1:06,1.0,10.0,DEN 25,3.0,31.0,Russell Wilson pass complete short left to Greg Dulcich for 11 yards (tackle by Troy Hill),0.61,1.33,16.0,2022,238
2.0,0:47,1.0,10.0,DEN 36,3.0,31.0,Russell Wilson sacked by Bobby Wagner for -4 yards,1.33,0.25,16.0,2022,238
2.0,0:40,2.0,14.0,DEN 32,3.0,31.0,Russell Wilson scrambles right end for 15 yards (tackle by Taylor Rapp),0.25,2.06,16.0,2022,238
2.0,0:19,1.0,10.0,DEN 47,3.0,31.0,Russell Wilson pass incomplete short right intended for Greg Dulcich,2.06,1.52,16.0,2022,238
2.0,0:16,2.0,10.0,DEN 47,3.0,31.0,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,1.52,0.83,16.0,2022,238
2.0,0:09,3.0,10.0,DEN 47,3.0,31.0,Russell Wilson pass complete deep right to Jerry Jeudy for 22 yards (tackle by Derion Kendrick),0.83,3.51,16.0,2022,238
2.0,0:01,1.0,10.0,LAR 31,6.0,31.0,Brandon McManus 49 yard field goal good,3.51,3.0,16.0,2022,238
3.0,15:00,,,LAR 35,6.0,31.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
3.0,15:00,1.0,10.0,DEN 25,6.0,31.0,"Russell Wilson pass complete to Greg Dulcich for 10 yards (tackle by Taylor Rapp) LAR challenged the fumble ruling, and the original play was overturned. Russell Wilson pass complete short middle to Greg Dulcich for 9 yards (tackle by Taylor Rapp)",0.61,1.28,16.0,2022,238
3.0,14:46,2.0,1.0,DEN 34,6.0,31.0,Latavius Murray right tackle for 4 yards (tackle by Leonard Floyd),1.28,1.47,16.0,2022,238
3.0,14:23,1.0,10.0,DEN 38,6.0,31.0,Russell Wilson pass complete short left to Jerry Jeudy for 18 yards (tackle by Bobby Wagner),1.47,2.65,16.0,2022,238
3.0,13:56,1.0,10.0,LAR 44,6.0,31.0,"Latavius Murray up the middle for no gain (tackle by Taylor Rapp). Penalty on Billy Turner: Offensive Holding, 10 yards (accepted) (no play)",2.65,1.99,16.0,2022,238
3.0,13:39,1.0,20.0,DEN 46,6.0,31.0,Russell Wilson pass complete short left to Jerry Jeudy for 16 yards (tackle by Taylor Rapp and Troy Hill),1.99,2.92,16.0,2022,238
3.0,13:06,2.0,4.0,LAR 38,6.0,31.0,Russell Wilson pass intended for Greg Dulcich is intercepted by Jalen Ramsey in end zone and returned for no gain,2.92,-0.28,16.0,2022,238
3.0,12:57,1.0,10.0,LAR 20,6.0,31.0,Cam Akers up the middle for 4 yards (tackle by Jonathan Harris and Justin Simmons),0.28,0.27,16.0,2022,238
3.0,12:15,2.0,6.0,LAR 24,6.0,31.0,Cam Akers up the middle for 10 yards (tackle by Alex Singleton and Justin Simmons),0.27,1.2,16.0,2022,238
3.0,11:33,1.0,10.0,LAR 34,6.0,31.0,Cam Akers left tackle for 21 yards (tackle by Justin Simmons and Damarri Mathis),1.2,2.59,16.0,2022,238
3.0,10:46,1.0,10.0,DEN 45,6.0,31.0,Cam Akers right end for no gain (tackle by Jonathon Cooper and Justin Simmons),2.59,2.04,16.0,2022,238
3.0,10:00,2.0,10.0,DEN 45,6.0,31.0,Baker Mayfield pass complete short left to Van Jefferson for 11 yards (tackle by Alex Singleton),2.04,3.31,16.0,2022,238
3.0,9:18,1.0,10.0,DEN 34,6.0,31.0,Cam Akers up the middle for 5 yards (tackle by Josey Jewell and Alex Singleton),3.31,3.45,16.0,2022,238
3.0,8:35,2.0,5.0,DEN 29,6.0,31.0,Baker Mayfield scrambles left end for 2 yards (tackle by Alex Singleton),3.45,3.01,16.0,2022,238
3.0,7:54,3.0,3.0,DEN 27,6.0,31.0,Baker Mayfield pass complete short left to Malcolm Brown for 2 yards (tackle by Josey Jewell),3.01,1.95,16.0,2022,238
3.0,7:28,4.0,1.0,DEN 25,6.0,31.0,Malcolm Brown up the middle for 2 yards (tackle by Eyioma Uwazurike),1.95,4.04,16.0,2022,238
3.0,6:50,1.0,10.0,DEN 23,6.0,31.0,Baker Mayfield pass incomplete short right intended for Tyler Higbee,4.04,3.5,16.0,2022,238
3.0,6:47,2.0,10.0,DEN 23,6.0,31.0,Baker Mayfield pass complete short right to Tyler Higbee for 10 yards (tackle by Damarri Mathis),3.5,4.71,16.0,2022,238
3.0,6:06,1.0,10.0,DEN 13,6.0,31.0,Cam Akers up the middle for 1 yard (tackle by Mike Purcell and Alex Singleton),4.71,4.39,16.0,2022,238
3.0,5:23,2.0,8.0,DEN 11,6.0,31.0,Cam Akers up the middle for 1 yard (tackle by Kareem Jackson),4.39,3.45,16.0,2022,238
3.0,4:38,3.0,8.0,DEN 11,6.0,31.0,Baker Mayfield pass complete short left to Brandon Powell for -1 yards (tackle by Alex Singleton and Josey Jewell),3.45,2.63,16.0,2022,238
3.0,3:53,4.0,9.0,DEN 12,6.0,34.0,Matt Gay 30 yard field goal good,2.63,3.0,16.0,2022,238
3.0,3:49,,,LAR 35,6.0,34.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
3.0,3:49,1.0,10.0,DEN 25,6.0,34.0,Russell Wilson pass incomplete short right intended for Jerry Jeudy,0.61,0.06,16.0,2022,238
3.0,3:46,2.0,10.0,DEN 25,6.0,34.0,Russell Wilson sacked by Michael Hoecht for -6 yards,0.06,-1.51,16.0,2022,238
3.0,3:06,3.0,16.0,DEN 19,6.0,34.0,Russell Wilson sacked by and Michael Hoecht for -3 yards and Jonah Williams for -3 yards,-1.51,-2.39,16.0,2022,238
3.0,2:29,4.0,19.0,DEN 16,6.0,34.0,"Corliss Waitman punts 56 yards, returned by Brandon Powell for 12 yards (tackle by Delarrin Turner-Yell)",-2.39,-1.6,16.0,2022,238
3.0,2:18,1.0,10.0,LAR 40,6.0,34.0,Cam Akers up the middle for 8 yards (tackle by Josey Jewell),1.6,2.13,16.0,2022,238
3.0,1:31,2.0,2.0,LAR 48,6.0,34.0,Baker Mayfield pass complete short left to Brycen Hopkins for 19 yards (tackle by Alex Singleton and Nik Bonitto),2.13,3.31,16.0,2022,238
3.0,0:40,1.0,10.0,DEN 34,6.0,34.0,Kyren Williams left tackle for no gain (tackle by Jonathan Harris and Josey Jewell),3.31,2.84,16.0,2022,238
4.0,15:00,2.0,10.0,DEN 33,6.0,34.0,Baker Mayfield pass incomplete short middle intended for Van Jefferson,2.84,2.15,16.0,2022,238
4.0,14:55,3.0,10.0,DEN 33,6.0,34.0,Malcolm Brown up the middle for 17 yards (tackle by Randy Gregory and P.J. Locke),2.15,4.58,16.0,2022,238
4.0,14:07,1.0,10.0,DEN 15,6.0,34.0,Cam Akers up the middle for 3 yards (tackle by Alex Singleton and Randy Gregory),4.58,4.39,16.0,2022,238
4.0,13:24,2.0,7.0,DEN 13,6.0,34.0,Baker Mayfield pass complete short right to Van Jefferson for 4 yards (tackle by Damarri Mathis),4.39,4.39,16.0,2022,238
4.0,12:37,3.0,3.0,DEN 9,6.0,34.0,"Baker Mayfield pass incomplete. Penalty on Randy Gregory: Roughing the Passer, 5 yards (accepted) (no play)",4.39,6.28,16.0,2022,238
4.0,12:37,1.0,4.0,DEN 4,6.0,40.0,"Cam Akers left end for 4 yards, touchdown",6.28,7.0,16.0,2022,238
4.0,12:31,,,DEN 15,6.0,41.0,Matt Gay kicks extra point good,0.0,0.0,16.0,2022,238
4.0,12:31,,,LAR 35,6.0,41.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
4.0,12:31,1.0,10.0,DEN 25,6.0,41.0,Russell Wilson sacked by Leonard Floyd for -9 yards,0.61,-1.29,16.0,2022,238
4.0,12:03,2.0,19.0,DEN 16,6.0,41.0,Russell Wilson pass complete short left to Latavius Murray for 6 yards (tackle by Bobby Brown),-1.29,-1.02,16.0,2022,238
4.0,11:36,3.0,13.0,DEN 22,6.0,41.0,Russell Wilson pass complete short middle to Courtland Sutton for 14 yards (tackle by Nick Scott and Troy Hill),-1.02,1.33,16.0,2022,238
4.0,11:08,1.0,10.0,DEN 36,6.0,41.0,Russell Wilson pass complete short middle to Greg Dulcich for 8 yards (tackle by Taylor Rapp),1.33,1.87,16.0,2022,238
4.0,10:38,2.0,2.0,DEN 44,6.0,41.0,Latavius Murray up the middle for 1 yard (tackle by Larrell Murchison and Ernest Jones),1.87,1.29,16.0,2022,238
4.0,10:12,3.0,1.0,DEN 45,6.0,41.0,Russell Wilson up the middle for 2 yards (tackle by Larrell Murchison and Bobby Wagner),1.29,2.06,16.0,2022,238
4.0,9:41,1.0,10.0,DEN 47,6.0,41.0,Russell Wilson pass incomplete short left intended for Latavius Murray,2.06,1.52,16.0,2022,238
4.0,9:38,2.0,10.0,DEN 47,6.0,41.0,Russell Wilson pass complete short left to Courtland Sutton for 6 yards (tackle by Troy Hill),1.52,1.62,16.0,2022,238
4.0,9:20,3.0,4.0,LAR 47,6.0,41.0,Russell Wilson pass incomplete short right,1.62,0.13,16.0,2022,238
4.0,9:12,4.0,4.0,LAR 47,6.0,41.0,Russell Wilson pass complete deep left to Jerry Jeudy for 36 yards (tackle by Russ Yeast),0.13,4.84,16.0,2022,238
4.0,8:42,1.0,10.0,LAR 11,6.0,41.0,Russell Wilson pass incomplete short left intended for Jerry Jeudy,4.84,4.14,16.0,2022,238
4.0,8:38,2.0,10.0,LAR 11,12.0,41.0,"Russell Wilson pass complete short right to Greg Dulcich for 11 yards, touchdown",4.14,7.0,16.0,2022,238
4.0,8:30,,,LAR 2,12.0,41.0,"Penalty on Jalen Ramsey: Defensive Pass Interference, 1 yard (accepted) (no play)",0.0,0.0,16.0,2022,238
4.0,8:30,,,LAR 1,12.0,41.0,Penalty on Troy Hill: Defensive Holding (accepted) (no play),0.0,1.0,16.0,2022,238
4.0,8:30,,,LAR 1,14.0,41.0,"Two Point Attempt: Latavius Murray rushes, conversion succeeds.",1.0,1.0,16.0,2022,238
4.0,8:30,,,DEN 35,14.0,41.0,"Brandon McManus kicks onside 13 yards, returned by Tyler Higbee for 7 yards (tackle by Nik Bonitto)",0.0,2.85,16.0,2022,238
4.0,8:28,1.0,10.0,DEN 41,14.0,41.0,Kyren Williams right tackle for -2 yards (tackle by Jonathan Harris),2.85,2.04,16.0,2022,238
4.0,7:45,2.0,12.0,DEN 43,14.0,41.0,Kyren Williams up the middle for 5 yards (tackle by Josey Jewell),2.04,2.02,16.0,2022,238
4.0,7:04,3.0,7.0,DEN 38,14.0,41.0,Kyren Williams left tackle for 3 yards (tackle by DeShawn Williams),2.02,0.98,16.0,2022,238
4.0,6:21,4.0,4.0,DEN 35,14.0,44.0,Matt Gay 53 yard field goal good,0.98,3.0,16.0,2022,238
4.0,6:16,,,LAR 35,14.0,44.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
4.0,6:16,1.0,10.0,DEN 25,14.0,44.0,Brett Rypien pass complete short middle to Chase Edmonds for 3 yards (tackle by Bobby Wagner),0.61,0.47,16.0,2022,238
4.0,5:51,2.0,7.0,DEN 28,14.0,44.0,Brett Rypien pass complete short left to Freddie Swain for 11 yards (tackle by Bobby Wagner and Russ Yeast),0.47,1.53,16.0,2022,238
4.0,5:21,1.0,10.0,DEN 39,14.0,44.0,Chase Edmonds up the middle for 7 yards (tackle by Taylor Rapp and Troy Hill),1.53,1.93,16.0,2022,238
4.0,5:04,2.0,3.0,DEN 46,14.0,44.0,Brett Rypien pass complete short middle to Chase Edmonds for 19 yards (tackle by Cobie Durant),1.93,3.25,16.0,2022,238
4.0,4:38,1.0,10.0,LAR 35,14.0,44.0,Brett Rypien pass complete short left to Courtland Sutton for 12 yards (tackle by Jalen Ramsey),3.25,4.04,16.0,2022,238
4.0,4:34,1.0,10.0,LAR 23,14.0,44.0,Brett Rypien pass incomplete deep right intended for Jerry Jeudy,4.04,3.5,16.0,2022,238
4.0,4:29,2.0,10.0,LAR 23,14.0,44.0,Brett Rypien pass incomplete short left intended for Jalen Virgil,3.5,2.81,16.0,2022,238
4.0,4:25,3.0,10.0,LAR 23,14.0,44.0,Brett Rypien pass incomplete short middle intended for Marlon Mack,2.81,1.93,16.0,2022,238
4.0,4:21,4.0,10.0,LAR 23,14.0,50.0,"Brett Rypien pass short right intended for Freddie Swain is intercepted by Cobie Durant at LA-15 and returned for 85 yards, touchdown",1.93,-7.0,16.0,2022,238
4.0,4:08,,,DEN 15,14.0,51.0,Matt Gay kicks extra point good,0.0,0.0,16.0,2022,238
4.0,4:08,,,LAR 35,14.0,51.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
4.0,4:08,1.0,10.0,DEN 25,14.0,51.0,Marlon Mack up the middle for 7 yards (tackle by Quentin Lake and Russ Yeast),0.61,1.01,16.0,2022,238
4.0,3:31,2.0,3.0,DEN 32,14.0,51.0,Marlon Mack up the middle for 7 yards (tackle by Russ Yeast and T.J. Carter),1.01,1.53,16.0,2022,238
4.0,2:55,1.0,10.0,DEN 39,14.0,51.0,Marlon Mack right tackle for 4 yards (tackle by Ernest Jones),1.53,1.53,16.0,2022,238
4.0,2:19,2.0,6.0,DEN 43,14.0,51.0,Chase Edmonds right tackle for 25 yards (tackle by Russ Yeast),1.53,3.45,16.0,2022,238
4.0,2:00,1.0,10.0,LAR 32,14.0,51.0,Chase Edmonds right end for no gain (tackle by Bobby Brown),3.45,2.9,16.0,2022,238
4.0,1:29,2.0,10.0,LAR 32,14.0,51.0,Chase Edmonds up the middle for 3 yards (tackle by Christian Rozeboom),2.9,2.61,16.0,2022,238
4.0,0:55,3.0,7.0,LAR 29,14.0,51.0,Chase Edmonds up the middle for -2 yards (tackle by Keir Thomas),2.61,1.32,16.0,2022,238
4.0,0:17,4.0,9.0,LAR 31,14.0,51.0,Marlon Mack right end for 4 yards (tackle by Jalen Ramsey and Russ Yeast),1.32,-0.74,16.0,2022,238
4.0,0:06,1.0,10.0,LAR 27,14.0,51.0,Bryce Perkins kneels for -2 yards,0.74,-0.07,16.0,2022,238
