Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA,week,year,game_id
1.0,9:49,1.0,10.0,MIN 23,0.0,0.0,Kirk Cousins pass incomplete short middle intended for Adam Thielen,0.48,-0.07,16.0,2022,233
1.0,9:48,2.0,10.0,MIN 23,0.0,0.0,Kirk Cousins pass complete short left to Justin Jefferson for no gain (tackle by Cordale Flott and Azeez Ojulari),-0.07,-0.76,16.0,2022,233
1.0,9:06,3.0,10.0,MIN 23,0.0,0.0,Kirk Cousins pass incomplete deep right intended for T.J. Hockenson (defended by Landon Collins),-0.76,-1.83,16.0,2022,233
1.0,9:00,4.0,10.0,MIN 23,0.0,0.0,"Ryan Wright punts 48 yards, returned by Richie James for 4 yards (tackle by Josh Metellus)",-1.83,-1.14,16.0,2022,233
1.0,8:49,1.0,10.0,NYG 33,0.0,0.0,"Daniel Jones pass incomplete short right intended for Nick Vannett. Penalty on Jon Feliciano: Offensive Holding, 10 yards (accepted) (no play)",1.14,0.48,16.0,2022,233
1.0,8:44,1.0,20.0,NYG 23,0.0,0.0,"Daniel Jones sacked by Danielle Hunter for -5 yards. Daniel Jones fumbles (forced by Danielle Hunter), recovered by Evan Neal at NYG-18",0.48,-1.54,16.0,2022,233
1.0,7:59,2.0,25.0,NYG 18,0.0,0.0,Daniel Jones pass complete short right to Daniel Bellinger for 12 yards (tackle by Harrison Smith),-1.54,-0.49,16.0,2022,233
1.0,7:22,3.0,13.0,NYG 30,0.0,0.0,Daniel Jones pass incomplete deep right intended for Darius Slayton,-0.49,-1.37,16.0,2022,233
1.0,7:16,4.0,13.0,NYG 30,0.0,0.0,"Jamie Gillan punts 61 yards, returned by Jalen Reagor for 7 yards (tackle by Marcus Johnson)",-1.37,0.14,16.0,2022,233
1.0,7:07,1.0,10.0,MIN 16,0.0,0.0,Kirk Cousins pass complete deep left to Justin Jefferson for 25 yards (tackle by Fabian Moreau),-0.14,1.66,16.0,2022,233
1.0,6:36,1.0,10.0,MIN 41,0.0,0.0,Dalvin Cook up the middle for 7 yards (tackle by Dexter Lawrence),1.66,2.07,16.0,2022,233
1.0,6:04,2.0,3.0,MIN 48,0.0,0.0,Kirk Cousins pass complete short middle to Justin Jefferson for 13 yards (tackle by Jason Pinnock and Ryder Anderson),2.07,2.98,16.0,2022,233
1.0,5:22,1.0,10.0,NYG 39,0.0,0.0,Dalvin Cook up the middle for 6 yards (tackle by Micah McFadden and Dexter Lawrence),2.98,3.25,16.0,2022,233
1.0,4:59,2.0,4.0,NYG 33,0.0,0.0,Kirk Cousins pass complete short left to C.J. Ham for 5 yards (tackle by Kayvon Thibodeaux),3.25,3.71,16.0,2022,233
1.0,4:29,1.0,10.0,NYG 28,0.0,0.0,Dalvin Cook right end for 8 yards (tackle by Kayvon Thibodeaux and Jaylon Smith),3.71,4.25,16.0,2022,233
1.0,3:55,2.0,2.0,NYG 20,0.0,0.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 8 yards (tackle by Micah McFadden),4.25,4.78,16.0,2022,233
1.0,3:23,1.0,10.0,NYG 12,0.0,6.0,"Kirk Cousins pass complete short left to T.J. Hockenson for 12 yards, touchdown",4.78,7.0,16.0,2022,233
1.0,3:17,,,NYG 15,0.0,7.0,Greg Joseph kicks extra point good,0.0,0.0,16.0,2022,233
1.0,3:17,,,MIN 35,0.0,7.0,"Penalty on Leonard Williams: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.0,-2.26,16.0,2022,233
1.0,3:17,1.0,10.0,MIN 50,0.0,7.0,"Greg Joseph kicks off 50 yards, touchback.",2.26,0.61,16.0,2022,233
1.0,3:17,1.0,10.0,NYG 25,0.0,7.0,Gary Brightwell left tackle for -1 yards (tackle by Dalvin Tomlinson),0.61,-0.07,16.0,2022,233
1.0,2:41,2.0,11.0,NYG 24,0.0,7.0,Daniel Jones pass complete short right to Isaiah Hodgins for 7 yards (tackle by Patrick Peterson),-0.07,0.17,16.0,2022,233
1.0,2:13,3.0,4.0,NYG 31,0.0,7.0,Daniel Jones pass complete short right to Isaiah Hodgins for 6 yards (tackle by Duke Shelley and Jordan Hicks),0.17,1.4,16.0,2022,233
1.0,1:32,1.0,10.0,NYG 37,0.0,7.0,Daniel Jones pass complete short middle to Isaiah Hodgins for 14 yards (tackle by Patrick Peterson),1.4,2.32,16.0,2022,233
1.0,0:48,1.0,10.0,MIN 49,0.0,7.0,Daniel Jones scrambles right end for 10 yards (tackle by Danielle Hunter),2.32,2.98,16.0,2022,233
2.0,15:00,1.0,10.0,MIN 39,0.0,7.0,"Daniel Jones pass complete short left to Daniel Bellinger for 15 yards. Daniel Bellinger fumbles (forced by Brian Asamoah), recovered by Brian Asamoah at MIN-24 and returned for 12 yards (tackle by Andrew Thomas)",2.98,-1.33,16.0,2022,233
2.0,14:50,1.0,10.0,MIN 36,0.0,7.0,Alexander Mattison left end for 2 yards (tackle by Micah McFadden and Justin Ellis),1.33,1.06,16.0,2022,233
2.0,14:14,2.0,8.0,MIN 38,0.0,7.0,Kirk Cousins pass complete short right to Justin Jefferson for 12 yards (tackle by Fabian Moreau),1.06,2.26,16.0,2022,233
2.0,13:39,1.0,10.0,MIN 50,0.0,7.0,Kirk Cousins pass complete short right to T.J. Hockenson for 16 yards (tackle by Micah McFadden and Cordale Flott),2.26,3.31,16.0,2022,233
2.0,13:00,1.0,10.0,NYG 34,0.0,7.0,Kirk Cousins pass complete short middle to K.J. Osborn for 8 yards (tackle by Kayvon Thibodeaux and Jaylon Smith),3.31,3.85,16.0,2022,233
2.0,12:23,2.0,2.0,NYG 26,0.0,7.0,Alexander Mattison right tackle for 1 yard (tackle by Micah McFadden and Leonard Williams),3.85,3.27,16.0,2022,233
2.0,11:57,3.0,1.0,NYG 25,0.0,7.0,Kirk Cousins up the middle for 2 yards (tackle by Jaylon Smith),3.27,4.04,16.0,2022,233
2.0,11:19,1.0,10.0,NYG 23,0.0,7.0,Alexander Mattison right tackle for 1 yard (tackle by Dexter Lawrence),4.04,3.63,16.0,2022,233
2.0,10:49,2.0,9.0,NYG 22,0.0,7.0,Kirk Cousins pass complete short right to T.J. Hockenson for 6 yards (tackle by Fabian Moreau),3.63,3.85,16.0,2022,233
2.0,10:20,3.0,3.0,NYG 16,0.0,7.0,Kirk Cousins sacked by Azeez Ojulari for -6 yards,3.85,1.99,16.0,2022,233
2.0,9:45,4.0,9.0,NYG 22,0.0,10.0,Greg Joseph 40 yard field goal good,1.99,3.0,16.0,2022,233
2.0,9:40,,,MIN 35,0.0,10.0,"Greg Joseph kicks off 60 yards, returned by Gary Brightwell for 26 yards (tackle by Chandon Sullivan)",0.0,1.0,16.0,2022,233
2.0,9:34,1.0,10.0,NYG 31,0.0,10.0,Daniel Jones pass complete short middle to Richie James for 12 yards (tackle by Josh Metellus),1.0,1.8,16.0,2022,233
2.0,9:00,1.0,10.0,NYG 43,0.0,10.0,Daniel Jones pass complete short right to Saquon Barkley for 7 yards (tackle by Duke Shelley),1.8,2.2,16.0,2022,233
2.0,8:30,2.0,3.0,NYG 50,0.0,10.0,Saquon Barkley right end for 7 yards (tackle by Eric Kendricks),2.2,2.72,16.0,2022,233
2.0,7:56,1.0,10.0,MIN 43,0.0,10.0,Saquon Barkley up the middle for 3 yards (tackle by Jordan Hicks and Eric Kendricks),2.72,2.58,16.0,2022,233
2.0,7:16,2.0,7.0,MIN 40,0.0,10.0,Daniel Jones pass complete short right to Saquon Barkley for 7 yards (tackle by Eric Kendricks),2.58,3.38,16.0,2022,233
2.0,6:46,1.0,10.0,MIN 33,0.0,10.0,Daniel Jones scrambles up the middle for 14 yards (tackle by Josh Metellus),3.38,4.31,16.0,2022,233
2.0,6:06,1.0,10.0,MIN 19,0.0,10.0,Matt Breida right guard for 6 yards (tackle by Eric Kendricks and Dalvin Tomlinson),4.31,4.72,16.0,2022,233
2.0,5:35,2.0,4.0,MIN 13,0.0,10.0,Saquon Barkley right guard for 4 yards (tackle by Jordan Hicks and Josh Metellus),4.72,5.14,16.0,2022,233
2.0,5:11,1.0,9.0,MIN 9,0.0,10.0,Daniel Jones pass complete short left to Richie James for 2 yards (tackle by Chandon Sullivan and Camryn Bynum),5.14,4.76,16.0,2022,233
2.0,4:30,2.0,7.0,MIN 7,6.0,10.0,"Daniel Jones pass complete short right to Isaiah Hodgins for 7 yards, touchdown",4.76,7.0,16.0,2022,233
2.0,4:23,,,MIN 15,7.0,10.0,Graham Gano kicks extra point good,0.0,0.0,16.0,2022,233
2.0,4:23,,,NYG 35,7.0,10.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,233
2.0,4:23,1.0,10.0,MIN 25,7.0,10.0,Dalvin Cook up the middle for -1 yards (tackle by Leonard Williams and Ryder Anderson),0.61,-0.07,16.0,2022,233
2.0,3:43,2.0,11.0,MIN 24,7.0,10.0,Kirk Cousins pass complete short right to Justin Jefferson for 10 yards (tackle by Fabian Moreau),-0.07,0.56,16.0,2022,233
2.0,3:01,3.0,1.0,MIN 34,7.0,10.0,Kirk Cousins pass incomplete deep left intended for Justin Jefferson,0.56,-1.11,16.0,2022,233
2.0,2:53,4.0,1.0,MIN 34,7.0,10.0,Ryan Wright punts 57 yards out of bounds,-1.11,0.38,16.0,2022,233
2.0,2:44,1.0,10.0,NYG 9,7.0,10.0,Saquon Barkley right tackle for 6 yards (tackle by Camryn Bynum),-0.38,-0.28,16.0,2022,233
2.0,2:30,2.0,4.0,NYG 15,7.0,10.0,Daniel Jones pass complete deep right to Isaiah Hodgins for 29 yards,-0.28,1.86,16.0,2022,233
2.0,2:00,1.0,10.0,NYG 44,7.0,10.0,Saquon Barkley up the middle for 7 yards (tackle by Danielle Hunter and Eric Kendricks),1.86,2.26,16.0,2022,233
2.0,1:37,2.0,3.0,MIN 49,7.0,10.0,"Saquon Barkley up the middle for 5 yards (tackle by Eric Kendricks). Penalty on Jon Feliciano: Offensive Holding, 10 yards (accepted)",2.26,1.59,16.0,2022,233
2.0,1:30,2.0,8.0,NYG 46,7.0,10.0,"Daniel Jones pass incomplete short middle intended for Isaiah Hodgins. Penalty on Patrick Peterson: Defensive Pass Interference, 9 yards (accepted) (no play)",1.59,2.59,16.0,2022,233
2.0,1:26,1.0,10.0,MIN 45,7.0,10.0,Daniel Jones sacked by and Khyiris Tonga for -7 yards and Danielle Hunter for -7 yards,2.59,1.1,16.0,2022,233
2.0,0:52,2.0,17.0,NYG 48,7.0,10.0,Daniel Jones pass complete short middle to Richie James for 8 yards (tackle by Duke Shelley),1.1,1.49,16.0,2022,233
2.0,0:48,,,,,,Timeout #1 by Minnesota Vikings,,,16.0,2022,233
2.0,0:48,3.0,9.0,MIN 44,7.0,10.0,Daniel Jones pass incomplete short right,1.49,0.33,16.0,2022,233
2.0,0:43,4.0,9.0,MIN 44,7.0,10.0,"Jamie Gillan punts 28 yards, fair catch by Jalen Reagor at MIN-16",0.33,0.14,16.0,2022,233
2.0,0:37,1.0,10.0,MIN 16,7.0,10.0,Kirk Cousins pass complete short left to T.J. Hockenson for 5 yards (tackle by Darnay Holmes and Landon Collins),-0.14,0.15,16.0,2022,233
2.0,0:12,2.0,5.0,MIN 21,7.0,10.0,Kirk Cousins pass complete short right to T.J. Hockenson for 8 yards (tackle by Darnay Holmes),0.15,0.87,16.0,2022,233
2.0,0:10,,,,,,Timeout #2 by Minnesota Vikings,,,16.0,2022,233
2.0,0:10,1.0,10.0,MIN 29,7.0,10.0,"Penalty on Kayvon Thibodeaux: Defensive Offside, 5 yards (accepted) (no play)",0.87,1.6,16.0,2022,233
2.0,0:10,1.0,5.0,MIN 34,7.0,10.0,"Kirk Cousins pass short right is intercepted by Fabian Moreau at MIN-46 and returned for no gain (tackle by Brian O'Neill). Penalty on Fabian Moreau: Defensive Pass Interference, 13 yards (accepted) (no play)",1.6,2.06,16.0,2022,233
2.0,0:01,,,,,,Timeout #1 by New York Giants,,,16.0,2022,233
2.0,0:01,1.0,10.0,MIN 47,7.0,10.0,Kirk Cousins sacked by Leonard Williams for -9 yards,2.06,0.3,16.0,2022,233
3.0,15:00,,,MIN 35,7.0,10.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,233
3.0,15:00,1.0,10.0,NYG 25,7.0,10.0,"Saquon Barkley right guard for 3 yards (tackle by Jordan Hicks). Penalty on Harrison Phillips: Defensive Holding, 5 yards (accepted)",0.61,1.14,16.0,2022,233
3.0,14:39,1.0,10.0,NYG 33,7.0,10.0,Matt Breida left tackle for 3 yards (tackle by Danielle Hunter),1.14,1.0,16.0,2022,233
3.0,14:23,2.0,7.0,NYG 36,7.0,10.0,Daniel Jones pass complete short middle to Richie James for 9 yards (tackle by Chandon Sullivan),1.0,1.93,16.0,2022,233
3.0,13:52,1.0,10.0,NYG 45,7.0,10.0,Daniel Jones pass complete deep left to Darius Slayton for 22 yards (tackle by Chandon Sullivan),1.93,3.38,16.0,2022,233
3.0,13:20,1.0,10.0,MIN 33,7.0,10.0,Saquon Barkley up the middle for 3 yards (tackle by Patrick Jones and Jordan Hicks),3.38,3.24,16.0,2022,233
3.0,12:09,2.0,7.0,MIN 30,7.0,10.0,Saquon Barkley up the middle for 4 yards (tackle by Jordan Hicks),3.24,3.07,16.0,2022,233
3.0,11:32,3.0,3.0,MIN 26,7.0,10.0,Daniel Jones pass incomplete short right intended for Isaiah Hodgins,3.07,1.84,16.0,2022,233
3.0,11:22,4.0,3.0,MIN 26,10.0,10.0,Graham Gano 44 yard field goal good,1.84,3.0,16.0,2022,233
3.0,11:18,,,NYG 35,10.0,10.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,233
3.0,11:18,1.0,10.0,MIN 25,10.0,10.0,Kirk Cousins pass complete short right to T.J. Hockenson for 9 yards (tackle by Micah McFadden and Fabian Moreau),0.61,1.28,16.0,2022,233
3.0,10:44,2.0,1.0,MIN 34,10.0,10.0,Dalvin Cook left guard for 7 yards (tackle by Jason Pinnock and Jaylon Smith),1.28,1.66,16.0,2022,233
3.0,10:07,1.0,10.0,MIN 41,10.0,10.0,Kirk Cousins pass incomplete deep right intended for T.J. Hockenson (defended by Kayvon Thibodeaux),1.66,1.12,16.0,2022,233
3.0,10:01,2.0,10.0,MIN 41,10.0,10.0,Kirk Cousins pass complete short left to Dalvin Cook for 3 yards (tackle by Fabian Moreau and Jaylon Smith),1.12,0.83,16.0,2022,233
3.0,9:27,3.0,7.0,MIN 44,10.0,10.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson,0.83,-0.46,16.0,2022,233
3.0,9:22,4.0,7.0,MIN 44,10.0,10.0,"Ryan Wright punts 56 yards, touchback.",-0.46,-0.28,16.0,2022,233
3.0,9:13,1.0,10.0,NYG 20,10.0,10.0,Daniel Jones pass complete short left to Isaiah Hodgins for 4 yards (tackle by Duke Shelley),0.28,0.27,16.0,2022,233
3.0,8:41,2.0,6.0,NYG 24,10.0,10.0,Daniel Jones pass complete short right to Saquon Barkley for 18 yards (tackle by Jordan Hicks),0.27,1.73,16.0,2022,233
3.0,8:05,1.0,10.0,NYG 42,10.0,10.0,Daniel Jones scrambles left end for 2 yards (tackle by Jordan Hicks),1.73,1.46,16.0,2022,233
3.0,7:24,2.0,8.0,NYG 44,10.0,10.0,Daniel Jones pass complete deep right to Richie James for 33 yards,1.46,4.04,16.0,2022,233
3.0,6:54,1.0,10.0,MIN 23,10.0,10.0,Saquon Barkley left tackle for 4 yards (tackle by Esezi Otomewo),4.04,4.05,16.0,2022,233
3.0,6:15,2.0,6.0,MIN 19,10.0,10.0,"Penalty on Nick Gates: False Start, 5 yards (accepted) (no play)",4.05,3.36,16.0,2022,233
3.0,5:56,2.0,11.0,MIN 24,10.0,10.0,Daniel Jones pass complete short left to Saquon Barkley for 2 yards (tackle by Patrick Peterson),3.36,2.94,16.0,2022,233
3.0,5:15,3.0,9.0,MIN 22,10.0,10.0,Daniel Jones sacked by and D.J. Wonnum for -3 yards and Danielle Hunter for -3 yards,2.94,1.8,16.0,2022,233
3.0,4:35,4.0,12.0,MIN 25,13.0,10.0,Graham Gano 44 yard field goal good,1.8,3.0,16.0,2022,233
3.0,4:31,,,NYG 35,13.0,10.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,233
3.0,4:31,1.0,10.0,MIN 25,13.0,10.0,Dalvin Cook left end for 4 yards (tackle by Kayvon Thibodeaux),0.61,0.6,16.0,2022,233
3.0,3:58,2.0,6.0,MIN 29,13.0,10.0,Kirk Cousins pass complete short left to Johnny Mundt for 16 yards (tackle by Jaylon Smith and Kayvon Thibodeaux),0.6,1.93,16.0,2022,233
3.0,3:09,1.0,10.0,MIN 45,13.0,10.0,"Kirk Cousins pass short middle intended for Adam Thielen is intercepted by Cordale Flott at NYG-40 and returned for -10 yards (tackle by Adam Thielen) Replay Assistant challenged the pass interception ruling, and the original play was overturned. Kirk Cousins pass incomplete short middle intended for Adam Thielen (defended by Cordale Flott)",1.93,1.38,16.0,2022,233
3.0,2:08,2.0,10.0,MIN 45,13.0,10.0,"Dalvin Cook right guard for 2 yards (tackle by Jihad Ward and Julian Love). Penalty on Leonard Williams: Defensive Holding, 5 yards (accepted)",1.38,2.39,16.0,2022,233
3.0,2:59,1.0,10.0,NYG 48,13.0,10.0,Kirk Cousins pass complete short right to Justin Jefferson for 1 yard (tackle by Fabian Moreau),2.39,1.98,16.0,2022,233
3.0,2:03,2.0,9.0,NYG 47,13.0,10.0,Kirk Cousins pass complete short middle to Justin Jefferson for 17 yards (tackle by Julian Love),1.98,3.58,16.0,2022,233
3.0,1:24,1.0,10.0,NYG 30,13.0,10.0,Dalvin Cook right end for 1 yard (tackle by Jihad Ward and Cordale Flott),3.58,3.17,16.0,2022,233
3.0,0:55,2.0,9.0,NYG 29,13.0,10.0,Kirk Cousins pass complete short left to Dalvin Cook for 4 yards (tackle by Darnay Holmes and Julian Love),3.17,3.01,16.0,2022,233
3.0,0:13,3.0,5.0,NYG 25,13.0,10.0,Kirk Cousins pass complete short right to Justin Jefferson for 5 yards (tackle by Darnay Holmes),3.01,4.24,16.0,2022,233
4.0,15:00,1.0,10.0,NYG 20,13.0,10.0,Kirk Cousins pass incomplete short right intended for K.J. Osborn (defended by Julian Love),4.24,3.69,16.0,2022,233
4.0,14:55,2.0,10.0,NYG 20,13.0,10.0,Kirk Cousins pass complete short right to T.J. Hockenson for 5 yards (tackle by Landon Collins and Fabian Moreau),3.69,3.7,16.0,2022,233
4.0,14:18,3.0,5.0,NYG 15,13.0,16.0,"Kirk Cousins pass complete short left to T.J. Hockenson for 15 yards, touchdown",3.7,7.0,16.0,2022,233
4.0,14:12,,,NYG 15,13.0,17.0,Greg Joseph kicks extra point good,0.0,0.0,16.0,2022,233
4.0,14:12,,,MIN 35,13.0,17.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,233
4.0,14:12,1.0,10.0,NYG 25,13.0,17.0,Daniel Jones pass complete short right to Isaiah Hodgins for 17 yards (tackle by Duke Shelley),0.61,1.73,16.0,2022,233
4.0,13:33,1.0,10.0,NYG 42,13.0,17.0,Daniel Jones pass complete short left to Richie James for 14 yards (tackle by Duke Shelley),1.73,2.65,16.0,2022,233
4.0,12:59,1.0,10.0,MIN 44,13.0,17.0,Daniel Jones pass complete short right to Richie James for 4 yards (tackle by Duke Shelley),2.65,2.65,16.0,2022,233
4.0,12:22,2.0,6.0,MIN 40,13.0,17.0,Daniel Jones pass complete short right to Darius Slayton for 8 yards (tackle by Patrick Peterson),2.65,3.45,16.0,2022,233
4.0,11:45,1.0,10.0,MIN 32,13.0,17.0,Daniel Jones pass short middle intended for Isaiah Hodgins is intercepted by Patrick Peterson at MIN-18 and returned for 11 yards (tackle by Andrew Thomas),3.45,-0.87,16.0,2022,233
4.0,11:42,1.0,10.0,MIN 29,13.0,17.0,Dalvin Cook left tackle for 6 yards (tackle by Micah McFadden),0.87,1.14,16.0,2022,233
4.0,11:08,2.0,4.0,MIN 35,13.0,17.0,Alexander Mattison right guard for 13 yards (tackle by Jason Pinnock and Jaylon Smith),1.14,2.13,16.0,2022,233
4.0,10:37,1.0,10.0,MIN 48,13.0,17.0,Kirk Cousins pass incomplete short right intended for Adam Thielen (defended by Jihad Ward),2.13,1.58,16.0,2022,233
4.0,10:30,2.0,10.0,MIN 48,13.0,17.0,Kirk Cousins pass complete short right to T.J. Hockenson for 7 yards (tackle by Tony Jefferson),1.58,1.82,16.0,2022,233
4.0,9:51,3.0,3.0,NYG 45,13.0,17.0,Kirk Cousins pass complete short left to K.J. Osborn for 1 yard (tackle by Darnay Holmes),1.82,0.33,16.0,2022,233
4.0,9:01,,,,,,Timeout #1 by Minnesota Vikings,,,16.0,2022,233
4.0,9:01,4.0,2.0,NYG 44,13.0,17.0,Kirk Cousins pass incomplete deep right intended for Justin Jefferson (defended by Darnay Holmes),0.33,-1.86,16.0,2022,233
4.0,8:55,1.0,10.0,NYG 44,13.0,17.0,Daniel Jones pass complete short left to Saquon Barkley for 6 yards (tackle by Duke Shelley),1.86,2.19,16.0,2022,233
4.0,8:30,2.0,4.0,MIN 49,13.0,17.0,Saquon Barkley right tackle for 7 yards (tackle by Danielle Hunter),2.19,2.79,16.0,2022,233
4.0,7:51,1.0,10.0,MIN 42,13.0,17.0,Daniel Jones pass complete short left to Saquon Barkley for 5 yards (tackle by Eric Kendricks and Harrison Smith),2.79,2.92,16.0,2022,233
4.0,7:15,2.0,5.0,MIN 37,13.0,17.0,Saquon Barkley left end for no gain (tackle by Harrison Phillips),2.92,2.21,16.0,2022,233
4.0,6:34,3.0,5.0,MIN 37,13.0,17.0,Daniel Jones pass incomplete short left intended for Richie James,2.21,0.79,16.0,2022,233
4.0,6:29,4.0,5.0,MIN 37,16.0,17.0,Graham Gano 55 yard field goal good,0.79,3.0,16.0,2022,233
4.0,6:24,,,NYG 35,16.0,17.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,233
4.0,6:24,1.0,10.0,MIN 25,16.0,17.0,Dalvin Cook left end for no gain (tackle by Dexter Lawrence and Micah McFadden),0.61,0.06,16.0,2022,233
4.0,5:47,2.0,10.0,MIN 25,16.0,17.0,Kirk Cousins sacked by Jaylon Smith for -7 yards,0.06,-1.72,16.0,2022,233
4.0,5:16,3.0,17.0,MIN 18,16.0,17.0,Kirk Cousins pass complete short left to T.J. Hockenson for 9 yards (tackle by Julian Love),-1.72,-1.57,16.0,2022,233
4.0,4:40,4.0,8.0,MIN 27,16.0,17.0,"Ryan Wright punts 52 yards, returned by Richie James for 4 yards (tackle by Kris Boyd and Patrick Jones)",-1.57,-0.61,16.0,2022,233
4.0,4:24,1.0,10.0,NYG 25,16.0,17.0,Daniel Jones pass complete short right to Saquon Barkley for 1 yard (tackle by Eric Kendricks),0.61,0.2,16.0,2022,233
4.0,4:17,2.0,9.0,NYG 26,16.0,17.0,Daniel Jones pass complete short right to Isaiah Hodgins for 5 yards (tackle by Harrison Smith),0.2,0.17,16.0,2022,233
4.0,4:14,3.0,4.0,NYG 31,16.0,17.0,Daniel Jones pass incomplete short left intended for Isaiah Hodgins (defended by Jordan Hicks),0.17,-1.31,16.0,2022,233
4.0,4:10,4.0,4.0,NYG 31,16.0,17.0,"Jamie Gillan punts blocked by Josh Metellus, recovered by Julian Love at NYG-23 and returned for 8 yards (tackle by Troy Dye)",-1.31,-3.64,16.0,2022,233
4.0,4:02,,,,,,Timeout #2 by Minnesota Vikings,,,16.0,2022,233
4.0,4:02,1.0,10.0,NYG 29,16.0,17.0,Dalvin Cook left tackle for 4 yards (tackle by Jihad Ward and Jaylon Smith),3.64,3.64,16.0,2022,233
4.0,3:33,2.0,6.0,NYG 25,16.0,17.0,Kirk Cousins pass complete short right to K.J. Osborn for 8 yards (tackle by Jaylon Smith),3.64,4.44,16.0,2022,233
4.0,3:30,1.0,10.0,NYG 17,16.0,17.0,Kirk Cousins pass incomplete short middle intended for Dalvin Cook (defended by Dexter Lawrence),4.44,3.85,16.0,2022,233
4.0,3:12,2.0,10.0,NYG 17,16.0,17.0,Kirk Cousins pass complete short left to Justin Jefferson for no gain (tackle by Landon Collins),3.85,3.46,16.0,2022,233
4.0,3:06,,,,,,Timeout #1 by New York Giants,,,16.0,2022,233
4.0,3:06,3.0,6.0,NYG 17,16.0,23.0,"Kirk Cousins pass complete deep middle to Justin Jefferson for 17 yards, touchdown",3.46,7.0,16.0,2022,233
4.0,3:00,,,NYG 15,16.0,24.0,Greg Joseph kicks extra point good,0.0,0.0,16.0,2022,233
4.0,3:00,,,MIN 35,16.0,24.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,233
4.0,3:00,1.0,10.0,NYG 25,16.0,24.0,Daniel Jones pass complete short right to Richie James for 8 yards (tackle by Eric Kendricks),0.61,1.14,16.0,2022,233
