Quarter,Time,Down,ToGo,Location,GNB,MIA,Detail,EPB,EPA,week,year,game_id
1.0,7:57,2.0,4.0,MIA 37,3.0,10.0,Aaron Rodgers pass complete short left to Christian Watson for 20 yards (tackle by Eric Rowe),2.99,4.44,16.0,2022,237
1.0,7:12,1.0,10.0,MIA 17,3.0,10.0,Aaron Rodgers pass complete short left to Aaron Jones for 2 yards (tackle by Elandon Roberts),4.44,4.15,16.0,2022,237
1.0,6:34,2.0,8.0,MIA 15,3.0,10.0,Aaron Rodgers pass incomplete intended for Christian Watson (defended by Keion Crossen),4.15,3.34,16.0,2022,237
1.0,6:24,3.0,8.0,MIA 15,3.0,10.0,Aaron Rodgers scrambles left guard for 12 yards (tackle by Verone McKinley),3.34,6.51,16.0,2022,237
1.0,5:40,1.0,3.0,MIA 3,3.0,10.0,Aaron Rodgers pass complete short middle to Christian Watson for -2 yards (tackle by Jevon Holland and Elandon Roberts),6.51,5.15,16.0,2022,237
1.0,5:09,2.0,5.0,MIA 5,3.0,10.0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard (defended by Eric Rowe),5.15,4.26,16.0,2022,237
1.0,4:58,3.0,5.0,MIA 5,3.0,10.0,Aaron Rodgers pass complete short right to Christian Watson for 4 yards (tackle by Jevon Holland),4.26,3.55,16.0,2022,237
1.0,4:14,,,,,,Timeout #1 by Green Bay Packers,,,16.0,2022,237
1.0,4:14,4.0,1.0,MIA 1,9.0,10.0,"Aaron Rodgers pass complete short left to Marcedes Lewis for 1 yard, touchdown",3.55,7.0,16.0,2022,237
1.0,4:10,,,MIA 15,10.0,10.0,Mason Crosby kicks extra point good,0.0,0.0,16.0,2022,237
1.0,4:10,,,GNB 35,10.0,10.0,"Mason Crosby kicks off 49 yards, returned by Raheem Mostert for 9 yards (tackle by Innis Gaines)",0.0,0.61,16.0,2022,237
1.0,4:05,1.0,10.0,MIA 25,10.0,10.0,Jeff Wilson left tackle for 12 yards (tackle by Adrian Amos),0.61,1.4,16.0,2022,237
1.0,3:22,1.0,10.0,MIA 37,10.0,10.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 18 yards (tackle by Jaire Alexander),1.4,2.59,16.0,2022,237
1.0,2:41,1.0,10.0,GNB 45,10.0,10.0,Jeff Wilson up the middle for 6 yards (tackle by Preston Smith),2.59,2.85,16.0,2022,237
1.0,1:55,2.0,4.0,GNB 39,10.0,10.0,"Tua Tagovailoa scrambles up the middle for no gain (tackle by Dean Lowry). Penalty on Connor Williams: Offensive Holding, 10 yards (accepted) (no play)",2.85,1.5,16.0,2022,237
1.0,1:25,2.0,14.0,GNB 49,10.0,10.0,"Tua Tagovailoa aborted snap, recovered by Tua Tagovailoa at MIA-44 Tua Tagovailoa for no gain",1.5,-0.1,16.0,2022,237
1.0,0:42,3.0,21.0,MIA 44,10.0,10.0,Tua Tagovailoa pass incomplete short right intended for Jeff Wilson,-0.1,-0.46,16.0,2022,237
1.0,0:39,4.0,21.0,MIA 44,10.0,10.0,"Thomas Morstead punts 46 yards, returned by Randall Cobb for 2 yards (tackle by Justin Bethel)",-0.46,0.35,16.0,2022,237
1.0,0:30,1.0,10.0,GNB 12,10.0,10.0,Aaron Rodgers pass complete deep left to Allen Lazard for 42 yards (tackle by Kader Kohou),-0.35,2.52,16.0,2022,237
2.0,15:00,1.0,10.0,MIA 46,10.0,10.0,Aaron Jones left guard for 2 yards (tackle by Raekwon Davis),2.52,2.25,16.0,2022,237
2.0,14:20,2.0,8.0,MIA 44,10.0,10.0,Aaron Rodgers pass incomplete intended for Allen Lazard,2.25,1.55,16.0,2022,237
2.0,14:14,3.0,8.0,MIA 44,10.0,10.0,Aaron Rodgers scrambles left end for 7 yards (tackle by Jaelan Phillips),1.55,0.79,16.0,2022,237
2.0,13:33,4.0,1.0,MIA 37,10.0,10.0,Aaron Rodgers pass incomplete deep left intended for Christian Watson,0.79,-1.47,16.0,2022,237
2.0,13:25,1.0,10.0,MIA 38,10.0,10.0,"Raheem Mostert left guard for no gain (tackle by Jaire Alexander). Penalty on Terron Armstead: Offensive Holding, 10 yards (accepted) (no play)",1.47,0.81,16.0,2022,237
2.0,12:57,1.0,20.0,MIA 28,10.0,10.0,Tua Tagovailoa pass complete deep right to Mike Gesicki for 24 yards (tackle by Adrian Amos),0.81,2.39,16.0,2022,237
2.0,12:20,1.0,10.0,GNB 48,10.0,10.0,Jeff Wilson right guard for no gain (tackle by Jarran Reed and Justin Hollins) (no play),2.39,2.06,16.0,2022,237
2.0,11:51,1.0,15.0,MIA 47,10.0,10.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 52 yards (tackle by Rudy Ford and Adrian Amos),2.06,6.97,16.0,2022,237
2.0,10:55,1.0,1.0,GNB 1,10.0,16.0,"Jeff Wilson right guard for 1 yard, touchdown",6.97,7.0,16.0,2022,237
2.0,10:52,,,GNB 15,10.0,17.0,Jason Sanders kicks extra point good,0.0,0.0,16.0,2022,237
2.0,10:52,,,MIA 35,10.0,17.0,"Jason Sanders kicks off 63 yards, returned by Keisean Nixon for 20 yards (tackle by Jevon Holland). Penalty on Kingsley Enagbare: Offensive Holding, 10 yards (accepted)",0.0,-0.35,16.0,2022,237
2.0,10:46,1.0,10.0,GNB 12,10.0,17.0,Aaron Rodgers pass complete short right to AJ Dillon for 7 yards (tackle by Xavien Howard and Jaelan Phillips),-0.35,0.1,16.0,2022,237
2.0,10:10,2.0,3.0,GNB 19,10.0,17.0,AJ Dillon left guard for 1 yard (tackle by Christian Wilkins),0.1,-0.48,16.0,2022,237
2.0,9:28,3.0,2.0,GNB 20,10.0,17.0,Aaron Rodgers pass incomplete short left intended for Romeo Doubs,-0.48,-2.03,16.0,2022,237
2.0,9:21,4.0,2.0,GNB 20,10.0,17.0,Dallin Leavitt up the middle for no gain (tackle by Raekwon Davis),-2.03,-4.24,16.0,2022,237
2.0,9:17,1.0,10.0,GNB 20,10.0,17.0,"Raheem Mostert left end for no gain (tackle by Quay Walker and Justin Hollins). Penalty on Robert Hunt: Offensive Holding, 10 yards (accepted) (no play)",4.24,3.58,16.0,2022,237
2.0,8:57,1.0,20.0,GNB 30,10.0,17.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 12 yards (tackle by Adrian Amos),3.58,3.96,16.0,2022,237
2.0,8:10,2.0,8.0,GNB 18,10.0,17.0,Tua Tagovailoa sacked by Jarran Reed for -6 yards,3.96,2.48,16.0,2022,237
2.0,7:21,,,,,,Timeout #2 by Miami Dolphins,,,16.0,2022,237
2.0,7:21,3.0,14.0,GNB 24,10.0,17.0,Tua Tagovailoa pass complete short middle to Trent Sherfield for 15 yards (tackle by Adrian Amos),2.48,5.14,16.0,2022,237
2.0,6:37,1.0,9.0,GNB 9,10.0,17.0,Jeff Wilson left guard for 1 yard (tackle by Justin Hollins and Jarran Reed),5.14,4.57,16.0,2022,237
2.0,5:54,2.0,8.0,GNB 8,10.0,17.0,"Tua Tagovailoa sacked by Preston Smith for -10 yards. Tua Tagovailoa fumbles (forced by Preston Smith), recovered by Robert Hunt at GB-18 (tackle by Preston Smith)",4.57,2.63,16.0,2022,237
2.0,5:07,3.0,18.0,GNB 18,10.0,17.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 2 yards (tackle by Jaire Alexander and Kingsley Enagbare),2.63,2.38,16.0,2022,237
2.0,4:23,4.0,16.0,GNB 16,10.0,20.0,Jason Sanders 34 yard field goal good,2.38,3.0,16.0,2022,237
2.0,4:18,,,MIA 35,10.0,20.0,"Jason Sanders kicks off 70 yards, returned by Romeo Doubs for 18 yards (tackle by Clayton Fejedelem)",0.0,-0.32,16.0,2022,237
2.0,4:13,1.0,10.0,GNB 13,10.0,20.0,Aaron Rodgers sacked by Eric Rowe for -3 yards,-0.32,-1.0,16.0,2022,237
2.0,3:31,2.0,13.0,GNB 10,10.0,20.0,Aaron Rodgers pass incomplete deep right intended for Allen Lazard (defended by Xavien Howard),-1.0,-1.77,16.0,2022,237
2.0,3:24,3.0,13.0,GNB 10,10.0,20.0,Aaron Rodgers pass complete short middle to Christian Watson for 8 yards (tackle by Jerome Baker),-1.77,-2.24,16.0,2022,237
2.0,2:48,4.0,5.0,GNB 18,10.0,20.0,"Pat O'Donnell punts 46 yards, fair catch by Cedrick Wilson at MIA-36. Penalty on Eric Wilson: Illegal Formation, 5 yards (accepted)",-2.24,-1.66,16.0,2022,237
2.0,2:40,1.0,10.0,MIA 41,10.0,20.0,Tua Tagovailoa pass complete short right to Durham Smythe for 8 yards (tackle by Preston Smith and Devonte Wyatt),1.66,2.2,16.0,2022,237
2.0,2:00,2.0,2.0,MIA 49,10.0,20.0,"Raheem Mostert right guard for no gain. Raheem Mostert fumbles (forced by Jarran Reed), recovered by Jarran Reed at MIA-49 (tackle by Brandon Shell)",2.2,-2.32,16.0,2022,237
2.0,1:55,1.0,10.0,MIA 49,10.0,20.0,Aaron Rodgers pass incomplete short left intended for AJ Dillon,2.32,1.78,16.0,2022,237
2.0,1:53,2.0,10.0,MIA 49,10.0,20.0,Aaron Rodgers pass complete short right to Christian Watson for 9 yards (tackle by Jevon Holland),1.78,2.28,16.0,2022,237
2.0,1:45,3.0,1.0,MIA 40,10.0,20.0,AJ Dillon up the middle for no gain (tackle by Zach Sieler),2.28,0.59,16.0,2022,237
2.0,1:04,4.0,1.0,MIA 40,10.0,20.0,Aaron Rodgers pass complete short right to Christian Watson for 10 yards (tackle by Eric Rowe),0.59,3.58,16.0,2022,237
2.0,0:53,,,,,,Timeout #2 by Green Bay Packers,,,16.0,2022,237
2.0,0:53,1.0,10.0,MIA 30,10.0,20.0,Aaron Rodgers pass incomplete short middle intended for Randall Cobb (defended by Kader Kohou),3.58,3.03,16.0,2022,237
2.0,0:50,2.0,10.0,MIA 30,10.0,20.0,Aaron Rodgers pass incomplete intended for Allen Lazard (defended by Christian Wilkins),3.03,2.34,16.0,2022,237
2.0,0:47,,,,,,Timeout #3 by Miami Dolphins,,,16.0,2022,237
2.0,0:47,3.0,10.0,MIA 30,10.0,20.0,Aaron Rodgers pass complete to Romeo Doubs for 2 yards (tackle by Christian Wilkins),2.34,1.59,16.0,2022,237
2.0,0:07,,,,,,Timeout #3 by Green Bay Packers,,,16.0,2022,237
2.0,0:07,4.0,8.0,MIA 28,13.0,20.0,Mason Crosby 46 yard field goal good,1.59,3.0,16.0,2022,237
2.0,0:02,,,GNB 35,13.0,20.0,"Mason Crosby kicks off 36 yards, returned by Alec Ingold for 8 yards (tackle by Eric Wilson)",0.0,1.27,16.0,2022,237
3.0,15:00,,,MIA 35,13.0,20.0,"Jason Sanders kicks off 64 yards, returned by Romeo Doubs for 21 yards (tackle by Keion Crossen and Clayton Fejedelem)",0.0,0.41,16.0,2022,237
3.0,14:54,1.0,10.0,GNB 22,13.0,20.0,Aaron Jones left end for 3 yards (tackle by Christian Wilkins and Zach Sieler),0.41,0.27,16.0,2022,237
3.0,14:15,2.0,7.0,GNB 25,13.0,20.0,Aaron Rodgers pass complete short right to Allen Lazard for 4 yards (tackle by Kader Kohou),0.27,0.1,16.0,2022,237
3.0,13:36,3.0,3.0,GNB 29,13.0,20.0,AJ Dillon right tackle for 2 yards (tackle by Christian Wilkins and Bradley Chubb),0.1,-1.31,16.0,2022,237
3.0,13:07,4.0,1.0,GNB 31,13.0,20.0,Aaron Rodgers up the middle for 2 yards (tackle by Christian Wilkins and Elandon Roberts),-1.31,1.14,16.0,2022,237
3.0,12:26,1.0,10.0,GNB 33,13.0,20.0,AJ Dillon left end for 11 yards (tackle by Jevon Holland),1.14,1.86,16.0,2022,237
3.0,11:40,1.0,10.0,GNB 44,13.0,20.0,Aaron Rodgers pass complete short right to Josiah Deguara for 4 yards (tackle by Jaelan Phillips),1.86,1.86,16.0,2022,237
3.0,10:57,2.0,6.0,GNB 48,13.0,20.0,AJ Dillon left end for -3 yards (tackle by Zach Sieler),1.86,0.76,16.0,2022,237
3.0,10:15,3.0,9.0,GNB 45,13.0,20.0,Aaron Rodgers pass complete short left to Patrick Taylor for 17 yards (tackle by Eric Rowe),0.76,3.05,16.0,2022,237
3.0,9:38,1.0,10.0,MIA 38,13.0,20.0,Aaron Rodgers pass complete deep left to Marcedes Lewis for 31 yards (tackle by Eric Rowe),3.05,5.6,16.0,2022,237
3.0,8:51,1.0,7.0,MIA 7,13.0,20.0,AJ Dillon left guard for 6 yards (tackle by Jaelan Phillips),5.6,5.91,16.0,2022,237
3.0,7:58,2.0,1.0,MIA 1,19.0,20.0,"AJ Dillon left tackle for 1 yard, touchdown",5.91,7.0,16.0,2022,237
3.0,7:53,,,MIA 15,20.0,20.0,Mason Crosby kicks extra point good,0.0,0.0,16.0,2022,237
3.0,7:53,,,GNB 35,20.0,20.0,"Mason Crosby kicks off 60 yards, returned by Raheem Mostert for 20 yards (tackle by Dallin Leavitt and Isaiah McDuffie)",0.0,0.61,16.0,2022,237
3.0,7:48,1.0,10.0,MIA 25,20.0,20.0,Raheem Mostert left guard for 3 yards (tackle by Preston Smith and Tedarrell Slaton),0.61,0.47,16.0,2022,237
3.0,7:10,2.0,7.0,MIA 28,20.0,20.0,Raheem Mostert left tackle for -1 yards (tackle by Tedarrell Slaton and Jarran Reed),0.47,-0.36,16.0,2022,237
3.0,6:31,3.0,8.0,MIA 27,20.0,20.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 7 yards (tackle by Jaire Alexander),-0.36,-1.11,16.0,2022,237
3.0,5:37,4.0,1.0,MIA 34,20.0,20.0,Raheem Mostert up the middle for 9 yards (tackle by Darnell Savage and Adrian Amos),-1.11,1.8,16.0,2022,237
3.0,4:59,1.0,10.0,MIA 43,20.0,20.0,Raheem Mostert left guard for 1 yard (tackle by Quay Walker and Justin Hollins),1.8,1.39,16.0,2022,237
3.0,4:16,2.0,9.0,MIA 44,20.0,20.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 24 yards (tackle by Rasul Douglas),1.39,3.45,16.0,2022,237
3.0,3:29,1.0,10.0,GNB 32,20.0,20.0,Tua Tagovailoa pass incomplete short right intended for Alec Ingold (defended by Quay Walker),3.45,2.9,16.0,2022,237
3.0,3:18,2.0,10.0,GNB 32,20.0,20.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 2 yards (tackle by Jaire Alexander),2.9,2.48,16.0,2022,237
3.0,2:37,3.0,8.0,GNB 30,20.0,20.0,Tua Tagovailoa pass incomplete short left,2.48,1.41,16.0,2022,237
3.0,2:30,4.0,8.0,GNB 30,20.0,20.0,Jason Sanders 48 yard field goal no good,1.41,-1.47,16.0,2022,237
3.0,2:25,1.0,10.0,GNB 38,20.0,20.0,Aaron Rodgers pass complete short middle to Romeo Doubs for 12 yards (tackle by Xavien Howard),1.47,2.26,16.0,2022,237
3.0,1:47,1.0,10.0,MIA 50,20.0,20.0,Aaron Rodgers pass complete short left to Allen Lazard for 9 yards (tackle by Kader Kohou),2.26,2.93,16.0,2022,237
3.0,1:05,2.0,1.0,MIA 41,20.0,20.0,Aaron Rodgers pass complete short right to Aaron Jones for 7 yards (tackle by Jerome Baker),2.93,3.31,16.0,2022,237
3.0,0:23,1.0,10.0,MIA 34,20.0,20.0,"Aaron Jones right tackle for no gain (tackle by Raekwon Davis). Penalty on Royce Newman: Offensive Holding, 10 yards (accepted) (no play)",3.31,2.65,16.0,2022,237
4.0,15:00,1.0,20.0,MIA 44,20.0,20.0,Aaron Rodgers pass incomplete deep left intended for Romeo Doubs,2.65,1.42,16.0,2022,237
4.0,14:54,2.0,20.0,MIA 44,20.0,20.0,Aaron Rodgers pass complete short middle to AJ Dillon for 5 yards (tackle by Jerome Baker),1.42,1.42,16.0,2022,237
4.0,14:16,3.0,15.0,MIA 39,20.0,20.0,Aaron Rodgers pass deep left intended for Allen Lazard is intercepted by Kader Kohou in end zone and returned for no gain,1.42,-0.28,16.0,2022,237
4.0,14:08,1.0,10.0,MIA 20,20.0,20.0,Tua Tagovailoa pass deep left intended for Tyreek Hill is intercepted by Jaire Alexander at MIA-37 and returned for 23 yards (tackle by Raheem Mostert),0.28,-4.65,16.0,2022,237
4.0,13:59,1.0,10.0,MIA 14,20.0,20.0,Aaron Rodgers pass incomplete short middle intended for Robert Tonyan (defended by Christian Wilkins),4.65,4.0,16.0,2022,237
4.0,13:55,2.0,10.0,MIA 14,20.0,20.0,"Penalty on Royce Newman: False Start, 5 yards (accepted) (no play)",4.0,3.37,16.0,2022,237
4.0,13:55,2.0,15.0,MIA 19,20.0,20.0,"Aaron Rodgers pass complete short right to Randall Cobb for 5 yards (tackle by Jevon Holland). Penalty on Jaelan Phillips: Roughing the Passer, 7 yards (accepted)",3.37,5.6,16.0,2022,237
4.0,13:28,1.0,7.0,MIA 7,20.0,20.0,"Aaron Rodgers for 2 yards. Aaron Rodgers fumbles, recovered by AJ Dillon at MIA-7 AJ Dillon for 2 yards (tackle by Elandon Roberts)",5.6,5.15,16.0,2022,237
4.0,12:45,2.0,5.0,MIA 5,20.0,20.0,Aaron Rodgers pass complete short left to Allen Lazard for -5 yards (tackle by Andrew Van Ginkel),5.15,3.13,16.0,2022,237
4.0,12:03,3.0,10.0,MIA 10,20.0,20.0,Aaron Rodgers pass incomplete short left intended for Allen Lazard,3.13,2.76,16.0,2022,237
4.0,11:49,4.0,10.0,MIA 10,23.0,20.0,Mason Crosby 28 yard field goal good,2.76,3.0,16.0,2022,237
4.0,11:45,,,GNB 35,23.0,20.0,"Mason Crosby kicks off 65 yards, returned by Raheem Mostert for 18 yards (tackle by Innis Gaines and Dallin Leavitt)",0.0,0.04,16.0,2022,237
4.0,11:40,1.0,10.0,MIA 18,23.0,20.0,Jeff Wilson left guard for 7 yards (tackle by Adrian Amos),0.04,0.55,16.0,2022,237
4.0,11:05,2.0,3.0,MIA 25,23.0,20.0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 16 yards (tackle by Adrian Amos),0.55,1.66,16.0,2022,237
4.0,10:22,1.0,10.0,MIA 41,23.0,20.0,Jeff Wilson left guard for 3 yards (tackle by Jarran Reed and De'Vondre Campbell),1.66,1.53,16.0,2022,237
4.0,9:42,2.0,7.0,MIA 44,23.0,20.0,Jeff Wilson left guard for no gain (tackle by Preston Smith and Kenny Clark),1.53,0.83,16.0,2022,237
4.0,8:58,3.0,7.0,MIA 44,23.0,20.0,Tua Tagovailoa pass complete short middle to Trent Sherfield for 10 yards (tackle by Rasul Douglas),0.83,2.52,16.0,2022,237
4.0,8:09,1.0,10.0,GNB 46,23.0,20.0,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle (defended by Rasul Douglas),2.52,1.98,16.0,2022,237
4.0,8:06,2.0,10.0,GNB 46,23.0,20.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 19 yards (tackle by Adrian Amos),1.98,3.78,16.0,2022,237
4.0,7:26,1.0,10.0,GNB 27,23.0,20.0,Jeff Wilson left guard for 2 yards (tackle by Innis Gaines),3.78,3.5,16.0,2022,237
4.0,6:43,2.0,8.0,GNB 25,23.0,20.0,"Tua Tagovailoa pass complete short right to Jaylen Waddle for no gain (tackle by Darnell Savage). Penalty on Jaylen Waddle: Illegal Formation, 5 yards (accepted) (no play)",3.5,2.83,16.0,2022,237
4.0,6:15,2.0,13.0,GNB 30,23.0,20.0,Tua Tagovailoa pass short right intended for Raheem Mostert is intercepted by De'Vondre Campbell at GB-22 and returned for 14 yards (tackle by Alec Ingold),2.83,-1.33,16.0,2022,237
4.0,6:02,1.0,10.0,GNB 36,23.0,20.0,Aaron Jones left end for 1 yard (tackle by Kader Kohou),1.33,0.93,16.0,2022,237
4.0,5:25,2.0,9.0,GNB 37,23.0,20.0,Aaron Rodgers pass complete deep right to Romeo Doubs for 22 yards (tackle by Jevon Holland),0.93,2.85,16.0,2022,237
4.0,4:53,1.0,10.0,MIA 41,23.0,20.0,Aaron Rodgers left end for no gain (tackle by Andrew Van Ginkel),2.85,2.38,16.0,2022,237
4.0,4:14,2.0,9.0,MIA 41,23.0,20.0,Aaron Rodgers pass complete short middle to Robert Tonyan for 13 yards (tackle by Eric Rowe),2.38,3.71,16.0,2022,237
4.0,3:18,,,,,,Timeout #1 by Green Bay Packers,,,16.0,2022,237
4.0,3:18,1.0,10.0,MIA 28,23.0,20.0,"Aaron Rodgers scrambles left end for no gain (tackle by Jevon Holland). Penalty on Josh Myers: Offensive Holding, 10 yards (accepted) (no play)",3.71,3.05,16.0,2022,237
4.0,3:08,1.0,20.0,MIA 38,23.0,20.0,Aaron Jones right end for 18 yards (tackle by Jevon Holland),3.05,4.25,16.0,2022,237
4.0,3:00,,,,,,Timeout #1 by Miami Dolphins,,,16.0,2022,237
4.0,3:00,2.0,2.0,MIA 20,23.0,20.0,"Penalty on John Jenkins: Encroachment, 5 yards (accepted) (no play)",4.25,4.58,16.0,2022,237
4.0,3:00,1.0,10.0,MIA 15,23.0,20.0,Aaron Jones left end for -3 yards (tackle by Xavien Howard),4.58,3.56,16.0,2022,237
4.0,2:55,,,,,,Timeout #2 by Miami Dolphins,,,16.0,2022,237
4.0,2:55,2.0,13.0,MIA 18,23.0,20.0,AJ Dillon up the middle for 8 yards (tackle by Jaelan Phillips),3.56,4.0,16.0,2022,237
4.0,2:50,,,,,,Timeout #3 by Miami Dolphins,,,16.0,2022,237
4.0,2:50,3.0,5.0,MIA 10,23.0,20.0,AJ Dillon up the middle for 2 yards (tackle by Jaelan Phillips and Raekwon Davis),4.0,2.98,16.0,2022,237
4.0,2:06,,,,,,Timeout #2 by Green Bay Packers,,,16.0,2022,237
4.0,2:06,4.0,3.0,MIA 8,26.0,20.0,Mason Crosby 26 yard field goal good,2.98,3.0,16.0,2022,237
4.0,2:02,,,GNB 35,26.0,20.0,"Mason Crosby kicks off 61 yards, returned by Raheem Mostert for 24 yards (tackle by Tyler Davis)",0.0,0.81,16.0,2022,237
4.0,1:56,1.0,10.0,MIA 28,26.0,20.0,Tua Tagovailoa pass complete short right to Jeff Wilson for 3 yards (tackle by Rasul Douglas),0.81,0.67,16.0,2022,237
4.0,1:35,2.0,7.0,MIA 31,26.0,20.0,Tua Tagovailoa pass short right intended for Mike Gesicki is intercepted by Rasul Douglas at MIA-44 and returned for 5 yards,0.67,-2.98,16.0,2022,237
4.0,1:29,1.0,10.0,MIA 39,26.0,20.0,Aaron Rodgers kneels for -1 yards,2.98,2.3,16.0,2022,237
4.0,0:55,2.0,11.0,MIA 40,26.0,20.0,Aaron Rodgers kneels for -1 yards,2.3,1.49,16.0,2022,237
4.0,0:29,3.0,12.0,MIA 41,26.0,20.0,Aaron Rodgers kneels for -1 yards,1.49,0.46,16.0,2022,237
