Quarter,Time,Down,ToGo,Location,BUF,CHI,Detail,EPB,EPA,week,year,game_id
2.0,5:58,4.0,3.0,BUF 31,6.0,7.0,Justin Fields pass complete short right to David Montgomery for 6 yards (tackle by Tre'Davious White),1.38,3.91,16.0,2022,227
2.0,5:17,1.0,10.0,BUF 25,6.0,7.0,Justin Fields right end for 2 yards (tackle by Tre'Davious White),3.91,3.63,16.0,2022,227
2.0,4:41,2.0,8.0,BUF 23,6.0,7.0,Justin Fields left end for -2 yards (tackle by Damar Hamlin),3.63,2.68,16.0,2022,227
2.0,3:55,3.0,10.0,BUF 25,6.0,7.0,"Justin Fields pass complete to Dante Pettis for no gain (tackle by Taron Johnson). Penalty on Kingsley Jonathan: Defensive Offside, 6 yards (accepted) (no play)",2.68,3.34,16.0,2022,227
2.0,3:29,3.0,5.0,BUF 20,6.0,7.0,Justin Fields pass incomplete short left intended for Khalil Herbert (defended by Matt Milano),3.34,2.26,16.0,2022,227
2.0,3:25,4.0,4.0,BUF 19,6.0,10.0,Cairo Santos 37 yard field goal good,2.26,3.0,16.0,2022,227
2.0,3:21,,,CHI 35,6.0,10.0,"Trenton Gill kicks off 51 yards, returned by Nyheim Hines for 20 yards (tackle by DeAndre Houston-Carson and A.J. Thomas)",0.0,1.2,16.0,2022,227
2.0,3:16,1.0,10.0,BUF 34,6.0,10.0,Josh Allen scrambles right guard for 15 yards (tackle by Al-Quadin Muhammad),1.2,2.19,16.0,2022,227
2.0,2:51,1.0,10.0,BUF 49,6.0,10.0,Josh Allen pass complete short left to James Cook for 9 yards (tackle by Jaylon Jones and Josh Blackwell),2.19,2.86,16.0,2022,227
2.0,2:16,2.0,1.0,CHI 42,6.0,10.0,James Cook left tackle for 6 yards (tackle by Nicholas Morrow),2.86,3.18,16.0,2022,227
2.0,2:00,1.0,10.0,CHI 36,6.0,10.0,James Cook left tackle for 16 yards (tackle by DeAndre Houston-Carson and Jaquan Brisker),3.18,4.24,16.0,2022,227
2.0,1:14,1.0,10.0,CHI 20,6.0,10.0,Josh Allen pass incomplete short left intended for Dawson Knox,4.24,3.69,16.0,2022,227
2.0,1:04,2.0,10.0,CHI 20,6.0,10.0,"Josh Allen pass complete to Gabriel Davis for 7 yards Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Josh Allen pass incomplete short left intended for Gabriel Davis",3.69,3.01,16.0,2022,227
2.0,1:04,3.0,10.0,CHI 20,6.0,10.0,Josh Allen pass incomplete deep left intended for Gabriel Davis (defended by Jaylon Jones),3.01,2.12,16.0,2022,227
2.0,0:56,4.0,10.0,CHI 20,6.0,10.0,Tyler Bass 38 yard field goal no good,2.12,-0.81,16.0,2022,227
2.0,0:51,1.0,10.0,CHI 28,6.0,10.0,Justin Fields sacked by Ed Oliver for -5 yards,0.81,-0.48,16.0,2022,227
2.0,0:44,,,,,,Timeout #1 by Buffalo Bills,,,16.0,2022,227
2.0,0:44,2.0,16.0,CHI 23,6.0,10.0,David Montgomery right guard for 4 yards (tackle by Taron Johnson),-0.48,-0.63,16.0,2022,227
3.0,15:00,,,CHI 35,6.0,10.0,"Trenton Gill kicks off 64 yards, returned by Nyheim Hines for 23 yards (tackle by Elijah Hicks). Penalty on Siran Neal: Offensive Holding, 10 yards (accepted)",0.0,-0.28,16.0,2022,227
3.0,14:52,1.0,10.0,BUF 14,6.0,10.0,Josh Allen pass complete short right to Stefon Diggs for 15 yards (tackle by Kyler Gordon),-0.28,0.87,16.0,2022,227
3.0,14:15,1.0,10.0,BUF 29,6.0,10.0,Isaiah McKenzie right end for 6 yards (tackle by Justin Jones),0.87,1.14,16.0,2022,227
3.0,13:38,2.0,4.0,BUF 35,6.0,10.0,Nyheim Hines right end for 2 yards (tackle by Joe Thomas),1.14,0.7,16.0,2022,227
3.0,12:54,3.0,2.0,BUF 37,6.0,10.0,Josh Allen pass complete to Devin Singletary for 10 yards (tackle by Kyler Gordon),0.7,2.06,16.0,2022,227
3.0,12:23,1.0,10.0,BUF 47,6.0,10.0,Josh Allen pass incomplete short middle intended for Devin Singletary,2.06,1.52,16.0,2022,227
3.0,12:19,2.0,10.0,BUF 47,6.0,10.0,Josh Allen pass complete short middle to Devin Singletary for 9 yards (tackle by Nicholas Morrow),1.52,2.02,16.0,2022,227
3.0,11:36,3.0,1.0,CHI 44,6.0,10.0,Josh Allen scrambles left end for 11 yards (tackle by Matthew Adams),2.02,3.38,16.0,2022,227
3.0,10:59,1.0,10.0,CHI 33,12.0,10.0,"Devin Singletary for 33 yards, touchdown",3.38,7.0,16.0,2022,227
3.0,10:51,,,CHI 2,14.0,10.0,Two Point Attempt: Josh Allen pass complete to to Khalil Shakir for no gain,1.0,1.0,16.0,2022,227
3.0,10:51,,,BUF 35,14.0,10.0,"Tyler Bass kicks off 64 yards, returned by Velus Jones for 24 yards (tackle by Cameron Lewis)",0.0,0.61,16.0,2022,227
3.0,10:44,1.0,10.0,CHI 25,14.0,10.0,David Montgomery left end for -7 yards (tackle by Shaq Lawson),0.61,-0.98,16.0,2022,227
3.0,10:06,2.0,17.0,CHI 18,14.0,10.0,Justin Fields pass complete short left to David Montgomery for 10 yards (tackle by Matt Milano),-0.98,-0.23,16.0,2022,227
3.0,9:25,3.0,7.0,CHI 28,14.0,10.0,"Justin Fields pass complete to David Montgomery for no gain. Penalty on Tre'Davious White: Defensive Holding, 6 yards (accepted) (no play)",-0.23,1.27,16.0,2022,227
3.0,8:55,1.0,10.0,CHI 35,14.0,10.0,Justin Fields pass incomplete deep left,1.27,0.66,16.0,2022,227
3.0,8:49,2.0,10.0,CHI 34,14.0,10.0,"David Montgomery right tackle for no gain. David Montgomery fumbles (forced by Dane Jackson), recovered by Tim Settle at CHI-35 (tackle by Michael Schofield)",0.66,-3.25,16.0,2022,227
3.0,8:44,1.0,10.0,CHI 35,14.0,10.0,Josh Allen pass incomplete deep left intended for Gabriel Davis (defended by Jaylon Jones),3.25,2.7,16.0,2022,227
3.0,8:36,2.0,10.0,CHI 35,14.0,10.0,James Cook left tackle for 8 yards (tackle by Joe Thomas),2.7,3.07,16.0,2022,227
3.0,8:02,3.0,2.0,CHI 27,20.0,10.0,"James Cook left tackle for 27 yards, touchdown",3.07,7.0,16.0,2022,227
3.0,7:57,,,CHI 2,20.0,10.0,Two Point Attempt: Josh Allen pass complete to to Gabriel Davis for no gain (no play),1.0,0.0,16.0,2022,227
3.0,7:57,,,CHI 20,21.0,10.0,Tyler Bass kicks extra point good,0.0,0.0,16.0,2022,227
3.0,7:57,,,BUF 35,21.0,10.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,227
3.0,7:57,1.0,10.0,CHI 25,21.0,10.0,David Montgomery left guard for 1 yard (tackle by DaQuan Jones),0.61,0.2,16.0,2022,227
3.0,7:24,2.0,9.0,CHI 26,21.0,10.0,Justin Fields pass complete short middle to Cole Kmet for 4 yards (tackle by Tremaine Edmunds),0.2,0.04,16.0,2022,227
3.0,6:49,3.0,5.0,CHI 30,21.0,10.0,Justin Fields pass incomplete short left intended for Dante Pettis,0.04,-1.37,16.0,2022,227
3.0,6:43,4.0,5.0,CHI 30,21.0,10.0,"Trenton Gill punts 40 yards, returned by Nyheim Hines for 3 yards (tackle by Elijah Lee)",-1.37,-1.14,16.0,2022,227
3.0,6:31,1.0,10.0,BUF 33,21.0,10.0,James Cook left tackle for 7 yards (tackle by Taco Charlton and Nicholas Morrow),1.14,1.54,16.0,2022,227
3.0,5:55,2.0,3.0,BUF 40,21.0,10.0,"Josh Allen scrambles left guard for no gain (tackle by Nicholas Morrow). Penalty on Spencer Brown: Offensive Holding, 10 yards (accepted) (no play)",1.54,0.19,16.0,2022,227
3.0,5:24,2.0,13.0,BUF 30,21.0,10.0,Devin Singletary left end for 6 yards (tackle by Jaquan Brisker),0.19,0.3,16.0,2022,227
3.0,4:41,3.0,7.0,BUF 36,21.0,10.0,Josh Allen pass incomplete short left intended for Dawson Knox,0.3,-0.98,16.0,2022,227
3.0,4:35,4.0,7.0,BUF 36,21.0,10.0,Sam Martin punts 53 yards downed by Taiwan Jones,-0.98,0.37,16.0,2022,227
3.0,4:23,1.0,10.0,CHI 11,21.0,10.0,Khalil Herbert right guard for -1 yards (tackle by Tim Settle),-0.37,-0.85,16.0,2022,227
3.0,3:43,2.0,11.0,CHI 10,21.0,10.0,Khalil Herbert right end for 3 yards (tackle by Tre'Davious White and Matt Milano),-0.85,-1.19,16.0,2022,227
3.0,2:56,3.0,8.0,CHI 13,21.0,10.0,Justin Fields pass incomplete short middle intended for Velus Jones (defended by Ed Oliver),-1.19,-2.49,16.0,2022,227
3.0,2:52,4.0,8.0,CHI 13,21.0,10.0,"Trenton Gill punts 57 yards, recovered by Nyheim Hines at BUF-30, returned by Nyheim Hines for 8 yards (tackle by Patrick Scales and Ryan Griffin)",-2.49,-1.47,16.0,2022,227
3.0,2:37,1.0,10.0,BUF 38,21.0,10.0,Devin Singletary left guard for 2 yards (tackle by Nicholas Morrow),1.47,1.19,16.0,2022,227
3.0,1:51,2.0,8.0,BUF 40,21.0,10.0,Josh Allen pass complete short left to Stefon Diggs for 11 yards (tackle by Joe Thomas),1.19,2.32,16.0,2022,227
3.0,1:10,1.0,10.0,CHI 49,21.0,10.0,Josh Allen pass complete short right to Khalil Shakir for 5 yards,2.32,2.46,16.0,2022,227
3.0,0:35,2.0,5.0,CHI 44,21.0,10.0,"Josh Allen pass complete to Gabriel Davis for 11 yards. Gabriel Davis fumbles (forced by Matthew Adams), recovered by Elijah Hicks at CHI-33 (tackle by Dion Dawkins)",2.46,-1.14,16.0,2022,227
3.0,0:24,1.0,10.0,CHI 33,21.0,10.0,Justin Fields pass complete deep right to Velus Jones for 44 yards (tackle by Tre'Davious White),1.14,4.04,16.0,2022,227
4.0,15:00,1.0,10.0,BUF 23,21.0,10.0,Khalil Herbert left guard for 3 yards (tackle by Kaiir Elam),4.04,3.9,16.0,2022,227
4.0,14:30,2.0,7.0,BUF 20,21.0,10.0,David Montgomery left tackle for 5 yards (tackle by Matt Milano and Damar Hamlin),3.9,4.05,16.0,2022,227
4.0,13:46,3.0,2.0,BUF 15,21.0,10.0,David Montgomery left end for -1 yards (tackle by Shaq Lawson),4.05,2.48,16.0,2022,227
4.0,12:59,4.0,3.0,BUF 16,21.0,10.0,"Justin Fields pass complete to Ryan Griffin for 3 yards (tackle by Tre'Davious White) Replay Assistant challenged the first down ruling, and the original play was overturned. Justin Fields pass complete short left to Ryan Griffin for 2 yards (tackle by Tre'Davious White)",2.48,0.28,16.0,2022,227
4.0,12:59,1.0,10.0,BUF 14,21.0,10.0,James Cook right tackle for 3 yards (tackle by Trevis Gipson),-0.28,-0.37,16.0,2022,227
4.0,12:24,2.0,7.0,BUF 17,21.0,10.0,Josh Allen pass short middle intended for James Cook is intercepted by Nicholas Morrow at BUF-23 and returned for 5 yards (tackle by Khalil Shakir),-0.37,-4.37,16.0,2022,227
4.0,12:13,1.0,10.0,BUF 18,21.0,10.0,Justin Fields pass complete short right to Khalil Herbert for -2 yards (tackle by Gregory Rousseau and Tremaine Edmunds),4.37,3.56,16.0,2022,227
4.0,11:37,2.0,12.0,BUF 20,21.0,10.0,David Montgomery right guard for no gain (tackle by Ed Oliver),3.56,2.87,16.0,2022,227
4.0,11:04,3.0,12.0,BUF 20,21.0,10.0,Justin Fields scrambles left end for 3 yards (tackle by Ed Oliver),2.87,2.31,16.0,2022,227
4.0,10:23,4.0,9.0,BUF 17,21.0,13.0,Cairo Santos 35 yard field goal good,2.31,3.0,16.0,2022,227
4.0,10:19,,,CHI 35,21.0,13.0,"Trenton Gill kicks off 62 yards, recovered by Nyheim Hines at BUF-5 and returned for 11 yards (tackle by Elijah Hicks) returned by Nyheim Hines for 22 yards",0.0,-0.14,16.0,2022,227
4.0,10:10,1.0,10.0,BUF 16,21.0,13.0,James Cook right tackle for 1 yard (tackle by Jaquan Brisker),-0.14,-0.51,16.0,2022,227
4.0,9:35,2.0,9.0,BUF 17,21.0,13.0,Josh Allen pass incomplete deep right intended for Isaiah McKenzie,-0.51,-1.2,16.0,2022,227
4.0,9:30,3.0,9.0,BUF 17,21.0,13.0,Josh Allen pass incomplete short right,-1.2,-2.32,16.0,2022,227
4.0,9:20,4.0,9.0,BUF 17,21.0,13.0,Sam Martin punts 62 yards out of bounds,-2.32,-0.34,16.0,2022,227
4.0,9:13,1.0,10.0,CHI 21,21.0,13.0,David Montgomery left tackle for 4 yards (tackle by Damar Hamlin and Matt Milano),0.34,0.34,16.0,2022,227
4.0,8:37,2.0,6.0,CHI 25,21.0,13.0,Khalil Herbert right end for -2 yards (tackle by Jordan Phillips and Tremaine Edmunds),0.34,-0.63,16.0,2022,227
4.0,8:06,3.0,8.0,CHI 23,21.0,13.0,"Penalty on CHI: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",-0.63,-1.41,16.0,2022,227
4.0,8:06,,,,,,Timeout #1 by Buffalo Bills,,,16.0,2022,227
4.0,8:06,3.0,13.0,CHI 18,21.0,13.0,Justin Fields scrambles right end for 1 yard (tackle by Matt Milano),-1.41,-2.14,16.0,2022,227
4.0,7:33,4.0,12.0,CHI 19,21.0,13.0,"Trenton Gill punts 37 yards, returned by Nyheim Hines for 10 yards (tackle by Khari Blasingame). Penalty on Tyrel Dodson: Offensive Low Block, 10 yards (accepted)",-2.14,-1.86,16.0,2022,227
4.0,7:21,1.0,10.0,BUF 44,21.0,13.0,Devin Singletary right end for 8 yards (tackle by Nicholas Morrow),1.86,2.4,16.0,2022,227
4.0,6:45,2.0,2.0,CHI 48,21.0,13.0,Devin Singletary right tackle for 26 yards (tackle by Kyler Gordon),2.4,4.11,16.0,2022,227
4.0,5:59,1.0,10.0,CHI 22,21.0,13.0,Devin Singletary right end for 1 yard (tackle by Kyler Gordon),4.11,3.7,16.0,2022,227
4.0,5:53,,,,,,Timeout #1 by Chicago Bears,,,16.0,2022,227
4.0,5:53,2.0,9.0,CHI 21,21.0,13.0,Josh Allen right tackle for 1 yard (tackle by Nicholas Morrow and Joe Thomas),3.7,3.14,16.0,2022,227
4.0,5:27,3.0,8.0,CHI 20,21.0,13.0,Josh Allen pass complete short right to Nyheim Hines for 9 yards (tackle by Josh Blackwell),3.14,4.84,16.0,2022,227
4.0,5:20,,,,,,Timeout #2 by Chicago Bears,,,16.0,2022,227
4.0,5:20,1.0,10.0,CHI 11,21.0,13.0,Devin Singletary right guard for 4 yards (tackle by Trevis Gipson),4.84,4.89,16.0,2022,227
4.0,4:35,2.0,6.0,CHI 7,21.0,13.0,Devin Singletary for 3 yards (tackle by Joe Thomas and Justin Jones),4.89,4.67,16.0,2022,227
4.0,3:51,3.0,3.0,CHI 4,27.0,13.0,"Josh Allen scrambles for 4 yards, touchdown",4.67,7.0,16.0,2022,227
4.0,3:45,,,CHI 15,28.0,13.0,Tyler Bass kicks extra point good,0.0,0.0,16.0,2022,227
4.0,3:45,,,BUF 35,28.0,13.0,"Tyler Bass kicks off 62 yards, recovered by Velus Jones at CHI-5 returned by Velus Jones for 20 yards (tackle by Taiwan Jones and Siran Neal)",0.0,0.61,16.0,2022,227
4.0,3:38,1.0,10.0,CHI 25,28.0,13.0,Justin Fields pass complete short left to Dante Pettis for 5 yards (tackle by Taron Johnson),0.61,0.74,16.0,2022,227
4.0,3:18,2.0,5.0,CHI 30,28.0,13.0,Justin Fields sacked by A.J. Epenesa for -10 yards,0.74,-1.29,16.0,2022,227
4.0,2:42,3.0,15.0,CHI 20,28.0,13.0,Justin Fields pass complete short left to David Montgomery for 1 yard (tackle by Siran Neal),-1.29,-1.96,16.0,2022,227
4.0,2:19,4.0,14.0,CHI 21,28.0,13.0,Justin Fields pass incomplete short left intended for Velus Jones (defended by Tre'Davious White),-1.96,-4.24,16.0,2022,227
4.0,2:08,1.0,10.0,CHI 20,28.0,13.0,James Cook left tackle for no gain (tackle by Jaylon Jones and Jaquan Brisker),4.24,3.69,16.0,2022,227
4.0,2:00,2.0,10.0,CHI 20,28.0,13.0,James Cook right guard for 3 yards (tackle by Mike Pennel),3.69,3.36,16.0,2022,227
4.0,1:54,,,,,,Timeout #3 by Chicago Bears,,,16.0,2022,227
4.0,1:54,3.0,7.0,CHI 17,28.0,13.0,James Cook right tackle for 4 yards (tackle by Dominique Robinson),3.36,2.67,16.0,2022,227
4.0,1:08,,,,,,Timeout #2 by Buffalo Bills,,,16.0,2022,227
4.0,1:08,4.0,3.0,CHI 13,34.0,13.0,"Josh Allen pass complete short right to Dawson Knox for 13 yards, touchdown",2.67,7.0,16.0,2022,227
4.0,1:02,,,CHI 15,35.0,13.0,Tyler Bass kicks extra point good,0.0,0.0,16.0,2022,227
4.0,1:02,,,BUF 35,35.0,13.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,227
4.0,1:02,1.0,10.0,CHI 25,35.0,13.0,Nathan Peterman pass complete short right to Byron Pringle for 14 yards (tackle by Tyrel Dodson),0.61,1.53,16.0,2022,227
4.0,0:42,1.0,10.0,CHI 39,35.0,13.0,Nathan Peterman pass complete short middle to Cole Kmet for 4 yards (tackle by Siran Neal),1.53,1.53,16.0,2022,227
4.0,0:25,2.0,6.0,CHI 43,35.0,13.0,Nathan Peterman pass complete short right to Cole Kmet for 7 yards (tackle by Siran Neal),1.53,2.26,16.0,2022,227
4.0,0:07,1.0,10.0,CHI 50,35.0,13.0,Nathan Peterman spiked the ball,2.26,1.71,16.0,2022,227
4.0,0:06,2.0,10.0,CHI 50,35.0,13.0,Nathan Peterman pass deep right is intercepted by Jaquan Johnson in end zone and returned for no gain,1.71,0.0,16.0,2022,227
