Quarter,Time,Down,ToGo,Location,NOR,CLE,Detail,EPB,EPA,week,year,game_id
3.0,6:23,1.0,10.0,NOR 9,10.0,10.0,Alvin Kamara right guard for 4 yards (tackle by Chase Winovich),-0.38,-0.48,16.0,2022,230
3.0,5:41,2.0,6.0,NOR 13,10.0,10.0,Alvin Kamara left guard for 4 yards (tackle by Grant Delpit),-0.48,-0.48,16.0,2022,230
3.0,5:05,3.0,2.0,NOR 17,10.0,10.0,Alvin Kamara right guard for no gain (tackle by Grant Delpit and Jordan Elliott),-0.48,-2.32,16.0,2022,230
3.0,4:25,4.0,2.0,NOR 17,10.0,10.0,"Blake Gillikin punts 52 yards, returned by Donovan Peoples-Jones for 12 yards (tackle by Daniel Sorensen and Andrew Dowell)",-2.32,-1.8,16.0,2022,230
3.0,4:13,1.0,10.0,CLE 43,10.0,10.0,"Deshaun Watson pass complete to Nick Chubb for no gain. Penalty on Jack Conklin: Offensive Holding, 10 yards (accepted) (no play)",1.8,1.14,16.0,2022,230
3.0,3:46,1.0,20.0,CLE 33,10.0,10.0,Nick Chubb right guard for 9 yards (tackle by Tyrann Mathieu and Daniel Sorensen),1.14,1.12,16.0,2022,230
3.0,3:06,2.0,11.0,CLE 42,10.0,10.0,Deshaun Watson pass (defended by Alontae Taylor) intended for David Bell is intercepted by Daniel Sorensen at NO-49 and returned for 36 yards (tackle by Joel Bitonio),1.12,-4.58,16.0,2022,230
3.0,2:55,1.0,10.0,CLE 15,10.0,10.0,Taysom Hill right guard for 1 yard (tackle by Reggie Ragland),4.58,4.11,16.0,2022,230
3.0,2:19,2.0,9.0,CLE 14,10.0,10.0,Alvin Kamara right guard for 1 yard (tackle by Taven Bryan),4.11,3.4,16.0,2022,230
3.0,1:34,3.0,8.0,CLE 13,10.0,10.0,Andy Dalton pass complete short middle to Juwan Johnson for 9 yards (tackle by John Johnson),3.4,6.28,16.0,2022,230
3.0,1:01,1.0,4.0,CLE 4,16.0,10.0,"Alvin Kamara left guard for 4 yards, touchdown",6.28,7.0,16.0,2022,230
3.0,0:55,,,CLE 15,17.0,10.0,Wil Lutz kicks extra point good,0.0,0.0,16.0,2022,230
3.0,0:55,,,NOR 35,17.0,10.0,"Wil Lutz kicks off 57 yards, returned by Jerome Ford for 33 yards (tackle by Alontae Taylor)",0.0,1.66,16.0,2022,230
3.0,0:49,1.0,10.0,CLE 41,17.0,10.0,Kareem Hunt left tackle for 3 yards (tackle by Shy Tuttle),1.66,1.53,16.0,2022,230
3.0,0:05,2.0,7.0,CLE 44,17.0,10.0,Deshaun Watson pass incomplete deep left intended for David Njoku,1.53,0.83,16.0,2022,230
4.0,15:00,3.0,7.0,CLE 44,17.0,10.0,Deshaun Watson pass complete short left to Amari Cooper for 12 yards (tackle by Alontae Taylor),0.83,2.65,16.0,2022,230
4.0,14:26,1.0,10.0,NOR 44,17.0,10.0,Kareem Hunt right guard for 2 yards (tackle by Tyrann Mathieu),2.65,2.38,16.0,2022,230
4.0,13:47,2.0,8.0,NOR 42,17.0,10.0,Deshaun Watson pass incomplete deep left intended for Amari Cooper,2.38,1.69,16.0,2022,230
4.0,13:41,3.0,8.0,NOR 42,17.0,10.0,Deshaun Watson pass incomplete deep right intended for David Njoku,1.69,0.46,16.0,2022,230
4.0,13:35,4.0,8.0,NOR 42,17.0,10.0,Corey Bojorquez punts 32 yards downed by D'Anthony Bell,0.46,0.38,16.0,2022,230
4.0,13:26,1.0,10.0,NOR 10,17.0,10.0,Alvin Kamara left guard for 5 yards (tackle by Reggie Ragland and Grant Delpit),-0.38,-0.35,16.0,2022,230
4.0,12:50,2.0,5.0,NOR 15,17.0,10.0,David Johnson right guard for 2 yards (tackle by Taven Bryan and Reggie Ragland),-0.35,-0.72,16.0,2022,230
4.0,12:06,3.0,4.0,NOR 17,17.0,10.0,Andy Dalton pass complete short middle to Alvin Kamara for 29 yards (tackle by John Johnson and Martin Emerson),-0.72,1.99,16.0,2022,230
4.0,11:17,1.0,10.0,NOR 46,17.0,10.0,Taysom Hill right tackle for 2 yards (tackle by Grant Delpit),1.99,1.72,16.0,2022,230
4.0,10:37,2.0,8.0,NOR 48,17.0,10.0,Taysom Hill right tackle for 2 yards (tackle by John Johnson and Tony Fields),1.72,1.16,16.0,2022,230
4.0,9:59,3.0,7.0,NOR 49,17.0,10.0,Andy Dalton pass incomplete deep left intended for Keith Kirkwood (defended by Greg Newsome),1.16,-0.06,16.0,2022,230
4.0,9:52,4.0,6.0,NOR 50,17.0,10.0,Blake Gillikin punts 40 yards downed by Chase Hansen,-0.06,0.38,16.0,2022,230
4.0,9:41,1.0,10.0,CLE 10,17.0,10.0,Deshaun Watson pass complete short right to Donovan Peoples-Jones for 2 yards (tackle by Kaden Elliss),-0.38,-0.71,16.0,2022,230
4.0,9:05,2.0,9.0,CLE 12,17.0,10.0,Nick Chubb left tackle for 19 yards (tackle by Daniel Sorensen and Alontae Taylor),-0.71,1.0,16.0,2022,230
4.0,8:31,1.0,10.0,CLE 31,17.0,10.0,Nick Chubb right tackle for 7 yards (tackle by Daniel Sorensen and Kentavius Street),1.0,1.41,16.0,2022,230
4.0,7:55,2.0,3.0,CLE 38,17.0,10.0,Nick Chubb left guard for 1 yard (tackle by Carl Granderson and Shy Tuttle),1.41,0.83,16.0,2022,230
4.0,7:10,3.0,2.0,CLE 39,17.0,10.0,"Deshaun Watson pass incomplete short right Penalty on CLE: Illegal Formation, 5 yards (declined)",0.83,-0.78,16.0,2022,230
4.0,7:00,4.0,2.0,CLE 39,17.0,10.0,Deshaun Watson pass incomplete deep right intended for Donovan Peoples-Jones,-0.78,-2.98,16.0,2022,230
4.0,6:55,1.0,10.0,CLE 39,17.0,10.0,Alvin Kamara left guard for 4 yards (tackle by Tony Fields),2.98,2.98,16.0,2022,230
4.0,6:11,2.0,6.0,CLE 35,17.0,10.0,Alvin Kamara right guard for -3 yards (tackle by Jordan Elliott),2.98,1.88,16.0,2022,230
4.0,5:29,3.0,9.0,CLE 38,17.0,10.0,Andy Dalton pass incomplete deep left intended for Keith Kirkwood,1.88,0.72,16.0,2022,230
4.0,5:22,4.0,9.0,CLE 38,17.0,10.0,"Blake Gillikin punts 38 yards, touchback.",0.72,-0.28,16.0,2022,230
4.0,5:16,1.0,10.0,CLE 20,17.0,10.0,Nick Chubb left tackle for 9 yards (tackle by Tyrann Mathieu and Daniel Sorensen),0.28,0.95,16.0,2022,230
4.0,4:52,2.0,1.0,CLE 29,17.0,10.0,Nick Chubb left tackle for 2 yards (tackle by Cameron Jordan and Tyrann Mathieu),0.95,1.0,16.0,2022,230
4.0,4:21,1.0,10.0,CLE 31,17.0,10.0,Nick Chubb left tackle for no gain (tackle by David Onyemata and Cameron Jordan),1.0,0.46,16.0,2022,230
4.0,3:55,2.0,10.0,CLE 31,17.0,10.0,Deshaun Watson pass complete short right to David Njoku for 8 yards (tackle by Tyrann Mathieu),0.46,0.83,16.0,2022,230
4.0,3:17,3.0,2.0,CLE 39,17.0,10.0,Kareem Hunt right guard for 4 yards (tackle by Daniel Sorensen and Kentavius Street),0.83,1.73,16.0,2022,230
4.0,2:53,1.0,10.0,CLE 42,17.0,10.0,Deshaun Watson pass incomplete short left intended for Donovan Peoples-Jones (defended by Bradley Roby),1.73,1.25,16.0,2022,230
4.0,2:49,2.0,10.0,CLE 43,17.0,10.0,Nick Chubb left tackle for -3 yards (tackle by Kaden Elliss),1.25,0.17,16.0,2022,230
4.0,2:08,3.0,13.0,CLE 40,17.0,10.0,"Deshaun Watson pass incomplete intended for Donovan Peoples-Jones. Penalty on Paulson Adebo: Defensive Holding, 5 yards (accepted) (no play)",0.17,1.93,16.0,2022,230
4.0,2:08,1.0,10.0,CLE 45,17.0,10.0,Nick Chubb left tackle for 2 yards (tackle by Malcolm Roach),1.93,1.65,16.0,2022,230
4.0,2:00,2.0,8.0,CLE 47,17.0,10.0,Deshaun Watson pass incomplete short left intended for Amari Cooper,1.65,0.96,16.0,2022,230
4.0,1:55,3.0,8.0,CLE 47,17.0,10.0,Deshaun Watson pass complete short middle to Amari Cooper for 9 yards (tackle by Bradley Roby),0.96,2.65,16.0,2022,230
4.0,1:33,1.0,10.0,NOR 44,17.0,10.0,Deshaun Watson sacked by and Kentavius Street for -3 yards and David Onyemata for -3 yards,2.65,1.71,16.0,2022,230
4.0,1:23,,,,,,Timeout #1 by Cleveland Browns,,,16.0,2022,230
4.0,1:23,2.0,13.0,NOR 47,17.0,10.0,Deshaun Watson pass complete short left to Kareem Hunt for no gain (tackle by Tyrann Mathieu),1.71,1.03,16.0,2022,230
4.0,1:01,3.0,13.0,NOR 47,17.0,10.0,Deshaun Watson pass complete short right to Amari Cooper for 14 yards (tackle by Paulson Adebo),1.03,3.38,16.0,2022,230
4.0,0:51,,,,,,Timeout #2 by Cleveland Browns,,,16.0,2022,230
4.0,0:51,1.0,10.0,NOR 33,17.0,10.0,Deshaun Watson pass complete short middle to David Bell for 18 yards (tackle by P.J. Williams),3.38,4.58,16.0,2022,230
4.0,0:42,,,,,,Timeout #3 by Cleveland Browns,,,16.0,2022,230
4.0,0:42,1.0,10.0,NOR 15,17.0,10.0,Deshaun Watson pass incomplete short right intended for Amari Cooper,4.58,3.95,16.0,2022,230
4.0,0:38,2.0,10.0,NOR 15,17.0,10.0,Deshaun Watson pass incomplete short left intended for Donovan Peoples-Jones,3.95,3.1,16.0,2022,230
4.0,0:30,3.0,10.0,NOR 15,17.0,10.0,Deshaun Watson pass incomplete short middle intended for David Njoku,3.1,2.44,16.0,2022,230
4.0,0:26,4.0,10.0,NOR 15,17.0,10.0,Deshaun Watson sacked by Carl Granderson for -7 yards,2.44,-0.41,16.0,2022,230
4.0,0:19,1.0,10.0,NOR 22,17.0,10.0,Andy Dalton kneels for -1 yards,0.41,-0.27,16.0,2022,230
