Quarter,Time,Down,ToGo,Location,SEA,KAN,Detail,EPB,EPA,week,year,game_id
2.0,0:05,3.0,4.0,KAN 3,0.0,17.0,Geno Smith pass incomplete short right,0.0,0.0,16.0,2022,232
2.0,0:01,4.0,4.0,KAN 3,3.0,17.0,Jason Myers 22 yard field goal good,0.0,3.0,16.0,2022,232
3.0,15:00,,,KAN 35,3.0,17.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,232
3.0,15:00,1.0,10.0,SEA 25,3.0,17.0,Kenneth Walker right guard for 4 yards (tackle by Derrick Nnadi),0.61,0.6,16.0,2022,232
3.0,14:22,2.0,6.0,SEA 29,3.0,17.0,Geno Smith pass incomplete short right intended for D.K. Metcalf,0.6,-0.1,16.0,2022,232
3.0,14:15,3.0,6.0,SEA 29,3.0,17.0,Geno Smith pass incomplete deep middle intended for Marquise Goodwin,-0.1,-1.44,16.0,2022,232
3.0,14:10,4.0,6.0,SEA 29,3.0,17.0,Michael Dickson punts 38 yards out of bounds,-1.44,-1.14,16.0,2022,232
3.0,14:05,1.0,10.0,KAN 33,3.0,17.0,Patrick Mahomes pass incomplete short right intended for Justin Watson,1.14,0.59,16.0,2022,232
3.0,13:59,2.0,10.0,KAN 33,3.0,17.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 7 yards (tackle by Michael Jackson),0.59,0.83,16.0,2022,232
3.0,13:20,3.0,3.0,KAN 40,3.0,17.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce (defended by Johnathan Abram),0.83,-0.72,16.0,2022,232
3.0,13:09,4.0,3.0,KAN 40,3.0,17.0,"Tommy Townsend punts 42 yards, fair catch by DeeJay Dallas at SEA-18",-0.72,-0.04,16.0,2022,232
3.0,13:00,1.0,10.0,SEA 18,3.0,17.0,Kenneth Walker right end for 20 yards (tackle by Justin Reid),0.04,1.47,16.0,2022,232
3.0,12:23,1.0,10.0,SEA 38,3.0,17.0,Kenneth Walker left end for 11 yards (tackle by Juan Thornhill),1.47,2.19,16.0,2022,232
3.0,11:37,,,,,,Timeout #1 by Seattle Seahawks,,,16.0,2022,232
3.0,11:37,1.0,10.0,SEA 49,3.0,17.0,Kenneth Walker up the middle for 2 yards (tackle by Chris Jones and Nick Bolton),2.19,1.92,16.0,2022,232
3.0,11:03,2.0,8.0,KAN 49,3.0,17.0,Kenneth Walker up the middle for 5 yards (tackle by Willie Gay and Nick Bolton),1.92,1.88,16.0,2022,232
3.0,10:37,3.0,3.0,KAN 44,3.0,17.0,Geno Smith pass complete short left to Penny Hart for 2 yards (tackle by L'Jarius Sneed and Trent McDuffie),1.88,0.46,16.0,2022,232
3.0,10:19,4.0,1.0,KAN 42,3.0,17.0,Geno Smith up the middle for 2 yards (tackle by Michael Danna),0.46,2.92,16.0,2022,232
3.0,9:47,1.0,10.0,KAN 40,3.0,17.0,Geno Smith pass complete short left to Kenneth Walker for -2 yards (tackle by Willie Gay),2.92,2.1,16.0,2022,232
3.0,8:57,2.0,12.0,KAN 42,3.0,17.0,Kenneth Walker up the middle for 2 yards (tackle by Carlos Dunlap),2.1,1.68,16.0,2022,232
3.0,8:11,3.0,10.0,KAN 40,3.0,17.0,Geno Smith pass complete short right to Colby Parkinson for 6 yards (tackle by Jaylen Watson),1.68,1.08,16.0,2022,232
3.0,7:36,4.0,4.0,KAN 34,3.0,17.0,"Geno Smith pass complete deep left to Colby Parkinson for no gain (tackle by Bryan Cook). Penalty on Penny Hart: Offensive Pass Interference, 10 yards (declined)",1.08,-1.2,16.0,2022,232
3.0,7:24,1.0,10.0,KAN 34,3.0,17.0,Isiah Pacheco up the middle for 4 yards (tackle by Shelby Harris and Darrell Taylor),1.2,1.2,16.0,2022,232
3.0,6:52,2.0,6.0,KAN 38,3.0,17.0,"Penalty on Marquez Valdes-Scantling: False Start, 5 yards (accepted) (no play)",1.2,0.52,16.0,2022,232
3.0,6:46,2.0,11.0,KAN 33,3.0,17.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 13 yards (tackle by Darrell Taylor),0.52,1.99,16.0,2022,232
3.0,6:17,1.0,10.0,KAN 46,3.0,17.0,Jerick McKinnon up the middle for -1 yards (tackle by Boye Mafe),1.99,1.32,16.0,2022,232
3.0,5:36,2.0,11.0,KAN 45,3.0,17.0,Patrick Mahomes sacked by Darrell Taylor for -4 yards,1.32,0.1,16.0,2022,232
3.0,4:46,3.0,15.0,KAN 41,3.0,17.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce (defended by Quinton Jefferson),0.1,-0.65,16.0,2022,232
3.0,4:39,4.0,15.0,KAN 41,3.0,17.0,Tommy Townsend punts 33 yards downed by Nazeeh Johnson,-0.65,-0.67,16.0,2022,232
3.0,4:31,1.0,10.0,SEA 26,3.0,17.0,Kenneth Walker left guard for 4 yards (tackle by Nick Bolton and Michael Danna),0.67,0.67,16.0,2022,232
3.0,3:56,2.0,6.0,SEA 30,3.0,17.0,Kenneth Walker right end for 20 yards (tackle by L'Jarius Sneed),0.67,2.26,16.0,2022,232
3.0,3:17,1.0,10.0,KAN 50,3.0,17.0,Geno Smith pass complete short left to Will Dissly for 19 yards (tackle by Nick Bolton),2.26,3.51,16.0,2022,232
3.0,2:32,1.0,10.0,KAN 31,3.0,17.0,"Penalty on Stone Forsythe: False Start, 5 yards (accepted) (no play)",3.51,3.18,16.0,2022,232
3.0,2:13,1.0,15.0,KAN 36,3.0,17.0,Kenneth Walker right guard for -1 yards (tackle by Frank Clark),3.18,2.16,16.0,2022,232
3.0,1:30,2.0,16.0,KAN 37,3.0,17.0,Kenneth Walker up the middle for 9 yards (tackle by Juan Thornhill and Nick Bolton),2.16,2.68,16.0,2022,232
3.0,0:40,3.0,7.0,KAN 28,3.0,17.0,Kenneth Walker up the middle for -1 yards (tackle by Jaylen Watson),2.68,1.5,16.0,2022,232
4.0,15:00,4.0,8.0,KAN 29,3.0,17.0,Geno Smith pass complete short right to Laquon Treadwell for 7 yards (tackle by Trent McDuffie),1.5,-0.41,16.0,2022,232
4.0,14:53,1.0,10.0,KAN 22,3.0,17.0,Isiah Pacheco right end for 2 yards (tackle by Michael Jackson),0.41,0.14,16.0,2022,232
4.0,14:19,2.0,8.0,KAN 24,3.0,17.0,"Patrick Mahomes aborted snap, recovered by Patrick Mahomes at KC-24 Patrick Mahomes pass incomplete deep left. Penalty on Orlando Brown: Offensive Holding, 10 yards (accepted) (no play)",0.14,-1.33,16.0,2022,232
4.0,14:10,2.0,18.0,KAN 14,3.0,17.0,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Michael Jackson),-1.33,-2.24,16.0,2022,232
4.0,14:05,3.0,18.0,KAN 14,3.0,17.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 7 yards (tackle by Myles Adams),-2.24,-1.96,16.0,2022,232
4.0,13:29,4.0,11.0,KAN 21,3.0,17.0,"Tommy Townsend punts 40 yards, returned by DeeJay Dallas for 6 yards (tackle by Leo Chenal)",-1.96,-1.93,16.0,2022,232
4.0,13:23,1.0,10.0,SEA 45,3.0,17.0,Kenneth Walker up the middle for 9 yards (tackle by Juan Thornhill),1.93,2.6,16.0,2022,232
4.0,12:46,2.0,1.0,KAN 46,3.0,17.0,Kenneth Walker up the middle for 4 yards (tackle by Justin Reid and Nick Bolton),2.6,2.79,16.0,2022,232
4.0,12:04,1.0,10.0,KAN 42,3.0,17.0,Kenneth Walker left end for -5 yards (tackle by Brandon Williams and Trent McDuffie),2.79,1.57,16.0,2022,232
4.0,11:21,2.0,15.0,KAN 47,3.0,17.0,Kenneth Walker up the middle for 5 yards (tackle by Derrick Nnadi and Willie Gay),1.57,1.49,16.0,2022,232
4.0,10:37,3.0,11.0,KAN 42,3.0,17.0,Geno Smith pass complete short left to D.K. Metcalf for 10 yards (tackle by L'Jarius Sneed and Bryan Cook),1.49,3.45,16.0,2022,232
4.0,10:10,1.0,10.0,KAN 32,3.0,17.0,Geno Smith pass complete short right to DeeJay Dallas for 7 yards (tackle by Nick Bolton and Willie Gay),3.45,3.85,16.0,2022,232
4.0,9:34,2.0,3.0,KAN 25,3.0,17.0,Kenneth Walker left end for 5 yards (tackle by Derrick Nnadi),3.85,4.24,16.0,2022,232
4.0,8:32,,,,,,Timeout #2 by Seattle Seahawks,,,16.0,2022,232
4.0,8:32,1.0,10.0,KAN 20,3.0,17.0,Kenneth Walker up the middle for -2 yards (tackle by Chris Jones),4.24,3.42,16.0,2022,232
4.0,7:49,2.0,12.0,KAN 22,3.0,17.0,Geno Smith pass deep left intended for Marquise Goodwin is intercepted by Juan Thornhill in end zone and returned for no gain,3.42,-0.28,16.0,2022,232
4.0,7:42,1.0,10.0,KAN 20,3.0,17.0,Patrick Mahomes pass complete short left to Travis Kelce for 20 yards (tackle by Jordyn Brooks and Michael Jackson),0.28,1.6,16.0,2022,232
4.0,7:02,1.0,10.0,KAN 40,3.0,17.0,Patrick Mahomes pass complete deep left to Travis Kelce for 52 yards (tackle by Jordyn Brooks),1.6,5.37,16.0,2022,232
4.0,6:10,1.0,8.0,SEA 8,3.0,17.0,Isiah Pacheco up the middle for 5 yards (tackle by Jordyn Brooks),5.37,5.53,16.0,2022,232
4.0,5:34,2.0,3.0,SEA 3,3.0,17.0,Isiah Pacheco up the middle for no gain (tackle by Cody Barton and Jordyn Brooks),5.53,4.72,16.0,2022,232
4.0,4:50,3.0,3.0,SEA 3,3.0,23.0,"Patrick Mahomes scrambles right end for 3 yards, touchdown",4.72,7.0,16.0,2022,232
4.0,4:42,,,SEA 15,3.0,24.0,Harrison Butker kicks extra point good,0.0,0.0,16.0,2022,232
4.0,4:42,,,KAN 35,3.0,24.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,232
4.0,4:42,1.0,10.0,SEA 25,3.0,24.0,Geno Smith pass incomplete short left intended for Marquise Goodwin,0.61,0.06,16.0,2022,232
4.0,4:37,2.0,10.0,SEA 25,3.0,24.0,Geno Smith pass incomplete short middle intended for Laquon Treadwell,0.06,-0.62,16.0,2022,232
4.0,4:32,3.0,10.0,SEA 25,3.0,24.0,Geno Smith pass complete short right to Noah Fant for 6 yards (tackle by Justin Reid),-0.62,-1.31,16.0,2022,232
4.0,3:54,4.0,4.0,SEA 31,3.0,24.0,Geno Smith scrambles right end for 5 yards (tackle by Juan Thornhill),-1.31,1.33,16.0,2022,232
4.0,3:45,1.0,10.0,SEA 36,3.0,24.0,Geno Smith pass complete deep right to Colby Parkinson for 39 yards (tackle by Bryan Cook),1.33,3.91,16.0,2022,232
4.0,3:12,1.0,10.0,KAN 25,3.0,24.0,Geno Smith pass complete short right to DeeJay Dallas for 2 yards (tackle by Nick Bolton),3.91,3.63,16.0,2022,232
4.0,3:05,2.0,8.0,KAN 23,3.0,24.0,Geno Smith pass incomplete deep left intended for Penny Hart,3.63,2.94,16.0,2022,232
4.0,3:00,3.0,8.0,KAN 23,3.0,24.0,Geno Smith pass incomplete short right intended for Laquon Treadwell (defended by Willie Gay),2.94,1.93,16.0,2022,232
4.0,2:54,4.0,8.0,KAN 23,3.0,24.0,Geno Smith pass complete deep left to Laquon Treadwell for 17 yards (tackle by Joshua Williams),1.93,5.83,16.0,2022,232
4.0,2:31,1.0,6.0,KAN 6,9.0,24.0,"Geno Smith pass complete short right to Noah Fant for 6 yards, touchdown",5.83,7.0,16.0,2022,232
4.0,2:25,,,KAN 15,10.0,24.0,Jason Myers kicks extra point good,0.0,0.0,16.0,2022,232
4.0,2:25,,,SEA 35,10.0,24.0,"Jason Myers kicks onside 9 yards, returned by Deon Bush for no gain",0.0,2.65,16.0,2022,232
4.0,2:24,1.0,10.0,SEA 44,10.0,24.0,Jerick McKinnon left end for 2 yards (tackle by Boye Mafe and Shelby Harris),2.65,2.38,16.0,2022,232
4.0,2:18,,,,,,Timeout #3 by Seattle Seahawks,,,16.0,2022,232
4.0,2:18,2.0,8.0,SEA 42,10.0,24.0,Isiah Pacheco left end for 5 yards (tackle by Jordyn Brooks and Poona Ford),2.38,2.35,16.0,2022,232
4.0,2:00,3.0,3.0,SEA 37,10.0,24.0,Isiah Pacheco left end for 1 yard (tackle by Uchenna Nwosu and Cody Barton),2.35,0.89,16.0,2022,232
4.0,1:12,,,,,,Timeout #1 by Kansas City Chiefs,,,16.0,2022,232
4.0,1:12,4.0,3.0,SEA 36,10.0,24.0,Patrick Mahomes pass incomplete short right intended for Justin Watson (defended by Jordyn Brooks),0.89,-1.33,16.0,2022,232
4.0,1:06,1.0,10.0,SEA 36,10.0,24.0,Geno Smith pass complete short middle to DeeJay Dallas for 7 yards (tackle by Nick Bolton),1.33,1.74,16.0,2022,232
4.0,0:44,2.0,3.0,SEA 43,10.0,24.0,Geno Smith pass complete short middle to DeeJay Dallas for 8 yards (tackle by Nick Bolton),1.74,2.32,16.0,2022,232
4.0,0:26,1.0,10.0,KAN 49,10.0,24.0,Geno Smith scrambles left end for 9 yards (tackle by L'Jarius Sneed),2.32,3.0,16.0,2022,232
4.0,0:16,2.0,1.0,KAN 40,10.0,24.0,Geno Smith sacked by Chris Jones for -6 yards,3.0,1.49,16.0,2022,232
