Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA,week,year,game_id
1.0,0:33,2.0,7.0,JAX 35,7.0,0.0,"Rhamondre Stevenson left tackle for no gain (tackle by Travon Walker and Ventrell Miller). Penalty on Josh Hines-Allen: Defensive Offside, 5 yards (accepted) (no play)",2.91,3.59,7.0,2024,94
1.0,0:08,2.0,2.0,JAX 30,7.0,0.0,"Penalty on Jordan Jefferson: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.59,3.91,7.0,2024,94
2.0,15:00,1.0,10.0,JAX 25,7.0,0.0,Drake Maye pass complete short right to Rhamondre Stevenson for 3 yards (tackle by Jeremiah Ledbetter),3.91,3.77,7.0,2024,94
2.0,14:21,2.0,7.0,JAX 22,7.0,0.0,Rhamondre Stevenson right tackle for no gain (tackle by Ventrell Miller),3.77,3.07,7.0,2024,94
2.0,13:40,3.0,7.0,JAX 22,7.0,0.0,Drake Maye pass incomplete short left intended for Kendrick Bourne,3.07,1.99,7.0,2024,94
2.0,13:35,4.0,7.0,JAX 22,10.0,0.0,Joey Slye 41 yard field goal good,1.99,3.0,7.0,2024,94
2.0,13:31,,,NWE 35,10.0,0.0,"Joey Slye kicks off 60 yards, returned by Parker Washington for 27 yards (tackle by Marte Mapu)",0.0,1.07,7.0,2024,94
2.0,13:26,1.0,10.0,JAX 32,10.0,0.0,Trevor Lawrence pass complete short left to Gabriel Davis for 13 yards (tackle by Jahlani Tavai),1.07,1.93,7.0,2024,94
2.0,12:51,1.0,10.0,JAX 45,10.0,0.0,Brian Thomas right end for 1 yard (tackle by Anfernee Jennings),1.93,1.52,7.0,2024,94
2.0,12:01,,,,,,Timeout #1 by Jacksonville Jaguars,,,7.0,2024,94
2.0,12:01,2.0,9.0,JAX 46,10.0,0.0,Trevor Lawrence pass complete deep middle to Christian Kirk for 24 yards (tackle by Kyle Dugger),1.52,3.58,7.0,2024,94
2.0,11:30,1.0,10.0,NWE 30,10.0,0.0,D'Ernest Johnson right tackle for 10 yards (tackle by Kyle Dugger),3.58,4.24,7.0,2024,94
2.0,10:54,1.0,10.0,NWE 20,10.0,0.0,Tank Bigsby left tackle for 13 yards (tackle by Marte Mapu and Christian Elliss),4.24,5.6,7.0,2024,94
2.0,10:10,1.0,7.0,NWE 7,10.0,0.0,Trevor Lawrence pass incomplete short middle intended for D'Ernest Johnson (defended by Kyle Dugger),5.6,4.76,7.0,2024,94
2.0,10:05,2.0,7.0,NWE 7,10.0,0.0,Tank Bigsby up the middle for 1 yard (tackle by Raekwon McMillan),4.76,4.04,7.0,2024,94
2.0,9:25,3.0,6.0,NWE 6,10.0,6.0,"Trevor Lawrence pass complete short middle to Brian Thomas for 6 yards, touchdown",4.04,7.0,7.0,2024,94
2.0,9:21,,,NWE 15,10.0,7.0,Cam Little kicks extra point good,0.0,0.0,7.0,2024,94
2.0,9:21,,,JAX 35,10.0,7.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,94
2.0,9:18,1.0,10.0,NWE 30,10.0,7.0,"Drake Maye pass incomplete short middle intended for Kayshon Boutte. Penalty on Montaric Brown: Defensive Pass Interference, 9 yards (accepted) (no play)",0.94,1.53,7.0,2024,94
2.0,9:17,1.0,10.0,NWE 39,10.0,7.0,Rhamondre Stevenson right tackle for -1 yards (tackle by Arik Armstead),1.53,0.85,7.0,2024,94
2.0,8:36,2.0,11.0,NWE 38,10.0,7.0,Drake Maye pass complete short left to Hunter Henry for -4 yards (tackle by Jeremiah Ledbetter and Devin Lloyd),0.85,-0.36,7.0,2024,94
2.0,7:52,3.0,15.0,NWE 34,10.0,7.0,Drake Maye pass complete short left to Jamycal Hasty for 8 yards (tackle by Yasir Abdullah),-0.36,-0.59,7.0,2024,94
2.0,7:18,4.0,7.0,NWE 42,10.0,7.0,"Bryce Baringer punts 40 yards, fair catch by Parker Washington at JAC-18",-0.59,-0.04,7.0,2024,94
2.0,7:09,1.0,10.0,JAX 18,10.0,7.0,Tank Bigsby right guard for 3 yards (tackle by Jaquelin Roy and Christian Elliss),0.04,0.01,7.0,2024,94
2.0,6:32,2.0,7.0,JAX 21,10.0,7.0,Trevor Lawrence pass complete deep middle to Brian Thomas for 58 yards (tackle by Christian Gonzalez),0.01,4.17,7.0,2024,94
2.0,5:37,1.0,10.0,NWE 21,10.0,7.0,Trevor Lawrence pass complete short left to Evan Engram for 3 yards (tackle by Keion White),4.17,4.04,7.0,2024,94
2.0,5:00,2.0,7.0,NWE 18,10.0,7.0,Tank Bigsby left tackle for 10 yards (tackle by Christian Gonzalez),4.04,5.37,7.0,2024,94
2.0,4:21,1.0,8.0,NWE 8,10.0,7.0,Tank Bigsby right guard for 7 yards (tackle by Kyle Dugger and Jonathan Jones),5.37,5.91,7.0,2024,94
2.0,3:35,2.0,1.0,NWE 1,10.0,13.0,"Tank Bigsby right guard for 1 yard, touchdown",5.91,7.0,7.0,2024,94
2.0,3:32,,,NWE 15,10.0,14.0,Cam Little kicks extra point good,0.0,0.0,7.0,2024,94
2.0,3:32,,,JAX 35,10.0,14.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,94
2.0,3:32,1.0,10.0,NWE 30,10.0,14.0,Rhamondre Stevenson left guard for 1 yard (tackle by Andre Cisco and DaVon Hamilton),0.94,0.53,7.0,2024,94
2.0,2:51,2.0,9.0,NWE 31,10.0,14.0,Drake Maye pass complete short right to K.J. Osborn for 4 yards (tackle by Ventrell Miller),0.53,0.37,7.0,2024,94
2.0,2:11,3.0,5.0,NWE 35,10.0,14.0,"Penalty on Hunter Henry: False Start, 5 yards (accepted) (no play)",0.37,-0.3,7.0,2024,94
2.0,2:00,3.0,10.0,NWE 30,10.0,14.0,Drake Maye pass incomplete deep right intended for Ja'Lynn Polk (defended by Andre Cisco),-0.3,-1.37,7.0,2024,94
2.0,1:55,4.0,10.0,NWE 30,10.0,20.0,"Bryce Baringer punts 66 yards, returned by Parker Washington for 96 yards, touchdown",-1.37,-7.0,7.0,2024,94
2.0,1:34,,,NWE 15,10.0,20.0,"Penalty on Jahlani Tavai: Neutral Zone Infraction, 1 yard (accepted) (no play)",0.0,1.0,7.0,2024,94
2.0,1:34,1.0,10.0,NWE 2,10.0,22.0,Two Point Attempt: Trevor Lawrence pass complete to to Brian Thomas for no gain,1.0,1.0,7.0,2024,94
2.0,1:34,,,JAX 35,10.0,22.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,94
2.0,1:34,1.0,10.0,NWE 30,10.0,22.0,Jamycal Hasty right tackle for -4 yards (tackle by DaVon Hamilton),0.94,-0.15,7.0,2024,94
2.0,0:59,2.0,14.0,NWE 26,10.0,22.0,Drake Maye pass incomplete short left intended for Demario Douglas,-0.15,-0.82,7.0,2024,94
2.0,0:55,3.0,14.0,NWE 26,10.0,22.0,Drake Maye pass complete short middle to Hunter Henry for 11 yards (tackle by Jarrian Jones and Andre Cisco),-0.82,-0.91,7.0,2024,94
2.0,0:50,,,,,,Timeout #2 by Jacksonville Jaguars,,,7.0,2024,94
2.0,0:50,,,,,,Timeout #1 by New England Patriots,,,7.0,2024,94
2.0,0:50,4.0,3.0,NWE 37,10.0,22.0,Bryce Baringer punts 57 yards downed by Brenden Schooler,-0.91,0.38,7.0,2024,94
2.0,0:39,1.0,10.0,JAX 6,10.0,22.0,Trevor Lawrence pass complete short middle to D'Ernest Johnson for 6 yards (tackle by Kyle Dugger),-0.38,-0.34,7.0,2024,94
3.0,15:00,,,NWE 35,10.0,22.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,94
3.0,15:00,1.0,10.0,JAX 30,10.0,22.0,Trevor Lawrence pass complete short middle to Evan Engram for 10 yards (tackle by Christian Elliss),0.94,1.6,7.0,2024,94
3.0,14:23,1.0,10.0,JAX 40,10.0,22.0,Trevor Lawrence pass incomplete short right intended for Tank Bigsby,1.6,1.05,7.0,2024,94
3.0,14:18,2.0,10.0,JAX 40,10.0,22.0,Trevor Lawrence pass complete short middle to D'Ernest Johnson for 26 yards (tackle by Kyle Dugger),1.05,3.31,7.0,2024,94
3.0,13:49,1.0,10.0,NWE 34,10.0,22.0,D'Ernest Johnson left end for -1 yards (tackle by Deatrich Wise),3.31,2.64,7.0,2024,94
3.0,13:09,2.0,11.0,NWE 35,10.0,22.0,"Trevor Lawrence pass incomplete short middle intended for Brenton Strange. Penalty on Kyle Dugger: Defensive Pass Interference, 4 yards (accepted) (no play)",2.64,3.51,7.0,2024,94
3.0,13:05,1.0,10.0,NWE 31,10.0,22.0,Tank Bigsby left guard for 9 yards (tackle by Kyle Dugger),3.51,4.18,7.0,2024,94
3.0,12:38,2.0,1.0,NWE 22,10.0,22.0,Tank Bigsby left end for 3 yards (tackle by Anfernee Jennings),4.18,4.31,7.0,2024,94
3.0,11:55,1.0,10.0,NWE 19,10.0,22.0,Tank Bigsby left tackle for 3 yards (tackle by Ochaun Mathis),4.31,4.18,7.0,2024,94
3.0,11:17,2.0,7.0,NWE 16,10.0,22.0,D'Ernest Johnson right guard for 9 yards (tackle by Christian Elliss and Jahlani Tavai),4.18,5.6,7.0,2024,94
3.0,10:37,1.0,7.0,NWE 7,10.0,22.0,Trevor Lawrence pass incomplete short middle intended for Gabriel Davis,5.6,4.76,7.0,2024,94
3.0,10:30,2.0,7.0,NWE 7,10.0,22.0,D'Ernest Johnson left end for 4 yards (tackle by Christian Gonzalez and Jahlani Tavai),4.76,4.72,7.0,2024,94
3.0,9:50,3.0,3.0,NWE 3,10.0,22.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk (defended by Marcus Jones),4.72,3.04,7.0,2024,94
3.0,9:45,4.0,3.0,NWE 3,10.0,25.0,Cam Little 21 yard field goal good,3.04,3.0,7.0,2024,94
3.0,9:42,,,JAX 35,10.0,25.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,94
3.0,9:42,1.0,10.0,NWE 30,10.0,25.0,Rhamondre Stevenson left guard for 3 yards (tackle by Travon Walker and DaVon Hamilton),0.94,0.8,7.0,2024,94
3.0,9:10,2.0,7.0,NWE 33,10.0,25.0,Drake Maye pass complete short middle to Austin Hooper for 7 yards (tackle by Ventrell Miller),0.8,1.6,7.0,2024,94
3.0,8:32,1.0,10.0,NWE 40,10.0,25.0,Drake Maye pass incomplete short middle intended for Ja'Lynn Polk (defended by Jarrian Jones),1.6,1.05,7.0,2024,94
3.0,8:26,2.0,10.0,NWE 40,10.0,25.0,Drake Maye pass complete short right to Rhamondre Stevenson for 4 yards (tackle by Chad Muma),1.05,0.89,7.0,2024,94
3.0,7:47,3.0,6.0,NWE 44,10.0,25.0,Drake Maye pass incomplete short right intended for K.J. Osborn (defended by Tyson Campbell),0.89,-0.46,7.0,2024,94
3.0,7:41,4.0,6.0,NWE 44,10.0,25.0,"Bryce Baringer punts 46 yards, fair catch by Parker Washington at JAC-10",-0.46,0.38,7.0,2024,94
3.0,7:34,1.0,10.0,JAX 10,10.0,25.0,Tank Bigsby right guard for 1 yard (tackle by Kyle Dugger),-0.38,-0.71,7.0,2024,94
3.0,6:53,2.0,9.0,JAX 11,10.0,25.0,Trevor Lawrence pass complete short right to Brian Thomas for 13 yards (tackle by Christian Gonzalez),-0.71,0.54,7.0,2024,94
3.0,6:14,1.0,10.0,JAX 24,10.0,25.0,D'Ernest Johnson right guard for -1 yards (tackle by Anfernee Jennings),0.54,-0.14,7.0,2024,94
3.0,5:36,2.0,11.0,JAX 23,10.0,25.0,Trevor Lawrence pass complete short left to Brian Thomas for 7 yards (tackle by Kyle Dugger),-0.14,0.1,7.0,2024,94
3.0,4:50,3.0,4.0,JAX 30,10.0,25.0,Trevor Lawrence pass complete short right to Brian Thomas for 5 yards (tackle by Marco Wilson and Kyle Dugger),0.1,1.27,7.0,2024,94
3.0,4:10,1.0,10.0,JAX 35,10.0,25.0,Brian Thomas left end for 1 yard (tackle by Keion White),1.27,0.86,7.0,2024,94
3.0,3:30,2.0,9.0,JAX 36,10.0,25.0,Trevor Lawrence pass complete short right to Evan Engram for 1 yard (tackle by Kyle Dugger),0.86,0.3,7.0,2024,94
3.0,2:46,3.0,8.0,JAX 37,10.0,25.0,Trevor Lawrence scrambles left end for 11 yards (tackle by Marte Mapu),0.3,2.13,7.0,2024,94
3.0,2:01,1.0,10.0,JAX 48,10.0,25.0,Tank Bigsby right guard for 12 yards (tackle by Jaylinn Hawkins),2.13,2.92,7.0,2024,94
3.0,1:18,1.0,10.0,NWE 40,10.0,25.0,Tank Bigsby left guard for 12 yards (tackle by Christian Gonzalez and Jahlani Tavai),2.92,3.71,7.0,2024,94
3.0,0:43,1.0,10.0,NWE 28,10.0,25.0,Tank Bigsby right guard for 5 yards (tackle by Jaquelin Roy),3.71,3.84,7.0,2024,94
4.0,15:00,2.0,5.0,NWE 23,10.0,25.0,D'Ernest Johnson left tackle for 3 yards (tackle by Daniel Ekuale and Jahlani Tavai),3.84,3.53,7.0,2024,94
4.0,14:21,3.0,2.0,NWE 20,10.0,25.0,Tank Bigsby left guard for 5 yards (tackle by Davon Godchaux and Keion White),3.53,4.58,7.0,2024,94
4.0,13:33,1.0,10.0,NWE 15,10.0,25.0,Tank Bigsby left guard for 6 yards (tackle by Christian Elliss),4.58,5.03,7.0,2024,94
4.0,12:46,2.0,4.0,NWE 9,10.0,25.0,Tank Bigsby left guard for 2 yards (tackle by Raekwon McMillan and Jahlani Tavai),5.03,4.68,7.0,2024,94
4.0,12:01,3.0,2.0,NWE 7,10.0,25.0,Tank Bigsby left tackle for 1 yard (tackle by Keion White and Marte Mapu),4.68,3.02,7.0,2024,94
4.0,11:18,4.0,1.0,NWE 6,10.0,25.0,Tank Bigsby up the middle for no gain (tackle by Jaquelin Roy and Raekwon McMillan),3.02,0.38,7.0,2024,94
4.0,11:10,1.0,10.0,NWE 6,10.0,25.0,Drake Maye pass complete short right to Hunter Henry for 5 yards (tackle by Ventrell Miller and Ronald Darby),-0.38,-0.42,7.0,2024,94
4.0,10:46,2.0,5.0,NWE 11,10.0,25.0,Drake Maye pass complete short right to Austin Hooper for 5 yards (tackle by Darnell Savage),-0.42,-0.14,7.0,2024,94
4.0,10:16,1.0,10.0,NWE 16,10.0,25.0,Drake Maye pass incomplete deep right intended for Kayshon Boutte,-0.14,-0.66,7.0,2024,94
4.0,10:10,2.0,10.0,NWE 16,10.0,25.0,Jamycal Hasty right tackle for 2 yards (tackle by DaVon Hamilton and Josh Hines-Allen),-0.66,-1.07,7.0,2024,94
4.0,9:34,3.0,8.0,NWE 18,10.0,25.0,Drake Maye pass complete deep middle to Hunter Henry for 32 yards (tackle by Andre Cisco and Darnell Savage),-1.07,2.26,7.0,2024,94
4.0,9:02,1.0,10.0,NWE 50,10.0,25.0,Drake Maye pass complete deep left to Kayshon Boutte for 33 yards (tackle by Montaric Brown),2.26,4.44,7.0,2024,94
4.0,8:40,1.0,10.0,JAX 17,10.0,25.0,Drake Maye pass incomplete short left,4.44,3.85,7.0,2024,94
4.0,8:31,2.0,10.0,JAX 17,10.0,25.0,Drake Maye pass incomplete short left intended for Austin Hooper,3.85,3.07,7.0,2024,94
4.0,8:27,3.0,10.0,JAX 17,10.0,25.0,"Penalty on Michael Onwenu: False Start, 5 yards (accepted) (no play)",3.07,2.54,7.0,2024,94
4.0,8:27,3.0,15.0,JAX 22,16.0,25.0,"Drake Maye pass complete deep middle to K.J. Osborn for 22 yards, touchdown",2.54,7.0,7.0,2024,94
4.0,8:22,,,JAX 2,16.0,25.0,Two Point Attempt: Drake Maye pass incomplete,1.0,-1.0,7.0,2024,94
4.0,8:22,,,NWE 35,16.0,25.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,94
4.0,8:22,1.0,10.0,JAX 30,16.0,25.0,Tank Bigsby left tackle for 4 yards (tackle by Jaquelin Roy),0.94,0.93,7.0,2024,94
4.0,7:45,2.0,6.0,JAX 34,16.0,25.0,Tank Bigsby left tackle for 5 yards (tackle by Daniel Ekuale),0.93,0.89,7.0,2024,94
4.0,7:06,3.0,1.0,JAX 39,16.0,25.0,Trevor Lawrence up the middle for 2 yards (tackle by Jaquelin Roy),0.89,1.66,7.0,2024,94
4.0,6:26,1.0,10.0,JAX 41,16.0,25.0,D'Ernest Johnson right tackle for 9 yards (tackle by Anfernee Jennings),1.66,2.34,7.0,2024,94
4.0,5:44,2.0,1.0,JAX 50,16.0,25.0,D'Ernest Johnson right tackle for 3 yards (tackle by Eric Johnson and Jahlani Tavai),2.34,2.46,7.0,2024,94
4.0,4:59,1.0,10.0,NWE 47,16.0,25.0,D'Ernest Johnson left guard for 2 yards (tackle by Christian Elliss),2.46,2.18,7.0,2024,94
4.0,4:51,,,,,,Timeout #1 by New England Patriots,,,7.0,2024,94
4.0,4:51,2.0,8.0,NWE 45,16.0,25.0,Tank Bigsby right tackle for 1 yard (tackle by Anfernee Jennings and Eric Johnson),2.18,1.62,7.0,2024,94
4.0,4:10,3.0,7.0,NWE 44,16.0,25.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,1.62,0.33,7.0,2024,94
4.0,4:05,4.0,7.0,NWE 44,16.0,25.0,Logan Cooke punts 32 yards out of bounds,0.33,0.35,7.0,2024,94
4.0,3:58,1.0,10.0,NWE 12,16.0,25.0,Drake Maye pass complete short left to Kendrick Bourne for 14 yards (tackle by Tyson Campbell),-0.35,0.67,7.0,2024,94
4.0,3:38,1.0,10.0,NWE 26,16.0,25.0,Drake Maye pass complete short middle to Jamycal Hasty for 7 yards (tackle by Devin Lloyd and Antonio Johnson),0.67,1.07,7.0,2024,94
4.0,3:16,2.0,3.0,NWE 33,16.0,25.0,Drake Maye scrambles up the middle for 1 yard (tackle by Yasir Abdullah),1.07,0.5,7.0,2024,94
4.0,2:52,3.0,2.0,NWE 34,16.0,25.0,"Drake Maye pass incomplete short left intended for Hunter Henry. Penalty on Demontrey Jacobs: Offensive Holding, 10 yards (accepted) (no play)",0.5,-0.82,7.0,2024,94
4.0,2:42,3.0,12.0,NWE 24,16.0,25.0,Drake Maye sacked by Travon Walker for -14 yards,-0.82,-2.49,7.0,2024,94
4.0,2:00,,,,,,Timeout #1 by Jacksonville Jaguars,,,7.0,2024,94
4.0,2:00,4.0,26.0,NWE 10,16.0,25.0,Drake Maye pass incomplete deep middle intended for Hunter Henry,-2.49,-4.91,7.0,2024,94
4.0,1:54,1.0,10.0,NWE 10,16.0,25.0,Tank Bigsby left tackle for 4 yards (tackle by Christian Elliss),4.91,4.95,7.0,2024,94
4.0,1:49,,,,,,Timeout #2 by New England Patriots,,,7.0,2024,94
4.0,1:49,2.0,6.0,NWE 6,16.0,25.0,Tank Bigsby up the middle for 2 yards (tackle by Daniel Ekuale and Christian Elliss),4.95,4.49,7.0,2024,94
4.0,1:45,,,,,,Timeout #3 by New England Patriots,,,7.0,2024,94
4.0,1:45,3.0,4.0,NWE 4,16.0,31.0,"Tank Bigsby left guard for 4 yards, touchdown",4.49,7.0,7.0,2024,94
4.0,1:41,,,NWE 15,16.0,32.0,Cam Little kicks extra point good,0.0,0.0,7.0,2024,94
4.0,1:41,,,JAX 35,16.0,32.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,94
4.0,1:41,1.0,10.0,NWE 30,16.0,32.0,Drake Maye pass complete short left to Austin Hooper for 9 yards (tackle by Jarrian Jones),0.94,1.61,7.0,2024,94
4.0,1:20,2.0,1.0,NWE 39,16.0,32.0,Drake Maye pass complete short middle to Jamycal Hasty for 11 yards (tackle by Devin Lloyd),1.61,2.26,7.0,2024,94
4.0,0:58,1.0,10.0,NWE 50,16.0,32.0,Drake Maye pass complete short middle to Austin Hooper for 11 yards (tackle by Tyson Campbell and Devin Lloyd),2.26,2.98,7.0,2024,94
4.0,0:35,1.0,10.0,JAX 39,16.0,32.0,Drake Maye pass complete short right to Jamycal Hasty for 7 yards (tackle by Devin Lloyd),2.98,3.39,7.0,2024,94
4.0,0:17,2.0,3.0,JAX 32,16.0,32.0,"Penalty on NWE: False Start, 5 yards (accepted) (no play)",3.39,2.68,7.0,2024,94
