Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA,week,year,game_id
3.0,12:19,1.0,10.0,ARI 38,6.0,7.0,"Justin Herbert pass complete short left to Jalen Reagor for no gain (tackle by Zaven Collins). Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",3.05,2.39,7.0,2024,107
3.0,12:03,1.0,20.0,ARI 48,6.0,7.0,Justin Herbert pass incomplete short right intended for Ladd McConkey,2.39,1.16,7.0,2024,107
3.0,11:59,2.0,20.0,ARI 48,6.0,7.0,Justin Herbert sacked by Naquan Jones for -8 yards,1.16,-0.56,7.0,2024,107
3.0,11:15,3.0,28.0,LAC 44,6.0,7.0,Justin Herbert pass complete short right to J.K. Dobbins for 10 yards (tackle by Budda Baker),-0.56,0.2,7.0,2024,107
3.0,10:34,4.0,18.0,ARI 46,6.0,7.0,JK Scott punts 39 yards downed by Troy Dye,0.2,0.38,7.0,2024,107
3.0,10:25,1.0,10.0,ARI 7,6.0,7.0,James Conner up the middle for 4 yards (tackle by Otito Ogbonnia and Poona Ford),-0.38,-0.49,7.0,2024,107
3.0,9:45,2.0,6.0,ARI 11,6.0,7.0,Kyler Murray pass incomplete short right intended for Marvin Harrison,-0.49,-0.95,7.0,2024,107
3.0,9:40,3.0,6.0,ARI 11,6.0,7.0,"Kyler Murray pass incomplete deep right intended for Michael Wilson. Penalty on Cam Hart: Defensive Pass Interference, 22 yards (accepted) (no play)",-0.95,1.14,7.0,2024,107
3.0,9:35,1.0,10.0,ARI 33,6.0,7.0,James Conner right end for no gain (tackle by Elijah Molden),1.14,0.59,7.0,2024,107
3.0,8:52,2.0,10.0,ARI 33,6.0,7.0,James Conner left tackle for 13 yards (tackle by Derwin James),0.59,1.99,7.0,2024,107
3.0,8:10,1.0,10.0,ARI 46,6.0,7.0,Kyler Murray pass complete short right to Elijah Higgins for 1 yard (tackle by Daiyan Henley),1.99,1.59,7.0,2024,107
3.0,7:21,2.0,9.0,ARI 47,6.0,7.0,"Penalty on Kyler Murray: Delay of Game, 5 yards (accepted) (no play)",1.59,0.91,7.0,2024,107
3.0,7:04,2.0,14.0,ARI 42,6.0,7.0,James Conner left end for 13 yards (tackle by Alohi Gilman),0.91,1.95,7.0,2024,107
3.0,6:50,3.0,1.0,LAC 45,6.0,7.0,Clayton Tune up the middle for no gain (tackle by Daiyan Henley),1.95,0.27,7.0,2024,107
3.0,6:10,4.0,1.0,LAC 45,6.0,7.0,Clayton Tune up the middle for no gain (tackle by Otito Ogbonnia and Khalil Mack),0.27,-1.93,7.0,2024,107
3.0,6:06,1.0,10.0,LAC 45,6.0,7.0,J.K. Dobbins left tackle for 2 yards (tackle by Naquan Jones),1.93,1.65,7.0,2024,107
3.0,5:24,2.0,8.0,LAC 47,6.0,7.0,Justin Herbert pass incomplete short right,1.65,0.96,7.0,2024,107
3.0,5:15,3.0,8.0,LAC 47,6.0,7.0,Justin Herbert pass complete deep right to Simi Fehoko for 25 yards (tackle by Garrett Williams),0.96,3.71,7.0,2024,107
3.0,4:27,1.0,10.0,ARI 28,6.0,7.0,"Penalty on Joe Alt: False Start, 5 yards (accepted) (no play)",3.71,3.38,7.0,2024,107
3.0,4:07,1.0,15.0,ARI 33,6.0,7.0,J.K. Dobbins left tackle for 2 yards (tackle by Jesse Luketa and Khyiris Tonga),3.38,2.76,7.0,2024,107
3.0,3:27,2.0,13.0,ARI 31,6.0,7.0,Justin Herbert pass complete short right to Ladd McConkey for 6 yards (tackle by Max Melton),2.76,2.87,7.0,2024,107
3.0,2:56,3.0,7.0,ARI 25,6.0,7.0,Justin Herbert pass complete short right to J.K. Dobbins for 14 yards (tackle by Max Melton),2.87,4.84,7.0,2024,107
3.0,2:12,,,,,,Timeout #1 by Los Angeles Chargers,,,7.0,2024,107
3.0,2:12,1.0,10.0,ARI 11,6.0,7.0,Kimani Vidal up the middle for 2 yards (tackle by Zaven Collins),4.84,4.51,7.0,2024,107
3.0,1:31,2.0,8.0,ARI 9,6.0,7.0,Justin Herbert sacked by Dante Stills for -1 yards,4.51,3.3,7.0,2024,107
3.0,0:48,3.0,9.0,ARI 10,6.0,7.0,Justin Herbert pass incomplete short middle intended for Will Dissly (defended by Garrett Williams),3.3,2.76,7.0,2024,107
3.0,0:43,4.0,9.0,ARI 10,9.0,7.0,Cameron Dicker 28 yard field goal good,2.76,3.0,7.0,2024,107
3.0,0:40,,,LAC 35,9.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,107
3.0,0:40,1.0,10.0,ARI 30,9.0,7.0,Kyler Murray pass complete short middle to Michael Wilson for 15 yards (tackle by Denzel Perryman),0.94,1.93,7.0,2024,107
3.0,0:01,1.0,10.0,ARI 45,9.0,7.0,James Conner right tackle for 1 yard (tackle by Bud Dupree and Khalil Mack),1.93,1.52,7.0,2024,107
4.0,15:00,2.0,9.0,ARI 46,9.0,7.0,Kyler Murray pass complete short left to Marvin Harrison for 10 yards (tackle by Alohi Gilman),1.52,2.65,7.0,2024,107
4.0,14:26,1.0,10.0,LAC 44,9.0,13.0,"Kyler Murray scrambles left end for 44 yards, touchdown",2.65,7.0,7.0,2024,107
4.0,14:14,,,LAC 15,9.0,14.0,Chad Ryland kicks extra point good,0.0,0.0,7.0,2024,107
4.0,14:14,,,ARI 35,9.0,14.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,107
4.0,14:14,1.0,10.0,LAC 30,9.0,14.0,Justin Herbert pass complete short right to Ladd McConkey for 3 yards. Ladd McConkey fumbles (tackle by Kyzir White. Ladd McConkey fumbles out of bounds,0.94,0.8,7.0,2024,107
4.0,13:38,2.0,7.0,LAC 33,9.0,14.0,Justin Herbert pass complete deep right to Stone Smartt for 31 yards (tackle by Jalen Thompson),0.8,3.18,7.0,2024,107
4.0,12:59,1.0,10.0,ARI 36,9.0,14.0,Justin Herbert pass incomplete deep right intended for Stone Smartt,3.18,2.64,7.0,2024,107
4.0,12:54,2.0,10.0,ARI 36,9.0,14.0,Justin Herbert pass incomplete deep right intended for Will Dissly,2.64,1.95,7.0,2024,107
4.0,12:48,3.0,10.0,ARI 36,9.0,14.0,Justin Herbert pass complete short right to Eric Tomlinson for 7 yards (tackle by Krys Barnes and Budda Baker),1.95,1.58,7.0,2024,107
4.0,12:13,4.0,3.0,ARI 29,12.0,14.0,Cameron Dicker 47 yard field goal good,1.58,3.0,7.0,2024,107
4.0,12:09,,,LAC 35,12.0,14.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,107
4.0,12:09,1.0,10.0,ARI 30,12.0,14.0,Kyler Murray pass complete short left to Trey McBride for 12 yards (tackle by Cam Hart),0.94,1.73,7.0,2024,107
4.0,11:41,1.0,10.0,ARI 42,12.0,14.0,James Conner left end for 6 yards (tackle by Daiyan Henley),1.73,2.0,7.0,2024,107
4.0,11:03,2.0,4.0,ARI 48,12.0,14.0,James Conner right tackle for 7 yards (tackle by Otito Ogbonnia and Denzel Perryman),2.0,2.59,7.0,2024,107
4.0,10:27,1.0,10.0,LAC 45,12.0,14.0,Kyler Murray pass incomplete short right intended for Marvin Harrison (defended by Cam Hart),2.59,2.04,7.0,2024,107
4.0,10:22,2.0,10.0,LAC 45,12.0,14.0,Kyler Murray pass incomplete short middle intended for Zay Jones,2.04,1.36,7.0,2024,107
4.0,10:18,3.0,10.0,LAC 45,12.0,14.0,Kyler Murray pass incomplete short left intended for Michael Wilson,1.36,0.27,7.0,2024,107
4.0,10:13,4.0,10.0,LAC 45,12.0,14.0,Blake Gillikin punts 44 yards downed by Joey Blount,0.27,0.38,7.0,2024,107
4.0,10:06,1.0,10.0,LAC 1,12.0,14.0,Justin Herbert pass complete short right to Ladd McConkey for 12 yards (tackle by Max Melton),-0.38,-0.32,7.0,2024,107
4.0,9:35,1.0,10.0,LAC 13,12.0,14.0,J.K. Dobbins left tackle for 1 yard (tackle by Kyzir White),-0.32,-0.68,7.0,2024,107
4.0,8:58,2.0,9.0,LAC 14,12.0,14.0,Justin Herbert pass incomplete short right intended for Will Dissly,-0.68,-1.3,7.0,2024,107
4.0,8:53,3.0,9.0,LAC 14,12.0,14.0,Justin Herbert pass complete short right to Will Dissly for 10 yards (tackle by Max Melton),-1.3,0.54,7.0,2024,107
4.0,8:16,1.0,10.0,LAC 24,12.0,14.0,Justin Herbert pass complete short middle to Will Dissly for 12 yards (tackle by Budda Baker),0.54,1.33,7.0,2024,107
4.0,7:49,1.0,10.0,LAC 36,12.0,14.0,Justin Herbert pass complete short left to Ladd McConkey for 4 yards (tackle by Garrett Williams),1.33,1.33,7.0,2024,107
4.0,7:10,2.0,6.0,LAC 40,12.0,14.0,Justin Herbert pass complete short middle to Ladd McConkey for 21 yards (tackle by Starling Thomas and Jalen Thompson),1.33,2.98,7.0,2024,107
4.0,6:28,1.0,10.0,ARI 39,12.0,14.0,Justin Herbert pass complete short right to Josh Palmer for 9 yards (tackle by Max Melton),2.98,3.66,7.0,2024,107
4.0,5:45,2.0,1.0,ARI 30,12.0,14.0,J.K. Dobbins up the middle for no gain (tackle by Jesse Luketa),3.66,2.94,7.0,2024,107
4.0,5:06,3.0,1.0,ARI 30,12.0,14.0,Hassan Haskins left tackle for no gain (tackle by Kyzir White and Mack Wilson),2.94,1.52,7.0,2024,107
4.0,4:11,4.0,1.0,ARI 30,12.0,14.0,Hassan Haskins up the middle for 2 yards (tackle by Jesse Luketa),1.52,3.71,7.0,2024,107
4.0,3:32,1.0,10.0,ARI 28,12.0,14.0,J.K. Dobbins right end for 2 yards (tackle by Budda Baker),3.71,3.44,7.0,2024,107
4.0,2:49,2.0,8.0,ARI 26,12.0,14.0,Justin Herbert scrambles right end for 4 yards (tackle by Kyzir White),3.44,3.27,7.0,2024,107
4.0,2:03,3.0,4.0,ARI 22,12.0,14.0,Justin Herbert pass incomplete deep right intended for Simi Fehoko,3.27,2.07,7.0,2024,107
4.0,1:58,4.0,4.0,ARI 22,15.0,14.0,Cameron Dicker 40 yard field goal good,2.07,3.0,7.0,2024,107
4.0,1:54,,,LAC 35,15.0,14.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,107
4.0,1:54,1.0,10.0,ARI 30,15.0,14.0,Kyler Murray pass incomplete short left intended for Michael Wilson,0.94,0.39,7.0,2024,107
4.0,1:51,2.0,10.0,ARI 30,15.0,14.0,"Kyler Murray pass incomplete short right intended for Marvin Harrison. Penalty on Cam Hart: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.39,1.93,7.0,2024,107
4.0,1:45,1.0,10.0,ARI 45,15.0,14.0,Kyler Murray pass complete short middle to James Conner for 33 yards (tackle by Derwin James),1.93,4.11,7.0,2024,107
4.0,1:34,1.0,10.0,LAC 22,15.0,14.0,James Conner right tackle for 5 yards (tackle by Derwin James),4.11,4.29,7.0,2024,107
4.0,1:29,,,,,,Timeout #2 by Los Angeles Chargers,,,7.0,2024,107
4.0,1:29,2.0,5.0,LAC 17,15.0,14.0,James Conner left tackle for 6 yards (tackle by Junior Colson and Cam Hart),4.29,4.84,7.0,2024,107
4.0,1:19,,,,,,Timeout #3 by Los Angeles Chargers,,,7.0,2024,107
4.0,1:19,1.0,10.0,LAC 11,15.0,14.0,Kyler Murray kneels for -1 yards,4.84,3.98,7.0,2024,107
4.0,0:37,,,,,,Timeout #1 by Arizona Cardinals,,,7.0,2024,107
4.0,0:37,2.0,11.0,LAC 12,15.0,14.0,Kyler Murray kneels for -2 yards,3.98,3.03,7.0,2024,107
4.0,0:02,,,,,,Timeout #2 by Arizona Cardinals,,,7.0,2024,107
4.0,0:02,3.0,13.0,LAC 14,15.0,17.0,Chad Ryland 32 yard field goal good,3.03,3.0,7.0,2024,107
