Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA,week,year,game_id
1.0,7:35,3.0,4.0,SFO 26,0.0,0.0,Patrick Mahomes scrambles right tackle for 7 yards (tackle by Fred Warner),3.01,4.31,7.0,2024,104
1.0,6:56,1.0,10.0,SFO 19,0.0,0.0,Patrick Mahomes sacked by and Nick Bosa for -5 yards and Leonard Floyd for -5 yards,4.31,3.09,7.0,2024,104
1.0,6:15,2.0,15.0,SFO 24,0.0,0.0,Patrick Mahomes pass short right intended for Jody Fortson is intercepted by Kalia Davis at SF-30 and returned for 2 yards (tackle by Jawaan Taylor),3.09,-1.07,7.0,2024,104
1.0,6:11,1.0,10.0,SFO 32,0.0,0.0,Brock Purdy pass complete short right to Brandon Aiyuk for 8 yards (tackle by Drue Tranquill),1.07,1.61,7.0,2024,104
1.0,5:35,2.0,2.0,SFO 40,0.0,0.0,Jordan Mason left guard for 1 yard (tackle by Derrick Nnadi and Nick Bolton),1.61,1.03,7.0,2024,104
1.0,5:00,3.0,1.0,SFO 41,0.0,0.0,Jordan Mason left guard for no gain (tackle by Leo Chenal and George Karlaftis),1.03,-0.65,7.0,2024,104
1.0,4:18,4.0,1.0,SFO 41,0.0,0.0,"Mitch Wishnowsky punts 51 yards, fair catch by Mecole Hardman at KC-8",-0.65,0.38,7.0,2024,104
1.0,4:10,1.0,10.0,KAN 8,0.0,0.0,Kareem Hunt right guard for 5 yards (tackle by Deommodore Lenoir),-0.38,-0.41,7.0,2024,104
1.0,3:37,2.0,5.0,KAN 13,0.0,0.0,Kareem Hunt left end for 2 yards (tackle by Malik Mustapha),-0.41,-0.6,7.0,2024,104
1.0,2:52,3.0,3.0,KAN 15,0.0,0.0,Patrick Mahomes sacked by and Maliek Collins for -4 yards and Leonard Floyd for -4 yards,-0.6,-2.49,7.0,2024,104
1.0,2:13,4.0,7.0,KAN 11,0.0,0.0,"Matt Araiza punts 48 yards, fair catch by Jacob Cowing at SF-41",-2.49,-1.66,7.0,2024,104
1.0,2:05,1.0,10.0,SFO 41,0.0,0.0,"Brock Purdy pass incomplete short right intended for George Kittle. Penalty on Justin Reid: Defensive Pass Interference, 18 yards (accepted) (no play)",1.66,2.85,7.0,2024,104
1.0,1:59,1.0,10.0,KAN 41,0.0,0.0,Brock Purdy pass incomplete short left intended for Brandon Aiyuk (defended by Nick Bolton),2.85,2.31,7.0,2024,104
1.0,1:55,2.0,10.0,KAN 41,0.0,0.0,Jordan Mason up the middle for 4 yards (tackle by Malik Herring and Justin Reid),2.31,2.15,7.0,2024,104
1.0,1:15,3.0,6.0,KAN 37,0.0,0.0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,2.15,0.79,7.0,2024,104
1.0,1:11,4.0,6.0,KAN 37,0.0,3.0,Anders Carlson 55 yard field goal good,0.79,3.0,7.0,2024,104
1.0,1:06,,,SFO 35,0.0,3.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,104
1.0,1:06,1.0,10.0,KAN 30,0.0,3.0,Patrick Mahomes pass complete short right to Noah Gray for 11 yards (tackle by Dee Winters),0.94,1.66,7.0,2024,104
1.0,0:36,1.0,10.0,KAN 41,0.0,3.0,Patrick Mahomes pass complete deep middle to Noah Gray for 20 yards (tackle by Ji'Ayir Brown),1.66,2.98,7.0,2024,104
2.0,15:00,1.0,10.0,SFO 39,0.0,3.0,Mecole Hardman right end for 20 yards (tackle by Malik Mustapha and Ji'Ayir Brown),2.98,4.31,7.0,2024,104
2.0,14:22,1.0,10.0,SFO 19,0.0,3.0,Kareem Hunt right guard for no gain (tackle by Sam Okuayinonu),4.31,3.75,7.0,2024,104
2.0,13:45,2.0,10.0,SFO 19,0.0,3.0,"Patrick Mahomes pass complete short right to Kareem Hunt for no gain (tackle by Dee Winters). Penalty on Nick Bosa: Defensive Offside, 6 yards (accepted) (no play)",3.75,4.72,7.0,2024,104
2.0,13:22,2.0,4.0,SFO 13,0.0,3.0,Patrick Mahomes pass complete short middle to Xavier Worthy for 5 yards (tackle by Malik Mustapha),4.72,5.37,7.0,2024,104
2.0,12:43,1.0,8.0,SFO 8,0.0,3.0,"Kareem Hunt left tackle for no gain (tackle by Jordan Elliott and Fred Warner). Penalty on Kevin Givens: Defensive Offside, 4 yards (accepted) (no play)",5.37,6.28,7.0,2024,104
2.0,12:31,1.0,4.0,SFO 4,0.0,3.0,Kareem Hunt right tackle for 3 yards (tackle by Fred Warner and Malik Mustapha),6.28,5.91,7.0,2024,104
2.0,11:52,2.0,1.0,SFO 1,0.0,3.0,Penalty on SFO: Defensive Too Many Men on Field (accepted) (no play),5.91,5.91,7.0,2024,104
2.0,11:28,2.0,1.0,SFO 1,6.0,3.0,"Kareem Hunt right guard for 1 yard, touchdown",5.91,7.0,7.0,2024,104
2.0,11:24,,,SFO 15,7.0,3.0,Harrison Butker kicks extra point good,0.0,0.0,7.0,2024,104
2.0,11:24,,,KAN 35,7.0,3.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,104
2.0,11:24,1.0,10.0,SFO 30,7.0,3.0,Brock Purdy pass complete short left to George Kittle for 8 yards (tackle by Jaylen Watson),0.94,1.47,7.0,2024,104
2.0,10:47,2.0,2.0,SFO 38,7.0,3.0,Brock Purdy pass incomplete short right intended for Kyle Juszczyk,1.47,0.76,7.0,2024,104
2.0,10:42,3.0,2.0,SFO 38,7.0,3.0,Brock Purdy pass incomplete deep right intended for Brandon Aiyuk,0.76,-0.85,7.0,2024,104
2.0,10:36,4.0,2.0,SFO 38,7.0,3.0,"Mitch Wishnowsky punts 47 yards, returned by Mecole Hardman for 55 yards (tackle by George Odum)",-0.85,-3.58,7.0,2024,104
2.0,10:21,1.0,10.0,SFO 30,7.0,3.0,Patrick Mahomes pass complete short left to Travis Kelce for 5 yards (tackle by De'Vondre Campbell),3.58,3.71,7.0,2024,104
2.0,9:47,2.0,5.0,SFO 25,7.0,3.0,Patrick Mahomes pass incomplete short left,3.71,3.01,7.0,2024,104
2.0,9:42,3.0,5.0,SFO 25,7.0,3.0,Patrick Mahomes pass complete short middle to Xavier Worthy for 8 yards (tackle by Deommodore Lenoir),3.01,4.44,7.0,2024,104
2.0,9:01,1.0,10.0,SFO 17,7.0,3.0,Xavier Worthy left end for 5 yards (tackle by Malik Mustapha),4.44,4.69,7.0,2024,104
2.0,8:23,2.0,5.0,SFO 12,7.0,3.0,Kareem Hunt up the middle for 3 yards (tackle by De'Vondre Campbell and Leonard Floyd),4.69,4.57,7.0,2024,104
2.0,7:35,,,,,,Timeout #1 by Kansas City Chiefs,,,7.0,2024,104
2.0,7:35,3.0,2.0,SFO 9,7.0,3.0,Patrick Mahomes pass complete short right to Kareem Hunt for 3 yards (tackle by Nick Bosa),4.57,5.83,7.0,2024,104
2.0,6:53,1.0,6.0,SFO 6,13.0,3.0,"Kareem Hunt right guard for 6 yards, touchdown",5.83,7.0,7.0,2024,104
2.0,6:45,,,SFO 15,14.0,3.0,Harrison Butker kicks extra point good,0.0,0.0,7.0,2024,104
2.0,6:45,,,KAN 35,14.0,3.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,104
2.0,6:45,1.0,10.0,SFO 30,14.0,3.0,"Jordan Mason left tackle for no gain (tackle by Justin Reid). Penalty on Trent Williams: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,7.0,2024,104
2.0,6:19,1.0,20.0,SFO 20,14.0,3.0,Brock Purdy pass complete deep middle to George Kittle for 22 yards (tackle by Chamarri Conner),0.28,1.73,7.0,2024,104
2.0,5:37,1.0,10.0,SFO 42,14.0,3.0,Isaac Guerendo left end for 2 yards (tackle by Nick Bolton),1.73,1.46,7.0,2024,104
2.0,4:57,2.0,8.0,SFO 44,14.0,3.0,Brock Purdy sacked by George Karlaftis for -3 yards,1.46,0.37,7.0,2024,104
2.0,4:11,3.0,11.0,SFO 41,14.0,3.0,Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk,0.37,-0.65,7.0,2024,104
2.0,4:08,4.0,11.0,SFO 41,14.0,3.0,"Mitch Wishnowsky punts 45 yards, fair catch by Mecole Hardman at KC-14",-0.65,0.28,7.0,2024,104
2.0,4:00,1.0,10.0,KAN 14,14.0,3.0,Kareem Hunt up the middle for 6 yards (tackle by Fred Warner and Malik Mustapha),-0.28,0.15,7.0,2024,104
2.0,3:26,2.0,4.0,KAN 20,14.0,3.0,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Maliek Collins),0.15,0.61,7.0,2024,104
2.0,2:43,1.0,10.0,KAN 25,14.0,3.0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,0.61,0.06,7.0,2024,104
2.0,2:38,2.0,10.0,KAN 25,14.0,3.0,Carson Steele up the middle for 2 yards (tackle by Charvarius Ward and Fred Warner),0.06,-0.36,7.0,2024,104
2.0,2:00,3.0,8.0,KAN 27,14.0,3.0,Patrick Mahomes pass incomplete short right,-0.36,-1.57,7.0,2024,104
2.0,1:55,4.0,8.0,KAN 27,14.0,3.0,"Matt Araiza punts 64 yards, returned by Jacob Cowing for 11 yards (tackle by Jaden Hicks). Penalty on George Odum: Offensive Holding, 10 yards (accepted)",-1.57,0.38,7.0,2024,104
2.0,1:39,1.0,10.0,SFO 10,14.0,3.0,"Brock Purdy pass incomplete short left intended for Brandon Aiyuk. Penalty on Trent McDuffie: Defensive Pass Interference, 10 yards (accepted) (no play)",-0.38,0.28,7.0,2024,104
2.0,1:36,1.0,10.0,SFO 20,14.0,3.0,Brock Purdy pass incomplete short middle intended for Ricky Pearsall,0.28,-0.27,7.0,2024,104
2.0,1:32,2.0,10.0,SFO 20,14.0,3.0,Brock Purdy pass complete short right to Ricky Pearsall for 6 yards (tackle by Bryan Cook),-0.27,-0.16,7.0,2024,104
2.0,1:24,,,,,,Timeout #2 by Kansas City Chiefs,,,7.0,2024,104
2.0,1:24,3.0,4.0,SFO 26,14.0,3.0,Brock Purdy pass complete deep left to George Kittle for 41 yards (tackle by Justin Reid),-0.16,3.38,7.0,2024,104
2.0,0:49,1.0,10.0,KAN 33,14.0,3.0,Brock Purdy pass complete short left to Jordan Mason for 4 yards (tackle by Justin Reid),3.38,3.38,7.0,2024,104
2.0,0:48,,,,,,Timeout #1 by San Francisco 49ers,,,7.0,2024,104
2.0,0:48,2.0,6.0,KAN 29,14.0,3.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 15 yards (tackle by Chamarri Conner and Trent McDuffie),3.38,4.65,7.0,2024,104
2.0,0:37,,,,,,Timeout #2 by San Francisco 49ers,,,7.0,2024,104
2.0,0:37,1.0,10.0,KAN 14,14.0,3.0,Brock Purdy pass complete short right to Jacob Cowing for 9 yards (tackle by Nick Bolton),4.65,5.67,7.0,2024,104
2.0,0:30,,,,,,Timeout #3 by San Francisco 49ers,,,7.0,2024,104
2.0,0:30,2.0,1.0,KAN 5,14.0,3.0,Brock Purdy pass incomplete short middle intended for Jacob Cowing,5.67,4.96,7.0,2024,104
2.0,0:27,3.0,1.0,KAN 5,14.0,3.0,Jordan Mason up the middle for -1 yards (tackle by Trent McDuffie),4.96,3.01,7.0,2024,104
2.0,0:04,4.0,2.0,KAN 6,14.0,6.0,Anders Carlson 24 yard field goal good,3.01,3.0,7.0,2024,104
3.0,15:00,,,SFO 35,14.0,6.0,"Anders Carlson kicks off 64 yards, returned by Skyy Moore for 28 yards (tackle by Demetrius Flannigan-Fowles and Jaylen Mahoney)",0.0,0.87,7.0,2024,104
3.0,14:54,1.0,10.0,KAN 29,14.0,6.0,Patrick Mahomes pass incomplete deep middle intended for Xavier Worthy,0.87,0.33,7.0,2024,104
3.0,14:48,2.0,10.0,KAN 29,14.0,6.0,Kareem Hunt left guard for 2 yards (tackle by Deommodore Lenoir and Malik Mustapha),0.33,-0.1,7.0,2024,104
3.0,14:06,3.0,8.0,KAN 31,14.0,6.0,Patrick Mahomes pass deep right intended for Xavier Worthy is intercepted by Deommodore Lenoir at SF-44 and returned for 33 yards (tackle by Wanya Morris),-0.1,-4.04,7.0,2024,104
3.0,13:55,1.0,10.0,KAN 23,14.0,6.0,Jordan Mason left guard for no gain (tackle by Leo Chenal),4.04,3.5,7.0,2024,104
3.0,13:13,2.0,10.0,KAN 23,14.0,6.0,Brock Purdy pass incomplete short left intended for Kyle Juszczyk,3.5,2.81,7.0,2024,104
3.0,13:08,3.0,10.0,KAN 23,14.0,6.0,Brock Purdy scrambles left guard for 9 yards (tackle by Justin Reid),2.81,2.66,7.0,2024,104
3.0,12:26,4.0,1.0,KAN 14,14.0,6.0,Brock Purdy up the middle for 1 yard (tackle by Mike Pennel),2.66,4.71,7.0,2024,104
3.0,11:49,1.0,10.0,KAN 13,14.0,6.0,Brock Purdy pass complete short right to George Kittle for 9 yards (tackle by Justin Reid),4.71,5.73,7.0,2024,104
3.0,11:10,2.0,1.0,KAN 4,14.0,6.0,Jordan Mason left guard for 3 yards (tackle by Mike Pennel and Drue Tranquill),5.73,6.97,7.0,2024,104
3.0,10:32,1.0,1.0,KAN 1,14.0,12.0,"Brock Purdy up the middle for 1 yard, touchdown",6.97,7.0,7.0,2024,104
3.0,10:29,,,KAN 15,14.0,12.0,Anders Carlson kicks extra point no good,0.0,-1.0,7.0,2024,104
3.0,10:29,,,SFO 35,14.0,12.0,"Anders Carlson kicks off 63 yards, returned by Carson Steele for 31 yards (tackle by Robert Beal)",0.0,1.14,7.0,2024,104
3.0,10:23,1.0,10.0,KAN 33,14.0,12.0,Patrick Mahomes pass complete short right to Travis Kelce for no gain (tackle by Deommodore Lenoir),1.14,0.59,7.0,2024,104
3.0,9:45,2.0,10.0,KAN 33,14.0,12.0,Patrick Mahomes pass incomplete short middle intended for Skyy Moore,0.59,-0.1,7.0,2024,104
3.0,9:43,3.0,10.0,KAN 33,14.0,12.0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce (defended by Charvarius Ward),-0.1,-1.18,7.0,2024,104
3.0,9:37,4.0,10.0,KAN 33,14.0,12.0,"Matt Araiza punts 67 yards, touchback.",-1.18,-0.28,7.0,2024,104
3.0,9:28,1.0,10.0,SFO 20,14.0,12.0,Brock Purdy scrambles right tackle for 3 yards (tackle by Drue Tranquill),0.28,0.14,7.0,2024,104
3.0,8:58,2.0,7.0,SFO 23,14.0,12.0,Jordan Mason up the middle for 26 yards (tackle by Nick Bolton),0.14,2.19,7.0,2024,104
3.0,8:12,1.0,10.0,SFO 49,14.0,12.0,Brock Purdy scrambles left end for 5 yards (tackle by Justin Reid),2.19,2.32,7.0,2024,104
3.0,7:32,2.0,5.0,KAN 46,14.0,12.0,Jordan Mason up the middle for 8 yards (tackle by Chamarri Conner),2.32,3.05,7.0,2024,104
3.0,6:49,1.0,10.0,KAN 38,14.0,12.0,Jordan Mason right guard for 4 yards (tackle by Chris Jones),3.05,3.05,7.0,2024,104
3.0,6:11,2.0,6.0,KAN 34,14.0,12.0,Brock Purdy pass incomplete deep right intended for Chris Conley (defended by Trent McDuffie),3.05,2.34,7.0,2024,104
3.0,6:02,3.0,6.0,KAN 34,14.0,12.0,Brock Purdy pass short left intended for Ronnie Bell is intercepted by Christian Roland-Wallace at KC-21 and returned for no gain,2.34,-0.34,7.0,2024,104
3.0,5:56,1.0,10.0,KAN 21,14.0,12.0,Kareem Hunt up the middle for 4 yards (tackle by Fred Warner),0.34,0.34,7.0,2024,104
3.0,5:30,2.0,6.0,KAN 25,14.0,12.0,Kareem Hunt left guard for 13 yards (tackle by Malik Mustapha and Renardo Green),0.34,1.47,7.0,2024,104
3.0,4:55,1.0,10.0,KAN 38,14.0,12.0,Patrick Mahomes pass complete short right to Justin Watson for 8 yards (tackle by Charvarius Ward),1.47,2.0,7.0,2024,104
3.0,4:21,2.0,2.0,KAN 46,14.0,12.0,Kareem Hunt right guard for 3 yards (tackle by Jordan Elliott),2.0,2.19,7.0,2024,104
3.0,3:50,1.0,10.0,KAN 49,14.0,12.0,Carson Steele left tackle for no gain (tackle by Jordan Elliott),2.19,1.65,7.0,2024,104
3.0,3:12,2.0,10.0,KAN 49,14.0,12.0,Carson Steele left guard for 4 yards (tackle by Kevin Givens and Dee Winters),1.65,1.49,7.0,2024,104
3.0,2:32,3.0,6.0,SFO 47,14.0,12.0,Patrick Mahomes pass complete short right to Travis Kelce for 7 yards (tackle by Deommodore Lenoir),1.49,2.92,7.0,2024,104
3.0,1:50,1.0,10.0,SFO 40,14.0,12.0,Kareem Hunt right guard for 3 yards (tackle by Dee Winters and Sam Okuayinonu),2.92,2.78,7.0,2024,104
3.0,1:11,2.0,7.0,SFO 37,14.0,12.0,Patrick Mahomes scrambles left end for 33 yards (tackle by Malik Mustapha),2.78,6.28,7.0,2024,104
3.0,0:27,1.0,4.0,SFO 4,14.0,12.0,Kareem Hunt up the middle for 3 yards (tackle by Ji'Ayir Brown and Leonard Floyd),6.28,5.91,7.0,2024,104
4.0,15:00,2.0,1.0,SFO 1,14.0,12.0,Kareem Hunt up the middle for no gain (tackle by Charvarius Ward and Deommodore Lenoir),5.91,5.17,7.0,2024,104
4.0,14:21,3.0,1.0,SFO 1,14.0,12.0,Patrick Mahomes pass incomplete short right intended for Mecole Hardman,5.17,3.55,7.0,2024,104
4.0,14:17,4.0,1.0,SFO 1,20.0,12.0,"Patrick Mahomes scrambles up the middle for 1 yard, touchdown. Penalty on Ji'Ayir Brown: Defensive Holding, 5 yards (declined)",3.55,7.0,7.0,2024,104
4.0,14:13,,,SFO 15,21.0,12.0,Harrison Butker kicks extra point good,0.0,0.0,7.0,2024,104
4.0,14:13,,,KAN 35,21.0,12.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,104
4.0,14:13,1.0,10.0,SFO 30,21.0,12.0,Jordan Mason left end for 7 yards (tackle by Jaylen Watson),0.94,1.34,7.0,2024,104
4.0,13:42,2.0,3.0,SFO 37,21.0,12.0,"Brock Purdy pass complete short left to Isaac Guerendo for 5 yards. Isaac Guerendo fumbles, ball out of bounds at SF-42 (forced by Leo Chenal). Isaac Guerendo fumbles out of bounds",1.34,1.73,7.0,2024,104
4.0,13:24,1.0,10.0,SFO 42,21.0,12.0,Brock Purdy pass incomplete deep left intended for Kyle Juszczyk (defended by Leo Chenal),1.73,1.19,7.0,2024,104
4.0,12:55,2.0,10.0,SFO 42,21.0,12.0,Brock Purdy pass incomplete short right intended for Ricky Pearsall,1.19,0.5,7.0,2024,104
4.0,12:49,3.0,10.0,SFO 42,21.0,12.0,"Brock Purdy pass complete short middle to George Kittle for no gain (tackle by Christian Roland-Wallace). Penalty on Nazeeh Johnson: Defensive Holding, 5 yards (accepted) (no play)",0.5,2.06,7.0,2024,104
4.0,12:36,1.0,10.0,SFO 47,21.0,12.0,Jordan Mason left end for 2 yards (tackle by Justin Reid and Malik Herring),2.06,1.79,7.0,2024,104
4.0,11:55,2.0,8.0,SFO 49,21.0,12.0,Brock Purdy pass complete deep right to Jacob Cowing for 41 yards (tackle by Nazeeh Johnson),1.79,4.91,7.0,2024,104
4.0,11:08,1.0,10.0,KAN 10,21.0,12.0,Jordan Mason left tackle for 7 yards (tackle by Nazeeh Johnson and Justin Reid),4.91,5.53,7.0,2024,104
4.0,10:24,2.0,3.0,KAN 3,21.0,12.0,Jordan Mason right guard for -2 yards (tackle by Nick Bolton),5.53,4.26,7.0,2024,104
4.0,9:35,3.0,5.0,KAN 5,21.0,12.0,Brock Purdy pass short middle intended for Chris Conley is intercepted by Jaden Hicks in end zone and returned for no gain,4.26,-0.28,7.0,2024,104
4.0,9:29,1.0,10.0,KAN 20,21.0,12.0,Kareem Hunt right end for 6 yards (tackle by Kalia Davis),0.28,0.54,7.0,2024,104
4.0,8:51,2.0,4.0,KAN 26,21.0,12.0,Kareem Hunt right tackle for 6 yards (tackle by Charvarius Ward and Malik Mustapha),0.54,1.07,7.0,2024,104
4.0,8:12,1.0,10.0,KAN 32,21.0,12.0,Carson Steele up the middle for 7 yards (tackle by Charvarius Ward),1.07,1.47,7.0,2024,104
4.0,7:34,2.0,3.0,KAN 39,21.0,12.0,Carson Steele right guard for 2 yards (tackle by Nick Bosa),1.47,1.03,7.0,2024,104
4.0,6:56,3.0,1.0,KAN 41,21.0,12.0,Carson Steele up the middle for 2 yards (tackle by Fred Warner),1.03,1.8,7.0,2024,104
4.0,6:19,1.0,10.0,KAN 43,21.0,12.0,Kareem Hunt right tackle for 3 yards (tackle by De'Vondre Campbell and Maliek Collins),1.8,1.66,7.0,2024,104
4.0,5:36,2.0,7.0,KAN 46,21.0,12.0,Kareem Hunt up the middle for -1 yards (tackle by Leonard Floyd),1.66,0.83,7.0,2024,104
4.0,4:56,3.0,8.0,KAN 45,21.0,12.0,Patrick Mahomes pass complete short right to Noah Gray for 9 yards (tackle by Fred Warner),0.83,2.52,7.0,2024,104
4.0,4:13,1.0,10.0,SFO 46,21.0,12.0,Samaje Perine right guard for 3 yards (tackle by Fred Warner),2.52,2.38,7.0,2024,104
4.0,4:04,,,,,,Timeout #1 by San Francisco 49ers,,,7.0,2024,104
4.0,4:04,2.0,7.0,SFO 43,21.0,12.0,Samaje Perine left guard for 3 yards (tackle by Jordan Elliott),2.38,2.08,7.0,2024,104
4.0,3:59,,,,,,Timeout #2 by San Francisco 49ers,,,7.0,2024,104
4.0,3:59,3.0,4.0,SFO 40,21.0,12.0,Patrick Mahomes pass complete short right to Samaje Perine for 22 yards (tackle by Deommodore Lenoir and Malik Mustapha),2.08,4.37,7.0,2024,104
4.0,3:16,1.0,10.0,SFO 18,27.0,12.0,"Mecole Hardman left end for 18 yards, touchdown",4.37,7.0,7.0,2024,104
4.0,3:09,,,SFO 15,27.0,12.0,"Penalty on Wanya Morris: Unnecessary Roughness / Offense, 15 yards (offset) Penalty on Deommodore Lenoir: Unnecessary Roughness / Defense, 15 yards (offset) (no play)",0.0,0.0,7.0,2024,104
4.0,3:09,,,SFO 15,28.0,12.0,Harrison Butker kicks extra point good,0.0,0.0,7.0,2024,104
4.0,3:09,,,KAN 35,28.0,12.0,"Harrison Butker kicks off 65 yards, returned by Isaac Guerendo for 35 yards (tackle by Leo Chenal)",0.0,1.27,7.0,2024,104
4.0,3:03,1.0,10.0,SFO 35,28.0,12.0,"Brock Purdy pass complete short left to Ricky Pearsall for no gain (tackle by Felix Anudike-Uzomah). Penalty on Christian Roland-Wallace: Face Mask (15 Yards), 15 yards (offset) . Penalty on Trent Williams: Disqualification / Offense, 15 yards (offset) (no play)",1.27,1.27,7.0,2024,104
4.0,2:59,1.0,10.0,SFO 35,28.0,12.0,Brock Purdy pass complete short middle to George Kittle for 15 yards (tackle by Bryan Cook),1.27,2.26,7.0,2024,104
4.0,2:43,1.0,10.0,SFO 50,28.0,12.0,Brock Purdy pass complete short right to Ricky Pearsall for 9 yards (tackle by Christian Roland-Wallace),2.26,2.93,7.0,2024,104
4.0,2:23,2.0,1.0,KAN 41,28.0,12.0,Brock Purdy pass complete short right to George Kittle for -3 yards (tackle by Leo Chenal),2.93,1.82,7.0,2024,104
4.0,2:00,3.0,4.0,KAN 44,28.0,12.0,"Brock Purdy scrambles right end for 5 yards (tackle by Justin Reid). Penalty on Joshua Williams: Face Mask (15 Yards), 15 yards (accepted)",1.82,3.97,7.0,2024,104
4.0,1:53,1.0,10.0,KAN 24,28.0,12.0,Brock Purdy pass complete short right to Jordan Mason for 7 yards (tackle by Nick Bolton),3.97,4.46,7.0,2024,104
4.0,1:33,2.0,3.0,KAN 17,28.0,12.0,Brock Purdy pass complete short left to Ricky Pearsall for 6 yards (tackle by Christian Roland-Wallace),4.46,4.84,7.0,2024,104
4.0,1:28,1.0,10.0,KAN 11,28.0,12.0,"Brock Purdy pass complete short middle to Ronnie Bell for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Brock Purdy pass complete short middle to Ronnie Bell for 10 yards (tackle by Bryan Cook)",4.84,6.97,7.0,2024,104
4.0,1:14,1.0,1.0,KAN 1,28.0,18.0,"Brock Purdy up the middle for 1 yard, touchdown",6.97,7.0,7.0,2024,104
4.0,1:08,,,KAN 2,28.0,18.0,Two Point Attempt: Brock Purdy pass incomplete intended for intended for Ricky Pearsall,1.0,-1.0,7.0,2024,104
4.0,1:08,,,SFO 35,28.0,18.0,"Mitch Wishnowsky kicks onside 4 yards,",0.0,2.98,7.0,2024,104
4.0,1:06,1.0,10.0,SFO 39,28.0,18.0,Patrick Mahomes kneels for -1 yards,2.98,2.3,7.0,2024,104
4.0,0:34,2.0,11.0,SFO 40,28.0,18.0,Patrick Mahomes kneels for -1 yards,2.3,1.49,7.0,2024,104
