Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA,week,year,game_id
1.0,10:17,1.0,10.0,NYG 31,0.0,0.0,Tyrone Tracy right tackle for -1 yards (tackle by Darius Slay),1.0,0.32,7.0,2024,101
1.0,9:54,2.0,11.0,NYG 30,0.0,0.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 5 yards (tackle by Quinyon Mitchell),0.32,0.3,7.0,2024,101
1.0,9:15,3.0,6.0,NYG 35,0.0,0.0,Daniel Jones sacked by Josh Sweat for -9 yards,0.3,-1.63,7.0,2024,101
1.0,8:40,4.0,15.0,NYG 26,0.0,0.0,"Matt Haack punts 47 yards, returned by Cooper DeJean for 7 yards (tackle by Ty Summers and Matthew Adams)",-1.63,-1.2,7.0,2024,101
1.0,8:28,1.0,10.0,PHI 34,0.0,0.0,Saquon Barkley up the middle for 5 yards (tackle by Cordale Flott),1.2,1.33,7.0,2024,101
1.0,7:55,2.0,5.0,PHI 39,0.0,0.0,Jalen Hurts pass incomplete short left intended for Saquon Barkley (defended by Brian Burns),1.33,0.63,7.0,2024,101
1.0,7:52,3.0,5.0,PHI 39,0.0,0.0,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",0.63,-0.03,7.0,2024,101
1.0,7:52,3.0,10.0,PHI 34,0.0,0.0,Jalen Hurts sacked by Brian Burns for -9 yards,-0.03,-1.7,7.0,2024,101
1.0,7:18,4.0,19.0,PHI 25,0.0,0.0,Braden Mann punts 45 yards. Ihmir Smith-Marsette fumbles out of bounds,-1.7,-1.47,7.0,2024,101
1.0,7:09,1.0,10.0,NYG 38,0.0,0.0,Tyrone Tracy right guard for 4 yards (tackle by Zack Baun),1.47,1.46,7.0,2024,101
1.0,6:34,2.0,6.0,NYG 42,0.0,0.0,Daniel Jones up the middle for 3 yards (tackle by Nakobe Dean),1.46,1.16,7.0,2024,101
1.0,6:06,3.0,3.0,NYG 45,0.0,0.0,Daniel Jones sacked by Nolan Smith for -11 yards,1.16,-1.11,7.0,2024,101
1.0,5:31,4.0,14.0,NYG 34,0.0,0.0,"Penalty on Matthew Adams: False Start, 5 yards (accepted) (no play)",-1.11,-1.44,7.0,2024,101
1.0,5:25,4.0,19.0,NYG 29,0.0,0.0,"Matt Haack punts 58 yards, returned by Cooper DeJean for 10 yards (tackle by Ty Summers). Penalty on Jalyx Hunt: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.44,0.32,7.0,2024,101
1.0,5:10,1.0,10.0,PHI 13,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 13 yards (tackle by Deonte Banks and Tyler Nubin),-0.32,0.67,7.0,2024,101
1.0,4:29,1.0,10.0,PHI 26,0.0,0.0,Saquon Barkley right guard for 3 yards (tackle by Dexter Lawrence),0.67,0.54,7.0,2024,101
1.0,3:49,2.0,7.0,PHI 29,0.0,0.0,Saquon Barkley right guard for 8 yards (tackle by Tyler Nubin and Andru Phillips),0.54,1.4,7.0,2024,101
1.0,3:23,1.0,10.0,PHI 37,0.0,0.0,Saquon Barkley left guard for 3 yards (tackle by Rakeem Nunez-Roches and Micah McFadden),1.4,1.26,7.0,2024,101
1.0,2:56,2.0,7.0,PHI 40,0.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 9 yards (tackle by Deonte Banks),1.26,2.19,7.0,2024,101
1.0,2:16,1.0,10.0,PHI 49,0.0,0.0,Kenneth Gainwell up the middle for 3 yards (tackle by Micah McFadden),2.19,2.05,7.0,2024,101
1.0,1:43,2.0,7.0,NYG 48,0.0,0.0,Saquon Barkley right end for -3 yards (tackle by Andru Phillips),2.05,0.96,7.0,2024,101
1.0,1:01,3.0,10.0,PHI 49,0.0,0.0,Jalen Hurts sacked by Dexter Lawrence for -14 yards,0.96,-1.04,7.0,2024,101
1.0,0:19,4.0,24.0,PHI 35,0.0,0.0,Braden Mann punts 46 yards downed by Kelee Ringo,-1.04,-0.15,7.0,2024,101
1.0,0:10,1.0,10.0,NYG 19,0.0,0.0,Daniel Jones pass complete short right to Darius Slayton for 11 yards (tackle by Darius Slay),0.15,0.94,7.0,2024,101
2.0,15:00,1.0,10.0,NYG 30,0.0,0.0,Devin Singletary right end for 1 yard (tackle by Nakobe Dean and Thomas Booker),0.94,0.53,7.0,2024,101
2.0,14:33,2.0,9.0,NYG 31,0.0,0.0,Daniel Jones pass complete short left to Malik Nabers for 9 yards (tackle by C.J. Gardner-Johnson and Quinyon Mitchell),0.53,1.6,7.0,2024,101
2.0,13:55,1.0,10.0,NYG 40,0.0,0.0,Daniel Jones sacked by Nakobe Dean for -10 yards,1.6,-0.3,7.0,2024,101
2.0,13:10,2.0,20.0,NYG 30,0.0,0.0,Daniel Jones pass complete short left to Devin Singletary for 3 yards (tackle by Cooper DeJean),-0.3,-0.56,7.0,2024,101
2.0,12:30,3.0,17.0,NYG 33,0.0,0.0,"Daniel Jones pass deep right is intercepted by Reed Blankenship at PHI-31 and returned for no gain (tackle by Malik Nabers). Penalty on Jalen Carter: Defensive Offside, 5 yards (accepted) (no play)",-0.56,0.1,7.0,2024,101
2.0,12:18,3.0,12.0,NYG 38,0.0,0.0,Daniel Jones scrambles right end for 2 yards (tackle by Cooper DeJean),0.1,-0.72,7.0,2024,101
2.0,11:39,4.0,10.0,NYG 40,0.0,0.0,Matt Haack punts 34 yards out of bounds,-0.72,-0.67,7.0,2024,101
2.0,11:32,1.0,10.0,PHI 26,0.0,0.0,Saquon Barkley left tackle for no gain (tackle by Bobby Okereke),0.67,0.13,7.0,2024,101
2.0,11:04,2.0,10.0,PHI 26,0.0,0.0,Saquon Barkley left end for 55 yards (tackle by Deonte Banks),0.13,4.31,7.0,2024,101
2.0,10:19,1.0,10.0,NYG 19,0.0,0.0,Kenneth Gainwell left end for 12 yards (tackle by Deonte Banks),4.31,5.6,7.0,2024,101
2.0,9:43,1.0,7.0,NYG 7,0.0,0.0,Kenneth Gainwell right guard for 4 yards (tackle by Rakeem Nunez-Roches and Micah McFadden),5.6,5.53,7.0,2024,101
2.0,9:05,2.0,3.0,NYG 3,6.0,0.0,"Saquon Barkley up the middle for 3 yards, touchdown",5.53,7.0,7.0,2024,101
2.0,8:58,,,NYG 15,7.0,0.0,Jake Elliott kicks extra point good,0.0,0.0,7.0,2024,101
2.0,8:58,,,PHI 35,7.0,0.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,101
2.0,8:58,1.0,10.0,NYG 30,7.0,0.0,Daniel Jones pass complete short right to Tyrone Tracy for 4 yards (tackle by Zack Baun),0.94,0.93,7.0,2024,101
2.0,8:31,2.0,6.0,NYG 34,7.0,0.0,"Daniel Jones pass complete short left to Darius Slayton for no gain (tackle by Quinyon Mitchell). Penalty on John Michael Schmitz: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.93,0.26,7.0,2024,101
2.0,8:07,2.0,11.0,NYG 29,7.0,0.0,Daniel Jones pass incomplete deep middle intended for Darius Slayton,0.26,-0.43,7.0,2024,101
2.0,8:00,3.0,11.0,NYG 29,7.0,0.0,Daniel Jones sacked by Bryce Huff for -7 yards,-0.43,-1.9,7.0,2024,101
2.0,7:06,4.0,18.0,NYG 22,7.0,0.0,"Matt Haack punts 64 yards, returned by Cooper DeJean for 28 yards (tackle by Daniel Bellinger and Bryce Ford-Wheaton)",-1.9,-1.73,7.0,2024,101
2.0,6:50,1.0,10.0,PHI 42,7.0,0.0,Kenneth Gainwell right guard for -1 yards (tackle by Rakeem Nunez-Roches and Jordon Riley),1.73,1.05,7.0,2024,101
2.0,6:16,2.0,11.0,PHI 41,7.0,0.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 11 yards (tackle by Bobby Okereke),1.05,2.39,7.0,2024,101
2.0,5:47,1.0,10.0,NYG 48,7.0,0.0,Kenneth Gainwell left guard for 2 yards (tackle by Jordon Riley and Brian Burns),2.39,2.12,7.0,2024,101
2.0,5:13,2.0,8.0,NYG 46,7.0,0.0,Jalen Hurts pass complete short left to Grant Calcaterra for 5 yards (tackle by Tyler Nubin),2.12,2.08,7.0,2024,101
2.0,4:41,3.0,3.0,NYG 41,7.0,0.0,Jalen Hurts pass incomplete short left intended for DeVonta Smith,2.08,0.53,7.0,2024,101
2.0,4:34,4.0,3.0,NYG 41,13.0,0.0,"Jalen Hurts pass complete deep left to A.J. Brown for 41 yards, touchdown",0.53,7.0,7.0,2024,101
2.0,4:27,,,NYG 15,14.0,0.0,Jake Elliott kicks extra point good,0.0,0.0,7.0,2024,101
2.0,4:27,,,PHI 35,14.0,0.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,101
2.0,4:27,1.0,10.0,NYG 30,14.0,0.0,Daniel Jones sacked by Jalen Carter for -4 yards,0.94,-0.15,7.0,2024,101
2.0,4:02,2.0,14.0,NYG 26,14.0,0.0,Daniel Jones pass complete short left to Tyrone Tracy for 1 yard (tackle by Zack Baun),-0.15,-0.69,7.0,2024,101
2.0,3:17,3.0,13.0,NYG 27,14.0,0.0,Daniel Jones pass incomplete deep left intended for Malik Nabers,-0.69,-1.57,7.0,2024,101
2.0,3:12,4.0,13.0,NYG 27,14.0,0.0,"Matt Haack punts 46 yards, fair catch by Cooper DeJean at PHI-27",-1.57,-0.74,7.0,2024,101
2.0,3:05,1.0,10.0,PHI 27,14.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for -2 yards (tackle by Andru Phillips),0.74,-0.07,7.0,2024,101
2.0,2:23,2.0,12.0,PHI 25,14.0,0.0,Jalen Hurts scrambles up the middle for 1 yard (tackle by Dexter Lawrence),-0.07,-0.62,7.0,2024,101
2.0,2:00,3.0,11.0,PHI 26,14.0,0.0,Jalen Hurts sacked by Dexter Lawrence for -8 yards,-0.62,-2.24,7.0,2024,101
2.0,1:53,,,,,,Timeout #1 by New York Giants,,,7.0,2024,101
2.0,1:53,4.0,19.0,PHI 18,14.0,0.0,"Braden Mann punts 58 yards, returned by Ihmir Smith-Marsette for 12 yards (tackle by Kelee Ringo). Penalty on Sydney Brown: Player Out of Bounds on a Punt, 5 yards (accepted)",-2.24,-1.66,7.0,2024,101
2.0,1:41,1.0,10.0,NYG 41,14.0,0.0,Daniel Jones pass complete short left to Tyrone Tracy for 4 yards (tackle by Zack Baun),1.66,1.66,7.0,2024,101
2.0,1:36,2.0,6.0,NYG 45,14.0,0.0,Daniel Jones up the middle for 3 yards (tackle by Moro Ojomo),1.66,1.36,7.0,2024,101
2.0,1:13,3.0,3.0,NYG 48,14.0,0.0,Daniel Jones pass complete short left to Malik Nabers for 5 yards (tackle by Reed Blankenship),1.36,2.46,7.0,2024,101
2.0,0:54,1.0,10.0,PHI 47,14.0,0.0,Daniel Jones pass incomplete short left,2.46,1.91,7.0,2024,101
2.0,0:47,2.0,10.0,PHI 47,14.0,0.0,Daniel Jones scrambles right end for 9 yards (tackle by Darius Slay),1.91,2.41,7.0,2024,101
2.0,0:39,3.0,1.0,PHI 38,14.0,0.0,Daniel Jones up the middle for 3 yards (tackle by Nakobe Dean),2.41,3.25,7.0,2024,101
2.0,0:37,,,,,,Timeout #2 by New York Giants,,,7.0,2024,101
2.0,0:37,1.0,10.0,PHI 35,14.0,0.0,"Penalty on Moro Ojomo: Encroachment, 5 yards (accepted) (no play)",3.25,3.98,7.0,2024,101
2.0,0:37,1.0,5.0,PHI 30,14.0,0.0,Daniel Jones pass complete short right to Malik Nabers for 14 yards (tackle by Darius Slay and Avonte Maddox),3.98,4.51,7.0,2024,101
2.0,0:28,,,,,,Timeout #3 by New York Giants,,,7.0,2024,101
2.0,0:28,1.0,10.0,PHI 16,14.0,0.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 6 yards (tackle by Nakobe Dean),4.51,4.97,7.0,2024,101
2.0,0:15,2.0,4.0,PHI 10,14.0,0.0,Daniel Jones spiked the ball,4.97,4.17,7.0,2024,101
2.0,0:14,,,,,,Timeout #1 by Philadelphia Eagles,,,7.0,2024,101
2.0,0:14,3.0,4.0,PHI 10,14.0,0.0,"Daniel Jones pass complete short middle to Theo Johnson for no gain, touchdown. Penalty on Theo Johnson: Offensive Pass Interference, 10 yards (accepted) (no play)",4.17,2.74,7.0,2024,101
2.0,0:09,,,,,,Timeout #2 by Philadelphia Eagles,,,7.0,2024,101
2.0,0:09,3.0,14.0,PHI 20,14.0,3.0,Greg Joseph 38 yard field goal good,2.74,3.0,7.0,2024,101
2.0,0:05,,,NYG 35,14.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,101
2.0,0:05,1.0,10.0,PHI 30,14.0,3.0,Jalen Hurts kneels for -1 yards,0.94,0.26,7.0,2024,101
3.0,15:00,,,NYG 35,14.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,101
3.0,15:00,1.0,10.0,PHI 30,14.0,3.0,Jalen Hurts pass complete short right to Saquon Barkley for 1 yard (tackle by Dane Belton),0.94,0.53,7.0,2024,101
3.0,14:20,2.0,9.0,PHI 31,14.0,3.0,Saquon Barkley left tackle for 3 yards (tackle by Jason Pinnock),0.53,0.23,7.0,2024,101
3.0,13:37,3.0,6.0,PHI 34,14.0,3.0,Jalen Hurts pass incomplete deep left intended for Jahan Dotson (defended by Nick McCloud),0.23,-1.11,7.0,2024,101
3.0,13:29,4.0,6.0,PHI 34,14.0,3.0,"Braden Mann punts 55 yards, returned by Ihmir Smith-Marsette for 9 yards (tackle by Sydney Brown)",-1.11,-0.28,7.0,2024,101
3.0,13:19,1.0,10.0,NYG 20,14.0,3.0,Devin Singletary right guard for 4 yards (tackle by Nakobe Dean and Jalen Carter),0.28,0.27,7.0,2024,101
3.0,12:42,2.0,6.0,NYG 24,14.0,3.0,Devin Singletary right guard for 3 yards (tackle by Zack Baun and Bryce Huff),0.27,-0.03,7.0,2024,101
3.0,12:02,3.0,3.0,NYG 27,14.0,3.0,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson (defended by Darius Slay),-0.03,-1.57,7.0,2024,101
3.0,11:57,4.0,3.0,NYG 27,14.0,3.0,"Matt Haack punts 50 yards, fair catch by Cooper DeJean at PHI-23",-1.57,-0.48,7.0,2024,101
3.0,11:50,1.0,10.0,PHI 23,14.0,3.0,Jalen Hurts pass complete short left to A.J. Brown for 15 yards (tackle by Jason Pinnock and Deonte Banks),0.48,1.47,7.0,2024,101
3.0,11:26,1.0,10.0,PHI 38,14.0,3.0,Saquon Barkley right end for 6 yards (tackle by Tre Hawkins),1.47,1.73,7.0,2024,101
3.0,10:52,2.0,4.0,PHI 44,14.0,3.0,Saquon Barkley up the middle for 5 yards (tackle by Brian Burns),1.73,2.19,7.0,2024,101
3.0,10:15,1.0,10.0,PHI 49,14.0,3.0,Saquon Barkley right guard for 38 yards (tackle by Tre Hawkins),2.19,4.71,7.0,2024,101
3.0,9:43,1.0,10.0,NYG 13,14.0,3.0,Saquon Barkley right end for 6 yards (tackle by Tre Hawkins),4.71,5.15,7.0,2024,101
3.0,9:19,2.0,4.0,NYG 7,14.0,3.0,Saquon Barkley up the middle for 2 yards (tackle by Micah McFadden and D.J. Davidson),5.15,4.78,7.0,2024,101
3.0,8:42,3.0,2.0,NYG 5,14.0,3.0,Jalen Hurts pass incomplete short left,4.78,3.03,7.0,2024,101
3.0,8:34,4.0,2.0,NYG 5,14.0,3.0,Jalen Hurts scrambles right guard for 4 yards (tackle by Jason Pinnock),3.03,6.97,7.0,2024,101
3.0,7:56,1.0,1.0,NYG 1,14.0,3.0,Saquon Barkley up the middle for no gain (tackle by Brian Burns and Tyler Nubin),6.97,5.91,7.0,2024,101
3.0,7:21,2.0,1.0,NYG 1,14.0,3.0,Jalen Hurts up the middle for no gain (tackle by D.J. Davidson and Bobby Okereke). Penalty on Azeez Ojulari: Defensive Offside (accepted) (no play),5.91,5.91,7.0,2024,101
3.0,7:08,2.0,1.0,NYG 1,20.0,3.0,"Jalen Hurts up the middle for 1 yard, touchdown",5.91,7.0,7.0,2024,101
3.0,7:03,,,NYG 15,21.0,3.0,Jake Elliott kicks extra point good,0.0,0.0,7.0,2024,101
3.0,7:03,,,PHI 35,21.0,3.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,101
3.0,7:03,1.0,10.0,NYG 30,21.0,3.0,Tyrone Tracy up the middle for 8 yards (tackle by Milton Williams and Nakobe Dean),0.94,1.47,7.0,2024,101
3.0,6:25,2.0,2.0,NYG 38,21.0,3.0,Tyrone Tracy up the middle for 6 yards (tackle by Nakobe Dean and Zack Baun),1.47,1.86,7.0,2024,101
3.0,5:55,1.0,10.0,NYG 44,21.0,3.0,Tyrone Tracy up the middle for 3 yards (tackle by Reed Blankenship),1.86,1.72,7.0,2024,101
3.0,5:30,2.0,7.0,NYG 47,21.0,3.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 6 yards (tackle by Quinyon Mitchell),1.72,1.82,7.0,2024,101
3.0,5:02,3.0,1.0,PHI 47,21.0,3.0,Tyrone Tracy left guard for 3 yards (tackle by Reed Blankenship),1.82,2.65,7.0,2024,101
3.0,4:35,1.0,10.0,PHI 44,21.0,3.0,Daniel Jones sacked by Jalen Carter for -7 yards,2.65,1.17,7.0,2024,101
3.0,3:50,2.0,17.0,NYG 49,21.0,3.0,Devin Singletary up the middle for 10 yards (tackle by Nakobe Dean),1.17,1.82,7.0,2024,101
3.0,3:22,3.0,7.0,PHI 41,21.0,3.0,Daniel Jones sacked by Nakobe Dean for -8 yards,1.82,0.0,7.0,2024,101
3.0,2:42,4.0,15.0,PHI 49,21.0,3.0,"Matt Haack punts 41 yards, fair catch by Cooper DeJean at PHI-8",0.0,0.38,7.0,2024,101
3.0,2:33,1.0,10.0,PHI 8,21.0,3.0,Saquon Barkley up the middle for 41 yards (tackle by Tyler Nubin and Micah McFadden),-0.38,2.19,7.0,2024,101
3.0,1:48,1.0,10.0,PHI 49,21.0,3.0,Kenneth Gainwell up the middle for 14 yards (tackle by Jason Pinnock),2.19,3.12,7.0,2024,101
3.0,1:13,1.0,10.0,NYG 37,21.0,3.0,Kenneth Gainwell right guard for 2 yards (tackle by Rakeem Nunez-Roches),3.12,2.84,7.0,2024,101
3.0,0:34,2.0,8.0,NYG 35,21.0,3.0,Kenneth Gainwell left tackle for 1 yard (tackle by Micah McFadden),2.84,2.28,7.0,2024,101
4.0,15:00,3.0,7.0,NYG 34,21.0,3.0,Jalen Hurts scrambles right end for 16 yards (tackle by Bobby Okereke),2.28,4.37,7.0,2024,101
4.0,14:14,1.0,10.0,NYG 18,21.0,3.0,Kenneth Gainwell up the middle for 13 yards (tackle by Tyler Nubin and Jason Pinnock),4.37,6.06,7.0,2024,101
4.0,13:34,1.0,5.0,NYG 5,21.0,3.0,Kenneth Gainwell up the middle for 3 yards (tackle by D.J. Davidson),6.06,5.72,7.0,2024,101
4.0,12:51,2.0,2.0,NYG 2,21.0,3.0,Kenneth Gainwell right tackle for 1 yard (tackle by Bobby Okereke and Tyler Nubin),5.72,5.17,7.0,2024,101
4.0,12:16,3.0,1.0,NYG 1,21.0,3.0,Jalen Hurts up the middle for no gain (tackle by Bobby Okereke and Rakeem Nunez-Roches),5.17,3.55,7.0,2024,101
4.0,11:31,,,,,,Timeout #1 by Philadelphia Eagles,,,7.0,2024,101
4.0,11:31,4.0,1.0,NYG 1,27.0,3.0,"Jalen Hurts up the middle for 1 yard, touchdown",3.55,7.0,7.0,2024,101
4.0,11:26,,,NYG 15,28.0,3.0,Jake Elliott kicks extra point good,0.0,0.0,7.0,2024,101
4.0,11:26,,,PHI 35,28.0,3.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,101
4.0,11:26,1.0,10.0,NYG 30,28.0,3.0,"Drew Lock aborted snap, recovered by Drew Lock at NYG-30 Drew Lock pass complete short left to Wan'Dale Robinson for -1 yards (tackle by Cooper DeJean)",0.94,0.26,7.0,2024,101
4.0,10:48,2.0,11.0,NYG 29,28.0,3.0,Drew Lock pass incomplete short left intended for Wan'Dale Robinson (defended by Josh Sweat),0.26,-0.43,7.0,2024,101
4.0,10:45,3.0,11.0,NYG 29,28.0,3.0,Drew Lock pass incomplete deep middle intended for Darius Slayton,-0.43,-1.44,7.0,2024,101
4.0,10:40,4.0,11.0,NYG 29,28.0,3.0,"Matt Haack punts 37 yards, fair catch by Cooper DeJean at PHI-34",-1.44,-1.2,7.0,2024,101
4.0,10:32,1.0,10.0,PHI 34,28.0,3.0,Kenneth Gainwell left guard for 2 yards (tackle by Tre Hawkins),1.2,0.93,7.0,2024,101
4.0,9:48,2.0,8.0,PHI 36,28.0,3.0,Kenneth Gainwell up the middle for no gain (tackle by Azeez Ojulari and Bobby Okereke),0.93,0.23,7.0,2024,101
4.0,9:04,,,,,,Timeout #2 by Philadelphia Eagles,,,7.0,2024,101
4.0,9:04,3.0,8.0,PHI 36,28.0,3.0,Kenny Pickett pass incomplete short right intended for Parris Campbell,0.23,-0.98,7.0,2024,101
4.0,9:00,4.0,8.0,PHI 36,28.0,3.0,"Braden Mann punts 47 yards, returned by Ihmir Smith-Marsette for no gain (tackle by Kelee Ringo)",-0.98,0.06,7.0,2024,101
4.0,8:52,1.0,10.0,NYG 17,28.0,3.0,Drew Lock pass incomplete short left intended for Malik Nabers,-0.06,-0.58,7.0,2024,101
4.0,8:48,2.0,10.0,NYG 17,28.0,3.0,Drew Lock scrambles up the middle for 13 yards (tackle by Isaiah Rodgers),-0.58,0.94,7.0,2024,101
4.0,8:23,1.0,10.0,NYG 30,28.0,3.0,Drew Lock pass complete short right to Wan'Dale Robinson for 2 yards (tackle by Isaiah Rodgers),0.94,0.66,7.0,2024,101
4.0,7:54,2.0,8.0,NYG 32,28.0,3.0,Drew Lock pass complete short left to Wan'Dale Robinson for 5 yards (tackle by Jeremiah Trotter),0.66,0.63,7.0,2024,101
4.0,7:27,3.0,3.0,NYG 37,28.0,3.0,"Drew Lock sacked by Jalyx Hunt for -6 yards. Drew Lock fumbles (forced by Jalyx Hunt), recovered by Greg Van Roten at NYG-31 (tackle by Nolan Smith)",0.63,-1.31,7.0,2024,101
4.0,6:44,4.0,9.0,NYG 31,28.0,3.0,"Matt Haack punts 56 yards, fair catch by Cooper DeJean at PHI-13",-1.31,0.32,7.0,2024,101
4.0,6:37,1.0,10.0,PHI 13,28.0,3.0,Will Shipley left end for 2 yards (tackle by Tomon Fox and Darius Muasau),-0.32,-0.57,7.0,2024,101
4.0,5:51,2.0,8.0,PHI 15,28.0,3.0,Will Shipley up the middle for no gain (tackle by Darius Muasau),-0.57,-1.18,7.0,2024,101
4.0,5:08,3.0,8.0,PHI 15,28.0,3.0,Will Shipley up the middle for 5 yards (tackle by Darius Muasau and Elijah Chatman),-1.18,-2.03,7.0,2024,101
4.0,4:23,4.0,3.0,PHI 20,28.0,3.0,Braden Mann punts 43 yards out of bounds,-2.03,-1.4,7.0,2024,101
4.0,4:14,1.0,10.0,NYG 37,28.0,3.0,Devin Singletary right guard for no gain (tackle by Thomas Booker),1.4,0.86,7.0,2024,101
4.0,3:42,2.0,10.0,NYG 37,28.0,3.0,Drew Lock pass incomplete deep right intended for Jalin Hyatt,0.86,0.17,7.0,2024,101
4.0,3:35,3.0,10.0,NYG 37,28.0,3.0,Drew Lock pass incomplete deep left intended for Malik Nabers (defended by Sydney Brown),0.17,-0.91,7.0,2024,101
4.0,3:30,4.0,10.0,NYG 37,28.0,3.0,"Matt Haack punts 55 yards, fair catch by Cooper DeJean at PHI-8",-0.91,0.38,7.0,2024,101
4.0,3:23,1.0,10.0,PHI 8,28.0,3.0,Will Shipley left tackle for 1 yard (tackle by Darius Muasau),-0.38,-0.71,7.0,2024,101
4.0,2:40,2.0,9.0,PHI 9,28.0,3.0,Will Shipley up the middle for 2 yards (tackle by Tomon Fox),-0.71,-1.07,7.0,2024,101
4.0,2:33,,,,,,Timeout #1 by New York Giants,,,7.0,2024,101
4.0,2:33,3.0,7.0,PHI 11,28.0,3.0,Will Shipley left tackle for 2 yards (tackle by D.J. Davidson and Tyler Nubin),-1.07,-2.49,7.0,2024,101
4.0,2:26,,,,,,Timeout #2 by New York Giants,,,7.0,2024,101
4.0,2:26,4.0,5.0,PHI 13,28.0,3.0,"Braden Mann punts, fair catch by Ihmir Smith-Marsette at NYG-33. Penalty on Tomon Fox: Roughing the Kicker, 15 yards (accepted) (no play)",-2.49,0.81,7.0,2024,101
4.0,2:19,1.0,10.0,PHI 28,28.0,3.0,Will Shipley left tackle for no gain (tackle by Elijah Chatman and Azeez Ojulari),0.81,0.26,7.0,2024,101
4.0,2:00,2.0,10.0,PHI 28,28.0,3.0,Kenny Pickett sacked by Tomon Fox for -8 yards,0.26,-1.48,7.0,2024,101
4.0,1:18,3.0,18.0,PHI 20,28.0,3.0,Will Shipley right tackle for 3 yards (tackle by Elijah Chatman),-1.48,-1.83,7.0,2024,101
4.0,0:31,4.0,15.0,PHI 23,28.0,3.0,"Braden Mann punts 58 yards, returned by Ihmir Smith-Marsette for 14 yards (tackle by Jack Stoll)",-1.83,-1.14,7.0,2024,101
4.0,0:19,1.0,10.0,NYG 33,28.0,3.0,Eric Gray left guard for 2 yards (tackle by Thomas Booker and Jeremiah Trotter),1.14,0.86,7.0,2024,101
