Quarter,Time,Down,ToGo,Location,SEA,ATL,Detail,EPB,EPA,week,year,game_id
2.0,12:43,1.0,10.0,SEA 44,3.0,0.0,Zach Charbonnet right guard for 1 yard (tackle by David Onyemata and Nathan Landman),1.86,1.45,7.0,2024,96
2.0,12:06,2.0,9.0,SEA 45,3.0,0.0,Zach Charbonnet right tackle for 2 yards (tackle by AJ Terrell),1.45,1.03,7.0,2024,96
2.0,11:22,3.0,7.0,SEA 47,3.0,0.0,Geno Smith pass complete short middle to Noah Fant for 28 yards (tackle by Mike Hughes),1.03,3.91,7.0,2024,96
2.0,10:35,1.0,10.0,ATL 25,3.0,0.0,Geno Smith pass complete short left to AJ Barner for 5 yards (tackle by Mike Hughes),3.91,4.04,7.0,2024,96
2.0,9:59,2.0,5.0,ATL 20,9.0,0.0,"Kenneth Walker right tackle for 20 yards, touchdown",4.04,7.0,7.0,2024,96
2.0,9:52,,,ATL 15,10.0,0.0,Jason Myers kicks extra point good,0.0,0.0,7.0,2024,96
2.0,9:52,,,SEA 35,10.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,96
2.0,9:52,1.0,10.0,ATL 30,10.0,0.0,Bijan Robinson left end for 26 yards (tackle by Julian Love),0.94,2.65,7.0,2024,96
2.0,9:07,1.0,10.0,SEA 44,10.0,0.0,Bijan Robinson right tackle for 5 yards (tackle by Johnathan Hankins),2.65,2.78,7.0,2024,96
2.0,8:25,2.0,5.0,SEA 39,10.0,0.0,Bijan Robinson left guard for 7 yards (tackle by K'Von Wallace),2.78,3.45,7.0,2024,96
2.0,7:57,1.0,10.0,SEA 32,10.0,0.0,Bijan Robinson right tackle for 5 yards (tackle by Byron Murphy),3.45,3.58,7.0,2024,96
2.0,7:38,2.0,5.0,SEA 27,10.0,0.0,Tyler Allgeier left end for 3 yards (tackle by Jarran Reed),3.58,3.27,7.0,2024,96
2.0,7:11,3.0,2.0,SEA 24,10.0,0.0,Kirk Cousins pass complete short middle to Drake London for 12 yards (tackle by Coby Bryant),3.27,4.78,7.0,2024,96
2.0,6:23,1.0,10.0,SEA 12,10.0,0.0,Bijan Robinson left end for 5 yards (tackle by Josh Jobe and Julian Love),4.78,5.02,7.0,2024,96
2.0,5:42,2.0,5.0,SEA 7,10.0,0.0,Bijan Robinson right tackle for 2 yards (tackle by Julian Love and Coby Bryant),5.02,4.61,7.0,2024,96
2.0,5:22,3.0,3.0,SEA 5,10.0,6.0,"Bijan Robinson right tackle for 5 yards, touchdown",4.61,7.0,7.0,2024,96
2.0,5:18,,,SEA 15,10.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,7.0,2024,96
2.0,5:18,,,ATL 35,10.0,7.0,"Younghoe Koo kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,96
2.0,5:18,1.0,10.0,SEA 30,10.0,7.0,Jaxon Smith-Njigba pass complete deep right to D.K. Metcalf for 35 yards (tackle by AJ Terrell),0.94,3.25,7.0,2024,96
2.0,4:32,1.0,10.0,ATL 35,10.0,7.0,Geno Smith sacked by James Smith-Williams for -6 yards,3.25,1.89,7.0,2024,96
2.0,3:57,2.0,16.0,ATL 41,10.0,7.0,"Penalty on Christian Haynes: False Start, 5 yards (accepted) (no play)",1.89,1.22,7.0,2024,96
2.0,3:40,2.0,21.0,ATL 46,10.0,7.0,Geno Smith pass complete short right to Zach Charbonnet for -5 yards (tackle by Grady Jarrett and Kaden Elliss),1.22,-0.1,7.0,2024,96
2.0,2:58,3.0,26.0,SEA 49,10.0,7.0,Geno Smith scrambles right end for 5 yards (tackle by Matt Judon),-0.1,0.2,7.0,2024,96
2.0,2:20,4.0,21.0,ATL 46,10.0,7.0,"Michael Dickson punts 36 yards, fair catch by Avery Williams at ATL-10",0.2,0.38,7.0,2024,96
2.0,2:15,1.0,10.0,ATL 10,10.0,7.0,Tyler Allgeier right tackle for 24 yards (tackle by Julian Love and Byron Murphy),-0.38,1.2,7.0,2024,96
2.0,2:00,1.0,10.0,ATL 34,10.0,7.0,Bijan Robinson right tackle for 7 yards (tackle by Tyrel Dodson and Julian Love),1.2,1.6,7.0,2024,96
2.0,1:39,2.0,3.0,ATL 41,10.0,7.0,Kirk Cousins sacked by Leonard Williams for -7 yards,1.6,-0.03,7.0,2024,96
2.0,1:30,,,,,,Timeout #1 by Seattle Seahawks,,,7.0,2024,96
2.0,1:30,3.0,10.0,ATL 34,10.0,7.0,Kirk Cousins pass complete short left to Kyle Pitts for 7 yards (tackle by Devon Witherspoon and Coby Bryant),-0.03,-0.65,7.0,2024,96
2.0,1:20,,,,,,Timeout #2 by Seattle Seahawks,,,7.0,2024,96
2.0,1:20,4.0,3.0,ATL 41,10.0,7.0,"Bradley Pinion punts 45 yards, returned by Dee Williams for 18 yards (tackle by Charlie Woerner)",-0.65,-1.07,7.0,2024,96
2.0,1:07,1.0,10.0,SEA 32,10.0,7.0,Geno Smith pass complete short right to Tyler Lockett for 15 yards (tackle by Justin Simmons),1.07,2.06,7.0,2024,96
2.0,0:41,1.0,10.0,SEA 47,10.0,7.0,Geno Smith pass complete deep left to Tyler Lockett for 16 yards (tackle by Clark Phillips),2.06,3.12,7.0,2024,96
2.0,0:39,1.0,10.0,ATL 37,10.0,7.0,Geno Smith pass complete short left to Noah Fant for 11 yards (tackle by Justin Simmons),3.12,3.84,7.0,2024,96
2.0,0:24,1.0,10.0,ATL 26,10.0,7.0,Geno Smith pass complete short right to Noah Fant for 5 yards (tackle by DeAundre Alford),3.84,3.97,7.0,2024,96
2.0,0:17,2.0,5.0,ATL 21,10.0,7.0,"Geno Smith pass incomplete short right. Penalty on Geno Smith: Intentional Grounding, 10 yards (accepted)",3.97,1.95,7.0,2024,96
2.0,0:10,,,,,,Timeout #1 by Atlanta Falcons,,,7.0,2024,96
2.0,0:10,3.0,15.0,ATL 31,16.0,7.0,"Geno Smith pass complete deep middle to D.K. Metcalf for 31 yards, touchdown",1.95,7.0,7.0,2024,96
2.0,0:04,,,ATL 15,17.0,7.0,Jason Myers kicks extra point good,0.0,0.0,7.0,2024,96
2.0,0:04,,,SEA 35,17.0,7.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,96
2.0,0:04,1.0,10.0,ATL 30,17.0,7.0,Kirk Cousins kneels for -1 yards,0.94,0.26,7.0,2024,96
3.0,15:00,,,SEA 35,17.0,7.0,"Jason Myers kicks off 65 yards, returned by Avery Williams for 21 yards (tackle by Laviska Shenault)",0.0,0.34,7.0,2024,96
3.0,14:55,1.0,10.0,ATL 21,17.0,7.0,Bijan Robinson left tackle for no gain (tackle by Leonard Williams and Jerome Baker),0.34,-0.2,7.0,2024,96
3.0,14:15,2.0,10.0,ATL 21,17.0,7.0,Kirk Cousins pass complete short right to Bijan Robinson for 26 yards (tackle by Coby Bryant),-0.2,2.06,7.0,2024,96
3.0,13:39,1.0,10.0,ATL 47,17.0,7.0,Bijan Robinson right guard for 7 yards (tackle by Coby Bryant and Julian Love),2.06,2.46,7.0,2024,96
3.0,13:03,2.0,3.0,SEA 46,17.0,7.0,Tyler Allgeier right tackle for -1 yards (tackle by Jarran Reed),2.46,1.62,7.0,2024,96
3.0,12:40,3.0,4.0,SEA 47,17.0,7.0,Kirk Cousins pass complete short left to Darnell Mooney for 5 yards (tackle by Devon Witherspoon),1.62,2.79,7.0,2024,96
3.0,12:04,1.0,10.0,SEA 42,17.0,7.0,Kirk Cousins pass complete short right to Tyler Allgeier for 9 yards (tackle by Coby Bryant and Johnathan Hankins),2.79,3.46,7.0,2024,96
3.0,11:48,2.0,1.0,SEA 33,17.0,7.0,Kirk Cousins pass complete short right to Drake London for 8 yards (tackle by Josh Jobe and Jerome Baker),3.46,3.91,7.0,2024,96
3.0,11:10,1.0,10.0,SEA 25,17.0,7.0,Bijan Robinson left tackle for 9 yards (tackle by Julian Love and Coby Bryant),3.91,4.75,7.0,2024,96
3.0,10:29,2.0,1.0,SEA 16,17.0,7.0,Bijan Robinson left guard for -2 yards (tackle by Byron Murphy and Roy Robertson-Harris),4.75,3.66,7.0,2024,96
3.0,9:51,3.0,3.0,SEA 18,17.0,7.0,Kirk Cousins pass complete short left to Darnell Mooney for 4 yards (tackle by Josh Jobe),3.66,4.65,7.0,2024,96
3.0,9:15,1.0,10.0,SEA 14,17.0,7.0,Bijan Robinson left end for -1 yards (tackle by Dre'Mont Jones and Josh Jobe),4.65,3.85,7.0,2024,96
3.0,8:34,2.0,11.0,SEA 15,17.0,7.0,Kirk Cousins pass complete short middle to Drake London for 9 yards (tackle by Coby Bryant),3.85,4.73,7.0,2024,96
3.0,8:10,3.0,2.0,SEA 6,17.0,7.0,Bijan Robinson left end for 1 yard (tackle by Tyrel Dodson and Jarran Reed),4.73,3.03,7.0,2024,96
3.0,7:47,4.0,1.0,SEA 5,17.0,13.0,"Kirk Cousins pass complete short right to Drake London for 5 yards, touchdown",3.03,7.0,7.0,2024,96
3.0,7:43,,,SEA 15,17.0,14.0,Younghoe Koo kicks extra point good,0.0,0.0,7.0,2024,96
3.0,7:43,,,ATL 35,17.0,14.0,"Bradley Pinion kicks off 62 yards, returned by Dee Williams for 34 yards (tackle by Kevin King)",0.0,1.4,7.0,2024,96
3.0,7:37,1.0,10.0,SEA 37,17.0,14.0,"Penalty on Matt Judon: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.4,2.13,7.0,2024,96
3.0,7:37,1.0,5.0,SEA 42,17.0,14.0,Kenneth Walker left tackle for 2 yards (tackle by Grady Jarrett and David Onyemata),2.13,1.8,7.0,2024,96
3.0,7:04,2.0,3.0,SEA 44,17.0,14.0,Kenneth Walker right guard for 3 yards (tackle by Nathan Landman),1.8,2.06,7.0,2024,96
3.0,6:24,1.0,10.0,SEA 47,17.0,14.0,Geno Smith pass incomplete deep left intended for Tyler Lockett (defended by Mike Hughes),2.06,1.52,7.0,2024,96
3.0,6:14,2.0,10.0,SEA 47,17.0,14.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 1 yard (tackle by Mike Hughes),1.52,0.96,7.0,2024,96
3.0,5:41,3.0,9.0,SEA 48,17.0,14.0,Geno Smith scrambles right guard for 8 yards (tackle by Kaden Elliss and Matt Judon),0.96,0.33,7.0,2024,96
3.0,5:03,4.0,1.0,ATL 44,17.0,14.0,Zach Charbonnet up the middle for 7 yards (tackle by AJ Terrell),0.33,3.12,7.0,2024,96
3.0,4:23,1.0,10.0,ATL 37,17.0,14.0,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba (defended by DeAundre Alford),3.12,2.57,7.0,2024,96
3.0,4:16,2.0,10.0,ATL 37,17.0,14.0,Kenneth Walker right tackle for 5 yards (tackle by Arnold Ebiketie),2.57,2.54,7.0,2024,96
3.0,3:32,3.0,5.0,ATL 32,17.0,14.0,"Geno Smith pass incomplete deep left intended for Tyler Lockett. Penalty on Grady Jarrett: Roughing the Passer, 15 yards (accepted) (no play)",2.54,4.44,7.0,2024,96
3.0,3:23,1.0,10.0,ATL 17,23.0,14.0,"Geno Smith pass complete deep right to Kenneth Walker for 17 yards, touchdown",4.44,7.0,7.0,2024,96
3.0,3:18,,,ATL 15,24.0,14.0,Jason Myers kicks extra point good,0.0,0.0,7.0,2024,96
3.0,3:18,,,SEA 35,24.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,96
3.0,3:18,1.0,10.0,ATL 30,24.0,14.0,Kirk Cousins pass incomplete short middle intended for Darnell Mooney (defended by Dre'Mont Jones),0.94,0.39,7.0,2024,96
3.0,3:12,2.0,10.0,ATL 30,24.0,14.0,Kirk Cousins sacked by Dre'Mont Jones for -9 yards,0.39,-1.48,7.0,2024,96
3.0,2:39,3.0,19.0,ATL 21,24.0,14.0,"Penalty on Kyle Hinton: False Start, 5 yards (accepted) (no play)",-1.48,-2.6,7.0,2024,96
3.0,2:27,3.0,24.0,ATL 16,24.0,14.0,Kirk Cousins pass complete short right to Kyle Pitts for 11 yards (tackle by Devon Witherspoon),-2.6,-1.57,7.0,2024,96
3.0,1:51,4.0,13.0,ATL 27,24.0,14.0,"Bradley Pinion punts 47 yards, fair catch by Dee Williams at SEA-26",-1.57,-0.67,7.0,2024,96
3.0,1:44,1.0,10.0,SEA 26,24.0,14.0,Zach Charbonnet right tackle for 2 yards (tackle by Grady Jarrett),0.67,0.4,7.0,2024,96
3.0,1:16,2.0,8.0,SEA 28,24.0,14.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by AJ Terrell),0.4,-0.3,7.0,2024,96
3.0,1:08,3.0,8.0,SEA 28,24.0,14.0,"Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba. Penalty on Nathan Landman: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",-0.3,1.14,7.0,2024,96
3.0,1:04,1.0,10.0,SEA 33,24.0,14.0,Kenneth Walker left guard for 3 yards (tackle by Arnold Ebiketie and Kaden Elliss),1.14,1.0,7.0,2024,96
3.0,0:30,2.0,7.0,SEA 36,24.0,14.0,Geno Smith pass incomplete short right intended for Jake Bobo,1.0,0.3,7.0,2024,96
3.0,0:22,3.0,7.0,SEA 36,24.0,14.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Justin Simmons),0.3,-0.98,7.0,2024,96
3.0,0:17,4.0,7.0,SEA 36,24.0,14.0,"Michael Dickson punts 41 yards, fair catch by Avery Williams at ATL-23",-0.98,-0.48,7.0,2024,96
3.0,0:10,1.0,10.0,ATL 23,24.0,14.0,Kirk Cousins pass complete short left to Bijan Robinson for 8 yards (tackle by Jerome Baker),0.48,1.01,7.0,2024,96
4.0,15:00,2.0,2.0,ATL 31,24.0,14.0,Bijan Robinson left end for 1 yard (tackle by Johnathan Hankins and Tyrel Dodson),1.01,0.43,7.0,2024,96
4.0,14:27,3.0,1.0,ATL 32,24.0,14.0,Bijan Robinson up the middle for 1 yard (tackle by Byron Murphy and Leonard Williams),0.43,1.14,7.0,2024,96
4.0,13:59,1.0,10.0,ATL 33,24.0,14.0,Kirk Cousins pass complete short right to Kyle Pitts for 6 yards (tackle by Devon Witherspoon),1.14,1.4,7.0,2024,96
4.0,13:34,2.0,4.0,ATL 39,24.0,14.0,"Kirk Cousins pass incomplete deep right intended for Drake London. Penalty on Josh Jobe: Defensive Pass Interference, 12 yards (accepted) (no play)",1.4,2.32,7.0,2024,96
4.0,13:28,1.0,10.0,SEA 49,24.0,14.0,Bijan Robinson right tackle for 1 yard (tackle by Boye Mafe and Tyrel Dodson),2.32,1.92,7.0,2024,96
4.0,13:05,2.0,9.0,SEA 48,24.0,14.0,Kirk Cousins pass incomplete deep right intended for Drake London,1.92,1.22,7.0,2024,96
4.0,12:59,3.0,9.0,SEA 48,30.0,14.0,"Kirk Cousins sacked by Boye Mafe for -16 yards. Kirk Cousins fumbles (forced by Boye Mafe), recovered by Derick Hall at ATL-36 and returned for 36 yards, touchdown",1.22,-7.0,7.0,2024,96
4.0,12:46,,,ATL 15,31.0,14.0,Jason Myers kicks extra point good,0.0,0.0,7.0,2024,96
4.0,12:46,,,SEA 35,31.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,96
4.0,12:46,1.0,10.0,ATL 30,31.0,14.0,Kirk Cousins pass complete short left to Darnell Mooney for 6 yards (tackle by Nehemiah Pritchett),0.94,1.2,7.0,2024,96
4.0,12:28,2.0,4.0,ATL 36,31.0,14.0,Kirk Cousins pass complete deep right to Drake London for 17 yards (tackle by Nehemiah Pritchett),1.2,2.46,7.0,2024,96
4.0,12:02,1.0,10.0,SEA 47,31.0,14.0,"Kirk Cousins pass incomplete deep right intended for Drake London. Penalty on Drake London: Offensive Pass Interference, 10 yards (accepted) (no play)",2.46,1.8,7.0,2024,96
4.0,11:45,1.0,20.0,ATL 43,31.0,14.0,Kirk Cousins pass incomplete short right intended for Kyle Pitts (defended by Josh Jobe),1.8,0.56,7.0,2024,96
4.0,11:42,2.0,20.0,ATL 43,31.0,14.0,Kirk Cousins pass incomplete deep right intended for Ray-Ray McCloud,0.56,-0.1,7.0,2024,96
4.0,11:37,3.0,20.0,ATL 43,31.0,14.0,"Kirk Cousins pass complete deep right to Darnell Mooney for 19 yards (tackle by Josh Jobe) ATL challenged the short of the line to gain ruling, and the original play was overturned. Kirk Cousins pass complete deep right to Darnell Mooney for 20 yards (tackle by Josh Jobe)",-0.1,3.12,7.0,2024,96
4.0,11:03,1.0,10.0,SEA 37,31.0,14.0,Kirk Cousins pass deep right intended for Drake London is intercepted by Julian Love at SEA-15 and returned for 26 yards (tackle by Bijan Robinson),3.12,-1.66,7.0,2024,96
4.0,10:55,1.0,10.0,SEA 41,31.0,14.0,Kenneth Walker left guard for 2 yards (tackle by Grady Jarrett),1.66,1.39,7.0,2024,96
4.0,10:14,2.0,8.0,SEA 43,31.0,14.0,Kenneth Walker right tackle for 4 yards (tackle by Jessie Bates and Ruke Orhorhoro),1.39,1.22,7.0,2024,96
4.0,9:29,3.0,4.0,SEA 47,31.0,14.0,Geno Smith pass complete short left to Tyler Lockett for 8 yards (tackle by DeAundre Alford),1.22,2.59,7.0,2024,96
4.0,8:49,1.0,10.0,ATL 45,31.0,14.0,Kenneth Walker left guard for 2 yards (tackle by Nathan Landman and Kaden Elliss),2.59,2.31,7.0,2024,96
4.0,8:05,2.0,8.0,ATL 43,31.0,14.0,Kenneth Walker left guard for 3 yards (tackle by David Onyemata),2.31,2.01,7.0,2024,96
4.0,7:19,3.0,5.0,ATL 40,31.0,14.0,Geno Smith pass incomplete short middle intended for Jaxon Smith-Njigba,2.01,0.59,7.0,2024,96
4.0,7:15,4.0,5.0,ATL 40,34.0,14.0,Jason Myers 59 yard field goal good,0.59,3.0,7.0,2024,96
4.0,7:10,,,SEA 35,34.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,96
4.0,7:10,1.0,10.0,ATL 30,34.0,14.0,Kirk Cousins pass incomplete short left intended for Bijan Robinson (defended by Josh Jobe),0.94,0.39,7.0,2024,96
4.0,7:06,2.0,10.0,ATL 30,34.0,14.0,Kirk Cousins pass incomplete short middle intended for Darnell Mooney,0.39,-0.3,7.0,2024,96
4.0,7:00,3.0,10.0,ATL 30,34.0,14.0,Kirk Cousins pass complete short left to Bijan Robinson for 6 yards (tackle by Julian Love),-0.3,-0.98,7.0,2024,96
4.0,6:25,4.0,4.0,ATL 36,34.0,14.0,Kirk Cousins pass complete short right to Drake London for 12 yards (tackle by Devon Witherspoon),-0.98,2.13,7.0,2024,96
4.0,6:02,1.0,10.0,ATL 48,34.0,14.0,Kirk Cousins pass deep middle intended for Kyle Pitts is intercepted by Coby Bryant at SEA-28 and returned for 9 yards (tackle by Bijan Robinson),2.13,-1.4,7.0,2024,96
4.0,5:54,1.0,10.0,SEA 37,34.0,14.0,Zach Charbonnet left tackle for 1 yard (tackle by Kaden Elliss and Ta'Quon Graham),1.4,0.99,7.0,2024,96
4.0,5:13,2.0,9.0,SEA 38,34.0,14.0,Zach Charbonnet right tackle for 2 yards (tackle by David Onyemata and Kaden Elliss),0.99,0.56,7.0,2024,96
4.0,4:30,3.0,7.0,SEA 40,34.0,14.0,Kenny McIntosh left end for 5 yards (tackle by Mike Hughes),0.56,-0.39,7.0,2024,96
4.0,3:45,4.0,2.0,SEA 45,34.0,14.0,"Penalty on SEA: Delay of Game, 5 yards (declined) (no play)",-0.39,-0.39,7.0,2024,96
4.0,3:44,4.0,2.0,SEA 45,34.0,14.0,"Michael Dickson punts 42 yards, fair catch by Avery Williams at ATL-13",-0.39,0.32,7.0,2024,96
4.0,3:37,1.0,10.0,ATL 13,34.0,14.0,Bijan Robinson right guard for 6 yards (tackle by Boye Mafe and Nehemiah Pritchett),-0.32,0.03,7.0,2024,96
4.0,2:54,2.0,4.0,ATL 19,34.0,14.0,Jase McClellan right tackle for 2 yards (tackle by K'Von Wallace and Tyrice Knight),0.03,-0.47,7.0,2024,96
