Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA,week,year,game_id
2.0,4:47,1.0,10.0,NYJ 40,15.0,6.0,"Russell Wilson pass incomplete short middle intended for MyCole Pruitt. Penalty on Ryan McCollum: Offensive Holding, 10 yards (accepted) (no play)",2.92,2.26,7.0,2024,105
2.0,4:39,1.0,20.0,NYJ 50,15.0,6.0,Russell Wilson pass incomplete deep middle intended for George Pickens (defended by Jalen Mills),2.26,1.02,7.0,2024,105
2.0,4:32,2.0,20.0,NYJ 50,15.0,6.0,Russell Wilson sacked by Will McDonald for -4 yards,1.02,-0.16,7.0,2024,105
2.0,3:59,3.0,24.0,PIT 46,15.0,6.0,Russell Wilson pass complete short left to George Pickens for 12 yards (tackle by Jalen Mills and Tony Adams),-0.16,0.46,7.0,2024,105
2.0,3:18,4.0,12.0,NYJ 42,15.0,6.0,Corliss Waitman punts 35 yards downed by Rodney Williams,0.46,0.38,7.0,2024,105
2.0,3:10,1.0,10.0,NYJ 7,15.0,6.0,Breece Hall left end for 3 yards (tackle by Payton Wilson),-0.38,-0.56,7.0,2024,105
2.0,2:28,2.0,7.0,NYJ 10,15.0,6.0,Aaron Rodgers pass complete deep right to Allen Lazard for 20 yards (tackle by James Pierre),-0.56,0.94,7.0,2024,105
2.0,2:00,1.0,10.0,NYJ 30,15.0,6.0,Breece Hall left guard for 6 yards (tackle by Cameron Heyward),0.94,1.2,7.0,2024,105
2.0,1:26,2.0,4.0,NYJ 36,15.0,6.0,Aaron Rodgers pass deep middle intended for Garrett Wilson is intercepted by Beanie Bishop at PIT-46 and returned for no gain (tackle by Garrett Wilson),1.2,-1.99,7.0,2024,105
2.0,1:15,1.0,10.0,PIT 46,15.0,6.0,Russell Wilson pass complete short right to Van Jefferson for 11 yards (tackle by Tony Adams and Brandin Echols),1.99,2.72,7.0,2024,105
2.0,0:49,1.0,10.0,NYJ 43,15.0,6.0,Jaylen Warren right guard for 3 yards (tackle by Javon Kinlaw),2.72,2.58,7.0,2024,105
2.0,0:43,,,,,,Timeout #1 by Pittsburgh Steelers,,,7.0,2024,105
2.0,0:43,2.0,7.0,NYJ 40,15.0,6.0,"Russell Wilson pass incomplete deep right intended for George Pickens. Penalty on Sauce Gardner: Defensive Pass Interference, 29 yards (accepted) (no play)",2.58,4.84,7.0,2024,105
2.0,0:37,,,,,,Timeout #2 by New York Jets,,,7.0,2024,105
2.0,0:37,1.0,10.0,NYJ 11,15.0,6.0,Russell Wilson pass incomplete short right intended for Jaylen Warren,4.84,4.14,7.0,2024,105
2.0,0:32,2.0,10.0,NYJ 11,15.0,12.0,"Russell Wilson pass complete short right to George Pickens for 11 yards, touchdown",4.14,7.0,7.0,2024,105
2.0,0:27,,,NYJ 15,15.0,13.0,Chris Boswell kicks extra point good,0.0,0.0,7.0,2024,105
2.0,0:27,,,PIT 35,15.0,13.0,"Chris Boswell kicks off 66 yards, returned by Isaiah Davis for 23 yards (tackle by Payton Wilson and Jonathan Ward)",0.0,0.41,7.0,2024,105
2.0,0:21,1.0,10.0,NYJ 22,15.0,13.0,Aaron Rodgers pass complete short left to Garrett Wilson for -4 yards (tackle by Beanie Bishop),0.41,-0.77,7.0,2024,105
3.0,15:00,,,PIT 35,15.0,13.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,105
3.0,15:00,1.0,10.0,NYJ 30,15.0,13.0,"Penalty on Garrett Wilson: False Start, 5 yards (accepted) (no play)",0.94,0.61,7.0,2024,105
3.0,15:00,1.0,15.0,NYJ 25,15.0,13.0,Aaron Rodgers pass complete short left to Garrett Wilson for 18 yards (tackle by Payton Wilson),0.61,1.8,7.0,2024,105
3.0,14:18,1.0,10.0,NYJ 43,15.0,13.0,Breece Hall left tackle for no gain (tackle by Alex Highsmith),1.8,1.25,7.0,2024,105
3.0,13:35,2.0,10.0,NYJ 43,15.0,13.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 8 yards (tackle by Beanie Bishop),1.25,1.62,7.0,2024,105
3.0,12:57,3.0,2.0,PIT 49,15.0,13.0,Aaron Rodgers pass incomplete short middle intended for Davante Adams,1.62,0.0,7.0,2024,105
3.0,12:50,4.0,2.0,PIT 49,15.0,13.0,"Thomas Morstead punts 37 yards, returned by Calvin Austin for 9 yards (tackle by Isaiah Davis)",0.0,-0.34,7.0,2024,105
3.0,12:41,1.0,10.0,PIT 21,15.0,13.0,Najee Harris up the middle for 3 yards (tackle by Jalen Mills),0.34,0.21,7.0,2024,105
3.0,12:08,2.0,7.0,PIT 24,15.0,13.0,Russell Wilson pass incomplete short left intended for Najee Harris,0.21,-0.49,7.0,2024,105
3.0,12:02,3.0,7.0,PIT 24,15.0,13.0,Russell Wilson pass complete deep right to George Pickens for 37 yards (tackle by Isaiah Oliver),-0.49,2.98,7.0,2024,105
3.0,11:15,1.0,10.0,NYJ 39,15.0,13.0,Russell Wilson pass complete short right to Darnell Washington for 1 yard (tackle by Quincy Williams),2.98,2.58,7.0,2024,105
3.0,10:47,2.0,9.0,NYJ 38,15.0,13.0,Najee Harris right tackle for 4 yards (tackle by Takkarist McKinley),2.58,2.41,7.0,2024,105
3.0,10:08,3.0,5.0,NYJ 34,15.0,13.0,Russell Wilson pass complete deep right to Pat Freiermuth for 21 yards (tackle by Jalen Mills),2.41,4.71,7.0,2024,105
3.0,9:21,1.0,10.0,NYJ 13,15.0,13.0,Jaylen Warren left guard for 10 yards (tackle by Ashtyn Davis and Jalen Mills),4.71,6.51,7.0,2024,105
3.0,8:41,1.0,3.0,NYJ 3,15.0,13.0,Jaylen Warren left guard for no gain (tackle by Quincy Williams and Leki Fotu),6.51,5.53,7.0,2024,105
3.0,8:03,2.0,3.0,NYJ 3,15.0,13.0,Russell Wilson pass incomplete short left intended for George Pickens (defended by Sauce Gardner),5.53,4.72,7.0,2024,105
3.0,7:56,3.0,3.0,NYJ 3,15.0,13.0,Russell Wilson pass incomplete short left intended for Van Jefferson,4.72,3.04,7.0,2024,105
3.0,7:51,4.0,3.0,NYJ 3,15.0,16.0,Chris Boswell 21 yard field goal good,3.04,3.0,7.0,2024,105
3.0,7:49,,,PIT 35,15.0,16.0,"Chris Boswell kicks off 64 yards, returned by Xavier Gipson for 22 yards (tackle by Jeremiah Moon)",0.0,0.48,7.0,2024,105
3.0,7:42,1.0,10.0,NYJ 23,15.0,16.0,Aaron Rodgers pass incomplete short right intended for Breece Hall,0.48,-0.07,7.0,2024,105
3.0,7:39,2.0,10.0,NYJ 23,15.0,16.0,Aaron Rodgers pass deep left intended for Garrett Wilson is intercepted by Beanie Bishop at NYJ-42 and returned for 41 yards (tackle by Davante Adams),-0.07,-6.97,7.0,2024,105
3.0,7:22,1.0,1.0,NYJ 1,15.0,22.0,"Russell Wilson up the middle for 1 yard, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",6.97,7.0,7.0,2024,105
3.0,7:15,,,NYJ 15,15.0,23.0,Chris Boswell kicks extra point good,0.0,0.0,7.0,2024,105
3.0,7:15,,,PIT 35,15.0,23.0,"Chris Boswell kicks off 60 yards, returned by Isaiah Davis for 21 yards (tackle by Connor Heyward and Terrell Edmunds)",0.0,0.67,7.0,2024,105
3.0,7:09,1.0,10.0,NYJ 26,15.0,23.0,Breece Hall left guard for 5 yards (tackle by Payton Wilson and Patrick Queen),0.67,0.81,7.0,2024,105
3.0,6:31,2.0,5.0,NYJ 31,15.0,23.0,Aaron Rodgers pass complete short left to Allen Lazard for 15 yards (tackle by James Pierre),0.81,1.99,7.0,2024,105
3.0,5:50,1.0,10.0,NYJ 46,15.0,23.0,Breece Hall right tackle for 13 yards (tackle by Payton Wilson),1.99,2.85,7.0,2024,105
3.0,5:06,1.0,10.0,PIT 41,15.0,23.0,Aaron Rodgers pass incomplete short left intended for Breece Hall,2.85,2.31,7.0,2024,105
3.0,5:01,2.0,10.0,PIT 41,15.0,23.0,Braelon Allen left tackle for 3 yards (tackle by Keeanu Benton),2.31,2.02,7.0,2024,105
3.0,4:23,3.0,7.0,PIT 38,15.0,23.0,Aaron Rodgers pass complete short left to Breece Hall for 6 yards (tackle by Keeanu Benton),2.02,1.31,7.0,2024,105
3.0,3:36,4.0,1.0,PIT 32,15.0,23.0,Aaron Rodgers pass complete short middle to Mike Williams for 15 yards (tackle by DeShon Elliott),1.31,4.44,7.0,2024,105
3.0,2:58,1.0,10.0,PIT 17,15.0,23.0,Aaron Rodgers pass incomplete short right intended for Garrett Wilson,4.44,3.85,7.0,2024,105
3.0,2:51,,,,,,Timeout #1 by New York Jets,,,7.0,2024,105
3.0,2:51,2.0,10.0,PIT 17,15.0,23.0,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by T.J. Watt),3.85,3.07,7.0,2024,105
3.0,2:47,3.0,10.0,PIT 17,15.0,23.0,Aaron Rodgers pass incomplete deep left intended for Mike Williams,3.07,2.31,7.0,2024,105
3.0,2:42,4.0,10.0,PIT 17,15.0,23.0,Greg Zuerlein 35 yard field goal no good blocked by Dean Lowry,2.31,-0.61,7.0,2024,105
3.0,2:37,1.0,10.0,PIT 25,15.0,23.0,Russell Wilson pass complete short left to Darnell Washington for 2 yards (tackle by Jamien Sherwood),0.61,0.33,7.0,2024,105
3.0,2:02,2.0,8.0,PIT 27,15.0,23.0,Najee Harris left guard for no gain (tackle by Javon Kinlaw),0.33,-0.36,7.0,2024,105
3.0,1:22,3.0,8.0,PIT 27,15.0,23.0,Russell Wilson pass complete short right to Jaylen Warren for 11 yards (tackle by Ashtyn Davis),-0.36,1.47,7.0,2024,105
3.0,0:54,1.0,10.0,PIT 38,15.0,23.0,Jaylen Warren right guard for 5 yards (tackle by C.J. Mosley),1.47,1.6,7.0,2024,105
3.0,0:13,2.0,5.0,PIT 43,15.0,23.0,Russell Wilson pass complete short left to George Pickens for 7 yards (tackle by Kendall Sheffield),1.6,2.26,7.0,2024,105
4.0,15:00,1.0,10.0,PIT 50,15.0,23.0,Najee Harris left guard for 34 yards (tackle by Will McDonald),2.26,4.51,7.0,2024,105
4.0,14:24,1.0,10.0,NYJ 16,15.0,23.0,Najee Harris left guard for 4 yards (tackle by Leki Fotu and Leonard Taylor),4.51,4.57,7.0,2024,105
4.0,13:47,2.0,6.0,NYJ 12,15.0,23.0,Najee Harris right guard for 7 yards (tackle by Isaiah Oliver and Jamien Sherwood),4.57,6.06,7.0,2024,105
4.0,13:05,1.0,5.0,NYJ 5,15.0,23.0,Najee Harris left tackle for 1 yard (tackle by Jamien Sherwood and Takkarist McKinley),6.06,5.34,7.0,2024,105
4.0,12:20,2.0,4.0,NYJ 4,15.0,23.0,Russell Wilson pass incomplete short left intended for George Pickens,5.34,4.49,7.0,2024,105
4.0,12:13,3.0,4.0,NYJ 4,15.0,29.0,"Russell Wilson pass complete short right to Van Jefferson for 4 yards, touchdown",4.49,7.0,7.0,2024,105
4.0,12:09,,,NYJ 15,15.0,30.0,Chris Boswell kicks extra point good,0.0,0.0,7.0,2024,105
4.0,12:09,,,PIT 35,15.0,30.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,105
4.0,12:09,1.0,10.0,NYJ 30,15.0,30.0,Breece Hall left tackle for -1 yards (tackle by Joey Porter),0.94,0.26,7.0,2024,105
4.0,11:40,2.0,11.0,NYJ 29,15.0,30.0,"Penalty on Garrett Wilson: False Start, 5 yards (accepted) (no play)",0.26,-0.42,7.0,2024,105
4.0,11:40,2.0,16.0,NYJ 24,15.0,30.0,Aaron Rodgers pass complete short left to Breece Hall for 4 yards (tackle by DeShon Elliott),-0.42,-0.56,7.0,2024,105
4.0,11:00,3.0,12.0,NYJ 28,15.0,30.0,Aaron Rodgers pass complete deep middle to Allen Lazard for 19 yards (tackle by Minkah Fitzpatrick),-0.56,2.06,7.0,2024,105
4.0,10:26,1.0,10.0,NYJ 47,15.0,30.0,Aaron Rodgers pass complete short right to Tyler Conklin for 1 yard (tackle by Payton Wilson),2.06,1.65,7.0,2024,105
4.0,9:44,2.0,9.0,NYJ 48,15.0,30.0,"Penalty on Tyron Smith: False Start, 5 yards (accepted) (no play)",1.65,0.98,7.0,2024,105
4.0,9:44,2.0,14.0,NYJ 43,15.0,30.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 27 yards (tackle by Beanie Bishop and Payton Wilson),0.98,3.58,7.0,2024,105
4.0,9:00,1.0,10.0,PIT 30,15.0,30.0,Aaron Rodgers pass complete short left to Tyler Conklin for 5 yards (tackle by James Pierre and Payton Wilson),3.58,3.71,7.0,2024,105
4.0,8:22,2.0,5.0,PIT 25,15.0,30.0,Aaron Rodgers pass incomplete short middle intended for Breece Hall (defended by Keeanu Benton),3.71,3.01,7.0,2024,105
4.0,8:16,3.0,5.0,PIT 25,15.0,30.0,Aaron Rodgers pass complete short middle to Tyler Conklin for no gain (tackle by DeShon Elliott),3.01,1.85,7.0,2024,105
4.0,7:56,,,,,,Timeout #1 by Pittsburgh Steelers,,,7.0,2024,105
4.0,7:56,4.0,5.0,PIT 25,15.0,30.0,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Keeanu Benton),1.85,-0.61,7.0,2024,105
4.0,7:53,1.0,10.0,PIT 25,15.0,30.0,Najee Harris left guard for no gain (tackle by Micheal Clemons and Brandin Echols),0.61,0.06,7.0,2024,105
4.0,7:17,2.0,10.0,PIT 25,15.0,30.0,Russell Wilson pass complete deep left to Calvin Austin for 36 yards (tackle by Brandin Echols),0.06,2.98,7.0,2024,105
4.0,6:37,1.0,10.0,NYJ 39,15.0,30.0,Najee Harris up the middle for 4 yards (tackle by Leki Fotu),2.98,2.98,7.0,2024,105
4.0,5:51,2.0,6.0,NYJ 35,15.0,30.0,Najee Harris right tackle for 2 yards (tackle by Jamien Sherwood and C.J. Mosley),2.98,2.54,7.0,2024,105
4.0,5:07,3.0,4.0,NYJ 33,15.0,30.0,Jaylen Warren left end for 5 yards (tackle by Jamien Sherwood),2.54,3.71,7.0,2024,105
4.0,4:22,1.0,10.0,NYJ 28,15.0,30.0,Jaylen Warren right guard for -1 yards (tackle by Javon Kinlaw),3.71,3.03,7.0,2024,105
4.0,3:43,2.0,11.0,NYJ 29,15.0,30.0,Jaylen Warren left end for 7 yards (tackle by Eric Watts),3.03,3.27,7.0,2024,105
4.0,3:28,,,,,,Timeout #2 by New York Jets,,,7.0,2024,105
4.0,3:28,3.0,4.0,NYJ 22,15.0,30.0,"Jaylen Warren left guard for 3 yards (tackle by Jamien Sherwood and Leonard Taylor) PIT challenged the short of the line to gain ruling, and the play was upheld.",3.27,2.34,7.0,2024,105
4.0,2:44,4.0,1.0,NYJ 19,15.0,30.0,"Russell Wilson up the middle for 1 yard (tackle by Javon Kinlaw) NYJ challenged the first down ruling, and the play was upheld.",2.34,4.37,7.0,2024,105
4.0,2:29,1.0,10.0,NYJ 18,15.0,30.0,Najee Harris left end for 3 yards (tackle by Jalen Mills),4.37,4.25,7.0,2024,105
4.0,2:00,2.0,7.0,NYJ 15,15.0,30.0,Najee Harris right tackle for 5 yards (tackle by Isaiah Oliver and Kendall Sheffield),4.25,4.51,7.0,2024,105
4.0,1:15,3.0,2.0,NYJ 10,15.0,30.0,Jaylen Warren left tackle for no gain (tackle by Quincy Williams),4.51,2.89,7.0,2024,105
4.0,0:30,,,,,,Timeout #3 by Pittsburgh Steelers,,,7.0,2024,105
4.0,0:30,4.0,2.0,NYJ 10,15.0,36.0,"Najee Harris left guard for 10 yards, touchdown",2.89,7.0,7.0,2024,105
4.0,0:26,,,NYJ 15,15.0,37.0,Chris Boswell kicks extra point good,0.0,0.0,7.0,2024,105
4.0,0:26,,,PIT 35,15.0,37.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,105
4.0,0:26,1.0,10.0,NYJ 30,15.0,37.0,Isaiah Davis right guard for 12 yards (tackle by DeShon Elliott and Payton Wilson),0.94,1.73,7.0,2024,105
