Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA,week,year,game_id
2.0,14:24,2.0,5.0,NOR 12,3.0,0.0,Bo Nix scrambles left end for 4 yards (tackle by Marshon Lattimore),4.69,4.8,7.0,2024,93
2.0,13:38,3.0,1.0,NOR 8,3.0,0.0,Bo Nix pass incomplete short right intended for Adam Trautman,4.8,2.99,7.0,2024,93
2.0,13:27,4.0,1.0,NOR 8,3.0,0.0,"Penalty on Bo Nix: Delay of Game, 5 yards (accepted) (no play)",2.99,2.59,7.0,2024,93
2.0,13:27,4.0,6.0,NOR 13,6.0,0.0,Wil Lutz 32 yard field goal good,2.59,3.0,7.0,2024,93
2.0,13:24,,,DEN 35,6.0,0.0,"Wil Lutz kicks off 67 yards, returned by Jermaine Jackson for 32 yards (tackle by Levelle Bailey and Nate Adkins)",0.0,0.94,7.0,2024,93
2.0,13:19,1.0,10.0,NOR 30,6.0,0.0,"Spencer Rattler sacked by Jordan Jackson for no gain. Spencer Rattler fumbles (forced by Jordan Jackson), recovered by Cody Barton at NO-14, touchdown. Penalty on D.J. Jones: Defensive Offside, 5 yards (accepted) (no play)",0.94,1.67,7.0,2024,93
2.0,13:10,1.0,5.0,NOR 35,6.0,0.0,"Penalty on Baron Browning: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.67,1.6,7.0,2024,93
2.0,13:10,1.0,10.0,NOR 40,6.0,0.0,Spencer Rattler pass incomplete deep middle intended for Mason Tipton,1.6,1.05,7.0,2024,93
2.0,13:04,2.0,10.0,NOR 40,6.0,0.0,Spencer Rattler pass complete short right to Juwan Johnson for 5 yards (tackle by Cody Barton),1.05,1.03,7.0,2024,93
2.0,12:30,3.0,5.0,NOR 45,6.0,0.0,Spencer Rattler pass incomplete deep right intended for Bub Means,1.03,-0.39,7.0,2024,93
2.0,12:23,4.0,5.0,NOR 45,6.0,0.0,"Matthew Hayball punts 42 yards, returned by Marvin Mims for 1 yard (tackle by Rico Payton)",-0.39,0.28,7.0,2024,93
2.0,12:14,1.0,10.0,DEN 14,6.0,0.0,Bo Nix scrambles right end for 4 yards (tackle by Cameron Jordan),-0.28,-0.21,7.0,2024,93
2.0,11:35,2.0,6.0,DEN 18,6.0,0.0,Javonte Williams right guard for 20 yards (tackle by Tyrann Mathieu),-0.21,1.47,7.0,2024,93
2.0,10:52,1.0,10.0,DEN 38,6.0,0.0,Audric Estime left guard for 4 yards (tackle by John Ridgeway),1.47,1.46,7.0,2024,93
2.0,10:13,2.0,6.0,DEN 42,6.0,0.0,Bo Nix pass complete short left to Javonte Williams for 9 yards (tackle by Jordan Howden),1.46,2.32,7.0,2024,93
2.0,9:37,1.0,10.0,NOR 49,6.0,0.0,Bo Nix pass complete deep right to Troy Franklin for 30 yards (tackle by Kool-Aid McKinstry),2.32,4.31,7.0,2024,93
2.0,9:03,1.0,10.0,NOR 19,6.0,0.0,Javonte Williams right guard for 2 yards (tackle by Alontae Taylor),4.31,4.03,7.0,2024,93
2.0,8:22,2.0,8.0,NOR 17,6.0,0.0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 9 yards (tackle by Alontae Taylor),4.03,5.37,7.0,2024,93
2.0,7:33,1.0,8.0,NOR 8,12.0,0.0,"Javonte Williams right guard for 8 yards, touchdown",5.37,7.0,7.0,2024,93
2.0,7:30,,,NOR 15,13.0,0.0,Wil Lutz kicks extra point good,0.0,0.0,7.0,2024,93
2.0,7:30,,,DEN 35,13.0,0.0,"Wil Lutz kicks off 66 yards, returned by Jermaine Jackson for 22 yards (tackle by JL Skinner and Justin Strnad)",0.0,0.34,7.0,2024,93
2.0,7:26,1.0,10.0,NOR 21,13.0,0.0,Alvin Kamara right guard for 6 yards (tackle by Nik Bonitto and Cody Barton),0.34,0.61,7.0,2024,93
2.0,6:52,2.0,4.0,NOR 27,13.0,0.0,Jamaal Williams left guard for 2 yards (tackle by Malcolm Roach),0.61,0.17,7.0,2024,93
2.0,6:10,3.0,2.0,NOR 29,13.0,0.0,Spencer Rattler scrambles right end for 1 yard (tackle by Cody Barton),0.17,-1.37,7.0,2024,93
2.0,5:27,,,,,,Timeout #1 by New Orleans Saints,,,7.0,2024,93
2.0,5:27,4.0,1.0,NOR 30,13.0,0.0,Spencer Rattler pass complete short left to Juwan Johnson for 12 yards (tackle by Riley Moss and Kwon Alexander),-1.37,1.73,7.0,2024,93
2.0,4:52,1.0,10.0,NOR 42,13.0,0.0,Spencer Rattler pass complete short right to Alvin Kamara for 6 yards (tackle by Brandon Jones),1.73,2.0,7.0,2024,93
2.0,4:21,2.0,4.0,NOR 48,13.0,0.0,Alvin Kamara right end for 2 yards (tackle by Jordan Jackson and Brandon Jones),2.0,1.55,7.0,2024,93
2.0,3:42,3.0,2.0,NOR 50,13.0,0.0,Spencer Rattler scrambles left end for 28 yards (tackle by Cody Barton),1.55,4.11,7.0,2024,93
2.0,3:07,,,,,,Timeout #1 by Denver Broncos,,,7.0,2024,93
2.0,3:07,1.0,10.0,DEN 22,13.0,0.0,Alvin Kamara right end for -7 yards (tackle by Ja'Quan McMillian),4.11,2.62,7.0,2024,93
2.0,2:32,2.0,17.0,DEN 29,13.0,0.0,Spencer Rattler pass complete short right to Mason Tipton for 6 yards (tackle by Riley Moss),2.62,2.74,7.0,2024,93
2.0,2:27,,,,,,Timeout #2 by Denver Broncos,,,7.0,2024,93
2.0,2:27,3.0,11.0,DEN 23,13.0,0.0,Spencer Rattler pass complete short right to Foster Moreau for 6 yards (tackle by Justin Strnad and Riley Moss),2.74,2.36,7.0,2024,93
2.0,2:00,4.0,5.0,DEN 17,13.0,3.0,Blake Grupe 35 yard field goal good,2.36,3.0,7.0,2024,93
2.0,1:57,,,NOR 35,13.0,3.0,"Blake Grupe kicks off 66 yards, returned by Marvin Mims for 29 yards (tackle by Adam Prentice)",0.0,0.81,7.0,2024,93
2.0,1:52,1.0,10.0,DEN 28,13.0,3.0,Bo Nix pass complete short right to Javonte Williams for 8 yards (tackle by Cameron Jordan and Jordan Howden),0.81,1.34,7.0,2024,93
2.0,1:31,2.0,2.0,DEN 36,13.0,3.0,Bo Nix pass incomplete short middle intended for Devaughn Vele,1.34,0.63,7.0,2024,93
2.0,1:22,3.0,2.0,DEN 36,13.0,3.0,Bo Nix pass complete short middle to Lucas Krull for 13 yards (tackle by Tyrann Mathieu and Johnathan Abram),0.63,2.19,7.0,2024,93
2.0,0:56,1.0,10.0,DEN 49,13.0,3.0,Bo Nix pass incomplete short middle,2.19,1.65,7.0,2024,93
2.0,0:55,2.0,10.0,DEN 49,13.0,3.0,Bo Nix pass incomplete deep left intended for Devaughn Vele,1.65,0.96,7.0,2024,93
2.0,0:49,3.0,10.0,DEN 49,13.0,3.0,Bo Nix pass complete short right to Marvin Mims for 11 yards (tackle by Alontae Taylor),0.96,2.92,7.0,2024,93
2.0,0:40,1.0,10.0,NOR 40,13.0,3.0,Bo Nix pass incomplete deep right intended for Marvin Mims,2.92,2.37,7.0,2024,93
2.0,0:35,2.0,10.0,NOR 40,13.0,3.0,Bo Nix scrambles right end for 3 yards (tackle by Carl Granderson),2.37,2.08,7.0,2024,93
2.0,0:27,,,,,,Timeout #3 by Denver Broncos,,,7.0,2024,93
2.0,0:27,3.0,7.0,NOR 37,13.0,3.0,Bo Nix scrambles right end for 3 yards (tackle by Bryan Bresee),2.08,1.08,7.0,2024,93
2.0,0:21,4.0,4.0,NOR 34,16.0,3.0,Wil Lutz 52 yard field goal good,1.08,3.0,7.0,2024,93
2.0,0:16,,,DEN 35,16.0,3.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,93
2.0,0:16,1.0,10.0,NOR 30,16.0,3.0,Spencer Rattler pass complete short middle to Alvin Kamara for 1 yard (tackle by Ja'Quan McMillian),0.94,0.53,7.0,2024,93
2.0,0:11,,,,,,Timeout #2 by New Orleans Saints,,,7.0,2024,93
2.0,0:11,2.0,9.0,NOR 31,16.0,3.0,Spencer Rattler pass complete short middle to Alvin Kamara for 5 yards (tackle by Justin Strnad),0.53,0.5,7.0,2024,93
2.0,0:04,,,,,,Timeout #3 by New Orleans Saints,,,7.0,2024,93
2.0,0:04,3.0,4.0,NOR 36,16.0,3.0,Spencer Rattler kneels for -1 yards,0.5,-1.04,7.0,2024,93
3.0,15:00,,,DEN 35,16.0,3.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,93
3.0,15:00,1.0,10.0,NOR 30,16.0,3.0,Spencer Rattler pass incomplete short right intended for Cedrick Wilson,0.94,0.39,7.0,2024,93
3.0,14:56,2.0,10.0,NOR 30,16.0,3.0,Spencer Rattler pass complete short right to Alvin Kamara for 3 yards (tackle by Levi Wallace),0.39,0.1,7.0,2024,93
3.0,14:24,3.0,7.0,NOR 33,16.0,3.0,Spencer Rattler pass incomplete short right intended for Juwan Johnson (defended by Damarri Mathis),0.1,-1.18,7.0,2024,93
3.0,14:21,4.0,7.0,NOR 33,16.0,3.0,"Matthew Hayball punts 45 yards, returned by Marvin Mims for 12 yards (tackle by Johnathan Abram and J.T. Gray)",-1.18,-1.2,7.0,2024,93
3.0,14:09,1.0,10.0,DEN 34,16.0,3.0,Javonte Williams left guard for 13 yards (tackle by Marshon Lattimore),1.2,2.06,7.0,2024,93
3.0,13:33,1.0,10.0,DEN 47,16.0,3.0,Audric Estime left guard for 7 yards (tackle by Demario Davis and Bryan Bresee),2.06,2.46,7.0,2024,93
3.0,12:50,2.0,3.0,NOR 46,16.0,3.0,Jaleel McLaughlin right end for 21 yards (tackle by Tyrann Mathieu),2.46,3.91,7.0,2024,93
3.0,12:00,1.0,10.0,NOR 25,16.0,3.0,Javonte Williams right tackle for 1 yard (tackle by Alontae Taylor and Jordan Howden),3.91,3.5,7.0,2024,93
3.0,11:19,2.0,9.0,NOR 24,16.0,3.0,Bo Nix pass complete short left to Troy Franklin for 4 yards (tackle by Marshon Lattimore),3.5,3.34,7.0,2024,93
3.0,10:36,3.0,5.0,NOR 20,16.0,3.0,Bo Nix pass incomplete deep right intended for Lil'Jordan Humphrey (defended by Alontae Taylor),3.34,2.17,7.0,2024,93
3.0,10:27,4.0,5.0,NOR 20,19.0,3.0,Wil Lutz 38 yard field goal good,2.17,3.0,7.0,2024,93
3.0,10:24,,,DEN 35,19.0,3.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,93
3.0,10:24,1.0,10.0,NOR 30,19.0,3.0,Kendre Miller left end for 3 yards (tackle by Cody Barton),0.94,0.8,7.0,2024,93
3.0,9:47,2.0,7.0,NOR 33,19.0,3.0,Spencer Rattler pass complete short left to Alvin Kamara for -4 yards (tackle by P.J. Locke),0.8,-0.43,7.0,2024,93
3.0,9:09,3.0,11.0,NOR 29,19.0,3.0,"Spencer Rattler pass incomplete short right intended for Alvin Kamara. Penalty on Trevor Penning: Illegal Formation, 5 yards (declined)",-0.43,-1.44,7.0,2024,93
3.0,9:03,4.0,11.0,NOR 29,19.0,3.0,Matthew Hayball punts 40 yards downed by D'Marco Jackson,-1.44,-1.0,7.0,2024,93
3.0,8:53,1.0,10.0,DEN 31,19.0,3.0,Bo Nix pass complete deep middle to Lucas Krull for 23 yards (tackle by Tyrann Mathieu),1.0,2.52,7.0,2024,93
3.0,8:12,1.0,10.0,NOR 46,19.0,3.0,Jaleel McLaughlin right end for 6 yards (tackle by Demario Davis),2.52,2.79,7.0,2024,93
3.0,7:34,2.0,4.0,NOR 40,19.0,3.0,Javonte Williams left guard for 3 yards (tackle by Willie Gay),2.79,2.48,7.0,2024,93
3.0,6:50,3.0,1.0,NOR 37,19.0,3.0,Bo Nix left end for 32 yards (tackle by Kool-Aid McKinstry),2.48,6.06,7.0,2024,93
3.0,5:58,1.0,5.0,NOR 5,25.0,3.0,"Javonte Williams right guard for 5 yards, touchdown",6.06,7.0,7.0,2024,93
3.0,5:53,,,NOR 15,26.0,3.0,Wil Lutz kicks extra point good,0.0,0.0,7.0,2024,93
3.0,5:53,,,DEN 35,26.0,3.0,"Wil Lutz kicks off 61 yards, returned by Jermaine Jackson for 15 yards (tackle by Tremon Smith)",0.0,0.15,7.0,2024,93
3.0,5:47,1.0,10.0,NOR 19,26.0,3.0,Spencer Rattler pass incomplete deep left intended for Juwan Johnson (defended by Malcolm Roach),0.15,-0.39,7.0,2024,93
3.0,5:43,2.0,10.0,NOR 19,26.0,3.0,Spencer Rattler pass complete short left to Cedrick Wilson for 9 yards (tackle by Ja'Quan McMillian),-0.39,0.1,7.0,2024,93
3.0,5:15,3.0,1.0,NOR 28,26.0,3.0,Jamaal Williams left end for 2 yards (tackle by Jonah Elliss),0.1,0.94,7.0,2024,93
3.0,4:44,1.0,10.0,NOR 30,26.0,3.0,Spencer Rattler pass complete short right to Mason Tipton for 8 yards (tackle by Levi Wallace),0.94,1.47,7.0,2024,93
3.0,4:22,2.0,2.0,NOR 38,26.0,3.0,Jamaal Williams up the middle for 13 yards (tackle by Levi Wallace),1.47,2.32,7.0,2024,93
3.0,3:50,1.0,10.0,DEN 49,26.0,3.0,"Spencer Rattler scrambles right end for no gain (tackle by D.J. Jones and Kwon Alexander). Penalty on Foster Moreau: Offensive Holding, 10 yards (accepted) (no play)",2.32,1.66,7.0,2024,93
3.0,3:30,1.0,20.0,NOR 41,26.0,3.0,"Penalty on Landon Young: False Start, 5 yards (accepted) (no play)",1.66,1.33,7.0,2024,93
3.0,3:00,1.0,25.0,NOR 36,26.0,3.0,Spencer Rattler pass complete short left to Mason Tipton for 7 yards (tackle by Riley Moss),1.33,0.7,7.0,2024,93
3.0,2:50,2.0,18.0,NOR 43,26.0,3.0,"Spencer Rattler pass complete short middle to Cedrick Wilson for no gain (tackle by Brandon Jones). Penalty on Kyle Hergel: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.7,-0.65,7.0,2024,93
3.0,2:20,2.0,28.0,NOR 33,26.0,3.0,Spencer Rattler sacked by John Franklin-Myers for -6 yards,-0.65,-2.08,7.0,2024,93
3.0,1:48,3.0,34.0,NOR 27,26.0,3.0,Spencer Rattler pass complete short right to Bub Means for 14 yards (tackle by Levi Wallace and P.J. Locke),-2.08,-0.65,7.0,2024,93
3.0,1:09,4.0,20.0,NOR 41,26.0,3.0,"Matthew Hayball punts 43 yards, fair catch by Marvin Mims at DEN-16. Penalty on J.T. Gray: Illegal Formation, 5 yards (accepted)",-0.65,-0.34,7.0,2024,93
3.0,0:56,1.0,10.0,DEN 21,26.0,3.0,"Bo Nix pass complete short right to Devaughn Vele for no gain. Penalty on Javonte Williams: Offensive Holding, 10 yards (accepted) (no play)",0.34,-0.72,7.0,2024,93
3.0,0:29,1.0,20.0,DEN 11,26.0,3.0,Jaleel McLaughlin left tackle for 10 yards (tackle by Jordan Howden and Kool-Aid McKinstry),-0.72,-0.2,7.0,2024,93
4.0,15:00,2.0,10.0,DEN 21,26.0,3.0,Bo Nix pass complete short right to Lil'Jordan Humphrey for 3 yards (tackle by Demario Davis and Anfernee Orji),-0.2,-0.49,7.0,2024,93
4.0,14:18,3.0,7.0,DEN 24,26.0,3.0,Bo Nix scrambles up the middle for 2 yards (tackle by Carl Granderson),-0.49,-1.63,7.0,2024,93
4.0,13:37,4.0,5.0,DEN 26,26.0,3.0,"Riley Dixon punts 50 yards, fair catch by Jermaine Jackson at NO-24",-1.63,-0.54,7.0,2024,93
4.0,13:29,1.0,10.0,NOR 24,26.0,3.0,Spencer Rattler pass complete short right to Mason Tipton for 9 yards (tackle by Levi Wallace),0.54,1.21,7.0,2024,93
4.0,13:17,2.0,1.0,NOR 33,26.0,3.0,Spencer Rattler pass incomplete short right intended for Mason Tipton,1.21,0.5,7.0,2024,93
4.0,13:16,3.0,1.0,NOR 33,26.0,3.0,Alvin Kamara left guard for 4 yards (tackle by Zach Allen),0.5,1.4,7.0,2024,93
4.0,12:59,1.0,10.0,NOR 37,26.0,3.0,Spencer Rattler pass complete short left to Bub Means for 13 yards,1.4,2.26,7.0,2024,93
4.0,12:26,1.0,10.0,NOR 50,26.0,3.0,Spencer Rattler sacked by Nik Bonitto for -9 yards,2.26,0.5,7.0,2024,93
4.0,12:12,2.0,19.0,NOR 41,26.0,3.0,Spencer Rattler pass complete short right to Mason Tipton for 6 yards (tackle by Ja'Quan McMillian),0.5,0.63,7.0,2024,93
4.0,11:39,3.0,13.0,NOR 47,26.0,3.0,Spencer Rattler sacked by and Jonah Elliss for -7 yards and Zach Allen for -7 yards,0.63,-0.72,7.0,2024,93
4.0,10:41,4.0,20.0,NOR 40,26.0,3.0,"Matthew Hayball punts 45 yards, fair catch by Marvin Mims at DEN-15",-0.72,0.22,7.0,2024,93
4.0,10:34,1.0,10.0,DEN 15,26.0,3.0,"Javonte Williams right end for no gain (tackle by Alontae Taylor). Penalty on Nate Adkins: Offensive Holding, 7 yards (accepted) (no play)",-0.22,-0.65,7.0,2024,93
4.0,10:02,1.0,17.0,DEN 8,26.0,3.0,Javonte Williams right guard for -2 yards (tackle by Anfernee Orji),-0.65,-1.44,7.0,2024,93
4.0,9:25,2.0,19.0,DEN 6,26.0,3.0,Bo Nix pass incomplete short middle intended for Adam Trautman (defended by Payton Turner),-1.44,-2.47,7.0,2024,93
4.0,9:17,3.0,19.0,DEN 6,26.0,3.0,Javonte Williams up the middle for 9 yards (tackle by Johnathan Abram),-2.47,-2.44,7.0,2024,93
4.0,8:34,4.0,10.0,DEN 15,26.0,3.0,"Riley Dixon punts 46 yards, returned by Jermaine Jackson for 13 yards (tackle by Riley Dixon)",-2.44,-2.39,7.0,2024,93
4.0,8:21,1.0,10.0,DEN 48,26.0,3.0,Alvin Kamara right guard for 4 yards (tackle by P.J. Locke and Zach Allen),2.39,2.39,7.0,2024,93
4.0,8:02,2.0,6.0,DEN 44,26.0,3.0,Spencer Rattler pass complete short right to Juwan Johnson for 1 yard (tackle by Brandon Jones),2.39,1.82,7.0,2024,93
4.0,7:41,3.0,5.0,DEN 43,26.0,3.0,Spencer Rattler pass incomplete deep right intended for Bub Means,1.82,0.4,7.0,2024,93
4.0,7:31,4.0,5.0,DEN 43,26.0,3.0,Spencer Rattler pass complete short right to Alvin Kamara for 3 yards (tackle by Justin Strnad),0.4,-1.6,7.0,2024,93
4.0,7:25,1.0,10.0,DEN 40,26.0,3.0,Audric Estime left guard for 13 yards (tackle by Jordan Howden),1.6,2.46,7.0,2024,93
4.0,6:45,1.0,10.0,NOR 47,26.0,3.0,"Bo Nix pass complete short right to Devaughn Vele for no gain (tackle by Rico Payton). Penalty on Ben Powers: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.46,2.13,7.0,2024,93
4.0,6:20,1.0,15.0,DEN 48,26.0,3.0,"Audric Estime left end for -1 yards. Audric Estime fumbles (tackle by Carl Granderson), recovered by Willie Gay at DEN-47",2.13,-2.46,7.0,2024,93
4.0,6:10,1.0,10.0,DEN 47,26.0,3.0,Spencer Rattler pass complete short right to Kendre Miller for -5 yards (tackle by Brandon Jones),2.46,1.24,7.0,2024,93
4.0,5:49,2.0,15.0,NOR 48,26.0,3.0,Spencer Rattler pass complete short middle to Kendre Miller for 6 yards (tackle by Justin Strnad),1.24,1.35,7.0,2024,93
4.0,5:30,3.0,9.0,DEN 46,26.0,3.0,Spencer Rattler pass complete short right to Cedrick Wilson for 8 yards (tackle by Riley Moss),1.35,0.72,7.0,2024,93
4.0,5:15,4.0,1.0,DEN 38,26.0,3.0,Spencer Rattler pass complete short right to Cedrick Wilson for 4 yards (tackle by Riley Moss),0.72,3.31,7.0,2024,93
4.0,4:51,1.0,10.0,DEN 34,26.0,3.0,Spencer Rattler sacked by Justin Strnad for no gain,3.31,2.77,7.0,2024,93
4.0,4:19,2.0,10.0,DEN 34,32.0,3.0,"Spencer Rattler sacked by Ja'Quan McMillian for -14 yards. Spencer Rattler fumbles (forced by Ja'Quan McMillian), recovered by Cody Barton at DEN-48 and returned for 52 yards, touchdown",2.77,-7.0,7.0,2024,93
4.0,4:06,,,NOR 15,33.0,3.0,Wil Lutz kicks extra point good,0.0,0.0,7.0,2024,93
4.0,4:06,,,DEN 35,33.0,3.0,"Wil Lutz kicks off 65 yards, returned by Mason Tipton for 21 yards (tackle by JL Skinner)",0.0,0.34,7.0,2024,93
4.0,4:01,1.0,10.0,NOR 21,33.0,3.0,Kendre Miller left end for 16 yards (tackle by Damarri Mathis and P.J. Locke),0.34,1.4,7.0,2024,93
4.0,3:46,1.0,10.0,NOR 37,33.0,3.0,Kendre Miller left guard for 9 yards (tackle by Cody Barton and Devon Key),1.4,2.07,7.0,2024,93
4.0,3:23,2.0,1.0,NOR 46,33.0,3.0,Spencer Rattler pass incomplete short middle intended for Juwan Johnson,2.07,1.36,7.0,2024,93
4.0,3:21,3.0,1.0,NOR 46,33.0,3.0,Kendre Miller right end for no gain (tackle by Levi Wallace and Jonathon Cooper),1.36,-0.32,7.0,2024,93
4.0,3:11,4.0,1.0,NOR 46,33.0,3.0,Spencer Rattler right guard for 1 yard (tackle by Justin Strnad),-0.32,2.06,7.0,2024,93
4.0,2:46,1.0,10.0,NOR 47,33.0,3.0,Spencer Rattler scrambles right end for 5 yards (tackle by Keidron Smith and Justin Strnad),2.06,2.19,7.0,2024,93
4.0,2:23,2.0,5.0,DEN 48,33.0,3.0,Kendre Miller left guard for no gain (tackle by Justin Strnad and Nik Bonitto),2.19,1.49,7.0,2024,93
4.0,2:00,3.0,5.0,DEN 48,33.0,3.0,"Jake Haener pass incomplete short right intended for Mason Tipton. Penalty on Keidron Smith: Defensive Pass Interference, 10 yards (accepted) (no play)",1.49,3.05,7.0,2024,93
