Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA,week,year,game_id
1.0,2:19,1.0,10.0,BAL 24,0.0,7.0,Baker Mayfield pass complete short left to Bucky Irving for 14 yards (tackle by Eddie Jackson and Kyle Hamilton),3.97,4.91,7.0,2024,106
1.0,1:38,1.0,10.0,BAL 10,0.0,7.0,Baker Mayfield pass complete short right to Rachaad White for 2 yards (tackle by Kyle Hamilton),4.91,4.57,7.0,2024,106
1.0,1:01,2.0,8.0,BAL 8,0.0,7.0,Baker Mayfield pass incomplete short right intended for Mike Evans,4.57,3.58,7.0,2024,106
1.0,0:57,3.0,8.0,BAL 8,0.0,7.0,"Baker Mayfield pass complete short left to Chris Godwin for no gain, touchdown. Penalty on Tristan Wirfs: Offensive Holding, 10 yards (accepted) (no play)",3.58,2.63,7.0,2024,106
1.0,0:49,3.0,18.0,BAL 18,0.0,7.0,Baker Mayfield pass complete short middle to Cade Otton for 13 yards (tackle by Michael Pierce and Kyle Van Noy),2.63,3.01,7.0,2024,106
1.0,0:05,4.0,5.0,BAL 5,0.0,10.0,Chase McLaughlin 23 yard field goal good,3.01,3.0,7.0,2024,106
1.0,0:02,,,TAM 35,0.0,10.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
1.0,0:02,1.0,10.0,BAL 30,0.0,10.0,Lamar Jackson pass complete short left to Charlie Kolar for 14 yards (tackle by Tyrek Funderburk),0.94,1.86,7.0,2024,106
2.0,15:00,1.0,10.0,BAL 44,0.0,10.0,Zay Flowers right end for 19 yards (tackle by Antoine Winfield),1.86,3.12,7.0,2024,106
2.0,14:21,1.0,10.0,TAM 37,0.0,10.0,Lamar Jackson scrambles left end for 11 yards (tackle by Antoine Winfield),3.12,3.84,7.0,2024,106
2.0,13:39,1.0,10.0,TAM 26,0.0,10.0,Derrick Henry left guard for 7 yards (tackle by Antoine Winfield),3.84,4.27,7.0,2024,106
2.0,13:00,2.0,3.0,TAM 19,0.0,10.0,Lamar Jackson pass complete short right to Isaiah Likely for 10 yards (tackle by Antoine Winfield and Jordan Whitehead),4.27,5.14,7.0,2024,106
2.0,12:33,1.0,9.0,TAM 9,6.0,10.0,"Lamar Jackson pass complete short middle to Mark Andrews for 9 yards, touchdown",5.14,7.0,7.0,2024,106
2.0,12:29,,,TAM 15,7.0,10.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2024,106
2.0,12:29,,,BAL 35,7.0,10.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
2.0,12:29,1.0,10.0,TAM 30,7.0,10.0,Sean Tucker left tackle for 5 yards (tackle by Eddie Jackson and Tavius Robinson),0.94,1.07,7.0,2024,106
2.0,11:53,2.0,5.0,TAM 35,7.0,10.0,"Baker Mayfield sacked by Tavius Robinson for no gain. Penalty on Bump Cooper: Defensive Holding, 5 yards (accepted) (no play)",1.07,1.6,7.0,2024,106
2.0,11:29,1.0,10.0,TAM 40,7.0,10.0,Sean Tucker left tackle for 3 yards (tackle by Trenton Simpson),1.6,1.46,7.0,2024,106
2.0,10:54,2.0,7.0,TAM 43,7.0,10.0,Sean Tucker right guard for 4 yards (tackle by Roquan Smith),1.46,1.29,7.0,2024,106
2.0,10:17,3.0,3.0,TAM 47,7.0,10.0,Baker Mayfield pass complete short right to Rachaad White for 13 yards (tackle by Roquan Smith),1.29,2.92,7.0,2024,106
2.0,9:41,1.0,10.0,BAL 40,7.0,10.0,Rachaad White up the middle for 8 yards (tackle by Kyle Hamilton),2.92,3.45,7.0,2024,106
2.0,9:04,2.0,2.0,BAL 32,7.0,10.0,Baker Mayfield pass complete short right to Cade Otton for 4 yards (tackle by Kyle Hamilton),3.45,3.71,7.0,2024,106
2.0,8:22,1.0,10.0,BAL 28,7.0,10.0,Rachaad White left guard for 4 yards (tackle by Trenton Simpson),3.71,3.71,7.0,2024,106
2.0,7:39,2.0,6.0,BAL 24,7.0,10.0,Baker Mayfield pass incomplete deep left intended for Mike Evans,3.71,3.01,7.0,2024,106
2.0,7:31,3.0,6.0,BAL 24,7.0,10.0,Baker Mayfield pass complete short middle to Chris Godwin for 15 yards (tackle by Marlon Humphrey),3.01,5.14,7.0,2024,106
2.0,6:52,1.0,9.0,BAL 9,7.0,10.0,Bucky Irving right tackle for 6 yards (tackle by Kyle Van Noy and Roquan Smith),5.14,5.53,7.0,2024,106
2.0,6:18,2.0,3.0,BAL 3,7.0,10.0,Baker Mayfield pass short right intended for Jalen McMillan is intercepted by Marlon Humphrey in end zone and returned for no gain,5.53,-0.28,7.0,2024,106
2.0,6:10,1.0,10.0,BAL 20,7.0,10.0,Derrick Henry right guard for 13 yards (tackle by Zyon McCollum),0.28,1.14,7.0,2024,106
2.0,5:32,1.0,10.0,BAL 33,7.0,10.0,Lamar Jackson pass complete deep middle to Rashod Bateman for 59 yards (tackle by Zyon McCollum),1.14,5.37,7.0,2024,106
2.0,4:42,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,7.0,2024,106
2.0,4:42,1.0,8.0,TAM 8,7.0,10.0,Lamar Jackson pass incomplete short left,5.37,4.57,7.0,2024,106
2.0,4:34,2.0,8.0,TAM 8,7.0,10.0,"Lamar Jackson right end for no gain, touchdown. Penalty on Daniel Faalele: Offensive Holding, 10 yards (accepted) (no play)",4.57,3.15,7.0,2024,106
2.0,4:30,2.0,18.0,TAM 18,13.0,10.0,"Lamar Jackson pass complete short left to Justice Hill for 18 yards, touchdown",3.15,7.0,7.0,2024,106
2.0,4:23,,,TAM 15,14.0,10.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2024,106
2.0,4:23,,,BAL 35,14.0,10.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
2.0,4:23,1.0,10.0,TAM 30,14.0,10.0,Sean Tucker left end for 15 yards (tackle by Eddie Jackson),0.94,1.93,7.0,2024,106
2.0,3:49,1.0,10.0,TAM 45,14.0,10.0,Sean Tucker left end for 2 yards (tackle by Roquan Smith),1.93,1.65,7.0,2024,106
2.0,3:10,2.0,8.0,TAM 47,14.0,10.0,Baker Mayfield pass incomplete short left intended for Chris Godwin,1.65,0.96,7.0,2024,106
2.0,3:05,3.0,8.0,TAM 47,14.0,10.0,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",0.96,0.3,7.0,2024,106
2.0,3:05,3.0,13.0,TAM 42,14.0,10.0,Baker Mayfield pass deep right intended for Chris Godwin is intercepted by Marlon Humphrey at BAL-40 and returned for no gain (tackle by Chris Godwin),0.3,-1.6,7.0,2024,106
2.0,2:58,1.0,10.0,BAL 40,14.0,10.0,Justice Hill up the middle for 3 yards (tackle by K.J. Britt and Vita Vea),1.6,1.46,7.0,2024,106
2.0,2:25,2.0,7.0,BAL 43,14.0,10.0,Lamar Jackson left end for 2 yards (tackle by YaYa Diaby),1.46,1.03,7.0,2024,106
2.0,2:00,3.0,5.0,BAL 45,14.0,10.0,Lamar Jackson pass complete short left to Isaiah Likely for 7 yards (tackle by K.J. Britt and Antoine Winfield),1.03,2.39,7.0,2024,106
2.0,1:36,1.0,10.0,TAM 48,14.0,10.0,Lamar Jackson pass incomplete short right intended for Nelson Agholor,2.39,1.85,7.0,2024,106
2.0,1:30,2.0,10.0,TAM 48,14.0,10.0,"Lamar Jackson pass complete short right to Rashod Bateman for 5 yards (tackle by Joe Tryon-Shoyinka and Jordan Whitehead). Penalty on K.J. Britt: Roughing the Passer, 15 yards (accepted)",1.85,3.71,7.0,2024,106
2.0,1:25,1.0,10.0,TAM 28,14.0,10.0,Lamar Jackson pass complete short middle to Mark Andrews for 20 yards (tackle by Antoine Winfield and Tyrek Funderburk),3.71,5.37,7.0,2024,106
2.0,0:41,1.0,8.0,TAM 8,14.0,10.0,"Justice Hill left end for no gain (tackle by Tyrek Funderburk). Penalty on Ronnie Stanley: Offensive Holding, 10 yards (accepted) (no play)",5.37,4.24,7.0,2024,106
2.0,0:35,1.0,18.0,TAM 18,14.0,10.0,Lamar Jackson pass incomplete deep right intended for Isaiah Likely,4.24,3.15,7.0,2024,106
2.0,0:31,2.0,18.0,TAM 18,14.0,10.0,"Justice Hill right guard for no gain (tackle by Tykee Smith). Penalty on Patrick Mekari: Offensive Holding, 10 yards (accepted) (no play)",3.15,1.92,7.0,2024,106
2.0,0:26,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,7.0,2024,106
2.0,0:26,2.0,28.0,TAM 28,14.0,10.0,"Lamar Jackson pass complete short right to Justice Hill for no gain (tackle by Chris Braswell). Penalty on Isaiah Likely: Offensive Pass Interference, 10 yards (accepted) (no play)",1.92,0.57,7.0,2024,106
2.0,0:19,2.0,38.0,TAM 38,14.0,10.0,Lamar Jackson pass complete short right to Justice Hill for 8 yards (tackle by Zyon McCollum and K.J. Britt),0.57,1.03,7.0,2024,106
2.0,0:13,,,,,,Timeout #1 by Baltimore Ravens,,,7.0,2024,106
2.0,0:13,3.0,30.0,TAM 30,14.0,10.0,Lamar Jackson pass complete short middle to Nelson Agholor for 20 yards (tackle by Christian Izien),1.03,2.76,7.0,2024,106
2.0,0:07,,,,,,Timeout #2 by Baltimore Ravens,,,7.0,2024,106
2.0,0:07,4.0,10.0,TAM 10,17.0,10.0,Justin Tucker 28 yard field goal good,2.76,3.0,7.0,2024,106
2.0,0:04,,,BAL 35,17.0,10.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
2.0,0:04,1.0,10.0,TAM 30,17.0,10.0,Baker Mayfield kneels for -1 yards,0.94,0.26,7.0,2024,106
3.0,15:00,,,TAM 35,17.0,10.0,"Trenton Gill kicks off 60 yards, returned by Justice Hill for 37 yards (tackle by Antonio Grier)",0.0,1.73,7.0,2024,106
3.0,14:54,1.0,10.0,BAL 42,17.0,10.0,"Lamar Jackson scrambles left end for 6 yards (tackle by Calijah Kancey). Penalty on Antoine Winfield: Low Block, 15 yards (accepted)",1.73,3.12,7.0,2024,106
3.0,14:31,1.0,10.0,TAM 37,17.0,10.0,Lamar Jackson pass complete short left to Mark Andrews for 8 yards,3.12,3.65,7.0,2024,106
3.0,13:52,2.0,2.0,TAM 29,17.0,10.0,"Lamar Jackson pass incomplete short right intended for Isaiah Likely (defended by Anthony Nelson). Penalty on Tyler Linderbaum: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.65,2.98,7.0,2024,106
3.0,13:47,2.0,7.0,TAM 34,17.0,10.0,"Tyler Linderbaum aborted snap, recovered by Lamar Jackson at TB-45 and returned for -7 yards (tackle by YaYa Diaby)",2.98,-0.1,7.0,2024,106
3.0,13:11,3.0,25.0,BAL 48,17.0,10.0,Lamar Jackson pass complete short right to Justice Hill for 18 yards (tackle by Antoine Winfield),-0.1,1.06,7.0,2024,106
3.0,12:25,4.0,7.0,TAM 34,20.0,10.0,Justin Tucker 52 yard field goal good,1.06,3.0,7.0,2024,106
3.0,12:20,,,BAL 35,20.0,10.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
3.0,12:20,1.0,10.0,TAM 30,20.0,10.0,Baker Mayfield pass complete short right to Trey Palmer for 16 yards (tackle by Eddie Jackson),0.94,1.99,7.0,2024,106
3.0,11:52,1.0,10.0,TAM 46,20.0,10.0,Rachaad White left guard for 6 yards (tackle by Trenton Simpson and Kyle Hamilton),1.99,2.26,7.0,2024,106
3.0,11:13,2.0,4.0,BAL 48,20.0,10.0,Rachaad White left guard for 5 yards (tackle by Roquan Smith),2.26,2.72,7.0,2024,106
3.0,10:30,1.0,10.0,BAL 43,20.0,10.0,Baker Mayfield pass complete short left to Jalen McMillan for no gain (tackle by Roquan Smith),2.72,2.18,7.0,2024,106
3.0,9:50,2.0,10.0,BAL 43,20.0,10.0,Rachaad White up the middle for 5 yards (tackle by Brent Urban),2.18,2.15,7.0,2024,106
3.0,9:13,3.0,5.0,BAL 38,20.0,10.0,Baker Mayfield scrambles left guard for 1 yard (tackle by Roquan Smith),2.15,0.79,7.0,2024,106
3.0,8:28,4.0,4.0,BAL 37,20.0,10.0,Chase McLaughlin 55 yard field goal no good,0.79,-1.93,7.0,2024,106
3.0,8:22,1.0,10.0,BAL 45,20.0,10.0,"Derrick Henry right end for 8 yards (tackle by Zyon McCollum). Penalty on Greg Gaines: Defensive Holding, 5 yards (accepted)",1.93,2.79,7.0,2024,106
3.0,8:01,1.0,10.0,TAM 42,20.0,10.0,Lamar Jackson pass incomplete short middle intended for Patrick Ricard,2.79,2.24,7.0,2024,106
3.0,7:55,2.0,10.0,TAM 42,20.0,10.0,"Derrick Henry right end for 3 yards (tackle by Anthony Nelson). Penalty on Patrick Mekari: Offensive Holding, 10 yards (accepted)",2.24,1.3,7.0,2024,106
3.0,7:32,2.0,17.0,TAM 49,26.0,10.0,"Lamar Jackson pass complete deep right to Rashod Bateman for 49 yards, touchdown",1.3,7.0,7.0,2024,106
3.0,7:25,,,TAM 15,27.0,10.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2024,106
3.0,7:25,,,BAL 35,27.0,10.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
3.0,7:25,1.0,10.0,TAM 30,27.0,10.0,Baker Mayfield pass complete short right to Bucky Irving for 25 yards (tackle by Brandon Stephens),0.94,2.59,7.0,2024,106
3.0,6:34,1.0,10.0,BAL 45,27.0,10.0,Bucky Irving left end for -2 yards (tackle by Trenton Simpson),2.59,1.77,7.0,2024,106
3.0,5:54,2.0,12.0,BAL 47,27.0,10.0,Baker Mayfield pass incomplete short right intended for Trey Palmer (defended by Nate Wiggins),1.77,1.09,7.0,2024,106
3.0,5:49,3.0,12.0,BAL 47,27.0,10.0,Baker Mayfield sacked by Odafe Oweh for -2 yards,1.09,0.0,7.0,2024,106
3.0,5:05,4.0,14.0,BAL 49,27.0,10.0,"Trenton Gill punts 41 yards, fair catch by Tylan Wallace at BAL-8. Penalty on Charlie Kolar: Defensive Offside, 5 yards (declined)",0.0,0.38,7.0,2024,106
3.0,4:58,1.0,10.0,BAL 8,27.0,10.0,Derrick Henry left end for 81 yards (tackle by Zyon McCollum),-0.38,4.84,7.0,2024,106
3.0,4:13,1.0,10.0,TAM 11,27.0,10.0,Derrick Henry left guard for 3 yards (tackle by Vita Vea and Calijah Kancey),4.84,4.7,7.0,2024,106
3.0,3:39,2.0,7.0,TAM 8,27.0,10.0,Derrick Henry right guard for 4 yards (tackle by Jordan Whitehead and K.J. Britt),4.7,4.67,7.0,2024,106
3.0,3:02,3.0,3.0,TAM 4,27.0,10.0,Lamar Jackson pass incomplete short middle intended for Isaiah Likely (defended by Lavonte David),4.67,3.03,7.0,2024,106
3.0,2:57,4.0,3.0,TAM 4,33.0,10.0,"Lamar Jackson pass complete short left to Mark Andrews for 4 yards, touchdown",3.03,7.0,7.0,2024,106
3.0,2:53,,,TAM 15,34.0,10.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2024,106
3.0,2:53,,,BAL 35,34.0,10.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
3.0,2:53,1.0,10.0,TAM 30,34.0,10.0,Bucky Irving right guard for 4 yards (tackle by Brent Urban),0.94,0.93,7.0,2024,106
3.0,2:19,2.0,6.0,TAM 34,34.0,10.0,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,0.93,0.23,7.0,2024,106
3.0,2:12,3.0,6.0,TAM 34,34.0,10.0,"Baker Mayfield scrambles left end for 4 yards (tackle by Roquan Smith). Penalty on Baker Mayfield: Offensive Facemask, 15 yards (accepted)",0.23,-1.22,7.0,2024,106
3.0,1:50,3.0,17.0,TAM 23,34.0,10.0,Baker Mayfield sacked by Kyle Van Noy for -5 yards,-1.22,-2.24,7.0,2024,106
3.0,1:07,4.0,22.0,TAM 18,34.0,10.0,Trenton Gill punts 52 yards downed by Keenan Isaac,-2.24,-0.94,7.0,2024,106
3.0,0:53,1.0,10.0,BAL 30,34.0,10.0,Derrick Henry right tackle for 1 yard (tackle by K.J. Britt and Anthony Nelson),0.94,0.53,7.0,2024,106
3.0,0:12,2.0,9.0,BAL 31,34.0,10.0,"Lamar Jackson left end for 4 yards (tackle by Tyrek Funderburk). Penalty on Zay Flowers: Offensive Holding, 10 yards (accepted)",0.53,-0.28,7.0,2024,106
4.0,15:00,2.0,15.0,BAL 25,34.0,10.0,Lamar Jackson scrambles left end for 17 yards (tackle by Tyrek Funderburk),-0.28,1.73,7.0,2024,106
4.0,14:20,1.0,10.0,BAL 42,34.0,10.0,Derrick Henry right end for -1 yards (tackle by Lavonte David),1.73,1.05,7.0,2024,106
4.0,13:36,2.0,11.0,BAL 41,34.0,10.0,"Lamar Jackson left end for no gain. Lamar Jackson fumbles, recovered by Zyon McCollum at BAL-30, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Lamar Jackson aborted snap, recovered by Zyon McCollum at BAL-33 (tackle by Zay Flowers)",1.05,-3.58,7.0,2024,106
4.0,13:32,1.0,10.0,BAL 30,34.0,10.0,Baker Mayfield pass incomplete deep right intended for Cade Otton,3.58,3.03,7.0,2024,106
4.0,13:28,2.0,10.0,BAL 30,34.0,10.0,Rachaad White left tackle for -1 yards (tackle by Nnamdi Madubuike and Yannick Ngakoue),3.03,2.21,7.0,2024,106
4.0,12:51,3.0,11.0,BAL 31,34.0,10.0,"Baker Mayfield pass complete short right to Cade Otton for 11 yards. Cade Otton fumbles (forced by Roquan Smith) (tackle by Ar'Darius Washington, recovered by Cade Otton at BAL-20",2.21,4.24,7.0,2024,106
4.0,12:13,1.0,10.0,BAL 20,34.0,10.0,Baker Mayfield pass complete short left to Chris Godwin for 9 yards (tackle by Yannick Ngakoue and Brent Urban),4.24,5.26,7.0,2024,106
4.0,11:30,2.0,1.0,BAL 11,34.0,16.0,"Baker Mayfield pass complete short middle to Rachaad White for 11 yards, touchdown",5.26,7.0,7.0,2024,106
4.0,11:24,,,BAL 2,34.0,18.0,Two Point Attempt: Baker Mayfield pass complete to to Sterling Shepard for no gain,1.0,1.0,7.0,2024,106
4.0,11:24,,,TAM 35,34.0,18.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
4.0,11:24,1.0,10.0,BAL 30,34.0,18.0,Derrick Henry up the middle for 3 yards (tackle by K.J. Britt),0.94,0.8,7.0,2024,106
4.0,10:41,2.0,7.0,BAL 33,34.0,18.0,Derrick Henry left tackle for 39 yards (tackle by Antoine Winfield),0.8,3.71,7.0,2024,106
4.0,9:59,1.0,10.0,TAM 28,34.0,18.0,Justice Hill right tackle for 1 yard (tackle by YaYa Diaby and Calijah Kancey),3.71,3.3,7.0,2024,106
4.0,9:17,2.0,9.0,TAM 27,34.0,18.0,Derrick Henry left tackle for 3 yards (tackle by Vita Vea),3.3,3.01,7.0,2024,106
4.0,8:41,3.0,6.0,TAM 24,34.0,18.0,Lamar Jackson pass complete short left to Rashod Bateman for 8 yards (tackle by Tyrek Funderburk),3.01,4.51,7.0,2024,106
4.0,7:56,1.0,10.0,TAM 16,34.0,18.0,Derrick Henry left guard for 2 yards (tackle by Calijah Kancey),4.51,4.21,7.0,2024,106
4.0,7:18,2.0,8.0,TAM 14,34.0,18.0,Lamar Jackson right tackle for 1 yard (tackle by YaYa Diaby),4.21,3.54,7.0,2024,106
4.0,6:38,3.0,7.0,TAM 13,40.0,18.0,"Lamar Jackson pass complete short right to Derrick Henry for 13 yards, touchdown",3.54,7.0,7.0,2024,106
4.0,6:32,,,TAM 15,41.0,18.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2024,106
4.0,6:32,,,BAL 35,41.0,18.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
4.0,6:32,1.0,10.0,TAM 30,41.0,18.0,Baker Mayfield pass complete short middle to Chris Godwin for 5 yards (tackle by Marcus Williams),0.94,1.07,7.0,2024,106
4.0,6:12,2.0,5.0,TAM 35,41.0,18.0,Baker Mayfield pass complete deep middle to Cade Otton for 28 yards (tackle by Eddie Jackson),1.07,3.12,7.0,2024,106
4.0,5:55,1.0,10.0,BAL 37,41.0,18.0,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Kyle Hamilton),3.12,3.38,7.0,2024,106
4.0,5:37,2.0,4.0,BAL 31,41.0,18.0,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,3.38,2.68,7.0,2024,106
4.0,5:26,3.0,4.0,BAL 31,41.0,18.0,Baker Mayfield pass complete short left to Chris Godwin for 4 yards (tackle by Ar'Darius Washington),2.68,3.78,7.0,2024,106
4.0,4:58,1.0,10.0,BAL 27,41.0,18.0,Baker Mayfield pass complete deep left to Cade Otton for 23 yards (tackle by Marcus Williams),3.78,6.28,7.0,2024,106
4.0,4:37,1.0,4.0,BAL 4,41.0,18.0,"Penalty on Graham Barton: False Start, 5 yards (accepted) (no play)",6.28,5.14,7.0,2024,106
4.0,4:36,1.0,9.0,BAL 9,41.0,18.0,Baker Mayfield pass complete short right to Jalen McMillan for 7 yards (tackle by Ar'Darius Washington),5.14,5.72,7.0,2024,106
4.0,4:19,2.0,2.0,BAL 2,41.0,18.0,Bucky Irving right guard for 1 yard (tackle by Odafe Oweh and Kyle Hamilton),5.72,5.17,7.0,2024,106
4.0,3:49,3.0,1.0,BAL 1,41.0,24.0,"Bucky Irving up the middle for 1 yard, touchdown",5.17,7.0,7.0,2024,106
4.0,3:46,,,BAL 2,41.0,24.0,"Two Point Attempt: Baker Mayfield pass incomplete, sacked by Baker Mayfield sacked by Odafe Oweh for no gain",1.0,-1.0,7.0,2024,106
4.0,3:46,,,TAM 35,41.0,24.0,"Chase McLaughlin kicks onside 13 yards, recovered by Tavierre Thomas",0.0,-2.13,7.0,2024,106
4.0,3:46,1.0,10.0,TAM 48,41.0,24.0,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by Roquan Smith),2.13,2.12,7.0,2024,106
4.0,3:26,2.0,6.0,BAL 48,41.0,24.0,Baker Mayfield pass complete short left to Chris Godwin for 5 yards (tackle by Ar'Darius Washington and Brandon Stephens),2.12,2.08,7.0,2024,106
4.0,3:04,3.0,1.0,BAL 43,41.0,24.0,Rachaad White up the middle for 4 yards (tackle by Roquan Smith and Kyle Hamilton),2.08,2.98,7.0,2024,106
4.0,2:43,1.0,10.0,BAL 39,41.0,24.0,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Ar'Darius Washington),2.98,3.25,7.0,2024,106
4.0,2:20,2.0,4.0,BAL 33,41.0,24.0,"Baker Mayfield pass complete short right to Sterling Shepard for 15 yards (tackle by Eddie Jackson). Penalty on Nate Wiggins: Illegal Contact, 5 yards (declined)",3.25,4.37,7.0,2024,106
4.0,2:12,1.0,10.0,BAL 18,41.0,24.0,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",4.37,4.04,7.0,2024,106
4.0,2:12,1.0,15.0,BAL 23,41.0,24.0,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,4.04,3.15,7.0,2024,106
4.0,2:06,2.0,15.0,BAL 23,41.0,30.0,"Baker Mayfield pass complete short left to Rachaad White for 23 yards, touchdown",3.15,7.0,7.0,2024,106
4.0,1:58,,,BAL 15,41.0,31.0,Chase McLaughlin kicks extra point good,0.0,0.0,7.0,2024,106
4.0,1:58,,,TAM 35,41.0,31.0,"Chase McLaughlin kicks onside 13 yards, returned by Zay Flowers for no gain",0.0,2.39,7.0,2024,106
4.0,1:57,1.0,10.0,TAM 48,41.0,31.0,Justice Hill right end for no gain (tackle by Chris Braswell),2.39,1.85,7.0,2024,106
