Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA,week,year,game_id
1.0,11:06,3.0,5.0,LAR 27,0.0,0.0,Matthew Stafford pass complete short right to Tutu Atwell for 13 yards (tackle by Isaiah Pola-Mao),-0.16,1.6,7.0,2024,103
1.0,10:29,1.0,10.0,LAR 40,0.0,0.0,"Penalty on Colby Parkinson: False Start, 5 yards (accepted) (no play)",1.6,1.27,7.0,2024,103
1.0,10:12,1.0,15.0,LAR 35,0.0,0.0,Kyren Williams up the middle for 3 yards (tackle by Adam Butler),1.27,0.78,7.0,2024,103
1.0,9:32,2.0,12.0,LAR 38,0.0,0.0,Kyren Williams up the middle for 9 yards (tackle by Isaiah Pola-Mao),0.78,1.29,7.0,2024,103
1.0,8:54,3.0,3.0,LAR 47,0.0,0.0,Matthew Stafford pass incomplete short right intended for Tyler Johnson (defended by Tre'von Moehrig),1.29,-0.26,7.0,2024,103
1.0,8:43,4.0,3.0,LAR 47,0.0,0.0,"Ethan Evans punts 45 yards, fair catch by Alex Bachman at LV-8",-0.26,0.38,7.0,2024,103
1.0,8:36,1.0,10.0,LVR 8,0.0,0.0,Alexander Mattison left tackle for 4 yards (tackle by Byron Young),-0.38,-0.49,7.0,2024,103
1.0,7:58,2.0,6.0,LVR 12,0.0,0.0,Aidan O'Connell pass complete short left to Harrison Bryant for 7 yards (tackle by Darious Williams),-0.49,0.15,7.0,2024,103
1.0,7:23,1.0,10.0,LVR 19,0.0,0.0,Aidan O'Connell pass incomplete short right,0.15,-0.39,7.0,2024,103
1.0,7:15,2.0,10.0,LVR 19,0.0,0.0,Aidan O'Connell pass complete short right to Harrison Bryant for 12 yards (tackle by Troy Reeder),-0.39,1.0,7.0,2024,103
1.0,6:36,1.0,10.0,LVR 31,0.0,0.0,"Alexander Mattison up the middle for no gain (tackle by Kamren Curl and Quentin Lake). Penalty on Delmar Glaze: Offensive Holding, 10 yards (accepted) (no play)",1.0,0.34,7.0,2024,103
1.0,6:03,1.0,20.0,LVR 21,0.0,0.0,Aidan O'Connell pass complete short middle to Alexander Mattison for 10 yards (tackle by Christian Rozeboom and Michael Hoecht),0.34,0.46,7.0,2024,103
1.0,5:10,2.0,10.0,LVR 31,0.0,0.0,"Aidan O'Connell pass incomplete short right. Penalty on Aidan O'Connell: Intentional Grounding, 11 yards (accepted)",0.46,-1.68,7.0,2024,103
1.0,5:10,3.0,21.0,LVR 20,0.0,0.0,Aidan O'Connell pass complete short middle to DJ Turner for 10 yards (tackle by Quentin Lake),-1.68,-1.37,7.0,2024,103
1.0,4:38,4.0,11.0,LVR 30,0.0,0.0,AJ Cole punts 46 yards out of bounds,-1.37,-0.54,7.0,2024,103
1.0,4:32,1.0,10.0,LAR 24,0.0,0.0,Matthew Stafford pass complete short left to Hunter Long for 5 yards (tackle by Charles Snowden and Jakorian Bennett),0.54,0.67,7.0,2024,103
1.0,4:12,2.0,5.0,LAR 29,0.0,0.0,"Matthew Stafford pass incomplete deep left intended for Demarcus Robinson. Penalty on Maxx Crosby: Roughing the Passer, 15 yards (accepted) . Penalty on Jakorian Bennett: Defensive Holding, 5 yards (declined) (no play)",0.67,1.86,7.0,2024,103
1.0,4:05,1.0,10.0,LAR 44,0.0,0.0,Matthew Stafford sacked by Maxx Crosby for -10 yards,1.86,-0.03,7.0,2024,103
1.0,3:19,,,,,,Timeout #1 by Los Angeles Rams,,,7.0,2024,103
1.0,3:19,2.0,20.0,LAR 34,0.0,0.0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,-0.03,-0.69,7.0,2024,103
1.0,3:13,3.0,20.0,LAR 34,0.0,0.0,Kyren Williams up the middle for 1 yard (tackle by Adam Butler and K'Lavon Chaisson),-0.69,-1.04,7.0,2024,103
1.0,2:40,4.0,19.0,LAR 35,0.0,0.0,Ethan Evans punts 41 yards out of bounds,-1.04,-0.54,7.0,2024,103
1.0,2:33,1.0,10.0,LVR 24,0.0,0.0,Alexander Mattison right tackle for 13 yards (tackle by Quentin Lake and Darious Williams),0.54,1.4,7.0,2024,103
1.0,1:53,1.0,10.0,LVR 37,0.0,0.0,Alexander Mattison left guard for 12 yards (tackle by Byron Young),1.4,2.19,7.0,2024,103
1.0,1:09,1.0,10.0,LVR 49,0.0,0.0,Gardner Minshew pass incomplete short left,2.19,1.65,7.0,2024,103
1.0,1:04,2.0,10.0,LVR 49,0.0,0.0,Alexander Mattison up the middle for 1 yard (tackle by Kamren Curl),1.65,1.09,7.0,2024,103
1.0,0:21,3.0,9.0,LAR 50,0.0,0.0,Gardner Minshew pass complete short right to Brock Bowers for 25 yards (tackle by Jaylen McCollough),1.09,3.91,7.0,2024,103
2.0,15:00,1.0,10.0,LAR 25,0.0,0.0,Gardner Minshew pass incomplete short middle intended for Brock Bowers (defended by Michael Hoecht),3.91,3.36,7.0,2024,103
2.0,14:54,2.0,10.0,LAR 25,0.0,0.0,Alexander Mattison up the middle for 5 yards (tackle by Troy Reeder and Michael Hoecht),3.36,3.34,7.0,2024,103
2.0,14:15,3.0,5.0,LAR 20,0.0,0.0,Gardner Minshew pass incomplete short right intended for Brock Bowers (defended by Cobie Durant),3.34,2.17,7.0,2024,103
2.0,14:08,4.0,5.0,LAR 20,3.0,0.0,Daniel Carlson 38 yard field goal good,2.17,3.0,7.0,2024,103
2.0,14:04,,,LVR 35,3.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,103
2.0,14:04,1.0,10.0,LAR 30,3.0,0.0,Matthew Stafford pass complete short left to Tutu Atwell for 7 yards (tackle by Decamerion Richardson),0.94,1.34,7.0,2024,103
2.0,13:34,2.0,3.0,LAR 37,3.0,0.0,Blake Corum left guard for 5 yards (tackle by Nate Hobbs and Robert Spillane),1.34,1.73,7.0,2024,103
2.0,13:00,1.0,10.0,LAR 42,3.0,0.0,Blake Corum left tackle for 1 yard (tackle by Divine Deablo),1.73,1.32,7.0,2024,103
2.0,12:17,2.0,9.0,LAR 43,3.0,0.0,Blake Corum up the middle for 5 yards (tackle by K'Lavon Chaisson),1.32,1.29,7.0,2024,103
2.0,11:31,3.0,4.0,LAR 48,3.0,0.0,Kyren Williams left tackle for 3 yards (tackle by Adam Butler),1.29,0.0,7.0,2024,103
2.0,10:57,4.0,1.0,LVR 49,3.0,0.0,Kyren Williams up the middle for no gain (tackle by Nate Hobbs),0.0,-2.19,7.0,2024,103
2.0,10:52,1.0,10.0,LVR 49,3.0,0.0,Gardner Minshew pass complete short left to Alexander Mattison for 3 yards (tackle by Darious Williams and Byron Young),2.19,2.05,7.0,2024,103
2.0,10:13,2.0,7.0,LAR 48,3.0,0.0,Gardner Minshew sacked by Michael Hoecht for no gain,2.05,1.36,7.0,2024,103
2.0,9:30,3.0,7.0,LAR 48,3.0,0.0,Gardner Minshew pass incomplete short right intended for DJ Turner,1.36,0.07,7.0,2024,103
2.0,9:21,4.0,7.0,LAR 48,3.0,0.0,"AJ Cole punts 48 yards, touchback.",0.07,-0.28,7.0,2024,103
2.0,9:13,1.0,10.0,LAR 20,3.0,0.0,Kyren Williams up the middle for 2 yards (tackle by Tyree Wilson),0.28,0.0,7.0,2024,103
2.0,8:32,2.0,8.0,LAR 22,3.0,0.0,Matthew Stafford pass complete short middle to Tyler Johnson for 6 yards (tackle by Robert Spillane),0.0,0.1,7.0,2024,103
2.0,7:53,3.0,2.0,LAR 28,3.0,0.0,Kyren Williams left tackle for 1 yard (tackle by Adam Butler and Tre'von Moehrig),0.1,-1.44,7.0,2024,103
2.0,7:14,4.0,1.0,LAR 29,3.0,0.0,"Ethan Evans punts 43 yards, fair catch by Alex Bachman at LV-28",-1.44,-0.81,7.0,2024,103
2.0,7:04,1.0,10.0,LVR 28,3.0,0.0,Gardner Minshew pass complete short left to Brock Bowers for 12 yards (tackle by Kamren Curl),0.81,1.6,7.0,2024,103
2.0,6:27,1.0,10.0,LVR 40,3.0,0.0,"Penalty on Jackson Powers-Johnson: False Start, 5 yards (accepted) (no play)",1.6,1.27,7.0,2024,103
2.0,6:15,1.0,15.0,LVR 35,3.0,0.0,Alexander Mattison right tackle for -1 yards (tackle by Jared Verse),1.27,0.24,7.0,2024,103
2.0,5:36,2.0,16.0,LVR 34,3.0,0.0,Gardner Minshew pass complete short right to Brock Bowers for 7 yards (tackle by Ahkello Witherspoon),0.24,0.5,7.0,2024,103
2.0,5:01,3.0,9.0,LVR 41,3.0,0.0,"Gardner Minshew pass short left intended for Brock Bowers is intercepted by Cobie Durant at LV-47 and returned for no gain (tackle by Brock Bowers) Penalty on LVR: Illegal Formation, 5 yards (declined)",0.5,-2.46,7.0,2024,103
2.0,4:47,1.0,10.0,LVR 47,3.0,0.0,Kyren Williams left guard for 9 yards (tackle by Isaiah Pola-Mao),2.46,3.13,7.0,2024,103
2.0,4:21,2.0,1.0,LVR 38,3.0,0.0,Kyren Williams left tackle for 2 yards (tackle by Adam Butler),3.13,3.18,7.0,2024,103
2.0,3:51,1.0,10.0,LVR 36,3.0,0.0,Matthew Stafford pass complete short left to Colby Parkinson for 23 yards (tackle by Divine Deablo),3.18,4.71,7.0,2024,103
2.0,3:05,1.0,10.0,LVR 13,3.0,6.0,"Kyren Williams left guard for 13 yards, touchdown",4.71,7.0,7.0,2024,103
2.0,3:00,,,LVR 15,3.0,7.0,Joshua Karty kicks extra point good,0.0,0.0,7.0,2024,103
2.0,3:00,,,LAR 35,3.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,103
2.0,3:00,1.0,10.0,LVR 30,3.0,7.0,Alexander Mattison up the middle for 4 yards (tackle by Kobie Turner and Neville Gallimore),0.94,0.93,7.0,2024,103
2.0,2:39,2.0,6.0,LVR 34,3.0,7.0,Alexander Mattison right guard for 3 yards (tackle by Neville Gallimore and Christian Rozeboom),0.93,0.63,7.0,2024,103
2.0,2:00,3.0,3.0,LVR 37,3.0,7.0,Gardner Minshew pass complete short middle to Brock Bowers for 7 yards (tackle by Byron Young),0.63,1.86,7.0,2024,103
2.0,1:27,1.0,10.0,LVR 44,3.0,7.0,Gardner Minshew pass incomplete short left,1.86,1.32,7.0,2024,103
2.0,1:23,2.0,10.0,LVR 44,3.0,13.0,"Gardner Minshew sacked by Cobie Durant for -11 yards. Gardner Minshew fumbles (forced by Cobie Durant), recovered by Kamren Curl at LV-33 and returned for 33 yards, touchdown",1.32,-7.0,7.0,2024,103
2.0,1:14,,,LVR 15,3.0,14.0,Joshua Karty kicks extra point good,0.0,0.0,7.0,2024,103
2.0,1:14,,,LAR 35,3.0,14.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,103
2.0,1:14,1.0,10.0,LVR 30,3.0,14.0,Alexander Mattison up the middle for 5 yards (tackle by Neville Gallimore and Jared Verse),0.94,1.07,7.0,2024,103
2.0,0:40,2.0,5.0,LVR 35,3.0,14.0,Alexander Mattison up the middle for 5 yards (tackle by Troy Reeder and Neville Gallimore),1.07,1.6,7.0,2024,103
2.0,0:33,,,,,,Timeout #1 by Las Vegas Raiders,,,7.0,2024,103
2.0,0:33,1.0,10.0,LVR 40,3.0,14.0,Gardner Minshew pass complete short right to DJ Turner for 3 yards (tackle by Cobie Durant),1.6,1.46,7.0,2024,103
2.0,0:27,,,,,,Timeout #2 by Las Vegas Raiders,,,7.0,2024,103
2.0,0:27,2.0,7.0,LVR 43,3.0,14.0,Gardner Minshew pass complete short left to Alexander Mattison for 18 yards (tackle by Quentin Lake),1.46,2.98,7.0,2024,103
2.0,0:19,1.0,10.0,LAR 39,3.0,14.0,Gardner Minshew pass complete short middle to Tre Tucker for 15 yards (tackle by Quentin Lake),2.98,3.97,7.0,2024,103
2.0,0:13,,,,,,Timeout #3 by Las Vegas Raiders,,,7.0,2024,103
2.0,0:13,,,,,,Timeout #2 by Los Angeles Rams,,,7.0,2024,103
2.0,0:13,1.0,10.0,LAR 24,3.0,14.0,"Penalty on Gardner Minshew: False Start, 5 yards (accepted) (no play)",3.97,3.64,7.0,2024,103
2.0,0:13,1.0,15.0,LAR 29,3.0,14.0,Gardner Minshew pass incomplete deep left intended for Tre Tucker,3.64,2.76,7.0,2024,103
2.0,0:08,,,,,,Timeout #3 by Los Angeles Rams,,,7.0,2024,103
2.0,0:08,2.0,15.0,LAR 29,3.0,14.0,Gardner Minshew pass incomplete short left,2.76,2.08,7.0,2024,103
2.0,0:04,3.0,15.0,LAR 29,6.0,14.0,Daniel Carlson 47 yard field goal good,2.08,3.0,7.0,2024,103
3.0,15:00,,,LVR 35,6.0,14.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,103
3.0,15:00,1.0,10.0,LAR 30,6.0,14.0,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,0.94,0.39,7.0,2024,103
3.0,14:56,2.0,10.0,LAR 30,6.0,14.0,Xavier Smith left end for 6 yards (tackle by Nate Hobbs),0.39,0.5,7.0,2024,103
3.0,14:17,3.0,4.0,LAR 36,6.0,14.0,Matthew Stafford pass incomplete short middle intended for Tutu Atwell,0.5,-0.98,7.0,2024,103
3.0,14:09,4.0,4.0,LAR 36,6.0,14.0,"Ethan Evans punts 52 yards, returned by DJ Turner for 7 yards (tackle by Ronnie Rivers). Penalty on Decamerion Richardson: Offensive Holding, 9 yards (accepted)",-0.98,0.38,7.0,2024,103
3.0,13:57,1.0,10.0,LVR 10,6.0,14.0,Alexander Mattison right guard for 2 yards (tackle by Neville Gallimore and Troy Reeder),-0.38,-0.63,7.0,2024,103
3.0,13:25,2.0,8.0,LVR 12,6.0,14.0,Alexander Mattison right guard for no gain (tackle by Jared Verse),-0.63,-1.19,7.0,2024,103
3.0,12:45,3.0,8.0,LVR 12,6.0,14.0,Gardner Minshew pass incomplete short right,-1.19,-2.49,7.0,2024,103
3.0,12:37,4.0,8.0,LVR 12,6.0,14.0,"AJ Cole punts 56 yards, returned by Xavier Smith for 8 yards (tackle by Jacob Bobenmoyer)",-2.49,-1.6,7.0,2024,103
3.0,12:26,1.0,10.0,LAR 40,6.0,14.0,Kyren Williams left guard for 2 yards (tackle by Nate Hobbs),1.6,1.32,7.0,2024,103
3.0,12:04,2.0,8.0,LAR 42,6.0,14.0,Matthew Stafford pass complete short left to Demarcus Robinson for 9 yards (tackle by Robert Spillane),1.32,2.32,7.0,2024,103
3.0,11:30,1.0,10.0,LVR 49,6.0,14.0,Kyren Williams left guard for 1 yard (tackle by Divine Deablo and Maxx Crosby),2.32,1.92,7.0,2024,103
3.0,10:47,2.0,9.0,LVR 48,6.0,14.0,Matthew Stafford pass complete short left to Tutu Atwell for 7 yards (tackle by Nate Hobbs),1.92,2.15,7.0,2024,103
3.0,10:10,3.0,2.0,LVR 41,6.0,14.0,Kyren Williams up the middle for -3 yards (tackle by Tre'von Moehrig),2.15,0.33,7.0,2024,103
3.0,9:33,4.0,5.0,LVR 44,6.0,14.0,"Ethan Evans punts 44 yards, touchback.",0.33,-0.28,7.0,2024,103
3.0,9:21,1.0,10.0,LVR 20,6.0,14.0,Zamir White right guard for 4 yards (tackle by Kobie Turner),0.28,0.27,7.0,2024,103
3.0,8:44,2.0,6.0,LVR 24,6.0,14.0,Gardner Minshew pass incomplete short right intended for Tre Tucker,0.27,-0.43,7.0,2024,103
3.0,8:35,3.0,6.0,LVR 24,6.0,14.0,Gardner Minshew pass short middle intended for DJ Turner is intercepted by Jaylen McCollough at LV-31 and returned for no gain (tackle by DJ Turner),-0.43,-3.51,7.0,2024,103
3.0,8:31,1.0,10.0,LVR 31,6.0,14.0,"Matthew Stafford pass complete short middle to Tyler Johnson for no gain (tackle by Robert Spillane). Penalty on K'Lavon Chaisson: Defensive Holding, 5 yards (accepted) (no play)",3.51,3.84,7.0,2024,103
3.0,8:17,1.0,10.0,LVR 26,6.0,14.0,Xavier Smith left end for 24 yards (tackle by Jack Jones),3.84,6.74,7.0,2024,103
3.0,7:33,1.0,2.0,LVR 2,6.0,20.0,"Kyren Williams left guard for 2 yards, touchdown",6.74,7.0,7.0,2024,103
3.0,7:30,,,LVR 15,6.0,20.0,Joshua Karty kicks extra point no good,0.0,-1.0,7.0,2024,103
3.0,7:30,,,LAR 35,6.0,20.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,103
3.0,7:30,1.0,10.0,LVR 30,6.0,20.0,Zamir White left tackle for no gain (tackle by Michael Hoecht),0.94,0.39,7.0,2024,103
3.0,6:52,2.0,10.0,LVR 30,6.0,20.0,"Zamir White left tackle for no gain (tackle by Kamren Curl). Penalty on Jackson Powers-Johnson: Offensive Holding, 10 yards (accepted) (no play)",0.39,-0.96,7.0,2024,103
3.0,6:28,2.0,20.0,LVR 20,6.0,20.0,Gardner Minshew pass complete short middle to Tre Tucker for 7 yards (tackle by Ahkello Witherspoon),-0.96,-0.69,7.0,2024,103
3.0,5:51,3.0,13.0,LVR 27,6.0,20.0,"Gardner Minshew pass incomplete deep right intended for Alexander Mattison. Penalty on Byron Young: Defensive Pass Interference, 18 yards (accepted) (no play)",-0.69,1.93,7.0,2024,103
3.0,5:45,1.0,10.0,LVR 45,6.0,20.0,Alexander Mattison left guard for 5 yards (tackle by Christian Rozeboom and Bobby Brown),1.93,2.06,7.0,2024,103
3.0,5:03,2.0,5.0,LAR 50,6.0,20.0,Alexander Mattison left guard for 9 yards (tackle by Brennan Jackson),2.06,2.85,7.0,2024,103
3.0,4:23,1.0,10.0,LAR 41,6.0,20.0,Alexander Mattison right guard for 4 yards (tackle by Michael Hoecht and Neville Gallimore),2.85,2.85,7.0,2024,103
3.0,3:44,2.0,6.0,LAR 37,6.0,20.0,Gardner Minshew pass complete short left to Tre Tucker for 14 yards (tackle by Kamren Curl),2.85,4.04,7.0,2024,103
3.0,3:03,1.0,10.0,LAR 23,6.0,20.0,Alexander Mattison up the middle for 3 yards (tackle by Troy Reeder),4.04,3.9,7.0,2024,103
3.0,2:39,2.0,7.0,LAR 20,6.0,20.0,Gardner Minshew pass incomplete short right,3.9,3.2,7.0,2024,103
3.0,2:33,3.0,7.0,LAR 20,6.0,20.0,Gardner Minshew pass incomplete short middle intended for DJ Turner,3.2,2.12,7.0,2024,103
3.0,2:29,4.0,7.0,LAR 20,9.0,20.0,Daniel Carlson 38 yard field goal good,2.12,3.0,7.0,2024,103
3.0,2:25,,,LVR 35,9.0,20.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,103
3.0,2:25,1.0,10.0,LAR 30,9.0,20.0,Kyren Williams left guard for 9 yards (tackle by Jakorian Bennett),0.94,1.61,7.0,2024,103
3.0,1:45,2.0,1.0,LAR 39,9.0,20.0,Matthew Stafford pass complete short left to Tutu Atwell for 8 yards (tackle by Jakorian Bennett),1.61,2.06,7.0,2024,103
3.0,1:22,1.0,10.0,LAR 47,9.0,20.0,Matthew Stafford pass incomplete short left,2.06,1.52,7.0,2024,103
3.0,1:15,2.0,10.0,LAR 47,9.0,20.0,Matthew Stafford pass short right (defended by Robert Spillane) intended for Tutu Atwell is intercepted by Nate Hobbs at LA-49 and returned for 35 yards (tackle by Kyren Williams),1.52,-4.65,7.0,2024,103
3.0,1:06,1.0,10.0,LAR 14,9.0,20.0,"Gardner Minshew pass complete short left to Brock Bowers for no gain (tackle by Kamren Curl and Neville Gallimore). Penalty on Andre James: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.65,4.26,7.0,2024,103
3.0,0:48,1.0,15.0,LAR 19,9.0,20.0,Alexander Mattison left end for 6 yards (tackle by Kamren Curl),4.26,4.16,7.0,2024,103
3.0,0:05,2.0,9.0,LAR 13,9.0,20.0,"DJ Turner right end for 4 yards (tackle by Kamren Curl and Braden Fiske) LAR challenged the runner was down by contact ruling, and the play was upheld.",4.16,4.05,7.0,2024,103
4.0,15:00,3.0,5.0,LAR 9,9.0,20.0,Gardner Minshew pass incomplete short middle,4.05,2.88,7.0,2024,103
4.0,14:55,4.0,5.0,LAR 9,12.0,20.0,Daniel Carlson 27 yard field goal good,2.88,3.0,7.0,2024,103
4.0,14:52,,,LVR 35,12.0,20.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,103
4.0,14:52,1.0,10.0,LAR 30,12.0,20.0,Matthew Stafford pass complete short left to Colby Parkinson for 9 yards (tackle by Jakorian Bennett),0.94,1.61,7.0,2024,103
4.0,14:17,2.0,1.0,LAR 39,12.0,20.0,Kyren Williams left guard for no gain (tackle by Tre'von Moehrig),1.61,0.89,7.0,2024,103
4.0,13:39,3.0,1.0,LAR 39,12.0,20.0,Matthew Stafford pass complete short left to Tyler Johnson for 37 yards (tackle by Isaiah Pola-Mao and Tre'von Moehrig),0.89,3.97,7.0,2024,103
4.0,12:48,1.0,10.0,LVR 24,12.0,20.0,Matthew Stafford pass complete short middle to Tyler Johnson for 9 yards (tackle by Isaiah Pola-Mao),3.97,4.85,7.0,2024,103
4.0,12:11,2.0,1.0,LVR 15,12.0,20.0,Kyren Williams right guard for 1 yard (tackle by Maxx Crosby and Jack Jones),4.85,4.65,7.0,2024,103
4.0,11:32,1.0,10.0,LVR 14,12.0,20.0,Kyren Williams up the middle for 3 yards (tackle by Robert Spillane and Adam Butler),4.65,4.52,7.0,2024,103
4.0,10:55,2.0,7.0,LVR 11,12.0,20.0,"Kyren Williams left guard for no gain (tackle by Tre'von Moehrig). Penalty on Rob Havenstein: Illegal Formation, 5 yards (accepted) (no play)",4.52,3.72,7.0,2024,103
4.0,10:28,2.0,12.0,LVR 16,12.0,20.0,Matthew Stafford pass incomplete short middle intended for Tyler Johnson (defended by Maxx Crosby),3.72,3.0,7.0,2024,103
4.0,10:20,3.0,12.0,LVR 16,12.0,20.0,Matthew Stafford pass incomplete deep left intended for Tyler Johnson,3.0,2.38,7.0,2024,103
4.0,10:15,4.0,12.0,LVR 16,12.0,20.0,Joshua Karty 35 yard field goal no good,2.38,-0.61,7.0,2024,103
4.0,10:11,1.0,10.0,LVR 25,12.0,20.0,Alexander Mattison left guard for 3 yards (tackle by Kobie Turner and Christian Rozeboom),0.61,0.47,7.0,2024,103
4.0,9:39,2.0,7.0,LVR 28,12.0,20.0,Gardner Minshew pass complete short middle to Brock Bowers for 11 yards (tackle by Christian Rozeboom),0.47,1.53,7.0,2024,103
4.0,9:05,1.0,10.0,LVR 39,12.0,20.0,Gardner Minshew pass complete short left to Brock Bowers for 10 yards (tackle by Kamren Curl),1.53,2.19,7.0,2024,103
4.0,8:35,1.0,10.0,LVR 49,12.0,20.0,Alexander Mattison up the middle for -1 yards (tackle by Bobby Brown),2.19,1.51,7.0,2024,103
4.0,7:56,2.0,11.0,LVR 48,12.0,20.0,Gardner Minshew pass complete short middle to Brock Bowers for 8 yards (tackle by Troy Reeder and Quentin Lake),1.51,1.88,7.0,2024,103
4.0,7:12,3.0,3.0,LAR 44,12.0,20.0,Alexander Mattison left guard for 2 yards (tackle by Byron Young),1.88,0.46,7.0,2024,103
4.0,6:33,4.0,1.0,LAR 42,12.0,20.0,Alexander Mattison up the middle for 2 yards (tackle by Quentin Lake),0.46,2.92,7.0,2024,103
4.0,5:53,1.0,10.0,LAR 40,12.0,20.0,Zamir White left tackle for 9 yards (tackle by Troy Reeder and Bobby Brown),2.92,3.59,7.0,2024,103
4.0,5:16,2.0,1.0,LAR 31,12.0,20.0,Gardner Minshew up the middle for 2 yards (tackle by Christian Rozeboom),3.59,3.64,7.0,2024,103
4.0,4:41,1.0,10.0,LAR 29,12.0,20.0,Gardner Minshew pass complete short right to Zamir White for 14 yards (tackle by Troy Reeder),3.64,4.58,7.0,2024,103
4.0,4:25,1.0,10.0,LAR 15,12.0,20.0,Tre Tucker left end for 11 yards (tackle by Quentin Lake),4.58,6.28,7.0,2024,103
4.0,3:42,1.0,4.0,LAR 4,12.0,20.0,Gardner Minshew pass incomplete short right,6.28,5.34,7.0,2024,103
4.0,3:34,2.0,4.0,LAR 4,12.0,20.0,Gardner Minshew pass incomplete short middle intended for Brock Bowers (defended by Kamren Curl),5.34,4.49,7.0,2024,103
4.0,3:30,3.0,4.0,LAR 4,12.0,20.0,Gardner Minshew pass complete short right to Brock Bowers for no gain (tackle by Quentin Lake),4.49,3.03,7.0,2024,103
4.0,2:50,4.0,4.0,LAR 4,12.0,20.0,"Penalty on Delmar Glaze: False Start, 5 yards (accepted) (no play)",3.03,2.83,7.0,2024,103
4.0,2:50,4.0,9.0,LAR 9,15.0,20.0,Daniel Carlson 27 yard field goal good,2.83,3.0,7.0,2024,103
4.0,2:46,,,LVR 35,15.0,20.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,103
4.0,2:46,1.0,10.0,LAR 30,15.0,20.0,Kyren Williams up the middle for 14 yards (tackle by Tre'von Moehrig),0.94,1.86,7.0,2024,103
4.0,2:00,1.0,10.0,LAR 44,15.0,20.0,Kyren Williams up the middle for 1 yard (tackle by Robert Spillane and Isaiah Pola-Mao),1.86,1.45,7.0,2024,103
4.0,1:55,,,,,,Timeout #1 by Las Vegas Raiders,,,7.0,2024,103
4.0,1:55,2.0,9.0,LAR 45,15.0,20.0,Kyren Williams right tackle for 3 yards (tackle by Tre'von Moehrig),1.45,1.16,7.0,2024,103
4.0,1:51,,,,,,Timeout #2 by Las Vegas Raiders,,,7.0,2024,103
4.0,1:51,3.0,6.0,LAR 48,15.0,20.0,Matthew Stafford pass complete short left to Tutu Atwell for 5 yards (tackle by Nate Hobbs),1.16,0.13,7.0,2024,103
4.0,1:46,,,,,,Timeout #3 by Las Vegas Raiders,,,7.0,2024,103
4.0,1:46,4.0,1.0,LVR 47,15.0,20.0,"Ethan Evans punts 36 yards, fair catch by DJ Turner at LV-11",0.13,0.37,7.0,2024,103
