Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP,year,week
11.0,Seattle Seahawks,17.0,399.0,573.0,69.6,3934.0,30.0,5.2,12.0,2.1,54.0,7.5,7.6,10.7,231.4,100.0,46.0,348.0,7.4,6.4,6.5,2.0,3.0,77.27,2022,18
12.0,Las Vegas Raiders,17.0,359.0,586.0,61.3,3934.0,28.0,4.8,17.0,2.9,60.0,7.1,6.8,11.6,231.4,86.7,35.0,248.0,5.6,6.3,6.0,4.0,3.0,71.68,2022,18
13.0,San Francisco 49ers,17.0,338.0,512.0,66.0,3856.0,30.0,5.9,9.0,1.8,57.0,7.9,8.3,12.0,226.8,102.3,31.0,193.0,5.7,7.1,7.5,2.0,2.0,166.88,2022,18
14.0,Dallas Cowboys,17.0,355.0,556.0,63.8,3736.0,28.0,5.0,18.0,3.2,68.0,7.0,6.6,11.0,219.8,87.9,27.0,175.0,4.6,6.4,6.0,2.0,4.0,106.51,2022,18
15.0,New York Jets,17.0,357.0,627.0,56.9,3723.0,15.0,2.4,14.0,2.2,79.0,6.4,5.9,11.3,219.0,75.0,42.0,317.0,6.3,5.6,5.1,2.0,3.0,-30.34,2022,18
16.0,New Orleans Saints,17.0,338.0,512.0,66.0,3692.0,24.0,4.7,14.0,2.7,68.0,7.8,7.5,11.7,217.2,93.6,38.0,277.0,6.9,6.7,6.4,2.0,2.0,47.61,2022,18
17.0,Green Bay Packers,17.0,364.0,563.0,64.7,3632.0,27.0,4.8,12.0,2.1,63.0,6.9,6.9,10.7,213.6,91.9,32.0,258.0,5.4,6.1,6.1,3.0,4.0,54.33,2022,18
18.0,Arizona Cardinals,17.0,433.0,664.0,65.2,3626.0,17.0,2.6,17.0,2.6,77.0,6.0,5.3,9.2,213.3,79.2,46.0,340.0,6.5,5.1,4.5,1.0,1.0,-33.98,2022,18
19.0,Denver Broncos,17.0,345.0,571.0,60.4,3592.0,18.0,3.2,15.0,2.6,67.0,7.0,6.5,11.6,211.3,81.2,63.0,415.0,9.9,5.7,5.2,3.0,3.0,-10.75,2022,18
20.0,New England Patriots,17.0,358.0,540.0,66.3,3536.0,19.0,3.5,14.0,2.6,53.0,7.1,6.6,10.7,208.0,87.7,41.0,279.0,7.1,6.1,5.7,0.0,0.0,20.69,2022,18
21.0,Washington Commanders,17.0,344.0,554.0,62.1,3472.0,24.0,4.3,16.0,2.9,75.0,6.8,6.4,11.0,204.2,84.7,48.0,311.0,8.0,5.8,5.4,4.0,3.0,0.93,2022,18
22.0,Cleveland Browns,17.0,335.0,540.0,62.0,3444.0,19.0,3.5,12.0,2.2,55.0,6.9,6.6,11.1,202.6,84.9,44.0,266.0,7.5,5.9,5.6,2.0,2.0,19.89,2022,18
23.0,Indianapolis Colts,17.0,398.0,604.0,65.9,3432.0,17.0,2.8,20.0,3.3,49.0,6.4,5.5,9.7,201.9,79.2,60.0,422.0,9.0,5.2,4.3,5.0,4.0,-65.4,2022,18
24.0,Pittsburgh Steelers,17.0,364.0,571.0,63.7,3411.0,12.0,2.1,14.0,2.5,57.0,6.4,5.7,10.1,200.6,78.7,38.0,250.0,6.2,5.6,5.0,3.0,5.0,29.27,2022,18
25.0,Houston Texans,17.0,352.0,579.0,60.8,3344.0,20.0,3.5,19.0,3.3,58.0,6.3,5.5,10.3,196.7,76.8,38.0,298.0,6.2,5.4,4.7,2.0,3.0,-58.31,2022,18
26.0,New York Giants,17.0,346.0,520.0,66.5,3157.0,17.0,3.3,6.0,1.2,65.0,6.6,6.7,9.9,185.7,91.1,49.0,274.0,8.6,5.5,5.7,4.0,5.0,21.83,2022,18
27.0,Los Angeles Rams,17.0,347.0,531.0,65.3,3108.0,16.0,3.0,15.0,2.8,75.0,6.6,5.9,10.1,182.8,82.3,59.0,398.0,10.0,5.3,4.7,1.0,1.0,-6.31,2022,18
28.0,Baltimore Ravens,17.0,300.0,488.0,61.5,3040.0,19.0,3.9,13.0,2.7,75.0,6.6,6.1,10.7,178.8,82.5,38.0,162.0,7.2,5.8,5.4,2.0,3.0,6.19,2022,18
29.0,Carolina Panthers,17.0,267.0,457.0,58.4,2996.0,16.0,3.5,13.0,2.8,75.0,7.1,6.5,12.2,176.2,80.2,36.0,250.0,7.3,6.1,5.5,0.0,1.0,-18.72,2022,18
30.0,Tennessee Titans,17.0,285.0,456.0,62.5,2914.0,16.0,3.5,11.0,2.4,69.0,7.1,6.7,11.3,171.4,85.3,49.0,313.0,9.7,5.8,5.4,,,-9.67,2022,18
31.0,Atlanta Falcons,17.0,257.0,415.0,61.9,2699.0,17.0,4.1,9.0,2.2,75.0,7.1,6.9,11.4,158.8,87.7,37.0,228.0,8.2,6.0,5.8,3.0,4.0,28.9,2022,18
32.0,Chicago Bears,17.0,223.0,377.0,59.2,2219.0,19.0,5.0,15.0,4.0,56.0,6.9,6.1,11.7,130.5,80.3,58.0,379.0,13.3,5.1,4.4,1.0,2.0,-64.19,2022,18
,Avg Team,,362.7,564.7,64.2,3701.2,23.4,4.2,13.1,2.3,67.0,7.0,6.8,10.9,218.5,89.1,40.5,268.7,6.7,6.12,5.9,2.6,3.1,51.9,2022,18
,League Total,,11605.0,18069.0,64.2,118438.0,750.0,4.2,418.0,2.3,98.0,7.0,6.8,10.9,218.5,89.1,1297.0,8597.0,6.7,6.12,5.9,83.0,98.0,,2022,18
,Avg Tm/G,,21.4,33.3,64.2,218.5,1.4,4.2,0.8,2.3,,7.0,6.8,10.9,218.5,89.1,2.4,15.9,6.7,6.12,5.9,,,,2022,18
