Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA,week,year,game_id
1.0,10:14,3.0,4.0,ATL 28,0.0,0.0,Kirk Cousins pass incomplete short right intended for Bijan Robinson,-0.03,-1.5,2.0,2024,32
1.0,10:08,4.0,4.0,ATL 28,0.0,0.0,"Bradley Pinion punts 45 yards, returned by Britain Covey for 9 yards (tackle by Troy Andersen and JD Bertrand)",-1.5,-1.33,2.0,2024,32
1.0,9:55,1.0,10.0,PHI 36,0.0,0.0,Saquon Barkley left guard for 9 yards (tackle by Richie Grant),1.33,2.01,2.0,2024,32
1.0,9:32,2.0,1.0,PHI 45,0.0,0.0,Jalen Hurts pass complete short right to Jahan Dotson for 6 yards (tackle by Jessie Bates),2.01,2.32,2.0,2024,32
1.0,8:54,1.0,10.0,ATL 49,0.0,0.0,Saquon Barkley up the middle for 9 yards (tackle by AJ Terrell and Jessie Bates),2.32,3.0,2.0,2024,32
1.0,8:13,2.0,1.0,ATL 40,0.0,0.0,Jalen Hurts pass complete short right to Grant Calcaterra for 4 yards (tackle by Troy Andersen),3.0,3.18,2.0,2024,32
1.0,7:39,1.0,10.0,ATL 36,0.0,0.0,Saquon Barkley up the middle for 10 yards (tackle by Troy Andersen and Jessie Bates),3.18,3.84,2.0,2024,32
1.0,6:58,1.0,10.0,ATL 26,0.0,0.0,Saquon Barkley right tackle for 11 yards (tackle by Jessie Bates and Matt Judon),3.84,4.58,2.0,2024,32
1.0,6:21,1.0,10.0,ATL 15,0.0,0.0,Kenneth Gainwell up the middle for 4 yards (tackle by DeAundre Alford and David Onyemata),4.58,4.64,2.0,2024,32
1.0,5:38,2.0,6.0,ATL 11,0.0,0.0,Kenneth Gainwell right guard for 2 yards (tackle by David Onyemata and Mike Hughes),4.64,4.22,2.0,2024,32
1.0,4:56,3.0,4.0,ATL 9,0.0,0.0,Jalen Hurts pass incomplete short left intended for Johnny Wilson (defended by Richie Grant),4.22,2.9,2.0,2024,32
1.0,4:45,,,,,,Timeout #1 by Philadelphia Eagles,,,2.0,2024,32
1.0,4:45,4.0,4.0,ATL 9,0.0,0.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Mike Hughes),2.9,0.38,2.0,2024,32
1.0,4:38,1.0,10.0,ATL 9,0.0,0.0,Bijan Robinson left tackle for 2 yards (tackle by Nakobe Dean),-0.38,-0.63,2.0,2024,32
1.0,4:03,2.0,8.0,ATL 11,0.0,0.0,Bijan Robinson left guard for 14 yards (tackle by Nakobe Dean),-0.63,0.61,2.0,2024,32
1.0,3:23,1.0,10.0,ATL 25,0.0,0.0,Bijan Robinson right end for 3 yards (tackle by Jalen Carter and Zack Baun),0.61,0.47,2.0,2024,32
1.0,2:45,2.0,7.0,ATL 28,0.0,0.0,Tyler Allgeier left guard for 3 yards (tackle by Josh Sweat),0.47,0.17,2.0,2024,32
1.0,2:06,3.0,4.0,ATL 31,0.0,0.0,Kirk Cousins pass incomplete short left intended for Drake London (defended by Quinyon Mitchell),0.17,-1.31,2.0,2024,32
1.0,2:01,4.0,4.0,ATL 31,0.0,0.0,"Bradley Pinion punts 44 yards, fair catch by Britain Covey at PHI-25",-1.31,-0.61,2.0,2024,32
1.0,1:54,1.0,10.0,PHI 25,0.0,0.0,Saquon Barkley up the middle for 1 yard (tackle by Ta'Quon Graham and Arnold Ebiketie),0.61,0.2,2.0,2024,32
1.0,1:17,2.0,9.0,PHI 26,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by AJ Terrell),0.2,0.17,2.0,2024,32
1.0,0:36,3.0,4.0,PHI 31,0.0,0.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith (defended by DeAundre Alford),0.17,-1.31,2.0,2024,32
1.0,0:29,4.0,4.0,PHI 31,0.0,0.0,"Braden Mann punts 53 yards, returned by Avery Williams for 11 yards (tackle by Jeremiah Trotter)",-1.31,-0.74,2.0,2024,32
1.0,0:17,1.0,10.0,ATL 27,0.0,0.0,Kirk Cousins pass complete deep middle to Drake London for 19 yards (tackle by C.J. Gardner-Johnson),0.74,1.99,2.0,2024,32
2.0,15:00,1.0,10.0,ATL 46,0.0,0.0,Tyler Allgeier right tackle for 4 yards (tackle by Milton Williams),1.99,1.99,2.0,2024,32
2.0,14:35,2.0,6.0,ATL 50,0.0,0.0,Kirk Cousins pass complete short middle to Tyler Allgeier for 12 yards (tackle by Nakobe Dean),1.99,3.05,2.0,2024,32
2.0,14:07,1.0,10.0,PHI 38,0.0,0.0,Tyler Allgeier left tackle for 15 yards (tackle by Reed Blankenship),3.05,4.04,2.0,2024,32
2.0,13:29,1.0,10.0,PHI 23,0.0,0.0,"Kirk Cousins aborted snap, recovered by Bijan Robinson at PHI-24 Bijan Robinson up the middle for no gain",4.04,3.36,2.0,2024,32
2.0,12:50,2.0,11.0,PHI 24,0.0,0.0,Bijan Robinson up the middle for 2 yards (tackle by Jordan Davis),3.36,2.94,2.0,2024,32
2.0,12:08,,,,,,Timeout #1 by Atlanta Falcons,,,2.0,2024,32
2.0,12:08,3.0,9.0,PHI 22,0.0,0.0,Kirk Cousins scrambles up the middle for 1 yard (tackle by Josh Sweat),2.94,2.06,2.0,2024,32
2.0,11:27,4.0,8.0,PHI 21,3.0,0.0,Younghoe Koo 39 yard field goal good,2.06,3.0,2.0,2024,32
2.0,11:22,,,ATL 35,3.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,32
2.0,11:22,1.0,10.0,PHI 30,3.0,0.0,Saquon Barkley left tackle for 4 yards (tackle by Grady Jarrett),0.94,0.93,2.0,2024,32
2.0,10:43,2.0,6.0,PHI 34,3.0,0.0,Jalen Hurts pass complete deep left to DeVonta Smith for 18 yards (tackle by DeAundre Alford),0.93,2.39,2.0,2024,32
2.0,10:14,1.0,10.0,ATL 48,3.0,0.0,Jalen Hurts pass incomplete short right,2.39,1.85,2.0,2024,32
2.0,10:05,2.0,10.0,ATL 48,3.0,0.0,Saquon Barkley up the middle for -2 yards (tackle by Matt Judon),1.85,0.89,2.0,2024,32
2.0,9:26,3.0,12.0,ATL 50,3.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 9 yards (tackle by Jessie Bates and Mike Hughes),0.89,0.53,2.0,2024,32
2.0,8:43,4.0,3.0,ATL 41,3.0,0.0,Jalen Hurts scrambles right guard for 23 yards (tackle by DeAundre Alford),0.53,4.37,2.0,2024,32
2.0,8:28,1.0,10.0,ATL 18,3.0,0.0,"Penalty on Jalen Hurts: Delay of Game, 5 yards (accepted) (no play)",4.37,4.04,2.0,2024,32
2.0,8:12,1.0,15.0,ATL 23,3.0,0.0,Saquon Barkley right end for -5 yards (tackle by Jessie Bates),4.04,2.48,2.0,2024,32
2.0,7:28,2.0,20.0,ATL 28,3.0,0.0,Jalen Hurts scrambles up the middle for 9 yards (tackle by Kaden Elliss and Troy Andersen),2.48,2.97,2.0,2024,32
2.0,6:43,3.0,11.0,ATL 19,3.0,0.0,Jalen Hurts scrambles right end for 15 yards (tackle by Kaden Elliss),2.97,6.28,2.0,2024,32
2.0,6:10,1.0,4.0,ATL 4,3.0,0.0,"Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Jessie Bates). Penalty on Lane Johnson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",6.28,5.14,2.0,2024,32
2.0,6:05,1.0,9.0,ATL 9,3.0,0.0,Jalen Hurts pass complete short left to Britain Covey for 2 yards (tackle by Justin Simmons),5.14,4.76,2.0,2024,32
2.0,5:20,2.0,7.0,ATL 7,3.0,6.0,"Jalen Hurts pass complete short middle to DeVonta Smith for 7 yards, touchdown",4.76,7.0,2.0,2024,32
2.0,5:15,,,ATL 15,3.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,2.0,2024,32
2.0,5:15,,,PHI 35,3.0,7.0,"Braden Mann kicks off 63 yards, returned by Avery Williams for 22 yards (tackle by Will Shipley and Jeremiah Trotter). Penalty on JD Bertrand: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.0,-0.28,2.0,2024,32
2.0,5:09,1.0,10.0,ATL 14,3.0,7.0,Ray-Ray McCloud right end for 3 yards (tackle by Zack Baun),-0.28,-0.37,2.0,2024,32
2.0,4:41,2.0,7.0,ATL 17,3.0,7.0,Kirk Cousins pass complete short right to Kyle Pitts for 1 yard (tackle by C.J. Gardner-Johnson),-0.37,-0.92,2.0,2024,32
2.0,4:01,3.0,6.0,ATL 18,3.0,7.0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 12 yards (tackle by Reed Blankenship),-0.92,0.94,2.0,2024,32
2.0,3:25,1.0,10.0,ATL 30,3.0,7.0,Bijan Robinson left end for 9 yards (tackle by Nakobe Dean and Moro Ojomo),0.94,1.61,2.0,2024,32
2.0,3:00,2.0,1.0,ATL 39,3.0,7.0,Bijan Robinson left tackle for 15 yards (tackle by Reed Blankenship),1.61,2.52,2.0,2024,32
2.0,2:42,1.0,10.0,PHI 46,3.0,7.0,"Kirk Cousins sacked by Brandon Graham for no gain. Penalty on Nakobe Dean: Illegal Contact, 5 yards (accepted) (no play)",2.52,2.85,2.0,2024,32
2.0,2:16,1.0,10.0,PHI 41,3.0,7.0,Kirk Cousins pass incomplete short right intended for Darnell Mooney (defended by Avonte Maddox),2.85,2.31,2.0,2024,32
2.0,2:10,2.0,10.0,PHI 41,3.0,7.0,"Kirk Cousins pass complete short middle to Ray-Ray McCloud for 18 yards (tackle by Zack Baun and Darius Slay). Penalty on Ray-Ray McCloud: Unnecessary Roughness / Offense, 15 yards (accepted)",2.31,3.05,2.0,2024,32
2.0,2:00,1.0,10.0,PHI 38,3.0,7.0,Kirk Cousins pass complete short right to Bijan Robinson for 7 yards (tackle by Avonte Maddox and C.J. Gardner-Johnson),3.05,3.45,2.0,2024,32
2.0,1:26,2.0,3.0,PHI 31,3.0,7.0,Bijan Robinson up the middle for 14 yards (tackle by Quinyon Mitchell),3.45,4.44,2.0,2024,32
2.0,0:52,1.0,10.0,PHI 17,3.0,7.0,Tyler Allgeier up the middle for 4 yards (tackle by Reed Blankenship and Josh Sweat),4.44,4.5,2.0,2024,32
2.0,0:32,2.0,6.0,PHI 13,3.0,7.0,Tyler Allgeier up the middle for 7 yards (tackle by Reed Blankenship and Darius Slay),4.5,5.83,2.0,2024,32
2.0,0:26,,,,,,Timeout #2 by Atlanta Falcons,,,2.0,2024,32
2.0,0:26,1.0,6.0,PHI 6,3.0,7.0,"Kirk Cousins pass complete short left to Bijan Robinson for no gain (tackle by Brandon Graham). Penalty on Brandon Graham: Face Mask (15 Yards), 3 yards (accepted) (no play)",5.83,6.51,2.0,2024,32
2.0,0:22,1.0,3.0,PHI 3,3.0,7.0,Bijan Robinson left guard for -1 yards (tackle by Thomas Booker and Jordan Davis),6.51,5.34,2.0,2024,32
2.0,0:17,,,,,,Timeout #3 by Atlanta Falcons,,,2.0,2024,32
2.0,0:17,2.0,4.0,PHI 4,3.0,7.0,Kirk Cousins pass incomplete short left intended for Darnell Mooney,5.34,4.49,2.0,2024,32
2.0,0:14,,,,,,Timeout #2 by Philadelphia Eagles,,,2.0,2024,32
2.0,0:14,3.0,4.0,PHI 4,3.0,7.0,Kirk Cousins pass incomplete short right intended for Kyle Pitts,4.49,3.03,2.0,2024,32
2.0,0:09,4.0,4.0,PHI 4,6.0,7.0,Younghoe Koo 22 yard field goal good,3.03,3.0,2.0,2024,32
2.0,0:06,,,ATL 35,6.0,7.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,32
2.0,0:06,1.0,10.0,PHI 30,6.0,7.0,Jalen Hurts kneels for -1 yards,0.94,0.26,2.0,2024,32
3.0,15:00,,,PHI 35,6.0,7.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,32
3.0,15:00,1.0,10.0,ATL 30,6.0,7.0,Kirk Cousins pass complete short left to Bijan Robinson for 7 yards (tackle by Zack Baun),0.94,1.34,2.0,2024,32
3.0,14:25,2.0,3.0,ATL 37,6.0,7.0,Bijan Robinson right end for 19 yards (tackle by Reed Blankenship),1.34,2.65,2.0,2024,32
3.0,13:52,1.0,10.0,PHI 44,6.0,7.0,Bijan Robinson left guard for 5 yards (tackle by Zack Baun),2.65,2.78,2.0,2024,32
3.0,13:21,2.0,5.0,PHI 39,6.0,7.0,Kirk Cousins pass complete short left to Bijan Robinson for 13 yards (tackle by Reed Blankenship),2.78,3.84,2.0,2024,32
3.0,12:36,1.0,10.0,PHI 26,6.0,7.0,Tyler Allgeier right end for 12 yards (tackle by Darius Slay),3.84,4.65,2.0,2024,32
3.0,12:09,1.0,10.0,PHI 14,6.0,7.0,Tyler Allgeier left tackle for 4 yards (tackle by Reed Blankenship and C.J. Gardner-Johnson),4.65,4.71,2.0,2024,32
3.0,11:29,2.0,6.0,PHI 10,6.0,7.0,Tyler Allgeier left end for 2 yards (tackle by Thomas Booker),4.71,4.28,2.0,2024,32
3.0,10:53,3.0,4.0,PHI 8,6.0,7.0,Kirk Cousins sacked by Milton Williams for -8 yards,4.28,2.38,2.0,2024,32
3.0,10:16,4.0,12.0,PHI 16,9.0,7.0,Younghoe Koo 34 yard field goal good,2.38,3.0,2.0,2024,32
3.0,10:12,,,ATL 35,9.0,7.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,32
3.0,10:12,1.0,10.0,PHI 30,9.0,7.0,Saquon Barkley right guard for 9 yards (tackle by Troy Andersen and Kaden Elliss),0.94,1.61,2.0,2024,32
3.0,9:36,2.0,1.0,PHI 39,9.0,7.0,Saquon Barkley up the middle for 5 yards (tackle by Matt Judon),1.61,1.86,2.0,2024,32
3.0,8:56,1.0,10.0,PHI 44,9.0,7.0,Jalen Hurts sacked by Matt Judon for -4 yards,1.86,0.78,2.0,2024,32
3.0,8:14,2.0,14.0,PHI 40,9.0,7.0,Jalen Hurts pass complete short left to DeVonta Smith for 14 yards (tackle by Kaden Elliss),0.78,2.52,2.0,2024,32
3.0,7:42,1.0,10.0,ATL 46,9.0,7.0,Jalen Hurts pass complete short middle to Saquon Barkley for 10 yards (tackle by Kaden Elliss),2.52,3.18,2.0,2024,32
3.0,7:03,1.0,10.0,ATL 36,9.0,7.0,Saquon Barkley left guard for 4 yards (tackle by Troy Andersen),3.18,3.18,2.0,2024,32
3.0,6:21,2.0,6.0,ATL 32,9.0,7.0,Jalen Hurts pass complete deep right to DeVonta Smith for 19 yards (tackle by AJ Terrell),3.18,4.71,2.0,2024,32
3.0,5:53,1.0,10.0,ATL 13,9.0,7.0,Saquon Barkley right guard for 4 yards (tackle by Arnold Ebiketie),4.71,4.77,2.0,2024,32
3.0,5:16,2.0,6.0,ATL 9,9.0,7.0,Jalen Hurts pass complete short left to Britain Covey for 3 yards (tackle by AJ Terrell),4.77,4.56,2.0,2024,32
3.0,4:39,3.0,3.0,ATL 6,9.0,7.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith (defended by Jessie Bates),4.56,3.01,2.0,2024,32
3.0,4:31,4.0,3.0,ATL 6,9.0,7.0,"Penalty on PHI: Delay of Game, 5 yards (accepted) (no play)",3.01,2.7,2.0,2024,32
3.0,4:31,4.0,8.0,ATL 11,9.0,10.0,Jake Elliott 29 yard field goal good,2.7,3.0,2.0,2024,32
3.0,4:28,,,PHI 35,9.0,10.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,32
3.0,4:28,1.0,10.0,ATL 30,9.0,10.0,Kirk Cousins pass complete short right to Drake London for 9 yards (tackle by Zack Baun),0.94,1.61,2.0,2024,32
3.0,3:54,2.0,1.0,ATL 39,9.0,10.0,Tyler Allgeier right tackle for 2 yards (tackle by Nolan Smith),1.61,1.66,2.0,2024,32
3.0,3:15,1.0,10.0,ATL 41,9.0,10.0,Kirk Cousins pass incomplete deep right intended for Ray-Ray McCloud,1.66,1.12,2.0,2024,32
3.0,3:09,2.0,10.0,ATL 41,9.0,10.0,Kirk Cousins pass complete short left to Bijan Robinson for -2 yards (tackle by Thomas Booker),1.12,0.17,2.0,2024,32
3.0,2:42,3.0,12.0,ATL 39,9.0,10.0,Kirk Cousins pass complete short right to Kyle Pitts for 8 yards (tackle by Reed Blankenship),0.17,-0.26,2.0,2024,32
3.0,2:13,4.0,4.0,ATL 47,9.0,10.0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 12 yards (tackle by Zack Baun),-0.26,2.85,2.0,2024,32
3.0,1:29,1.0,10.0,PHI 41,15.0,10.0,"Kirk Cousins pass complete deep middle to Darnell Mooney for 41 yards, touchdown",2.85,7.0,2.0,2024,32
3.0,1:21,,,PHI 2,15.0,10.0,Two Point Attempt: Kirk Cousins pass incomplete intended for intended for Drake London,1.0,-1.0,2.0,2024,32
3.0,1:21,,,ATL 35,15.0,10.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,32
3.0,1:21,1.0,10.0,PHI 30,15.0,10.0,Jalen Hurts scrambles left end for 3 yards (tackle by Kaden Elliss),0.94,0.8,2.0,2024,32
3.0,0:47,2.0,7.0,PHI 33,15.0,10.0,"Jalen Hurts pass complete short right to Britain Covey for no gain (tackle by Troy Andersen). Penalty on Cam Jurgens: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.8,0.12,2.0,2024,32
3.0,0:26,2.0,12.0,PHI 28,15.0,10.0,Jalen Hurts pass complete short left to DeVonta Smith for 8 yards (tackle by Kaden Elliss),0.12,0.5,2.0,2024,32
4.0,15:00,3.0,4.0,PHI 36,15.0,10.0,Jalen Hurts pass complete short right to Britain Covey for 9 yards (tackle by DeAundre Alford),0.5,1.93,2.0,2024,32
4.0,14:27,1.0,10.0,PHI 45,15.0,10.0,Jalen Hurts pass complete short right to Britain Covey for 1 yard (tackle by DeAundre Alford),1.93,1.52,2.0,2024,32
4.0,13:56,2.0,9.0,PHI 46,15.0,10.0,Jalen Hurts pass complete short middle to Saquon Barkley for 3 yards (tackle by Troy Andersen),1.52,1.22,2.0,2024,32
4.0,13:13,3.0,6.0,PHI 49,15.0,10.0,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by AJ Terrell),1.22,0.2,2.0,2024,32
4.0,12:30,4.0,1.0,ATL 46,15.0,10.0,Jalen Hurts up the middle for 3 yards (tackle by Jessie Bates),0.2,2.72,2.0,2024,32
4.0,11:52,1.0,10.0,ATL 43,15.0,10.0,Saquon Barkley right end for 4 yards (tackle by Mike Hughes and Matt Judon),2.72,2.72,2.0,2024,32
4.0,11:14,2.0,6.0,ATL 39,15.0,10.0,Jalen Hurts pass complete short right to Britain Covey for 4 yards (tackle by AJ Terrell),2.72,2.54,2.0,2024,32
4.0,10:33,3.0,2.0,ATL 35,15.0,10.0,Jalen Hurts up the middle for 12 yards (tackle by Jessie Bates and Troy Andersen),2.54,4.04,2.0,2024,32
4.0,10:03,1.0,10.0,ATL 23,15.0,10.0,Saquon Barkley up the middle for 9 yards (tackle by Mike Hughes),4.04,4.95,2.0,2024,32
4.0,9:39,2.0,1.0,ATL 14,15.0,10.0,Jalen Hurts left guard for 2 yards (tackle by David Onyemata and Arnold Ebiketie),4.95,4.78,2.0,2024,32
4.0,8:46,1.0,10.0,ATL 12,15.0,10.0,"Saquon Barkley left end for 4 yards (tackle by Kaden Elliss and Justin Simmons). Penalty on Johnny Wilson: Offensive Holding, 10 yards (accepted)",4.78,4.27,2.0,2024,32
4.0,8:29,1.0,16.0,ATL 18,15.0,10.0,Jalen Hurts left end for 12 yards (tackle by AJ Terrell),4.27,5.21,2.0,2024,32
4.0,7:53,2.0,4.0,ATL 6,15.0,10.0,Saquon Barkley right guard for 1 yard (tackle by Eddie Goldman),5.21,4.61,2.0,2024,32
4.0,7:08,3.0,3.0,ATL 5,15.0,10.0,"Jalen Hurts pass complete short right to Saquon Barkley for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Jalen Hurts pass complete short right to Saquon Barkley for 4 yards (tackle by Jessie Bates)",4.61,6.97,2.0,2024,32
4.0,6:51,1.0,1.0,ATL 1,15.0,16.0,"Jalen Hurts up the middle for 1 yard, touchdown",6.97,7.0,2.0,2024,32
4.0,6:47,,,ATL 2,15.0,18.0,"Two Point Attempt: Saquon Barkley rushes, conversion fails. Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Two Point Attempt: Saquon Barkley rushes, conversion succeeds.",1.0,1.0,2.0,2024,32
4.0,6:47,,,PHI 35,15.0,18.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,32
4.0,6:47,1.0,10.0,ATL 30,15.0,18.0,Bijan Robinson right end for 1 yard (tackle by Nakobe Dean),0.94,0.53,2.0,2024,32
4.0,6:18,2.0,9.0,ATL 31,15.0,18.0,Kirk Cousins pass incomplete deep left intended for Darnell Mooney,0.53,-0.16,2.0,2024,32
4.0,6:12,3.0,9.0,ATL 31,15.0,18.0,Kirk Cousins pass complete short right to Drake London for 8 yards (tackle by Darius Slay),-0.16,-0.78,2.0,2024,32
4.0,5:43,4.0,1.0,ATL 39,15.0,18.0,Bijan Robinson right guard for no gain (tackle by C.J. Gardner-Johnson),-0.78,-2.98,2.0,2024,32
4.0,5:38,1.0,10.0,ATL 39,15.0,18.0,"Saquon Barkley right end for 3 yards (tackle by Jessie Bates). Penalty on Landon Dickerson: Offensive Holding, 10 yards (accepted)",2.98,2.52,2.0,2024,32
4.0,5:10,1.0,17.0,ATL 46,15.0,18.0,Saquon Barkley up the middle for -1 yards (tackle by James Smith-Williams and Jessie Bates),2.52,1.36,2.0,2024,32
4.0,4:27,2.0,18.0,ATL 47,15.0,18.0,Jalen Hurts pass complete short left to Dallas Goedert for 16 yards (tackle by Kaden Elliss),1.36,2.81,2.0,2024,32
4.0,3:40,3.0,2.0,ATL 31,15.0,18.0,Jalen Hurts pass complete short right to Saquon Barkley for 4 yards (tackle by Clark Phillips),2.81,3.78,2.0,2024,32
4.0,2:57,1.0,10.0,ATL 27,15.0,18.0,Saquon Barkley left guard for no gain (tackle by Grady Jarrett),3.78,3.23,2.0,2024,32
4.0,2:14,2.0,10.0,ATL 27,15.0,18.0,Saquon Barkley left guard for 9 yards (tackle by Justin Simmons),3.23,3.84,2.0,2024,32
4.0,2:00,3.0,1.0,ATL 18,15.0,18.0,"Penalty on Kentavius Street: Encroachment, 5 yards (declined) (no play)",3.84,3.84,2.0,2024,32
4.0,2:00,3.0,1.0,ATL 18,15.0,18.0,Jalen Hurts up the middle for 1 yard (tackle by Kaden Elliss and Matt Judon),3.84,4.44,2.0,2024,32
4.0,2:00,,,,,,Timeout #1 by Atlanta Falcons,,,2.0,2024,32
4.0,1:56,1.0,10.0,ATL 17,15.0,18.0,Saquon Barkley left guard for 4 yards (tackle by Justin Simmons and Kaden Elliss),4.44,4.5,2.0,2024,32
4.0,1:51,,,,,,Timeout #2 by Atlanta Falcons,,,2.0,2024,32
4.0,1:51,2.0,6.0,ATL 13,15.0,18.0,Saquon Barkley left tackle for 3 yards (tackle by Ta'Quon Graham),4.5,4.34,2.0,2024,32
4.0,1:46,,,,,,Timeout #3 by Atlanta Falcons,,,2.0,2024,32
4.0,1:46,,,,,,Timeout #1 by Philadelphia Eagles,,,2.0,2024,32
4.0,1:46,3.0,3.0,ATL 10,15.0,18.0,Jalen Hurts pass incomplete short right intended for Saquon Barkley,4.34,2.86,2.0,2024,32
4.0,1:42,4.0,3.0,ATL 10,15.0,21.0,Jake Elliott 28 yard field goal good,2.86,3.0,2.0,2024,32
4.0,1:39,,,PHI 35,15.0,21.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,32
4.0,1:39,1.0,10.0,ATL 30,15.0,21.0,Kirk Cousins pass complete short middle to Kyle Pitts for 11 yards (tackle by Nakobe Dean),0.94,1.66,2.0,2024,32
4.0,1:20,1.0,10.0,ATL 41,15.0,21.0,Kirk Cousins pass complete deep left to Darnell Mooney for 21 yards (tackle by Reed Blankenship),1.66,3.05,2.0,2024,32
4.0,0:57,1.0,10.0,PHI 38,15.0,21.0,Kirk Cousins pass complete deep left to Darnell Mooney for 26 yards (tackle by Zack Baun),3.05,4.78,2.0,2024,32
4.0,0:48,1.0,10.0,PHI 12,15.0,21.0,Kirk Cousins pass complete short left to Drake London for 5 yards (tackle by Quinyon Mitchell),4.78,5.02,2.0,2024,32
4.0,0:43,2.0,5.0,PHI 7,15.0,21.0,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Avonte Maddox),5.02,4.16,2.0,2024,32
4.0,0:38,3.0,5.0,PHI 7,21.0,21.0,"Kirk Cousins pass complete short right to Drake London for 7 yards, touchdown",4.16,7.0,2.0,2024,32
4.0,0:34,,,PHI 15,21.0,21.0,"Penalty on Drake London: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",0.0,0.0,2.0,2024,32
4.0,0:34,,,PHI 30,22.0,21.0,Younghoe Koo kicks extra point good,0.0,0.0,2.0,2024,32
4.0,0:34,,,ATL 35,22.0,21.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,32
4.0,0:34,1.0,10.0,PHI 30,22.0,21.0,Jalen Hurts pass complete short middle to Dallas Goedert for 13 yards (tackle by Kevin King),0.94,1.8,2.0,2024,32
4.0,0:27,,,,,,Timeout #2 by Philadelphia Eagles,,,2.0,2024,32
4.0,0:27,1.0,10.0,PHI 43,22.0,21.0,Jalen Hurts pass deep left intended for DeVonta Smith is intercepted by Jessie Bates at ATL-32 and returned for no gain (tackle by Britain Covey),1.8,-1.07,2.0,2024,32
