Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA,week,year,game_id
1.0,4:45,4.0,15.0,TAM 37,6.0,3.0,Jake Camarda punts 47 yards downed by SirVocea Dennis,-0.91,0.14,2.0,2024,22
1.0,4:36,1.0,10.0,DET 16,6.0,3.0,Jahmyr Gibbs left end for 4 yards (tackle by William Gholston),-0.14,0.01,2.0,2024,22
1.0,3:58,2.0,6.0,DET 20,6.0,3.0,Jared Goff pass complete short left to Jameson Williams for 5 yards (tackle by Jamel Dean),0.01,-0.2,2.0,2024,22
1.0,3:20,3.0,1.0,DET 25,6.0,3.0,"Jared Goff pass complete short middle to Amon-Ra St. Brown for 15 yards (tackle by Christian Izien). Penalty on Jamel Dean: Defensive Holding, 5 yards (declined)",-0.2,1.6,2.0,2024,22
1.0,2:56,1.0,10.0,DET 40,6.0,3.0,Jahmyr Gibbs right tackle for 8 yards (tackle by K.J. Britt),1.6,2.13,2.0,2024,22
1.0,2:23,2.0,2.0,DET 48,6.0,3.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Zyon McCollum),2.13,2.39,2.0,2024,22
1.0,1:47,1.0,10.0,TAM 48,6.0,3.0,Jahmyr Gibbs left end for 4 yards (tackle by Jordan Whitehead and Jamel Dean),2.39,2.39,2.0,2024,22
1.0,1:14,2.0,6.0,TAM 44,6.0,3.0,Jared Goff pass complete deep right to Amon-Ra St. Brown for 16 yards (tackle by Jordan Whitehead),2.39,3.71,2.0,2024,22
1.0,0:28,1.0,10.0,TAM 28,6.0,3.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by Zyon McCollum),3.71,3.98,2.0,2024,22
2.0,15:00,2.0,4.0,TAM 22,6.0,3.0,Jared Goff pass complete short right to Jahmyr Gibbs for 4 yards (tackle by Lavonte David),3.98,4.37,2.0,2024,22
2.0,14:13,1.0,10.0,TAM 18,6.0,3.0,Jahmyr Gibbs right tackle for no gain (tackle by Joe Tryon-Shoyinka and YaYa Diaby),4.37,3.8,2.0,2024,22
2.0,13:36,2.0,10.0,TAM 18,6.0,3.0,Jared Goff pass incomplete short left intended for Jameson Williams,3.8,3.05,2.0,2024,22
2.0,13:34,3.0,10.0,TAM 18,6.0,3.0,Jared Goff pass complete short right to Jahmyr Gibbs for 1 yard (tackle by Lavonte David and SirVocea Dennis),3.05,2.31,2.0,2024,22
2.0,12:51,4.0,9.0,TAM 17,6.0,6.0,Jake Bates 35 yard field goal good,2.31,3.0,2.0,2024,22
2.0,12:47,,,DET 35,6.0,6.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,22
2.0,12:47,1.0,10.0,TAM 30,6.0,6.0,Rachaad White up the middle for no gain (tackle by Derrick Barnes and Levi Onwuzurike),0.94,0.39,2.0,2024,22
2.0,12:04,2.0,10.0,TAM 30,6.0,6.0,Rachaad White left tackle for no gain (tackle by Malcolm Rodriguez),0.39,-0.3,2.0,2024,22
2.0,11:23,3.0,10.0,TAM 30,6.0,6.0,Baker Mayfield pass complete deep right to Chris Godwin for 17 yards,-0.3,2.06,2.0,2024,22
2.0,10:37,1.0,10.0,TAM 47,6.0,6.0,Rachaad White left tackle for 1 yard (tackle by Kerby Joseph and Levi Onwuzurike),2.06,1.65,2.0,2024,22
2.0,9:58,2.0,9.0,TAM 48,6.0,6.0,Baker Mayfield pass complete short right to Chris Godwin for 11 yards (tackle by Carlton Davis),1.65,2.85,2.0,2024,22
2.0,9:15,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,2.0,2024,22
2.0,9:15,1.0,10.0,DET 41,12.0,6.0,"Baker Mayfield pass complete deep left to Chris Godwin for 41 yards, touchdown",2.85,7.0,2.0,2024,22
2.0,9:08,,,DET 15,13.0,6.0,Chase McLaughlin kicks extra point good,0.0,0.0,2.0,2024,22
2.0,9:08,,,TAM 35,13.0,6.0,"Jake Camarda kicks off 65 yards, returned by Tom Kennedy for 22 yards (tackle by Tavierre Thomas)",0.0,0.41,2.0,2024,22
2.0,9:04,1.0,10.0,DET 22,13.0,6.0,David Montgomery right tackle for -2 yards (tackle by YaYa Diaby and Jordan Whitehead),0.41,-0.4,2.0,2024,22
2.0,8:22,2.0,12.0,DET 20,13.0,6.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown (defended by Jamel Dean),-0.4,-1.09,2.0,2024,22
2.0,8:17,3.0,12.0,DET 20,13.0,6.0,Jared Goff pass incomplete deep right intended for Tim Patrick (defended by Zyon McCollum),-1.09,-2.03,2.0,2024,22
2.0,8:11,4.0,12.0,DET 20,13.0,6.0,Jack Fox pass complete short middle to Sione Vaki for 17 yards (tackle by SirVocea Dennis),-2.03,1.4,2.0,2024,22
2.0,7:24,1.0,10.0,DET 37,13.0,6.0,Jared Goff pass incomplete deep middle intended for Amon-Ra St. Brown (defended by Jordan Whitehead),1.4,0.86,2.0,2024,22
2.0,7:23,2.0,10.0,DET 37,13.0,6.0,Jared Goff pass complete short left to David Montgomery for 8 yards (tackle by Lavonte David and Christian Izien),0.86,1.22,2.0,2024,22
2.0,6:39,3.0,2.0,DET 45,13.0,6.0,Jared Goff pass incomplete deep right intended for Amon-Ra St. Brown,1.22,-0.39,2.0,2024,22
2.0,6:37,4.0,2.0,DET 45,13.0,6.0,David Montgomery right end for 3 yards (tackle by Joe Tryon-Shoyinka and Lavonte David),-0.39,2.13,2.0,2024,22
2.0,5:56,1.0,10.0,DET 48,13.0,6.0,David Montgomery left end for 4 yards (tackle by Chris Braswell),2.13,2.12,2.0,2024,22
2.0,5:19,2.0,6.0,TAM 48,13.0,6.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,2.12,1.42,2.0,2024,22
2.0,5:14,3.0,6.0,TAM 48,13.0,6.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Christian Izien),1.42,0.07,2.0,2024,22
2.0,5:09,4.0,6.0,TAM 48,13.0,6.0,"Jack Fox punts 35 yards, fair catch by Trey Palmer at TB-13",0.07,0.32,2.0,2024,22
2.0,5:02,1.0,10.0,TAM 13,13.0,6.0,Bucky Irving right tackle for 3 yards (tackle by Jack Campbell and Alex Anzalone),-0.32,-0.44,2.0,2024,22
2.0,4:22,2.0,7.0,TAM 16,13.0,6.0,Baker Mayfield pass complete short left to Chris Godwin for 10 yards (tackle by Brian Branch),-0.44,0.67,2.0,2024,22
2.0,3:42,1.0,10.0,TAM 26,13.0,6.0,Baker Mayfield pass complete short left to Mike Evans for 16 yards (tackle by Terrion Arnold),0.67,1.73,2.0,2024,22
2.0,2:57,1.0,10.0,TAM 42,13.0,6.0,Bucky Irving right end for 2 yards (tackle by Alex Anzalone),1.73,1.46,2.0,2024,22
2.0,2:09,2.0,8.0,TAM 44,13.0,6.0,Baker Mayfield scrambles up the middle for 1 yard (tackle by Josh Paschal),1.46,0.89,2.0,2024,22
2.0,2:00,3.0,7.0,TAM 45,13.0,6.0,Baker Mayfield pass short right intended for Mike Evans is intercepted by Brian Branch at DET-43 and returned for 1 yard (tackle by Chris Godwin),0.89,-1.86,2.0,2024,22
2.0,1:52,1.0,10.0,DET 44,13.0,6.0,David Montgomery left end for 9 yards (tackle by Anthony Nelson and Jordan Whitehead),1.86,2.53,2.0,2024,22
2.0,1:16,2.0,1.0,TAM 47,13.0,6.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Jamel Dean),2.53,3.05,2.0,2024,22
2.0,1:10,,,,,,Timeout #1 by Detroit Lions,,,2.0,2024,22
2.0,1:10,1.0,10.0,TAM 38,13.0,6.0,Jared Goff pass incomplete short middle intended for Sam LaPorta (defended by Vita Vea),3.05,2.51,2.0,2024,22
2.0,1:06,2.0,10.0,TAM 38,13.0,6.0,Jared Goff pass complete short middle to Tim Patrick for 10 yards (tackle by Jordan Whitehead),2.51,3.71,2.0,2024,22
2.0,0:49,,,,,,Timeout #2 by Detroit Lions,,,2.0,2024,22
2.0,0:49,1.0,10.0,TAM 28,13.0,6.0,Jahmyr Gibbs left end for 6 yards (tackle by SirVocea Dennis),3.71,3.98,2.0,2024,22
2.0,0:34,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,2.0,2024,22
2.0,0:34,2.0,4.0,TAM 22,13.0,6.0,Jared Goff scrambles up the middle for 2 yards (tackle by SirVocea Dennis),3.98,3.53,2.0,2024,22
2.0,0:28,3.0,2.0,TAM 20,13.0,6.0,Jared Goff scrambles right end for 3 yards (tackle by Zyon McCollum),3.53,4.44,2.0,2024,22
2.0,0:22,1.0,10.0,TAM 17,13.0,6.0,Jared Goff pass incomplete deep left intended for Jameson Williams,4.44,3.85,2.0,2024,22
2.0,0:18,2.0,10.0,TAM 17,13.0,6.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 8 yards (tackle by Zyon McCollum and Christian Izien),3.85,4.57,2.0,2024,22
2.0,0:03,3.0,2.0,TAM 9,13.0,6.0,"Penalty on DET: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",4.57,2.95,2.0,2024,22
3.0,15:00,,,TAM 35,13.0,6.0,"Jake Camarda kicks off 63 yards, returned by Tom Kennedy for 28 yards (tackle by J.J. Russell and SirVocea Dennis)",0.0,0.94,2.0,2024,22
3.0,14:52,1.0,10.0,DET 30,13.0,6.0,"Jared Goff pass complete deep left to Amon-Ra St. Brown for 20 yards (tackle by Jamel Dean). Penalty on William Gholston: Roughing the Passer, 15 yards (accepted)",0.94,3.25,2.0,2024,22
3.0,14:37,1.0,10.0,TAM 35,13.0,6.0,Jameson Williams right end for 15 yards (tackle by Jordan Whitehead),3.25,4.24,2.0,2024,22
3.0,13:53,1.0,10.0,TAM 20,13.0,6.0,Jared Goff pass complete short left to Kalif Raymond for 1 yard (tackle by K.J. Britt and William Gholston),4.24,3.82,2.0,2024,22
3.0,13:12,2.0,9.0,TAM 19,13.0,6.0,David Montgomery up the middle for 3 yards (tackle by Lavonte David and K.J. Britt),3.82,3.52,2.0,2024,22
3.0,12:40,3.0,6.0,TAM 16,13.0,6.0,Jared Goff pass complete short middle to David Montgomery for 3 yards (tackle by Lavonte David and SirVocea Dennis),3.52,2.67,2.0,2024,22
3.0,11:57,4.0,3.0,TAM 13,13.0,9.0,Jake Bates 32 yard field goal good,2.67,3.0,2.0,2024,22
3.0,11:53,,,DET 35,13.0,9.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,22
3.0,11:53,1.0,10.0,TAM 30,13.0,9.0,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Jack Campbell),0.94,1.07,2.0,2024,22
3.0,11:11,2.0,5.0,TAM 35,13.0,9.0,Rachaad White up the middle for -1 yards (tackle by Jack Campbell),1.07,0.23,2.0,2024,22
3.0,10:27,3.0,6.0,TAM 34,13.0,9.0,Baker Mayfield sacked by Aidan Hutchinson for -7 yards,0.23,-1.57,2.0,2024,22
3.0,9:43,4.0,13.0,TAM 27,13.0,9.0,"Jake Camarda punts 51 yards, returned by Kalif Raymond for 10 yards (tackle by Tykee Smith)",-1.57,-1.07,2.0,2024,22
3.0,9:33,1.0,10.0,DET 32,13.0,9.0,Jared Goff pass incomplete deep middle intended for Amon-Ra St. Brown (defended by Zyon McCollum),1.07,0.53,2.0,2024,22
3.0,9:30,2.0,10.0,DET 32,13.0,9.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,0.53,-0.16,2.0,2024,22
3.0,9:22,3.0,10.0,DET 32,13.0,9.0,Jared Goff pass complete short middle to Jameson Williams for 13 yards (tackle by SirVocea Dennis),-0.16,1.93,2.0,2024,22
3.0,8:52,1.0,10.0,DET 45,13.0,9.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by K.J. Britt),1.93,2.19,2.0,2024,22
3.0,8:15,2.0,4.0,TAM 49,13.0,9.0,Jahmyr Gibbs right tackle for 16 yards (tackle by Zyon McCollum),2.19,3.38,2.0,2024,22
3.0,7:26,1.0,10.0,TAM 33,13.0,9.0,Jared Goff pass complete short left to Tim Patrick for 2 yards (tackle by Jamel Dean),3.38,3.11,2.0,2024,22
3.0,6:50,2.0,8.0,TAM 31,13.0,9.0,Jahmyr Gibbs right tackle for 4 yards (tackle by C.J. Brewer and Mike Greene),3.11,2.94,2.0,2024,22
3.0,6:09,3.0,4.0,TAM 27,13.0,9.0,Jared Goff pass complete short left to Sam LaPorta for 7 yards (tackle by Tykee Smith and Jamel Dean),2.94,4.24,2.0,2024,22
3.0,5:24,1.0,10.0,TAM 20,13.0,9.0,Jahmyr Gibbs left end for -4 yards (tackle by Jordan Whitehead),4.24,3.15,2.0,2024,22
3.0,4:41,2.0,14.0,TAM 24,13.0,9.0,Jared Goff pass complete short left to Jahmyr Gibbs for 6 yards (tackle by SirVocea Dennis and Jamel Dean),3.15,3.22,2.0,2024,22
3.0,4:10,3.0,8.0,TAM 18,13.0,9.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 17 yards (tackle by Christian Izien and Tykee Smith),3.22,6.97,2.0,2024,22
3.0,3:32,1.0,1.0,TAM 1,13.0,15.0,"David Montgomery up the middle for 1 yard, touchdown",6.97,7.0,2.0,2024,22
3.0,3:26,,,TAM 15,13.0,16.0,Jake Bates kicks extra point good,0.0,0.0,2.0,2024,22
3.0,3:26,,,DET 35,13.0,16.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,22
3.0,3:26,1.0,10.0,TAM 30,13.0,16.0,"Bucky Irving left end for 6 yards (tackle by Derrick Barnes). Penalty on Terrion Arnold: Face Mask (15 Yards), 15 yards (accepted)",0.94,2.32,2.0,2024,22
3.0,2:56,1.0,10.0,DET 49,13.0,16.0,Baker Mayfield pass complete deep left to Jalen McMillan for 21 yards (tackle by Jack Campbell),2.32,3.71,2.0,2024,22
3.0,2:15,1.0,10.0,DET 28,13.0,16.0,Bucky Irving right end for 6 yards (tackle by Alex Anzalone and D.J. Reader),3.71,3.98,2.0,2024,22
3.0,1:34,2.0,4.0,DET 22,13.0,16.0,Baker Mayfield pass incomplete short right intended for Cade Otton,3.98,3.27,2.0,2024,22
3.0,1:30,3.0,4.0,DET 22,13.0,16.0,Baker Mayfield scrambles right tackle for 11 yards (tackle by Brian Branch),3.27,4.84,2.0,2024,22
3.0,0:42,1.0,10.0,DET 11,19.0,16.0,"Baker Mayfield scrambles up the middle for 11 yards, touchdown",4.84,7.0,2.0,2024,22
3.0,0:34,,,DET 15,20.0,16.0,Chase McLaughlin kicks extra point good,0.0,0.0,2.0,2024,22
3.0,0:34,,,TAM 35,20.0,16.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,22
3.0,0:34,1.0,10.0,DET 30,20.0,16.0,David Montgomery up the middle for 6 yards (tackle by C.J. Brewer),0.94,1.2,2.0,2024,22
3.0,0:02,2.0,4.0,DET 36,20.0,16.0,"Penalty on Joe Tryon-Shoyinka: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.2,1.66,2.0,2024,22
4.0,15:00,1.0,10.0,DET 41,20.0,16.0,Jared Goff pass complete short right to David Montgomery for 15 yards (tackle by C.J. Brewer and Christian Izien),1.66,2.65,2.0,2024,22
4.0,14:19,1.0,10.0,TAM 44,20.0,16.0,David Montgomery right tackle for no gain (tackle by Jordan Whitehead),2.65,2.11,2.0,2024,22
4.0,13:39,2.0,10.0,TAM 44,20.0,16.0,David Montgomery left tackle for 3 yards (tackle by Tykee Smith),2.11,1.82,2.0,2024,22
4.0,13:05,3.0,7.0,TAM 41,20.0,16.0,Jared Goff pass incomplete short right intended for Kalif Raymond,1.82,0.53,2.0,2024,22
4.0,13:01,4.0,7.0,TAM 41,20.0,16.0,Jack Fox punts 32 yards out of bounds,0.53,0.38,2.0,2024,22
4.0,12:53,1.0,10.0,TAM 9,20.0,16.0,Baker Mayfield pass complete short left to Mike Evans for 15 yards (tackle by Kerby Joseph),-0.38,0.54,2.0,2024,22
4.0,12:15,1.0,10.0,TAM 24,20.0,16.0,Bucky Irving right end for -1 yards (tackle by Jack Campbell),0.54,-0.14,2.0,2024,22
4.0,11:34,2.0,11.0,TAM 23,20.0,16.0,Bucky Irving up the middle for 4 yards (tackle by Malcolm Rodriguez and Derrick Barnes),-0.14,-0.3,2.0,2024,22
4.0,10:54,3.0,7.0,TAM 27,20.0,16.0,"Baker Mayfield sacked by and Levi Onwuzurike for -4 yards and Aidan Hutchinson for -4 yards. Baker Mayfield fumbles (forced by Levi Onwuzurike), recovered by Baker Mayfield at TB-23",-0.3,-1.83,2.0,2024,22
4.0,10:08,4.0,11.0,TAM 23,20.0,16.0,"Jake Camarda punts 42 yards, returned by Kalif Raymond for 13 yards (tackle by Sean Tucker)",-1.83,-2.13,2.0,2024,22
4.0,9:57,1.0,10.0,DET 48,20.0,16.0,Jared Goff pass complete short right to Jameson Williams for 6 yards (tackle by Anthony Nelson),2.13,2.39,2.0,2024,22
4.0,9:26,2.0,4.0,TAM 46,20.0,16.0,Jared Goff pass incomplete short right,2.39,1.68,2.0,2024,22
4.0,9:22,3.0,4.0,TAM 46,20.0,16.0,Jahmyr Gibbs left tackle for 24 yards (tackle by Jamel Dean),1.68,4.11,2.0,2024,22
4.0,8:36,1.0,10.0,TAM 22,20.0,16.0,Jahmyr Gibbs up the middle for 4 yards (tackle by Logan Hall and Christian Izien),4.11,4.13,2.0,2024,22
4.0,7:58,2.0,6.0,TAM 18,20.0,16.0,"Jahmyr Gibbs up the middle for no gain (tackle by YaYa Diaby and Tykee Smith). Penalty on Frank Ragnow: Offensive Holding, 10 yards (accepted) (no play)",4.13,2.75,2.0,2024,22
4.0,7:41,2.0,16.0,TAM 28,20.0,16.0,Jared Goff pass deep middle intended for Tim Patrick is intercepted by Christian Izien at TB-9 and returned for 17 yards (tackle by Jameson Williams),2.75,-0.67,2.0,2024,22
4.0,7:34,1.0,10.0,TAM 26,20.0,16.0,Baker Mayfield pass complete short right to Mike Evans for 11 yards (tackle by Kerby Joseph),0.67,1.4,2.0,2024,22
4.0,6:52,1.0,10.0,TAM 37,20.0,16.0,Rachaad White right tackle for 2 yards (tackle by Kerby Joseph),1.4,1.13,2.0,2024,22
4.0,6:09,2.0,8.0,TAM 39,20.0,16.0,Cade Otton right end for -4 yards (tackle by Alim McNeill and Brian Branch),1.13,-0.1,2.0,2024,22
4.0,5:23,3.0,12.0,TAM 35,20.0,16.0,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,-0.1,-1.04,2.0,2024,22
4.0,5:19,4.0,12.0,TAM 35,20.0,16.0,"Jake Camarda punts 47 yards, fair catch by Kalif Raymond at DET-18",-1.04,-0.04,2.0,2024,22
4.0,5:12,1.0,10.0,DET 18,20.0,16.0,Jared Goff pass complete short right to David Montgomery for 9 yards (tackle by Zyon McCollum),0.04,0.82,2.0,2024,22
4.0,4:33,2.0,1.0,DET 27,20.0,16.0,Jared Goff pass complete deep right to Kalif Raymond for 18 yards (tackle by Tykee Smith),0.82,1.93,2.0,2024,22
4.0,4:30,1.0,10.0,DET 45,20.0,16.0,David Montgomery left tackle for 1 yard (tackle by Greg Gaines and Jordan Whitehead),1.93,1.52,2.0,2024,22
4.0,3:54,2.0,9.0,DET 46,20.0,16.0,Jahmyr Gibbs left end for no gain (tackle by SirVocea Dennis),1.52,0.83,2.0,2024,22
4.0,3:10,3.0,9.0,DET 46,20.0,16.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards (tackle by Tykee Smith),0.83,2.59,2.0,2024,22
4.0,3:05,1.0,10.0,TAM 45,20.0,16.0,Jared Goff pass complete short middle to Kalif Raymond for 8 yards (tackle by Christian Izien),2.59,3.12,2.0,2024,22
4.0,2:26,2.0,2.0,TAM 37,20.0,16.0,Jahmyr Gibbs right end for -5 yards (tackle by Tykee Smith),3.12,1.75,2.0,2024,22
4.0,2:00,3.0,7.0,TAM 42,20.0,16.0,Jared Goff pass complete short left to Sam LaPorta for 6 yards (tackle by Christian Izien),1.75,0.89,2.0,2024,22
4.0,1:22,4.0,1.0,TAM 36,20.0,16.0,Jahmyr Gibbs left end for 23 yards (tackle by Christian Izien),0.89,4.71,2.0,2024,22
4.0,1:17,1.0,10.0,TAM 13,20.0,16.0,Jared Goff pass complete short left to Jahmyr Gibbs for -4 yards (tackle by Joe Tryon-Shoyinka),4.71,3.5,2.0,2024,22
4.0,1:12,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,2.0,2024,22
4.0,1:12,2.0,14.0,TAM 17,20.0,16.0,Jared Goff pass complete short left to Jameson Williams for 5 yards (tackle by Jamel Dean),3.5,3.28,2.0,2024,22
4.0,1:08,3.0,9.0,TAM 12,20.0,16.0,Jared Goff pass complete short left to Jahmyr Gibbs for 1 yard (tackle by SirVocea Dennis),3.28,2.7,2.0,2024,22
4.0,1:01,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,2.0,2024,22
4.0,1:01,4.0,8.0,TAM 11,20.0,16.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 5 yards (tackle by Jordan Whitehead and Christian Izien),2.7,0.38,2.0,2024,22
4.0,0:53,1.0,10.0,TAM 6,20.0,16.0,Rachaad White right end for 1 yard (tackle by Brian Branch),-0.38,-0.71,2.0,2024,22
4.0,0:49,,,,,,Timeout #1 by Detroit Lions,,,2.0,2024,22
4.0,0:49,2.0,9.0,TAM 7,20.0,16.0,Rachaad White right tackle for 3 yards (tackle by Jack Campbell and Levi Onwuzurike),-0.71,-0.95,2.0,2024,22
4.0,0:45,3.0,6.0,TAM 10,20.0,16.0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Derrick Barnes),-0.95,-2.49,2.0,2024,22
4.0,0:42,4.0,6.0,TAM 10,20.0,16.0,"Jake Camarda punts 43 yards, returned by Kalif Raymond for 9 yards (tackle by Ko Kieft)",-2.49,-2.65,2.0,2024,22
4.0,0:33,1.0,10.0,TAM 44,20.0,16.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Lavonte David),2.65,3.26,2.0,2024,22
4.0,0:27,,,,,,Timeout #2 by Detroit Lions,,,2.0,2024,22
4.0,0:27,2.0,2.0,TAM 35,20.0,16.0,Jared Goff pass complete short right to Jahmyr Gibbs for 9 yards (tackle by Tykee Smith and SirVocea Dennis),3.26,3.84,2.0,2024,22
4.0,0:16,1.0,10.0,TAM 26,20.0,16.0,Jared Goff spiked the ball,3.84,3.3,2.0,2024,22
4.0,0:14,2.0,10.0,TAM 26,20.0,16.0,Jared Goff pass incomplete short left intended for Jameson Williams,3.3,2.61,2.0,2024,22
4.0,0:10,3.0,10.0,TAM 26,20.0,16.0,Jared Goff pass incomplete short right intended for Jameson Williams (defended by Zyon McCollum),2.61,1.74,2.0,2024,22
4.0,0:06,4.0,10.0,TAM 26,20.0,16.0,Jared Goff pass incomplete short left intended for Tom Kennedy,1.74,-0.67,2.0,2024,22
