Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA,week,year,game_id
1.0,10:13,3.0,2.0,DEN 23,0.0,0.0,Bo Nix sacked by Alex Highsmith for -7 yards,-0.39,-2.39,2.0,2024,30
1.0,9:41,4.0,9.0,DEN 16,0.0,0.0,"Riley Dixon punts 52 yards, returned by Calvin Austin for no gain (tackle by JL Skinner). Penalty on Nick Herbig: Offensive Holding, 10 yards (accepted)",-2.39,-0.41,2.0,2024,30
1.0,9:30,1.0,10.0,PIT 22,0.0,0.0,Justin Fields scrambles right tackle for 1 yard (tackle by John Franklin-Myers),0.41,0.0,2.0,2024,30
1.0,8:50,2.0,9.0,PIT 23,0.0,0.0,Najee Harris left tackle for 4 yards (tackle by Alex Singleton),0.0,-0.16,2.0,2024,30
1.0,8:12,3.0,5.0,PIT 27,0.0,0.0,Justin Fields pass complete short middle to George Pickens for 13 yards (tackle by Ja'Quan McMillian and Brandon Jones),-0.16,1.6,2.0,2024,30
1.0,7:28,1.0,10.0,PIT 40,0.0,0.0,Justin Fields scrambles left end for 16 yards (tackle by Cody Barton),1.6,2.65,2.0,2024,30
1.0,6:51,1.0,10.0,DEN 44,0.0,0.0,Jaylen Warren right tackle for 4 yards (tackle by Alex Singleton),2.65,2.65,2.0,2024,30
1.0,6:14,2.0,6.0,DEN 40,0.0,0.0,Najee Harris right tackle for 3 yards (tackle by Nik Bonitto),2.65,2.35,2.0,2024,30
1.0,5:37,3.0,3.0,DEN 37,0.0,0.0,"Penalty on Jonathon Cooper: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.35,3.45,2.0,2024,30
1.0,5:19,1.0,10.0,DEN 32,0.0,0.0,Jaylen Warren left tackle for 3 yards (tackle by John Franklin-Myers),3.45,3.31,2.0,2024,30
1.0,4:41,2.0,7.0,DEN 29,0.0,0.0,Jaylen Warren up the middle for 11 yards (tackle by Riley Moss),3.31,4.37,2.0,2024,30
1.0,4:05,1.0,10.0,DEN 18,0.0,0.0,Justin Fields pass complete short left to Pat Freiermuth for 14 yards,4.37,6.28,2.0,2024,30
1.0,3:23,1.0,4.0,DEN 4,0.0,0.0,Justin Fields sacked by Jonah Elliss for -6 yards,6.28,4.19,2.0,2024,30
1.0,2:40,2.0,10.0,DEN 10,0.0,0.0,Najee Harris left tackle for 5 yards (tackle by Ja'Quan McMillian and Alex Singleton),4.19,4.26,2.0,2024,30
1.0,2:01,3.0,5.0,DEN 5,6.0,0.0,"Justin Fields pass complete short left to Darnell Washington for 5 yards, touchdown",4.26,7.0,2.0,2024,30
1.0,1:56,,,DEN 15,7.0,0.0,Chris Boswell kicks extra point good,0.0,0.0,2.0,2024,30
1.0,1:56,,,PIT 35,7.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,30
1.0,1:56,1.0,10.0,DEN 30,7.0,0.0,Bo Nix pass complete short right to Michael Burton for 1 yard (tackle by DeShon Elliott),0.94,0.53,2.0,2024,30
1.0,1:21,2.0,9.0,DEN 31,7.0,0.0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 6 yards (tackle by Patrick Queen),0.53,0.63,2.0,2024,30
1.0,0:36,3.0,3.0,DEN 37,7.0,0.0,Bo Nix pass complete short middle to Javonte Williams for 7 yards (tackle by Patrick Queen),0.63,1.86,2.0,2024,30
2.0,15:00,1.0,10.0,DEN 44,7.0,0.0,Javonte Williams right guard for 4 yards (tackle by Isaiahh Loudermilk),1.86,1.86,2.0,2024,30
2.0,14:19,2.0,6.0,DEN 48,7.0,0.0,Bo Nix pass incomplete deep right intended for Greg Dulcich,1.86,1.16,2.0,2024,30
2.0,14:14,3.0,6.0,DEN 48,7.0,0.0,Bo Nix pass incomplete short left intended for Josh Reynolds (defended by Joey Porter),1.16,-0.19,2.0,2024,30
2.0,14:10,4.0,6.0,DEN 48,7.0,0.0,Riley Dixon punts 51 yards downed by Michael Burton,-0.19,0.38,2.0,2024,30
2.0,13:58,1.0,10.0,PIT 1,7.0,0.0,Justin Fields up the middle for 2 yards (tackle by D.J. Jones),-0.38,-0.63,2.0,2024,30
2.0,13:21,2.0,8.0,PIT 3,7.0,0.0,Najee Harris left tackle for 8 yards (tackle by Brandon Jones),-0.63,-0.37,2.0,2024,30
2.0,12:42,1.0,10.0,PIT 11,7.0,0.0,Najee Harris right end for 2 yards (tackle by Kristian Welch and Nik Bonitto),-0.37,-0.63,2.0,2024,30
2.0,12:02,2.0,8.0,PIT 13,7.0,0.0,Justin Fields pass complete short right to Jaylen Warren for 12 yards (tackle by Kristian Welch),-0.63,0.61,2.0,2024,30
2.0,11:29,1.0,10.0,PIT 25,7.0,0.0,Justin Fields pass incomplete short left,0.61,0.06,2.0,2024,30
2.0,11:25,2.0,10.0,PIT 25,7.0,0.0,Jaylen Warren right tackle for 4 yards (tackle by Alex Singleton and Patrick Surtain),0.06,-0.1,2.0,2024,30
2.0,10:47,3.0,6.0,PIT 29,7.0,0.0,"Penalty on Broderick Jones: False Start, 5 yards (accepted) (no play)",-0.1,-0.76,2.0,2024,30
2.0,10:34,3.0,11.0,PIT 24,7.0,0.0,Justin Fields pass complete deep left to George Pickens for 16 yards,-0.76,1.6,2.0,2024,30
2.0,10:09,1.0,10.0,PIT 40,7.0,0.0,Najee Harris right guard for 11 yards (tackle by Brandon Jones and Alex Singleton),1.6,2.32,2.0,2024,30
2.0,9:32,1.0,10.0,DEN 49,7.0,0.0,"Najee Harris right guard for no gain (tackle by Nik Bonitto). Penalty on Broderick Jones: Offensive Holding, 10 yards (accepted) (no play)",2.32,1.66,2.0,2024,30
2.0,9:13,1.0,20.0,PIT 41,7.0,0.0,Jaylen Warren left tackle for 2 yards (tackle by Jonah Elliss),1.66,0.7,2.0,2024,30
2.0,8:43,2.0,18.0,PIT 43,7.0,0.0,"Justin Fields pass complete deep right to George Pickens for no gain (tackle by Patrick Surtain). Penalty on Broderick Jones: Offensive Holding, 10 yards (accepted) (no play)",0.7,-0.65,2.0,2024,30
2.0,8:22,2.0,28.0,PIT 33,7.0,0.0,Justin Fields pass complete short middle to Najee Harris for 5 yards (tackle by Cody Barton and Jordan Jackson),-0.65,-0.63,2.0,2024,30
2.0,7:49,3.0,23.0,PIT 38,7.0,0.0,Justin Fields pass complete short middle to Pat Freiermuth for 11 yards (tackle by Cody Barton and P.J. Locke),-0.63,-0.13,2.0,2024,30
2.0,7:13,4.0,12.0,PIT 49,7.0,0.0,"Corliss Waitman punts 51 yards, touchback.",-0.13,-0.28,2.0,2024,30
2.0,7:04,1.0,10.0,DEN 20,7.0,0.0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 4 yards (tackle by Alex Highsmith),0.28,0.27,2.0,2024,30
2.0,6:27,2.0,6.0,DEN 24,7.0,0.0,Tyler Badie left tackle for 16 yards (tackle by Montravius Adams and Minkah Fitzpatrick),0.27,1.6,2.0,2024,30
2.0,5:42,1.0,10.0,DEN 40,7.0,0.0,"Penalty on Alex Highsmith: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.6,2.33,2.0,2024,30
2.0,5:21,1.0,5.0,DEN 45,7.0,0.0,Bo Nix pass incomplete short right,2.33,1.73,2.0,2024,30
2.0,5:15,,,,,,Timeout #1 by Denver Broncos,,,2.0,2024,30
2.0,5:15,2.0,5.0,DEN 45,7.0,0.0,Bo Nix left guard for 13 yards (tackle by Damontae Kazee),1.73,2.79,2.0,2024,30
2.0,4:32,1.0,10.0,PIT 42,7.0,0.0,Javonte Williams left tackle for 3 yards (tackle by Keeanu Benton and DeShon Elliott),2.79,2.65,2.0,2024,30
2.0,3:56,2.0,7.0,PIT 39,7.0,0.0,Bo Nix sacked by T.J. Watt for -8 yards,2.65,0.89,2.0,2024,30
2.0,3:17,3.0,15.0,PIT 47,7.0,0.0,Bo Nix pass complete short middle to Marvin Mims for 8 yards (tackle by Minkah Fitzpatrick),0.89,0.66,2.0,2024,30
2.0,2:32,,,,,,Timeout #1 by Pittsburgh Steelers,,,2.0,2024,30
2.0,2:32,4.0,7.0,PIT 39,7.0,0.0,Bo Nix pass incomplete short middle intended for Troy Franklin (defended by Patrick Queen),0.66,-1.53,2.0,2024,30
2.0,2:28,1.0,10.0,PIT 39,7.0,0.0,"Justin Fields pass complete short right to Van Jefferson for no gain (tackle by Alex Singleton). Penalty on Patrick Surtain: Defensive Holding, 5 yards (accepted) (no play)",1.53,1.86,2.0,2024,30
2.0,2:00,1.0,10.0,PIT 44,7.0,0.0,Justin Fields sacked by Zach Allen for -1 yards,1.86,1.18,2.0,2024,30
2.0,1:21,2.0,11.0,PIT 43,7.0,0.0,Najee Harris right tackle for 7 yards (tackle by Nik Bonitto),1.18,1.42,2.0,2024,30
2.0,0:53,3.0,4.0,PIT 50,7.0,0.0,Justin Fields pass complete short right to Calvin Austin for 6 yards,1.42,2.65,2.0,2024,30
2.0,0:49,1.0,10.0,DEN 44,7.0,0.0,Jaylen Warren right guard for 4 yards (tackle by Alex Singleton),2.65,2.65,2.0,2024,30
2.0,0:26,2.0,6.0,DEN 40,7.0,0.0,"Justin Fields pass incomplete deep right intended for Van Jefferson (defended by Riley Moss). Penalty on Riley Moss: Defensive Pass Interference, 27 yards (accepted) (no play)",2.65,4.71,2.0,2024,30
2.0,0:21,1.0,10.0,DEN 13,7.0,0.0,Justin Fields pass complete short right to Jaylen Warren for 7 yards (tackle by Levi Wallace and Alex Singleton),4.71,5.34,2.0,2024,30
2.0,0:14,,,,,,Timeout #2 by Pittsburgh Steelers,,,2.0,2024,30
2.0,0:14,2.0,3.0,DEN 6,7.0,0.0,"Justin Fields pass complete short left to George Pickens for no gain, touchdown. Penalty on Van Jefferson: Offensive Pass Interference, 10 yards (accepted) (no play)",5.34,3.62,2.0,2024,30
2.0,0:10,,,,,,Timeout #3 by Denver Broncos,,,2.0,2024,30
2.0,0:10,2.0,13.0,DEN 16,7.0,0.0,Justin Fields pass complete short left to Van Jefferson for 12 yards (tackle by Jonathon Cooper),3.62,5.01,2.0,2024,30
2.0,0:02,,,,,,Timeout #3 by Pittsburgh Steelers,,,2.0,2024,30
2.0,0:02,3.0,1.0,DEN 4,10.0,0.0,Chris Boswell 22 yard field goal good,5.01,3.0,2.0,2024,30
3.0,15:00,,,DEN 35,10.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,30
3.0,15:00,1.0,10.0,PIT 30,10.0,0.0,Najee Harris right end for 3 yards (tackle by Brandon Jones),0.94,0.8,2.0,2024,30
3.0,14:22,2.0,7.0,PIT 33,10.0,0.0,Justin Fields pass complete short middle to Pat Freiermuth for 9 yards (tackle by Riley Moss),0.8,1.73,2.0,2024,30
3.0,13:43,1.0,10.0,PIT 42,10.0,0.0,Cordarrelle Patterson right tackle for no gain (tackle by Jordan Jackson and Jonathon Cooper),1.73,1.19,2.0,2024,30
3.0,13:04,2.0,10.0,PIT 42,10.0,0.0,Justin Fields pass incomplete short right,1.19,0.5,2.0,2024,30
3.0,12:59,3.0,10.0,PIT 42,10.0,0.0,Justin Fields pass incomplete short left intended for George Pickens,0.5,-0.59,2.0,2024,30
3.0,12:53,4.0,10.0,PIT 42,10.0,0.0,"Corliss Waitman punts 58 yards, touchback.",-0.59,-0.28,2.0,2024,30
3.0,12:44,1.0,10.0,DEN 20,10.0,0.0,Javonte Williams left guard for 5 yards (tackle by DeShon Elliott and Cameron Heyward),0.28,0.41,2.0,2024,30
3.0,12:07,2.0,5.0,DEN 25,10.0,0.0,"Bo Nix pass complete short middle to Courtland Sutton for no gain (tackle by Payton Wilson and Alex Highsmith). Penalty on Garett Bolles: Illegal Formation, 5 yards (accepted) (no play)",0.41,-0.27,2.0,2024,30
3.0,11:38,2.0,10.0,DEN 20,10.0,0.0,Bo Nix pass complete short left to Josh Reynolds for 9 yards (tackle by DeShon Elliott),-0.27,0.23,2.0,2024,30
3.0,10:51,3.0,1.0,DEN 29,10.0,0.0,Javonte Williams up the middle for -4 yards (tackle by DeShon Elliott),0.23,-1.7,2.0,2024,30
3.0,10:19,4.0,5.0,DEN 25,10.0,0.0,"Riley Dixon punts 47 yards, returned by Calvin Austin for -4 yards (tackle by Justin Strnad)",-1.7,-0.54,2.0,2024,30
3.0,10:08,1.0,10.0,PIT 24,10.0,0.0,Najee Harris up the middle for no gain (tackle by Malcolm Roach and Zach Allen),0.54,0.0,2.0,2024,30
3.0,9:35,2.0,10.0,PIT 24,10.0,0.0,Justin Fields pass complete short left to Van Jefferson for 2 yards (tackle by Riley Moss),0.0,-0.43,2.0,2024,30
3.0,9:07,3.0,8.0,PIT 26,10.0,0.0,Justin Fields pass incomplete deep left intended for Van Jefferson,-0.43,-1.63,2.0,2024,30
3.0,8:54,4.0,8.0,PIT 26,10.0,0.0,"Corliss Waitman punts 49 yards, fair catch by Marvin Mims at DEN-25. Penalty on Patrick Surtain: Offensive Holding, 10 yards (accepted)",-1.63,0.22,2.0,2024,30
3.0,8:54,1.0,10.0,DEN 15,10.0,0.0,Javonte Williams right guard for 3 yards (tackle by Cameron Heyward and Donte Jackson),-0.22,-0.28,2.0,2024,30
3.0,8:09,,,,,,Timeout #1 by Denver Broncos,,,2.0,2024,30
3.0,8:09,2.0,7.0,DEN 18,10.0,0.0,Bo Nix pass incomplete short left intended for Greg Dulcich,-0.28,-1.0,2.0,2024,30
3.0,8:02,3.0,7.0,DEN 18,10.0,0.0,"Bo Nix pass complete deep middle to Courtland Sutton for 26 yards (tackle by Joey Porter). Penalty on Joey Porter: Defensive Holding, 5 yards (declined)",-1.0,1.86,2.0,2024,30
3.0,7:42,1.0,10.0,DEN 44,10.0,0.0,Bo Nix pass complete deep middle to Josh Reynolds for 49 yards (tackle by Minkah Fitzpatrick),1.86,5.6,2.0,2024,30
3.0,6:56,1.0,7.0,PIT 7,10.0,0.0,Javonte Williams up the middle for 1 yard (tackle by Elandon Roberts),5.6,4.95,2.0,2024,30
3.0,6:17,2.0,6.0,PIT 6,10.0,0.0,Bo Nix pass short middle intended for Courtland Sutton is intercepted by Cory Trice in end zone and returned for no gain,4.95,-0.28,2.0,2024,30
3.0,6:10,1.0,10.0,PIT 20,10.0,0.0,"Justin Fields pass incomplete deep right intended for George Pickens (defended by Patrick Surtain). Penalty on Patrick Surtain: Defensive Pass Interference, 37 yards (accepted) (no play)",0.28,2.72,2.0,2024,30
3.0,6:03,1.0,10.0,DEN 43,10.0,0.0,Jaylen Warren right tackle for 2 yards (tackle by Cody Barton and Brandon Jones),2.72,2.45,2.0,2024,30
3.0,5:13,2.0,8.0,DEN 41,10.0,0.0,Justin Fields pass complete short right to Pat Freiermuth for 5 yards (tackle by Alex Singleton),2.45,2.41,2.0,2024,30
3.0,4:56,3.0,3.0,DEN 36,10.0,0.0,Jaylen Warren left guard for 1 yard (tackle by Malcolm Roach),2.41,0.99,2.0,2024,30
3.0,4:20,4.0,2.0,DEN 35,13.0,0.0,Chris Boswell 53 yard field goal good,0.99,3.0,2.0,2024,30
3.0,4:16,,,PIT 35,13.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,30
3.0,4:16,1.0,10.0,DEN 30,13.0,0.0,"Javonte Williams right end for -1 yards (tackle by Donte Jackson). Penalty on Matt Peart: Offensive Holding, 10 yards (declined)",0.94,0.26,2.0,2024,30
3.0,3:55,2.0,11.0,DEN 29,13.0,0.0,Bo Nix pass incomplete deep left intended for Marvin Mims,0.26,-0.43,2.0,2024,30
3.0,3:48,3.0,11.0,DEN 29,13.0,0.0,Bo Nix scrambles left end for 5 yards (tackle by Beanie Bishop),-0.43,-1.11,2.0,2024,30
3.0,3:13,4.0,6.0,DEN 34,13.0,0.0,"Riley Dixon punts 58 yards, returned by Calvin Austin for 11 yards (tackle by Michael Burton and Nate Adkins)",-1.11,-0.15,2.0,2024,30
3.0,2:59,1.0,10.0,PIT 19,13.0,0.0,Najee Harris right tackle for 9 yards (tackle by Zach Allen and Brandon Jones),0.15,0.88,2.0,2024,30
3.0,2:21,2.0,1.0,PIT 28,13.0,0.0,"Najee Harris left tackle for 1 yard (tackle by Alex Singleton). Penalty on Connor Heyward: Offensive Holding, 10 yards (accepted)",0.88,-0.39,2.0,2024,30
3.0,2:01,2.0,10.0,PIT 19,13.0,0.0,Justin Fields right end for -2 yards (tackle by Nik Bonitto and Alex Singleton),-0.39,-1.42,2.0,2024,30
3.0,1:31,3.0,12.0,PIT 17,13.0,0.0,Justin Fields pass incomplete deep middle intended for Calvin Austin (defended by P.J. Locke),-1.42,-2.32,2.0,2024,30
3.0,1:26,4.0,12.0,PIT 17,13.0,0.0,"Corliss Waitman punts 52 yards, returned by Marvin Mims for 9 yards (tackle by MyCole Pruitt). Penalty on Ja'Quan McMillian: Offensive Holding, 10 yards (accepted)",-2.32,-0.94,2.0,2024,30
3.0,1:15,1.0,10.0,DEN 30,13.0,0.0,Bo Nix pass complete short right to Javonte Williams for 8 yards (tackle by DeShon Elliott),0.94,1.47,2.0,2024,30
3.0,0:39,2.0,2.0,DEN 38,13.0,0.0,Javonte Williams up the middle for 4 yards (tackle by Isaiahh Loudermilk),1.47,1.73,2.0,2024,30
3.0,0:04,1.0,10.0,DEN 42,13.0,0.0,Bo Nix pass incomplete deep right intended for Nate Adkins,1.73,1.19,2.0,2024,30
4.0,15:00,2.0,10.0,DEN 42,13.0,0.0,"Bo Nix pass incomplete short right intended for Courtland Sutton. Penalty on DeShon Elliott: Defensive Offside, 5 yards (accepted) (no play)",1.19,1.86,2.0,2024,30
4.0,14:55,2.0,5.0,DEN 47,13.0,0.0,Jaleel McLaughlin left guard for 7 yards (tackle by Patrick Queen),1.86,2.52,2.0,2024,30
4.0,14:12,1.0,10.0,PIT 46,13.0,0.0,"Bo Nix pass incomplete short left intended for Troy Franklin. Penalty on Garett Bolles: Offensive Holding, 10 yards (accepted) (no play)",2.52,1.86,2.0,2024,30
4.0,14:05,1.0,20.0,DEN 44,13.0,0.0,Bo Nix pass complete short left to Greg Dulcich for no gain (tackle by Keeanu Benton and Joey Porter),1.86,0.63,2.0,2024,30
4.0,13:30,2.0,20.0,DEN 44,13.0,0.0,Bo Nix pass incomplete short right intended for Greg Dulcich,0.63,-0.03,2.0,2024,30
4.0,13:25,3.0,20.0,DEN 44,13.0,0.0,Bo Nix pass complete short middle to Javonte Williams for 14 yards (tackle by Damontae Kazee and Minkah Fitzpatrick),-0.03,0.46,2.0,2024,30
4.0,12:38,4.0,6.0,PIT 42,13.0,0.0,Bo Nix pass complete short middle to Josh Reynolds for 22 yards (tackle by Cory Trice),0.46,4.24,2.0,2024,30
4.0,12:12,1.0,10.0,PIT 20,13.0,0.0,Javonte Williams right end for 2 yards (tackle by Montravius Adams and DeShon Elliott),4.24,3.96,2.0,2024,30
4.0,11:35,2.0,8.0,PIT 18,13.0,0.0,Bo Nix pass complete short right to Tyler Badie for 2 yards (tackle by Elandon Roberts and T.J. Watt),3.96,3.52,2.0,2024,30
4.0,10:49,3.0,6.0,PIT 16,13.0,0.0,Bo Nix pass incomplete short middle intended for Courtland Sutton (defended by Isaiahh Loudermilk),3.52,2.4,2.0,2024,30
4.0,10:45,4.0,6.0,PIT 16,13.0,3.0,Wil Lutz 35 yard field goal good,2.4,3.0,2.0,2024,30
4.0,10:42,,,DEN 35,13.0,3.0,"Wil Lutz kicks off 64 yards, returned by Jaylen Warren for 13 yards (tackle by Devon Key and Cody Barton)",0.0,-0.28,2.0,2024,30
4.0,10:35,1.0,10.0,PIT 14,13.0,3.0,Justin Fields pass incomplete short left intended for George Pickens,-0.28,-0.75,2.0,2024,30
4.0,10:31,2.0,10.0,PIT 14,13.0,3.0,Cordarrelle Patterson right tackle for 3 yards (tackle by Malcolm Roach),-0.75,-1.04,2.0,2024,30
4.0,9:51,3.0,7.0,PIT 17,13.0,3.0,"Justin Fields pass complete short left to Calvin Austin for no gain (tackle by Riley Moss). Penalty on Dan Moore: Offensive Holding, 8 yards (accepted) (no play)",-1.04,-2.01,2.0,2024,30
4.0,9:37,3.0,15.0,PIT 9,13.0,3.0,Jaylen Warren right guard for 11 yards (tackle by Alex Singleton and Cody Barton),-2.01,-2.03,2.0,2024,30
4.0,8:56,4.0,4.0,PIT 20,13.0,3.0,"Corliss Waitman punts 51 yards, returned by Marvin Mims for 2 yards (tackle by Tyler Matakevich)",-2.03,-1.0,2.0,2024,30
4.0,8:43,1.0,10.0,DEN 31,13.0,3.0,"Bo Nix pass incomplete short left. Penalty on Garett Bolles: Illegal Blindside Block, 15 yards (offset) . Penalty on Joey Porter: Defensive Holding, 5 yards (offset) (no play)",1.0,1.0,2.0,2024,30
4.0,8:35,1.0,10.0,DEN 31,13.0,3.0,Bo Nix pass incomplete short middle intended for Greg Dulcich,1.0,0.46,2.0,2024,30
4.0,8:32,2.0,10.0,DEN 31,13.0,3.0,"Bo Nix pass incomplete short right. Penalty on Mike McGlinchey: Offensive Holding, 10 yards (offset) . Penalty on Joey Porter: Illegal Use of Hands / Defense, 5 yards (offset) (no play)",0.46,0.46,2.0,2024,30
4.0,8:24,2.0,10.0,DEN 31,13.0,3.0,"Penalty on Alex Highsmith: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.46,1.14,2.0,2024,30
4.0,8:24,2.0,5.0,DEN 36,13.0,3.0,Javonte Williams right guard for -3 yards (tackle by T.J. Watt and DeShon Elliott),1.14,0.04,2.0,2024,30
4.0,8:01,3.0,8.0,DEN 33,13.0,3.0,Bo Nix pass incomplete short middle intended for Lil'Jordan Humphrey (defended by T.J. Watt),0.04,-1.18,2.0,2024,30
4.0,7:57,4.0,8.0,DEN 33,13.0,3.0,"Riley Dixon punts 54 yards, returned by Calvin Austin for 6 yards (tackle by Keidron Smith)",-1.18,-0.15,2.0,2024,30
4.0,7:48,1.0,10.0,PIT 19,13.0,3.0,Najee Harris right guard for 2 yards (tackle by Jonathon Cooper),0.15,-0.06,2.0,2024,30
4.0,7:09,2.0,8.0,PIT 21,13.0,3.0,Najee Harris right tackle for 5 yards (tackle by D.J. Jones),-0.06,-0.16,2.0,2024,30
4.0,6:27,3.0,3.0,PIT 26,13.0,3.0,"Justin Fields pass incomplete deep right intended for Calvin Austin (defended by Riley Moss). Penalty on P.J. Locke: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",-0.16,1.66,2.0,2024,30
4.0,6:22,1.0,10.0,PIT 41,13.0,3.0,Najee Harris left guard for 2 yards (tackle by Jonathon Cooper and Alex Singleton),1.66,1.39,2.0,2024,30
4.0,5:42,2.0,8.0,PIT 43,13.0,3.0,Justin Fields scrambles left end for 3 yards (tackle by Cody Barton),1.39,1.09,2.0,2024,30
4.0,5:04,3.0,5.0,PIT 46,13.0,3.0,"Justin Fields aborted snap, recovered by Jaylen Warren at PIT-46 Jaylen Warren up the middle for no gain (tackle by Jonah Elliss and Malcolm Roach)",1.09,-0.46,2.0,2024,30
4.0,4:53,,,,,,Timeout #2 by Denver Broncos,,,2.0,2024,30
4.0,4:53,4.0,7.0,PIT 44,13.0,3.0,"Corliss Waitman punts 56 yards, touchback.",-0.46,-0.28,2.0,2024,30
4.0,4:45,1.0,10.0,DEN 20,13.0,3.0,Bo Nix pass complete short right to Greg Dulcich for 9 yards (tackle by Cory Trice and Donte Jackson),0.28,0.95,2.0,2024,30
4.0,4:25,2.0,1.0,DEN 29,13.0,3.0,Bo Nix scrambles up the middle for 2 yards (tackle by Cameron Heyward),0.95,1.0,2.0,2024,30
4.0,4:02,1.0,10.0,DEN 31,13.0,3.0,Bo Nix pass complete short middle to Lil'Jordan Humphrey for 27 yards (tackle by Minkah Fitzpatrick),1.0,2.79,2.0,2024,30
4.0,3:28,1.0,10.0,PIT 42,13.0,3.0,Bo Nix pass complete short middle to Lil'Jordan Humphrey for 13 yards (tackle by Damontae Kazee),2.79,3.64,2.0,2024,30
4.0,3:04,1.0,10.0,PIT 29,13.0,3.0,Bo Nix pass complete short left to Javonte Williams for 13 yards (tackle by DeShon Elliott and DeMarvin Leal),3.64,4.51,2.0,2024,30
4.0,2:30,1.0,10.0,PIT 16,13.0,3.0,Bo Nix right guard for 5 yards (tackle by Minkah Fitzpatrick),4.51,4.76,2.0,2024,30
4.0,2:03,2.0,5.0,PIT 11,13.0,3.0,Bo Nix pass incomplete short right intended for Greg Dulcich,4.76,3.94,2.0,2024,30
4.0,2:01,3.0,5.0,PIT 11,13.0,3.0,Bo Nix pass incomplete short right intended for Courtland Sutton,3.94,2.75,2.0,2024,30
4.0,1:56,4.0,5.0,PIT 11,13.0,6.0,Wil Lutz 29 yard field goal good,2.75,3.0,2.0,2024,30
4.0,1:54,,,DEN 35,13.0,6.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,30
4.0,1:54,1.0,10.0,PIT 30,13.0,6.0,Najee Harris right tackle for 2 yards (tackle by D.J. Jones and Jonah Elliss),0.94,0.66,2.0,2024,30
4.0,1:51,,,,,,Timeout #3 by Denver Broncos,,,2.0,2024,30
4.0,1:51,2.0,8.0,PIT 32,13.0,6.0,Najee Harris right tackle for 4 yards (tackle by Zach Allen and Jonathon Cooper),0.66,0.5,2.0,2024,30
4.0,1:06,,,,,,Timeout #1 by Pittsburgh Steelers,,,2.0,2024,30
4.0,1:06,3.0,4.0,PIT 36,13.0,6.0,Justin Fields right end for no gain (tackle by P.J. Locke),0.5,-0.98,2.0,2024,30
4.0,0:18,,,,,,Timeout #2 by Pittsburgh Steelers,,,2.0,2024,30
4.0,0:18,4.0,4.0,PIT 36,13.0,6.0,"Corliss Waitman punts 54 yards, returned by Marvin Mims for 9 yards (tackle by Ben Skowronek)",-0.98,-0.15,2.0,2024,30
