Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA,week,year,game_id
1.0,8:05,2.0,8.0,DAL 49,7.0,0.0,Dak Prescott pass complete short left to KaVontae Turpin for 5 yards (tackle by Alontae Taylor),1.79,1.75,2.0,2024,21
1.0,7:32,3.0,3.0,NOR 46,7.0,0.0,Rico Dowdle up the middle for 2 yards (tackle by Will Harris),1.75,0.33,2.0,2024,21
1.0,7:12,4.0,1.0,NOR 44,7.0,0.0,Dak Prescott up the middle for 4 yards (tackle by Bryan Bresee),0.33,2.92,2.0,2024,21
1.0,6:35,1.0,10.0,NOR 40,7.0,0.0,Dak Prescott pass incomplete deep right intended for Rico Dowdle (defended by Demario Davis),2.92,2.37,2.0,2024,21
1.0,6:30,2.0,10.0,NOR 40,7.0,0.0,"Dak Prescott pass incomplete short left intended for CeeDee Lamb. Penalty on Paulson Adebo: Defensive Holding, 5 yards (accepted) (no play)",2.37,3.25,2.0,2024,21
1.0,6:24,1.0,10.0,NOR 35,7.0,0.0,"Dak Prescott pass incomplete deep left intended for CeeDee Lamb. Penalty on Tyler Guyton: Offensive Holding, 10 yards (accepted) (no play)",3.25,2.59,2.0,2024,21
1.0,6:19,1.0,20.0,NOR 45,7.0,0.0,Rico Dowdle right guard for 3 yards (tackle by Carl Granderson and Nathan Shepherd),2.59,1.76,2.0,2024,21
1.0,5:46,2.0,17.0,NOR 42,7.0,0.0,Dak Prescott pass complete short left to KaVontae Turpin for -1 yards (tackle by Kool-Aid McKinstry and Alontae Taylor),1.76,0.96,2.0,2024,21
1.0,5:03,3.0,18.0,NOR 43,7.0,0.0,Dak Prescott pass complete short left to Rico Dowdle for 9 yards (tackle by Tyrann Mathieu),0.96,1.06,2.0,2024,21
1.0,4:19,4.0,9.0,NOR 34,7.0,3.0,Brandon Aubrey 52 yard field goal good,1.06,3.0,2.0,2024,21
1.0,4:14,,,DAL 35,7.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,21
1.0,4:14,1.0,10.0,NOR 30,13.0,3.0,"Derek Carr pass complete deep middle to Rashid Shaheed for 70 yards, touchdown",0.94,7.0,2.0,2024,21
1.0,4:05,,,DAL 15,14.0,3.0,Blake Grupe kicks extra point good,0.0,0.0,2.0,2024,21
1.0,4:05,,,NOR 35,14.0,3.0,"Penalty on Trevor Penning: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.0,0.0,2.0,2024,21
1.0,4:05,,,NOR 20,14.0,3.0,"Blake Grupe kicks off 76 yards, returned by KaVontae Turpin for 35 yards (tackle by Cedrick Wilson)",0.0,1.53,2.0,2024,21
1.0,3:59,1.0,10.0,DAL 39,14.0,3.0,Deuce Vaughn left guard for 4 yards (tackle by Demario Davis and Pete Werner),1.53,1.53,2.0,2024,21
1.0,3:28,2.0,6.0,DAL 43,14.0,3.0,Dak Prescott pass complete short middle to CeeDee Lamb for 7 yards (tackle by Alontae Taylor),1.53,2.26,2.0,2024,21
1.0,2:45,1.0,10.0,DAL 50,14.0,3.0,Ezekiel Elliott up the middle for 1 yard (tackle by Demario Davis and Pete Werner),2.26,1.85,2.0,2024,21
1.0,2:11,2.0,9.0,NOR 49,14.0,3.0,Ezekiel Elliott up the middle for 2 yards (tackle by Chase Young and Demario Davis),1.85,1.42,2.0,2024,21
1.0,1:33,3.0,7.0,NOR 47,14.0,3.0,Dak Prescott pass complete short middle to Brandin Cooks for 8 yards (tackle by Will Harris and Jordan Howden),1.42,2.98,2.0,2024,21
1.0,1:00,1.0,10.0,NOR 39,14.0,3.0,Deuce Vaughn up the middle for 2 yards (tackle by Chase Young),2.98,2.71,2.0,2024,21
1.0,0:25,2.0,8.0,NOR 37,14.0,3.0,Ezekiel Elliott left tackle for 7 yards (tackle by Carl Granderson and Alontae Taylor),2.71,2.94,2.0,2024,21
2.0,15:00,3.0,1.0,NOR 30,14.0,3.0,Ezekiel Elliott left end for 1 yard (tackle by Pete Werner),2.94,3.64,2.0,2024,21
2.0,14:30,1.0,10.0,NOR 29,14.0,3.0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb,3.64,3.1,2.0,2024,21
2.0,14:24,2.0,10.0,NOR 29,14.0,3.0,Dak Prescott pass complete short left to CeeDee Lamb for 14 yards (tackle by Alontae Taylor),3.1,4.58,2.0,2024,21
2.0,13:41,1.0,10.0,NOR 15,14.0,3.0,Deuce Vaughn left end for 3 yards (tackle by Demario Davis and Kool-Aid McKinstry),4.58,4.45,2.0,2024,21
2.0,13:08,2.0,7.0,NOR 12,14.0,3.0,Brandin Cooks right end for -3 yards (tackle by Alontae Taylor),4.45,3.1,2.0,2024,21
2.0,12:24,3.0,10.0,NOR 15,14.0,3.0,Dak Prescott sacked by Carl Granderson for -5 yards,3.1,2.12,2.0,2024,21
2.0,11:42,4.0,15.0,NOR 20,14.0,6.0,Brandon Aubrey 38 yard field goal good,2.12,3.0,2.0,2024,21
2.0,11:39,,,DAL 35,14.0,6.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,21
2.0,11:39,1.0,10.0,NOR 30,14.0,6.0,Alvin Kamara left tackle for 3 yards (tackle by Marist Liufau),0.94,0.8,2.0,2024,21
2.0,10:57,2.0,7.0,NOR 33,14.0,6.0,Chris Olave left end for 7 yards (tackle by Eric Kendricks and Donovan Wilson),0.8,1.6,2.0,2024,21
2.0,10:23,1.0,10.0,NOR 40,14.0,6.0,Alvin Kamara right tackle for 3 yards (tackle by Marist Liufau and Eric Kendricks),1.6,1.46,2.0,2024,21
2.0,9:41,2.0,7.0,NOR 43,20.0,6.0,"Derek Carr pass complete short left to Alvin Kamara for 57 yards, touchdown",1.46,7.0,2.0,2024,21
2.0,9:30,,,DAL 15,21.0,6.0,Blake Grupe kicks extra point good,0.0,0.0,2.0,2024,21
2.0,9:30,,,NOR 35,21.0,6.0,"Blake Grupe kicks off 56 yards, returned by Juanyeh Thomas for 13 yards (tackle by Ugo Amadi and Isaiah Stalbird)",0.0,0.41,2.0,2024,21
2.0,9:25,1.0,10.0,DAL 22,21.0,6.0,KaVontae Turpin left end for 2 yards (tackle by Paulson Adebo),0.41,0.14,2.0,2024,21
2.0,8:59,2.0,8.0,DAL 24,21.0,6.0,Rico Dowdle right end for 6 yards (tackle by Will Harris and Paulson Adebo),0.14,0.23,2.0,2024,21
2.0,8:25,3.0,2.0,DAL 30,21.0,6.0,Rico Dowdle right tackle for 5 yards (tackle by Will Harris),0.23,1.27,2.0,2024,21
2.0,7:54,1.0,10.0,DAL 35,21.0,12.0,"Dak Prescott pass complete short right to CeeDee Lamb for 65 yards, touchdown",1.27,7.0,2.0,2024,21
2.0,7:43,,,NOR 15,21.0,13.0,Brandon Aubrey kicks extra point good,0.0,0.0,2.0,2024,21
2.0,7:43,,,DAL 35,21.0,13.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,21
2.0,7:43,1.0,10.0,NOR 30,21.0,13.0,Alvin Kamara left tackle for 11 yards (tackle by Linval Joseph),0.94,1.66,2.0,2024,21
2.0,7:01,1.0,10.0,NOR 41,21.0,13.0,Alvin Kamara right end for 4 yards (tackle by Eric Kendricks and Chauncey Golston),1.66,1.66,2.0,2024,21
2.0,6:21,2.0,6.0,NOR 45,21.0,13.0,Derek Carr pass incomplete short right,1.66,0.96,2.0,2024,21
2.0,6:16,3.0,6.0,NOR 45,21.0,13.0,"Derek Carr pass complete short left to Chris Olave for 10 yards (tackle by DeMarvion Overshown). Penalty on Donovan Wilson: Defensive Holding, 5 yards (declined)",0.96,2.59,2.0,2024,21
2.0,6:01,1.0,10.0,DAL 45,21.0,13.0,Alvin Kamara left guard for 6 yards (tackle by DeMarvion Overshown),2.59,2.85,2.0,2024,21
2.0,5:27,2.0,4.0,DAL 39,21.0,13.0,Derek Carr pass complete short right to Taysom Hill for 1 yard (tackle by DeMarvion Overshown),2.85,2.28,2.0,2024,21
2.0,4:46,3.0,3.0,DAL 38,21.0,13.0,Alvin Kamara left end for 15 yards (tackle by Caelen Carson),2.28,4.04,2.0,2024,21
2.0,4:09,1.0,10.0,DAL 23,21.0,13.0,Jamaal Williams left end for 8 yards (tackle by Donovan Wilson),4.04,4.75,2.0,2024,21
2.0,3:33,2.0,2.0,DAL 15,21.0,13.0,Jamaal Williams up the middle for 3 yards (tackle by Chauncey Golston),4.75,4.78,2.0,2024,21
2.0,2:57,1.0,10.0,DAL 12,21.0,13.0,Derek Carr pass incomplete short middle intended for Alvin Kamara,4.78,4.1,2.0,2024,21
2.0,2:54,2.0,10.0,DAL 12,27.0,13.0,"Alvin Kamara left end for 12 yards, touchdown",4.1,7.0,2.0,2024,21
2.0,2:48,,,DAL 15,28.0,13.0,Blake Grupe kicks extra point good,0.0,0.0,2.0,2024,21
2.0,2:48,,,NOR 35,28.0,13.0,"Blake Grupe kicks off 59 yards, returned by Juanyeh Thomas for 26 yards (tackle by Anfernee Orji)",0.0,1.07,2.0,2024,21
2.0,2:44,1.0,10.0,DAL 32,28.0,13.0,Dak Prescott pass complete short right to Ezekiel Elliott for 1 yard (tackle by Pete Werner and Demario Davis),1.07,0.66,2.0,2024,21
2.0,2:03,2.0,9.0,DAL 33,28.0,13.0,"Dak Prescott pass incomplete deep left intended for CeeDee Lamb. Penalty on Paulson Adebo: Defensive Holding, 5 yards (accepted) (no play)",0.66,1.47,2.0,2024,21
2.0,1:58,1.0,10.0,DAL 38,28.0,13.0,Dak Prescott pass complete short left to Jalen Tolbert for 5 yards (tackle by Demario Davis),1.47,1.6,2.0,2024,21
2.0,1:38,2.0,5.0,DAL 43,28.0,13.0,"Dak Prescott pass incomplete short left intended for Ezekiel Elliott. Penalty on Cooper Beebe: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.6,0.92,2.0,2024,21
2.0,1:34,2.0,10.0,DAL 38,28.0,13.0,Dak Prescott pass incomplete deep right intended for Jalen Tolbert (defended by Tyrann Mathieu),0.92,0.23,2.0,2024,21
2.0,1:27,,,,,,Timeout #2 by New Orleans Saints,,,2.0,2024,21
2.0,1:27,3.0,10.0,DAL 38,28.0,13.0,Dak Prescott pass complete short right to Brandin Cooks for 11 yards (tackle by Alontae Taylor),0.23,2.19,2.0,2024,21
2.0,1:20,1.0,10.0,DAL 49,28.0,13.0,Dak Prescott pass deep right intended for Jalen Brooks is intercepted by Paulson Adebo at NO-33 and returned for 47 yards (tackle by Ezekiel Elliott and Dak Prescott),2.19,-4.24,2.0,2024,21
2.0,1:02,1.0,10.0,DAL 20,28.0,13.0,Derek Carr pass complete short left to Rashid Shaheed for no gain (tackle by Trevon Diggs),4.24,3.69,2.0,2024,21
2.0,0:52,,,,,,Timeout #1 by Dallas Cowboys,,,2.0,2024,21
2.0,0:52,2.0,10.0,DAL 20,28.0,13.0,Derek Carr pass complete deep right to Chris Olave for 19 yards (tackle by Caelen Carson),3.69,6.97,2.0,2024,21
2.0,0:41,,,,,,Timeout #2 by Dallas Cowboys,,,2.0,2024,21
2.0,0:41,1.0,1.0,DAL 1,34.0,13.0,"Derek Carr up the middle for 1 yard, touchdown",6.97,7.0,2.0,2024,21
2.0,0:39,,,DAL 15,35.0,13.0,Blake Grupe kicks extra point good,0.0,0.0,2.0,2024,21
2.0,0:39,,,NOR 35,35.0,13.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,21
2.0,0:39,1.0,10.0,DAL 30,35.0,13.0,Dak Prescott pass incomplete short middle intended for Jalen Tolbert (defended by Cameron Jordan),0.94,0.39,2.0,2024,21
2.0,0:35,2.0,10.0,DAL 30,35.0,13.0,"Dak Prescott pass complete short left to Jalen Brooks for no gain (tackle by Kool-Aid McKinstry) Replay Assistant challenged the short of the line to gain ruling, and the original play was overturned. Dak Prescott pass complete short left to Jalen Brooks for 10 yards (tackle by Kool-Aid McKinstry)",0.39,1.6,2.0,2024,21
2.0,0:31,,,,,,Timeout #3 by Dallas Cowboys,,,2.0,2024,21
2.0,0:31,1.0,10.0,DAL 40,35.0,13.0,Dak Prescott pass complete short right to Jalen Tolbert for 3 yards,1.6,1.46,2.0,2024,21
2.0,0:24,2.0,7.0,DAL 43,35.0,13.0,Dak Prescott pass complete short right to Luke Schoonmaker for 8 yards (tackle by Ugo Amadi),1.46,2.32,2.0,2024,21
2.0,0:21,1.0,10.0,NOR 49,35.0,13.0,Dak Prescott pass complete short middle to Jalen Tolbert for 19 yards (tackle by Ugo Amadi),2.32,3.58,2.0,2024,21
2.0,0:07,1.0,10.0,NOR 30,35.0,13.0,Dak Prescott spiked the ball,3.58,3.03,2.0,2024,21
2.0,0:05,,,,,,Timeout #3 by New Orleans Saints,,,2.0,2024,21
2.0,0:05,2.0,10.0,NOR 30,35.0,16.0,Brandon Aubrey 48 yard field goal good,3.03,3.0,2.0,2024,21
3.0,15:00,,,NOR 35,35.0,16.0,"Blake Grupe kicks off 63 yards, returned by Juanyeh Thomas for 25 yards (tackle by J.T. Gray)",0.0,0.74,2.0,2024,21
3.0,14:54,1.0,10.0,DAL 27,35.0,16.0,Ezekiel Elliott up the middle for 3 yards (tackle by Pete Werner),0.74,0.6,2.0,2024,21
3.0,14:24,2.0,7.0,DAL 30,35.0,16.0,Dak Prescott pass complete short right to Luke Schoonmaker for 1 yard (tackle by Demario Davis),0.6,0.04,2.0,2024,21
3.0,13:46,3.0,6.0,DAL 31,35.0,16.0,Dak Prescott pass complete short right to Ezekiel Elliott for 15 yards (tackle by Alontae Taylor),0.04,1.99,2.0,2024,21
3.0,12:59,1.0,10.0,DAL 46,35.0,16.0,Dak Prescott scrambles up the middle for 8 yards (tackle by Pete Werner),1.99,2.53,2.0,2024,21
3.0,12:15,2.0,2.0,NOR 46,35.0,16.0,Rico Dowdle up the middle for 1 yard (tackle by Cameron Jordan),2.53,1.95,2.0,2024,21
3.0,11:39,3.0,1.0,NOR 45,35.0,16.0,"Penalty on Tyler Guyton: False Start, 5 yards (accepted) (no play)",1.95,1.29,2.0,2024,21
3.0,11:24,3.0,6.0,NOR 50,35.0,16.0,Dak Prescott pass complete deep right to Jalen Tolbert for 39 yards (tackle by Paulson Adebo),1.29,4.84,2.0,2024,21
3.0,10:41,1.0,10.0,NOR 11,35.0,16.0,Dak Prescott pass incomplete short right intended for Ezekiel Elliott,4.84,4.14,2.0,2024,21
3.0,10:37,2.0,10.0,NOR 11,35.0,16.0,Ezekiel Elliott right end for 2 yards (tackle by Nathan Shepherd),4.14,3.53,2.0,2024,21
3.0,9:57,3.0,8.0,NOR 9,35.0,16.0,"Dak Prescott sacked by Bryan Bresee for -3 yards. Dak Prescott fumbles (forced by Bryan Bresee), recovered by Jalen Tolbert at NO-22",3.53,1.99,2.0,2024,21
3.0,9:08,4.0,21.0,NOR 22,35.0,19.0,Brandon Aubrey 40 yard field goal good,1.99,3.0,2.0,2024,21
3.0,9:05,,,DAL 35,35.0,19.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,21
3.0,9:05,1.0,10.0,NOR 30,35.0,19.0,Derek Carr pass complete short left to Alvin Kamara for 8 yards (tackle by Malik Hooker),0.94,1.47,2.0,2024,21
3.0,8:32,2.0,2.0,NOR 38,35.0,19.0,Alvin Kamara right end for no gain (tackle by Damone Clark and Eric Kendricks),1.47,0.76,2.0,2024,21
3.0,7:55,3.0,2.0,NOR 38,35.0,19.0,Taysom Hill left end for 9 yards (tackle by Damone Clark),0.76,2.06,2.0,2024,21
3.0,7:20,1.0,10.0,NOR 47,35.0,19.0,Alvin Kamara left end for 3 yards (tackle by Micah Parsons),2.06,1.92,2.0,2024,21
3.0,6:37,2.0,7.0,NOR 50,35.0,19.0,Derek Carr pass complete short middle to Chris Olave for 13 yards (tackle by Jourdan Lewis),1.92,3.12,2.0,2024,21
3.0,5:54,1.0,10.0,DAL 37,35.0,19.0,Taysom Hill right end for 7 yards (tackle by Donovan Wilson and Damone Clark),3.12,3.52,2.0,2024,21
3.0,5:12,2.0,3.0,DAL 30,35.0,19.0,Rashid Shaheed left end for 4 yards (tackle by Jourdan Lewis),3.52,3.84,2.0,2024,21
3.0,4:33,1.0,10.0,DAL 26,35.0,19.0,"Derek Carr pass complete deep left to Foster Moreau for no gain, touchdown. Penalty on Cesar Ruiz: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.84,3.51,2.0,2024,21
3.0,4:26,1.0,15.0,DAL 31,35.0,19.0,Alvin Kamara left end for 10 yards (tackle by Trevon Diggs),3.51,3.97,2.0,2024,21
3.0,3:57,2.0,5.0,DAL 21,35.0,19.0,Alvin Kamara left tackle for 3 yards (tackle by Eric Kendricks),3.97,3.75,2.0,2024,21
3.0,3:19,3.0,2.0,DAL 18,35.0,19.0,Alvin Kamara left end for 4 yards (tackle by Damone Clark and Trevon Diggs),3.75,4.65,2.0,2024,21
3.0,2:35,1.0,10.0,DAL 14,35.0,19.0,Derek Carr sacked by Chauncey Golston for -1 yards,4.65,3.85,2.0,2024,21
3.0,1:56,2.0,11.0,DAL 15,35.0,19.0,Rashid Shaheed right end for 2 yards (tackle by Damone Clark),3.85,3.26,2.0,2024,21
3.0,1:17,3.0,9.0,DAL 13,35.0,19.0,"Derek Carr pass incomplete short middle intended for Taysom Hill. Penalty on Jourdan Lewis: Defensive Pass Interference, 6 yards (accepted) (no play)",3.26,5.6,2.0,2024,21
3.0,1:14,1.0,7.0,DAL 7,41.0,19.0,"Alvin Kamara left end for 7 yards, touchdown",5.6,7.0,2.0,2024,21
3.0,1:09,,,DAL 15,41.0,19.0,Blake Grupe kicks extra point blocked blocked by Chauncey Golston,0.0,-1.0,2.0,2024,21
3.0,1:09,,,NOR 35,41.0,19.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,21
3.0,1:09,1.0,10.0,DAL 30,41.0,19.0,Dak Prescott pass complete short right to Rico Dowdle for 5 yards (tackle by Paulson Adebo),0.94,1.07,2.0,2024,21
3.0,0:44,2.0,5.0,DAL 35,41.0,19.0,Rico Dowdle up the middle for 7 yards (tackle by Tyrann Mathieu),1.07,1.73,2.0,2024,21
3.0,0:21,1.0,10.0,DAL 42,41.0,19.0,Dak Prescott pass complete short middle to Rico Dowdle for 9 yards (tackle by Pete Werner),1.73,2.4,2.0,2024,21
4.0,15:00,2.0,1.0,NOR 49,41.0,19.0,Dak Prescott pass complete short right to Luke Schoonmaker for 15 yards (tackle by Alontae Taylor),2.4,3.31,2.0,2024,21
4.0,14:41,1.0,10.0,NOR 34,41.0,19.0,Dak Prescott pass complete short middle to Jalen Tolbert for 12 yards (tackle by Paulson Adebo),3.31,4.11,2.0,2024,21
4.0,14:19,1.0,10.0,NOR 22,41.0,19.0,Dak Prescott pass complete short middle to Rico Dowdle for 6 yards (tackle by Chase Young),4.11,4.46,2.0,2024,21
4.0,13:54,2.0,4.0,NOR 16,41.0,19.0,Dak Prescott pass incomplete deep left intended for CeeDee Lamb (defended by Kool-Aid McKinstry),4.46,3.74,2.0,2024,21
4.0,13:49,3.0,4.0,NOR 16,41.0,19.0,Dak Prescott pass incomplete deep right intended for Jalen Tolbert,3.74,2.45,2.0,2024,21
4.0,13:45,4.0,4.0,NOR 16,41.0,19.0,Dak Prescott pass incomplete short middle intended for Brevyn Spann-Ford (defended by Will Harris),2.45,0.06,2.0,2024,21
4.0,13:41,1.0,10.0,NOR 17,41.0,19.0,Alvin Kamara left guard for 3 yards (tackle by Tyrus Wheat),-0.06,-0.06,2.0,2024,21
4.0,12:59,2.0,7.0,NOR 20,41.0,19.0,Alvin Kamara right end for 7 yards (tackle by Tyrus Wheat and Donovan Wilson),-0.06,0.74,2.0,2024,21
4.0,12:13,1.0,10.0,NOR 27,41.0,19.0,Derek Carr pass deep middle intended for Chris Olave is intercepted by Donovan Wilson at NO-47 and returned for no gain (tackle by Chris Olave),0.74,-2.46,2.0,2024,21
4.0,12:04,1.0,10.0,NOR 47,41.0,19.0,Dak Prescott pass deep middle intended for CeeDee Lamb is intercepted by Tyrann Mathieu at NO-30 and returned for no gain (tackle by CeeDee Lamb),2.46,-0.94,2.0,2024,21
4.0,11:59,1.0,10.0,NOR 30,41.0,19.0,Alvin Kamara up the middle for 8 yards (tackle by Donovan Wilson),0.94,1.47,2.0,2024,21
4.0,11:18,2.0,2.0,NOR 38,41.0,19.0,Alvin Kamara left tackle for 3 yards (tackle by DeMarcus Lawrence and Linval Joseph),1.47,1.66,2.0,2024,21
4.0,10:37,1.0,10.0,NOR 41,41.0,19.0,Derek Carr pass incomplete short left intended for Adam Prentice (defended by Osa Odighizuwa),1.66,1.12,2.0,2024,21
4.0,10:32,2.0,10.0,NOR 41,41.0,19.0,Jamaal Williams left end for -2 yards (tackle by Osa Odighizuwa and Micah Parsons),1.12,0.17,2.0,2024,21
4.0,9:47,3.0,12.0,NOR 39,41.0,19.0,Derek Carr pass incomplete short right intended for Chris Olave (defended by Jourdan Lewis),0.17,-0.78,2.0,2024,21
4.0,9:43,4.0,12.0,NOR 39,41.0,19.0,Matthew Hayball punts 49 yards out of bounds,-0.78,0.35,2.0,2024,21
4.0,9:34,1.0,10.0,DAL 12,41.0,19.0,Dak Prescott pass complete short left to Jalen Tolbert for 4 yards (tackle by Tyrann Mathieu),-0.35,-0.37,2.0,2024,21
4.0,9:09,2.0,6.0,DAL 16,41.0,19.0,Dak Prescott sacked by and Carl Granderson for -6 yards and Chase Young for -6 yards,-0.37,-1.65,2.0,2024,21
4.0,8:31,3.0,12.0,DAL 10,41.0,19.0,Dak Prescott pass complete short right to Luke Schoonmaker for 3 yards (tackle by Kool-Aid McKinstry),-1.65,-2.49,2.0,2024,21
4.0,7:56,4.0,9.0,DAL 13,41.0,19.0,Dak Prescott pass incomplete deep right intended for Jalen Brooks (defended by Paulson Adebo),-2.49,-4.71,2.0,2024,21
4.0,7:49,1.0,10.0,DAL 13,41.0,19.0,Alvin Kamara right guard for 7 yards (tackle by Eric Kendricks and Malik Hooker),4.71,5.34,2.0,2024,21
4.0,7:08,2.0,3.0,DAL 6,41.0,19.0,"Alvin Kamara right end for no gain (tackle by Damone Clark). Penalty on Foster Moreau: Offensive Holding, 10 yards (accepted) (no play)",5.34,3.62,2.0,2024,21
4.0,6:40,2.0,13.0,DAL 16,41.0,19.0,Jamaal Williams right tackle for 6 yards (tackle by Eric Kendricks),3.62,3.65,2.0,2024,21
4.0,5:58,3.0,7.0,DAL 10,41.0,19.0,Jamaal Williams left tackle for 2 yards (tackle by DeMarvion Overshown and DeMarcus Lawrence),3.65,2.97,2.0,2024,21
4.0,5:15,4.0,5.0,DAL 8,44.0,19.0,Blake Grupe 26 yard field goal good,2.97,3.0,2.0,2024,21
4.0,5:11,,,NOR 35,44.0,19.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,21
4.0,5:11,1.0,10.0,DAL 30,44.0,19.0,Cooper Rush pass incomplete short right intended for KaVontae Turpin,0.94,0.39,2.0,2024,21
4.0,5:08,2.0,10.0,DAL 30,44.0,19.0,Cooper Rush pass incomplete deep left intended for KaVontae Turpin (defended by Ugo Amadi),0.39,-0.3,2.0,2024,21
4.0,5:02,3.0,10.0,DAL 30,44.0,19.0,Cooper Rush pass complete short left to Deuce Vaughn for 6 yards (tackle by Jordan Howden and Isaiah Foskey),-0.3,-0.98,2.0,2024,21
4.0,4:17,4.0,4.0,DAL 36,44.0,19.0,"Bryan Anger punts 53 yards, fair catch by Rashid Shaheed at NO-11",-0.98,0.37,2.0,2024,21
4.0,4:09,1.0,10.0,NOR 11,44.0,19.0,Jamaal Williams up the middle for 2 yards (tackle by Osa Odighizuwa and Chauncey Golston),-0.37,-0.63,2.0,2024,21
4.0,3:27,2.0,8.0,NOR 13,44.0,19.0,Jamaal Williams up the middle for 9 yards (tackle by Donovan Wilson and Damone Clark),-0.63,0.41,2.0,2024,21
4.0,2:43,1.0,10.0,NOR 22,44.0,19.0,Jamaal Williams right end for 11 yards (tackle by Trevon Diggs),0.41,1.14,2.0,2024,21
4.0,2:00,1.0,10.0,NOR 33,44.0,19.0,Jake Haener kneels for -1 yards,1.14,0.46,2.0,2024,21
4.0,1:21,2.0,11.0,NOR 32,44.0,19.0,Jake Haener kneels for -1 yards,0.46,-0.36,2.0,2024,21
4.0,0:39,3.0,12.0,NOR 31,44.0,19.0,Jake Haener kneels for -1 yards,-0.36,-1.37,2.0,2024,21
