Quarter,Time,Down,ToGo,Location,LVR,BAL,Detail,EPB,EPA,week,year,game_id
2.0,5:09,2.0,8.0,LVR 49,3.0,6.0,Gardner Minshew pass deep right intended for Harrison Bryant is intercepted by Marlon Humphrey at BAL-33 and returned for no gain (tackle by Harrison Bryant),1.79,-1.14,2.0,2024,27
2.0,5:03,1.0,10.0,BAL 33,3.0,6.0,Derrick Henry right end for 6 yards (tackle by Christian Wilkins and Robert Spillane),1.14,1.4,2.0,2024,27
2.0,4:20,2.0,4.0,BAL 39,3.0,6.0,Lamar Jackson pass complete deep left to Zay Flowers for 21 yards (tackle by Jakorian Bennett),1.4,2.92,2.0,2024,27
2.0,3:32,1.0,10.0,LVR 40,3.0,6.0,"Derrick Henry left guard for 2 yards (tackle by Robert Spillane). Penalty on Ronnie Stanley: Offensive Holding, 10 yards (accepted)",2.92,2.39,2.0,2024,27
2.0,3:23,1.0,18.0,LVR 48,3.0,6.0,Lamar Jackson pass complete short right to Zay Flowers for 10 yards (tackle by Maxx Crosby),2.39,2.64,2.0,2024,27
2.0,2:42,2.0,8.0,LVR 38,3.0,6.0,"Lamar Jackson pass incomplete deep right intended for Zay Flowers BAL challenged the pass completion ruling, and the play was upheld.",2.64,1.95,2.0,2024,27
2.0,2:36,3.0,8.0,LVR 38,3.0,6.0,Lamar Jackson pass incomplete deep left intended for Nelson Agholor (defended by Jakorian Bennett),1.95,0.72,2.0,2024,27
2.0,2:30,4.0,8.0,LVR 38,3.0,6.0,Justin Tucker 56 yard field goal no good,0.72,-1.99,2.0,2024,27
2.0,2:25,1.0,10.0,LVR 46,3.0,6.0,Gardner Minshew pass complete short right to Brock Bowers for 1 yard (tackle by Roquan Smith and Marlon Humphrey),1.99,1.59,2.0,2024,27
2.0,2:00,2.0,9.0,LVR 47,3.0,6.0,"Gardner Minshew pass incomplete deep right intended for Davante Adams. Penalty on Marlon Humphrey: Defensive Pass Interference, 24 yards (accepted) (no play)",1.59,3.64,2.0,2024,27
2.0,1:55,1.0,10.0,BAL 29,3.0,6.0,Gardner Minshew pass complete short left to Ameer Abdullah for 1 yard (tackle by Trenton Simpson),3.64,3.24,2.0,2024,27
2.0,1:49,2.0,9.0,BAL 28,3.0,6.0,Gardner Minshew pass complete short left to Davante Adams for 4 yards (tackle by Ar'Darius Washington),3.24,3.07,2.0,2024,27
2.0,1:44,3.0,5.0,BAL 24,3.0,6.0,Gardner Minshew sacked by Kyle Van Noy for -9 yards,3.07,1.15,2.0,2024,27
2.0,1:42,,,,,,Timeout #2 by Baltimore Ravens,,,2.0,2024,27
2.0,1:42,4.0,14.0,BAL 33,6.0,6.0,Daniel Carlson 51 yard field goal good,1.15,3.0,2.0,2024,27
2.0,1:37,,,LVR 35,6.0,6.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,27
2.0,1:37,1.0,10.0,BAL 30,6.0,6.0,Lamar Jackson pass incomplete short middle intended for Zay Flowers (defended by Jack Jones),0.94,0.39,2.0,2024,27
2.0,1:33,2.0,10.0,BAL 30,6.0,6.0,"Penalty on Mark Andrews: False Start, 5 yards (accepted) (no play)",0.39,-0.28,2.0,2024,27
2.0,1:33,2.0,15.0,BAL 25,6.0,6.0,Lamar Jackson scrambles up the middle for 8 yards (tackle by Divine Deablo),-0.28,0.1,2.0,2024,27
2.0,1:24,3.0,7.0,BAL 33,6.0,6.0,Lamar Jackson pass complete short right to Mark Andrews for 12 yards (tackle by Isaiah Pola-Mao),0.1,1.93,2.0,2024,27
2.0,1:04,,,,,,Timeout #1 by Las Vegas Raiders,,,2.0,2024,27
2.0,1:04,1.0,10.0,BAL 45,6.0,6.0,Lamar Jackson pass complete short middle to Nelson Agholor for 13 yards (tackle by Tre'von Moehrig and Marcus Epps),1.93,2.79,2.0,2024,27
2.0,0:40,1.0,10.0,LVR 42,6.0,6.0,Lamar Jackson pass incomplete short left intended for Nelson Agholor,2.79,2.24,2.0,2024,27
2.0,0:33,2.0,10.0,LVR 42,6.0,6.0,Lamar Jackson pass complete short middle to Zay Flowers for 8 yards (tackle by Divine Deablo),2.24,2.61,2.0,2024,27
2.0,0:27,,,,,,Timeout #3 by Baltimore Ravens,,,2.0,2024,27
2.0,0:27,,,,,,Timeout #2 by Las Vegas Raiders,,,2.0,2024,27
2.0,0:27,3.0,2.0,LVR 34,6.0,6.0,Lamar Jackson pass complete short middle to Mark Andrews for 12 yards (tackle by Divine Deablo),2.61,4.11,2.0,2024,27
2.0,0:13,1.0,10.0,LVR 22,6.0,6.0,Lamar Jackson spiked the ball,4.11,3.56,2.0,2024,27
2.0,0:12,2.0,10.0,LVR 22,6.0,6.0,Lamar Jackson pass complete short right to Zay Flowers for 8 yards (tackle by Jack Jones),3.56,4.02,2.0,2024,27
2.0,0:07,,,,,,Timeout #3 by Las Vegas Raiders,,,2.0,2024,27
2.0,0:07,3.0,3.0,LVR 14,6.0,9.0,Justin Tucker 32 yard field goal good,4.02,3.0,2.0,2024,27
2.0,0:03,,,BAL 35,6.0,9.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,27
2.0,0:03,1.0,10.0,LVR 30,6.0,9.0,Gardner Minshew kneels for -1 yards,0.94,0.26,2.0,2024,27
3.0,15:00,,,LVR 35,6.0,9.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,27
3.0,15:00,1.0,10.0,BAL 30,6.0,9.0,Justice Hill left guard for 14 yards (tackle by Robert Spillane and Divine Deablo),0.94,1.86,2.0,2024,27
3.0,14:20,1.0,10.0,BAL 44,6.0,9.0,Derrick Henry left guard for 2 yards (tackle by Divine Deablo),1.86,1.59,2.0,2024,27
3.0,13:41,2.0,8.0,BAL 46,6.0,9.0,Lamar Jackson pass complete deep middle to Mark Andrews for 16 yards (tackle by Tre'von Moehrig),1.59,3.05,2.0,2024,27
3.0,13:00,1.0,10.0,LVR 38,6.0,9.0,Derrick Henry left end for 29 yards (tackle by Tre'von Moehrig and Nesta Jade Silvera),3.05,5.14,2.0,2024,27
3.0,12:17,1.0,9.0,LVR 9,6.0,9.0,Derrick Henry right guard for 1 yard (tackle by Maxx Crosby and Robert Spillane),5.14,4.57,2.0,2024,27
3.0,11:45,2.0,8.0,LVR 8,6.0,15.0,"Lamar Jackson pass complete short middle to Zay Flowers for 8 yards, touchdown",4.57,7.0,2.0,2024,27
3.0,11:42,,,LVR 15,6.0,16.0,Justin Tucker kicks extra point good,0.0,0.0,2.0,2024,27
3.0,11:42,,,BAL 35,6.0,16.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,27
3.0,11:42,1.0,10.0,LVR 30,6.0,16.0,Gardner Minshew pass complete short left to Zamir White for 11 yards (tackle by Marcus Williams),0.94,1.66,2.0,2024,27
3.0,11:03,1.0,10.0,LVR 41,6.0,16.0,Zamir White up the middle for 1 yard (tackle by Kyle Hamilton),1.66,1.26,2.0,2024,27
3.0,10:24,2.0,9.0,LVR 42,6.0,16.0,Gardner Minshew pass complete deep left to Brock Bowers for 25 yards (tackle by Marcus Williams),1.26,3.38,2.0,2024,27
3.0,9:43,1.0,10.0,BAL 33,6.0,16.0,Zamir White right end for no gain (tackle by Odafe Oweh and Roquan Smith),3.38,2.84,2.0,2024,27
3.0,9:03,2.0,10.0,BAL 33,6.0,16.0,Alexander Mattison right end for -1 yards (tackle by Nnamdi Madubuike),2.84,2.01,2.0,2024,27
3.0,8:24,3.0,11.0,BAL 34,6.0,16.0,Gardner Minshew pass complete short middle to Jakobi Meyers for 9 yards (tackle by Kyle Hamilton),2.01,1.93,2.0,2024,27
3.0,7:41,4.0,2.0,BAL 25,6.0,16.0,Gardner Minshew pass incomplete deep left intended for Davante Adams (defended by Brandon Stephens),1.93,-0.61,2.0,2024,27
3.0,7:36,1.0,10.0,BAL 25,6.0,16.0,Lamar Jackson pass complete short middle to Rashod Bateman for 15 yards (tackle by Jakorian Bennett),0.61,1.6,2.0,2024,27
3.0,6:53,1.0,10.0,BAL 40,6.0,16.0,Derrick Henry left end for 4 yards (tackle by Robert Spillane),1.6,1.59,2.0,2024,27
3.0,6:11,2.0,6.0,BAL 44,6.0,16.0,Lamar Jackson pass short right (defended by Jakorian Bennett) intended for Rashod Bateman is intercepted by Robert Spillane at BAL-46 and returned for no gain (tackle by Rashod Bateman),1.59,-2.52,2.0,2024,27
3.0,6:08,1.0,10.0,BAL 46,6.0,16.0,Ameer Abdullah left tackle for 4 yards (tackle by Roquan Smith and Trenton Simpson),2.52,2.52,2.0,2024,27
3.0,5:29,2.0,6.0,BAL 42,6.0,16.0,Gardner Minshew pass complete short right to Brock Bowers for -1 yards (tackle by Kyle Van Noy and Kyle Hamilton),2.52,1.68,2.0,2024,27
3.0,4:52,3.0,7.0,BAL 43,6.0,16.0,Gardner Minshew pass complete short right to Jakobi Meyers for 13 yards (tackle by Marlon Humphrey),1.68,3.58,2.0,2024,27
3.0,4:14,1.0,10.0,BAL 30,6.0,16.0,Gardner Minshew pass incomplete short right intended for Zamir White (defended by Roquan Smith),3.58,3.03,2.0,2024,27
3.0,4:05,2.0,10.0,BAL 30,6.0,16.0,Gardner Minshew pass complete short right to Davante Adams for 2 yards (tackle by Marlon Humphrey),3.03,2.61,2.0,2024,27
3.0,3:21,3.0,8.0,BAL 28,6.0,16.0,Gardner Minshew pass complete deep middle to Brock Bowers for 27 yards (tackle by Marcus Williams and Roquan Smith),2.61,6.97,2.0,2024,27
3.0,2:40,1.0,1.0,BAL 1,12.0,16.0,"Alexander Mattison up the middle for 1 yard, touchdown",6.97,7.0,2.0,2024,27
3.0,2:36,,,BAL 15,13.0,16.0,Daniel Carlson kicks extra point good,0.0,0.0,2.0,2024,27
3.0,2:36,,,LVR 35,13.0,16.0,"Daniel Carlson kicks off 65 yards, returned by John Kelly for 24 yards (tackle by Ameer Abdullah and DJ Turner)",0.0,0.54,2.0,2024,27
3.0,2:31,1.0,10.0,BAL 24,13.0,16.0,Derrick Henry up the middle for 4 yards (tackle by Luke Masterson),0.54,0.54,2.0,2024,27
3.0,1:51,2.0,6.0,BAL 28,13.0,16.0,"Lamar Jackson sacked by Robert Spillane for no gain. Penalty on Jack Jones: Defensive Holding, 5 yards (accepted) (no play)",0.54,1.14,2.0,2024,27
3.0,1:19,1.0,10.0,BAL 33,13.0,16.0,"Lamar Jackson pass incomplete short right. Penalty on Andrew Vorhees: Offensive Holding, 10 yards (accepted) (no play)",1.14,0.48,2.0,2024,27
3.0,1:10,1.0,20.0,BAL 23,13.0,16.0,Lamar Jackson scrambles up the middle for 9 yards (tackle by Robert Spillane),0.48,0.46,2.0,2024,27
3.0,0:30,2.0,11.0,BAL 32,13.0,16.0,Lamar Jackson pass complete deep left to Rashod Bateman for 18 yards,0.46,2.26,2.0,2024,27
4.0,15:00,1.0,10.0,LVR 50,13.0,16.0,Derrick Henry left end for 2 yards (tackle by Nesta Jade Silvera),2.26,1.98,2.0,2024,27
4.0,14:18,2.0,8.0,LVR 48,13.0,16.0,Lamar Jackson pass complete short left to Isaiah Likely for 15 yards (tackle by Divine Deablo and Jack Jones),1.98,3.38,2.0,2024,27
4.0,13:43,1.0,10.0,LVR 33,13.0,16.0,Derrick Henry right guard for 9 yards (tackle by Robert Spillane),3.38,4.05,2.0,2024,27
4.0,13:04,2.0,1.0,LVR 24,13.0,16.0,"Penalty on Derrick Henry: False Start, 5 yards (accepted) (no play)",4.05,3.38,2.0,2024,27
4.0,13:04,2.0,6.0,LVR 29,13.0,16.0,"Derrick Henry left end for 17 yards (tackle by Christian Wilkins). Penalty on Tre'von Moehrig: Unnecessary Roughness / Defense, 6 yards (accepted)",3.38,5.83,2.0,2024,27
4.0,12:58,1.0,6.0,LVR 6,13.0,16.0,Derrick Henry left end for 3 yards (tackle by Christian Wilkins and John Jenkins),5.83,5.53,2.0,2024,27
4.0,12:17,2.0,3.0,LVR 3,13.0,22.0,"Derrick Henry up the middle for 3 yards, touchdown",5.53,7.0,2.0,2024,27
4.0,12:11,,,LVR 15,13.0,23.0,Justin Tucker kicks extra point good,0.0,0.0,2.0,2024,27
4.0,12:11,,,BAL 35,13.0,23.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,27
4.0,12:11,1.0,10.0,LVR 30,13.0,23.0,"Gardner Minshew sacked by Nnamdi Madubuike for no gain. Penalty on Nnamdi Madubuike: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.94,1.93,2.0,2024,27
4.0,11:44,1.0,10.0,LVR 45,13.0,23.0,Odafe Oweh for -10 yards and Michael Pierce for -10 yards,1.93,0.03,2.0,2024,27
4.0,11:00,2.0,20.0,LVR 35,13.0,23.0,Gardner Minshew pass complete deep middle to Davante Adams for 26 yards (tackle by Roquan Smith and Brandon Stephens),0.03,2.98,2.0,2024,27
4.0,10:33,1.0,10.0,BAL 39,13.0,23.0,"Gardner Minshew pass complete deep left to Davante Adams for 30 yards BAL challenged the pass completion ruling, and the play was upheld.",2.98,5.14,2.0,2024,27
4.0,10:14,1.0,9.0,BAL 9,13.0,23.0,Gardner Minshew pass incomplete short middle intended for Jakobi Meyers,5.14,4.38,2.0,2024,27
4.0,10:11,2.0,9.0,BAL 9,13.0,23.0,Alexander Mattison up the middle for 3 yards (tackle by Broderick Washington and Roquan Smith),4.38,4.04,2.0,2024,27
4.0,9:31,3.0,6.0,BAL 6,13.0,23.0,Gardner Minshew pass incomplete short right,4.04,2.99,2.0,2024,27
4.0,9:24,4.0,6.0,BAL 6,16.0,23.0,Daniel Carlson 25 yard field goal good,2.99,3.0,2.0,2024,27
4.0,9:21,,,LVR 35,16.0,23.0,"Daniel Carlson kicks off 67 yards, returned by John Kelly for 22 yards (tackle by Christopher Smith and Luke Masterson)",0.0,0.28,2.0,2024,27
4.0,9:15,1.0,10.0,BAL 20,16.0,23.0,Derrick Henry right tackle for 5 yards (tackle by John Jenkins),0.28,0.41,2.0,2024,27
4.0,8:44,2.0,5.0,BAL 25,16.0,23.0,Lamar Jackson right end for no gain (tackle by Jack Jones),0.41,-0.3,2.0,2024,27
4.0,8:05,3.0,5.0,BAL 25,16.0,23.0,"Penalty on Jonah Laulu: Neutral Zone Infraction, 4 yards (accepted) (no play)",-0.3,0.23,2.0,2024,27
4.0,7:46,3.0,1.0,BAL 29,16.0,23.0,"Penalty on Derrick Henry: False Start, 4 yards (accepted) (no play)",0.23,-0.3,2.0,2024,27
4.0,7:46,3.0,5.0,BAL 25,16.0,23.0,Lamar Jackson pass incomplete short middle intended for Zay Flowers (defended by Robert Spillane),-0.3,-1.7,2.0,2024,27
4.0,7:44,4.0,5.0,BAL 25,16.0,23.0,"Jordan Stout punts 45 yards, returned by Tre Tucker for no gain (tackle by Jalyn Armour-Davis)",-1.7,-0.94,2.0,2024,27
4.0,7:36,1.0,10.0,LVR 30,16.0,23.0,Gardner Minshew pass complete deep left to Davante Adams for 29 yards (tackle by Brandon Stephens),0.94,2.85,2.0,2024,27
4.0,7:01,1.0,10.0,BAL 41,16.0,23.0,Gardner Minshew pass complete short right to Zamir White for 1 yard (tackle by Marlon Humphrey),2.85,2.44,2.0,2024,27
4.0,6:22,2.0,9.0,BAL 40,16.0,23.0,Gardner Minshew pass complete short left to Brock Bowers for 15 yards (tackle by Eddie Jackson),2.44,3.91,2.0,2024,27
4.0,5:54,1.0,10.0,BAL 25,16.0,23.0,Gardner Minshew pass complete short middle to Brock Bowers for 5 yards (tackle by Trenton Simpson),3.91,4.04,2.0,2024,27
4.0,5:21,2.0,5.0,BAL 20,16.0,23.0,Gardner Minshew pass incomplete short middle intended for Davante Adams,4.04,3.34,2.0,2024,27
4.0,5:18,3.0,5.0,BAL 20,16.0,23.0,Gardner Minshew pass complete short right to Brock Bowers for 11 yards (tackle by Trenton Simpson),3.34,5.14,2.0,2024,27
4.0,4:41,1.0,9.0,BAL 9,16.0,23.0,Gardner Minshew pass incomplete short left intended for Davante Adams,5.14,4.38,2.0,2024,27
4.0,4:36,2.0,9.0,BAL 9,16.0,23.0,Gardner Minshew sacked by Kyle Van Noy for -8 yards,4.38,2.74,2.0,2024,27
4.0,4:03,3.0,17.0,BAL 17,16.0,23.0,"Gardner Minshew pass incomplete deep left intended for Davante Adams. Penalty on Brandon Stephens: Defensive Pass Interference, 16 yards (accepted) (no play)",2.74,6.97,2.0,2024,27
4.0,3:57,1.0,1.0,BAL 1,22.0,23.0,"Gardner Minshew pass complete short middle to Davante Adams for 1 yard, touchdown",6.97,7.0,2.0,2024,27
4.0,3:54,,,BAL 15,23.0,23.0,Daniel Carlson kicks extra point good,0.0,0.0,2.0,2024,27
4.0,3:54,,,LVR 35,23.0,23.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,27
4.0,3:54,1.0,10.0,BAL 30,23.0,23.0,Lamar Jackson sacked by Maxx Crosby for -9 yards,0.94,-0.82,2.0,2024,27
4.0,3:13,2.0,19.0,BAL 21,23.0,23.0,Justice Hill left tackle for no gain (tackle by Robert Spillane and Tre'von Moehrig),-0.82,-1.48,2.0,2024,27
4.0,2:34,3.0,19.0,BAL 21,23.0,23.0,Lamar Jackson pass complete short left to Justice Hill for 3 yards (tackle by Isaiah Pola-Mao),-1.48,-1.77,2.0,2024,27
4.0,2:27,4.0,16.0,BAL 24,23.0,23.0,"Jordan Stout punts 24 yards out of bounds. Penalty on Ka'dar Hollman: Player Out of Bounds on Kick, 5 yards (accepted)",-1.77,-2.72,2.0,2024,27
4.0,2:21,1.0,10.0,BAL 43,23.0,23.0,Zamir White right tackle for 8 yards (tackle by Marlon Humphrey and Eddie Jackson),2.72,3.26,2.0,2024,27
4.0,2:15,,,,,,Timeout #2 by Baltimore Ravens,,,2.0,2024,27
4.0,2:15,2.0,2.0,BAL 35,23.0,23.0,Gardner Minshew pass complete short left to Jakobi Meyers for 8 yards (tackle by Marlon Humphrey),3.26,3.78,2.0,2024,27
4.0,2:00,1.0,10.0,BAL 27,23.0,23.0,Zamir White right guard for 1 yard (tackle by Malik Harrison and Trenton Simpson),3.78,3.37,2.0,2024,27
4.0,1:57,,,,,,Timeout #3 by Baltimore Ravens,,,2.0,2024,27
4.0,1:57,2.0,9.0,BAL 26,23.0,23.0,Zamir White left guard for 4 yards (tackle by Kyle Hamilton and Roquan Smith),3.37,3.2,2.0,2024,27
4.0,1:15,3.0,5.0,BAL 22,23.0,23.0,Zamir White right guard for 2 yards (tackle by Brent Urban),3.2,2.25,2.0,2024,27
4.0,0:31,,,,,,Timeout #1 by Las Vegas Raiders,,,2.0,2024,27
4.0,0:31,4.0,2.0,BAL 20,26.0,23.0,Daniel Carlson 38 yard field goal good,2.25,3.0,2.0,2024,27
