Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA,week,year,game_id
2.0,1:18,2.0,15.0,MIN 43,7.0,10.0,Sam Darnold pass complete short left to Aaron Jones for 2 yards (tackle by Deommodore Lenoir and Javon Hargrave),0.91,0.5,2.0,2024,23
2.0,0:40,3.0,13.0,MIN 45,7.0,10.0,Sam Darnold pass complete short middle to Justin Jefferson for 16 yards (tackle by Fred Warner),0.5,2.98,2.0,2024,23
2.0,0:18,1.0,10.0,SFO 39,7.0,10.0,Sam Darnold spiked the ball,2.98,2.44,2.0,2024,23
2.0,0:17,,,,,,Timeout #3 by San Francisco 49ers,,,2.0,2024,23
2.0,0:17,2.0,10.0,SFO 39,7.0,10.0,Sam Darnold pass incomplete deep right intended for Justin Jefferson,2.44,1.75,2.0,2024,23
2.0,0:11,3.0,10.0,SFO 39,7.0,10.0,Sam Darnold scrambles up the middle for 18 yards (tackle by Ji'Ayir Brown),1.75,4.17,2.0,2024,23
2.0,0:03,,,,,,Timeout #3 by Minnesota Vikings,,,2.0,2024,23
2.0,0:03,1.0,10.0,SFO 21,7.0,13.0,Will Reichard 39 yard field goal good,4.17,3.0,2.0,2024,23
3.0,15:00,,,SFO 35,7.0,13.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,23
3.0,15:00,1.0,10.0,MIN 30,7.0,13.0,Aaron Jones left tackle for 4 yards (tackle by Maliek Collins and De'Vondre Campbell),0.94,0.93,2.0,2024,23
3.0,14:19,2.0,6.0,MIN 34,7.0,13.0,"Sam Darnold pass incomplete short right. Penalty on Sam Darnold: Intentional Grounding, 17 yards (accepted)",0.93,-2.36,2.0,2024,23
3.0,14:19,3.0,23.0,MIN 17,7.0,13.0,Sam Darnold pass complete short left to Johnny Mundt for 6 yards (tackle by Deommodore Lenoir),-2.36,-1.83,2.0,2024,23
3.0,13:42,4.0,17.0,MIN 23,7.0,13.0,Ryan Wright punts 43 yards out of bounds,-1.83,-1.2,2.0,2024,23
3.0,13:35,1.0,10.0,SFO 34,7.0,13.0,Jordan Mason left end for 9 yards (tackle by Josh Metellus),1.2,1.87,2.0,2024,23
3.0,13:03,2.0,1.0,SFO 43,7.0,13.0,Brock Purdy pass complete short left to Kyle Juszczyk for 8 yards,1.87,2.32,2.0,2024,23
3.0,12:23,1.0,10.0,MIN 49,7.0,13.0,Brock Purdy sacked by Jonathan Greenard for no gain,2.32,1.78,2.0,2024,23
3.0,11:48,2.0,10.0,MIN 49,7.0,13.0,Jordan Mason right end for -2 yards (tackle by Jonathan Bullard and Patrick Jones),1.78,0.83,2.0,2024,23
3.0,11:01,3.0,12.0,SFO 49,7.0,13.0,Brock Purdy sacked by Patrick Jones for -5 yards,0.83,-0.46,2.0,2024,23
3.0,10:30,4.0,17.0,SFO 44,7.0,13.0,"Mitch Wishnowsky punts 41 yards, fair catch by Brandon Powell at MIN-15",-0.46,0.22,2.0,2024,23
3.0,10:19,1.0,10.0,MIN 15,7.0,13.0,Sam Darnold pass complete short right to Trent Sherfield for 17 yards (tackle by George Odum),-0.22,1.07,2.0,2024,23
3.0,9:56,1.0,10.0,MIN 32,7.0,13.0,Aaron Jones right end for 9 yards (tackle by George Odum),1.07,1.74,2.0,2024,23
3.0,9:20,2.0,1.0,MIN 41,7.0,13.0,Aaron Jones left end for -2 yards (tackle by Fred Warner and Deommodore Lenoir),1.74,0.76,2.0,2024,23
3.0,8:40,3.0,3.0,MIN 39,7.0,13.0,Sam Darnold sacked by Nick Bosa for -5 yards,0.76,-1.11,2.0,2024,23
3.0,7:58,4.0,8.0,MIN 34,7.0,13.0,"Ryan Wright punts 56 yards, recovered by Isaac Yiadom at SF-13",-1.11,0.32,2.0,2024,23
3.0,7:41,1.0,10.0,SFO 13,7.0,13.0,Jordan Mason right guard for no gain (tackle by Jonathan Greenard),-0.32,-0.77,2.0,2024,23
3.0,7:07,2.0,10.0,SFO 13,7.0,13.0,Brock Purdy pass short middle (defended by Blake Cashman) intended for Kyle Juszczyk is intercepted by Josh Metellus at SF-22 and returned for 12 yards (tackle by Dominick Puni and Aaron Banks),-0.77,-4.91,2.0,2024,23
3.0,6:53,1.0,10.0,SFO 10,7.0,19.0,"Sam Darnold pass complete short right to Jalen Nailor for 10 yards, touchdown",4.91,7.0,2.0,2024,23
3.0,6:49,,,SFO 15,7.0,20.0,Will Reichard kicks extra point good,0.0,0.0,2.0,2024,23
3.0,6:49,,,MIN 35,7.0,20.0,"Will Reichard kicks off 65 yards, touchback.. Penalty on Will Reichard: Illegal Formation, 5 yards (accepted)",0.0,1.27,2.0,2024,23
3.0,6:49,1.0,10.0,SFO 35,7.0,20.0,Brock Purdy sacked by Patrick Jones for -7 yards,1.27,-0.22,2.0,2024,23
3.0,6:07,2.0,17.0,SFO 28,7.0,20.0,Brock Purdy pass complete deep left to Brandon Aiyuk for 22 yards (tackle by Stephon Gilmore and Blake Cashman),-0.22,2.26,2.0,2024,23
3.0,5:19,1.0,10.0,MIN 50,7.0,20.0,Deebo Samuel right end for -1 yards (tackle by Josh Metellus),2.26,1.58,2.0,2024,23
3.0,4:39,,,,,,Timeout #1 by San Francisco 49ers,,,2.0,2024,23
3.0,4:39,2.0,11.0,SFO 49,7.0,20.0,Brock Purdy scrambles right end for 11 yards (tackle by Ivan Pace),1.58,2.92,2.0,2024,23
3.0,4:08,1.0,10.0,MIN 40,7.0,20.0,Jordan Mason left tackle for 1 yard (tackle by Dallas Turner and Taki Taimani),2.92,2.51,2.0,2024,23
3.0,3:27,2.0,9.0,MIN 39,7.0,20.0,Brock Purdy sacked by Blake Cashman for -6 yards,2.51,1.03,2.0,2024,23
3.0,2:38,3.0,15.0,MIN 45,7.0,20.0,"Brock Purdy sacked by. Brock Purdy fumbles, recovered by Jihad Ward at MIN-45 and returned for 2 yards (tackle by Brock Purdy)",1.03,-2.26,2.0,2024,23
3.0,2:28,1.0,10.0,MIN 50,7.0,20.0,Ty Chandler left tackle for 7 yards (tackle by Maliek Collins and Fred Warner),2.26,2.66,2.0,2024,23
3.0,2:02,2.0,3.0,SFO 43,7.0,20.0,Ty Chandler left tackle for 12 yards (tackle by Malik Mustapha),2.66,3.51,2.0,2024,23
3.0,1:36,1.0,10.0,SFO 31,7.0,20.0,Ty Chandler up the middle for 6 yards (tackle by Maliek Collins),3.51,3.78,2.0,2024,23
3.0,0:53,2.0,4.0,SFO 25,7.0,20.0,Ty Chandler left end for 5 yards (tackle by Demetrius Flannigan-Fowles and Deommodore Lenoir),3.78,4.24,2.0,2024,23
3.0,0:38,1.0,10.0,SFO 20,7.0,20.0,"Sam Darnold pass complete short left to Aaron Jones for 18 yards. Aaron Jones fumbles (forced by Fred Warner), recovered by Isaac Yiadom at SF-1 Replay Assistant challenged the loose ball recovery ruling, and the play was upheld.",4.24,0.38,2.0,2024,23
3.0,0:08,1.0,10.0,SFO 1,7.0,20.0,Jordan Mason right tackle for 4 yards (tackle by Ivan Pace),-0.38,-0.49,2.0,2024,23
4.0,15:00,2.0,6.0,SFO 5,7.0,20.0,Brock Purdy pass complete short right to Deebo Samuel for 9 yards (tackle by Stephon Gilmore),-0.49,-0.28,2.0,2024,23
