Quarter,Time,Down,ToGo,Location,NYJ,TEN,Detail,EPB,EPA,week,year,game_id
2.0,1:47,,,NYJ 35,7.0,7.0,"Greg Zuerlein kicks off 61 yards, returned by Tyjae Spears for 22 yards (tackle by Jarrick Bernard-Converse)",0.0,0.67,2.0,2024,26
2.0,1:43,1.0,10.0,TEN 26,7.0,7.0,Tyjae Spears left tackle for 2 yards (tackle by Quincy Williams),0.67,0.4,2.0,2024,26
2.0,1:16,2.0,8.0,TEN 28,7.0,7.0,Will Levis pass complete short left to Tyjae Spears for 5 yards (tackle by Javon Kinlaw),0.4,0.37,2.0,2024,26
2.0,1:03,,,,,,Timeout #2 by New York Jets,,,2.0,2024,26
2.0,1:03,3.0,3.0,TEN 33,7.0,7.0,"Will Levis pass complete deep right to Tony Pollard for 22 yards (tackle by Quincy Williams). Penalty on Chuck Clark: Unnecessary Roughness / Defense, 15 yards (accepted)",0.37,3.58,2.0,2024,26
2.0,0:57,1.0,10.0,NYJ 30,7.0,7.0,Will Levis pass complete short middle to DeAndre Hopkins for 9 yards (tackle by Isaiah Oliver),3.58,4.25,2.0,2024,26
2.0,0:39,,,,,,Timeout #1 by Tennessee Titans,,,2.0,2024,26
2.0,0:39,2.0,1.0,NYJ 21,7.0,7.0,Tyjae Spears up the middle for 4 yards (tackle by Quinnen Williams),4.25,4.44,2.0,2024,26
2.0,0:22,1.0,10.0,NYJ 17,7.0,7.0,Will Levis sacked by Solomon Thomas for -8 yards,4.44,2.81,2.0,2024,26
2.0,0:17,,,,,,Timeout #2 by Tennessee Titans,,,2.0,2024,26
2.0,0:17,2.0,18.0,NYJ 25,7.0,7.0,Tyjae Spears left guard for 2 yards (tackle by Jamien Sherwood),2.81,2.41,2.0,2024,26
2.0,0:03,,,,,,Timeout #3 by Tennessee Titans,,,2.0,2024,26
2.0,0:03,3.0,16.0,NYJ 23,7.0,10.0,Nick Folk 41 yard field goal good,2.41,3.0,2.0,2024,26
3.0,15:00,,,TEN 35,7.0,10.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,26
3.0,15:00,1.0,10.0,NYJ 30,7.0,10.0,Breece Hall left tackle for no gain (tackle by Arden Key and Quandre Diggs),0.94,0.39,2.0,2024,26
3.0,14:12,2.0,10.0,NYJ 30,7.0,10.0,"Penalty on NYJ: Delay of Game, 5 yards (accepted) (no play)",0.39,-0.28,2.0,2024,26
3.0,13:52,2.0,15.0,NYJ 25,7.0,10.0,Aaron Rodgers pass incomplete short right intended for Braelon Allen,-0.28,-0.96,2.0,2024,26
3.0,13:47,3.0,15.0,NYJ 25,7.0,10.0,"Aaron Rodgers pass incomplete deep middle intended for Mike Williams. Penalty on Jeffery Simmons: Roughing the Passer, 15 yards (accepted) (no play)",-0.96,1.6,2.0,2024,26
3.0,13:41,1.0,10.0,NYJ 40,7.0,10.0,Breece Hall right end for 30 yards (tackle by Quandre Diggs),1.6,3.58,2.0,2024,26
3.0,12:59,1.0,10.0,TEN 30,7.0,10.0,Braelon Allen right guard for 4 yards (tackle by Sebastian Joseph-Day),3.58,3.57,2.0,2024,26
3.0,12:13,,,,,,Timeout #1 by New York Jets,,,2.0,2024,26
3.0,12:13,2.0,6.0,TEN 26,13.0,10.0,"Aaron Rodgers pass complete deep right to Breece Hall for 26 yards, touchdown",3.57,7.0,2.0,2024,26
3.0,12:08,,,TEN 15,14.0,10.0,Greg Zuerlein kicks extra point good,0.0,0.0,2.0,2024,26
3.0,12:08,,,NYJ 35,14.0,10.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,26
3.0,12:08,1.0,10.0,TEN 30,14.0,10.0,Tony Pollard left tackle for -1 yards (tackle by Jermaine Johnson and Micheal Clemons),0.94,0.26,2.0,2024,26
3.0,11:24,2.0,11.0,TEN 29,14.0,10.0,"Will Levis pass complete short left to Nick Vannett for no gain (tackle by Michael Carter). Penalty on Dillon Radunz: Offensive Holding, 10 yards (accepted) (no play)",0.26,-1.15,2.0,2024,26
3.0,10:59,2.0,21.0,TEN 19,14.0,10.0,Will Levis pass complete short right to Tony Pollard for 2 yards (tackle by Quincy Williams),-1.15,-1.48,2.0,2024,26
3.0,10:25,3.0,19.0,TEN 21,14.0,10.0,Will Levis pass complete short right to Chigoziem Okonkwo for 8 yards (tackle by Jamien Sherwood),-1.48,-1.44,2.0,2024,26
3.0,9:53,4.0,11.0,TEN 29,14.0,10.0,"Penalty on Darrell Baker: False Start, 5 yards (accepted) (no play)",-1.44,-1.77,2.0,2024,26
3.0,9:39,4.0,16.0,TEN 24,14.0,10.0,"Ryan Stonehouse punts 63 yards, returned by Xavier Gipson for 19 yards (tackle by Luke Gifford and Jack Gibbens)",-1.77,-1.07,2.0,2024,26
3.0,9:26,1.0,10.0,NYJ 32,14.0,10.0,Aaron Rodgers pass incomplete short right intended for Jeremy Ruckert,1.07,0.53,2.0,2024,26
3.0,9:23,2.0,10.0,NYJ 32,14.0,10.0,Aaron Rodgers pass incomplete short right intended for Tyler Conklin (defended by Harold Landry),0.53,-0.16,2.0,2024,26
3.0,9:21,3.0,10.0,NYJ 32,14.0,10.0,Aaron Rodgers sacked by Harold Landry for -7 yards,-0.16,-1.7,2.0,2024,26
3.0,8:44,4.0,17.0,NYJ 25,14.0,10.0,"Thomas Morstead punts 49 yards, returned by Jha'Quan Jackson for 12 yards (tackle by Jamien Sherwood)",-1.7,-1.47,2.0,2024,26
3.0,8:31,1.0,10.0,TEN 38,14.0,10.0,Will Levis pass incomplete short left,1.47,0.92,2.0,2024,26
3.0,8:27,2.0,10.0,TEN 38,14.0,10.0,Will Levis pass incomplete short middle intended for Tyler Boyd (defended by Jamien Sherwood),0.92,0.23,2.0,2024,26
3.0,8:24,3.0,10.0,TEN 38,14.0,10.0,Will Levis pass incomplete deep right intended for Calvin Ridley,0.23,-0.85,2.0,2024,26
3.0,8:19,4.0,10.0,TEN 38,14.0,10.0,Ryan Stonehouse punts blocked by Irvin Charles,-0.85,-3.58,2.0,2024,26
3.0,8:15,1.0,10.0,TEN 30,14.0,10.0,Breece Hall right end for 3 yards (tackle by Amani Hooker and Harold Landry),3.58,3.44,2.0,2024,26
3.0,7:33,2.0,7.0,TEN 27,14.0,10.0,Breece Hall up the middle for 8 yards (tackle by Kenneth Murray),3.44,4.31,2.0,2024,26
3.0,6:48,1.0,10.0,TEN 19,14.0,10.0,Breece Hall left tackle for 4 yards (tackle by Ernest Jones and Sebastian Joseph-Day),4.31,4.35,2.0,2024,26
3.0,6:12,2.0,6.0,TEN 15,14.0,10.0,Aaron Rodgers pass incomplete short right intended for Allen Lazard,4.35,3.58,2.0,2024,26
3.0,6:06,3.0,6.0,TEN 15,14.0,10.0,Aaron Rodgers pass incomplete short right intended for Jeremy Ruckert,3.58,2.47,2.0,2024,26
3.0,6:01,4.0,6.0,TEN 15,17.0,10.0,Greg Zuerlein 33 yard field goal good,2.47,3.0,2.0,2024,26
3.0,5:58,,,NYJ 35,17.0,10.0,"Greg Zuerlein kicks off 66 yards, returned by Jha'Quan Jackson for 30 yards (tackle by Chazz Surratt)",0.0,0.87,2.0,2024,26
3.0,5:53,1.0,10.0,TEN 29,17.0,10.0,Tony Pollard left guard for 5 yards (tackle by Tony Adams),0.87,1.0,2.0,2024,26
3.0,5:18,2.0,5.0,TEN 34,17.0,10.0,Tony Pollard right tackle for 4 yards (tackle by Javon Kinlaw and Quincy Williams),1.0,0.83,2.0,2024,26
3.0,4:42,3.0,1.0,TEN 38,17.0,10.0,Will Levis scrambles left guard for 21 yards (tackle by Chuck Clark),0.83,2.85,2.0,2024,26
3.0,4:09,1.0,10.0,NYJ 41,17.0,10.0,Tony Pollard up the middle for 1 yard (tackle by Quincy Williams),2.85,2.44,2.0,2024,26
3.0,3:28,2.0,9.0,NYJ 40,17.0,16.0,"Will Levis pass complete deep right to Calvin Ridley for 40 yards, touchdown",2.44,7.0,2.0,2024,26
3.0,3:22,,,NYJ 15,17.0,17.0,Nick Folk kicks extra point good,0.0,0.0,2.0,2024,26
3.0,3:22,,,TEN 35,17.0,17.0,"Nick Folk kicks off 68 yards, returned by Xavier Gipson for 33 yards (tackle by Mike Brown and Luke Gifford)",0.0,0.94,2.0,2024,26
3.0,3:16,1.0,10.0,NYJ 30,17.0,17.0,Braelon Allen right guard for no gain (tackle by Jeffery Simmons and Arden Key),0.94,0.39,2.0,2024,26
3.0,2:36,2.0,10.0,NYJ 30,17.0,17.0,Aaron Rodgers pass complete short right to Garrett Wilson for 9 yards (tackle by L'Jarius Sneed),0.39,0.89,2.0,2024,26
3.0,1:55,3.0,1.0,NYJ 39,17.0,17.0,Braelon Allen right guard for 2 yards (tackle by Amani Hooker),0.89,1.66,2.0,2024,26
3.0,1:16,1.0,10.0,NYJ 41,17.0,17.0,Braelon Allen right tackle for -1 yards (tackle by Ernest Jones),1.66,0.99,2.0,2024,26
3.0,0:30,2.0,11.0,NYJ 40,17.0,17.0,Aaron Rodgers pass incomplete short middle intended for Garrett Wilson,0.99,0.3,2.0,2024,26
3.0,0:25,3.0,11.0,NYJ 40,17.0,17.0,Aaron Rodgers pass complete short right to Breece Hall for no gain (tackle by Ernest Jones and Kenneth Murray),0.3,-0.72,2.0,2024,26
4.0,15:00,4.0,11.0,NYJ 40,17.0,17.0,"Thomas Morstead punts 53 yards, returned by Jha'Quan Jackson for 18 yards (tackle by Jamien Sherwood)",-0.72,-0.61,2.0,2024,26
4.0,14:47,1.0,10.0,TEN 25,17.0,17.0,Will Levis pass complete short right to Chigoziem Okonkwo for 1 yard (tackle by Michael Carter and Tony Adams),0.61,0.2,2.0,2024,26
4.0,14:08,2.0,9.0,TEN 26,17.0,17.0,Tony Pollard left tackle for 6 yards (tackle by Chuck Clark),0.2,0.3,2.0,2024,26
4.0,13:29,3.0,3.0,TEN 32,17.0,17.0,Tony Pollard right end for 1 yard (tackle by Tony Adams and Isaiah Oliver),0.3,-1.18,2.0,2024,26
4.0,13:07,4.0,2.0,TEN 33,17.0,17.0,"Ryan Stonehouse punts 59 yards, returned by Xavier Gipson for 8 yards (tackle by Darrell Baker)",-1.18,0.14,2.0,2024,26
4.0,12:59,1.0,10.0,NYJ 16,17.0,17.0,Breece Hall up the middle for 8 yards (tackle by Quandre Diggs),-0.14,0.55,2.0,2024,26
4.0,12:26,2.0,2.0,NYJ 24,17.0,17.0,Garrett Wilson right end for 5 yards (tackle by Chidobe Awuzie),0.55,0.87,2.0,2024,26
4.0,11:44,1.0,10.0,NYJ 29,17.0,17.0,Breece Hall left end for 6 yards (tackle by Quandre Diggs),0.87,1.14,2.0,2024,26
4.0,11:05,2.0,4.0,NYJ 35,17.0,17.0,Braelon Allen left guard for 2 yards (tackle by Jeffery Simmons),1.14,0.7,2.0,2024,26
4.0,10:22,3.0,2.0,NYJ 37,17.0,17.0,Aaron Rodgers pass incomplete deep right intended for Allen Lazard,0.7,-0.91,2.0,2024,26
4.0,10:17,4.0,2.0,NYJ 37,17.0,17.0,"Thomas Morstead punts 48 yards, fair catch by Jha'Quan Jackson at TEN-15",-0.91,0.22,2.0,2024,26
4.0,10:09,1.0,10.0,TEN 15,17.0,17.0,Tony Pollard right end for 2 yards (tackle by Quincy Williams),-0.22,-0.44,2.0,2024,26
4.0,9:33,2.0,8.0,TEN 17,17.0,17.0,Will Levis pass complete short left to Tony Pollard for 2 yards (tackle by Michael Carter and Jamien Sherwood),-0.44,-0.88,2.0,2024,26
4.0,8:53,3.0,6.0,TEN 19,17.0,17.0,Will Levis pass incomplete short right intended for Tyler Boyd (defended by Tony Adams),-0.88,-2.14,2.0,2024,26
4.0,8:48,4.0,6.0,TEN 19,17.0,17.0,"Ryan Stonehouse punts 55 yards, fair catch by Xavier Gipson at NYJ-26",-2.14,-0.67,2.0,2024,26
4.0,8:41,1.0,10.0,NYJ 26,17.0,17.0,Aaron Rodgers pass complete short right to Breece Hall for 6 yards (tackle by Jarvis Brownlee),0.67,0.94,2.0,2024,26
4.0,7:56,2.0,4.0,NYJ 32,17.0,17.0,Aaron Rodgers pass complete short left to Allen Lazard for 3 yards (tackle by Roger McCreary),0.94,0.63,2.0,2024,26
4.0,7:11,3.0,1.0,NYJ 35,17.0,17.0,Aaron Rodgers pass complete deep right to Garrett Wilson for 26 yards (tackle by L'Jarius Sneed),0.63,2.98,2.0,2024,26
4.0,6:31,1.0,10.0,TEN 39,17.0,17.0,Breece Hall left end for -6 yards (tackle by Roger McCreary),2.98,1.63,2.0,2024,26
4.0,5:44,,,,,,Timeout #2 by New York Jets,,,2.0,2024,26
4.0,5:44,2.0,16.0,TEN 45,17.0,17.0,Aaron Rodgers pass complete deep left to Mike Williams for 19 yards (tackle by Chidobe Awuzie),1.63,3.84,2.0,2024,26
4.0,5:21,1.0,10.0,TEN 26,17.0,17.0,Aaron Rodgers pass complete short right to Breece Hall for 6 yards (tackle by Ernest Jones and Kenneth Murray),3.84,4.11,2.0,2024,26
4.0,4:36,2.0,4.0,TEN 20,23.0,17.0,"Braelon Allen right tackle for 20 yards, touchdown",4.11,7.0,2.0,2024,26
4.0,4:31,,,TEN 15,24.0,17.0,Greg Zuerlein kicks extra point good,0.0,0.0,2.0,2024,26
4.0,4:31,,,NYJ 35,24.0,17.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,26
4.0,4:31,1.0,10.0,TEN 30,24.0,17.0,Will Levis pass complete short left to Calvin Ridley for 6 yards (tackle by Brandin Echols),0.94,1.2,2.0,2024,26
4.0,4:27,2.0,4.0,TEN 36,24.0,17.0,Will Levis pass complete short left to Tony Pollard for 3 yards (tackle by Quincy Williams),1.2,0.89,2.0,2024,26
4.0,4:02,3.0,1.0,TEN 39,24.0,17.0,Will Levis up the middle for 2 yards (tackle by Quinnen Williams),0.89,1.66,2.0,2024,26
4.0,3:31,1.0,10.0,TEN 41,24.0,17.0,Will Levis pass incomplete deep left intended for Calvin Ridley,1.66,1.12,2.0,2024,26
4.0,3:25,2.0,10.0,TEN 41,24.0,17.0,Tony Pollard left end for 4 yards (tackle by Braiden McGregor),1.12,0.96,2.0,2024,26
4.0,2:45,3.0,6.0,TEN 45,24.0,17.0,Will Levis pass complete deep right to Calvin Ridley for 16 yards,0.96,2.98,2.0,2024,26
4.0,2:38,1.0,10.0,NYJ 39,24.0,17.0,Tony Pollard up the middle for 10 yards (tackle by Chuck Clark and Solomon Thomas),2.98,3.64,2.0,2024,26
4.0,2:00,1.0,10.0,NYJ 29,24.0,17.0,Tony Pollard up the middle for 6 yards (tackle by Jamien Sherwood),3.64,3.91,2.0,2024,26
4.0,1:31,2.0,4.0,NYJ 23,24.0,17.0,Will Levis scrambles up the middle for 13 yards (tackle by Sauce Gardner),3.91,4.91,2.0,2024,26
4.0,0:46,1.0,10.0,NYJ 10,24.0,17.0,Will Levis scrambles left tackle for 2 yards (tackle by Brandin Echols),4.91,4.57,2.0,2024,26
4.0,0:35,,,,,,Timeout #1 by Tennessee Titans,,,2.0,2024,26
4.0,0:35,2.0,8.0,NYJ 8,24.0,17.0,Will Levis pass incomplete short left intended for DeAndre Hopkins,4.57,3.58,2.0,2024,26
4.0,0:29,3.0,8.0,NYJ 8,24.0,17.0,Will Levis sacked by Will McDonald for -6 yards,3.58,2.51,2.0,2024,26
4.0,0:23,,,,,,Timeout #2 by Tennessee Titans,,,2.0,2024,26
4.0,0:23,4.0,14.0,NYJ 14,24.0,17.0,Will Levis pass incomplete short middle intended for Tyler Boyd (defended by Tony Adams),2.51,0.28,2.0,2024,26
4.0,0:17,1.0,10.0,NYJ 14,24.0,17.0,Aaron Rodgers kneels for -1 yards,-0.28,-0.85,2.0,2024,26
