Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA,week,year,game_id
1.0,9:53,3.0,7.0,IND 33,0.0,3.0,Anthony Richardson pass incomplete short right intended for Jonathan Taylor (defended by Isaiah McDuffie),0.1,-1.18,2.0,2024,20
1.0,9:47,4.0,7.0,IND 33,0.0,3.0,"Rigoberto Sanchez punts 49 yards, fair catch by Jayden Reed at GB-18",-1.18,-0.04,2.0,2024,20
1.0,9:39,1.0,10.0,GNB 18,0.0,3.0,Jayden Reed right end for 22 yards (tackle by Rodney Thomas),0.04,1.6,2.0,2024,20
1.0,9:04,1.0,10.0,GNB 40,0.0,3.0,Josh Jacobs right guard for 2 yards (tackle by Zaire Franklin and E.J. Speed),1.6,1.32,2.0,2024,20
1.0,8:35,2.0,8.0,GNB 42,0.0,3.0,Josh Jacobs right tackle for 5 yards (tackle by Tyquan Lewis and E.J. Speed),1.32,1.29,2.0,2024,20
1.0,7:55,3.0,3.0,GNB 47,0.0,3.0,Josh Jacobs right end for 5 yards (tackle by Nick Cross),1.29,2.39,2.0,2024,20
1.0,7:17,1.0,10.0,IND 48,0.0,3.0,Josh Jacobs left end for 6 yards (tackle by Nick Cross),2.39,2.66,2.0,2024,20
1.0,6:40,2.0,4.0,IND 42,0.0,3.0,Emanuel Wilson up the middle for 2 yards (tackle by E.J. Speed and Nick Cross),2.66,2.21,2.0,2024,20
1.0,6:07,3.0,2.0,IND 40,0.0,3.0,Emanuel Wilson right guard for 4 yards (tackle by E.J. Speed),2.21,3.18,2.0,2024,20
1.0,5:25,1.0,10.0,IND 36,0.0,3.0,Bo Melton left end for 16 yards (tackle by Nick Cross and Jaylon Carlies),3.18,4.24,2.0,2024,20
1.0,4:40,1.0,10.0,IND 20,0.0,3.0,"Josh Jacobs left end for no gain, touchdown. Penalty on Rasheed Walker: Offensive Holding, 10 yards (accepted) (no play)",4.24,3.58,2.0,2024,20
1.0,4:35,1.0,20.0,IND 30,0.0,3.0,MarShawn Lloyd left guard for 4 yards (tackle by Samuel Womack),3.58,2.88,2.0,2024,20
1.0,4:06,2.0,16.0,IND 26,0.0,3.0,Malik Willis left end for 12 yards (tackle by Nick Cross),2.88,3.89,2.0,2024,20
1.0,3:23,3.0,4.0,IND 14,0.0,9.0,"Malik Willis pass complete short right to Dontayvion Wicks for 14 yards, touchdown",3.89,7.0,2.0,2024,20
1.0,3:18,,,IND 15,0.0,10.0,Brayden Narveson kicks extra point good,0.0,0.0,2.0,2024,20
1.0,3:18,,,GNB 35,0.0,10.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,20
1.0,3:18,1.0,10.0,IND 30,0.0,10.0,Jonathan Taylor up the middle for 17 yards (tackle by Javon Bullard),0.94,2.06,2.0,2024,20
1.0,2:52,1.0,10.0,IND 47,0.0,10.0,Anthony Richardson pass complete deep middle to Ashton Dulin for 13 yards (tackle by Javon Bullard and Eric Stokes),2.06,2.92,2.0,2024,20
1.0,2:35,1.0,10.0,GNB 40,0.0,10.0,Anthony Richardson pass deep middle intended for Alec Pierce is intercepted by Xavier McKinney at GB-13 and returned for 18 yards (tackle by Alec Pierce),2.92,-1.0,2.0,2024,20
1.0,2:26,1.0,10.0,GNB 31,0.0,10.0,Jayden Reed right end for 15 yards (tackle by Raekwon Davis),1.0,1.99,2.0,2024,20
1.0,1:48,1.0,10.0,GNB 46,0.0,10.0,Josh Jacobs right tackle for 4 yards (tackle by Raekwon Davis and Tyquan Lewis),1.99,1.99,2.0,2024,20
1.0,1:10,2.0,6.0,GNB 50,0.0,10.0,Josh Jacobs right guard for 9 yards (tackle by Jaylon Jones),1.99,2.85,2.0,2024,20
1.0,0:36,1.0,10.0,IND 41,0.0,10.0,Josh Jacobs right guard for 1 yard (tackle by Nick Cross),2.85,2.44,2.0,2024,20
2.0,15:00,2.0,9.0,IND 40,0.0,10.0,Josh Jacobs right guard for 4 yards (tackle by E.J. Speed),2.44,2.28,2.0,2024,20
2.0,14:43,3.0,5.0,IND 36,0.0,10.0,Malik Willis pass complete short right to Romeo Doubs for 8 yards (tackle by Dallis Flowers),2.28,3.71,2.0,2024,20
2.0,14:11,1.0,10.0,IND 28,0.0,10.0,Malik Willis pass complete short left to MarShawn Lloyd for 3 yards (tackle by Kwity Paye and DeForest Buckner),3.71,3.57,2.0,2024,20
2.0,13:25,2.0,7.0,IND 25,0.0,10.0,MarShawn Lloyd left tackle for 2 yards (tackle by Kwity Paye),3.57,3.14,2.0,2024,20
2.0,12:56,3.0,5.0,IND 23,0.0,10.0,Malik Willis scrambles right end for 19 yards (tackle by Nick Cross),3.14,6.28,2.0,2024,20
2.0,12:13,1.0,4.0,IND 4,0.0,10.0,"Josh Jacobs up the middle for 3 yards. Josh Jacobs fumbles (forced by Zaire Franklin), recovered by Laiatu Latu in end zone, touchback.",6.28,-0.28,2.0,2024,20
2.0,12:06,1.0,10.0,IND 20,0.0,10.0,"Jonathan Taylor left end for no gain (tackle by Carrington Valentine). Penalty on Adonai Mitchell: Illegal Formation, 5 yards (accepted) (no play)",0.28,-0.31,2.0,2024,20
2.0,11:41,1.0,15.0,IND 15,0.0,10.0,"Anthony Richardson pass incomplete short middle intended for Adonai Mitchell. Penalty on Lukas Van Ness: Roughing the Passer, 15 yards (accepted) (no play)",-0.31,0.94,2.0,2024,20
2.0,11:41,1.0,10.0,IND 30,0.0,10.0,"Anthony Richardson aborted snap, recovered by Anthony Richardson at IND-30 and returned for -2 yards",0.94,0.12,2.0,2024,20
2.0,11:02,2.0,12.0,IND 28,0.0,10.0,Anthony Richardson pass complete short left to Michael Pittman for 7 yards (tackle by Isaiah McDuffie),0.12,0.37,2.0,2024,20
2.0,10:37,3.0,5.0,IND 35,0.0,10.0,"Anthony Richardson pass complete short left to Alec Pierce for no gain (tackle by Evan Williams). Penalty on Quenton Nelson: Offensive Holding, 10 yards (accepted) (no play)",0.37,-0.96,2.0,2024,20
2.0,10:02,3.0,15.0,IND 25,0.0,10.0,Anthony Richardson pass complete short left to Trey Sermon for 7 yards (tackle by Carrington Valentine and Isaiah McDuffie),-0.96,-1.24,2.0,2024,20
2.0,9:26,4.0,8.0,IND 32,0.0,10.0,Rigoberto Sanchez punts 53 yards. Jayden Reed fumbles out of bounds,-1.24,0.14,2.0,2024,20
2.0,9:18,1.0,10.0,GNB 16,0.0,10.0,Josh Jacobs left tackle for 5 yards (tackle by Taven Bryan),-0.14,0.15,2.0,2024,20
2.0,9:04,2.0,5.0,GNB 21,0.0,10.0,Josh Jacobs right tackle for 16 yards (tackle by Rodney Thomas),0.15,1.4,2.0,2024,20
2.0,8:09,1.0,10.0,GNB 37,0.0,10.0,Josh Jacobs right guard for 7 yards (tackle by E.J. Speed),1.4,1.8,2.0,2024,20
2.0,7:29,2.0,3.0,GNB 44,0.0,10.0,MarShawn Lloyd left guard for 2 yards (tackle by Zaire Franklin and Jaylon Jones),1.8,1.36,2.0,2024,20
2.0,6:47,3.0,1.0,GNB 46,0.0,10.0,Josh Jacobs left guard for 1 yard (tackle by Nick Cross and Tyquan Lewis),1.36,2.06,2.0,2024,20
2.0,6:03,1.0,10.0,GNB 47,0.0,10.0,Malik Willis pass incomplete deep right intended for Dontayvion Wicks (defended by Kenny Moore),2.06,1.52,2.0,2024,20
2.0,5:57,2.0,10.0,GNB 47,0.0,10.0,Josh Jacobs up the middle for no gain (tackle by Grover Stewart and Zaire Franklin),1.52,0.83,2.0,2024,20
2.0,5:16,3.0,10.0,GNB 47,0.0,10.0,Malik Willis scrambles right end for 3 yards (tackle by Kenny Moore and Nick Cross),0.83,-0.06,2.0,2024,20
2.0,4:16,4.0,7.0,IND 50,0.0,10.0,Daniel Whelan punts 42 yards out of bounds,-0.06,0.38,2.0,2024,20
2.0,4:06,1.0,10.0,IND 8,0.0,10.0,Jonathan Taylor left tackle for 18 yards (tackle by Jaire Alexander),-0.38,0.67,2.0,2024,20
2.0,3:37,1.0,10.0,IND 26,0.0,10.0,Jonathan Taylor up the middle for -1 yards (tackle by Devonte Wyatt),0.67,-0.01,2.0,2024,20
2.0,3:00,2.0,11.0,IND 25,0.0,10.0,Anthony Richardson pass complete short left to Jonathan Taylor for 14 yards (tackle by Edgerrin Cooper),-0.01,1.53,2.0,2024,20
2.0,2:22,1.0,10.0,IND 39,0.0,10.0,Jonathan Taylor right guard for 2 yards (tackle by Kingsley Enagbare and Carrington Valentine),1.53,1.26,2.0,2024,20
2.0,2:00,2.0,8.0,IND 41,0.0,10.0,Anthony Richardson pass incomplete short right intended for Michael Pittman (defended by Jaire Alexander),1.26,0.56,2.0,2024,20
2.0,1:58,3.0,8.0,IND 41,0.0,10.0,Anthony Richardson pass incomplete short right intended for Adonai Mitchell,0.56,-0.65,2.0,2024,20
2.0,1:51,4.0,8.0,IND 41,0.0,10.0,"Rigoberto Sanchez punts 59 yards, touchback.",-0.65,-0.28,2.0,2024,20
2.0,1:42,1.0,10.0,GNB 20,0.0,10.0,Josh Jacobs right end for 7 yards (tackle by E.J. Speed),0.28,0.68,2.0,2024,20
2.0,1:07,2.0,3.0,GNB 27,0.0,10.0,Josh Jacobs right end for 2 yards (tackle by Nick Cross),0.68,0.23,2.0,2024,20
2.0,0:20,,,,,,Timeout #1 by Green Bay Packers,,,2.0,2024,20
2.0,0:20,3.0,1.0,GNB 29,0.0,10.0,Josh Jacobs right end for 2 yards (tackle by E.J. Speed),0.23,1.0,2.0,2024,20
3.0,15:00,,,GNB 35,0.0,10.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,20
3.0,15:00,1.0,10.0,IND 30,0.0,10.0,Jonathan Taylor left tackle for 3 yards (tackle by Quay Walker and Preston Smith),0.94,0.8,2.0,2024,20
3.0,14:27,2.0,7.0,IND 33,0.0,10.0,Jonathan Taylor right guard for 7 yards (tackle by Quay Walker),0.8,1.6,2.0,2024,20
3.0,13:58,1.0,10.0,IND 40,0.0,10.0,"Anthony Richardson aborted snap, recovered by Anthony Richardson at IND-35 Anthony Richardson pass incomplete short middle intended for Michael Pittman",1.6,1.05,2.0,2024,20
3.0,13:52,2.0,10.0,IND 40,0.0,10.0,Anthony Richardson sacked by Devonte Wyatt for -6 yards,1.05,-0.43,2.0,2024,20
3.0,13:03,3.0,16.0,IND 34,0.0,10.0,Anthony Richardson pass complete short right to Andrew Ogletree for 12 yards (tackle by Keisean Nixon),-0.43,-0.32,2.0,2024,20
3.0,12:23,4.0,4.0,IND 46,0.0,10.0,Anthony Richardson pass incomplete short right intended for Jonathan Taylor,-0.32,-2.52,2.0,2024,20
3.0,12:20,1.0,10.0,IND 46,0.0,10.0,Josh Jacobs left end for -1 yards (tackle by Grover Stewart),2.52,1.84,2.0,2024,20
3.0,11:45,2.0,11.0,IND 47,0.0,10.0,Josh Jacobs left end for 2 yards (tackle by E.J. Speed),1.84,1.42,2.0,2024,20
3.0,11:13,3.0,9.0,IND 45,0.0,10.0,Malik Willis pass complete short right to Tucker Kraft for 17 yards (tackle by Nick Cross),1.42,3.71,2.0,2024,20
3.0,10:33,1.0,10.0,IND 28,0.0,10.0,Josh Jacobs left tackle for -5 yards (tackle by Grover Stewart and Laiatu Latu),3.71,2.49,2.0,2024,20
3.0,9:53,2.0,15.0,IND 33,0.0,10.0,Malik Willis pass complete short left to Dontayvion Wicks for 5 yards (tackle by Zaire Franklin and Jaylon Jones),2.49,2.48,2.0,2024,20
3.0,9:15,3.0,10.0,IND 28,0.0,10.0,Josh Jacobs up the middle for 5 yards (tackle by Tyquan Lewis and E.J. Speed),2.48,1.98,2.0,2024,20
3.0,8:29,4.0,5.0,IND 23,0.0,13.0,Brayden Narveson 42 yard field goal good,1.98,3.0,2.0,2024,20
3.0,8:25,,,GNB 35,0.0,13.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,20
3.0,8:25,1.0,10.0,IND 30,0.0,13.0,Jonathan Taylor left end for 11 yards (tackle by Javon Bullard),0.94,1.66,2.0,2024,20
3.0,7:51,1.0,10.0,IND 41,0.0,13.0,Jonathan Taylor right end for 16 yards (tackle by Jaire Alexander),1.66,2.72,2.0,2024,20
3.0,7:16,1.0,10.0,GNB 43,0.0,13.0,Anthony Richardson pass complete short middle to Mo Alie-Cox for 22 yards (tackle by Javon Bullard),2.72,4.17,2.0,2024,20
3.0,6:41,1.0,10.0,GNB 21,0.0,13.0,Anthony Richardson up the middle for 5 yards (tackle by Xavier McKinney),4.17,4.37,2.0,2024,20
3.0,6:07,2.0,5.0,GNB 16,0.0,13.0,Jonathan Taylor right end for -3 yards (tackle by Lukas Van Ness),4.37,3.18,2.0,2024,20
3.0,5:30,3.0,8.0,GNB 19,0.0,13.0,Anthony Richardson pass complete short left to Michael Pittman for 3 yards (tackle by Keisean Nixon),3.18,2.43,2.0,2024,20
3.0,4:36,4.0,5.0,GNB 16,3.0,13.0,Matt Gay 34 yard field goal good,2.43,3.0,2.0,2024,20
3.0,4:32,,,IND 35,3.0,13.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,20
3.0,4:32,1.0,10.0,GNB 30,3.0,13.0,Bo Melton right end for -8 yards (tackle by Adetomiwa Adebawore),0.94,-0.69,2.0,2024,20
3.0,3:54,2.0,18.0,GNB 22,3.0,13.0,Malik Willis pass complete short middle to Tucker Kraft for -1 yards (tackle by Dayo Odeyingbo),-0.69,-1.48,2.0,2024,20
3.0,3:14,3.0,19.0,GNB 21,3.0,13.0,"Malik Willis pass complete short right to Emanuel Wilson for 17 yards (tackle by Kwity Paye and E.J. Speed). Penalty on Josh Myers: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-1.48,-2.6,2.0,2024,20
3.0,2:58,3.0,24.0,GNB 16,3.0,13.0,Malik Willis pass complete short right to Jayden Reed for 9 yards (tackle by Kwity Paye),-2.6,-1.7,2.0,2024,20
3.0,2:04,4.0,15.0,GNB 25,3.0,13.0,"Daniel Whelan punts 59 yards, fair catch by Anthony Gould at IND-16",-1.7,0.14,2.0,2024,20
3.0,1:56,1.0,10.0,IND 16,3.0,13.0,"Anthony Richardson pass complete short left to Jonathan Taylor for 18 yards. Jonathan Taylor fumbles, ball out of bounds at IND-34 (forced by Eric Wilson) (tackle by Xavier McKinney. Jonathan Taylor fumbles out of bounds",-0.14,1.2,2.0,2024,20
3.0,1:14,1.0,10.0,IND 34,3.0,13.0,Jonathan Taylor right end for 29 yards (tackle by Xavier McKinney),1.2,3.12,2.0,2024,20
3.0,0:42,1.0,10.0,GNB 37,3.0,13.0,Anthony Richardson pass complete short right to Alec Pierce for 8 yards (tackle by Isaiah McDuffie),3.12,3.65,2.0,2024,20
3.0,0:19,2.0,2.0,GNB 29,3.0,13.0,Jonathan Taylor up the middle for 1 yard (tackle by Kenny Clark and Tedarrell Slaton),3.65,3.07,2.0,2024,20
4.0,15:00,3.0,1.0,GNB 28,3.0,13.0,Trey Sermon left end for -4 yards (tackle by Xavier McKinney),3.07,1.27,2.0,2024,20
4.0,14:16,4.0,4.0,GNB 32,3.0,13.0,Matt Gay 50 yard field goal no good,1.27,-1.6,2.0,2024,20
4.0,14:12,1.0,10.0,GNB 40,3.0,13.0,Josh Jacobs up the middle for 2 yards (tackle by E.J. Speed),1.6,1.32,2.0,2024,20
4.0,13:40,2.0,8.0,GNB 42,3.0,13.0,Malik Willis right guard for 3 yards (tackle by Zaire Franklin),1.32,1.03,2.0,2024,20
4.0,13:11,3.0,5.0,GNB 45,3.0,13.0,Malik Willis pass complete deep right to Romeo Doubs for 39 yards (tackle by Jaylon Jones),1.03,4.51,2.0,2024,20
4.0,12:27,1.0,10.0,IND 16,3.0,13.0,Josh Jacobs right end for 1 yard (tackle by Jaylon Carlies),4.51,4.05,2.0,2024,20
4.0,11:41,2.0,9.0,IND 15,3.0,13.0,Malik Willis right end for -1 yards (tackle by Kwity Paye and Kenny Moore),4.05,3.08,2.0,2024,20
4.0,10:59,,,,,,Timeout #1 by Green Bay Packers,,,2.0,2024,20
4.0,10:59,3.0,10.0,IND 16,3.0,13.0,"Malik Willis pass incomplete short right. Penalty on Zach Tom: Offensive Holding, 10 yards (declined)",3.08,2.38,2.0,2024,20
4.0,10:54,4.0,10.0,IND 16,3.0,16.0,Brayden Narveson 34 yard field goal good,2.38,3.0,2.0,2024,20
4.0,10:50,,,GNB 35,3.0,16.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,20
4.0,10:50,1.0,10.0,IND 30,3.0,16.0,Anthony Richardson pass complete deep left to Adonai Mitchell for 30 yards (tackle by Evan Williams),0.94,2.92,2.0,2024,20
4.0,10:28,1.0,10.0,GNB 40,3.0,16.0,Anthony Richardson pass incomplete deep left intended for Michael Pittman (defended by Carrington Valentine),2.92,2.37,2.0,2024,20
4.0,10:23,2.0,10.0,GNB 40,3.0,16.0,Anthony Richardson pass short middle intended for Michael Pittman is intercepted by Eric Wilson at GB-25 and returned for no gain (tackle by Michael Pittman),2.37,-0.61,2.0,2024,20
4.0,10:19,1.0,10.0,GNB 25,3.0,16.0,Josh Jacobs right tackle for 3 yards (tackle by Kenny Moore and Jaylon Carlies),0.61,0.47,2.0,2024,20
4.0,9:31,2.0,7.0,GNB 28,3.0,16.0,Malik Willis pass complete short middle to Romeo Doubs for 15 yards (tackle by Rodney Thomas),0.47,1.8,2.0,2024,20
4.0,9:06,1.0,10.0,GNB 43,3.0,16.0,MarShawn Lloyd left tackle for 2 yards (tackle by E.J. Speed),1.8,1.52,2.0,2024,20
4.0,8:29,2.0,8.0,GNB 45,3.0,16.0,Josh Jacobs up the middle for 12 yards (tackle by Zaire Franklin and Rodney Thomas),1.52,2.72,2.0,2024,20
4.0,7:48,1.0,10.0,IND 43,3.0,16.0,Josh Jacobs left guard for -1 yards (tackle by Isaiah Land and Taven Bryan),2.72,2.04,2.0,2024,20
4.0,7:07,2.0,11.0,IND 44,3.0,16.0,Malik Willis pass complete short right to Luke Musgrave for 6 yards (tackle by Jaylon Carlies and Kenny Moore),2.04,2.15,2.0,2024,20
4.0,6:27,3.0,5.0,IND 38,3.0,16.0,Malik Willis pass complete short left to Dontayvion Wicks for 7 yards,2.15,3.51,2.0,2024,20
4.0,5:52,1.0,10.0,IND 31,3.0,16.0,Emanuel Wilson left end for no gain (tackle by Raekwon Davis),3.51,2.97,2.0,2024,20
4.0,5:09,2.0,10.0,IND 31,3.0,16.0,MarShawn Lloyd left guard for no gain (tackle by Dayo Odeyingbo),2.97,2.28,2.0,2024,20
4.0,4:58,,,,,,Timeout #1 by Indianapolis Colts,,,2.0,2024,20
4.0,4:58,3.0,10.0,IND 31,3.0,16.0,Malik Willis up the middle for 5 yards (tackle by Kwity Paye),2.28,1.79,2.0,2024,20
4.0,4:17,4.0,5.0,IND 26,3.0,16.0,Brayden Narveson 45 yard field goal no good,1.79,-1.27,2.0,2024,20
4.0,4:10,1.0,10.0,IND 35,3.0,16.0,Anthony Richardson pass complete short left to Tyler Goodson for 2 yards (tackle by Keisean Nixon),1.27,0.99,2.0,2024,20
4.0,3:47,2.0,8.0,IND 37,3.0,16.0,Anthony Richardson pass complete deep middle to Alec Pierce for 18 yards (tackle by Quay Walker and Javon Bullard),0.99,2.59,2.0,2024,20
4.0,3:21,1.0,10.0,GNB 45,3.0,16.0,Anthony Richardson pass incomplete deep left intended for Alec Pierce,2.59,2.04,2.0,2024,20
4.0,3:19,2.0,10.0,GNB 45,3.0,16.0,Anthony Richardson pass complete short middle to Michael Pittman for 11 yards (tackle by Quay Walker),2.04,3.31,2.0,2024,20
4.0,2:55,1.0,10.0,GNB 34,3.0,16.0,Anthony Richardson pass incomplete deep middle intended for Ashton Dulin,3.31,2.77,2.0,2024,20
4.0,2:52,2.0,10.0,GNB 34,3.0,16.0,Anthony Richardson pass complete short middle to Kylen Granson for 9 yards (tackle by Quay Walker),2.77,3.27,2.0,2024,20
4.0,2:28,3.0,1.0,GNB 25,3.0,16.0,"Anthony Richardson pass complete short left to Alec Pierce for 11 yards GNB challenged the pass completion ruling, and the play was upheld.",3.27,4.65,2.0,2024,20
4.0,2:17,1.0,10.0,GNB 14,3.0,16.0,Anthony Richardson pass incomplete short left intended for Kylen Granson (defended by Javon Bullard),4.65,4.0,2.0,2024,20
4.0,2:11,2.0,10.0,GNB 14,3.0,16.0,Anthony Richardson pass incomplete short middle,4.0,3.11,2.0,2024,20
4.0,2:07,3.0,10.0,GNB 14,3.0,16.0,Trey Sermon left tackle for 4 yards (tackle by Preston Smith),3.11,2.79,2.0,2024,20
4.0,2:00,4.0,6.0,GNB 10,3.0,16.0,"Penalty on Quenton Nelson: False Start, 5 yards (accepted) (no play)",2.79,2.44,2.0,2024,20
4.0,2:00,4.0,11.0,GNB 15,3.0,16.0,"Anthony Richardson scrambles left end for 11 yards (tackle by Kenny Clark) Replay Assistant challenged the short of the line to gain ruling, and the play was upheld.",2.44,6.28,2.0,2024,20
4.0,1:53,1.0,4.0,GNB 4,9.0,16.0,"Anthony Richardson pass complete short right to Alec Pierce for 4 yards, touchdown",6.28,7.0,2.0,2024,20
4.0,1:47,,,GNB 15,10.0,16.0,Matt Gay kicks extra point good,0.0,0.0,2.0,2024,20
4.0,1:47,,,IND 35,10.0,16.0,"Matt Gay kicks onside 8 yards, returned by Eric Wilson for no gain",0.0,2.72,2.0,2024,20
4.0,1:46,1.0,10.0,IND 43,10.0,16.0,Josh Jacobs up the middle for 3 yards (tackle by Dayo Odeyingbo and Nick Cross),2.72,2.58,2.0,2024,20
4.0,1:41,,,,,,Timeout #2 by Indianapolis Colts,,,2.0,2024,20
4.0,1:41,,,,,,Timeout #3 by Green Bay Packers,,,2.0,2024,20
4.0,1:41,2.0,7.0,IND 40,10.0,16.0,Josh Jacobs left guard for 1 yard (tackle by Tyquan Lewis and Jaylon Jones),2.58,2.01,2.0,2024,20
4.0,1:35,,,,,,Timeout #3 by Indianapolis Colts,,,2.0,2024,20
4.0,1:35,3.0,6.0,IND 39,10.0,16.0,Josh Jacobs left guard for 1 yard (tackle by Nick Cross and Grover Stewart),2.01,0.72,2.0,2024,20
4.0,0:49,4.0,5.0,IND 38,10.0,16.0,"Penalty on Malik Willis: Delay of Game, 5 yards (accepted) (no play)",0.72,0.4,2.0,2024,20
4.0,0:49,4.0,10.0,IND 43,10.0,16.0,"Daniel Whelan punts 38 yards, fair catch by Anthony Gould at IND-5",0.4,0.38,2.0,2024,20
4.0,0:43,1.0,10.0,IND 5,10.0,16.0,Anthony Richardson pass complete short middle to Alec Pierce for 15 yards (tackle by Evan Williams),-0.38,0.28,2.0,2024,20
4.0,0:27,1.0,10.0,IND 20,10.0,16.0,Anthony Richardson spiked the ball,0.28,-0.27,2.0,2024,20
4.0,0:26,2.0,10.0,IND 20,10.0,16.0,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,-0.27,-0.96,2.0,2024,20
4.0,0:19,3.0,10.0,IND 20,10.0,16.0,Anthony Richardson scrambles left end for 21 yards (tackle by Isaiah McDuffie),-0.96,1.66,2.0,2024,20
4.0,0:09,1.0,10.0,IND 41,10.0,16.0,Anthony Richardson pass incomplete deep left intended for Andrew Ogletree,1.66,1.12,2.0,2024,20
4.0,0:05,2.0,10.0,IND 41,10.0,16.0,Anthony Richardson pass deep right is intercepted by Evan Williams at GB-7 and returned for 1 yard (tackle by Kylen Granson),1.12,0.0,2.0,2024,20
