Quarter,Time,Down,ToGo,Location,MIA,LAR,Detail,EPB,EPA,week,year,game_id
1.0,1:52,2.0,10.0,LAR 46,7.0,0.0,Blake Corum up the middle for 3 yards (tackle by Anthony Walker and Zach Sieler),1.45,1.16,10.0,2024,152
1.0,1:11,3.0,7.0,LAR 49,7.0,0.0,Matthew Stafford pass short middle (defended by Calais Campbell) intended for Demarcus Robinson is intercepted by Anthony Walker at MIA-41 and returned for 5 yards (tackle by Demarcus Robinson),1.16,-1.99,10.0,2024,152
1.0,1:01,1.0,10.0,MIA 46,7.0,0.0,De'Von Achane left tackle for 15 yards (tackle by Bobby Brown and Quentin Lake),1.99,2.98,10.0,2024,152
1.0,0:20,1.0,10.0,LAR 39,7.0,0.0,De'Von Achane left guard for 2 yards (tackle by Jared Verse),2.98,2.71,10.0,2024,152
2.0,15:00,2.0,8.0,LAR 37,7.0,0.0,Jaylen Wright right end for 5 yards (tackle by Omar Speights),2.71,2.68,10.0,2024,152
2.0,14:18,3.0,3.0,LAR 32,7.0,0.0,Tua Tagovailoa pass incomplete deep right intended for Jaylen Waddle,2.68,1.29,10.0,2024,152
2.0,14:12,4.0,3.0,LAR 32,10.0,0.0,Jason Sanders 50 yard field goal good,1.29,3.0,10.0,2024,152
2.0,14:07,,,MIA 35,10.0,0.0,"Jason Sanders kicks off 64 yards, returned by Xavier Smith for 15 yards (tackle by Channing Tindall)",0.0,-0.14,10.0,2024,152
2.0,13:58,1.0,10.0,LAR 16,10.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Kendall Fuller),-0.14,0.42,10.0,2024,152
2.0,13:41,2.0,3.0,LAR 23,10.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 5 yards (tackle by Jalen Ramsey),0.42,0.81,10.0,2024,152
2.0,13:16,1.0,10.0,LAR 28,10.0,0.0,Matthew Stafford pass complete short right to Kyren Williams for no gain (tackle by Jalen Ramsey),0.81,0.26,10.0,2024,152
2.0,12:44,2.0,10.0,LAR 28,10.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 3 yards (tackle by Kader Kohou),0.26,-0.03,10.0,2024,152
2.0,11:55,3.0,7.0,LAR 31,10.0,0.0,Matthew Stafford sacked by Calais Campbell for -5 yards,-0.03,-1.63,10.0,2024,152
2.0,11:11,4.0,12.0,LAR 26,10.0,0.0,"Ethan Evans punts 50 yards, returned by Malik Washington for 12 yards (tackle by Christian Rozeboom and Jake Hummel)",-1.63,-1.33,10.0,2024,152
2.0,10:59,1.0,10.0,MIA 36,10.0,0.0,De'Von Achane left tackle for -4 yards (tackle by Jared Verse),1.33,0.25,10.0,2024,152
2.0,10:18,2.0,14.0,MIA 32,10.0,0.0,"Tua Tagovailoa pass short middle intended for Jaylen Waddle is intercepted by Christian Rozeboom at MIA-44 and returned for 16 yards (tackle by Tua Tagovailoa). Penalty on Braden Fiske: Illegal Blindside Block, 15 yards (accepted)",0.25,-2.72,10.0,2024,152
2.0,10:08,1.0,10.0,MIA 43,10.0,0.0,"Kyren Williams left guard for 3 yards. Kyren Williams fumbles (tackle by Anthony Walker), recovered by Kendall Fuller at MIA-38 and returned for 1 yard (tackle by Puka Nacua)",2.72,-1.53,10.0,2024,152
2.0,9:55,1.0,10.0,MIA 39,10.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 12 yards (tackle by Kamren Kinchens),1.53,2.32,10.0,2024,152
2.0,9:15,1.0,10.0,LAR 49,10.0,0.0,Jaylen Wright right tackle for -3 yards (tackle by Bobby Brown),2.32,1.38,10.0,2024,152
2.0,8:33,2.0,13.0,MIA 48,10.0,0.0,Tua Tagovailoa pass complete short left to De'Von Achane for no gain (tackle by Kobie Turner and Jared Verse),1.38,0.7,10.0,2024,152
2.0,7:50,3.0,13.0,MIA 48,10.0,0.0,"Tua Tagovailoa sacked by Jared Verse for -12 yards. Tua Tagovailoa fumbles (forced by Jared Verse), recovered by Jared Verse at MIA-36",0.7,-3.18,10.0,2024,152
2.0,7:37,1.0,10.0,MIA 36,10.0,0.0,Matthew Stafford pass incomplete short left intended for Puka Nacua (defended by Kendall Fuller),3.18,2.64,10.0,2024,152
2.0,7:31,,,,,,Timeout #1 by Los Angeles Rams,,,10.0,2024,152
2.0,7:31,2.0,10.0,MIA 36,10.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 14 yards (tackle by Kendall Fuller),2.64,4.11,10.0,2024,152
2.0,7:06,1.0,10.0,MIA 22,10.0,0.0,Kyren Williams up the middle for 3 yards (tackle by Da'Shawn Hand and Anthony Walker),4.11,3.97,10.0,2024,152
2.0,6:32,2.0,7.0,MIA 19,10.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 3 yards,3.97,3.74,10.0,2024,152
2.0,5:55,3.0,4.0,MIA 16,10.0,0.0,Matthew Stafford pass incomplete short left intended for Davis Allen,3.74,2.45,10.0,2024,152
2.0,5:50,4.0,4.0,MIA 16,10.0,3.0,Joshua Karty 34 yard field goal good,2.45,3.0,10.0,2024,152
2.0,5:46,,,LAR 35,10.0,3.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,152
2.0,5:46,1.0,10.0,MIA 30,10.0,3.0,Tyreek Hill left end for 6 yards (tackle by Quentin Lake),0.94,1.2,10.0,2024,152
2.0,5:06,2.0,4.0,MIA 36,10.0,3.0,De'Von Achane up the middle for 6 yards (tackle by Darious Williams),1.2,1.73,10.0,2024,152
2.0,4:27,1.0,10.0,MIA 42,10.0,3.0,Tyreek Hill right end for 5 yards (tackle by Omar Speights),1.73,1.86,10.0,2024,152
2.0,3:49,2.0,5.0,MIA 47,10.0,3.0,Tua Tagovailoa sacked by Byron Young for -15 yards,1.86,-0.82,10.0,2024,152
2.0,3:01,3.0,20.0,MIA 32,10.0,3.0,Tua Tagovailoa pass complete short right to De'Von Achane for 8 yards (tackle by Kobie Turner),-0.82,-0.72,10.0,2024,152
2.0,2:22,4.0,12.0,MIA 40,10.0,3.0,Jake Bailey punts 51 yards out of bounds,-0.72,0.38,10.0,2024,152
2.0,2:13,1.0,10.0,LAR 9,10.0,3.0,Kyren Williams right guard for 9 yards (tackle by Jevon Holland and Jordan Poyer),-0.38,0.14,10.0,2024,152
2.0,2:00,2.0,1.0,LAR 18,10.0,3.0,Kyren Williams up the middle for 2 yards (tackle by Jordan Poyer),0.14,0.28,10.0,2024,152
2.0,1:43,1.0,10.0,LAR 20,10.0,3.0,Matthew Stafford pass complete short middle to Puka Nacua for 9 yards (tackle by Kader Kohou),0.28,0.95,10.0,2024,152
2.0,1:24,2.0,1.0,LAR 29,10.0,3.0,Matthew Stafford pass complete short right to Davis Allen for 4 yards (tackle by Kader Kohou),0.95,1.14,10.0,2024,152
2.0,1:06,1.0,10.0,LAR 33,10.0,3.0,Matthew Stafford pass complete short middle to Kyren Williams for 11 yards (tackle by Anthony Walker and Jordan Poyer),1.14,1.86,10.0,2024,152
2.0,0:48,1.0,10.0,LAR 44,10.0,3.0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,1.86,1.32,10.0,2024,152
2.0,0:39,2.0,10.0,LAR 44,10.0,3.0,Matthew Stafford pass complete short left to Kyren Williams for 12 yards (tackle by Anthony Walker),1.32,2.65,10.0,2024,152
2.0,0:33,,,,,,Timeout #2 by Los Angeles Rams,,,10.0,2024,152
2.0,0:33,1.0,10.0,MIA 44,10.0,3.0,"Matthew Stafford sacked by Quinton Bell for -9 yards. Matthew Stafford fumbles (forced by Quinton Bell), recovered by Matthew Stafford at LA-47",2.65,0.9,10.0,2024,152
2.0,0:19,,,,,,Timeout #3 by Los Angeles Rams,,,10.0,2024,152
2.0,0:19,2.0,19.0,LAR 47,10.0,3.0,Matthew Stafford pass complete deep middle to Puka Nacua for 16 yards (tackle by Kendall Fuller),0.9,2.35,10.0,2024,152
2.0,0:04,3.0,3.0,MIA 37,10.0,3.0,Matthew Stafford spiked the ball,2.35,0.79,10.0,2024,152
2.0,0:03,4.0,3.0,MIA 37,10.0,6.0,Joshua Karty 55 yard field goal good,0.79,3.0,10.0,2024,152
3.0,15:00,,,MIA 35,10.0,6.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,152
3.0,15:00,1.0,10.0,LAR 30,10.0,6.0,Kyren Williams left end for 9 yards (tackle by Jordan Poyer and Zach Sieler),0.94,1.61,10.0,2024,152
3.0,14:22,2.0,1.0,LAR 39,10.0,6.0,Kyren Williams right tackle for 3 yards (tackle by Jordyn Brooks and Anthony Walker),1.61,1.73,10.0,2024,152
3.0,13:38,1.0,10.0,LAR 42,10.0,6.0,Matthew Stafford pass complete deep left to Puka Nacua for 17 yards (tackle by Kendall Fuller),1.73,2.85,10.0,2024,152
3.0,12:58,1.0,10.0,MIA 41,10.0,6.0,Kyren Williams right tackle for 8 yards (tackle by Kendall Fuller and Jordan Poyer),2.85,3.39,10.0,2024,152
3.0,12:29,2.0,2.0,MIA 33,10.0,6.0,Kyren Williams up the middle for 5 yards (tackle by Zach Sieler),3.39,3.71,10.0,2024,152
3.0,11:51,1.0,10.0,MIA 28,10.0,6.0,"Matthew Stafford aborted snap, recovered by Matthew Stafford at MIA-41 and returned for -13 yards (tackle by Jordyn Brooks)",3.71,1.41,10.0,2024,152
3.0,11:10,2.0,23.0,MIA 41,10.0,6.0,Kyren Williams right tackle for 2 yards (tackle by Calais Campbell),1.41,1.02,10.0,2024,152
3.0,10:18,3.0,21.0,MIA 39,10.0,6.0,Matthew Stafford pass complete short left to Puka Nacua for 5 yards (tackle by Cam Smith and Zach Sieler),1.02,1.06,10.0,2024,152
3.0,9:34,4.0,16.0,MIA 34,10.0,6.0,"Penalty on Beaux Limmer: False Start, 5 yards (accepted) (no play)",1.06,0.66,10.0,2024,152
3.0,9:17,4.0,21.0,MIA 39,10.0,6.0,Joshua Karty 57 yard field goal no good,0.66,-2.06,10.0,2024,152
3.0,9:11,1.0,10.0,MIA 47,10.0,6.0,De'Von Achane up the middle for 2 yards (tackle by Kobie Turner),2.06,1.79,10.0,2024,152
3.0,8:32,2.0,8.0,MIA 49,10.0,6.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 10 yards (tackle by Christian Rozeboom and Byron Young),1.79,2.85,10.0,2024,152
3.0,7:51,1.0,10.0,LAR 41,10.0,6.0,De'Von Achane right end for 1 yard (tackle by Tyler Davis),2.85,2.44,10.0,2024,152
3.0,7:15,2.0,9.0,LAR 40,10.0,6.0,Tua Tagovailoa pass complete short right to Durham Smythe for 6 yards (tackle by Darious Williams),2.44,2.54,10.0,2024,152
3.0,6:30,3.0,3.0,LAR 34,10.0,6.0,Tua Tagovailoa pass complete short middle to Jonnu Smith for 33 yards (tackle by Michael Hoecht),2.54,6.97,10.0,2024,152
3.0,5:35,,,,,,Timeout #1 by Miami Dolphins,,,10.0,2024,152
3.0,5:35,1.0,1.0,LAR 1,16.0,6.0,"Tua Tagovailoa pass complete short left to Tyreek Hill for 1 yard, touchdown",6.97,7.0,10.0,2024,152
3.0,5:32,,,LAR 15,17.0,6.0,"Jason Sanders kicks extra point good. Penalty on Cobie Durant: Roughing the Kicker, 15 yards (accepted)",0.0,0.0,10.0,2024,152
3.0,5:32,,,MIA 50,17.0,6.0,"Jason Sanders kicks off 49 yards, returned by Jordan Whittington for 25 yards (tackle by Channing Tindall)",0.0,0.67,10.0,2024,152
3.0,5:24,1.0,10.0,LAR 26,17.0,6.0,Matthew Stafford pass incomplete short right intended for Puka Nacua,0.67,0.13,10.0,2024,152
3.0,5:19,2.0,10.0,LAR 26,17.0,6.0,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by Jordyn Brooks),0.13,0.1,10.0,2024,152
3.0,4:41,3.0,5.0,LAR 31,17.0,6.0,Matthew Stafford pass complete deep right to Cooper Kupp for 17 yards (tackle by Cam Smith),0.1,2.13,10.0,2024,152
3.0,4:12,1.0,10.0,LAR 48,17.0,6.0,Matthew Stafford pass incomplete deep right intended for Puka Nacua,2.13,1.58,10.0,2024,152
3.0,3:59,2.0,10.0,LAR 48,17.0,6.0,Matthew Stafford pass complete short middle to Tyler Johnson for 10 yards (tackle by Anthony Walker and Jordyn Brooks),1.58,2.79,10.0,2024,152
3.0,3:19,1.0,10.0,MIA 42,17.0,6.0,Kyren Williams left guard for 4 yards (tackle by Emmanuel Ogbah),2.79,2.78,10.0,2024,152
3.0,2:40,2.0,6.0,MIA 38,17.0,6.0,Matthew Stafford pass complete short right to Puka Nacua for 12 yards (tackle by Quinton Bell),2.78,3.84,10.0,2024,152
3.0,1:57,1.0,10.0,MIA 26,17.0,6.0,Kyren Williams left end for 5 yards (tackle by Cam Smith and Jordyn Brooks),3.84,3.97,10.0,2024,152
3.0,1:13,2.0,5.0,MIA 21,17.0,6.0,Kyren Williams right tackle for -2 yards (tackle by Da'Shawn Hand and Emmanuel Ogbah),3.97,3.01,10.0,2024,152
3.0,0:31,3.0,7.0,MIA 23,17.0,6.0,Matthew Stafford sacked by Jevon Holland for -12 yards,3.01,0.97,10.0,2024,152
4.0,15:00,4.0,19.0,MIA 35,17.0,9.0,Joshua Karty 53 yard field goal good,0.97,3.0,10.0,2024,152
4.0,14:55,,,LAR 35,17.0,9.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,152
4.0,14:55,1.0,10.0,MIA 30,17.0,9.0,"Tua Tagovailoa pass incomplete short middle intended for Julian Hill (defended by Christian Rozeboom). Penalty on Bobby Brown: Unnecessary Roughness / Defense, 15 yards (accepted)",0.94,1.93,10.0,2024,152
4.0,14:50,1.0,10.0,MIA 45,17.0,9.0,Tua Tagovailoa pass complete short right to Jonnu Smith for 2 yards (tackle by Quentin Lake and Omar Speights),1.93,1.65,10.0,2024,152
4.0,14:05,2.0,8.0,MIA 47,17.0,9.0,De'Von Achane up the middle for 5 yards (tackle by Cobie Durant and Omar Speights),1.65,1.62,10.0,2024,152
4.0,13:24,3.0,3.0,LAR 48,17.0,9.0,Tua Tagovailoa pass complete short middle to De'Von Achane for 10 yards (tackle by Quentin Lake),1.62,3.05,10.0,2024,152
4.0,12:40,1.0,10.0,LAR 38,17.0,9.0,Tua Tagovailoa pass incomplete short left intended for Malik Washington (defended by Christian Rozeboom),3.05,2.51,10.0,2024,152
4.0,12:34,,,,,,Timeout #2 by Miami Dolphins,,,10.0,2024,152
4.0,12:34,2.0,10.0,LAR 38,17.0,9.0,Tua Tagovailoa sacked by Kobie Turner for -9 yards,2.51,0.63,10.0,2024,152
4.0,11:45,3.0,19.0,LAR 47,17.0,9.0,"Tua Tagovailoa pass complete short right to Raheem Mostert for 25 yards (tackle by Quentin Lake). Penalty on Jaylen McCollough: Defensive Holding, 5 yards (declined)",0.63,4.11,10.0,2024,152
4.0,11:24,1.0,10.0,LAR 22,17.0,9.0,De'Von Achane up the middle for 2 yards (tackle by Tyler Davis),4.11,3.83,10.0,2024,152
4.0,10:44,2.0,8.0,LAR 20,17.0,9.0,Jaylen Waddle left end for -1 yards (tackle by Jonah Williams),3.83,3.01,10.0,2024,152
4.0,9:58,3.0,9.0,LAR 21,17.0,9.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 2 yards (tackle by Darious Williams and Kamren Curl),3.01,2.18,10.0,2024,152
4.0,9:11,4.0,7.0,LAR 19,20.0,9.0,Jason Sanders 37 yard field goal good,2.18,3.0,10.0,2024,152
4.0,9:07,,,MIA 35,20.0,9.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,152
4.0,9:07,1.0,10.0,LAR 30,20.0,9.0,Matthew Stafford pass complete deep right to Cooper Kupp for 19 yards (tackle by Cam Smith),0.94,2.19,10.0,2024,152
4.0,8:44,1.0,10.0,LAR 49,20.0,9.0,Matthew Stafford pass complete short right to Davis Allen for 5 yards (tackle by Jalen Ramsey),2.19,2.32,10.0,2024,152
4.0,8:24,2.0,5.0,MIA 46,20.0,9.0,Matthew Stafford pass complete short right to Puka Nacua for 21 yards (tackle by Siran Neal),2.32,3.91,10.0,2024,152
4.0,7:54,1.0,10.0,MIA 25,20.0,9.0,Matthew Stafford pass complete short middle to Cooper Kupp for 15 yards (tackle by Jordyn Brooks),3.91,4.91,10.0,2024,152
4.0,7:23,1.0,10.0,MIA 10,20.0,9.0,Matthew Stafford pass incomplete short middle,4.91,4.19,10.0,2024,152
4.0,7:19,2.0,10.0,MIA 10,20.0,9.0,Matthew Stafford pass complete short right to Tyler Johnson for 6 yards (tackle by Jordyn Brooks and Anthony Walker),4.19,4.49,10.0,2024,152
4.0,6:39,3.0,4.0,MIA 4,20.0,9.0,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,4.49,3.03,10.0,2024,152
4.0,6:34,4.0,4.0,MIA 4,20.0,12.0,Joshua Karty 22 yard field goal good,3.03,3.0,10.0,2024,152
4.0,6:31,,,LAR 35,20.0,12.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,152
4.0,6:31,1.0,10.0,MIA 30,20.0,12.0,Jaylen Wright up the middle for 5 yards (tackle by Byron Young and Jaylen McCollough),0.94,1.07,10.0,2024,152
4.0,5:51,2.0,5.0,MIA 35,20.0,12.0,Jaylen Wright right tackle for -1 yards (tackle by Omar Speights and Michael Hoecht),1.07,0.23,10.0,2024,152
4.0,5:06,3.0,6.0,MIA 34,20.0,12.0,Tua Tagovailoa pass complete short middle to Odell Beckham for 11 yards (tackle by Jaylen McCollough and Quentin Lake),0.23,1.93,10.0,2024,152
4.0,4:24,1.0,10.0,MIA 45,20.0,12.0,Tua Tagovailoa pass complete deep left to Malik Washington for 17 yards (tackle by Darious Williams),1.93,3.05,10.0,2024,152
4.0,3:41,1.0,10.0,LAR 38,20.0,12.0,De'Von Achane up the middle for 5 yards (tackle by Omar Speights),3.05,3.18,10.0,2024,152
4.0,3:00,2.0,5.0,LAR 33,20.0,12.0,De'Von Achane up the middle for -1 yards (tackle by Bobby Brown),3.18,2.34,10.0,2024,152
4.0,2:49,,,,,,Timeout #1 by Los Angeles Rams,,,10.0,2024,152
4.0,2:49,3.0,6.0,LAR 34,20.0,12.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 3 yards (tackle by Kamren Curl),2.34,1.38,10.0,2024,152
4.0,2:43,,,,,,Timeout #2 by Los Angeles Rams,,,10.0,2024,152
4.0,2:43,4.0,3.0,LAR 31,23.0,12.0,Jason Sanders 50 yard field goal good,1.38,3.0,10.0,2024,152
4.0,2:38,,,MIA 35,23.0,12.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,152
4.0,2:38,1.0,10.0,LAR 30,23.0,12.0,Matthew Stafford pass complete short right to Kyren Williams for 7 yards (tackle by Jalen Ramsey),0.94,1.34,10.0,2024,152
4.0,2:17,2.0,3.0,LAR 37,23.0,12.0,Matthew Stafford pass complete short right to Davis Allen for 2 yards,1.34,0.89,10.0,2024,152
4.0,2:12,3.0,1.0,LAR 39,23.0,12.0,"Kyren Williams right tackle for no gain (tackle by Chop Robinson and Jordyn Brooks). Penalty on Steve Avila: Offensive Holding, 9 yards (accepted) (no play)",0.89,-0.3,10.0,2024,152
4.0,2:06,3.0,10.0,LAR 30,23.0,12.0,Matthew Stafford pass complete short middle to Davis Allen for 13 yards (tackle by Chop Robinson),-0.3,1.8,10.0,2024,152
4.0,2:00,1.0,10.0,LAR 43,23.0,12.0,Matthew Stafford pass incomplete short left intended for Kyren Williams (defended by Zach Sieler),1.8,1.25,10.0,2024,152
4.0,1:55,2.0,10.0,LAR 43,23.0,12.0,Matthew Stafford pass complete short right to Puka Nacua for 10 yards (tackle by Jordyn Brooks and Jalen Ramsey),1.25,2.46,10.0,2024,152
4.0,1:38,1.0,10.0,MIA 47,23.0,12.0,Matthew Stafford pass complete deep left to Demarcus Robinson for 23 yards,2.46,3.97,10.0,2024,152
4.0,1:30,1.0,10.0,MIA 24,23.0,12.0,Matthew Stafford pass incomplete short middle intended for Tyler Johnson,3.97,3.43,10.0,2024,152
4.0,1:27,2.0,10.0,MIA 24,23.0,12.0,Matthew Stafford pass complete short right to Tyler Johnson for 9 yards (tackle by Tyus Bowser),3.43,4.17,10.0,2024,152
4.0,1:12,3.0,1.0,MIA 15,23.0,12.0,Kyren Williams right guard for 3 yards (tackle by Jordan Poyer and Jalen Ramsey),4.17,4.78,10.0,2024,152
4.0,0:53,1.0,10.0,MIA 12,23.0,12.0,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,4.78,4.1,10.0,2024,152
4.0,0:46,2.0,10.0,MIA 12,23.0,12.0,Matthew Stafford pass incomplete short right intended for Puka Nacua,4.1,3.12,10.0,2024,152
4.0,0:42,3.0,10.0,MIA 12,23.0,15.0,Joshua Karty 31 yard field goal good,3.12,3.0,10.0,2024,152
4.0,0:39,,,LAR 35,23.0,15.0,"Joshua Karty kicks onside 8 yards, returned by Duke Riley for no gain",0.0,2.72,10.0,2024,152
4.0,0:38,1.0,10.0,LAR 43,23.0,15.0,Tua Tagovailoa kneels for -1 yards,2.72,2.04,10.0,2024,152
