Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA,week,year,game_id
1.0,4:54,2.0,6.0,PHI 42,7.0,0.0,"Penalty on Tyler Smith: Unnecessary Roughness / Offense, 15 yards (offset) Penalty on Jalen Carter: Unnecessary Roughness / Defense, 15 yards (offset) (no play)",2.52,2.52,10.0,2024,149
1.0,4:37,2.0,6.0,PHI 42,7.0,0.0,Rico Dowdle left end for 8 yards (tackle by C.J. Gardner-Johnson and Nakobe Dean),2.52,3.31,10.0,2024,149
1.0,4:05,1.0,10.0,PHI 34,7.0,0.0,Cooper Rush pass incomplete deep left intended for Jalen Tolbert,3.31,2.77,10.0,2024,149
1.0,4:01,2.0,10.0,PHI 34,7.0,0.0,Rico Dowdle up the middle for 6 yards (tackle by Nakobe Dean and Zack Baun),2.77,2.87,10.0,2024,149
1.0,3:21,3.0,4.0,PHI 28,7.0,0.0,Cooper Rush pass incomplete deep left intended for Jalen Brooks (defended by Quinyon Mitchell),2.87,1.65,10.0,2024,149
1.0,3:14,4.0,4.0,PHI 28,7.0,3.0,Brandon Aubrey 46 yard field goal good,1.65,3.0,10.0,2024,149
1.0,3:10,,,DAL 35,7.0,3.0,"Brandon Aubrey kicks off 64 yards, returned by Will Shipley for 32 yards (tackle by Hunter Luepke and Marist Liufau). Penalty on Johnny Wilson: Offensive Holding, 10 yards (accepted)",0.0,0.48,10.0,2024,149
1.0,3:04,1.0,10.0,PHI 23,7.0,3.0,Jalen Hurts pass complete short left to DeVonta Smith for 9 yards (tackle by Jourdan Lewis),0.48,1.15,10.0,2024,149
1.0,2:26,2.0,1.0,PHI 32,7.0,3.0,Saquon Barkley right end for 7 yards (tackle by Caelen Carson),1.15,1.53,10.0,2024,149
1.0,1:47,1.0,10.0,PHI 39,7.0,3.0,Jalen Hurts scrambles right end for 8 yards (tackle by DeMarvion Overshown),1.53,2.07,10.0,2024,149
1.0,1:15,2.0,2.0,PHI 47,7.0,3.0,Jalen Hurts pass complete short right to Dallas Goedert for 11 yards (tackle by Jourdan Lewis),2.07,2.79,10.0,2024,149
1.0,0:39,1.0,10.0,DAL 42,7.0,3.0,Jalen Hurts pass complete short middle to A.J. Brown for 30 yards (tackle by DeMarvion Overshown),2.79,4.78,10.0,2024,149
2.0,15:00,1.0,10.0,DAL 12,7.0,3.0,Jalen Hurts pass deep left intended for Dallas Goedert is intercepted by Trevon Diggs in end zone and returned for no gain,4.78,-0.28,10.0,2024,149
2.0,14:55,1.0,10.0,DAL 20,7.0,3.0,Cooper Rush pass complete short right to Rico Dowdle for no gain (tackle by Isaiah Rodgers and Zack Baun),0.28,-0.27,10.0,2024,149
2.0,14:16,2.0,10.0,DAL 20,7.0,3.0,Rico Dowdle right guard for 2 yards (tackle by Reed Blankenship),-0.27,-0.69,10.0,2024,149
2.0,13:37,3.0,8.0,DAL 22,7.0,3.0,Cooper Rush pass complete short left to CeeDee Lamb for 3 yards (tackle by C.J. Gardner-Johnson),-0.69,-1.7,10.0,2024,149
2.0,12:59,4.0,5.0,DAL 25,7.0,3.0,"Bryan Anger punts 59 yards, returned by Cooper DeJean for 7 yards (tackle by C.J. Goodwin)",-1.7,-0.48,10.0,2024,149
2.0,12:49,1.0,10.0,PHI 23,7.0,3.0,Jalen Hurts up the middle for 2 yards (tackle by Donovan Wilson),0.48,0.2,10.0,2024,149
2.0,12:12,2.0,8.0,PHI 25,7.0,3.0,Jalen Hurts pass complete deep right to Jahan Dotson for 27 yards,0.2,2.39,10.0,2024,149
2.0,11:45,1.0,10.0,DAL 48,7.0,3.0,Saquon Barkley right end for 6 yards (tackle by Caelen Carson),2.39,2.66,10.0,2024,149
2.0,11:20,2.0,4.0,DAL 42,7.0,3.0,"Penalty on Cam Jurgens: False Start, 5 yards (accepted) (no play)",2.66,1.98,10.0,2024,149
2.0,10:54,2.0,9.0,DAL 47,7.0,3.0,Jalen Hurts sacked by DeMarvion Overshown for -8 yards,1.98,0.23,10.0,2024,149
2.0,10:06,,,,,,Timeout #1 by Philadelphia Eagles,,,10.0,2024,149
2.0,10:06,3.0,17.0,PHI 45,7.0,3.0,Jalen Hurts sacked by Micah Parsons for no gain,0.23,-0.39,10.0,2024,149
2.0,9:28,4.0,17.0,PHI 45,7.0,3.0,"Braden Mann punts 55 yards, touchback.",-0.39,-0.28,10.0,2024,149
2.0,9:21,1.0,10.0,DAL 20,7.0,3.0,"Cooper Rush pass complete short right to CeeDee Lamb for no gain (tackle by Darius Slay). Penalty on Quinyon Mitchell: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.28,0.61,10.0,2024,149
2.0,8:59,1.0,10.0,DAL 25,7.0,3.0,Ezekiel Elliott up the middle for -1 yards (tackle by Zack Baun),0.61,-0.07,10.0,2024,149
2.0,8:24,2.0,11.0,DAL 24,7.0,3.0,Ezekiel Elliott right end for 8 yards (tackle by Reed Blankenship),-0.07,0.3,10.0,2024,149
2.0,7:45,3.0,3.0,DAL 32,7.0,3.0,"Cooper Rush pass incomplete short right intended for Jalen Tolbert (defended by Darius Slay). Penalty on Darius Slay: Defensive Pass Interference, 9 yards (accepted) (no play)",0.3,1.66,10.0,2024,149
2.0,7:40,1.0,10.0,DAL 41,7.0,3.0,Rico Dowdle right guard for no gain (tackle by Zack Baun),1.66,1.12,10.0,2024,149
2.0,7:07,2.0,10.0,DAL 41,7.0,3.0,Cooper Rush pass incomplete short left intended for CeeDee Lamb,1.12,0.43,10.0,2024,149
2.0,7:03,3.0,10.0,DAL 41,7.0,3.0,Cooper Rush pass complete short middle to Jalen Tolbert for 9 yards (tackle by Quinyon Mitchell),0.43,-0.06,10.0,2024,149
2.0,6:33,4.0,1.0,DAL 50,7.0,3.0,Cooper Rush up the middle for 2 yards (tackle by Moro Ojomo),-0.06,2.39,10.0,2024,149
2.0,5:54,1.0,10.0,PHI 48,7.0,3.0,Cooper Rush pass incomplete short right intended for CeeDee Lamb (defended by Jalyx Hunt),2.39,1.85,10.0,2024,149
2.0,5:49,2.0,10.0,PHI 48,7.0,3.0,Rico Dowdle up the middle for 19 yards (tackle by Brandon Graham),1.85,3.64,10.0,2024,149
2.0,5:27,1.0,10.0,PHI 29,7.0,3.0,Cooper Rush pass complete short right to Jake Ferguson for 10 yards (tackle by Reed Blankenship),3.64,4.31,10.0,2024,149
2.0,4:55,1.0,10.0,PHI 19,7.0,3.0,Rico Dowdle left guard for 5 yards (tackle by Nakobe Dean),4.31,4.53,10.0,2024,149
2.0,4:35,2.0,5.0,PHI 14,7.0,3.0,CeeDee Lamb left end for 3 yards (tackle by Cooper DeJean and C.J. Gardner-Johnson),4.53,4.43,10.0,2024,149
2.0,3:51,3.0,2.0,PHI 11,7.0,3.0,Cooper Rush pass complete short middle to CeeDee Lamb for 5 yards (tackle by Quinyon Mitchell),4.43,5.83,10.0,2024,149
2.0,3:10,1.0,6.0,PHI 6,7.0,3.0,"Ezekiel Elliott up the middle for 3 yards. Ezekiel Elliott fumbles (tackle by C.J. Gardner-Johnson, recovered by Cooper DeJean in end zone. Penalty on Jake Ferguson: Offensive Holding, 10 yards (declined)",5.83,-0.28,10.0,2024,149
2.0,3:04,1.0,10.0,PHI 20,7.0,3.0,"Jalen Hurts pass incomplete deep right intended for DeVonta Smith. Penalty on Caelen Carson: Defensive Holding, 5 yards (accepted) (no play)",0.28,0.61,10.0,2024,149
2.0,2:57,1.0,10.0,PHI 25,7.0,3.0,Saquon Barkley up the middle for 1 yard (tackle by Mazi Smith),0.61,0.2,10.0,2024,149
2.0,2:14,2.0,9.0,PHI 26,7.0,3.0,"Jalen Hurts sacked by Micah Parsons for -20 yards. Jalen Hurts fumbles (forced by Micah Parsons), recovered by Marist Liufau at PHI-6 (tackle by Saquon Barkley)",0.2,-5.83,10.0,2024,149
2.0,2:08,1.0,6.0,PHI 6,7.0,3.0,Ezekiel Elliott up the middle for 3 yards (tackle by Reed Blankenship and C.J. Gardner-Johnson),5.83,5.53,10.0,2024,149
2.0,2:00,2.0,3.0,PHI 3,7.0,3.0,Cooper Rush pass incomplete short middle intended for CeeDee Lamb,5.53,4.72,10.0,2024,149
2.0,1:56,3.0,3.0,PHI 3,7.0,3.0,Rico Dowdle right guard for -2 yards (tackle by Jalen Carter),4.72,3.01,10.0,2024,149
2.0,1:51,,,,,,Timeout #2 by Philadelphia Eagles,,,10.0,2024,149
2.0,1:51,4.0,5.0,PHI 5,7.0,6.0,Brandon Aubrey 23 yard field goal good,3.01,3.0,10.0,2024,149
2.0,1:48,,,DAL 35,7.0,6.0,"Brandon Aubrey kicks off 62 yards, returned by Kenneth Gainwell for 23 yards (tackle by Ryan Flournoy). Penalty on Jeremiah Trotter: Illegal Block Above the Waist, 10 yards (accepted)",0.0,-0.14,10.0,2024,149
2.0,1:43,1.0,10.0,PHI 16,7.0,6.0,Jalen Hurts pass complete short right to A.J. Brown for 14 yards (tackle by Caelen Carson),-0.14,0.94,10.0,2024,149
2.0,1:38,1.0,10.0,PHI 30,7.0,6.0,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards,0.94,1.07,10.0,2024,149
2.0,1:34,2.0,5.0,PHI 35,7.0,6.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Caelen Carson),1.07,0.37,10.0,2024,149
2.0,1:28,3.0,5.0,PHI 35,7.0,6.0,Jalen Hurts pass complete short middle to A.J. Brown for 18 yards (tackle by Marist Liufau),0.37,2.46,10.0,2024,149
2.0,1:04,,,,,,Timeout #1 by Dallas Cowboys,,,10.0,2024,149
2.0,1:04,1.0,10.0,DAL 47,7.0,6.0,Jalen Hurts scrambles up the middle for 24 yards (tackle by Malik Hooker),2.46,4.04,10.0,2024,149
2.0,0:37,1.0,10.0,DAL 23,7.0,6.0,Jalen Hurts pass complete short right to Kenneth Gainwell for 9 yards (tackle by DeMarvion Overshown),4.04,4.95,10.0,2024,149
2.0,0:28,,,,,,Timeout #3 by Philadelphia Eagles,,,10.0,2024,149
2.0,0:28,2.0,1.0,DAL 14,13.0,6.0,"Jalen Hurts pass complete short right to Dallas Goedert for 14 yards, touchdown",4.95,7.0,10.0,2024,149
2.0,0:23,,,DAL 15,14.0,6.0,Jake Elliott kicks extra point good,0.0,0.0,10.0,2024,149
2.0,0:23,,,PHI 35,14.0,6.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,149
2.0,0:23,1.0,10.0,DAL 30,14.0,6.0,Cooper Rush pass incomplete short left intended for Jalen Brooks (defended by Quinyon Mitchell),0.94,0.39,10.0,2024,149
2.0,0:17,2.0,10.0,DAL 30,14.0,6.0,Cooper Rush pass incomplete short right intended for Jake Ferguson (defended by Jalen Carter),0.39,-0.3,10.0,2024,149
2.0,0:13,3.0,10.0,DAL 30,14.0,6.0,Cooper Rush pass incomplete short left intended for Hunter Luepke,-0.3,-1.37,10.0,2024,149
2.0,0:09,4.0,10.0,DAL 30,14.0,6.0,Bryan Anger punts 57 yards downed by Jalen Moreno-Cropper,-1.37,0.32,10.0,2024,149
2.0,0:01,1.0,10.0,PHI 13,14.0,6.0,Jalen Hurts kneels for -1 yards,-0.32,-0.85,10.0,2024,149
3.0,15:00,,,DAL 35,14.0,6.0,"Brandon Aubrey kicks off 60 yards, returned by Will Shipley for 32 yards (tackle by C.J. Goodwin)",0.0,1.4,10.0,2024,149
3.0,14:54,1.0,10.0,PHI 37,14.0,6.0,Saquon Barkley up the middle for 1 yard (tackle by Mazi Smith and Eric Kendricks),1.4,0.99,10.0,2024,149
3.0,14:10,2.0,9.0,PHI 38,14.0,6.0,Jalen Hurts pass incomplete short right,0.99,0.3,10.0,2024,149
3.0,14:03,3.0,9.0,PHI 38,14.0,6.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown (defended by Caelen Carson),0.3,-0.85,10.0,2024,149
3.0,13:56,4.0,9.0,PHI 38,14.0,6.0,"Braden Mann punts 51 yards, fair catch by KaVontae Turpin at DAL-11",-0.85,0.37,10.0,2024,149
3.0,13:48,1.0,10.0,DAL 11,14.0,6.0,Rico Dowdle right guard for 1 yard (tackle by Jalen Carter),-0.37,-0.71,10.0,2024,149
3.0,13:12,2.0,9.0,DAL 12,14.0,6.0,Cooper Rush pass complete short right to Rico Dowdle for 1 yard (tackle by Nakobe Dean),-0.71,-1.19,10.0,2024,149
3.0,12:31,3.0,8.0,DAL 13,14.0,6.0,Cooper Rush pass complete short right to Jalen Tolbert for 1 yard (tackle by Isaiah Rodgers),-1.19,-2.47,10.0,2024,149
3.0,11:55,4.0,7.0,DAL 14,14.0,6.0,"Bryan Anger punts 54 yards, returned by Cooper DeJean for 31 yards (tackle by Bryan Anger)",-2.47,-3.12,10.0,2024,149
3.0,11:42,1.0,10.0,DAL 37,14.0,6.0,Saquon Barkley right tackle for 7 yards (tackle by Eric Kendricks),3.12,3.52,10.0,2024,149
3.0,11:08,2.0,3.0,DAL 30,14.0,6.0,Saquon Barkley up the middle for 4 yards (tackle by DeMarvion Overshown and Mazi Smith),3.52,3.84,10.0,2024,149
3.0,10:44,1.0,10.0,DAL 26,14.0,6.0,Saquon Barkley right end for 1 yard (tackle by Eric Kendricks),3.84,3.43,10.0,2024,149
3.0,9:56,2.0,9.0,DAL 25,14.0,6.0,"Jalen Hurts pass incomplete short left. Penalty on Caelen Carson: Illegal Contact, 5 yards (accepted) (no play)",3.43,4.24,10.0,2024,149
3.0,9:56,1.0,10.0,DAL 20,14.0,6.0,Kenneth Gainwell right end for 13 yards (tackle by Malik Hooker),4.24,5.6,10.0,2024,149
3.0,9:31,1.0,7.0,DAL 7,14.0,6.0,Kenneth Gainwell right tackle for 2 yards (tackle by Eric Kendricks and DeMarvion Overshown),5.6,5.15,10.0,2024,149
3.0,9:06,2.0,5.0,DAL 5,14.0,6.0,Jalen Hurts pass incomplete short right,5.15,4.26,10.0,2024,149
3.0,9:00,3.0,5.0,DAL 5,20.0,6.0,"Jalen Hurts pass complete short left to Johnny Wilson for 5 yards, touchdown",4.26,7.0,10.0,2024,149
3.0,8:52,,,DAL 15,21.0,6.0,Jake Elliott kicks extra point good,0.0,0.0,10.0,2024,149
3.0,8:52,,,PHI 35,21.0,6.0,"Braden Mann kicks off 71 yards, returned by KaVontae Turpin for 36 yards (tackle by Kelee Ringo)",0.0,0.94,10.0,2024,149
3.0,8:45,1.0,10.0,DAL 30,21.0,6.0,Cooper Rush pass complete short left to Rico Dowdle for 2 yards (tackle by Nakobe Dean),0.94,0.66,10.0,2024,149
3.0,8:08,2.0,8.0,DAL 32,21.0,6.0,Cooper Rush pass complete short left to Jake Ferguson for 3 yards (tackle by Jordan Davis),0.66,0.37,10.0,2024,149
3.0,7:33,3.0,5.0,DAL 35,21.0,6.0,Cooper Rush pass incomplete deep right intended for CeeDee Lamb (defended by Darius Slay),0.37,-1.04,10.0,2024,149
3.0,7:25,4.0,5.0,DAL 35,21.0,6.0,"Bryan Anger punts 53 yards, returned by Cooper DeJean for 5 yards (tackle by Damone Clark)",-1.04,0.06,10.0,2024,149
3.0,7:13,1.0,10.0,PHI 17,21.0,6.0,Jalen Hurts pass complete deep right to A.J. Brown for 44 yards (tackle by Caelen Carson),-0.06,2.98,10.0,2024,149
3.0,6:28,1.0,10.0,DAL 39,21.0,6.0,Saquon Barkley up the middle for 8 yards (tackle by Linval Joseph and Eric Kendricks),2.98,3.52,10.0,2024,149
3.0,5:45,2.0,2.0,DAL 31,21.0,6.0,Saquon Barkley left guard for 11 yards (tackle by Malik Hooker and Jourdan Lewis),3.52,4.24,10.0,2024,149
3.0,5:05,1.0,10.0,DAL 20,21.0,6.0,Saquon Barkley left tackle for 2 yards (tackle by Marist Liufau),4.24,3.96,10.0,2024,149
3.0,4:24,2.0,8.0,DAL 18,21.0,6.0,Saquon Barkley right end for 9 yards (tackle by Donovan Wilson),3.96,5.14,10.0,2024,149
3.0,3:44,1.0,9.0,DAL 9,21.0,6.0,Kenneth Gainwell left end for 1 yard (tackle by Chauncey Golston),5.14,4.57,10.0,2024,149
3.0,3:02,2.0,8.0,DAL 8,27.0,6.0,"Jalen Hurts left guard for 8 yards, touchdown",4.57,7.0,10.0,2024,149
3.0,2:56,,,DAL 15,28.0,6.0,Jake Elliott kicks extra point good,0.0,0.0,10.0,2024,149
3.0,2:56,,,PHI 35,28.0,6.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,149
3.0,2:56,1.0,10.0,DAL 30,28.0,6.0,Trey Lance right guard for 4 yards (tackle by Josh Sweat),0.94,0.93,10.0,2024,149
3.0,2:22,2.0,6.0,DAL 34,28.0,6.0,"Rico Dowdle up the middle for no gain (tackle by Nakobe Dean). Penalty on Cooper Beebe: Offensive Holding, 10 yards (accepted) (no play)",0.93,-0.42,10.0,2024,149
3.0,1:55,2.0,16.0,DAL 24,28.0,6.0,Cooper Rush pass complete short left to CeeDee Lamb for 2 yards (tackle by Cooper DeJean),-0.42,-0.82,10.0,2024,149
3.0,1:20,3.0,14.0,DAL 26,28.0,6.0,"Cooper Rush pass incomplete deep left intended for Jalen Brooks. Penalty on Moro Ojomo: Defensive Offside, 5 yards (accepted) (no play)",-0.82,-0.16,10.0,2024,149
3.0,1:14,3.0,9.0,DAL 31,28.0,6.0,"Cooper Rush sacked by Bryce Huff for -10 yards. Cooper Rush fumbles (forced by Bryce Huff), recovered by Zack Baun at DAL-21",-0.16,-4.17,10.0,2024,149
3.0,1:03,1.0,10.0,DAL 21,28.0,6.0,Jalen Hurts pass complete short middle to Ainias Smith for 1 yard (tackle by Donovan Wilson),4.17,3.76,10.0,2024,149
3.0,0:26,2.0,9.0,DAL 20,28.0,6.0,Kenneth Gainwell left tackle for -1 yards (tackle by Mazi Smith),3.76,2.94,10.0,2024,149
4.0,15:00,3.0,10.0,DAL 21,28.0,6.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,2.94,2.06,10.0,2024,149
4.0,14:54,4.0,10.0,DAL 21,31.0,6.0,Jake Elliott 39 yard field goal good,2.06,3.0,10.0,2024,149
4.0,14:50,,,PHI 35,31.0,6.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,149
4.0,14:50,1.0,10.0,DAL 30,31.0,6.0,Trey Lance sacked by and Brandon Graham for -6 yards and Jalen Carter for -6 yards,0.94,-0.42,10.0,2024,149
4.0,14:21,2.0,16.0,DAL 24,31.0,6.0,Rico Dowdle up the middle for 2 yards (tackle by Oren Burks),-0.42,-0.82,10.0,2024,149
4.0,13:47,3.0,14.0,DAL 26,31.0,6.0,Trey Lance pass complete short right to Jake Ferguson for 10 yards (tackle by Cooper DeJean),-0.82,-0.98,10.0,2024,149
4.0,13:12,4.0,4.0,DAL 36,31.0,6.0,Trey Lance pass complete short right to CeeDee Lamb for 6 yards (tackle by Isaiah Rodgers),-0.98,1.73,10.0,2024,149
4.0,12:51,1.0,10.0,DAL 42,31.0,6.0,"Trey Lance pass complete short right to Jake Ferguson for 1 yard. Jake Ferguson fumbles (forced by Zack Baun), recovered by Reed Blankenship at DAL-45 and returned for 16 yards (tackle by Trey Lance) Replay Assistant challenged the fumble ruling, and the play was upheld.",1.73,-3.64,10.0,2024,149
4.0,12:42,1.0,10.0,DAL 29,31.0,6.0,Kenneth Gainwell left tackle for 2 yards (tackle by Carlos Watkins and Tyrus Wheat),3.64,3.37,10.0,2024,149
4.0,12:00,2.0,8.0,DAL 27,31.0,6.0,Kenny Pickett pass complete short right to Ainias Smith for 5 yards (tackle by Israel Mukuamu),3.37,3.34,10.0,2024,149
4.0,11:16,3.0,3.0,DAL 22,31.0,6.0,Kenneth Gainwell right guard for 2 yards (tackle by Tyrus Wheat),3.34,2.27,10.0,2024,149
4.0,10:36,4.0,1.0,DAL 20,34.0,6.0,Jake Elliott 38 yard field goal good,2.27,3.0,10.0,2024,149
4.0,10:32,,,PHI 35,34.0,6.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,149
4.0,10:32,1.0,10.0,DAL 30,34.0,6.0,Trey Lance right end for 11 yards (tackle by Jeremiah Trotter),0.94,1.66,10.0,2024,149
4.0,10:01,1.0,10.0,DAL 41,34.0,6.0,Trey Lance pass deep right intended for Jalen Tolbert is intercepted by C.J. Gardner-Johnson at PHI-26 and returned for no gain (tackle by Jalen Tolbert),1.66,-0.67,10.0,2024,149
4.0,9:53,1.0,10.0,PHI 26,34.0,6.0,Will Shipley left tackle for 3 yards (tackle by Chauncey Golston),0.67,0.54,10.0,2024,149
4.0,9:06,,,,,,Timeout #1 by Philadelphia Eagles,,,10.0,2024,149
4.0,9:06,2.0,7.0,PHI 29,34.0,6.0,Will Shipley right tackle for 3 yards (tackle by Carlos Watkins),0.54,0.23,10.0,2024,149
4.0,8:21,3.0,4.0,PHI 32,34.0,6.0,Kenny Pickett pass incomplete short left intended for Grant Calcaterra,0.23,-1.24,10.0,2024,149
4.0,8:17,4.0,4.0,PHI 32,34.0,6.0,Braden Mann punts 47 yards out of bounds,-1.24,-0.34,10.0,2024,149
4.0,8:07,1.0,10.0,DAL 21,34.0,6.0,Ezekiel Elliott left tackle for 5 yards (tackle by Jalyx Hunt),0.34,0.48,10.0,2024,149
4.0,7:36,2.0,5.0,DAL 26,34.0,6.0,Ezekiel Elliott up the middle for 4 yards (tackle by C.J. Gardner-Johnson and Nolan Smith),0.48,0.3,10.0,2024,149
4.0,6:59,3.0,1.0,DAL 30,34.0,6.0,Trey Lance up the middle for 2 yards (tackle by Oren Burks),0.3,1.07,10.0,2024,149
4.0,6:23,1.0,10.0,DAL 32,34.0,6.0,Trey Lance pass complete short middle to Jalen Brooks for 4 yards (tackle by Isaiah Rodgers),1.07,1.07,10.0,2024,149
4.0,5:50,2.0,6.0,DAL 36,34.0,6.0,Trey Lance pass incomplete short left intended for Luke Schoonmaker,1.07,0.37,10.0,2024,149
4.0,5:45,3.0,6.0,DAL 36,34.0,6.0,Trey Lance sacked by Milton Williams for -1 yards,0.37,-1.04,10.0,2024,149
4.0,5:10,4.0,7.0,DAL 35,34.0,6.0,"Bryan Anger punts 44 yards, fair catch by Cooper DeJean at PHI-21",-1.04,-0.34,10.0,2024,149
4.0,5:03,1.0,10.0,PHI 21,34.0,6.0,Will Shipley up the middle for 9 yards (tackle by Marist Liufau),0.34,1.02,10.0,2024,149
4.0,4:18,2.0,1.0,PHI 30,34.0,6.0,Will Shipley left tackle for 1 yard (tackle by Carlos Watkins),1.02,1.0,10.0,2024,149
4.0,3:32,1.0,10.0,PHI 31,34.0,6.0,Will Shipley right guard for 6 yards (tackle by Marist Liufau),1.0,1.27,10.0,2024,149
4.0,2:50,2.0,4.0,PHI 37,34.0,6.0,"Will Shipley left tackle for 3 yards (tackle by Chauncey Golston and Mazi Smith). Penalty on Marist Liufau: Face Mask (15 Yards), 15 yards (accepted)",1.27,2.59,10.0,2024,149
4.0,2:41,1.0,10.0,DAL 45,34.0,6.0,Will Shipley up the middle for no gain (tackle by Nick Vigil),2.59,2.04,10.0,2024,149
4.0,2:00,2.0,10.0,DAL 45,34.0,6.0,Will Shipley left guard for 7 yards (tackle by Josh Butler and Markquese Bell),2.04,2.28,10.0,2024,149
4.0,1:18,3.0,3.0,DAL 38,34.0,6.0,Will Shipley right guard for 2 yards (tackle by Nick Vigil and Linval Joseph),2.28,0.89,10.0,2024,149
