Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA,week,year,game_id
1,6:37,1.0,10.0,NYG 42,0.0,7.0,Devin Singletary left tackle for 2 yards (tackle by A'Shawn Robinson),1.73,1.46,10.0,2024,140
1,5:59,2.0,8.0,NYG 44,0.0,7.0,Daniel Jones pass incomplete short middle,1.46,0.76,10.0,2024,140
1,5:52,3.0,8.0,NYG 44,0.0,7.0,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson (defended by Michael Jackson),0.76,-0.46,10.0,2024,140
1,5:48,4.0,8.0,NYG 44,0.0,7.0,"Penalty on DJ Johnson: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.46,-0.13,10.0,2024,140
1,5:48,4.0,3.0,NYG 49,0.0,7.0,"Jamie Gillan punts 42 yards, recovered by Raheem Blackshear at CAR-9",-0.13,0.38,10.0,2024,140
1,5:39,1.0,10.0,CAR 9,0.0,7.0,Chuba Hubbard up the middle for 4 yards (tackle by Bobby Okereke),-0.38,-0.48,10.0,2024,140
1,5:03,2.0,6.0,CAR 13,0.0,7.0,Bryce Young pass complete deep middle to Jalen Coker for 24 yards (tackle by Micah McFadden),-0.48,1.4,10.0,2024,140
1,4:21,1.0,10.0,CAR 37,0.0,7.0,Chuba Hubbard left guard for 15 yards (tackle by Bobby Okereke and Dane Belton),1.4,2.39,10.0,2024,140
1,3:43,1.0,10.0,NYG 48,0.0,7.0,Bryce Young pass complete short middle to Jalen Coker for 8 yards (tackle by Deonte Banks),2.39,2.93,10.0,2024,140
1,3:06,2.0,2.0,NYG 40,0.0,7.0,Chuba Hubbard right guard for 1 yard (tackle by Andru Phillips and Brian Burns),2.93,2.34,10.0,2024,140
1,2:24,3.0,1.0,NYG 39,0.0,7.0,Chuba Hubbard left guard for 2 yards (tackle by Rakeem Nunez-Roches and Cordale Flott),2.34,3.12,10.0,2024,140
1,1:45,1.0,10.0,NYG 37,0.0,7.0,Bryce Young pass complete short right to Ian Thomas for 3 yards (tackle by Andru Phillips),3.12,2.98,10.0,2024,140
1,1:08,2.0,7.0,NYG 34,0.0,7.0,Miles Sanders left guard for 4 yards (tackle by Armon Watts),2.98,2.81,10.0,2024,140
1,0:28,3.0,3.0,NYG 30,0.0,7.0,"Penalty on Cade Mays: False Start, 5 yards (accepted) (no play)",2.81,2.15,10.0,2024,140
1,0:03,3.0,8.0,NYG 35,0.0,7.0,Bryce Young pass incomplete short right intended for Jalen Coker,2.15,0.97,10.0,2024,140
2,15:00,4.0,8.0,NYG 35,0.0,10.0,Eddy Piñeiro 53 yard field goal good,0.97,3.0,10.0,2024,140
2,14:55,,,CAR 35,0.0,10.0,"Eddy Piñeiro kicks off 25 yards,. Penalty on Eddy Piñeiro: Kickoff Short of Landing Zone (accepted)",0.0,1.6,10.0,2024,140
2,14:55,1.0,10.0,NYG 40,0.0,10.0,Daniel Jones pass incomplete short right,1.6,1.05,10.0,2024,140
2,14:47,2.0,10.0,NYG 40,0.0,10.0,Daniel Jones right tackle for 10 yards (tackle by Trevin Wallace and Xavier Woods),1.05,2.26,10.0,2024,140
2,14:04,1.0,10.0,CAR 50,0.0,10.0,Daniel Jones pass complete deep middle to Jalin Hyatt for 19 yards (tackle by Michael Jackson),2.26,3.51,10.0,2024,140
2,13:23,1.0,10.0,CAR 31,0.0,10.0,Daniel Jones pass incomplete short left intended for Malik Nabers (defended by Jaycee Horn),3.51,2.97,10.0,2024,140
2,13:14,2.0,10.0,CAR 31,0.0,10.0,Tyrone Tracy right tackle for -2 yards (tackle by D.J. Wonnum and Josey Jewell),2.97,2.02,10.0,2024,140
2,12:30,3.0,12.0,CAR 33,0.0,10.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 8 yards (tackle by Caleb Farley),2.02,1.88,10.0,2024,140
2,11:49,4.0,4.0,CAR 25,0.0,10.0,Graham Gano 43 yard field goal no good,1.88,-1.14,10.0,2024,140
2,11:44,1.0,10.0,CAR 33,0.0,10.0,Miles Sanders left end for 1 yard (tackle by Micah McFadden),1.14,0.73,10.0,2024,140
2,11:20,2.0,9.0,CAR 34,0.0,10.0,Chuba Hubbard up the middle for -1 yards (tackle by Tyler Nubin),0.73,-0.1,10.0,2024,140
2,10:44,3.0,10.0,CAR 33,0.0,10.0,Bryce Young pass incomplete short left intended for David Moore,-0.1,-1.18,10.0,2024,140
2,10:33,4.0,10.0,CAR 33,0.0,10.0,"Johnny Hekker punts 43 yards, fair catch by Ihmir Smith-Marsette at NYG-24",-1.18,-0.54,10.0,2024,140
2,10:26,1.0,10.0,NYG 24,0.0,10.0,"Penalty on Feleipe Franks: Unnecessary Roughness / Defense, 15 yards (offset) Penalty on Ihmir Smith-Marsette: Unsportsmanlike Conduct / Offense, 15 yards (offset) (no play)",0.54,0.54,10.0,2024,140
2,10:26,1.0,10.0,NYG 24,0.0,10.0,Tyrone Tracy right tackle for 5 yards (tackle by Jonathan Harris and Cam Gill),0.54,0.67,10.0,2024,140
2,9:48,2.0,5.0,NYG 29,0.0,10.0,Tyrone Tracy left guard for 11 yards (tackle by Trevin Wallace and DJ Johnson),0.67,1.6,10.0,2024,140
2,9:12,1.0,10.0,NYG 40,0.0,10.0,Tyrone Tracy up the middle for 5 yards (tackle by DJ Johnson and Xavier Woods),1.6,1.73,10.0,2024,140
2,8:34,2.0,5.0,NYG 45,0.0,10.0,Daniel Jones pass complete short left to Malik Nabers for 4 yards (tackle by Xavier Woods and Trevin Wallace),1.73,1.55,10.0,2024,140
2,7:56,3.0,1.0,NYG 49,0.0,10.0,Daniel Jones sacked by D.J. Wonnum for -8 yards,1.55,-0.65,10.0,2024,140
2,7:15,4.0,9.0,NYG 41,0.0,10.0,"Jamie Gillan punts 46 yards, returned by David Moore for 6 yards (tackle by Matthew Adams). Penalty on Sam Franklin: Offensive Holding, 9 yards (accepted)",-0.65,0.38,10.0,2024,140
2,7:00,1.0,10.0,CAR 10,0.0,10.0,Bryce Young pass complete short left to Chuba Hubbard for 1 yard (tackle by Andru Phillips),-0.38,-0.71,10.0,2024,140
2,6:26,2.0,9.0,CAR 11,0.0,10.0,Bryce Young pass complete short left to David Moore for 5 yards (tackle by Cordale Flott),-0.71,-0.72,10.0,2024,140
2,5:47,3.0,4.0,CAR 16,0.0,10.0,Bryce Young pass incomplete deep left intended for Jalen Coker,-0.72,-2.39,10.0,2024,140
2,5:36,4.0,4.0,CAR 16,0.0,10.0,"Johnny Hekker punts 55 yards, returned by Ihmir Smith-Marsette for 7 yards (tackle by Claudin Cherelus)",-2.39,-1.33,10.0,2024,140
2,5:25,1.0,10.0,NYG 36,0.0,10.0,Daniel Jones pass complete short right to Malik Nabers for 8 yards (tackle by Trevin Wallace and LaBryan Ray),1.33,1.87,10.0,2024,140
2,4:35,2.0,2.0,NYG 44,0.0,10.0,Devin Singletary right tackle for 4 yards (tackle by Shy Tuttle),1.87,2.13,10.0,2024,140
2,4:01,1.0,10.0,NYG 48,0.0,10.0,Daniel Jones pass incomplete short right intended for Malik Nabers,2.13,1.58,10.0,2024,140
2,3:54,2.0,10.0,NYG 48,0.0,10.0,Tyrone Tracy up the middle for 3 yards (tackle by Jadeveon Clowney),1.58,1.29,10.0,2024,140
2,3:16,3.0,7.0,CAR 49,0.0,10.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 12 yards (tackle by Dane Jackson),1.29,3.12,10.0,2024,140
2,2:43,1.0,10.0,CAR 37,0.0,10.0,Tyrone Tracy right tackle for 19 yards (tackle by Jordan Fuller),3.12,4.37,10.0,2024,140
2,2:00,1.0,10.0,CAR 18,0.0,10.0,Tyrone Tracy right tackle for -3 yards (tackle by Jadeveon Clowney and Josey Jewell),4.37,3.42,10.0,2024,140
2,1:54,,,,,,Timeout #1 by Carolina Panthers,,,10.0,2024,140
2,1:54,2.0,13.0,CAR 21,0.0,10.0,Daniel Jones pass short right (defended by Jadeveon Clowney) intended for Theo Johnson is intercepted by Xavier Woods at CAR-22 and returned for 4 yards (tackle by Daniel Jones),3.42,-0.67,10.0,2024,140
2,1:48,1.0,10.0,CAR 26,0.0,10.0,Chuba Hubbard left guard for 7 yards (tackle by Bobby Okereke and Tyler Nubin),0.67,1.07,10.0,2024,140
2,1:28,2.0,3.0,CAR 33,0.0,10.0,Chuba Hubbard left guard for 4 yards (tackle by Tyler Nubin),1.07,1.4,10.0,2024,140
2,1:07,1.0,10.0,CAR 37,0.0,10.0,Bryce Young pass complete short middle to Chuba Hubbard for 10 yards (tackle by Tyler Nubin and Bobby Okereke),1.4,2.06,10.0,2024,140
2,0:47,1.0,10.0,CAR 47,0.0,10.0,Bryce Young pass incomplete short left intended for David Moore,2.06,1.52,10.0,2024,140
2,0:40,2.0,10.0,CAR 47,0.0,10.0,Bryce Young scrambles left end for 6 yards (tackle by Bobby Okereke),1.52,1.62,10.0,2024,140
2,0:30,,,,,,Timeout #2 by Carolina Panthers,,,10.0,2024,140
2,0:30,3.0,4.0,NYG 47,0.0,10.0,Bryce Young pass incomplete short left intended for Chuba Hubbard,1.62,0.13,10.0,2024,140
2,0:27,,,,,,Timeout #1 by New York Giants,,,10.0,2024,140
2,0:27,4.0,4.0,NYG 47,0.0,10.0,"Penalty on Bryce Young: Delay of Game, 5 yards (accepted) (no play)",0.13,-0.19,10.0,2024,140
2,0:27,4.0,9.0,CAR 48,0.0,10.0,Johnny Hekker punts 43 yards downed by J.J. Jansen,-0.19,0.38,10.0,2024,140
2,0:18,1.0,10.0,NYG 9,0.0,10.0,Daniel Jones kneels for -1 yards,-0.38,-0.85,10.0,2024,140
3,15:00,,,CAR 35,0.0,10.0,"Eddy Piñeiro kicks off no gain, returned by Eric Gray for no gain (tackle by Claudin Cherelus). Penalty on Lonnie Johnson: Illegal Formation, 5 yards (offset) . Penalty on Tomon Fox: Offensive Illegal Block Above the Waist, 15 yards (offset) (no play)",0.0,0.0,10.0,2024,140
3,14:55,,,CAR 35,0.0,10.0,"Eddy Piñeiro kicks off 60 yards, returned by Eric Gray for 30 yards (tackle by Raheem Blackshear and Jon Rhattigan)",0.0,1.27,10.0,2024,140
3,14:49,1.0,10.0,NYG 35,0.0,10.0,Tyrone Tracy right guard for 8 yards (tackle by Shy Tuttle and Jaycee Horn),1.27,1.8,10.0,2024,140
3,14:10,2.0,2.0,NYG 43,0.0,10.0,Tyrone Tracy right guard for no gain (tackle by DJ Johnson and Jordan Fuller),1.8,1.09,10.0,2024,140
3,13:42,3.0,2.0,NYG 43,0.0,10.0,Tyrone Tracy left guard for 4 yards (tackle by A'Shawn Robinson and Jordan Fuller),1.09,2.06,10.0,2024,140
3,13:02,1.0,10.0,NYG 47,0.0,10.0,Daniel Jones pass complete short middle to Isaiah Hodgins for 7 yards (tackle by Josey Jewell),2.06,2.46,10.0,2024,140
3,12:18,2.0,3.0,CAR 46,0.0,10.0,Devin Singletary left guard for 2 yards (tackle by Shy Tuttle and Cam Gill),2.46,2.02,10.0,2024,140
3,11:46,3.0,1.0,CAR 44,0.0,10.0,Daniel Jones up the middle for 1 yard (tackle by Trevin Wallace and Jordan Fuller),2.02,2.72,10.0,2024,140
3,11:06,1.0,10.0,CAR 43,0.0,10.0,Daniel Jones pass complete short middle to Devin Singletary for 5 yards (tackle by Trevin Wallace),2.72,2.85,10.0,2024,140
3,10:21,2.0,5.0,CAR 38,0.0,10.0,Devin Singletary right guard for 1 yard (tackle by A'Shawn Robinson and LaBryan Ray),2.85,2.28,10.0,2024,140
3,9:48,3.0,4.0,CAR 37,0.0,10.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 5 yards (tackle by Dane Jackson),2.28,3.45,10.0,2024,140
3,9:03,1.0,10.0,CAR 32,6.0,10.0,"Tyrone Tracy left tackle for 32 yards, touchdown",3.45,7.0,10.0,2024,140
3,8:54,,,CAR 15,7.0,10.0,Graham Gano kicks extra point good,0.0,0.0,10.0,2024,140
3,8:54,,,NYG 35,7.0,10.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.28,10.0,2024,140
3,8:54,1.0,10.0,CAR 20,7.0,10.0,Chuba Hubbard right tackle for 4 yards (tackle by Bobby Okereke and Rakeem Nunez-Roches),0.28,0.27,10.0,2024,140
3,8:27,2.0,6.0,CAR 24,7.0,10.0,Chuba Hubbard right tackle for 5 yards (tackle by Bobby Okereke and Rakeem Nunez-Roches),0.27,0.23,10.0,2024,140
3,7:45,3.0,1.0,CAR 29,7.0,10.0,Chuba Hubbard left guard for 25 yards (tackle by Brian Burns),0.23,2.52,10.0,2024,140
3,7:13,1.0,10.0,NYG 46,7.0,10.0,Bryce Young scrambles left end for 24 yards (tackle by Bobby Okereke),2.52,4.11,10.0,2024,140
3,6:26,1.0,10.0,NYG 22,7.0,10.0,"Chuba Hubbard right tackle for 1 yard (tackle by Brian Burns and D.J. Davidson). Penalty on D.J. Davidson: Defensive Holding, 5 yards (accepted)",4.11,4.51,10.0,2024,140
3,6:05,1.0,10.0,NYG 16,7.0,10.0,Chuba Hubbard right tackle for 9 yards (tackle by Tyler Nubin),4.51,5.54,10.0,2024,140
3,5:16,2.0,1.0,NYG 7,7.0,10.0,"Bryce Young pass complete short middle to David Moore for no gain, touchdown. Penalty on Chandler Zavala: Illegal Shift, 5 yards (accepted) (no play)",5.54,4.57,10.0,2024,140
3,5:11,2.0,6.0,NYG 12,7.0,10.0,"Penalty on Robert Hunt: False Start, 5 yards (accepted) (no play)",4.57,3.77,10.0,2024,140
3,5:11,2.0,11.0,NYG 17,7.0,10.0,Bryce Young pass complete short right to David Moore for 13 yards (tackle by Deonte Banks),3.77,6.28,10.0,2024,140
3,4:47,1.0,4.0,NYG 4,7.0,10.0,Bryce Young pass complete short right to Ja'Tavion Sanders for 3 yards (tackle by Tyler Nubin),6.28,5.91,10.0,2024,140
3,4:26,2.0,1.0,NYG 1,7.0,10.0,Chuba Hubbard left guard for no gain (tackle by Micah McFadden and Dexter Lawrence),5.91,5.17,10.0,2024,140
3,3:37,3.0,1.0,NYG 1,7.0,16.0,"Chuba Hubbard left guard for 1 yard, touchdown",5.17,7.0,10.0,2024,140
3,3:33,,,NYG 15,7.0,17.0,Eddy Piñeiro kicks extra point good,0.0,0.0,10.0,2024,140
3,3:33,,,CAR 35,7.0,17.0,"Eddy Piñeiro kicks off 65 yards, returned by Eric Gray for 26 yards (tackle by Lonnie Johnson)",0.0,0.67,10.0,2024,140
3,3:29,1.0,10.0,NYG 26,7.0,17.0,Devin Singletary up the middle for 2 yards (tackle by A'Shawn Robinson),0.67,0.4,10.0,2024,140
3,2:45,2.0,8.0,NYG 28,7.0,17.0,Daniel Jones right end for 3 yards (tackle by Trevin Wallace and DJ Johnson),0.4,0.1,10.0,2024,140
3,2:25,3.0,5.0,NYG 31,7.0,17.0,Daniel Jones sacked by A'Shawn Robinson for -7 yards,0.1,-1.77,10.0,2024,140
3,1:50,4.0,12.0,NYG 24,7.0,17.0,"Jamie Gillan punts 42 yards, returned by Raheem Blackshear for 13 yards (tackle by Ty Summers and Dane Belton)",-1.77,-2.06,10.0,2024,140
3,1:32,1.0,10.0,CAR 47,7.0,17.0,Bryce Young pass incomplete short left intended for Jalen Coker,2.06,1.52,10.0,2024,140
3,1:27,2.0,10.0,CAR 47,7.0,17.0,Bryce Young pass incomplete short left intended for Xavier Legette,1.52,0.83,10.0,2024,140
3,1:24,3.0,10.0,CAR 47,7.0,17.0,Bryce Young pass complete short left to Chuba Hubbard for 3 yards (tackle by Tyler Nubin),0.83,-0.06,10.0,2024,140
3,0:44,4.0,7.0,CAR 50,7.0,17.0,Johnny Hekker punts 46 yards downed by Sam Franklin,-0.06,0.38,10.0,2024,140
3,0:31,1.0,10.0,NYG 4,7.0,17.0,Tyrone Tracy up the middle for 1 yard (tackle by Shy Tuttle and Jaycee Horn),-0.38,-0.71,10.0,2024,140
4,15:00,2.0,9.0,NYG 5,7.0,17.0,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson (defended by Josey Jewell),-0.71,-1.3,10.0,2024,140
4,14:55,3.0,9.0,NYG 5,7.0,17.0,Daniel Jones pass complete short right to Theo Johnson for 10 yards (tackle by Dane Jackson),-1.3,-0.22,10.0,2024,140
4,14:20,1.0,10.0,NYG 15,7.0,17.0,Tyrone Tracy left tackle for 1 yard (tackle by Shy Tuttle),-0.22,-0.58,10.0,2024,140
4,13:43,2.0,9.0,NYG 16,7.0,17.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 23 yards (tackle by Dane Jackson),-0.58,1.53,10.0,2024,140
4,13:03,1.0,10.0,NYG 39,7.0,17.0,Daniel Jones pass complete deep middle to Malik Nabers for 19 yards (tackle by Michael Jackson),1.53,2.79,10.0,2024,140
4,12:44,1.0,10.0,CAR 42,7.0,17.0,Devin Singletary left guard for 14 yards (tackle by D.J. Wonnum and Xavier Woods),2.79,3.71,10.0,2024,140
4,12:15,1.0,10.0,CAR 28,7.0,17.0,Devin Singletary left end for 6 yards (tackle by D.J. Wonnum),3.71,3.98,10.0,2024,140
4,11:29,2.0,4.0,CAR 22,7.0,17.0,"Daniel Jones pass complete short left to Tyrone Tracy for 1 yard. Tyrone Tracy fumbles, ball out of bounds at CAR-21 (forced by D.J. Wonnum). Tyrone Tracy fumbles out of bounds",3.98,3.4,10.0,2024,140
4,10:59,3.0,3.0,CAR 21,7.0,17.0,Daniel Jones scrambles right end for 8 yards (tackle by Xavier Woods),3.4,4.71,10.0,2024,140
4,10:19,1.0,10.0,CAR 13,7.0,17.0,Daniel Jones right end for 3 yards (tackle by Jadeveon Clowney),4.71,4.58,10.0,2024,140
4,9:36,2.0,7.0,CAR 10,7.0,17.0,Tyrone Tracy right guard for 8 yards (tackle by Jordan Fuller and Cam Gill),4.58,6.74,10.0,2024,140
4,8:39,1.0,2.0,CAR 2,13.0,17.0,"Daniel Jones left end for 2 yards, touchdown",6.74,7.0,10.0,2024,140
4,8:33,,,CAR 15,14.0,17.0,Graham Gano kicks extra point good,0.0,0.0,10.0,2024,140
4,8:33,,,NYG 35,14.0,17.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,140
4,8:33,1.0,10.0,CAR 30,14.0,17.0,"Chuba Hubbard left end for no gain (tackle by Micah McFadden and Andru Phillips). Penalty on Jalen Coker: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,10.0,2024,140
4,8:18,1.0,20.0,CAR 20,14.0,17.0,"Bryce Young pass complete short left to Chuba Hubbard for 2 yards. Chuba Hubbard fumbles (forced by Andru Phillips), recovered by D.J. Davidson at CAR-22 (tackle by Andru Phillips). Penalty on Damien Lewis: Illegal Use of Hands / Offense, 5 yards (declined)",0.28,-4.11,10.0,2024,140
4,8:01,1.0,10.0,CAR 22,14.0,17.0,Daniel Jones pass complete short middle to Theo Johnson for 11 yards (tackle by Xavier Woods),4.11,4.84,10.0,2024,140
4,7:31,1.0,10.0,CAR 11,14.0,17.0,Tyrone Tracy left guard for 5 yards (tackle by Josey Jewell and Jadeveon Clowney),4.84,5.08,10.0,2024,140
4,6:58,2.0,5.0,CAR 6,14.0,17.0,Malik Nabers left end for -2 yards (tackle by Josey Jewell and Xavier Woods),5.08,3.76,10.0,2024,140
4,6:13,3.0,7.0,CAR 8,14.0,17.0,Daniel Jones pass short left intended for Tyrone Tracy is intercepted by Josey Jewell at CAR-9 and returned for no gain (tackle by Tyrone Tracy),3.76,0.38,10.0,2024,140
4,5:56,1.0,10.0,CAR 9,14.0,17.0,Chuba Hubbard left guard for 6 yards (tackle by Micah McFadden and Azeez Ojulari),-0.38,-0.28,10.0,2024,140
4,5:26,2.0,4.0,CAR 15,14.0,17.0,Chuba Hubbard right guard for 2 yards (tackle by Brian Burns and Bobby Okereke),-0.28,-0.48,10.0,2024,140
4,4:52,3.0,2.0,CAR 17,14.0,17.0,Bryce Young pass incomplete deep left intended for Jalen Coker,-0.48,-2.32,10.0,2024,140
4,4:40,4.0,2.0,CAR 17,14.0,17.0,"Johnny Hekker punts 54 yards, returned by Ihmir Smith-Marsette for 10 yards (tackle by Jon Rhattigan)",-2.32,-1.53,10.0,2024,140
4,4:29,1.0,10.0,NYG 39,14.0,17.0,Tyrone Tracy left tackle for 6 yards (tackle by Jaycee Horn),1.53,1.8,10.0,2024,140
4,4:01,2.0,4.0,NYG 45,14.0,17.0,"Tyrone Tracy left tackle for no gain (tackle by D.J. Wonnum). Penalty on Wan'Dale Robinson: Offensive Offside, 5 yards (accepted) (no play)",1.8,1.12,10.0,2024,140
4,3:47,2.0,9.0,NYG 40,14.0,17.0,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson,1.12,0.43,10.0,2024,140
4,3:40,3.0,9.0,NYG 40,14.0,17.0,Daniel Jones pass incomplete short middle intended for Theo Johnson,0.43,-0.72,10.0,2024,140
4,3:34,4.0,9.0,NYG 40,14.0,17.0,"Jamie Gillan punts 41 yards, fair catch by David Moore at CAR-19",-0.72,-0.15,10.0,2024,140
4,3:27,1.0,10.0,CAR 19,14.0,17.0,Chuba Hubbard up the middle for 3 yards (tackle by Tyler Nubin),0.15,0.07,10.0,2024,140
4,2:56,2.0,7.0,CAR 22,14.0,17.0,Chuba Hubbard left guard for -1 yards (tackle by Dexter Lawrence),0.07,-0.81,10.0,2024,140
4,2:42,,,,,,Timeout #1 by New York Giants,,,10.0,2024,140
4,2:42,3.0,8.0,CAR 21,14.0,17.0,Bryce Young pass complete short right to Xavier Legette for 11 yards (tackle by Dane Belton),-0.81,1.07,10.0,2024,140
4,2:34,1.0,10.0,CAR 32,14.0,17.0,Chuba Hubbard right tackle for -2 yards (tackle by Brian Burns),1.07,0.26,10.0,2024,140
4,2:31,,,,,,Timeout #2 by New York Giants,,,10.0,2024,140
4,2:31,2.0,12.0,CAR 30,14.0,17.0,Chuba Hubbard left guard for 2 yards (tackle by Tyler Nubin),0.26,-0.16,10.0,2024,140
4,2:28,,,,,,Timeout #3 by New York Giants,,,10.0,2024,140
4,2:28,3.0,10.0,CAR 32,14.0,17.0,Bryce Young pass incomplete short left intended for Chuba Hubbard,-0.16,-1.24,10.0,2024,140
4,2:26,4.0,10.0,CAR 32,14.0,17.0,"Johnny Hekker punts 47 yards, fair catch by Ihmir Smith-Marsette at NYG-21",-1.24,-0.34,10.0,2024,140
4,2:23,1.0,10.0,NYG 21,14.0,17.0,Daniel Jones pass complete short left to Malik Nabers for 4 yards (tackle by Xavier Woods),0.34,0.34,10.0,2024,140
4,2:04,2.0,6.0,NYG 25,14.0,17.0,Daniel Jones pass complete short left to Malik Nabers for 10 yards (tackle by Jaycee Horn),0.34,1.27,10.0,2024,140
4,1:59,1.0,10.0,NYG 35,14.0,17.0,"Daniel Jones pass complete deep left to Malik Nabers for no gain (tackle by Jaycee Horn) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Daniel Jones pass incomplete deep left intended for Malik Nabers",1.27,0.72,10.0,2024,140
4,1:51,2.0,10.0,NYG 35,14.0,17.0,Daniel Jones pass complete short left to Jalin Hyatt for 6 yards (tackle by Jaycee Horn),0.72,0.83,10.0,2024,140
4,1:33,3.0,4.0,NYG 41,14.0,17.0,Daniel Jones pass complete short left to Jalin Hyatt for 5 yards (tackle by Jaycee Horn),0.83,1.99,10.0,2024,140
4,1:23,1.0,10.0,NYG 46,14.0,17.0,Daniel Jones pass complete short middle to Theo Johnson for 13 yards (tackle by Dane Jackson),1.99,2.85,10.0,2024,140
4,1:01,1.0,10.0,CAR 41,14.0,17.0,Daniel Jones pass complete short left to Jalin Hyatt for 9 yards (tackle by Jaycee Horn),2.85,3.52,10.0,2024,140
4,0:45,2.0,1.0,CAR 32,14.0,17.0,Daniel Jones pass complete short right to Malik Nabers for 5 yards (tackle by Caleb Farley),3.52,3.78,10.0,2024,140
4,0:20,1.0,10.0,CAR 27,14.0,17.0,Daniel Jones spiked the ball,3.78,3.23,10.0,2024,140
