Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA,week,year,game_id
2.0,11:36,4.0,2.0,CIN 38,7.0,7.0,"Ryan Rehkow punts 46 yards, fair catch by Tylan Wallace at BAL-16",-0.85,0.14,10.0,2024,139
2.0,11:28,1.0,10.0,BAL 16,7.0,7.0,"Penalty on Ronnie Stanley: False Start, 5 yards (accepted) (no play)",-0.14,-0.54,10.0,2024,139
2.0,11:28,1.0,15.0,BAL 11,7.0,7.0,Lamar Jackson pass complete short left to Zay Flowers for -5 yards (tackle by Cam Taylor-Britt),-0.54,-1.51,10.0,2024,139
2.0,10:47,2.0,20.0,BAL 6,7.0,7.0,Derrick Henry left end for 5 yards (tackle by Joseph Ossai and Jordan Battle),-1.51,-2.01,10.0,2024,139
2.0,10:01,3.0,15.0,BAL 11,7.0,7.0,Lamar Jackson pass complete short right to Zay Flowers for 9 yards (tackle by Jordan Battle),-2.01,-2.03,10.0,2024,139
2.0,9:26,4.0,6.0,BAL 20,7.0,7.0,"Jordan Stout punts 46 yards, returned by Trenton Irwin for -4 yards (tackle by Kristian Welch and Sanoussi Kane)",-2.03,-0.94,10.0,2024,139
2.0,9:14,1.0,10.0,CIN 30,7.0,7.0,Chase Brown right tackle for 3 yards (tackle by Roquan Smith),0.94,0.8,10.0,2024,139
2.0,8:35,2.0,7.0,CIN 33,7.0,7.0,Joe Burrow pass incomplete short left intended for Chase Brown (defended by Kyle Hamilton),0.8,0.1,10.0,2024,139
2.0,8:31,3.0,7.0,CIN 33,7.0,7.0,Joe Burrow scrambles left end for 6 yards (tackle by Roquan Smith and Odafe Oweh),0.1,-0.78,10.0,2024,139
2.0,7:48,4.0,1.0,CIN 39,7.0,7.0,Tanner Hudson up the middle for 1 yard (tackle by Travis Jones and Nnamdi Madubuike),-0.78,1.6,10.0,2024,139
2.0,7:09,1.0,10.0,CIN 40,7.0,7.0,Joe Burrow pass complete short left to Chase Brown for -5 yards (tackle by Marcus Williams and Kyle Van Noy),1.6,0.38,10.0,2024,139
2.0,6:24,2.0,15.0,CIN 35,7.0,7.0,Joe Burrow pass incomplete short right intended for Tanner Hudson,0.38,-0.3,10.0,2024,139
2.0,6:19,3.0,15.0,CIN 35,7.0,7.0,"Joe Burrow sacked by Nnamdi Madubuike for -1 yards. Joe Burrow fumbles, ball out of bounds at CIN-34 (forced by Nnamdi Madubuike). Joe Burrow fumbles out of bounds",-0.3,-1.11,10.0,2024,139
2.0,5:40,4.0,16.0,CIN 34,7.0,7.0,"Ryan Rehkow punts 46 yards, fair catch by Tylan Wallace at BAL-20",-1.11,-0.28,10.0,2024,139
2.0,5:32,1.0,10.0,BAL 20,7.0,7.0,Derrick Henry left end for 1 yard (tackle by Sheldon Rankins),0.28,-0.13,10.0,2024,139
2.0,4:56,2.0,9.0,BAL 21,7.0,7.0,Lamar Jackson pass complete short left to Charlie Kolar for 4 yards (tackle by Logan Wilson),-0.13,-0.3,10.0,2024,139
2.0,4:19,3.0,5.0,BAL 25,7.0,7.0,Lamar Jackson pass incomplete deep left intended for Zay Flowers (defended by DJ Turner),-0.3,-1.7,10.0,2024,139
2.0,4:08,4.0,5.0,BAL 25,7.0,7.0,Jordan Stout punts 48 yards out of bounds,-1.7,-0.74,10.0,2024,139
2.0,4:02,1.0,10.0,CIN 27,7.0,7.0,Chase Brown left guard for no gain (tackle by Kyle Hamilton),0.74,0.2,10.0,2024,139
2.0,3:30,2.0,10.0,CIN 27,7.0,7.0,Joe Burrow pass complete short right to Mike Gesicki for 13 yards (tackle by Marlon Humphrey),0.2,1.6,10.0,2024,139
2.0,2:51,1.0,10.0,CIN 40,7.0,7.0,Chase Brown right tackle for 4 yards (tackle by Roquan Smith),1.6,1.59,10.0,2024,139
2.0,2:10,2.0,6.0,CIN 44,7.0,7.0,Joe Burrow pass complete short left to Tanner Hudson for 7 yards (tackle by Brandon Stephens),1.59,2.32,10.0,2024,139
2.0,2:00,1.0,10.0,BAL 49,7.0,7.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 13 yards (tackle by Brandon Stephens),2.32,3.18,10.0,2024,139
2.0,1:18,1.0,10.0,BAL 36,7.0,7.0,Joe Burrow pass complete short right to Chase Brown for 17 yards (tackle by Roquan Smith),3.18,4.31,10.0,2024,139
2.0,1:09,,,,,,Timeout #3 by Baltimore Ravens,,,10.0,2024,139
2.0,1:09,1.0,10.0,BAL 19,7.0,7.0,"Joe Burrow pass incomplete short right intended for Mike Gesicki (defended by Ar'Darius Washington). Penalty on Odafe Oweh: Defensive Offside, 5 yards (accepted) (no play)",4.31,5.3,10.0,2024,139
2.0,1:05,1.0,5.0,BAL 14,7.0,7.0,"Joe Burrow pass deep left intended for Mike Gesicki is intercepted by Brandon Stephens in end zone and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Joe Burrow pass incomplete short left intended for Mike Gesicki (defended by Brandon Stephens)",5.3,4.53,10.0,2024,139
2.0,1:01,2.0,5.0,BAL 14,7.0,7.0,Joe Burrow sacked by Nnamdi Madubuike for no gain,4.53,3.76,10.0,2024,139
2.0,0:44,,,,,,Timeout #2 by Cincinnati Bengals,,,10.0,2024,139
2.0,0:44,3.0,5.0,BAL 14,7.0,7.0,Joe Burrow pass complete short left to Jermaine Burton for 11 yards (tackle by Brandon Stephens),3.76,6.51,10.0,2024,139
2.0,0:36,,,,,,Timeout #3 by Cincinnati Bengals,,,10.0,2024,139
2.0,0:36,1.0,3.0,BAL 3,13.0,7.0,"Joe Burrow pass complete short middle to Tanner Hudson for 3 yards, touchdown",6.51,7.0,10.0,2024,139
2.0,0:30,,,BAL 15,14.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,10.0,2024,139
2.0,0:30,,,CIN 35,14.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,139
2.0,0:30,1.0,10.0,BAL 30,14.0,7.0,Lamar Jackson pass complete short right to Mark Andrews for 3 yards,0.94,0.8,10.0,2024,139
2.0,0:26,2.0,7.0,BAL 33,14.0,7.0,Lamar Jackson pass incomplete short middle intended for Nelson Agholor (defended by Akeem Davis-Gaither),0.8,0.1,10.0,2024,139
2.0,0:21,3.0,7.0,BAL 33,14.0,7.0,"Lamar Jackson pass complete short left to Mark Andrews for 14 yards (tackle by Geno Stone). Penalty on Germaine Pratt: Defensive Holding, 5 yards (declined)",0.1,2.06,10.0,2024,139
2.0,0:13,1.0,10.0,BAL 47,14.0,7.0,Lamar Jackson pass complete short middle to Diontae Johnson for 6 yards (tackle by Mike Hilton),2.06,2.33,10.0,2024,139
3.0,15:00,,,CIN 35,14.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,139
3.0,15:00,1.0,10.0,BAL 30,14.0,7.0,"Lamar Jackson scrambles right end for no gain (tackle by Mike Hilton). Penalty on Daniel Faalele: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,10.0,2024,139
3.0,14:43,1.0,20.0,BAL 20,14.0,7.0,Lamar Jackson scrambles right end for 1 yard (tackle by Germaine Pratt),0.28,-0.82,10.0,2024,139
3.0,13:53,2.0,19.0,BAL 21,14.0,7.0,Lamar Jackson pass incomplete deep middle intended for Diontae Johnson,-0.82,-1.48,10.0,2024,139
3.0,13:43,3.0,19.0,BAL 21,14.0,7.0,"Lamar Jackson pass complete short middle to Tylan Wallace for 11 yards (tackle by Logan Wilson). Penalty on Roger Rosengarten: Illegal Formation, 5 yards (declined)",-1.48,-1.24,10.0,2024,139
3.0,13:28,4.0,8.0,BAL 32,14.0,7.0,"Jordan Stout punts 35 yards, fair catch by Trenton Irwin at CIN-33",-1.24,-1.14,10.0,2024,139
3.0,13:21,1.0,10.0,CIN 33,20.0,7.0,"Joe Burrow pass complete deep middle to Ja'Marr Chase for 67 yards, touchdown",1.14,7.0,10.0,2024,139
3.0,13:09,,,BAL 15,21.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,10.0,2024,139
3.0,13:09,,,CIN 35,21.0,7.0,"Evan McPherson kicks off 67 yards, returned by Keaton Mitchell for 30 yards (tackle by Akeem Davis-Gaither)",0.0,0.81,10.0,2024,139
3.0,13:04,1.0,10.0,BAL 28,21.0,7.0,Derrick Henry left tackle for 4 yards (tackle by Jordan Battle and Logan Wilson),0.81,0.8,10.0,2024,139
3.0,12:30,2.0,6.0,BAL 32,21.0,7.0,Derrick Henry left guard for 2 yards (tackle by Logan Wilson and Kris Jenkins),0.8,0.37,10.0,2024,139
3.0,11:52,3.0,4.0,BAL 34,21.0,7.0,Lamar Jackson pass complete short middle to Rashod Bateman for 9 yards (tackle by Germaine Pratt),0.37,1.8,10.0,2024,139
3.0,11:14,1.0,10.0,BAL 43,21.0,7.0,"Lamar Jackson pass complete short right to Zay Flowers for no gain (tackle by McKinnley Jackson). Penalty on Patrick Mekari: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.8,1.47,10.0,2024,139
3.0,10:42,1.0,15.0,BAL 38,21.0,7.0,Lamar Jackson pass incomplete short right,1.47,0.58,10.0,2024,139
3.0,10:36,2.0,15.0,BAL 38,21.0,7.0,Lamar Jackson scrambles up the middle for 4 yards (tackle by Germaine Pratt),0.58,0.43,10.0,2024,139
3.0,9:52,3.0,11.0,BAL 42,21.0,7.0,Lamar Jackson pass complete short left to Justice Hill for -6 yards (tackle by Logan Wilson),0.43,-0.98,10.0,2024,139
3.0,9:09,4.0,17.0,BAL 36,21.0,7.0,"Jordan Stout punts 48 yards, returned by Trenton Irwin for no gain (tackle by Malik Harrison). Penalty on Josh Newton: Defensive Holding, 8 yards (accepted)",-0.98,0.38,10.0,2024,139
3.0,8:58,1.0,10.0,CIN 8,21.0,7.0,Joe Burrow pass complete short right to Tanner Hudson for 4 yards (tackle by Trenton Simpson),-0.38,-0.49,10.0,2024,139
3.0,8:24,2.0,6.0,CIN 12,21.0,7.0,Joe Burrow pass incomplete short left intended for Chase Brown,-0.49,-0.95,10.0,2024,139
3.0,8:16,3.0,6.0,CIN 12,21.0,7.0,Joe Burrow pass complete short right to Tanner Hudson for 10 yards (tackle by Kyle Van Noy),-0.95,0.41,10.0,2024,139
3.0,7:43,1.0,10.0,CIN 22,21.0,7.0,Chase Brown right guard for 5 yards (tackle by Roquan Smith and Trenton Simpson),0.41,0.54,10.0,2024,139
3.0,7:05,2.0,5.0,CIN 27,21.0,7.0,"Chase Brown left guard for 3 yards. Chase Brown fumbles (forced by Marlon Humphrey), recovered by Roquan Smith at CIN-31",0.54,-3.51,10.0,2024,139
3.0,6:58,1.0,10.0,CIN 31,21.0,7.0,Lamar Jackson pass complete short left to Rashod Bateman for 8 yards (tackle by Cam Taylor-Britt),3.51,4.05,10.0,2024,139
3.0,6:22,2.0,2.0,CIN 23,21.0,7.0,Derrick Henry left guard for 11 yards (tackle by Mike Hilton and Vonn Bell),4.05,4.78,10.0,2024,139
3.0,5:48,1.0,10.0,CIN 12,21.0,7.0,Derrick Henry right guard for 1 yard (tackle by Mike Hilton and Logan Wilson),4.78,4.27,10.0,2024,139
3.0,5:12,2.0,9.0,CIN 11,21.0,7.0,Lamar Jackson scrambles right end for 10 yards (tackle by Germaine Pratt and Geno Stone),4.27,6.97,10.0,2024,139
3.0,4:17,1.0,1.0,CIN 1,21.0,13.0,"Derrick Henry left end for 1 yard, touchdown",6.97,7.0,10.0,2024,139
3.0,4:12,,,CIN 15,21.0,14.0,Justin Tucker kicks extra point good,0.0,0.0,10.0,2024,139
3.0,4:12,,,BAL 35,21.0,14.0,"Justin Tucker kicks off 63 yards, returned by Jermaine Burton for 17 yards (tackle by Kristian Welch)",0.0,0.15,10.0,2024,139
3.0,4:06,1.0,10.0,CIN 19,21.0,14.0,Joe Burrow pass complete short right to Chase Brown for 7 yards (tackle by Trenton Simpson and Roquan Smith),0.15,0.61,10.0,2024,139
3.0,3:27,2.0,3.0,CIN 26,21.0,14.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 15 yards (tackle by Ar'Darius Washington),0.61,1.66,10.0,2024,139
3.0,2:47,1.0,10.0,CIN 41,21.0,14.0,Chase Brown left tackle for 1 yard (tackle by Josh Tupou),1.66,1.26,10.0,2024,139
3.0,2:09,2.0,9.0,CIN 42,21.0,14.0,Joe Burrow pass complete short left to Chase Brown for 7 yards (tackle by Trenton Simpson and Brandon Stephens),1.26,1.49,10.0,2024,139
3.0,1:24,3.0,2.0,CIN 49,21.0,14.0,Joe Burrow pass complete short right to Ja'Marr Chase for 17 yards (tackle by Roquan Smith and Marcus Williams),1.49,3.31,10.0,2024,139
3.0,0:40,1.0,10.0,BAL 34,21.0,14.0,Joe Burrow sacked by Nnamdi Madubuike for -6 yards,3.31,1.96,10.0,2024,139
4.0,15:00,2.0,16.0,BAL 40,21.0,14.0,Joe Burrow pass incomplete short left,1.96,1.29,10.0,2024,139
4.0,14:54,3.0,16.0,BAL 40,21.0,14.0,Joe Burrow pass incomplete deep middle intended for Ja'Marr Chase (defended by Nate Wiggins),1.29,0.59,10.0,2024,139
4.0,14:50,4.0,16.0,BAL 40,21.0,14.0,"Ryan Rehkow punts 32 yards, fair catch by Tylan Wallace at BAL-8",0.59,0.38,10.0,2024,139
4.0,14:44,1.0,10.0,BAL 8,21.0,14.0,Lamar Jackson pass complete short left to Rashod Bateman for 5 yards (tackle by Germaine Pratt),-0.38,-0.41,10.0,2024,139
4.0,14:09,2.0,5.0,BAL 13,21.0,14.0,Derrick Henry left end for 3 yards (tackle by Joseph Ossai and Kris Jenkins),-0.41,-0.48,10.0,2024,139
4.0,13:44,3.0,2.0,BAL 16,21.0,20.0,"Lamar Jackson pass complete short left to Tylan Wallace for 84 yards, touchdown Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",-0.48,7.0,10.0,2024,139
4.0,13:30,,,CIN 15,21.0,20.0,Justin Tucker kicks extra point no good,0.0,-1.0,10.0,2024,139
4.0,13:30,,,BAL 35,21.0,20.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,139
4.0,13:30,1.0,10.0,CIN 30,21.0,20.0,Joe Burrow pass complete deep left to Ja'Marr Chase for 17 yards,0.94,2.06,10.0,2024,139
4.0,12:57,1.0,10.0,CIN 47,21.0,20.0,Chase Brown right tackle for 4 yards (tackle by Roquan Smith),2.06,2.06,10.0,2024,139
4.0,12:19,2.0,6.0,BAL 49,21.0,20.0,Joe Burrow pass complete short left to Cam Grandy for no gain (tackle by Tavius Robinson),2.06,1.36,10.0,2024,139
4.0,11:32,3.0,6.0,BAL 49,21.0,20.0,Joe Burrow pass complete short middle to Chase Brown for 7 yards (tackle by Trenton Simpson),1.36,2.79,10.0,2024,139
4.0,10:57,1.0,10.0,BAL 42,21.0,20.0,Joe Burrow pass complete short left to Mike Gesicki for 5 yards (tackle by Ar'Darius Washington),2.79,2.92,10.0,2024,139
4.0,10:23,2.0,5.0,BAL 37,21.0,20.0,Joe Burrow pass complete short middle to Chase Brown for 3 yards (tackle by Arthur Maulet),2.92,2.61,10.0,2024,139
4.0,9:36,3.0,2.0,BAL 34,21.0,20.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,2.61,1.1,10.0,2024,139
4.0,9:29,4.0,2.0,BAL 34,21.0,20.0,Joe Burrow pass incomplete deep left intended for Jermaine Burton,1.1,-1.27,10.0,2024,139
4.0,9:24,1.0,10.0,BAL 35,21.0,20.0,Lamar Jackson pass complete deep left to Tylan Wallace for 20 yards (tackle by DJ Turner),1.27,2.59,10.0,2024,139
4.0,8:49,1.0,10.0,CIN 45,21.0,20.0,Lamar Jackson pass complete short middle to Mark Andrews for 11 yards (tackle by Trey Hendrickson),2.59,3.31,10.0,2024,139
4.0,8:14,1.0,10.0,CIN 34,21.0,20.0,Derrick Henry up the middle for 9 yards (tackle by Jordan Battle and Germaine Pratt),3.31,3.99,10.0,2024,139
4.0,7:45,2.0,1.0,CIN 25,21.0,20.0,Lamar Jackson right end for 6 yards (tackle by Cam Taylor-Britt),3.99,4.31,10.0,2024,139
4.0,7:15,1.0,10.0,CIN 19,21.0,20.0,Lamar Jackson pass complete short right to Derrick Henry for 3 yards (tackle by Sam Hubbard),4.31,4.18,10.0,2024,139
4.0,6:37,2.0,7.0,CIN 16,21.0,20.0,Justice Hill left end for -2 yards (tackle by Trey Hendrickson and Mike Hilton),4.18,3.14,10.0,2024,139
4.0,5:56,3.0,9.0,CIN 18,21.0,26.0,"Lamar Jackson pass complete short left to Mark Andrews for 18 yards, touchdown",3.14,7.0,10.0,2024,139
4.0,5:50,,,CIN 2,21.0,28.0,"Two Point Attempt: Lamar Jackson rushes, conversion succeeds.",1.0,1.0,10.0,2024,139
4.0,5:50,,,BAL 35,21.0,28.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,139
4.0,5:50,1.0,10.0,CIN 30,27.0,28.0,"Joe Burrow pass complete deep middle to Ja'Marr Chase for 70 yards, touchdown",0.94,7.0,10.0,2024,139
4.0,5:37,,,BAL 15,28.0,28.0,Evan McPherson kicks extra point good,0.0,0.0,10.0,2024,139
4.0,5:37,,,CIN 35,28.0,28.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,139
4.0,5:37,1.0,10.0,BAL 30,28.0,28.0,"Lamar Jackson pass intended for Mark Andrews is intercepted by Cam Taylor-Britt at CIN-43 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Lamar Jackson pass incomplete deep left intended for Mark Andrews (defended by Cam Taylor-Britt)",0.94,0.39,10.0,2024,139
4.0,5:27,2.0,10.0,BAL 30,28.0,28.0,Derrick Henry right end for 4 yards (tackle by Germaine Pratt),0.39,0.23,10.0,2024,139
4.0,4:49,3.0,6.0,BAL 34,28.0,28.0,Lamar Jackson pass complete short middle to Rashod Bateman for 12 yards (tackle by Jordan Battle),0.23,1.99,10.0,2024,139
4.0,4:07,1.0,10.0,BAL 46,28.0,28.0,Lamar Jackson pass complete short right to Zay Flowers for 19 yards (tackle by Mike Hilton and DJ Turner),1.99,3.25,10.0,2024,139
4.0,3:55,1.0,10.0,CIN 35,28.0,28.0,Derrick Henry left end for 8 yards (tackle by B.J. Hill),3.25,3.78,10.0,2024,139
4.0,3:17,2.0,2.0,CIN 27,28.0,28.0,Derrick Henry right guard for 3 yards (tackle by Germaine Pratt and Trey Hendrickson),3.78,3.97,10.0,2024,139
4.0,2:29,,,,,,Timeout #1 by Baltimore Ravens,,,10.0,2024,139
4.0,2:29,1.0,10.0,CIN 24,28.0,28.0,"Lamar Jackson pass complete short right to Zay Flowers for no gain (tackle by Geno Stone). Penalty on Tyler Linderbaum: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.97,3.64,10.0,2024,139
4.0,2:23,1.0,15.0,CIN 29,28.0,28.0,Lamar Jackson pass complete short right to Mark Andrews for 5 yards (tackle by Akeem Davis-Gaither and DJ Turner),3.64,3.43,10.0,2024,139
4.0,2:16,,,,,,Timeout #1 by Cincinnati Bengals,,,10.0,2024,139
4.0,2:16,2.0,10.0,CIN 24,28.0,28.0,Lamar Jackson pass complete short right to Rashod Bateman for 15 yards (tackle by Cam Taylor-Britt),3.43,5.14,10.0,2024,139
4.0,2:09,,,,,,Timeout #2 by Cincinnati Bengals,,,10.0,2024,139
