Quarter,Time,Down,ToGo,Location,NYJ,ARI,Detail,EPB,EPA,week,year,game_id
1.0,5:48,2.0,9.0,NYJ 49,3.0,7.0,Trey Benson up the middle for 13 yards (tackle by Sauce Gardner and Jalen Mills),1.85,3.18,10.0,2024,150
1.0,5:12,1.0,10.0,NYJ 36,3.0,7.0,Trey Benson left tackle for 2 yards (tackle by Haason Reddick),3.18,2.91,10.0,2024,150
1.0,4:33,2.0,8.0,NYJ 34,3.0,7.0,Kyler Murray pass complete deep left to Trey McBride for 18 yards (tackle by Jamien Sherwood and Jalen Mills),2.91,4.51,10.0,2024,150
1.0,3:47,1.0,10.0,NYJ 16,3.0,7.0,"Kyler Murray pass incomplete short right intended for Zay Jones. Penalty on D.J. Reed: Defensive Pass Interference, 15 yards (accepted) (no play)",4.51,6.97,10.0,2024,150
1.0,3:42,1.0,1.0,NYJ 1,3.0,7.0,James Conner up the middle for no gain (tackle by Jamien Sherwood and Javon Kinlaw),6.97,5.91,10.0,2024,150
1.0,3:03,2.0,1.0,NYJ 1,3.0,7.0,Kyler Murray pass incomplete short right intended for Trey McBride,5.91,5.17,10.0,2024,150
1.0,3:00,3.0,1.0,NYJ 1,3.0,13.0,"Kyler Murray left end for 1 yard, touchdown. Penalty on Javon Kinlaw: Defensive Offside, 5 yards (declined)",5.17,7.0,10.0,2024,150
1.0,2:54,,,NYJ 15,3.0,14.0,Chad Ryland kicks extra point good,0.0,0.0,10.0,2024,150
1.0,2:54,,,ARI 35,3.0,14.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,150
1.0,2:54,1.0,10.0,NYJ 30,3.0,14.0,Aaron Rodgers pass complete short right to Braelon Allen for 7 yards (tackle by Starling Thomas),0.94,1.34,10.0,2024,150
1.0,2:25,2.0,3.0,NYJ 37,3.0,14.0,Braelon Allen right tackle for 1 yard (tackle by Zaven Collins),1.34,0.76,10.0,2024,150
1.0,1:44,3.0,2.0,NYJ 38,3.0,14.0,Aaron Rodgers pass complete short left to Malachi Corley for 2 yards (tackle by Garrett Williams),0.76,1.6,10.0,2024,150
1.0,1:07,1.0,10.0,NYJ 40,3.0,14.0,Breece Hall right tackle for 1 yard (tackle by L.J. Collier and Roy Lopez),1.6,1.19,10.0,2024,150
1.0,0:27,2.0,9.0,NYJ 41,3.0,14.0,Aaron Rodgers pass complete short middle to Breece Hall for 3 yards (tackle by Budda Baker),1.19,0.89,10.0,2024,150
2.0,15:00,3.0,6.0,NYJ 44,3.0,14.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 12 yards (tackle by Mack Wilson),0.89,2.65,10.0,2024,150
2.0,14:26,1.0,10.0,ARI 44,3.0,14.0,Breece Hall up the middle for 6 yards (tackle by Budda Baker),2.65,2.92,10.0,2024,150
2.0,13:47,2.0,4.0,ARI 38,3.0,14.0,Breece Hall up the middle for 7 yards (tackle by Budda Baker and Starling Thomas),2.92,3.51,10.0,2024,150
2.0,13:08,1.0,10.0,ARI 31,3.0,14.0,Braelon Allen right tackle for -1 yards (tackle by Budda Baker),3.51,2.83,10.0,2024,150
2.0,12:30,2.0,11.0,ARI 32,3.0,14.0,Braelon Allen up the middle for 5 yards (tackle by Dante Stills),2.83,2.81,10.0,2024,150
2.0,11:47,3.0,6.0,ARI 27,3.0,14.0,Aaron Rodgers pass incomplete short left intended for Davante Adams,2.81,1.7,10.0,2024,150
2.0,11:41,4.0,6.0,ARI 27,6.0,14.0,Spencer Shrader 45 yard field goal good,1.7,3.0,10.0,2024,150
2.0,11:37,,,NYJ 35,6.0,14.0,"Spencer Shrader kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,150
2.0,11:37,1.0,10.0,ARI 30,6.0,14.0,Kyler Murray pass complete short left to Greg Dortch for -1 yards (tackle by Jamien Sherwood),0.94,0.26,10.0,2024,150
2.0,10:57,2.0,11.0,ARI 29,6.0,14.0,Kyler Murray pass complete short left to Marvin Harrison for 4 yards (tackle by D.J. Reed),0.26,0.1,10.0,2024,150
2.0,10:21,3.0,7.0,ARI 33,6.0,14.0,Kyler Murray pass complete short middle to Trey McBride for 17 yards (tackle by Jamien Sherwood),0.1,2.26,10.0,2024,150
2.0,9:37,1.0,10.0,NYJ 50,6.0,14.0,Kyler Murray pass complete short right to James Conner for 11 yards (tackle by Quinnen Williams and Jamien Sherwood),2.26,2.98,10.0,2024,150
2.0,9:09,1.0,10.0,NYJ 39,6.0,14.0,Kyler Murray pass complete short left to James Conner for 6 yards (tackle by Tony Adams),2.98,3.25,10.0,2024,150
2.0,8:24,2.0,4.0,NYJ 33,6.0,14.0,"Kyler Murray pass complete short left to Elijah Higgins for 11 yards (tackle by Tony Adams). Penalty on Sauce Gardner: Illegal Use of Hands / Defense, 5 yards (declined)",3.25,4.11,10.0,2024,150
2.0,8:04,1.0,10.0,NYJ 22,6.0,14.0,"Kyler Murray sacked by Quincy Williams for -7 yards. Kyler Murray fumbles (forced by Quincy Williams), recovered by Kyler Murray at NYJ-29",4.11,2.55,10.0,2024,150
2.0,7:17,2.0,18.0,NYJ 29,6.0,14.0,James Conner right tackle for 7 yards (tackle by Quincy Williams and Tony Adams),2.55,2.81,10.0,2024,150
2.0,6:33,,,,,,Timeout #1 by Arizona Cardinals,,,10.0,2024,150
2.0,6:33,3.0,11.0,NYJ 22,6.0,14.0,Kyler Murray pass complete short left to Trey McBride for 13 yards (tackle by Isaiah Oliver),2.81,5.14,10.0,2024,150
2.0,5:48,1.0,9.0,NYJ 9,6.0,20.0,"Kyler Murray pass complete short right to Marvin Harrison for 9 yards, touchdown",5.14,7.0,10.0,2024,150
2.0,5:44,,,NYJ 15,6.0,21.0,Chad Ryland kicks extra point good,0.0,0.0,10.0,2024,150
2.0,5:44,,,ARI 35,6.0,21.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,150
2.0,5:44,1.0,10.0,NYJ 30,6.0,21.0,Aaron Rodgers pass incomplete short right,0.94,0.39,10.0,2024,150
2.0,5:38,2.0,10.0,NYJ 30,6.0,21.0,Breece Hall right tackle for no gain (tackle by Jesse Luketa and Kyzir White),0.39,-0.3,10.0,2024,150
2.0,4:59,3.0,10.0,NYJ 30,6.0,21.0,Aaron Rodgers sacked by Jesse Luketa for -9 yards,-0.3,-1.96,10.0,2024,150
2.0,4:16,4.0,19.0,NYJ 21,6.0,21.0,Thomas Morstead punts 47 yards out of bounds,-1.96,-1.07,10.0,2024,150
2.0,4:09,1.0,10.0,ARI 32,6.0,21.0,Trey Benson up the middle for 6 yards (tackle by Quincy Williams and Jalen Mills),1.07,1.34,10.0,2024,150
2.0,3:34,2.0,4.0,ARI 38,6.0,21.0,Kyler Murray pass complete short left to Trey Benson for 6 yards (tackle by Jamien Sherwood and Samuel Eguavoen),1.34,1.86,10.0,2024,150
2.0,2:49,1.0,10.0,ARI 44,6.0,21.0,"Kyler Murray pass complete short right to Marvin Harrison for no gain (tackle by D.J. Reed). Penalty on Quincy Williams: Defensive Holding, 5 yards (accepted) (no play)",1.86,2.19,10.0,2024,150
2.0,2:00,1.0,10.0,ARI 49,6.0,21.0,Trey Benson up the middle for 7 yards (tackle by Jamien Sherwood and Will McDonald),2.19,2.59,10.0,2024,150
2.0,1:15,2.0,3.0,NYJ 44,6.0,21.0,Kyler Murray pass complete short left to Elijah Higgins for 2 yards (tackle by Jamien Sherwood and Quincy Williams),2.59,2.15,10.0,2024,150
2.0,0:46,3.0,1.0,NYJ 42,6.0,21.0,James Conner up the middle for no gain (tackle by Quincy Williams and Samuel Eguavoen),2.15,0.46,10.0,2024,150
2.0,0:42,,,,,,Timeout #1 by New York Jets,,,10.0,2024,150
2.0,0:42,4.0,1.0,NYJ 42,6.0,21.0,James Conner up the middle for 2 yards (tackle by Jamien Sherwood and Quinnen Williams),0.46,2.92,10.0,2024,150
2.0,0:36,,,,,,Timeout #2 by Arizona Cardinals,,,10.0,2024,150
2.0,0:36,1.0,10.0,NYJ 40,6.0,21.0,Kyler Murray pass complete short right to Michael Wilson for 11 yards (tackle by Michael Carter),2.92,3.64,10.0,2024,150
2.0,0:30,1.0,10.0,NYJ 29,6.0,21.0,James Conner up the middle for no gain (tackle by Javon Kinlaw),3.64,3.1,10.0,2024,150
2.0,0:13,2.0,10.0,NYJ 29,6.0,21.0,Kyler Murray pass complete short right to James Conner for 10 yards (tackle by Jamien Sherwood and Leonard Taylor),3.1,4.31,10.0,2024,150
2.0,0:01,,,,,,Timeout #3 by Arizona Cardinals,,,10.0,2024,150
2.0,0:01,1.0,10.0,NYJ 19,6.0,24.0,Chad Ryland 37 yard field goal good,4.31,3.0,10.0,2024,150
3.0,15:00,,,ARI 35,6.0,24.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,150
3.0,15:00,1.0,10.0,NYJ 30,6.0,24.0,Breece Hall right end for no gain (tackle by Budda Baker and Kyzir White),0.94,0.39,10.0,2024,150
3.0,14:15,2.0,10.0,NYJ 30,6.0,24.0,Aaron Rodgers pass incomplete short left intended for Tyler Conklin,0.39,-0.3,10.0,2024,150
3.0,14:13,3.0,10.0,NYJ 30,6.0,24.0,"Aaron Rodgers pass deep middle. Penalty on Garrett Williams: Defensive Pass Interference, 16 yards (accepted) is intercepted by Garrett Williams at NYJ-46 and returned for no gain (no play)",-0.3,1.99,10.0,2024,150
3.0,14:07,1.0,10.0,NYJ 46,6.0,24.0,Aaron Rodgers pass complete short left to Garrett Wilson for 12 yards (tackle by Garrett Williams),1.99,2.79,10.0,2024,150
3.0,13:34,1.0,10.0,ARI 42,6.0,24.0,Breece Hall left end for 9 yards (tackle by Garrett Williams),2.79,3.46,10.0,2024,150
3.0,12:52,2.0,1.0,ARI 33,6.0,24.0,Aaron Rodgers pass complete short right to Breece Hall for 15 yards (tackle by Max Melton),3.46,4.37,10.0,2024,150
3.0,12:17,1.0,10.0,ARI 18,6.0,24.0,Aaron Rodgers pass complete short middle to Jeremy Ruckert for 12 yards (tackle by Dadrion Taylor-Demerson and Garrett Williams),4.37,5.83,10.0,2024,150
3.0,11:27,1.0,6.0,ARI 6,6.0,24.0,Braelon Allen right tackle for 3 yards (tackle by Zaven Collins),5.83,5.53,10.0,2024,150
3.0,10:52,2.0,3.0,ARI 3,6.0,24.0,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Budda Baker),5.53,4.72,10.0,2024,150
3.0,10:46,3.0,3.0,ARI 3,6.0,24.0,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Dadrion Taylor-Demerson),4.72,3.04,10.0,2024,150
3.0,10:42,4.0,3.0,ARI 3,6.0,24.0,"Aaron Rodgers sacked by Xavier Thomas for -5 yards. Aaron Rodgers fumbles (forced by Xavier Thomas), recovered by Kyzir White at ARI-12",3.04,0.35,10.0,2024,150
3.0,10:33,1.0,10.0,ARI 12,6.0,24.0,James Conner right tackle for no gain (tackle by Quincy Williams and Jamien Sherwood),-0.35,-0.78,10.0,2024,150
3.0,9:55,2.0,10.0,ARI 12,6.0,24.0,Kyler Murray pass complete short left to Michael Wilson for 10 yards (tackle by D.J. Reed),-0.78,0.41,10.0,2024,150
3.0,9:26,1.0,10.0,ARI 22,6.0,24.0,Kyler Murray pass complete short left to James Conner for 9 yards (tackle by Quincy Williams),0.41,1.08,10.0,2024,150
3.0,8:45,2.0,1.0,ARI 31,6.0,24.0,Kyler Murray left end for 8 yards (tackle by D.J. Reed),1.08,1.53,10.0,2024,150
3.0,8:04,1.0,10.0,ARI 39,6.0,24.0,"James Conner left end for 3 yards (tackle by Tony Adams). Penalty on Trey McBride: Offensive Holding, 10 yards (accepted)",1.53,1.07,10.0,2024,150
3.0,7:42,1.0,17.0,ARI 32,6.0,24.0,Kyler Murray pass complete short left to Trey Benson for 19 yards (tackle by Jamien Sherwood),1.07,2.32,10.0,2024,150
3.0,6:52,1.0,10.0,NYJ 49,6.0,24.0,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",2.32,1.99,10.0,2024,150
3.0,6:36,1.0,15.0,ARI 46,6.0,24.0,Trey Benson left end for 7 yards (tackle by Samuel Eguavoen),1.99,2.05,10.0,2024,150
3.0,5:53,2.0,8.0,NYJ 47,6.0,24.0,Kyler Murray pass complete deep left to Trey McBride for 23 yards (tackle by Tony Adams),2.05,3.97,10.0,2024,150
3.0,5:04,1.0,10.0,NYJ 24,6.0,24.0,James Conner up the middle for 12 yards (tackle by Isaiah Oliver),3.97,4.78,10.0,2024,150
3.0,4:19,1.0,10.0,NYJ 12,6.0,30.0,"Kyler Murray right end for 12 yards, touchdown",4.78,7.0,10.0,2024,150
3.0,4:13,,,NYJ 15,6.0,31.0,Chad Ryland kicks extra point good,0.0,0.0,10.0,2024,150
3.0,4:13,,,ARI 35,6.0,31.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,150
3.0,4:13,1.0,10.0,NYJ 30,6.0,31.0,Aaron Rodgers pass complete short right to Davante Adams for 1 yard (tackle by Garrett Williams),0.94,0.53,10.0,2024,150
3.0,3:40,2.0,9.0,NYJ 31,6.0,31.0,Breece Hall right end for 8 yards (tackle by Dadrion Taylor-Demerson),0.53,0.89,10.0,2024,150
3.0,3:08,3.0,1.0,NYJ 39,6.0,31.0,Braelon Allen up the middle for 5 yards (tackle by Kyzir White and Max Melton),0.89,1.86,10.0,2024,150
3.0,2:29,1.0,10.0,NYJ 44,6.0,31.0,Aaron Rodgers pass complete short left to Davante Adams for 4 yards (tackle by Sean Murphy-Bunting),1.86,1.86,10.0,2024,150
3.0,1:49,2.0,6.0,NYJ 48,6.0,31.0,Aaron Rodgers pass incomplete deep right intended for Davante Adams,1.86,1.16,10.0,2024,150
3.0,1:46,3.0,6.0,NYJ 48,6.0,31.0,Aaron Rodgers sacked by Budda Baker for -9 yards,1.16,-0.78,10.0,2024,150
3.0,1:04,4.0,15.0,NYJ 39,6.0,31.0,Thomas Morstead punts 46 yards downed by Marcelino McCrary-Ball,-0.78,0.22,10.0,2024,150
3.0,0:53,1.0,10.0,ARI 15,6.0,31.0,Trey Benson up the middle for 10 yards (tackle by Jalen Mills and Tony Adams),-0.22,0.61,10.0,2024,150
4.0,15:00,1.0,10.0,ARI 25,6.0,31.0,Trey Benson right tackle for 2 yards (tackle by Quincy Williams and Braiden McGregor),0.61,0.33,10.0,2024,150
4.0,14:22,2.0,8.0,ARI 27,6.0,31.0,Trey Benson right tackle for 14 yards (tackle by Micheal Clemons),0.33,1.66,10.0,2024,150
4.0,13:37,1.0,10.0,ARI 41,6.0,31.0,Trey Benson left end for -1 yards (tackle by Quinnen Williams),1.66,0.99,10.0,2024,150
4.0,12:56,2.0,11.0,ARI 40,6.0,31.0,Trey Benson up the middle for 2 yards (tackle by Samuel Eguavoen),0.99,0.56,10.0,2024,150
4.0,12:14,3.0,9.0,ARI 42,6.0,31.0,Kyler Murray pass complete short left to Marvin Harrison for 6 yards (tackle by D.J. Reed and Jalen Mills),0.56,-0.19,10.0,2024,150
4.0,11:15,4.0,2.0,ARI 48,6.0,31.0,"Blake Gillikin punts 40 yards, fair catch by Xavier Gipson at NYJ-11. Penalty on Joey Blount: Fair Catch Interference, 15 yards (accepted)",-0.19,-0.74,10.0,2024,150
4.0,11:08,1.0,10.0,NYJ 27,6.0,31.0,Aaron Rodgers pass complete short middle to Tyler Conklin for 8 yards (tackle by Budda Baker and Kyzir White),0.74,1.28,10.0,2024,150
4.0,10:44,2.0,2.0,NYJ 35,6.0,31.0,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Dadrion Taylor-Demerson),1.28,0.56,10.0,2024,150
4.0,10:38,3.0,2.0,NYJ 35,6.0,31.0,Aaron Rodgers pass incomplete deep right intended for Xavier Gipson (defended by Starling Thomas),0.56,-1.04,10.0,2024,150
4.0,10:30,4.0,2.0,NYJ 35,6.0,31.0,Aaron Rodgers pass complete short right to Garrett Wilson for 6 yards (tackle by Starling Thomas),-1.04,1.66,10.0,2024,150
4.0,9:56,1.0,10.0,NYJ 41,6.0,31.0,Aaron Rodgers pass complete short left to Davante Adams for 1 yard (tackle by Garrett Williams),1.66,1.26,10.0,2024,150
4.0,9:18,2.0,9.0,NYJ 42,6.0,31.0,Aaron Rodgers pass complete short left to Jeremy Ruckert for 5 yards (tackle by Starling Thomas),1.26,1.22,10.0,2024,150
4.0,8:44,3.0,4.0,NYJ 47,6.0,31.0,Aaron Rodgers pass complete short left to Garrett Wilson for 5 yards,1.22,2.39,10.0,2024,150
4.0,8:12,1.0,10.0,ARI 48,6.0,31.0,Aaron Rodgers pass complete short left to Isaiah Davis for 10 yards (tackle by Starling Thomas),2.39,3.05,10.0,2024,150
4.0,7:40,1.0,10.0,ARI 38,6.0,31.0,"Aaron Rodgers pass complete short left to Tyler Conklin for no gain (tackle by Dadrion Taylor-Demerson). Penalty on John Simpson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.05,2.72,10.0,2024,150
4.0,7:14,1.0,15.0,ARI 43,6.0,31.0,Aaron Rodgers pass complete short right to Davante Adams for 14 yards (tackle by Budda Baker and Max Melton),2.72,3.72,10.0,2024,150
4.0,6:41,2.0,1.0,ARI 29,6.0,31.0,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Owen Pappoe),3.72,3.01,10.0,2024,150
4.0,6:39,3.0,1.0,ARI 29,6.0,31.0,Aaron Rodgers pass complete short middle to Davante Adams for 12 yards (tackle by Dadrion Taylor-Demerson),3.01,4.44,10.0,2024,150
4.0,6:03,1.0,10.0,ARI 17,6.0,31.0,Aaron Rodgers pass complete short right to Breece Hall for 7 yards (tackle by Dadrion Taylor-Demerson),4.44,5.1,10.0,2024,150
4.0,5:34,2.0,3.0,ARI 10,6.0,31.0,Aaron Rodgers pass incomplete short left intended for Garrett Wilson (defended by Max Melton),5.1,4.34,10.0,2024,150
4.0,5:29,3.0,3.0,ARI 10,6.0,31.0,Aaron Rodgers pass complete short left to Davante Adams for -1 yards (tackle by Budda Baker),4.34,2.77,10.0,2024,150
4.0,4:47,4.0,4.0,ARI 11,6.0,31.0,Aaron Rodgers pass incomplete short right intended for Malachi Corley,2.77,0.37,10.0,2024,150
4.0,4:39,1.0,10.0,ARI 11,6.0,31.0,Emari Demercado up the middle for 1 yard (tackle by Jamien Sherwood),-0.37,-0.71,10.0,2024,150
4.0,3:56,2.0,9.0,ARI 12,6.0,31.0,Emari Demercado left tackle for 7 yards (tackle by Quincy Williams and Tony Adams),-0.71,-0.48,10.0,2024,150
4.0,3:15,3.0,2.0,ARI 19,6.0,31.0,Emari Demercado left tackle for 14 yards (tackle by Jalen Mills),-0.48,1.14,10.0,2024,150
4.0,2:30,1.0,10.0,ARI 33,6.0,31.0,DeeJay Dallas up the middle for 1 yard (tackle by Jamien Sherwood),1.14,0.73,10.0,2024,150
4.0,2:00,2.0,9.0,ARI 34,6.0,31.0,DeeJay Dallas up the middle for 6 yards (tackle by Tony Adams),0.73,0.83,10.0,2024,150
4.0,1:14,3.0,3.0,ARI 40,6.0,31.0,DeeJay Dallas up the middle for 3 yards (tackle by Quincy Williams and Leonard Taylor),0.83,1.8,10.0,2024,150
4.0,0:29,1.0,10.0,ARI 43,6.0,31.0,Clayton Tune kneels for -1 yards,1.8,1.12,10.0,2024,150
