Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA,week,year,game_id
3.0,10:26,2.0,11.0,NWE 24,13.0,3.0,Drake Maye pass complete short left to Kayshon Boutte for 13 yards (tackle by Tyrique Stevenson),-0.07,1.4,10.0,2024,141
3.0,9:48,1.0,10.0,NWE 37,13.0,3.0,Jamycal Hasty right end for 3 yards (tackle by Tyrique Stevenson and Byron Cowart),1.4,1.26,10.0,2024,141
3.0,9:09,2.0,7.0,NWE 40,13.0,3.0,"Penalty on Demontrey Jacobs: False Start, 5 yards (accepted) (no play)",1.26,0.59,10.0,2024,141
3.0,8:45,2.0,12.0,NWE 35,13.0,3.0,Drake Maye pass complete short right to Jamycal Hasty for 4 yards (tackle by T.J. Edwards and Tremaine Edmunds),0.59,0.43,10.0,2024,141
3.0,8:03,3.0,8.0,NWE 39,13.0,3.0,Drake Maye pass incomplete short middle intended for Hunter Henry (defended by Tremaine Edmunds),0.43,-0.78,10.0,2024,141
3.0,7:59,4.0,8.0,NWE 39,13.0,3.0,"Bryce Baringer punts 61 yards, touchback.",-0.78,-0.28,10.0,2024,141
3.0,7:50,1.0,10.0,CHI 20,13.0,3.0,Caleb Williams pass incomplete short right intended for Cole Kmet,0.28,-0.27,10.0,2024,141
3.0,7:46,2.0,10.0,CHI 20,13.0,3.0,Caleb Williams pass complete short right to Cole Kmet for 7 yards (tackle by Jahlani Tavai),-0.27,-0.03,10.0,2024,141
3.0,7:08,3.0,3.0,CHI 27,13.0,3.0,Caleb Williams pass complete short middle to Cole Kmet for 6 yards (tackle by Marte Mapu),-0.03,1.14,10.0,2024,141
3.0,6:25,,,,,,Timeout #1 by New England Patriots,,,10.0,2024,141
3.0,6:25,1.0,10.0,CHI 33,13.0,3.0,D.J. Moore left end for 3 yards (tackle by Marcus Jones),1.14,1.0,10.0,2024,141
3.0,5:41,2.0,7.0,CHI 36,13.0,3.0,Caleb Williams pass incomplete short middle intended for D.J. Moore (defended by Jahlani Tavai),1.0,0.3,10.0,2024,141
3.0,5:37,3.0,7.0,CHI 36,13.0,3.0,Caleb Williams sacked by Brenden Schooler for -9 yards,0.3,-1.57,10.0,2024,141
3.0,4:57,4.0,16.0,CHI 27,13.0,3.0,"Tory Taylor punts 52 yards, fair catch by Marcus Jones at NE-21",-1.57,-0.34,10.0,2024,141
3.0,4:49,1.0,10.0,NWE 21,13.0,3.0,Rhamondre Stevenson right end for 1 yard (tackle by T.J. Edwards),0.34,-0.07,10.0,2024,141
3.0,4:17,2.0,9.0,NWE 22,13.0,3.0,Drake Maye pass complete short right to Kayshon Boutte for 7 yards (tackle by Terell Smith),-0.07,0.17,10.0,2024,141
3.0,3:40,3.0,2.0,NWE 29,13.0,3.0,Rhamondre Stevenson right tackle for 1 yard (tackle by Gervon Dexter),0.17,-1.37,10.0,2024,141
3.0,3:00,4.0,1.0,NWE 30,13.0,3.0,"Penalty on Joe Giles-Harris: Illegal Formation, 5 yards (accepted) (no play)",-1.37,-1.7,10.0,2024,141
3.0,2:50,4.0,6.0,NWE 25,13.0,3.0,"Bryce Baringer punts 75 yards, touchback.",-1.7,-0.28,10.0,2024,141
3.0,2:42,1.0,10.0,CHI 20,13.0,3.0,D'Andre Swift right end for 7 yards (tackle by Anfernee Jennings),0.28,0.68,10.0,2024,141
3.0,2:06,2.0,3.0,CHI 27,13.0,3.0,D'Andre Swift right guard for -3 yards (tackle by Keion White),0.68,-0.43,10.0,2024,141
3.0,1:24,3.0,6.0,CHI 24,13.0,3.0,Caleb Williams pass incomplete short left intended for Cole Kmet (defended by Dell Pettus),-0.43,-1.77,10.0,2024,141
3.0,1:20,4.0,6.0,CHI 24,13.0,3.0,"Tory Taylor punts 50 yards, recovered by Marcus Jones at NE-28 (tackle by Travis Homer)",-1.77,-1.47,10.0,2024,141
3.0,1:07,1.0,10.0,NWE 38,13.0,3.0,Drake Maye pass incomplete deep middle intended for Kayshon Boutte (defended by Kevin Byard),1.47,0.92,10.0,2024,141
3.0,0:58,2.0,10.0,NWE 38,13.0,3.0,Drake Maye pass incomplete short left,0.92,0.23,10.0,2024,141
3.0,0:52,3.0,10.0,NWE 38,13.0,3.0,Drake Maye pass complete short right to Rhamondre Stevenson for 3 yards (tackle by DeMarcus Walker),0.23,-0.65,10.0,2024,141
3.0,0:15,4.0,7.0,NWE 41,13.0,3.0,Bryce Baringer punts 50 yards downed by Isaiah Bolden,-0.65,0.38,10.0,2024,141
3.0,0:05,1.0,10.0,CHI 9,13.0,3.0,D'Andre Swift right guard for 4 yards (tackle by Dell Pettus),-0.38,-0.48,10.0,2024,141
4.0,15:00,2.0,6.0,CHI 13,13.0,3.0,D'Andre Swift left end for 2 yards (tackle by Marcus Jones),-0.48,-0.72,10.0,2024,141
4.0,14:19,3.0,4.0,CHI 15,13.0,3.0,"Penalty on Larry Borom: False Start, 5 yards (accepted) (no play)",-0.72,-1.3,10.0,2024,141
4.0,14:19,3.0,9.0,CHI 10,13.0,3.0,Caleb Williams sacked by Dell Pettus for -7 yards,-1.3,-2.49,10.0,2024,141
4.0,13:46,4.0,16.0,CHI 3,13.0,3.0,"Tory Taylor punts 62 yards, returned by Marcus Jones for 11 yards (tackle by Amen Ogbongbemiga)",-2.49,-1.99,10.0,2024,141
4.0,13:33,1.0,10.0,NWE 46,13.0,3.0,Rhamondre Stevenson left end for no gain (tackle by T.J. Edwards and Kevin Byard),1.99,1.45,10.0,2024,141
4.0,12:54,2.0,10.0,NWE 46,13.0,3.0,Drake Maye scrambles left end for 19 yards (tackle by T.J. Edwards),1.45,3.25,10.0,2024,141
4.0,12:14,1.0,10.0,CHI 35,13.0,3.0,Antonio Gibson right tackle for 4 yards (tackle by Kyler Gordon),3.25,3.24,10.0,2024,141
4.0,11:34,2.0,6.0,CHI 31,13.0,3.0,Antonio Gibson right tackle for 7 yards (tackle by Gervon Dexter),3.24,3.97,10.0,2024,141
4.0,10:48,1.0,10.0,CHI 24,13.0,3.0,"Drake Maye pass complete short left to Demario Douglas for no gain (tackle by Elijah Hicks and Tremaine Edmunds). Penalty on Kayshon Boutte: Offensive Holding, 10 yards (accepted) (no play)",3.97,3.31,10.0,2024,141
4.0,10:24,1.0,20.0,CHI 34,13.0,3.0,Antonio Gibson left guard for 10 yards (tackle by Jaylon Johnson and Elijah Hicks),3.31,3.43,10.0,2024,141
4.0,9:39,2.0,10.0,CHI 24,13.0,3.0,Drake Maye pass complete short middle to Austin Hooper for 12 yards (tackle by Terell Smith),3.43,4.78,10.0,2024,141
4.0,8:59,1.0,10.0,CHI 12,13.0,3.0,Antonio Gibson right end for 4 yards (tackle by Terell Smith),4.78,4.83,10.0,2024,141
4.0,8:18,2.0,6.0,CHI 8,13.0,3.0,Antonio Gibson right tackle for 1 yard (tackle by Dominique Robinson and Jaylon Johnson),4.83,4.16,10.0,2024,141
4.0,7:38,3.0,5.0,CHI 7,13.0,3.0,Drake Maye pass incomplete short middle intended for Hunter Henry,4.16,2.98,10.0,2024,141
4.0,7:34,4.0,5.0,CHI 7,16.0,3.0,Joey Slye 25 yard field goal good,2.98,3.0,10.0,2024,141
4.0,7:30,,,NWE 35,16.0,3.0,"Joey Slye kicks off 66 yards, returned by DeAndre Carter for 35 yards (tackle by Jahlani Tavai)",0.0,1.2,10.0,2024,141
4.0,7:25,1.0,10.0,CHI 34,16.0,3.0,Caleb Williams sacked by Anfernee Jennings for -6 yards,1.2,-0.15,10.0,2024,141
4.0,6:51,2.0,16.0,CHI 28,16.0,3.0,Caleb Williams pass complete short right to D.J. Moore for 8 yards (tackle by Jonathan Jones),-0.15,0.23,10.0,2024,141
4.0,6:22,3.0,8.0,CHI 36,16.0,3.0,Caleb Williams pass complete short middle to D'Andre Swift for 6 yards (tackle by Jahlani Tavai and Keion White),0.23,-0.59,10.0,2024,141
4.0,6:01,4.0,2.0,CHI 42,16.0,3.0,Caleb Williams pass complete short middle to Rome Odunze for 4 yards (tackle by Jahlani Tavai),-0.59,1.99,10.0,2024,141
4.0,5:36,1.0,10.0,CHI 46,16.0,3.0,"Penalty on Matt Pryor: False Start, 5 yards (accepted) (no play)",1.99,1.66,10.0,2024,141
4.0,5:36,1.0,15.0,CHI 41,16.0,3.0,Caleb Williams pass incomplete short middle,1.66,0.78,10.0,2024,141
4.0,5:33,2.0,15.0,CHI 41,16.0,3.0,Caleb Williams pass complete short left to Keenan Allen for 10 yards (tackle by Marcus Jones),0.78,1.42,10.0,2024,141
4.0,5:06,3.0,5.0,NWE 49,16.0,3.0,Caleb Williams pass incomplete short right,1.42,0.0,10.0,2024,141
4.0,5:00,4.0,5.0,NWE 49,16.0,3.0,"Penalty on Keenan Allen: False Start, 5 yards (accepted) (no play)",0.0,-0.32,10.0,2024,141
4.0,5:00,4.0,10.0,CHI 46,16.0,3.0,Caleb Williams pass incomplete short right intended for Keenan Allen (defended by Marcus Jones),-0.32,-2.52,10.0,2024,141
4.0,4:54,1.0,10.0,CHI 46,16.0,3.0,Rhamondre Stevenson right guard for 6 yards (tackle by T.J. Edwards),2.52,2.79,10.0,2024,141
4.0,4:49,,,,,,Timeout #1 by Chicago Bears,,,10.0,2024,141
4.0,4:49,2.0,4.0,CHI 40,16.0,3.0,Rhamondre Stevenson left end for 3 yards (tackle by Tyrique Stevenson),2.79,2.48,10.0,2024,141
4.0,4:43,,,,,,Timeout #2 by Chicago Bears,,,10.0,2024,141
4.0,4:43,3.0,1.0,CHI 37,16.0,3.0,Drake Maye pass complete short left to Hunter Henry for 14 yards (tackle by Elijah Hicks),2.48,4.04,10.0,2024,141
4.0,4:34,,,,,,Timeout #3 by Chicago Bears,,,10.0,2024,141
4.0,4:34,1.0,10.0,CHI 23,16.0,3.0,Rhamondre Stevenson right tackle for 5 yards (tackle by T.J. Edwards and Kevin Byard),4.04,4.21,10.0,2024,141
4.0,3:46,2.0,5.0,CHI 18,16.0,3.0,Rhamondre Stevenson right tackle for 3 yards (tackle by Gervon Dexter and Jack Sanborn),4.21,4.05,10.0,2024,141
4.0,3:05,3.0,2.0,CHI 15,16.0,3.0,Rhamondre Stevenson left end for no gain (tackle by Jacob Martin),4.05,2.57,10.0,2024,141
4.0,2:21,,,,,,Timeout #2 by New England Patriots,,,10.0,2024,141
4.0,2:21,4.0,2.0,CHI 15,19.0,3.0,Joey Slye 33 yard field goal good,2.57,3.0,10.0,2024,141
4.0,2:17,,,NWE 35,19.0,3.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,141
4.0,2:17,1.0,10.0,CHI 30,19.0,3.0,Caleb Williams pass incomplete short left intended for D.J. Moore (defended by Deatrich Wise),0.94,0.39,10.0,2024,141
4.0,2:11,2.0,10.0,CHI 30,19.0,3.0,Caleb Williams pass complete short left to DeAndre Carter for 5 yards,0.39,0.37,10.0,2024,141
4.0,2:07,3.0,5.0,CHI 35,19.0,3.0,"Caleb Williams pass incomplete short left intended for D.J. Moore. Penalty on Jahlani Tavai: Roughing the Passer, 15 yards (accepted) (no play)",0.37,2.26,10.0,2024,141
4.0,1:59,1.0,10.0,CHI 50,19.0,3.0,Caleb Williams sacked by Jahlani Tavai for -7 yards,2.26,0.77,10.0,2024,141
4.0,1:27,2.0,17.0,CHI 43,19.0,3.0,Caleb Williams sacked by Keion White for -8 yards,0.77,-0.96,10.0,2024,141
4.0,0:58,3.0,25.0,CHI 35,19.0,3.0,Caleb Williams pass complete short middle to Roschon Johnson for 5 yards (tackle by Isaiah Bolden),-0.96,-0.72,10.0,2024,141
4.0,0:40,,,,,,Timeout #3 by New England Patriots,,,10.0,2024,141
4.0,0:40,4.0,20.0,CHI 40,19.0,3.0,Caleb Williams pass complete short right to Rome Odunze for 8 yards (tackle by Marco Wilson),-0.72,-2.39,10.0,2024,141
4.0,0:35,1.0,10.0,CHI 48,19.0,3.0,Drake Maye kneels for -1 yards,2.39,1.71,10.0,2024,141
