Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA,week,year,game_id
1.0,8:52,3.0,5.0,TEN 5,0.0,0.0,Justin Herbert scrambles up the middle for 3 yards (tackle by Jack Gibbens),4.26,3.25,10.0,2024,148
1.0,8:10,4.0,2.0,TEN 2,0.0,3.0,Cameron Dicker 21 yard field goal good,3.25,3.0,10.0,2024,148
1.0,8:08,,,LAC 35,0.0,3.0,"Cameron Dicker kicks off 65 yards, returned by Julius Chestnut for 28 yards (tackle by Nick Niemann)",0.0,0.81,10.0,2024,148
1.0,8:02,1.0,10.0,TEN 28,0.0,3.0,Tony Pollard left guard for 7 yards (tackle by Daiyan Henley),0.81,1.21,10.0,2024,148
1.0,7:28,2.0,3.0,TEN 35,0.0,3.0,Tony Pollard up the middle for 4 yards (tackle by Poona Ford),1.21,1.53,10.0,2024,148
1.0,6:56,1.0,10.0,TEN 39,0.0,3.0,Will Levis pass complete short left to Tony Pollard for 2 yards (tackle by Daiyan Henley),1.53,1.26,10.0,2024,148
1.0,6:11,2.0,8.0,TEN 41,0.0,3.0,Will Levis up the middle for 12 yards (tackle by Elijah Molden and Daiyan Henley),1.26,2.46,10.0,2024,148
1.0,5:34,1.0,10.0,LAC 47,0.0,3.0,Will Levis pass complete short left to Calvin Ridley for 11 yards (tackle by Denzel Perryman and Daiyan Henley),2.46,3.18,10.0,2024,148
1.0,4:55,1.0,10.0,LAC 36,0.0,3.0,"Penalty on Leroy Watson: False Start, 5 yards (accepted) (no play)",3.18,2.85,10.0,2024,148
1.0,4:34,1.0,15.0,LAC 41,0.0,3.0,Will Levis pass incomplete short left intended for Calvin Ridley,2.85,1.96,10.0,2024,148
1.0,4:32,2.0,15.0,LAC 41,6.0,3.0,"Will Levis pass complete deep left to Calvin Ridley for 41 yards, touchdown",1.96,7.0,10.0,2024,148
1.0,4:25,,,LAC 15,7.0,3.0,Nick Folk kicks extra point good,0.0,0.0,10.0,2024,148
1.0,4:25,,,TEN 35,7.0,3.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,148
1.0,4:25,1.0,10.0,LAC 30,7.0,3.0,J.K. Dobbins left tackle for 2 yards (tackle by Harold Landry and Jack Gibbens),0.94,0.66,10.0,2024,148
1.0,3:51,2.0,8.0,LAC 32,7.0,3.0,Justin Herbert pass complete short left to Will Dissly for 3 yards (tackle by Mike Brown),0.66,0.37,10.0,2024,148
1.0,3:10,3.0,5.0,LAC 35,7.0,3.0,Justin Herbert scrambles up the middle for 2 yards (tackle by Arden Key),0.37,-0.91,10.0,2024,148
1.0,2:34,4.0,3.0,LAC 37,7.0,3.0,"JK Scott punts 47 yards, fair catch by Jha'Quan Jackson at TEN-16",-0.91,0.14,10.0,2024,148
1.0,2:27,1.0,10.0,TEN 16,7.0,3.0,Tony Pollard left guard for 3 yards (tackle by Derwin James),-0.14,-0.18,10.0,2024,148
1.0,1:51,2.0,7.0,TEN 19,7.0,3.0,Will Levis sacked by Daiyan Henley for -1 yards,-0.18,-1.07,10.0,2024,148
1.0,1:04,3.0,8.0,TEN 18,7.0,3.0,Will Levis pass incomplete short right intended for Calvin Ridley (defended by Cam Hart),-1.07,-2.24,10.0,2024,148
1.0,0:59,4.0,8.0,TEN 18,7.0,3.0,"Ryan Stonehouse punts 56 yards, returned by Derius Davis for 8 yards (tackle by Tre Avery). Penalty on AJ Finley: Offensive Holding, 10 yards (accepted)",-2.24,-0.54,10.0,2024,148
1.0,0:48,1.0,10.0,LAC 24,7.0,3.0,Justin Herbert pass complete short middle to J.K. Dobbins for 3 yards (tackle by Roger McCreary),0.54,0.4,10.0,2024,148
1.0,0:09,2.0,7.0,LAC 27,7.0,3.0,J.K. Dobbins left end for 11 yards (tackle by Jarvis Brownlee),0.4,1.47,10.0,2024,148
2.0,15:00,1.0,10.0,LAC 38,7.0,3.0,"J.K. Dobbins up the middle for 4 yards (tackle by Keondre Coburn and Jack Gibbens). Penalty on Keondre Coburn: Face Mask (15 Yards), 15 yards (accepted)",1.47,2.72,10.0,2024,148
2.0,14:35,1.0,10.0,TEN 43,7.0,3.0,Jalen Reagor right end for -3 yards (tackle by Roger McCreary),2.72,1.77,10.0,2024,148
2.0,13:55,2.0,13.0,TEN 46,7.0,3.0,"Justin Herbert pass complete short right to Derius Davis for 17 yards (tackle by Jack Gibbens). Penalty on Jarvis Brownlee: Illegal Use of Hands / Defense, 5 yards (accepted)",1.77,3.97,10.0,2024,148
2.0,13:25,1.0,10.0,TEN 24,7.0,3.0,J.K. Dobbins up the middle for 1 yard (tackle by Jaylen Harrell),3.97,3.57,10.0,2024,148
2.0,12:49,2.0,9.0,TEN 23,7.0,3.0,Justin Herbert pass complete short middle to Will Dissly for 4 yards (tackle by Jack Gibbens),3.57,3.41,10.0,2024,148
2.0,12:16,3.0,5.0,TEN 19,7.0,3.0,Justin Herbert pass incomplete deep left intended for Will Dissly (defended by Roger McCreary),3.41,2.24,10.0,2024,148
2.0,12:11,4.0,5.0,TEN 19,7.0,6.0,Cameron Dicker 37 yard field goal good,2.24,3.0,10.0,2024,148
2.0,12:07,,,LAC 35,7.0,6.0,"Cameron Dicker kicks off 64 yards, returned by Jha'Quan Jackson for 27 yards (tackle by Daiyan Henley)",0.0,0.81,10.0,2024,148
2.0,12:02,1.0,10.0,TEN 28,7.0,6.0,"Tony Pollard right tackle for no gain (tackle by Daiyan Henley and Derwin James). Penalty on Derwin James: Defensive Offside, 5 yards (accepted) (no play)",0.81,1.54,10.0,2024,148
2.0,11:43,1.0,5.0,TEN 33,7.0,6.0,"Penalty on Alohi Gilman: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.54,1.47,10.0,2024,148
2.0,11:20,1.0,10.0,TEN 38,7.0,6.0,Will Levis pass incomplete short right intended for Calvin Ridley,1.47,0.92,10.0,2024,148
2.0,11:15,2.0,10.0,TEN 38,7.0,6.0,Will Levis pass complete short right to Nick Westbrook-Ikhine for 13 yards (tackle by Alohi Gilman),0.92,2.32,10.0,2024,148
2.0,10:38,1.0,10.0,LAC 49,7.0,6.0,Tony Pollard left end for 15 yards (tackle by Alohi Gilman),2.32,3.31,10.0,2024,148
2.0,9:58,1.0,10.0,LAC 34,7.0,6.0,Will Levis pass complete short left to Tony Pollard for 1 yard (tackle by Daiyan Henley),3.31,2.91,10.0,2024,148
2.0,9:14,2.0,9.0,LAC 33,7.0,6.0,Tyjae Spears left end for 10 yards (tackle by Derwin James),2.91,4.04,10.0,2024,148
2.0,8:27,1.0,10.0,LAC 23,7.0,6.0,Tyjae Spears left end for 2 yards (tackle by Otito Ogbonnia),4.04,3.77,10.0,2024,148
2.0,7:50,2.0,8.0,LAC 21,7.0,6.0,Will Levis pass complete short left to Calvin Ridley for 2 yards (tackle by Daiyan Henley),3.77,3.34,10.0,2024,148
2.0,7:09,3.0,6.0,LAC 19,7.0,6.0,"Will Levis pass incomplete short left intended for Nick Westbrook-Ikhine. Penalty on Leroy Watson: Offensive Facemask, 15 yards (accepted) (no play)",3.34,1.35,10.0,2024,148
2.0,7:02,3.0,21.0,LAC 34,7.0,6.0,"Penalty on Leroy Watson: False Start, 5 yards (accepted) (no play)",1.35,0.69,10.0,2024,148
2.0,7:02,3.0,26.0,LAC 39,7.0,6.0,Tyjae Spears left end for 8 yards (tackle by Derwin James and Elijah Molden),0.69,1.32,10.0,2024,148
2.0,6:23,4.0,18.0,LAC 31,7.0,6.0,Nick Folk 49 yard field goal no good,1.32,-1.53,10.0,2024,148
2.0,6:19,1.0,10.0,LAC 39,7.0,6.0,Justin Herbert pass complete deep right to Josh Palmer for 36 yards (tackle by Amani Hooker),1.53,3.91,10.0,2024,148
2.0,5:50,1.0,10.0,TEN 25,7.0,6.0,Gus Edwards up the middle for 4 yards (tackle by Jack Gibbens),3.91,3.9,10.0,2024,148
2.0,5:16,2.0,6.0,TEN 21,7.0,6.0,Gus Edwards right tackle for 5 yards (tackle by Jeffery Simmons),3.9,4.06,10.0,2024,148
2.0,4:35,3.0,1.0,TEN 16,7.0,6.0,Hassan Haskins left tackle for 3 yards (tackle by Jack Gibbens),4.06,4.71,10.0,2024,148
2.0,3:58,1.0,10.0,TEN 13,7.0,6.0,Gus Edwards right guard for 5 yards (tackle by Mike Brown),4.71,4.96,10.0,2024,148
2.0,3:16,2.0,5.0,TEN 8,7.0,6.0,Gus Edwards right end for 3 yards (tackle by Jarvis Brownlee),4.96,4.78,10.0,2024,148
2.0,2:34,3.0,2.0,TEN 5,7.0,6.0,J.K. Dobbins up the middle for 1 yard (tackle by Jeffery Simmons and Kenneth Murray),4.78,3.04,10.0,2024,148
2.0,2:00,4.0,1.0,TEN 4,7.0,12.0,"Justin Herbert right tackle for 4 yards, touchdown",3.04,7.0,10.0,2024,148
2.0,1:55,,,TEN 15,7.0,13.0,Cameron Dicker kicks extra point good,0.0,0.0,10.0,2024,148
2.0,1:55,,,LAC 35,7.0,13.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,148
2.0,1:55,1.0,10.0,TEN 30,7.0,13.0,Tyjae Spears left guard for 5 yards (tackle by Tuli Tuipulotu and Derwin James),0.94,1.07,10.0,2024,148
2.0,1:31,2.0,5.0,TEN 35,7.0,13.0,Will Levis sacked by Poona Ford for -7 yards,1.07,-0.56,10.0,2024,148
2.0,0:50,3.0,12.0,TEN 28,7.0,13.0,Will Levis pass complete short right to Nick Westbrook-Ikhine for 7 yards (tackle by Elijah Molden and Ja'Sir Taylor),-0.56,-1.04,10.0,2024,148
2.0,0:43,,,,,,Timeout #1 by Los Angeles Chargers,,,10.0,2024,148
2.0,0:43,4.0,5.0,TEN 35,7.0,13.0,"Ryan Stonehouse punts 52 yards, fair catch by Derius Davis at LAC-13",-1.04,0.32,10.0,2024,148
2.0,0:36,1.0,10.0,LAC 13,7.0,13.0,J.K. Dobbins up the middle for 10 yards (tackle by Jack Gibbens and Amani Hooker),-0.32,0.48,10.0,2024,148
2.0,0:31,,,,,,Timeout #2 by Los Angeles Chargers,,,10.0,2024,148
2.0,0:31,1.0,10.0,LAC 23,7.0,13.0,Justin Herbert pass incomplete deep right intended for Josh Palmer (defended by Darrell Baker),0.48,-0.07,10.0,2024,148
2.0,0:25,2.0,10.0,LAC 23,7.0,13.0,"Justin Herbert sacked by Jeffery Simmons for no gain. Justin Herbert fumbles (forced by Jeffery Simmons), recovered by Roger McCreary at LAC-20, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Justin Herbert pass incomplete short right intended for Jalen Reagor (defended by Jeffery Simmons)",-0.07,-0.76,10.0,2024,148
2.0,0:21,3.0,10.0,LAC 23,7.0,13.0,J.K. Dobbins up the middle for no gain (tackle by Sebastian Joseph-Day),-0.76,-1.83,10.0,2024,148
2.0,0:18,,,,,,Timeout #1 by Tennessee Titans,,,10.0,2024,148
2.0,0:18,4.0,10.0,LAC 23,7.0,13.0,JK Scott punts 29 yards downed by Josh Harris,-1.83,-2.13,10.0,2024,148
2.0,0:04,1.0,10.0,TEN 48,7.0,13.0,Tyjae Spears up the middle for 19 yards (tackle by Tuli Tuipulotu),2.13,3.38,10.0,2024,148
3.0,15:00,,,LAC 35,7.0,13.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,148
3.0,15:00,1.0,10.0,TEN 30,7.0,13.0,Will Levis pass complete short left to Calvin Ridley for 15 yards (tackle by Cam Hart),0.94,1.93,10.0,2024,148
3.0,14:14,1.0,10.0,TEN 45,7.0,13.0,Tony Pollard left end for 5 yards (tackle by Cam Hart and Daiyan Henley),1.93,2.06,10.0,2024,148
3.0,13:34,2.0,5.0,TEN 50,7.0,13.0,Tony Pollard left end for 3 yards (tackle by Daiyan Henley),2.06,1.75,10.0,2024,148
3.0,12:47,3.0,2.0,LAC 47,7.0,13.0,Will Levis left end for 5 yards (tackle by Daiyan Henley),1.75,2.79,10.0,2024,148
3.0,12:09,1.0,10.0,LAC 42,7.0,13.0,"Tyjae Spears left end for no gain (tackle by Teair Tart). Penalty on Tuli Tuipulotu: Defensive Offside, 5 yards (accepted) (no play)",2.79,3.52,10.0,2024,148
3.0,11:42,1.0,5.0,LAC 37,7.0,13.0,Will Levis sacked by Tuli Tuipulotu for -2 yards,3.52,2.65,10.0,2024,148
3.0,10:53,2.0,7.0,LAC 39,7.0,13.0,"Penalty on Will Levis: Delay of Game, 5 yards (accepted) (no play)",2.65,1.97,10.0,2024,148
3.0,10:35,2.0,12.0,LAC 44,7.0,13.0,Will Levis pass complete short left to Tony Pollard for 15 yards (tackle by Elijah Molden),1.97,3.64,10.0,2024,148
3.0,9:54,1.0,10.0,LAC 29,7.0,13.0,Will Levis pass complete short right to Chigoziem Okonkwo for 14 yards (tackle by Denzel Perryman),3.64,4.58,10.0,2024,148
3.0,9:22,1.0,10.0,LAC 15,7.0,13.0,Tony Pollard up the middle for no gain (tackle by Elijah Molden),4.58,3.95,10.0,2024,148
3.0,8:45,2.0,10.0,LAC 15,7.0,13.0,Will Levis scrambles up the middle for 7 yards (tackle by Bud Dupree),3.95,4.45,10.0,2024,148
3.0,7:59,3.0,3.0,LAC 8,7.0,13.0,Will Levis pass incomplete short left intended for Josh Whyle,4.45,2.98,10.0,2024,148
3.0,7:54,4.0,3.0,LAC 8,10.0,13.0,Nick Folk 27 yard field goal good,2.98,3.0,10.0,2024,148
3.0,7:51,,,TEN 35,10.0,13.0,"Nick Folk kicks off 64 yards, returned by Derius Davis for 56 yards (tackle by Nick Folk)",0.0,2.72,10.0,2024,148
3.0,7:42,1.0,10.0,TEN 43,10.0,13.0,Justin Herbert pass complete short right to Ladd McConkey for 15 yards (tackle by Roger McCreary),2.72,3.71,10.0,2024,148
3.0,7:00,1.0,10.0,TEN 28,10.0,13.0,Gus Edwards left end for 9 yards (tackle by Mike Brown),3.71,4.42,10.0,2024,148
3.0,6:20,2.0,1.0,TEN 19,10.0,13.0,Gus Edwards right tackle for no gain (tackle by Jeffery Simmons and Sebastian Joseph-Day),4.42,3.72,10.0,2024,148
3.0,5:40,3.0,1.0,TEN 19,10.0,13.0,Justin Herbert up the middle for 1 yard (tackle by Jack Gibbens),3.72,4.37,10.0,2024,148
3.0,4:57,1.0,10.0,TEN 18,10.0,13.0,Justin Herbert pass complete short right to Will Dissly for 4 yards (tackle by Kenneth Murray),4.37,4.43,10.0,2024,148
3.0,4:18,2.0,6.0,TEN 14,10.0,13.0,Justin Herbert pass complete short right to J.K. Dobbins for -2 yards (tackle by Jarvis Brownlee and Jeffery Simmons),4.43,3.3,10.0,2024,148
3.0,3:30,3.0,8.0,TEN 16,10.0,19.0,"Justin Herbert pass complete deep right to Quentin Johnston for 16 yards, touchdown",3.3,7.0,10.0,2024,148
3.0,3:24,,,TEN 15,10.0,20.0,Cameron Dicker kicks extra point good,0.0,0.0,10.0,2024,148
3.0,3:24,,,LAC 35,10.0,20.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,148
3.0,3:24,1.0,10.0,TEN 30,10.0,20.0,Tony Pollard right tackle for 3 yards (tackle by Caleb Murphy),0.94,0.8,10.0,2024,148
3.0,2:49,2.0,7.0,TEN 33,10.0,20.0,Will Levis pass complete short right to Nick Westbrook-Ikhine for 11 yards (tackle by Elijah Molden),0.8,1.86,10.0,2024,148
3.0,2:12,1.0,10.0,TEN 44,10.0,20.0,Will Levis sacked by Tuli Tuipulotu for -5 yards,1.86,0.64,10.0,2024,148
3.0,1:26,2.0,15.0,TEN 39,10.0,20.0,Will Levis pass complete short left to Tony Pollard for 1 yard (tackle by Daiyan Henley and Bud Dupree),0.64,0.1,10.0,2024,148
3.0,0:45,3.0,14.0,TEN 40,10.0,20.0,Will Levis sacked by Joey Bosa for -2 yards,0.1,-0.85,10.0,2024,148
4.0,15:00,4.0,16.0,TEN 38,10.0,20.0,"Ryan Stonehouse punts 58 yards, returned by Derius Davis for 6 yards (tackle by Luke Gifford). Penalty on AJ Finley: Offensive Illegal Block Above the Waist, 5 yards (accepted)",-0.85,0.38,10.0,2024,148
4.0,14:49,1.0,10.0,LAC 5,10.0,20.0,J.K. Dobbins up the middle for 3 yards (tackle by Harold Landry and Jarvis Brownlee),-0.38,-0.56,10.0,2024,148
4.0,14:09,2.0,7.0,LAC 8,10.0,20.0,Justin Herbert pass complete short left to Ladd McConkey for 37 yards (tackle by Mike Brown),-0.56,1.93,10.0,2024,148
4.0,13:27,1.0,10.0,LAC 45,10.0,20.0,J.K. Dobbins up the middle for 3 yards (tackle by Jeffery Simmons and Harold Landry),1.93,1.79,10.0,2024,148
4.0,12:44,2.0,7.0,LAC 48,10.0,20.0,Justin Herbert scrambles right end for 8 yards (tackle by Jack Gibbens),1.79,2.65,10.0,2024,148
4.0,11:54,1.0,10.0,TEN 44,10.0,20.0,Gus Edwards left tackle for 10 yards (tackle by T'Vondre Sweat and Jack Gibbens),2.65,3.31,10.0,2024,148
4.0,11:17,1.0,10.0,TEN 34,10.0,20.0,Gus Edwards right end for 3 yards (tackle by Kenneth Murray and Darrell Baker),3.31,3.18,10.0,2024,148
4.0,10:35,2.0,7.0,TEN 31,10.0,20.0,Justin Herbert scrambles right end for 8 yards (tackle by Kenneth Murray),3.18,4.04,10.0,2024,148
4.0,9:50,1.0,10.0,TEN 23,10.0,20.0,J.K. Dobbins left end for 12 yards (tackle by Mike Brown),4.04,4.84,10.0,2024,148
4.0,9:05,1.0,10.0,TEN 11,10.0,20.0,Jalen Reagor right end for 1 yard (tackle by Jack Gibbens),4.84,4.32,10.0,2024,148
4.0,8:26,2.0,9.0,TEN 10,10.0,20.0,"Justin Herbert pass incomplete short right intended for J.K. Dobbins. Penalty on Kenneth Murray: Defensive Pass Interference, 8 yards (accepted) (no play)",4.32,6.74,10.0,2024,148
4.0,8:22,1.0,2.0,TEN 2,10.0,20.0,J.K. Dobbins up the middle for 1 yard (tackle by T'Vondre Sweat and Jack Gibbens),6.74,5.91,10.0,2024,148
4.0,7:42,2.0,1.0,TEN 1,10.0,26.0,"Hassan Haskins up the middle for 1 yard, touchdown",5.91,7.0,10.0,2024,148
4.0,7:39,,,TEN 15,10.0,27.0,Cameron Dicker kicks extra point good,0.0,0.0,10.0,2024,148
4.0,7:39,,,LAC 35,10.0,27.0,"Cameron Dicker kicks off 66 yards, returned by Julius Chestnut for 32 yards (tackle by Dicaprio Bootle)",0.0,1.0,10.0,2024,148
4.0,7:33,1.0,10.0,TEN 31,10.0,27.0,Tony Pollard right tackle for 4 yards (tackle by Daiyan Henley),1.0,1.0,10.0,2024,148
4.0,7:10,2.0,6.0,TEN 35,10.0,27.0,Will Levis scrambles up the middle for 8 yards (tackle by Elijah Molden),1.0,1.8,10.0,2024,148
4.0,6:43,1.0,10.0,TEN 43,10.0,27.0,Will Levis sacked by Bud Dupree for -1 yards,1.8,1.12,10.0,2024,148
4.0,6:01,2.0,11.0,TEN 42,10.0,27.0,"Penalty on JC Latham: False Start, 5 yards (accepted) (no play)",1.12,0.44,10.0,2024,148
4.0,6:01,2.0,16.0,TEN 37,10.0,27.0,Will Levis pass complete short left to Tyjae Spears for -7 yards (tackle by Bud Dupree and Tuli Tuipulotu),0.44,-1.15,10.0,2024,148
4.0,5:23,3.0,23.0,TEN 30,10.0,27.0,"Will Levis sacked by Bud Dupree for no gain. Will Levis fumbles (forced by Bud Dupree), recovered by JC Latham at TEN-30 and returned for 4 yards (tackle by Daiyan Henley)",-1.15,-1.11,10.0,2024,148
4.0,4:38,4.0,19.0,TEN 34,10.0,27.0,Ryan Stonehouse punts 48 yards out of bounds,-1.11,-0.04,10.0,2024,148
4.0,4:30,1.0,10.0,LAC 18,10.0,27.0,J.K. Dobbins up the middle for -1 yards (tackle by Jaylen Harrell),0.04,-0.65,10.0,2024,148
4.0,3:46,2.0,11.0,LAC 17,10.0,27.0,J.K. Dobbins left tackle for no gain (tackle by Sebastian Joseph-Day and Mike Brown),-0.65,-1.34,10.0,2024,148
4.0,3:37,,,,,,Timeout #1 by Tennessee Titans,,,10.0,2024,148
4.0,3:37,3.0,11.0,LAC 17,10.0,27.0,J.K. Dobbins up the middle for 4 yards (tackle by Harold Landry),-1.34,-1.96,10.0,2024,148
4.0,3:30,,,,,,Timeout #2 by Tennessee Titans,,,10.0,2024,148
4.0,3:30,4.0,7.0,LAC 21,10.0,27.0,"JK Scott punts 40 yards, fair catch by Jha'Quan Jackson at TEN-39",-1.96,-1.53,10.0,2024,148
4.0,3:24,1.0,10.0,TEN 39,10.0,27.0,Will Levis pass complete short middle to Tyjae Spears for 6 yards (tackle by Alohi Gilman),1.53,1.8,10.0,2024,148
4.0,2:56,2.0,4.0,TEN 45,10.0,27.0,Will Levis pass complete short left to Tyjae Spears for 5 yards (tackle by Tarheeb Still and Daiyan Henley),1.8,2.26,10.0,2024,148
4.0,2:49,1.0,10.0,TEN 50,10.0,27.0,Tyjae Spears right end for 4 yards (tackle by Morgan Fox),2.26,2.25,10.0,2024,148
4.0,2:25,2.0,6.0,LAC 46,10.0,27.0,Will Levis pass incomplete deep right intended for Calvin Ridley,2.25,1.55,10.0,2024,148
4.0,2:20,3.0,6.0,LAC 46,10.0,27.0,Will Levis pass complete short left to Bryce Oliver for 19 yards (tackle by Cam Hart),1.55,3.78,10.0,2024,148
4.0,2:01,1.0,10.0,LAC 27,10.0,27.0,Will Levis pass complete short right to Bryce Oliver for 4 yards (tackle by Cam Hart),3.78,3.77,10.0,2024,148
4.0,1:58,2.0,6.0,LAC 23,10.0,27.0,Tyjae Spears right end for -1 yards (tackle by Morgan Fox and Elijah Molden),3.77,2.94,10.0,2024,148
4.0,1:35,3.0,7.0,LAC 24,10.0,27.0,Will Levis scrambles right end for 9 yards (tackle by Tarheeb Still),2.94,4.58,10.0,2024,148
4.0,0:54,1.0,10.0,LAC 15,16.0,27.0,"Will Levis pass complete short left to Calvin Ridley for 15 yards, touchdown",4.58,7.0,10.0,2024,148
4.0,0:49,,,LAC 15,17.0,27.0,Nick Folk kicks extra point good,0.0,0.0,10.0,2024,148
4.0,0:49,,,,,,Timeout #1 by Los Angeles Chargers,,,10.0,2024,148
4.0,0:49,,,TEN 35,17.0,27.0,"Nick Folk kicks onside 11 yards, returned by Daiyan Henley for no gain",0.0,2.52,10.0,2024,148
4.0,0:48,1.0,10.0,TEN 46,17.0,27.0,Justin Herbert kneels for -1 yards,2.52,1.84,10.0,2024,148
4.0,0:30,2.0,11.0,TEN 47,17.0,27.0,Justin Herbert kneels for -1 yards,1.84,1.03,10.0,2024,148
