Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA,week,year,game_id
3.0,3:13,3.0,9.0,DET 11,13.0,23.0,Jared Goff pass complete short right to Jahmyr Gibbs for 33 yards (tackle by Jerry Hughes),-1.3,1.86,10.0,2024,151
3.0,2:27,1.0,10.0,DET 44,13.0,23.0,Jahmyr Gibbs left end for no gain (tackle by Danielle Hunter),1.86,1.32,10.0,2024,151
3.0,1:50,2.0,10.0,DET 44,13.0,23.0,Jahmyr Gibbs left tackle for 3 yards (tackle by Kurt Hinish and Denico Autry),1.32,1.03,10.0,2024,151
3.0,1:06,3.0,7.0,DET 47,13.0,23.0,"David Montgomery left tackle for 2 yards. David Montgomery fumbles (tackle by Jerry Hughes), recovered by David Montgomery at DET-49",1.03,-0.13,10.0,2024,151
3.0,0:31,4.0,5.0,DET 49,13.0,23.0,"Jack Fox punts 42 yards, fair catch by Steven Sims at HOU-9",-0.13,0.38,10.0,2024,151
3.0,0:24,1.0,10.0,HOU 9,13.0,23.0,C.J. Stroud pass incomplete deep right intended for Cade Stover (defended by Jack Campbell),-0.38,-0.78,10.0,2024,151
3.0,0:20,2.0,10.0,HOU 9,13.0,23.0,C.J. Stroud pass complete short left to Robert Woods for 1 yard (tackle by Brian Branch and Amik Robertson),-0.78,-1.3,10.0,2024,151
4.0,15:00,3.0,9.0,HOU 10,13.0,23.0,C.J. Stroud pass incomplete short left intended for Xavier Hutchinson (defended by Brian Branch),-1.3,-2.49,10.0,2024,151
4.0,14:57,4.0,9.0,HOU 10,13.0,23.0,"Tommy Townsend punts 54 yards, fair catch by Kalif Raymond at DET-36",-2.49,-1.33,10.0,2024,151
4.0,14:49,1.0,10.0,DET 36,13.0,23.0,Jared Goff pass incomplete short middle intended for David Montgomery (defended by Tommy Togiai),1.33,0.79,10.0,2024,151
4.0,14:45,2.0,10.0,DET 36,13.0,23.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 9 yards (tackle by Calen Bullock and Henry To'oTo'o),0.79,1.29,10.0,2024,151
4.0,14:10,3.0,1.0,DET 45,13.0,23.0,David Montgomery up the middle for 1 yard (tackle by Dylan Horton and Henry To'oTo'o),1.29,1.99,10.0,2024,151
4.0,13:23,1.0,10.0,DET 46,13.0,23.0,David Montgomery right guard for 4 yards (tackle by Derek Stingley and Azeez Al-Shaair),1.99,1.99,10.0,2024,151
4.0,12:53,2.0,6.0,DET 50,13.0,23.0,Jared Goff pass complete deep left to Jameson Williams for 17 yards (tackle by Henry To'oTo'o and Eric Murray),1.99,3.38,10.0,2024,151
4.0,12:23,1.0,10.0,HOU 33,13.0,23.0,Jared Goff pass complete short left to David Montgomery for 24 yards (tackle by Ka'dar Hollman),3.38,5.14,10.0,2024,151
4.0,11:43,1.0,9.0,HOU 9,19.0,23.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards, touchdown",5.14,7.0,10.0,2024,151
4.0,11:38,,,HOU 15,20.0,23.0,Jake Bates kicks extra point good,0.0,0.0,10.0,2024,151
4.0,11:38,,,DET 35,20.0,23.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
4.0,11:38,1.0,10.0,HOU 30,20.0,23.0,C.J. Stroud pass complete short middle to Dalton Schultz for 17 yards (tackle by Alex Anzalone and Alim McNeill),0.94,2.06,10.0,2024,151
4.0,10:53,1.0,10.0,HOU 47,20.0,23.0,Joe Mixon left tackle for no gain (tackle by Alim McNeill),2.06,1.52,10.0,2024,151
4.0,10:07,2.0,10.0,HOU 47,20.0,23.0,"Penalty on Cade Stover: False Start, 5 yards (accepted) (no play)",1.52,0.84,10.0,2024,151
4.0,10:07,2.0,15.0,HOU 42,20.0,23.0,C.J. Stroud scrambles up the middle for 5 yards (tackle by Alex Anzalone),0.84,0.83,10.0,2024,151
4.0,9:21,3.0,10.0,HOU 47,20.0,23.0,"C.J. Stroud sacked by Josh Paschal for -13 yards. C.J. Stroud fumbles, recovered by Tytus Howard at HOU-34",0.83,-1.11,10.0,2024,151
4.0,8:35,4.0,23.0,HOU 34,20.0,23.0,Tommy Townsend punts 49 yards downed by Jake Hansen,-1.11,0.06,10.0,2024,151
4.0,8:21,1.0,10.0,DET 17,20.0,23.0,Jahmyr Gibbs right tackle for 15 yards (tackle by Ka'dar Hollman),-0.06,1.07,10.0,2024,151
4.0,7:46,1.0,10.0,DET 32,20.0,23.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Ka'dar Hollman),1.07,1.74,10.0,2024,151
4.0,7:16,2.0,1.0,DET 41,20.0,23.0,Jahmyr Gibbs right end for 20 yards (tackle by Calen Bullock),1.74,2.98,10.0,2024,151
4.0,6:32,1.0,10.0,HOU 39,20.0,23.0,Jahmyr Gibbs left guard for 6 yards (tackle by Jimmie Ward),2.98,3.25,10.0,2024,151
4.0,5:58,2.0,4.0,HOU 33,20.0,23.0,Jahmyr Gibbs right end for -7 yards (tackle by Henry To'oTo'o),3.25,1.62,10.0,2024,151
4.0,5:13,3.0,11.0,HOU 40,20.0,23.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,1.62,0.59,10.0,2024,151
4.0,5:06,4.0,11.0,HOU 40,23.0,23.0,Jake Bates 58 yard field goal good,0.59,3.0,10.0,2024,151
4.0,5:01,,,DET 35,23.0,23.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
4.0,5:01,1.0,10.0,HOU 30,23.0,23.0,Joe Mixon up the middle for 4 yards (tackle by Jack Campbell),0.94,0.93,10.0,2024,151
4.0,4:26,2.0,6.0,HOU 34,23.0,23.0,C.J. Stroud pass incomplete short right intended for John Metchie,0.93,0.23,10.0,2024,151
4.0,4:17,3.0,6.0,HOU 34,23.0,23.0,C.J. Stroud pass complete short right to John Metchie for 9 yards (tackle by Terrion Arnold),0.23,1.8,10.0,2024,151
4.0,3:39,1.0,10.0,HOU 43,23.0,23.0,Joe Mixon right tackle for 2 yards (tackle by Jack Campbell),1.8,1.52,10.0,2024,151
4.0,2:54,2.0,8.0,HOU 45,23.0,23.0,C.J. Stroud pass complete short left to Tank Dell for 9 yards (tackle by Brian Branch),1.52,2.52,10.0,2024,151
4.0,2:47,1.0,10.0,DET 46,23.0,23.0,Joe Mixon left guard for 4 yards (tackle by Carlton Davis),2.52,2.52,10.0,2024,151
4.0,2:08,2.0,6.0,DET 42,23.0,23.0,Joe Mixon right tackle for 2 yards (tackle by Ben Niemann and D.J. Reader),2.52,2.08,10.0,2024,151
4.0,2:00,3.0,4.0,DET 40,23.0,23.0,C.J. Stroud pass incomplete short middle intended for Xavier Hutchinson (defended by Terrion Arnold) (defended by Alex Anzalone),2.08,0.59,10.0,2024,151
4.0,1:56,,,,,,Timeout #1 by Detroit Lions,,,10.0,2024,151
4.0,1:56,4.0,4.0,DET 40,23.0,23.0,Ka'imi Fairbairn 58 yard field goal no good,0.59,-2.13,10.0,2024,151
4.0,1:51,1.0,10.0,DET 48,23.0,23.0,Jahmyr Gibbs left guard for 4 yards (tackle by Jalen Pitre and Tommy Togiai),2.13,2.12,10.0,2024,151
4.0,1:46,,,,,,Timeout #1 by Houston Texans,,,10.0,2024,151
4.0,1:46,2.0,6.0,HOU 48,23.0,23.0,Jahmyr Gibbs left end for no gain (tackle by Azeez Al-Shaair),2.12,1.42,10.0,2024,151
4.0,1:40,,,,,,Timeout #2 by Houston Texans,,,10.0,2024,151
4.0,1:40,3.0,6.0,HOU 48,23.0,23.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Azeez Al-Shaair),1.42,3.12,10.0,2024,151
4.0,1:33,,,,,,Timeout #3 by Houston Texans,,,10.0,2024,151
4.0,1:33,1.0,10.0,HOU 37,23.0,23.0,Jahmyr Gibbs up the middle for 2 yards (tackle by Danielle Hunter and Tommy Togiai),3.12,2.84,10.0,2024,151
