Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA,week,year,game_id
2.0,2:36,,,SFO 20,7.0,21.0,"Jake Moody kicks off 61 yards, returned by KaVontae Turpin for 15 yards (tackle by Jordan Mason)",0.0,1.2,5.0,2023,77
2.0,2:32,1.0,10.0,DAL 34,7.0,21.0,Dak Prescott pass complete short right to Jake Ferguson for 5 yards (tackle by Isaiah Oliver),1.2,1.33,5.0,2023,77
2.0,2:10,2.0,5.0,DAL 39,7.0,21.0,Dak Prescott pass incomplete short right intended for Tony Pollard,1.33,0.63,5.0,2023,77
2.0,2:07,3.0,5.0,DAL 39,7.0,21.0,Dak Prescott pass complete short middle to Jake Ferguson for 3 yards (tackle by Isaiah Oliver and Fred Warner),0.63,-0.59,5.0,2023,77
2.0,2:00,4.0,2.0,DAL 42,7.0,21.0,"Bryan Anger punts 52 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Hunter Luepke)",-0.59,-0.04,5.0,2023,77
2.0,1:51,1.0,10.0,SFO 18,7.0,21.0,Deebo Samuel up the middle for 8 yards (tackle by Leighton Vander Esch and Damone Clark),0.04,0.68,5.0,2023,77
2.0,1:11,,,,,,Timeout #1 by San Francisco 49ers,,,5.0,2023,77
2.0,1:11,2.0,2.0,SFO 26,7.0,21.0,Christian McCaffrey up the middle for no gain (tackle by Leighton Vander Esch),0.68,-0.14,5.0,2023,77
2.0,1:04,,,,,,Timeout #1 by Dallas Cowboys,,,5.0,2023,77
2.0,1:04,3.0,2.0,SFO 26,7.0,21.0,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk (defended by Jourdan Lewis),-0.14,-1.63,5.0,2023,77
2.0,1:00,4.0,2.0,SFO 26,7.0,21.0,"Mitch Wishnowsky punts 59 yards, returned by Deuce Vaughn for 10 yards (tackle by Ambry Thomas and George Odum)",-1.63,-0.61,5.0,2023,77
2.0,0:50,1.0,10.0,DAL 25,7.0,21.0,Dak Prescott pass incomplete deep left intended for Brandin Cooks,0.61,0.06,5.0,2023,77
2.0,0:41,2.0,10.0,DAL 25,7.0,21.0,Dak Prescott sacked by Dre Greenlaw for -1 yards,0.06,-0.76,5.0,2023,77
3.0,15:00,,,SFO 35,7.0,21.0,"Jake Moody kicks off 58 yards, returned by Rico Dowdle for 22 yards (tackle by Isaiah Oliver and George Odum)",0.0,0.87,5.0,2023,77
3.0,14:53,1.0,10.0,DAL 29,7.0,21.0,Tony Pollard up the middle for 5 yards (tackle by Charvarius Ward),0.87,1.0,5.0,2023,77
3.0,14:25,2.0,5.0,DAL 34,7.0,21.0,Dak Prescott pass complete short middle to CeeDee Lamb for 29 yards (tackle by Charvarius Ward),1.0,3.12,5.0,2023,77
3.0,13:51,1.0,10.0,SFO 37,7.0,21.0,Tony Pollard right end for -1 yards (tackle by Nick Bosa),3.12,2.44,5.0,2023,77
3.0,13:14,2.0,11.0,SFO 38,7.0,21.0,Dak Prescott pass complete short middle to Tony Pollard for 7 yards (tackle by Fred Warner),2.44,2.68,5.0,2023,77
3.0,12:36,3.0,4.0,SFO 31,7.0,21.0,Rico Dowdle left guard for -1 yards (tackle by Javon Hargrave),2.68,1.26,5.0,2023,77
3.0,11:58,4.0,5.0,SFO 32,10.0,21.0,Brandon Aubrey 50 yard field goal good,1.26,3.0,5.0,2023,77
3.0,11:53,,,DAL 35,10.0,21.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,77
3.0,11:53,1.0,10.0,SFO 25,10.0,21.0,"Penalty on Trent Williams: False Start, 5 yards (accepted) (no play)",0.61,0.28,5.0,2023,77
3.0,11:53,1.0,15.0,SFO 20,10.0,21.0,Brock Purdy pass complete deep middle to Brandon Aiyuk for 23 yards (tackle by Stephon Gilmore),0.28,1.8,5.0,2023,77
3.0,11:12,1.0,10.0,SFO 43,10.0,21.0,Christian McCaffrey up the middle for 4 yards (tackle by Chauncey Golston),1.8,1.79,5.0,2023,77
3.0,10:32,2.0,6.0,SFO 47,10.0,21.0,Christian McCaffrey right end for 3 yards (tackle by Micah Parsons and Sam Williams),1.79,1.35,5.0,2023,77
3.0,9:58,3.0,4.0,SFO 49,10.0,21.0,"Brock Purdy pass complete deep left to Brandon Aiyuk for no gain. Penalty on Spencer Burford: Offensive Holding, 10 yards (accepted) (no play)",1.35,0.17,5.0,2023,77
3.0,9:34,3.0,13.0,SFO 40,10.0,21.0,Brock Purdy pass complete deep middle to Deebo Samuel for 42 yards (tackle by Stephon Gilmore and Leighton Vander Esch),0.17,4.37,5.0,2023,77
3.0,8:50,1.0,10.0,DAL 18,10.0,21.0,Brock Purdy pass complete short middle to Kyle Juszczyk for 7 yards (tackle by Jayron Kearse),4.37,5.01,5.0,2023,77
3.0,8:08,2.0,3.0,DAL 11,10.0,21.0,Deebo Samuel left guard for 1 yard (tackle by DaRon Bland and Dorance Armstrong),5.01,4.51,5.0,2023,77
3.0,7:24,3.0,2.0,DAL 10,10.0,27.0,"Brock Purdy pass complete short left to George Kittle for 10 yards, touchdown",4.51,7.0,5.0,2023,77
3.0,7:20,,,DAL 15,10.0,28.0,Jake Moody kicks extra point good,0.0,0.0,5.0,2023,77
3.0,7:20,,,SFO 35,10.0,28.0,"Jake Moody kicks off 57 yards, returned by Rico Dowdle for 13 yards (tackle by George Odum)",0.0,0.34,5.0,2023,77
3.0,7:16,1.0,10.0,DAL 21,10.0,28.0,Dak Prescott pass complete short left to CeeDee Lamb for 6 yards (tackle by Dre Greenlaw and Deommodore Lenoir),0.34,0.61,5.0,2023,77
3.0,6:45,2.0,4.0,DAL 27,10.0,28.0,Tony Pollard up the middle for 10 yards (tackle by Talanoa Hufanga),0.61,1.4,5.0,2023,77
3.0,6:16,1.0,10.0,DAL 37,10.0,28.0,Dak Prescott pass deep left intended for Brandin Cooks is intercepted by Tashaun Gipson at SF-12 and returned for 26 yards (tackle by Sean McKeon and Tyler Smith),1.4,-1.47,5.0,2023,77
3.0,6:01,1.0,10.0,SFO 38,10.0,28.0,Jordan Mason up the middle for 8 yards (tackle by Micah Parsons and Damone Clark),1.47,2.0,5.0,2023,77
3.0,5:15,2.0,2.0,SFO 46,10.0,28.0,Jordan Mason up the middle for 4 yards (tackle by Donovan Wilson),2.0,2.26,5.0,2023,77
3.0,4:34,1.0,10.0,SFO 50,10.0,28.0,Brock Purdy pass incomplete short left intended for Jordan Mason,2.26,1.71,5.0,2023,77
3.0,4:29,2.0,10.0,SFO 50,10.0,28.0,Brock Purdy pass complete short right to Christian McCaffrey for 8 yards (tackle by Jourdan Lewis and Markquese Bell),1.71,2.08,5.0,2023,77
3.0,3:44,3.0,2.0,DAL 42,10.0,28.0,Brock Purdy pass complete deep left to Jauan Jennings for 19 yards (tackle by Malik Hooker),2.08,4.04,5.0,2023,77
3.0,3:02,1.0,10.0,DAL 23,10.0,28.0,Christian McCaffrey up the middle for 5 yards (tackle by Leighton Vander Esch),4.04,4.21,5.0,2023,77
3.0,2:21,2.0,5.0,DAL 18,10.0,28.0,Deebo Samuel left guard for 4 yards (tackle by Leighton Vander Esch),4.21,4.28,5.0,2023,77
3.0,1:37,3.0,1.0,DAL 14,10.0,28.0,Christian McCaffrey up the middle for 1 yard (tackle by Johnathan Hankins),4.28,4.71,5.0,2023,77
3.0,0:55,1.0,10.0,DAL 13,10.0,28.0,Christian McCaffrey up the middle for 3 yards (tackle by Dorance Armstrong and Osa Odighizuwa),4.71,4.58,5.0,2023,77
3.0,0:14,2.0,7.0,DAL 10,10.0,28.0,Brock Purdy pass complete short right to Kyle Juszczyk for 9 yards (tackle by Leighton Vander Esch and Malik Hooker),4.58,6.97,5.0,2023,77
4.0,15:00,1.0,1.0,DAL 1,10.0,28.0,Christian McCaffrey up the middle for no gain (tackle by Donovan Wilson),6.97,5.91,5.0,2023,77
4.0,14:22,2.0,1.0,DAL 1,10.0,34.0,"Brock Purdy pass complete short right to Kyle Juszczyk for 1 yard, touchdown",5.91,7.0,5.0,2023,77
4.0,14:19,,,DAL 15,10.0,35.0,Jake Moody kicks extra point good,0.0,0.0,5.0,2023,77
4.0,14:19,,,SFO 35,10.0,35.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,77
4.0,14:19,1.0,10.0,DAL 25,10.0,35.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb,0.61,0.06,5.0,2023,77
4.0,14:15,2.0,10.0,DAL 25,10.0,35.0,Dak Prescott pass short left (defended by Deommodore Lenoir) intended for Michael Gallup is intercepted by Fred Warner at DAL-38 and returned for 12 yards (tackle by Michael Gallup),0.06,-3.84,5.0,2023,77
4.0,14:05,1.0,10.0,DAL 26,10.0,41.0,"Jordan Mason left end for 26 yards, touchdown",3.84,7.0,5.0,2023,77
4.0,13:59,,,DAL 15,10.0,42.0,Jake Moody kicks extra point good,0.0,0.0,5.0,2023,77
4.0,13:59,,,SFO 35,10.0,42.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,77
4.0,13:59,1.0,10.0,DAL 25,10.0,42.0,Tony Pollard up the middle for 7 yards (tackle by Clelin Ferrell),0.61,1.01,5.0,2023,77
4.0,13:38,2.0,3.0,DAL 32,10.0,42.0,Dak Prescott pass complete short right to Tony Pollard for 26 yards (tackle by Clelin Ferrell),1.01,2.79,5.0,2023,77
4.0,12:59,1.0,10.0,SFO 42,10.0,42.0,Dak Prescott pass short right intended for Brandin Cooks is intercepted by Oren Burks at SF-36 and returned for 11 yards (tackle by Terence Steele),2.79,-2.06,5.0,2023,77
4.0,12:50,1.0,10.0,SFO 47,10.0,42.0,Jordan Mason up the middle for 6 yards (tackle by Damone Clark and Donovan Wilson),2.06,2.33,5.0,2023,77
4.0,12:07,2.0,4.0,DAL 47,10.0,42.0,Jordan Mason up the middle for 8 yards (tackle by Stephon Gilmore),2.33,2.98,5.0,2023,77
4.0,11:19,1.0,10.0,DAL 39,10.0,42.0,Jordan Mason left end for -4 yards (tackle by Jayron Kearse),2.98,1.9,5.0,2023,77
4.0,10:35,2.0,14.0,DAL 43,10.0,42.0,Tyrion Davis-Price up the middle for 2 yards (tackle by Donovan Wilson),1.9,1.49,5.0,2023,77
4.0,9:49,3.0,12.0,DAL 41,10.0,42.0,"Penalty on Colton McKivitz: False Start, 5 yards (accepted) (no play)",1.49,0.83,5.0,2023,77
4.0,9:49,3.0,17.0,DAL 46,10.0,42.0,Sam Darnold pass complete short left to Ray-Ray McCloud for 1 yard (tackle by Damone Clark),0.83,0.27,5.0,2023,77
4.0,8:54,4.0,16.0,DAL 45,10.0,42.0,Mitch Wishnowsky punts 44 yards downed by Ronnie Bell,0.27,0.38,5.0,2023,77
4.0,8:47,1.0,10.0,DAL 1,10.0,42.0,Rico Dowdle up the middle for no gain (tackle by Ji'Ayir Brown and Kevin Givens),-0.38,-0.78,5.0,2023,77
4.0,8:10,2.0,10.0,DAL 1,10.0,42.0,Cooper Rush pass complete short right to Michael Gallup for 7 yards (tackle by Ambry Thomas),-0.78,-0.6,5.0,2023,77
4.0,7:29,3.0,3.0,DAL 8,10.0,42.0,Rico Dowdle right guard for 8 yards (tackle by Austin Bryant and Oren Burks),-0.6,-0.14,5.0,2023,77
4.0,6:56,1.0,10.0,DAL 16,10.0,42.0,Cooper Rush pass complete short right to Deuce Vaughn for 1 yard (tackle by Oren Burks),-0.14,-0.51,5.0,2023,77
4.0,6:19,2.0,9.0,DAL 17,10.0,42.0,Rico Dowdle right end for 3 yards (tackle by Ambry Thomas),-0.51,-0.82,5.0,2023,77
4.0,5:43,3.0,6.0,DAL 20,10.0,42.0,Cooper Rush sacked by Kevin Givens for -8 yards,-0.82,-2.49,5.0,2023,77
4.0,5:05,4.0,14.0,DAL 12,10.0,42.0,"Bryan Anger punts 54 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Damone Clark)",-2.49,-1.99,5.0,2023,77
4.0,4:52,1.0,10.0,SFO 46,10.0,42.0,Tyrion Davis-Price right end for 15 yards (tackle by DaRon Bland and Malik Hooker),1.99,2.98,5.0,2023,77
4.0,4:13,1.0,10.0,DAL 39,10.0,42.0,Tyrion Davis-Price left end for 4 yards (tackle by Mazi Smith),2.98,2.98,5.0,2023,77
4.0,3:29,2.0,6.0,DAL 35,10.0,42.0,Tyrion Davis-Price up the middle for 4 yards (tackle by Neville Gallimore and Malik Jefferson),2.98,2.81,5.0,2023,77
4.0,2:41,3.0,2.0,DAL 31,10.0,42.0,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",2.81,2.15,5.0,2023,77
4.0,2:41,3.0,7.0,DAL 36,10.0,42.0,Tyrion Davis-Price up the middle for no gain (tackle by Markquese Bell),2.15,0.88,5.0,2023,77
4.0,2:00,4.0,7.0,DAL 36,10.0,42.0,Tyrion Davis-Price right end for -4 yards (tackle by Malik Jefferson),0.88,-1.6,5.0,2023,77
4.0,1:54,1.0,10.0,DAL 40,10.0,42.0,"Deuce Vaughn up the middle for 1 yard (tackle by Ambry Thomas). Penalty on Tyler Smith: Unnecessary Roughness / Offense, 15 yards (accepted)",1.6,-0.84,5.0,2023,77
4.0,1:42,2.0,24.0,DAL 26,10.0,42.0,Deuce Vaughn up the middle for 4 yards (tackle by Dee Winters),-0.84,-0.96,5.0,2023,77
4.0,0:57,3.0,20.0,DAL 30,10.0,42.0,Deuce Vaughn right tackle for 2 yards (tackle by Oren Burks),-0.96,-1.24,5.0,2023,77
4.0,0:11,4.0,18.0,DAL 32,10.0,42.0,Cooper Rush kneels for -2 yards,-1.24,-3.58,5.0,2023,77
4.0,0:10,1.0,10.0,DAL 30,10.0,42.0,Sam Darnold kneels for -1 yards,3.58,2.9,5.0,2023,77
