Quarter,Time,Down,ToGo,Location,KAN,MIN,Detail,EPB,EPA,week,year,game_id
1.0,4:52,2.0,18.0,KAN 33,7.0,0.0,Kirk Cousins pass complete short middle to Alexander Mattison for 11 yards (tackle by Justin Reid and Joshua Williams),2.28,3.07,5.0,2023,76
1.0,4:12,3.0,7.0,KAN 22,7.0,0.0,Kirk Cousins pass incomplete short left intended for T.J. Hockenson,3.07,1.99,5.0,2023,76
1.0,4:06,4.0,7.0,KAN 22,7.0,3.0,Greg Joseph 40 yard field goal good,1.99,3.0,5.0,2023,76
1.0,4:02,,,MIN 35,7.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,76
1.0,4:02,1.0,10.0,KAN 25,7.0,3.0,Clyde Edwards-Helaire left end for 2 yards (tackle by Jordan Hicks),0.61,0.33,5.0,2023,76
1.0,3:28,2.0,8.0,KAN 27,7.0,3.0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Camryn Bynum),0.33,0.43,5.0,2023,76
1.0,2:51,3.0,2.0,KAN 33,7.0,3.0,Patrick Mahomes pass complete short left to Kadarius Toney for 9 yards (tackle by Josh Metellus),0.43,1.73,5.0,2023,76
1.0,2:28,1.0,10.0,KAN 42,7.0,3.0,Patrick Mahomes sacked by Danielle Hunter for -7 yards,1.73,0.24,5.0,2023,76
1.0,1:46,2.0,17.0,KAN 35,7.0,3.0,Patrick Mahomes pass complete short left to Justyn Ross for 20 yards (tackle by Mekhi Blackmon),0.24,2.59,5.0,2023,76
1.0,1:07,1.0,10.0,MIN 45,7.0,3.0,Clyde Edwards-Helaire left tackle for 1 yard (tackle by Jordan Hicks and Harrison Phillips),2.59,2.18,5.0,2023,76
1.0,0:33,2.0,9.0,MIN 44,7.0,3.0,Patrick Mahomes pass complete short right to Rashee Rice for 4 yards (tackle by Byron Murphy and Harrison Phillips),2.18,2.01,5.0,2023,76
2.0,15:00,3.0,5.0,MIN 40,7.0,3.0,Patrick Mahomes pass complete short middle to Jerick McKinnon for 15 yards (tackle by Harrison Smith),2.01,3.91,5.0,2023,76
2.0,14:23,1.0,10.0,MIN 25,7.0,3.0,Clyde Edwards-Helaire left guard for 1 yard (tackle by Harrison Phillips and Ivan Pace),3.91,3.5,5.0,2023,76
2.0,13:45,2.0,9.0,MIN 24,7.0,3.0,Patrick Mahomes pass complete short left to Travis Kelce for 4 yards (tackle by Harrison Smith),3.5,3.34,5.0,2023,76
2.0,13:01,3.0,5.0,MIN 20,7.0,3.0,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling,3.34,2.17,5.0,2023,76
2.0,12:49,4.0,5.0,MIN 20,10.0,3.0,Harrison Butker 38 yard field goal good,2.17,3.0,5.0,2023,76
2.0,12:46,,,KAN 35,10.0,3.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,76
2.0,12:46,1.0,10.0,MIN 25,10.0,3.0,"Kirk Cousins pass complete short middle to Justin Jefferson for 14 yards (tackle by Justin Reid). Penalty on Justin Reid: Unnecessary Roughness / Defense, 15 yards (accepted)",0.61,2.52,5.0,2023,76
2.0,12:14,1.0,10.0,KAN 46,10.0,3.0,Cam Akers right end for 3 yards (tackle by Derrick Nnadi),2.52,2.38,5.0,2023,76
2.0,11:51,2.0,7.0,KAN 43,10.0,3.0,"Kirk Cousins pass complete short left to T.J. Hockenson for no gain (tackle by Willie Gay). Penalty on L'Jarius Sneed: Illegal Contact, 5 yards (accepted) (no play)",2.38,3.05,5.0,2023,76
2.0,11:26,1.0,10.0,KAN 38,10.0,3.0,Cam Akers up the middle for 2 yards (tackle by Trent McDuffie),3.05,2.78,5.0,2023,76
2.0,10:52,2.0,8.0,KAN 36,10.0,3.0,Kirk Cousins pass complete short left to Cam Akers for no gain (tackle by Willie Gay),2.78,2.08,5.0,2023,76
2.0,10:13,3.0,8.0,KAN 36,10.0,3.0,"Kirk Cousins pass incomplete deep right intended for Justin Jefferson. Penalty on Trent McDuffie: Defensive Pass Interference, 11 yards (accepted) (no play)",2.08,3.91,5.0,2023,76
2.0,10:07,1.0,10.0,KAN 25,10.0,3.0,"Cam Akers right guard for 3 yards (tackle by Willie Gay). Penalty on L'Jarius Sneed: Illegal Use of Hands / Defense, 5 yards (accepted)",3.91,4.44,5.0,2023,76
2.0,9:34,1.0,10.0,KAN 17,10.0,3.0,"Kirk Cousins pass complete short middle to Cam Akers for no gain (tackle by Trent McDuffie). Penalty on Brian O'Neill: Offensive Holding, 10 yards (accepted) (no play)",4.44,3.78,5.0,2023,76
2.0,9:04,1.0,20.0,KAN 27,10.0,3.0,Kirk Cousins pass incomplete deep right intended for Jordan Addison,3.78,2.54,5.0,2023,76
2.0,8:58,2.0,20.0,KAN 27,10.0,3.0,Kirk Cousins pass complete short right to Jordan Addison for 16 yards (tackle by L'Jarius Sneed),2.54,4.1,5.0,2023,76
2.0,8:12,3.0,4.0,KAN 11,10.0,3.0,Kirk Cousins pass incomplete short middle intended for K.J. Osborn,4.1,2.77,5.0,2023,76
2.0,8:05,4.0,4.0,KAN 11,10.0,6.0,Greg Joseph 29 yard field goal good,2.77,3.0,5.0,2023,76
2.0,8:02,,,MIN 35,10.0,6.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,76
2.0,8:02,1.0,10.0,KAN 25,10.0,6.0,Patrick Mahomes pass incomplete short right intended for Kadarius Toney,0.61,0.06,5.0,2023,76
2.0,7:57,2.0,10.0,KAN 25,10.0,6.0,Isiah Pacheco left guard for 4 yards (tackle by Jonathan Bullard and Ivan Pace),0.06,-0.1,5.0,2023,76
2.0,7:19,3.0,6.0,KAN 29,10.0,6.0,Patrick Mahomes pass incomplete deep right intended for Justin Watson (defended by Mekhi Blackmon),-0.1,-1.44,5.0,2023,76
2.0,7:13,4.0,6.0,KAN 29,10.0,6.0,"Tommy Townsend punts 42 yards out of bounds. Penalty on Nic Jones: Fair Catch Interference, 15 yards (accepted)",-1.44,-1.86,5.0,2023,76
2.0,7:03,1.0,10.0,MIN 44,10.0,6.0,Alexander Mattison right end for 2 yards (tackle by George Karlaftis),1.86,1.59,5.0,2023,76
2.0,6:28,2.0,8.0,MIN 46,10.0,6.0,Kirk Cousins sacked by Chris Jones for -7 yards,1.59,-0.03,5.0,2023,76
2.0,5:50,3.0,15.0,MIN 39,10.0,6.0,Kirk Cousins pass complete short right to T.J. Hockenson for 13 yards (tackle by Trent McDuffie),-0.03,0.07,5.0,2023,76
2.0,5:04,4.0,2.0,KAN 48,10.0,6.0,Ty Chandler right end for 15 yards (tackle by Drue Tranquill),0.07,3.38,5.0,2023,76
2.0,4:23,1.0,10.0,KAN 33,10.0,6.0,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,3.38,2.84,5.0,2023,76
2.0,4:21,2.0,10.0,KAN 33,10.0,6.0,Brandon Powell right end for 9 yards (tackle by Trent McDuffie),2.84,3.34,5.0,2023,76
2.0,4:05,3.0,1.0,KAN 24,10.0,6.0,Kirk Cousins up the middle for 2 yards (tackle by Drue Tranquill),3.34,4.11,5.0,2023,76
2.0,3:27,1.0,10.0,KAN 22,10.0,6.0,Alexander Mattison right guard for 4 yards (tackle by Willie Gay and Drue Tranquill),4.11,4.13,5.0,2023,76
2.0,2:43,2.0,6.0,KAN 18,10.0,6.0,Alexander Mattison right tackle for -3 yards (tackle by Mike Edwards and Felix Anudike-Uzomah),4.13,3.01,5.0,2023,76
2.0,2:00,3.0,9.0,KAN 21,10.0,6.0,Kirk Cousins pass complete short left to Jordan Addison for 15 yards (tackle by Joshua Williams),3.01,5.83,5.0,2023,76
2.0,1:47,,,,,,Timeout #1 by Kansas City Chiefs,,,5.0,2023,76
2.0,1:47,1.0,6.0,KAN 6,10.0,6.0,Kirk Cousins pass complete short middle to Brandon Powell for 1 yard (tackle by Drue Tranquill),5.83,5.15,5.0,2023,76
2.0,1:43,,,,,,Timeout #2 by Kansas City Chiefs,,,5.0,2023,76
2.0,1:43,2.0,5.0,KAN 5,10.0,12.0,"Kirk Cousins pass complete short left to Jordan Addison for 5 yards, touchdown",5.15,7.0,5.0,2023,76
2.0,1:39,,,KAN 15,10.0,13.0,Greg Joseph kicks extra point good,0.0,0.0,5.0,2023,76
2.0,1:39,,,MIN 35,10.0,13.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,76
2.0,1:39,1.0,10.0,KAN 25,10.0,13.0,Patrick Mahomes pass complete short left to Travis Kelce for 9 yards (tackle by Josh Metellus),0.61,1.28,5.0,2023,76
2.0,1:18,2.0,1.0,KAN 34,10.0,13.0,Patrick Mahomes pass complete short right to Travis Kelce for no gain (tackle by Byron Murphy),1.28,0.56,5.0,2023,76
2.0,0:54,3.0,1.0,KAN 34,10.0,13.0,Jerick McKinnon left tackle for 7 yards (tackle by Jordan Hicks),0.56,1.66,5.0,2023,76
2.0,0:35,1.0,10.0,KAN 41,10.0,13.0,Patrick Mahomes pass incomplete short left intended for Jerick McKinnon (defended by Jordan Hicks),1.66,1.12,5.0,2023,76
2.0,0:32,2.0,10.0,KAN 41,10.0,13.0,"Patrick Mahomes pass complete deep right to Justin Watson for 23 yards Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.12,3.18,5.0,2023,76
2.0,0:26,,,,,,Timeout #1 by Minnesota Vikings,,,5.0,2023,76
2.0,0:26,1.0,10.0,MIN 36,10.0,13.0,Patrick Mahomes pass complete short left to Noah Gray for 12 yards (tackle by Byron Murphy),3.18,3.97,5.0,2023,76
2.0,0:10,1.0,10.0,MIN 24,10.0,13.0,Patrick Mahomes spiked the ball,3.97,3.43,5.0,2023,76
2.0,0:09,2.0,10.0,MIN 24,10.0,13.0,"Penalty on KAN: Delay of Game, 5 yards (accepted) (no play)",3.43,2.76,5.0,2023,76
2.0,0:09,2.0,15.0,MIN 29,10.0,13.0,Patrick Mahomes pass incomplete short right,2.76,2.08,5.0,2023,76
2.0,0:07,,,,,,Timeout #2 by Minnesota Vikings,,,5.0,2023,76
2.0,0:07,3.0,15.0,MIN 29,10.0,13.0,Patrick Mahomes pass complete short left to Skyy Moore for 7 yards (tackle by Akayleb Evans),2.08,1.99,5.0,2023,76
2.0,0:04,,,,,,Timeout #3 by Kansas City Chiefs,,,5.0,2023,76
2.0,0:04,4.0,8.0,MIN 22,13.0,13.0,Harrison Butker 40 yard field goal good,1.99,3.0,5.0,2023,76
3.0,15:00,,,MIN 35,13.0,13.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,76
3.0,15:00,1.0,10.0,KAN 25,13.0,13.0,Patrick Mahomes sacked by Marcus Davenport for -8 yards,0.61,-1.15,5.0,2023,76
3.0,14:26,2.0,18.0,KAN 17,13.0,13.0,Patrick Mahomes pass complete short left to Kadarius Toney for no gain (tackle by Akayleb Evans),-1.15,-1.93,5.0,2023,76
3.0,13:47,3.0,18.0,KAN 17,13.0,13.0,Patrick Mahomes pass complete deep left to Justin Watson for 33 yards (tackle by Camryn Bynum),-1.93,2.26,5.0,2023,76
3.0,13:13,1.0,10.0,MIN 50,13.0,13.0,Isiah Pacheco left guard for 3 yards (tackle by Harrison Smith),2.26,2.12,5.0,2023,76
3.0,12:40,2.0,7.0,MIN 47,13.0,13.0,Patrick Mahomes pass complete short middle to Rashee Rice for 13 yards (tackle by Jordan Hicks),2.12,3.31,5.0,2023,76
3.0,12:09,1.0,10.0,MIN 34,13.0,13.0,Patrick Mahomes pass complete short left to Justyn Ross for 8 yards (tackle by Mekhi Blackmon),3.31,3.85,5.0,2023,76
3.0,11:33,2.0,2.0,MIN 26,13.0,13.0,Isiah Pacheco up the middle for 6 yards (tackle by D.J. Wonnum and Jonathan Bullard),3.85,4.24,5.0,2023,76
3.0,10:56,1.0,10.0,MIN 20,13.0,13.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 12 yards (tackle by Josh Metellus),4.24,5.37,5.0,2023,76
3.0,10:24,1.0,8.0,MIN 8,13.0,13.0,Patrick Mahomes pass incomplete short left intended for Rashee Rice,5.37,4.57,5.0,2023,76
3.0,10:18,2.0,8.0,MIN 8,13.0,13.0,Patrick Mahomes pass incomplete short right intended for Justyn Ross (defended by Byron Murphy),4.57,3.58,5.0,2023,76
3.0,10:13,3.0,8.0,MIN 8,19.0,13.0,"Patrick Mahomes pass complete short middle to Rashee Rice for 8 yards, touchdown",3.58,7.0,5.0,2023,76
3.0,10:10,,,MIN 15,20.0,13.0,Harrison Butker kicks extra point good,0.0,0.0,5.0,2023,76
3.0,10:10,,,KAN 35,20.0,13.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,76
3.0,10:10,1.0,10.0,MIN 25,20.0,13.0,Kirk Cousins pass incomplete deep middle intended for T.J. Hockenson,0.61,0.06,5.0,2023,76
3.0,10:06,2.0,10.0,MIN 25,20.0,13.0,Alexander Mattison right end for 3 yards (tackle by Drue Tranquill),0.06,-0.23,5.0,2023,76
3.0,9:27,,,,,,Timeout #1 by Minnesota Vikings,,,5.0,2023,76
3.0,9:27,3.0,7.0,MIN 28,20.0,13.0,Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Mike Edwards),-0.23,-1.5,5.0,2023,76
3.0,9:22,4.0,7.0,MIN 28,20.0,13.0,"Ryan Wright punts 54 yards, returned by Montrell Washington for 8 yards (tackle by D.J. Wonnum)",-1.5,-0.67,5.0,2023,76
3.0,9:12,1.0,10.0,KAN 26,20.0,13.0,Patrick Mahomes pass complete short left to Kadarius Toney for 3 yards (tackle by Camryn Bynum and Jordan Hicks),0.67,0.54,5.0,2023,76
3.0,8:35,2.0,7.0,KAN 29,20.0,13.0,Patrick Mahomes pass incomplete short left intended for Justyn Ross,0.54,-0.16,5.0,2023,76
3.0,8:29,3.0,7.0,KAN 29,20.0,13.0,"Patrick Mahomes pass complete short right to Travis Kelce for 14 yards (tackle by Josh Metellus) MIN challenged the pass interception ruling, and the play was upheld.",-0.16,1.8,5.0,2023,76
3.0,7:55,1.0,10.0,KAN 43,20.0,13.0,Kadarius Toney left tackle for 1 yard (tackle by D.J. Wonnum and Jordan Hicks),1.8,1.39,5.0,2023,76
3.0,7:23,2.0,9.0,KAN 44,20.0,13.0,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by Camryn Bynum),1.39,1.75,5.0,2023,76
3.0,6:44,3.0,1.0,MIN 48,20.0,13.0,Isiah Pacheco right end for no gain (tackle by Jonathan Bullard and Dean Lowry),1.75,0.07,5.0,2023,76
3.0,6:07,4.0,1.0,MIN 48,20.0,13.0,"Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Harrison Smith: Defensive Pass Interference, 31 yards (accepted) (no play)",0.07,4.44,5.0,2023,76
3.0,5:58,1.0,10.0,MIN 17,20.0,13.0,"Isiah Pacheco left guard for no gain (tackle by Harrison Phillips). Penalty on Travis Kelce: Chop Block, 15 yards (accepted) (no play)",4.44,3.45,5.0,2023,76
3.0,5:32,1.0,25.0,MIN 32,20.0,13.0,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by Jordan Hicks),3.45,2.95,5.0,2023,76
3.0,4:52,2.0,17.0,MIN 24,20.0,13.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 9 yards (tackle by Mekhi Blackmon),2.95,3.34,5.0,2023,76
3.0,4:13,3.0,8.0,MIN 15,20.0,13.0,Patrick Mahomes pass complete short left to Travis Kelce for 11 yards (tackle by Harrison Smith),3.34,6.28,5.0,2023,76
3.0,3:30,1.0,4.0,MIN 4,20.0,13.0,Isiah Pacheco right guard for no gain (tackle by Jordan Hicks and Jonathan Bullard),6.28,5.34,5.0,2023,76
3.0,2:48,2.0,4.0,MIN 4,26.0,13.0,"Patrick Mahomes pass complete short right to Travis Kelce for 4 yards, touchdown",5.34,7.0,5.0,2023,76
3.0,2:45,,,MIN 15,27.0,13.0,Harrison Butker kicks extra point good,0.0,0.0,5.0,2023,76
3.0,2:45,,,KAN 35,27.0,13.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,76
3.0,2:45,1.0,10.0,MIN 25,27.0,13.0,Cam Akers up the middle for 1 yard (tackle by Jaylen Watson),0.61,0.2,5.0,2023,76
3.0,2:09,2.0,9.0,MIN 26,27.0,13.0,Kirk Cousins pass complete short right to K.J. Osborn for 11 yards (tackle by Drue Tranquill),0.2,1.4,5.0,2023,76
3.0,1:29,1.0,10.0,MIN 37,27.0,13.0,Kirk Cousins pass complete deep right to T.J. Hockenson for 19 yards (tackle by Jaylen Watson),1.4,2.65,5.0,2023,76
3.0,1:01,1.0,10.0,KAN 44,27.0,13.0,Kirk Cousins pass complete short middle to Cam Akers for 3 yards (tackle by Drue Tranquill),2.65,2.52,5.0,2023,76
3.0,0:26,2.0,7.0,KAN 41,27.0,13.0,Cam Akers right guard for 6 yards (tackle by Michael Danna),2.52,2.61,5.0,2023,76
3.0,0:02,3.0,1.0,KAN 35,27.0,13.0,Kirk Cousins up the middle for 2 yards (tackle by Willie Gay),2.61,3.38,5.0,2023,76
4.0,15:00,1.0,10.0,KAN 33,27.0,13.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson,3.38,2.84,5.0,2023,76
4.0,14:56,2.0,10.0,KAN 33,27.0,13.0,Kirk Cousins pass complete short middle to K.J. Osborn for 9 yards (tackle by Trent McDuffie),2.84,3.34,5.0,2023,76
4.0,14:32,3.0,1.0,KAN 24,27.0,13.0,Kirk Cousins up the middle for 1 yard (tackle by Chris Jones and Tershawn Wharton),3.34,4.04,5.0,2023,76
4.0,13:45,1.0,10.0,KAN 23,27.0,13.0,Kirk Cousins pass incomplete deep right intended for Josh Oliver,4.04,3.5,5.0,2023,76
4.0,13:39,2.0,10.0,KAN 23,27.0,13.0,Kirk Cousins pass complete short right to T.J. Hockenson for 4 yards (tackle by Justin Reid),3.5,3.34,5.0,2023,76
4.0,12:59,3.0,6.0,KAN 19,27.0,13.0,Kirk Cousins pass incomplete short left intended for K.J. Osborn,3.34,2.21,5.0,2023,76
4.0,12:55,4.0,6.0,KAN 19,27.0,13.0,Kirk Cousins pass complete short left to Jordan Addison for 10 yards (tackle by Jaylen Watson),2.21,5.14,5.0,2023,76
4.0,12:15,1.0,9.0,KAN 9,27.0,19.0,"Kirk Cousins pass complete short left to Alexander Mattison for 9 yards, touchdown",5.14,7.0,5.0,2023,76
4.0,12:11,,,KAN 15,27.0,20.0,Greg Joseph kicks extra point good,0.0,0.0,5.0,2023,76
4.0,12:11,,,MIN 35,27.0,20.0,"Greg Joseph kicks off 57 yards, returned by Montrell Washington for 20 yards (tackle by Ivan Pace)",0.0,0.81,5.0,2023,76
4.0,12:07,1.0,10.0,KAN 28,27.0,20.0,Isiah Pacheco up the middle for 4 yards (tackle by Jonathan Bullard and Harrison Phillips),0.81,0.8,5.0,2023,76
4.0,11:33,2.0,6.0,KAN 32,27.0,20.0,Patrick Mahomes pass complete short right to Kadarius Toney for 6 yards (tackle by Ivan Pace),0.8,1.47,5.0,2023,76
4.0,10:55,1.0,10.0,KAN 38,27.0,20.0,Isiah Pacheco right guard for 9 yards (tackle by Camryn Bynum and Harrison Smith),1.47,2.14,5.0,2023,76
4.0,10:17,2.0,1.0,KAN 47,27.0,20.0,Isiah Pacheco up the middle for no gain (tackle by D.J. Wonnum and Jonathan Bullard),2.14,1.42,5.0,2023,76
4.0,9:40,3.0,1.0,KAN 47,27.0,20.0,Isiah Pacheco left guard for no gain (tackle by Josh Metellus and Harrison Smith),1.42,-0.26,5.0,2023,76
4.0,9:05,,,,,,Timeout #3 by Minnesota Vikings,,,5.0,2023,76
4.0,9:05,4.0,1.0,KAN 47,27.0,20.0,"Penalty on KAN: Delay of Game, 5 yards (accepted) (no play)",-0.26,-0.59,5.0,2023,76
4.0,9:05,4.0,6.0,KAN 42,27.0,20.0,"Tommy Townsend punts 58 yards, touchback.",-0.59,-0.28,5.0,2023,76
4.0,8:55,1.0,10.0,MIN 20,27.0,20.0,"Kirk Cousins pass complete short left to Alexander Mattison for no gain (tackle by Trent McDuffie). Penalty on Christian Darrisaw: Illegal Formation, 5 yards (accepted) (no play)",0.28,-0.31,5.0,2023,76
4.0,8:26,1.0,15.0,MIN 15,27.0,20.0,Kirk Cousins pass incomplete short middle intended for T.J. Hockenson (defended by Justin Reid),-0.31,-1.07,5.0,2023,76
4.0,8:20,2.0,15.0,MIN 15,27.0,20.0,Kirk Cousins pass complete short left to Jordan Addison for 7 yards (tackle by Joshua Williams),-1.07,-0.69,5.0,2023,76
4.0,7:44,3.0,8.0,MIN 22,27.0,20.0,Kirk Cousins pass complete short right to Brandon Powell for 13 yards (tackle by L'Jarius Sneed),-0.69,1.27,5.0,2023,76
4.0,7:16,1.0,10.0,MIN 35,27.0,20.0,Kirk Cousins pass complete short right to Johnny Mundt for 11 yards (tackle by Drue Tranquill and L'Jarius Sneed),1.27,1.99,5.0,2023,76
4.0,6:49,1.0,10.0,MIN 46,27.0,20.0,Alexander Mattison left tackle for 5 yards (tackle by Justin Reid and Michael Danna),1.99,2.13,5.0,2023,76
4.0,6:23,2.0,5.0,KAN 49,27.0,20.0,Kirk Cousins pass complete short left to K.J. Osborn for 27 yards (tackle by L'Jarius Sneed),2.13,4.11,5.0,2023,76
4.0,5:39,1.0,10.0,KAN 22,27.0,20.0,Kirk Cousins pass complete short right to K.J. Osborn for 3 yards (tackle by L'Jarius Sneed),4.11,3.97,5.0,2023,76
4.0,5:05,2.0,7.0,KAN 19,27.0,20.0,Kirk Cousins pass incomplete short left intended for Alexander Mattison (defended by Chris Jones),3.97,3.26,5.0,2023,76
4.0,4:58,3.0,7.0,KAN 19,27.0,20.0,Kirk Cousins pass incomplete deep right intended for Jordan Addison,3.26,2.18,5.0,2023,76
4.0,4:54,4.0,7.0,KAN 19,27.0,20.0,"Penalty on MIN: Delay of Game, 5 yards (accepted) (no play)",2.18,1.87,5.0,2023,76
4.0,4:54,4.0,12.0,KAN 24,27.0,20.0,Kirk Cousins pass incomplete deep right intended for Jordan Addison (defended by Trent McDuffie),1.87,-0.61,5.0,2023,76
4.0,4:49,1.0,10.0,KAN 25,27.0,20.0,Isiah Pacheco up the middle for 4 yards (tackle by Harrison Smith and Danielle Hunter),0.61,0.67,5.0,2023,76
4.0,4:10,2.0,5.0,KAN 29,27.0,20.0,Patrick Mahomes pass complete short left to Rashee Rice for 8 yards (tackle by Mekhi Blackmon),0.67,1.4,5.0,2023,76
4.0,3:29,1.0,10.0,KAN 37,27.0,20.0,Isiah Pacheco right guard for 1 yard (tackle by Harrison Phillips and Jonathan Bullard),1.4,0.99,5.0,2023,76
4.0,2:46,2.0,9.0,KAN 38,27.0,20.0,Isiah Pacheco right guard for 3 yards (tackle by Marcus Davenport and Jordan Hicks),0.99,0.7,5.0,2023,76
4.0,2:00,3.0,6.0,KAN 41,27.0,20.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 3 yards (tackle by Harrison Smith and Jordan Hicks),0.7,-0.46,5.0,2023,76
4.0,1:13,4.0,3.0,KAN 44,27.0,20.0,"Tommy Townsend punts 40 yards, returned by Brandon Powell for 3 yards (tackle by Jaylen Watson)",-0.46,-0.15,5.0,2023,76
