Quarter,Time,Down,ToGo,Location,NYJ,DEN,Detail,EPB,EPA,week,year,game_id
1.0,10:20,3.0,8.0,DEN 27,3.0,0.0,Russell Wilson scrambles left end for 16 yards (tackle by Jordan Whitehead),-0.36,1.8,5.0,2023,75
1.0,9:39,1.0,10.0,DEN 43,3.0,0.0,Jaleel McLaughlin right guard for 2 yards (tackle by Quincy Williams and C.J. Mosley),1.8,1.52,5.0,2023,75
1.0,9:02,2.0,8.0,DEN 45,3.0,0.0,Jaleel McLaughlin right end for 38 yards (tackle by Jordan Whitehead),1.52,4.44,5.0,2023,75
1.0,8:15,1.0,10.0,NYJ 17,3.0,0.0,"Samaje Perine right tackle for no gain (tackle by Sauce Gardner). Penalty on Adam Trautman: Offensive Holding, 10 yards (accepted) (no play)",4.44,3.78,5.0,2023,75
1.0,7:49,1.0,20.0,NYJ 27,3.0,0.0,"Russell Wilson pass incomplete. Penalty on C.J. Mosley: Illegal Contact, 5 yards (accepted) (no play)",3.78,4.11,5.0,2023,75
1.0,7:42,1.0,10.0,NYJ 22,3.0,6.0,"Russell Wilson pass complete short right to Jaleel McLaughlin for 22 yards, touchdown",4.11,7.0,5.0,2023,75
1.0,7:34,,,NYJ 15,3.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,5.0,2023,75
1.0,7:34,,,DEN 35,3.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
1.0,7:34,1.0,10.0,NYJ 25,3.0,7.0,Zach Wilson pass complete short right to Breece Hall for 12 yards (tackle by Justin Simmons),0.61,1.4,5.0,2023,75
1.0,6:58,1.0,10.0,NYJ 37,3.0,7.0,Breece Hall up the middle for 7 yards (tackle by Damarri Mathis),1.4,1.8,5.0,2023,75
1.0,6:21,2.0,3.0,NYJ 44,3.0,7.0,Zach Wilson pass complete short left to Breece Hall for 2 yards (tackle by Kareem Jackson and Alex Singleton),1.8,1.36,5.0,2023,75
1.0,5:37,3.0,1.0,NYJ 46,3.0,7.0,"Penalty on Mekhi Becton: False Start, 5 yards (accepted) (no play)",1.36,0.7,5.0,2023,75
1.0,5:16,3.0,6.0,NYJ 41,3.0,7.0,Zach Wilson pass complete short right to Michael Carter for -1 yards (tackle by Damarri Mathis),0.7,-0.72,5.0,2023,75
1.0,4:33,4.0,7.0,NYJ 40,3.0,7.0,Thomas Morstead punts 54 yards out of bounds,-0.72,0.38,5.0,2023,75
1.0,4:24,1.0,10.0,DEN 6,5.0,7.0,"Russell Wilson pass incomplete short left. Penalty on Russell Wilson: Intentional Grounding, 6 yards (accepted)",-0.38,-2.0,5.0,2023,75
1.0,4:17,,,DEN 20,5.0,7.0,"Riley Dixon kicks off 67 yards, returned by Xavier Gipson for 20 yards (tackle by Justin Strnad)",0.0,1.14,5.0,2023,75
1.0,4:12,1.0,10.0,NYJ 33,5.0,7.0,"Zach Wilson scrambles for no gain. Penalty on Nick Bawden: Offensive Holding, 10 yards (accepted) (no play)",1.14,0.48,5.0,2023,75
1.0,4:05,1.0,20.0,NYJ 23,5.0,7.0,Zach Wilson sacked by Nik Bonitto for -2 yards,0.48,-1.03,5.0,2023,75
1.0,3:06,2.0,22.0,NYJ 21,5.0,7.0,Zach Wilson pass incomplete short right intended for Allen Lazard,-1.03,-1.68,5.0,2023,75
1.0,3:01,3.0,22.0,NYJ 21,5.0,7.0,"Zach Wilson sacked by Zach Allen for -12 yards. Zach Wilson fumbles (forced by Zach Allen), recovered by Zach Wilson at NYJ-9",-1.68,-2.49,5.0,2023,75
1.0,2:12,4.0,34.0,NYJ 9,5.0,7.0,Thomas Morstead punts 48 yards downed by Thomas Hennessy,-2.49,-1.8,5.0,2023,75
1.0,1:59,1.0,10.0,DEN 43,5.0,7.0,Russell Wilson pass complete short left to Samaje Perine for 25 yards (tackle by Tony Adams),1.8,3.45,5.0,2023,75
1.0,1:16,1.0,10.0,NYJ 32,5.0,7.0,Russell Wilson pass incomplete deep left intended for Adam Trautman (defended by Michael Carter),3.45,2.9,5.0,2023,75
1.0,1:09,2.0,10.0,NYJ 32,5.0,7.0,Russell Wilson scrambles right end for 6 yards (tackle by Quinton Jefferson),2.9,3.01,5.0,2023,75
1.0,0:24,,,,,,Timeout #1 by Denver Broncos,,,5.0,2023,75
1.0,0:24,3.0,4.0,NYJ 26,5.0,7.0,Russell Wilson scrambles right end for 21 yards (tackle by Bryce Hall),3.01,6.06,5.0,2023,75
2.0,15:00,1.0,5.0,NYJ 5,5.0,7.0,Russell Wilson pass complete short middle to Jerry Jeudy for -2 yards (tackle by C.J. Mosley),6.06,4.76,5.0,2023,75
2.0,14:20,2.0,7.0,NYJ 7,5.0,7.0,Samaje Perine left guard for 2 yards (tackle by C.J. Mosley and Jamien Sherwood),4.76,4.26,5.0,2023,75
2.0,13:35,3.0,5.0,NYJ 5,5.0,7.0,Russell Wilson left tackle for no gain (tackle by Quinnen Williams),4.26,3.01,5.0,2023,75
2.0,12:50,4.0,5.0,NYJ 5,5.0,10.0,Wil Lutz 23 yard field goal good,3.01,3.0,5.0,2023,75
2.0,12:47,,,DEN 35,5.0,10.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
2.0,12:47,1.0,10.0,NYJ 25,5.0,10.0,Breece Hall right end for 19 yards (tackle by Jonathon Cooper),0.61,1.86,5.0,2023,75
2.0,12:08,1.0,10.0,NYJ 44,5.0,10.0,Breece Hall right tackle for 5 yards (tackle by Alex Singleton),1.86,1.99,5.0,2023,75
2.0,11:31,2.0,5.0,NYJ 49,5.0,10.0,Breece Hall left tackle for 16 yards (tackle by Justin Simmons),1.99,3.25,5.0,2023,75
2.0,10:50,1.0,10.0,DEN 35,5.0,10.0,Zach Wilson scrambles right tackle for 9 yards (tackle by Jonathon Cooper),3.25,3.92,5.0,2023,75
2.0,10:11,2.0,1.0,DEN 26,5.0,10.0,Dalvin Cook right guard for 6 yards (tackle by Damarri Mathis and Josey Jewell),3.92,4.24,5.0,2023,75
2.0,9:32,1.0,10.0,DEN 20,5.0,10.0,Breece Hall right guard for 4 yards (tackle by Ja'Quan McMillian and Kareem Jackson),4.24,4.28,5.0,2023,75
2.0,8:52,2.0,6.0,DEN 16,5.0,10.0,Breece Hall left guard for 7 yards (tackle by Josey Jewell and Alex Singleton),4.28,5.14,5.0,2023,75
2.0,8:13,1.0,9.0,DEN 9,5.0,10.0,Breece Hall left tackle for -1 yards (tackle by Zach Allen),5.14,4.19,5.0,2023,75
2.0,7:32,2.0,10.0,DEN 10,5.0,10.0,Dalvin Cook right end for 2 yards (tackle by Jonathon Cooper and Patrick Surtain),4.19,3.58,5.0,2023,75
2.0,6:50,3.0,8.0,DEN 8,5.0,10.0,Zach Wilson pass incomplete short left intended for Garrett Wilson,3.58,2.95,5.0,2023,75
2.0,6:44,4.0,8.0,DEN 8,8.0,10.0,Greg Zuerlein 26 yard field goal good,2.95,3.0,5.0,2023,75
2.0,6:41,,,NYJ 35,8.0,10.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
2.0,6:41,1.0,10.0,DEN 25,8.0,10.0,Jaleel McLaughlin right tackle for 2 yards (tackle by Michael Carter and C.J. Mosley),0.61,0.33,5.0,2023,75
2.0,6:04,2.0,8.0,DEN 27,8.0,10.0,"Russell Wilson scrambles for 2 yards (tackle by Quincy Williams and C.J. Mosley). Penalty on Quincy Williams: Unnecessary Roughness / Defense, 15 yards (accepted)",0.33,1.86,5.0,2023,75
2.0,5:44,1.0,10.0,DEN 44,8.0,10.0,Jaleel McLaughlin for no gain (no play),1.86,2.59,5.0,2023,75
2.0,5:25,1.0,5.0,DEN 49,8.0,10.0,Russell Wilson pass complete short right to Jerry Jeudy for 6 yards (tackle by Bryce Hall),2.59,2.59,5.0,2023,75
2.0,4:43,1.0,10.0,NYJ 45,8.0,10.0,Russell Wilson pass incomplete short right intended for Nate Adkins,2.59,2.04,5.0,2023,75
2.0,4:36,2.0,10.0,NYJ 45,8.0,10.0,Jaleel McLaughlin left guard for 21 yards (tackle by Tony Adams),2.04,3.97,5.0,2023,75
2.0,3:59,1.0,10.0,NYJ 24,8.0,10.0,Russell Wilson pass complete short right to Adam Trautman for 6 yards (tackle by Bryce Hall),3.97,4.29,5.0,2023,75
2.0,3:20,2.0,4.0,NYJ 18,8.0,10.0,Samaje Perine right guard for 8 yards (tackle by Sauce Gardner),4.29,4.91,5.0,2023,75
2.0,2:42,1.0,10.0,NYJ 10,8.0,10.0,Russell Wilson pass complete short right to Adam Trautman for 5 yards (tackle by Sauce Gardner),4.91,5.15,5.0,2023,75
2.0,2:03,2.0,5.0,NYJ 5,8.0,10.0,Jaleel McLaughlin left end for -3 yards (tackle by Jamien Sherwood and Al Woods),5.15,3.58,5.0,2023,75
2.0,1:58,3.0,8.0,NYJ 8,8.0,10.0,Russell Wilson pass complete short right to Marvin Mims for 4 yards (tackle by C.J. Mosley),3.58,3.03,5.0,2023,75
2.0,1:51,,,,,,Timeout #1 by New York Jets,,,5.0,2023,75
2.0,1:51,4.0,4.0,NYJ 4,8.0,13.0,Wil Lutz 22 yard field goal good,3.03,3.0,5.0,2023,75
2.0,1:48,,,DEN 35,8.0,13.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
2.0,1:48,1.0,10.0,NYJ 25,8.0,13.0,Zach Wilson pass complete short middle to Tyler Conklin for 7 yards (tackle by Josey Jewell and Alex Singleton),0.61,1.01,5.0,2023,75
2.0,1:28,2.0,3.0,NYJ 32,8.0,13.0,Zach Wilson pass complete short left to Garrett Wilson for 12 yards (tackle by Patrick Surtain),1.01,1.86,5.0,2023,75
2.0,1:23,1.0,10.0,NYJ 44,8.0,13.0,Zach Wilson pass incomplete deep left intended for Garrett Wilson,1.86,1.32,5.0,2023,75
2.0,1:18,2.0,10.0,NYJ 44,8.0,13.0,Zach Wilson pass complete short right to Allen Lazard for 10 yards (tackle by Damarri Mathis),1.32,2.52,5.0,2023,75
2.0,0:51,1.0,10.0,DEN 46,8.0,13.0,Zach Wilson pass complete short middle to Michael Carter for 6 yards (tackle by Alex Singleton),2.52,2.79,5.0,2023,75
2.0,0:46,,,,,,Timeout #2 by New York Jets,,,5.0,2023,75
2.0,0:46,2.0,4.0,DEN 40,8.0,13.0,Zach Wilson pass complete short left to C.J. Uzomah for 7 yards (tackle by Damarri Mathis),2.79,3.38,5.0,2023,75
2.0,0:27,1.0,10.0,DEN 33,8.0,13.0,Zach Wilson scrambles right tackle for 8 yards (tackle by Ja'Quan McMillian),3.38,3.99,5.0,2023,75
2.0,0:19,,,,,,Timeout #3 by New York Jets,,,5.0,2023,75
2.0,0:19,2.0,1.0,DEN 25,8.0,13.0,Zach Wilson pass complete short right to Allen Lazard for 12 yards,3.99,4.71,5.0,2023,75
2.0,0:15,1.0,10.0,DEN 13,8.0,13.0,Zach Wilson pass complete short left to C.J. Uzomah for 5 yards (tackle by Kareem Jackson),4.71,4.96,5.0,2023,75
3.0,15:00,,,NYJ 35,8.0,13.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
3.0,15:00,1.0,10.0,DEN 25,8.0,13.0,Jaleel McLaughlin left tackle for 2 yards (tackle by Quincy Williams),0.61,0.33,5.0,2023,75
3.0,14:23,2.0,8.0,DEN 27,8.0,13.0,Russell Wilson pass incomplete short left intended for Jaleel McLaughlin,0.33,-0.36,5.0,2023,75
3.0,14:20,3.0,8.0,DEN 27,8.0,13.0,Russell Wilson scrambles left tackle for 2 yards (tackle by Tony Adams),-0.36,-1.44,5.0,2023,75
3.0,13:46,4.0,6.0,DEN 29,8.0,13.0,"Riley Dixon punts 43 yards, fair catch by Xavier Gipson at NYJ-28",-1.44,-0.81,5.0,2023,75
3.0,13:39,1.0,10.0,NYJ 28,14.0,13.0,"Breece Hall right guard for 72 yards, touchdown",0.81,7.0,5.0,2023,75
3.0,13:29,,,DEN 15,15.0,13.0,Greg Zuerlein kicks extra point good,0.0,0.0,5.0,2023,75
3.0,13:29,,,NYJ 35,15.0,13.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
3.0,13:29,1.0,10.0,DEN 25,15.0,13.0,"Russell Wilson scrambles for no gain. Penalty on Garett Bolles: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,5.0,2023,75
3.0,13:03,1.0,20.0,DEN 15,15.0,13.0,Samaje Perine up the middle for 8 yards (tackle by Bryce Huff and C.J. Mosley),-0.41,-0.21,5.0,2023,75
3.0,12:27,2.0,12.0,DEN 23,15.0,13.0,Russell Wilson pass complete short left to Jaleel McLaughlin for -2 yards (tackle by C.J. Mosley),-0.21,-1.15,5.0,2023,75
3.0,11:41,3.0,14.0,DEN 21,15.0,13.0,Russell Wilson pass incomplete deep right intended for Courtland Sutton (defended by Sauce Gardner),-1.15,-1.96,5.0,2023,75
3.0,11:32,4.0,14.0,DEN 21,15.0,13.0,"Riley Dixon punts 46 yards, returned by Xavier Gipson for 14 yards. Xavier Gipson fumbles (forced by Michael Burton), recovered by Will McDonald at DEN-49 (tackle by Michael Burton)",-1.96,-2.32,5.0,2023,75
3.0,11:19,1.0,10.0,DEN 49,15.0,13.0,Breece Hall right guard for 4 yards (tackle by Jonathan Harris),2.32,2.32,5.0,2023,75
3.0,10:46,2.0,6.0,DEN 45,15.0,13.0,Breece Hall left tackle for 2 yards (tackle by Justin Simmons),2.32,1.88,5.0,2023,75
3.0,10:08,3.0,4.0,DEN 43,15.0,13.0,Zach Wilson pass complete short middle to Tyler Conklin for 19 yards (tackle by Kareem Jackson and Damarri Mathis),1.88,3.97,5.0,2023,75
3.0,9:31,1.0,10.0,DEN 24,15.0,13.0,Breece Hall up the middle for 2 yards (tackle by Jonathon Cooper and Jonathan Harris),3.97,3.7,5.0,2023,75
3.0,8:52,2.0,8.0,DEN 22,15.0,13.0,Dalvin Cook right guard for 3 yards (tackle by Josey Jewell),3.7,3.41,5.0,2023,75
3.0,8:07,3.0,5.0,DEN 19,15.0,13.0,Zach Wilson pass complete short left to Garrett Wilson for 10 yards (tackle by Patrick Surtain),3.41,5.14,5.0,2023,75
3.0,7:24,1.0,9.0,DEN 9,15.0,13.0,Breece Hall right guard for 2 yards (tackle by Mike Purcell),5.14,4.76,5.0,2023,75
3.0,6:46,2.0,7.0,DEN 7,15.0,13.0,Breece Hall up the middle for 2 yards (tackle by Mike Purcell and Kareem Jackson),4.76,4.26,5.0,2023,75
3.0,6:04,3.0,5.0,DEN 5,15.0,13.0,"Zach Wilson sacked by Elijah Garcia for -4 yards. Zach Wilson fumbles (forced by Elijah Garcia), recovered by Laken Tomlinson at DEN-9",4.26,2.83,5.0,2023,75
3.0,5:19,4.0,9.0,DEN 9,18.0,13.0,Greg Zuerlein 27 yard field goal good,2.83,3.0,5.0,2023,75
3.0,5:16,,,NYJ 35,18.0,13.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
3.0,5:16,1.0,10.0,DEN 25,18.0,13.0,Samaje Perine right guard for 5 yards (tackle by Quincy Williams and Jordan Whitehead),0.61,0.74,5.0,2023,75
3.0,4:39,2.0,5.0,DEN 30,18.0,13.0,Russell Wilson pass incomplete short right,0.74,0.04,5.0,2023,75
3.0,4:31,3.0,5.0,DEN 30,18.0,13.0,Russell Wilson sacked by Jermaine Johnson for -11 yards,0.04,-2.14,5.0,2023,75
3.0,4:00,4.0,16.0,DEN 19,18.0,13.0,"Riley Dixon punts 43 yards, recovered by Tremon Smith at NYJ-39",-2.14,2.98,5.0,2023,75
3.0,3:50,1.0,10.0,NYJ 39,18.0,13.0,Jaleel McLaughlin right tackle for no gain (tackle by Michael Carter),2.98,2.44,5.0,2023,75
3.0,3:16,2.0,10.0,NYJ 39,18.0,13.0,"Samaje Perine aborted snap, recovered by Quinton Jefferson at NYJ-49 and returned for -10 yards",2.44,-2.19,5.0,2023,75
3.0,3:11,1.0,10.0,NYJ 49,18.0,13.0,Zach Wilson pass complete short middle to Breece Hall for 3 yards (tackle by Alex Singleton),2.19,2.05,5.0,2023,75
3.0,2:35,2.0,7.0,DEN 48,18.0,13.0,Breece Hall up the middle for 9 yards (tackle by Alex Singleton),2.05,2.98,5.0,2023,75
3.0,1:57,1.0,10.0,DEN 39,18.0,13.0,Dalvin Cook left tackle for 9 yards (tackle by Damarri Mathis),2.98,3.66,5.0,2023,75
3.0,1:21,2.0,1.0,DEN 30,18.0,13.0,Dalvin Cook left guard for 3 yards (tackle by Jonathan Harris and Zach Allen),3.66,3.78,5.0,2023,75
3.0,0:43,1.0,10.0,DEN 27,18.0,13.0,Breece Hall left end for 7 yards (tackle by Patrick Surtain),3.78,4.18,5.0,2023,75
4.0,15:00,2.0,3.0,DEN 20,18.0,13.0,Breece Hall left guard for 9 yards (tackle by Kareem Jackson),4.18,4.84,5.0,2023,75
4.0,14:22,1.0,10.0,DEN 11,18.0,13.0,"Breece Hall for no gain. Penalty on Connor McGovern: Offensive Holding, 10 yards (accepted) (no play)",4.84,4.17,5.0,2023,75
4.0,13:53,1.0,20.0,DEN 21,18.0,13.0,Zach Wilson pass incomplete short left intended for Tyler Conklin (defended by Mike Purcell),4.17,2.94,5.0,2023,75
4.0,13:48,2.0,20.0,DEN 21,18.0,13.0,"Zach Wilson pass incomplete intended for C.J. Uzomah. Penalty on Jonathon Cooper: Defensive Offside, 5 yards (accepted) (no play)",2.94,3.44,5.0,2023,75
4.0,13:45,2.0,15.0,DEN 16,18.0,13.0,Michael Carter up the middle for 8 yards (tackle by Zach Allen),3.44,3.76,5.0,2023,75
4.0,13:07,3.0,7.0,DEN 8,18.0,13.0,Zach Wilson pass complete short middle to Tyler Conklin for 4 yards (tackle by Kareem Jackson),3.76,3.03,5.0,2023,75
4.0,12:22,4.0,3.0,DEN 4,21.0,13.0,Greg Zuerlein 22 yard field goal good,3.03,3.0,5.0,2023,75
4.0,12:19,,,NYJ 35,21.0,13.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
4.0,12:19,1.0,10.0,DEN 25,21.0,13.0,Russell Wilson sacked by Bryce Huff for -6 yards,0.61,-0.81,5.0,2023,75
4.0,11:40,2.0,16.0,DEN 19,21.0,13.0,Russell Wilson pass complete short left to Jerry Jeudy for 2 yards (tackle by Quincy Williams),-0.81,-1.15,5.0,2023,75
4.0,10:55,3.0,14.0,DEN 21,21.0,13.0,Russell Wilson scrambles right end for 2 yards. Russell Wilson fumbles (forced by Jermaine Johnson). Russell Wilson fumbles out of bounds,-1.15,-1.83,5.0,2023,75
4.0,10:35,4.0,12.0,DEN 23,21.0,13.0,"Riley Dixon punts. Penalty on Tremon Smith: Kick Catch Interference, 15 yards (offset) , recovered by Justin Hardee at NYJ-15. Penalty on Chazz Surratt: Defensive Holding, 5 yards (offset) (no play)",-1.83,-1.83,5.0,2023,75
4.0,10:29,4.0,14.0,DEN 23,21.0,13.0,Riley Dixon punts 49 yards out of bounds,-1.83,-0.81,5.0,2023,75
4.0,10:25,1.0,10.0,NYJ 28,21.0,13.0,Zach Wilson pass complete deep left to Garrett Wilson for 32 yards (tackle by Kareem Jackson),0.81,2.92,5.0,2023,75
4.0,9:44,1.0,10.0,DEN 40,21.0,13.0,Breece Hall right end for no gain (tackle by Ronnie Perkins),2.92,2.37,5.0,2023,75
4.0,9:03,2.0,10.0,DEN 40,21.0,13.0,Dalvin Cook right tackle for no gain (tackle by Ja'Quan McMillian),2.37,1.68,5.0,2023,75
4.0,8:23,3.0,10.0,DEN 40,21.0,13.0,Zach Wilson scrambles right end for 9 yards (tackle by Alex Singleton),1.68,1.41,5.0,2023,75
4.0,7:31,4.0,1.0,DEN 31,24.0,13.0,Greg Zuerlein 49 yard field goal good,1.41,3.0,5.0,2023,75
4.0,7:27,,,NYJ 35,24.0,13.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
4.0,7:27,1.0,10.0,DEN 25,24.0,13.0,Samaje Perine right end for -1 yards (tackle by John Franklin-Myers and C.J. Mosley),0.61,-0.07,5.0,2023,75
4.0,6:54,2.0,11.0,DEN 24,24.0,13.0,Russell Wilson pass incomplete short right intended for Courtland Sutton (defended by C.J. Mosley),-0.07,-0.76,5.0,2023,75
4.0,6:47,3.0,11.0,DEN 24,24.0,13.0,"Russell Wilson pass complete deep left to Jerry Jeudy for 23 yards (tackle by Tony Adams). Penalty on Bryce Huff: Roughing the Passer, 15 yards (accepted)",-0.76,3.05,5.0,2023,75
4.0,6:35,1.0,10.0,NYJ 38,24.0,13.0,Jaleel McLaughlin left tackle for 3 yards (tackle by Bryce Hall),3.05,2.91,5.0,2023,75
4.0,5:58,2.0,7.0,NYJ 35,24.0,13.0,Russell Wilson pass complete short right to Samaje Perine for 29 yards (tackle by C.J. Mosley and Tony Adams),2.91,5.83,5.0,2023,75
4.0,5:19,1.0,6.0,NYJ 6,24.0,13.0,Jaleel McLaughlin left tackle for 3 yards (tackle by Jermaine Johnson and C.J. Mosley),5.83,5.53,5.0,2023,75
4.0,4:48,2.0,3.0,NYJ 3,24.0,19.0,"Russell Wilson pass complete short right to Adam Trautman for 3 yards, touchdown",5.53,7.0,5.0,2023,75
4.0,4:44,,,NYJ 2,24.0,19.0,"Two Point Attempt: Russell Wilson pass incomplete, sacked by Russell Wilson sacked by. Penalty on Bryce Hall: Defensive Holding, 1 yard (accepted) (no play)",1.0,1.0,5.0,2023,75
4.0,4:44,,,NYJ 2,24.0,21.0,"Two Point Attempt: Michael Burton rushes, conversion succeeds.",1.0,1.0,5.0,2023,75
4.0,4:44,,,DEN 35,24.0,21.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
4.0,4:44,1.0,10.0,NYJ 25,24.0,21.0,Zach Wilson pass complete short right to Jeremy Ruckert for 2 yards (tackle by Justin Simmons),0.61,0.33,5.0,2023,75
4.0,4:03,2.0,8.0,NYJ 27,24.0,21.0,Breece Hall left tackle for 4 yards (tackle by Kareem Jackson and Damarri Mathis),0.33,0.17,5.0,2023,75
4.0,3:56,,,,,,Timeout #1 by Denver Broncos,,,5.0,2023,75
4.0,3:56,3.0,4.0,NYJ 31,24.0,21.0,Zach Wilson pass complete short middle to Tyler Conklin for 37 yards (tackle by Justin Simmons and Alex Singleton),0.17,3.45,5.0,2023,75
4.0,3:33,,,,,,Timeout #2 by Denver Broncos,,,5.0,2023,75
4.0,3:33,1.0,10.0,DEN 32,24.0,21.0,Breece Hall up the middle for 2 yards (tackle by Jonathan Harris and Alex Singleton),3.45,3.17,5.0,2023,75
4.0,3:04,2.0,8.0,DEN 30,24.0,21.0,Breece Hall left guard for 3 yards (tackle by Ja'Quan McMillian and Jonathan Harris),3.17,2.87,5.0,2023,75
4.0,2:21,,,,,,Timeout #1 by New York Jets,,,5.0,2023,75
4.0,2:21,3.0,5.0,DEN 27,24.0,21.0,Zach Wilson pass deep right intended for Garrett Wilson is intercepted by Patrick Surtain at DEN-3 and returned for no gain (tackle by Garrett Wilson),2.87,0.38,5.0,2023,75
4.0,2:14,1.0,10.0,DEN 3,24.0,21.0,Russell Wilson pass complete short right to Brandon Johnson for 9 yards (tackle by Sauce Gardner),-0.38,-0.12,5.0,2023,75
4.0,2:09,2.0,1.0,DEN 12,24.0,21.0,Russell Wilson pass complete short middle to Courtland Sutton for 13 yards (tackle by Sauce Gardner),-0.12,0.61,5.0,2023,75
4.0,2:00,1.0,10.0,DEN 25,24.0,21.0,Russell Wilson pass complete short middle to Samaje Perine for 4 yards (tackle by C.J. Mosley and John Franklin-Myers),0.61,0.6,5.0,2023,75
4.0,1:34,2.0,6.0,DEN 29,24.0,21.0,Russell Wilson sacked by Quincy Williams for -8 yards,0.6,-1.15,5.0,2023,75
4.0,1:05,3.0,14.0,DEN 21,24.0,21.0,Russell Wilson pass complete short right to Jerry Jeudy for 20 yards (tackle by Michael Carter and C.J. Mosley),-1.15,1.66,5.0,2023,75
4.0,0:46,1.0,10.0,DEN 41,24.0,21.0,Russell Wilson pass incomplete short left intended for Samaje Perine,1.66,1.12,5.0,2023,75
4.0,0:41,2.0,10.0,DEN 41,30.0,21.0,"Russell Wilson sacked by Quincy Williams for -2 yards. Russell Wilson fumbles (forced by Quincy Williams), recovered by Bryce Hall at DEN-39 and returned for 39 yards, touchdown",1.12,-7.0,5.0,2023,75
4.0,0:29,,,DEN 15,31.0,21.0,Greg Zuerlein kicks extra point good,0.0,0.0,5.0,2023,75
4.0,0:29,,,NYJ 35,31.0,21.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
4.0,0:29,1.0,10.0,DEN 25,31.0,21.0,Russell Wilson pass complete short middle to Adam Trautman for 12 yards (tackle by Quincy Williams),0.61,1.4,5.0,2023,75
4.0,0:23,,,,,,Timeout #3 by Denver Broncos,,,5.0,2023,75
4.0,0:23,,,,,,Timeout #2 by New York Jets,,,5.0,2023,75
4.0,0:23,1.0,10.0,DEN 37,31.0,21.0,Russell Wilson pass incomplete deep middle intended for Jerry Jeudy,1.4,0.86,5.0,2023,75
4.0,0:17,2.0,10.0,DEN 37,31.0,21.0,Russell Wilson pass complete short middle to Samaje Perine for 15 yards (tackle by Michael Carter and Ashtyn Davis),0.86,2.39,5.0,2023,75
