Quarter,Time,Down,ToGo,Location,CAR,DET,Detail,EPB,EPA,week,year,game_id
1.0,9:41,,,CAR 15,0.0,7.0,Riley Patterson kicks extra point good,0.0,0.0,5.0,2023,68
1.0,9:41,,,DET 35,0.0,7.0,"Jack Fox kicks off 68 yards, returned by Laviska Shenault for 20 yards (tackle by Anthony Pittman and Malcolm Rodriguez)",0.0,-0.06,5.0,2023,68
1.0,9:36,1.0,10.0,CAR 17,0.0,7.0,Bryce Young pass incomplete short left,-0.06,-0.58,5.0,2023,68
1.0,9:31,2.0,10.0,CAR 17,0.0,7.0,Miles Sanders left tackle for 2 yards (tackle by Jack Campbell),-0.58,-1.0,5.0,2023,68
1.0,8:49,3.0,8.0,CAR 19,0.0,7.0,Bryce Young pass complete short left to Adam Thielen for 9 yards (tackle by Kerby Joseph),-1.0,0.81,5.0,2023,68
1.0,8:14,1.0,10.0,CAR 28,0.0,7.0,Chuba Hubbard up the middle for 3 yards (tackle by Jerry Jacobs),0.81,0.67,5.0,2023,68
1.0,7:37,2.0,7.0,CAR 31,0.0,7.0,Bryce Young pass short middle intended for Ian Thomas is intercepted by Aidan Hutchinson at CAR-26 and returned for 6 yards (tackle by Jonathan Mingo),0.67,-4.24,5.0,2023,68
1.0,7:28,1.0,10.0,CAR 20,0.0,7.0,David Montgomery left tackle for 5 yards (tackle by Derrick Brown),4.24,4.45,5.0,2023,68
1.0,6:55,2.0,5.0,CAR 15,0.0,7.0,David Montgomery left end for 5 yards (tackle by Vonn Bell and Derrick Brown),4.45,4.91,5.0,2023,68
1.0,6:14,1.0,10.0,CAR 10,0.0,7.0,Jared Goff pass complete short right to Brock Wright for 2 yards (tackle by Sam Franklin),4.91,4.57,5.0,2023,68
1.0,5:37,2.0,8.0,CAR 8,0.0,7.0,David Montgomery right tackle for 4 yards (tackle by Brian Burns),4.57,4.49,5.0,2023,68
1.0,4:58,3.0,4.0,CAR 4,0.0,13.0,"Jared Goff pass complete short left to Sam LaPorta for 4 yards, touchdown",4.49,7.0,5.0,2023,68
1.0,4:53,,,CAR 15,0.0,14.0,Riley Patterson kicks extra point good,0.0,0.0,5.0,2023,68
1.0,4:53,,,DET 35,0.0,14.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,68
1.0,4:53,1.0,10.0,CAR 25,0.0,14.0,Chuba Hubbard right tackle for 1 yard (tackle by Kerby Joseph and Derrick Barnes),0.61,0.2,5.0,2023,68
1.0,4:25,2.0,9.0,CAR 26,0.0,14.0,Bryce Young pass complete short left to Adam Thielen for 5 yards (tackle by Will Harris),0.2,0.17,5.0,2023,68
1.0,3:56,3.0,4.0,CAR 31,0.0,14.0,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Derrick Barnes),0.17,1.53,5.0,2023,68
1.0,3:30,1.0,10.0,CAR 39,0.0,14.0,Bryce Young pass complete short right to Adam Thielen for 6 yards (tackle by Will Harris),1.53,1.8,5.0,2023,68
1.0,2:56,2.0,4.0,CAR 45,0.0,14.0,Miles Sanders up the middle for 9 yards (tackle by Alex Anzalone),1.8,2.52,5.0,2023,68
1.0,2:25,1.0,10.0,DET 46,0.0,14.0,Bryce Young pass complete short right to Jonathan Mingo for 13 yards (tackle by Cameron Sutton),2.52,3.38,5.0,2023,68
1.0,1:56,1.0,10.0,DET 33,0.0,14.0,Miles Sanders up the middle for 4 yards (tackle by Cameron Sutton and Tracy Walker),3.38,3.38,5.0,2023,68
1.0,1:26,2.0,6.0,DET 29,0.0,14.0,Bryce Young pass complete short middle to Hayden Hurst for no gain (tackle by Alex Anzalone) (no play),3.38,2.7,5.0,2023,68
1.0,0:53,2.0,11.0,DET 34,0.0,14.0,"Bryce Young pass complete short right to Tommy Tremble for no gain (tackle by Tracy Walker). Penalty on Jack Campbell: Illegal Contact, 5 yards (accepted) (no play)",2.7,3.64,5.0,2023,68
1.0,0:26,1.0,10.0,DET 29,0.0,14.0,Bryce Young pass incomplete short right,3.64,3.1,5.0,2023,68
1.0,0:18,2.0,10.0,DET 29,0.0,14.0,Bryce Young pass complete short left to Adam Thielen for 9 yards (tackle by Kerby Joseph),3.1,3.6,5.0,2023,68
2.0,15:00,3.0,1.0,DET 20,0.0,14.0,Andy Dalton up the middle for 1 yard (tackle by John Cominsky and Benito Jones),3.6,4.31,5.0,2023,68
2.0,14:17,,,,,,Timeout #1 by Carolina Panthers,,,5.0,2023,68
2.0,14:17,1.0,10.0,DET 19,0.0,14.0,Laviska Shenault right tackle for 11 yards (tackle by Kerby Joseph),4.31,5.37,5.0,2023,68
2.0,13:35,1.0,8.0,DET 8,0.0,14.0,Bryce Young pass incomplete short left intended for Jonathan Mingo (defended by Will Harris),5.37,4.57,5.0,2023,68
2.0,13:31,2.0,8.0,DET 8,0.0,14.0,Laviska Shenault left end for 7 yards (tackle by Will Harris and Alex Anzalone),4.57,5.17,5.0,2023,68
2.0,12:52,3.0,1.0,DET 1,6.0,14.0,"Bryce Young pass complete short middle to Tommy Tremble for 1 yard, touchdown",5.17,7.0,5.0,2023,68
2.0,12:48,,,DET 15,7.0,14.0,Eddy Pineiro kicks extra point good,0.0,0.0,5.0,2023,68
2.0,12:48,,,CAR 35,7.0,14.0,"Eddy Pineiro kicks off 68 yards, returned by Zonovan Knight for 22 yards (tackle by Dicaprio Bootle)",0.0,0.15,5.0,2023,68
2.0,12:43,1.0,10.0,DET 19,7.0,14.0,Jared Goff pass complete short middle to Brock Wright for 5 yards (tackle by Frankie Luvu),0.15,0.34,5.0,2023,68
2.0,12:09,2.0,5.0,DET 24,7.0,14.0,David Montgomery up the middle for 6 yards (tackle by Brian Burns and Vonn Bell),0.34,0.94,5.0,2023,68
2.0,11:32,1.0,10.0,DET 30,7.0,14.0,Jared Goff pass incomplete short left intended for Josh Reynolds,0.94,0.39,5.0,2023,68
2.0,11:28,2.0,10.0,DET 30,7.0,14.0,"Jared Goff pass complete deep right to Josh Reynolds for 27 yards (tackle by Sam Franklin and D'Shawn Jamison). Penalty on Yetur Gross-Matos: Defensive Offside, 5 yards (declined)",0.39,2.72,5.0,2023,68
2.0,11:03,1.0,10.0,CAR 43,7.0,14.0,Jared Goff pass incomplete short left intended for Jameson Williams,2.72,2.18,5.0,2023,68
2.0,10:58,2.0,10.0,CAR 43,7.0,14.0,Jared Goff pass complete short left to Marvin Jones for 6 yards (tackle by Frankie Luvu and Troy Hill),2.18,2.28,5.0,2023,68
2.0,10:18,3.0,4.0,CAR 37,7.0,14.0,Jared Goff pass incomplete deep right intended for Sam LaPorta,2.28,0.79,5.0,2023,68
2.0,10:12,4.0,4.0,CAR 37,7.0,14.0,Jared Goff pass incomplete short right intended for David Montgomery,0.79,-1.4,5.0,2023,68
2.0,10:07,1.0,10.0,CAR 37,7.0,14.0,"Miles Sanders left end for 1 yard. Miles Sanders fumbles (forced by Alim McNeill), recovered by Will Harris at CAR-41 and returned for 3 yards (tackle by Tommy Tremble)",1.4,-3.05,5.0,2023,68
2.0,9:58,1.0,10.0,CAR 38,7.0,14.0,Jared Goff pass complete short left to David Montgomery for 9 yards (tackle by Shy Tuttle),3.05,3.72,5.0,2023,68
2.0,9:21,2.0,1.0,CAR 29,7.0,14.0,Jared Goff pass complete short right to Jameson Williams for -2 yards (tackle by C.J. Henderson),3.72,2.74,5.0,2023,68
2.0,8:41,3.0,3.0,CAR 31,7.0,14.0,David Montgomery left tackle for 2 yards (tackle by Kamu Grugier-Hill),2.74,1.62,5.0,2023,68
2.0,7:57,4.0,1.0,CAR 29,7.0,14.0,David Montgomery left end for 3 yards (tackle by Sam Franklin),1.62,3.84,5.0,2023,68
2.0,7:21,1.0,10.0,CAR 26,7.0,14.0,David Montgomery right tackle for 2 yards (tackle by LaBryan Ray and Derrick Brown),3.84,3.57,5.0,2023,68
2.0,6:38,2.0,8.0,CAR 24,7.0,14.0,David Montgomery right tackle for 2 yards (tackle by Yetur Gross-Matos and Shy Tuttle),3.57,3.14,5.0,2023,68
2.0,5:57,3.0,6.0,CAR 22,7.0,14.0,Jared Goff pass complete short left to David Montgomery for 11 yards (tackle by Sam Franklin and Troy Hill),3.14,4.84,5.0,2023,68
2.0,5:19,1.0,10.0,CAR 11,7.0,14.0,Jared Goff pass complete short right to Kalif Raymond for 10 yards (tackle by Sam Franklin),4.84,6.97,5.0,2023,68
2.0,4:37,1.0,1.0,CAR 1,7.0,14.0,David Montgomery left end for no gain (tackle by Sam Franklin and DeShawn Williams),6.97,5.91,5.0,2023,68
2.0,3:55,2.0,1.0,CAR 1,7.0,20.0,"Jared Goff pass complete short middle to Josh Reynolds for 1 yard, touchdown",5.91,7.0,5.0,2023,68
2.0,3:50,,,CAR 15,7.0,21.0,Riley Patterson kicks extra point good,0.0,0.0,5.0,2023,68
2.0,3:50,,,DET 35,7.0,21.0,"Jack Fox kicks off 67 yards, returned by Laviska Shenault for 25 yards. Laviska Shenault fumbles (forced by Malcolm Rodriguez), recovered by Laviska Shenault at CAR-23 (tackle by Malcolm Rodriguez and Darrell Daniels)",0.0,0.48,5.0,2023,68
2.0,3:43,1.0,10.0,CAR 23,7.0,21.0,Bryce Young pass deep left intended for Jonathan Mingo is intercepted by Jerry Jacobs at CAR-42 and returned for 11 yards (tackle by Cade Mays),0.48,-3.51,5.0,2023,68
2.0,3:29,1.0,10.0,CAR 31,7.0,27.0,"Jared Goff pass complete short right to Sam LaPorta for 31 yards, touchdown",3.51,7.0,5.0,2023,68
2.0,3:21,,,CAR 15,7.0,28.0,Riley Patterson kicks extra point good,0.0,0.0,5.0,2023,68
2.0,3:21,,,DET 35,7.0,28.0,"Jack Fox kicks off 63 yards, returned by Laviska Shenault for 30 yards (tackle by Jalen Reeves-Maybin)",0.0,1.07,5.0,2023,68
2.0,3:15,1.0,10.0,CAR 32,7.0,28.0,Bryce Young pass complete short middle to Hayden Hurst for 9 yards (tackle by Will Harris and Derrick Barnes),1.07,1.74,5.0,2023,68
2.0,2:35,2.0,1.0,CAR 41,7.0,28.0,Chuba Hubbard up the middle for 5 yards (tackle by Derrick Barnes and Alex Anzalone),1.74,1.99,5.0,2023,68
2.0,2:11,1.0,10.0,CAR 46,7.0,28.0,Bryce Young pass complete short middle to Adam Thielen for 30 yards (tackle by Will Harris),1.99,3.97,5.0,2023,68
2.0,2:00,1.0,10.0,DET 24,7.0,28.0,Bryce Young pass complete short right to Hayden Hurst for 4 yards (tackle by Alex Anzalone),3.97,3.97,5.0,2023,68
2.0,1:17,2.0,6.0,DET 20,7.0,28.0,Laviska Shenault left end for no gain (tackle by Alim McNeill),3.97,3.27,5.0,2023,68
2.0,0:32,,,,,,Timeout #2 by Carolina Panthers,,,5.0,2023,68
2.0,0:32,3.0,6.0,DET 20,7.0,28.0,"Bryce Young pass incomplete deep left intended for Tommy Tremble. Penalty on Jerry Jacobs: Defensive Holding, 5 yards (accepted) (no play)",3.27,4.58,5.0,2023,68
2.0,0:26,1.0,10.0,DET 15,7.0,28.0,Bryce Young pass incomplete short left intended for Adam Thielen,4.58,3.95,5.0,2023,68
2.0,0:21,2.0,10.0,DET 15,7.0,28.0,Bryce Young pass incomplete short middle intended for Adam Thielen,3.95,3.1,5.0,2023,68
2.0,0:17,3.0,10.0,DET 15,7.0,28.0,Bryce Young pass incomplete short right intended for DJ Chark,3.1,2.44,5.0,2023,68
2.0,0:10,4.0,10.0,DET 15,10.0,28.0,Eddy Pineiro 33 yard field goal good,2.44,3.0,5.0,2023,68
2.0,0:06,,,CAR 35,10.0,28.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,68
2.0,0:06,1.0,10.0,DET 25,10.0,28.0,Jared Goff kneels for -1 yards,0.61,-0.07,5.0,2023,68
3.0,15:00,,,CAR 35,10.0,28.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,68
3.0,15:00,1.0,10.0,DET 25,10.0,28.0,Jared Goff pass incomplete short right intended for David Montgomery,0.61,0.06,5.0,2023,68
3.0,14:56,2.0,10.0,DET 25,10.0,28.0,David Montgomery left end for 2 yards (tackle by Yetur Gross-Matos and Shy Tuttle),0.06,-0.36,5.0,2023,68
3.0,14:15,3.0,8.0,DET 27,10.0,28.0,Jared Goff pass complete short middle to Sam LaPorta for 12 yards (tackle by Jeremy Chinn),-0.36,1.53,5.0,2023,68
3.0,13:40,1.0,10.0,DET 39,10.0,28.0,Jared Goff pass complete short middle to Brock Wright for 9 yards (tackle by Frankie Luvu and Chandler Wooten),1.53,2.2,5.0,2023,68
3.0,13:02,2.0,1.0,DET 48,10.0,28.0,David Montgomery left tackle for 6 yards (tackle by Brian Burns and Chandler Wooten),2.2,2.52,5.0,2023,68
3.0,12:30,1.0,10.0,CAR 46,10.0,28.0,Jared Goff pass incomplete short middle intended for David Montgomery,2.52,1.98,5.0,2023,68
3.0,12:19,2.0,10.0,CAR 46,10.0,28.0,David Montgomery left tackle for 8 yards (tackle by D'Shawn Jamison),1.98,2.35,5.0,2023,68
3.0,11:38,3.0,2.0,CAR 38,10.0,28.0,David Montgomery up the middle for 1 yard (tackle by C.J. Henderson and Frankie Luvu),2.35,0.79,5.0,2023,68
3.0,10:56,4.0,1.0,CAR 37,10.0,28.0,"Penalty on Nick Thurman: Defensive Offside, 5 yards (accepted) (no play)",0.79,3.45,5.0,2023,68
3.0,10:48,1.0,10.0,CAR 32,10.0,28.0,David Montgomery left tackle for 4 yards (tackle by Derrick Brown and Jeremy Chinn),3.45,3.44,5.0,2023,68
3.0,10:08,2.0,6.0,CAR 28,10.0,28.0,David Montgomery left end for no gain (tackle by Derrick Brown and Vonn Bell),3.44,2.74,5.0,2023,68
3.0,9:30,3.0,6.0,CAR 28,10.0,28.0,Jared Goff sacked by Brian Burns for -10 yards,2.74,0.72,5.0,2023,68
3.0,8:44,4.0,16.0,CAR 38,10.0,28.0,"Penalty on Scott Daly: False Start, 5 yards (accepted) (no play)",0.72,0.4,5.0,2023,68
3.0,8:33,4.0,21.0,CAR 43,10.0,28.0,"Jack Fox punts 33 yards, fair catch by Ihmir Smith-Marsette at CAR-10",0.4,0.38,5.0,2023,68
3.0,8:27,1.0,10.0,CAR 10,10.0,28.0,Bryce Young pass complete short middle to Adam Thielen for 12 yards (tackle by Alex Anzalone and Cameron Sutton),-0.38,0.41,5.0,2023,68
3.0,8:01,1.0,10.0,CAR 22,10.0,28.0,Laviska Shenault left end for 11 yards (tackle by Kerby Joseph),0.41,1.14,5.0,2023,68
3.0,7:35,1.0,10.0,CAR 33,10.0,28.0,"Laviska Shenault right tackle for no gain (tackle by Alim McNeill). Penalty on Bradley Bozeman: Offensive Holding, 10 yards (accepted) (no play)",1.14,0.48,5.0,2023,68
3.0,7:13,1.0,20.0,CAR 23,10.0,28.0,Bryce Young pass complete short left to Hayden Hurst for 8 yards (tackle by Alex Anzalone),0.48,0.32,5.0,2023,68
3.0,6:50,2.0,12.0,CAR 31,10.0,28.0,Bryce Young pass incomplete deep left intended for DJ Chark,0.32,-0.36,5.0,2023,68
3.0,6:43,3.0,12.0,CAR 31,10.0,28.0,"Bryce Young sacked by Aidan Hutchinson for -4 yards. Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (declined)",-0.36,-1.57,5.0,2023,68
3.0,6:25,4.0,16.0,CAR 27,10.0,28.0,Johnny Hekker punts 45 yards downed by Jeremy Chinn,-1.57,-0.81,5.0,2023,68
3.0,6:15,1.0,10.0,DET 28,10.0,28.0,Jared Goff pass incomplete short right intended for David Montgomery,0.81,0.26,5.0,2023,68
3.0,6:11,2.0,10.0,DET 28,10.0,28.0,Jared Goff pass incomplete short middle,0.26,-0.43,5.0,2023,68
3.0,6:08,3.0,10.0,DET 28,10.0,28.0,Jared Goff pass complete short right to Jameson Williams for 4 yards (tackle by Troy Hill),-0.43,-1.24,5.0,2023,68
3.0,5:36,4.0,6.0,DET 32,10.0,28.0,"Jack Fox punts 55 yards, returned by Ihmir Smith-Marsette for 3 yards (tackle by Anthony Pittman)",-1.24,0.14,5.0,2023,68
3.0,5:21,1.0,10.0,CAR 16,10.0,28.0,"Penalty on Hayden Hurst: False Start, 5 yards (accepted) (no play)",-0.14,-0.54,5.0,2023,68
3.0,5:21,1.0,15.0,CAR 11,10.0,28.0,"Bryce Young pass incomplete short right. Penalty on Bryce Young: Intentional Grounding, 10 yards (accepted)",-0.54,-1.88,5.0,2023,68
3.0,5:19,2.0,25.0,CAR 1,10.0,28.0,Bryce Young pass complete short right to Jonathan Mingo for 6 yards (tackle by Cameron Sutton),-1.88,-2.47,5.0,2023,68
3.0,4:40,3.0,19.0,CAR 7,10.0,28.0,Bryce Young pass incomplete short right intended for Miles Sanders,-2.47,-2.49,5.0,2023,68
3.0,4:38,4.0,19.0,CAR 7,10.0,28.0,"Johnny Hekker punts 44 yards, fair catch by Kalif Raymond at DET-49",-2.49,-2.19,5.0,2023,68
3.0,4:31,1.0,10.0,DET 49,10.0,28.0,Jared Goff pass complete short left to Josh Reynolds for 21 yards (tackle by Vonn Bell),2.19,3.58,5.0,2023,68
3.0,3:49,1.0,10.0,CAR 30,10.0,28.0,Jared Goff pass complete short left to Zonovan Knight for 8 yards (tackle by Vonn Bell and Chandler Wooten),3.58,4.11,5.0,2023,68
3.0,3:20,2.0,2.0,CAR 22,10.0,28.0,David Montgomery left end for 4 yards (tackle by Frankie Luvu and Vonn Bell),4.11,4.37,5.0,2023,68
3.0,2:43,1.0,10.0,CAR 18,10.0,28.0,Jared Goff sacked by C.J. Henderson for -8 yards,4.37,2.75,5.0,2023,68
3.0,2:03,2.0,18.0,CAR 26,10.0,28.0,Jared Goff pass complete short left to Kalif Raymond for 12 yards (tackle by Kamu Grugier-Hill),2.75,3.63,5.0,2023,68
3.0,1:19,3.0,6.0,CAR 14,10.0,28.0,David Montgomery up the middle for 10 yards (tackle by Frankie Luvu and C.J. Henderson),3.63,6.28,5.0,2023,68
3.0,0:34,1.0,4.0,CAR 4,10.0,28.0,David Montgomery right tackle for 3 yards (tackle by Derrick Brown),6.28,5.91,5.0,2023,68
4.0,15:00,2.0,1.0,CAR 1,10.0,34.0,"Jared Goff up the middle for 1 yard, touchdown",5.91,7.0,5.0,2023,68
4.0,14:58,,,CAR 15,10.0,35.0,Riley Patterson kicks extra point good,0.0,0.0,5.0,2023,68
4.0,14:58,,,DET 35,10.0,35.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,68
4.0,14:58,1.0,10.0,CAR 25,10.0,35.0,Chuba Hubbard up the middle for 5 yards (tackle by Alex Anzalone),0.61,0.74,5.0,2023,68
4.0,14:25,2.0,5.0,CAR 30,10.0,35.0,Bryce Young pass complete short right to Jonathan Mingo for 11 yards (tackle by Alex Anzalone),0.74,1.66,5.0,2023,68
4.0,13:58,1.0,10.0,CAR 41,10.0,35.0,Chuba Hubbard up the middle for 4 yards (tackle by Tracy Walker),1.66,1.66,5.0,2023,68
4.0,13:27,2.0,6.0,CAR 45,10.0,35.0,"Bryce Young pass complete short middle to DJ Chark for 6 yards (tackle by Jerry Jacobs). Penalty on Tracy Walker: Illegal Contact, 5 yards (declined)",1.66,2.32,5.0,2023,68
4.0,13:05,1.0,10.0,DET 49,10.0,35.0,Chuba Hubbard up the middle for 6 yards (tackle by Alex Anzalone and Derrick Barnes),2.32,2.59,5.0,2023,68
4.0,12:42,2.0,4.0,DET 43,10.0,35.0,Bryce Young pass complete short left to Jonathan Mingo for 10 yards (tackle by Jerry Jacobs),2.59,3.38,5.0,2023,68
4.0,12:02,1.0,10.0,DET 33,10.0,35.0,"Bryce Young pass incomplete short middle intended for Miles Sanders. Penalty on Charles Harris: Roughing the Passer, 15 yards (accepted) (no play)",3.38,4.37,5.0,2023,68
4.0,11:57,1.0,10.0,DET 18,16.0,35.0,"Bryce Young pass complete deep middle to DJ Chark for 18 yards, touchdown",4.37,7.0,5.0,2023,68
4.0,11:52,,,DET 15,17.0,35.0,Eddy Pineiro kicks extra point good,0.0,0.0,5.0,2023,68
4.0,11:52,,,CAR 35,17.0,35.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,68
4.0,11:52,1.0,10.0,DET 25,17.0,35.0,Craig Reynolds right end for no gain (tackle by Sam Franklin),0.61,0.06,5.0,2023,68
4.0,11:09,2.0,10.0,DET 25,17.0,35.0,"Jared Goff pass complete deep left to Josh Reynolds for 27 yards (tackle by C.J. Henderson). Penalty on C.J. Henderson: Defensive Pass Interference, 15 yards (declined)",0.06,2.39,5.0,2023,68
4.0,10:36,1.0,10.0,CAR 48,17.0,35.0,Craig Reynolds left end for 17 yards (tackle by Vonn Bell),2.39,3.51,5.0,2023,68
4.0,9:53,1.0,10.0,CAR 31,17.0,35.0,Craig Reynolds right end for 7 yards (tackle by Shy Tuttle and Chandler Wooten),3.51,3.91,5.0,2023,68
4.0,9:05,2.0,3.0,CAR 24,17.0,35.0,Craig Reynolds up the middle for 19 yards (tackle by Vonn Bell),3.91,6.06,5.0,2023,68
4.0,8:19,1.0,5.0,CAR 5,17.0,35.0,Craig Reynolds right end for no gain (tackle by Sam Franklin),6.06,5.15,5.0,2023,68
4.0,7:34,2.0,5.0,CAR 5,17.0,41.0,"Craig Reynolds left tackle for 5 yards, touchdown",5.15,7.0,5.0,2023,68
4.0,7:27,,,CAR 15,17.0,42.0,Riley Patterson kicks extra point good,0.0,0.0,5.0,2023,68
4.0,7:27,,,DET 35,17.0,42.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,68
4.0,7:27,1.0,10.0,CAR 25,17.0,42.0,Miles Sanders up the middle for 8 yards (tackle by Tracy Walker),0.61,1.14,5.0,2023,68
4.0,6:45,2.0,2.0,CAR 33,17.0,42.0,Chuba Hubbard up the middle for 3 yards (tackle by Alim McNeill and Cameron Sutton),1.14,1.33,5.0,2023,68
4.0,6:13,1.0,10.0,CAR 36,17.0,42.0,Bryce Young pass complete deep middle to Ian Thomas for 28 yards (tackle by Tracy Walker),1.33,3.18,5.0,2023,68
4.0,5:51,1.0,10.0,DET 36,17.0,42.0,Chuba Hubbard left tackle for 3 yards (tackle by Jack Campbell),3.18,3.04,5.0,2023,68
4.0,5:15,2.0,7.0,DET 33,17.0,42.0,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Will Harris),3.04,3.91,5.0,2023,68
4.0,4:29,1.0,10.0,DET 25,17.0,42.0,Bryce Young pass complete short left to Chuba Hubbard for no gain (tackle by Derrick Barnes),3.91,3.36,5.0,2023,68
4.0,3:46,2.0,10.0,DET 25,17.0,42.0,Bryce Young pass complete short middle to Adam Thielen for 11 yards (tackle by Will Harris),3.36,4.65,5.0,2023,68
4.0,3:11,1.0,10.0,DET 14,17.0,42.0,Bryce Young pass incomplete short right intended for Chuba Hubbard,4.65,4.0,5.0,2023,68
4.0,3:05,2.0,10.0,DET 14,17.0,42.0,Chuba Hubbard up the middle for 5 yards (tackle by Charles Harris),4.0,4.05,5.0,2023,68
4.0,2:28,3.0,5.0,DET 9,17.0,42.0,"Bryce Young pass incomplete short right intended for Jonathan Mingo. Penalty on Alex Anzalone: Roughing the Passer, 5 yards (accepted) (no play)",4.05,6.28,5.0,2023,68
4.0,2:23,1.0,4.0,DET 4,17.0,42.0,Bryce Young pass incomplete short right,6.28,5.34,5.0,2023,68
4.0,2:18,2.0,4.0,DET 4,17.0,42.0,Bryce Young pass incomplete short right intended for DJ Chark,5.34,4.49,5.0,2023,68
4.0,2:12,3.0,4.0,DET 4,17.0,42.0,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",4.49,3.36,5.0,2023,68
4.0,2:12,3.0,9.0,DET 9,17.0,42.0,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Jerry Jacobs and Will Harris),3.36,3.55,5.0,2023,68
4.0,2:00,4.0,1.0,DET 1,23.0,42.0,"Bryce Young pass complete short left to Adam Thielen for 1 yard, touchdown",3.55,7.0,5.0,2023,68
4.0,1:55,,,DET 15,24.0,42.0,Eddy Pineiro kicks extra point good,0.0,0.0,5.0,2023,68
4.0,1:55,,,CAR 35,24.0,42.0,"Eddy Pineiro kicks onside 10 yards, returned by Sam LaPorta for no gain",0.0,2.59,5.0,2023,68
4.0,1:53,1.0,10.0,CAR 45,24.0,42.0,Craig Reynolds right end for 4 yards (tackle by Amare Barno),2.59,2.58,5.0,2023,68
4.0,1:08,2.0,6.0,CAR 41,24.0,42.0,Teddy Bridgewater kneels for -1 yards,2.58,1.75,5.0,2023,68
4.0,0:34,3.0,7.0,CAR 42,24.0,42.0,Teddy Bridgewater kneels for -1 yards,1.75,0.4,5.0,2023,68
