Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA,week,year,game_id
1.0,5:49,3.0,6.0,BUF 29,8.0,0.0,Josh Allen pass complete short left to Dalton Kincaid for 5 yards (tackle by Tre Herndon),-0.1,-1.11,5.0,2023,66
1.0,5:12,4.0,1.0,BUF 34,8.0,0.0,"Sam Martin punts 41 yards, returned by Jamal Agnew for 5 yards (tackle by Siran Neal and Dorian Williams)",-1.11,-0.94,5.0,2023,66
1.0,5:03,1.0,10.0,JAX 30,8.0,0.0,Trevor Lawrence scrambles right tackle for 5 yards (tackle by Terrel Bernard),0.94,1.07,5.0,2023,66
1.0,4:23,2.0,5.0,JAX 35,8.0,0.0,Trevor Lawrence pass incomplete short left intended for Travis Etienne,1.07,0.37,5.0,2023,66
1.0,4:19,3.0,5.0,JAX 35,8.0,0.0,Trevor Lawrence pass complete deep left to Christian Kirk for 20 yards,0.37,2.59,5.0,2023,66
1.0,3:55,1.0,10.0,BUF 45,8.0,0.0,Travis Etienne left tackle for no gain (tackle by Terrel Bernard and Ed Oliver),2.59,2.04,5.0,2023,66
1.0,3:15,2.0,10.0,BUF 45,8.0,0.0,Trevor Lawrence pass complete short right to Calvin Ridley for 14 yards (tackle by Dane Jackson),2.04,3.51,5.0,2023,66
1.0,2:43,1.0,10.0,BUF 31,8.0,0.0,Trevor Lawrence pass incomplete deep left intended for Evan Engram (defended by Dane Jackson),3.51,2.97,5.0,2023,66
1.0,2:37,2.0,10.0,BUF 31,8.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 6 yards (tackle by Jordan Poyer and Kaiir Elam),2.97,3.07,5.0,2023,66
1.0,1:51,3.0,4.0,BUF 25,8.0,0.0,Travis Etienne left guard for -1 yards (tackle by Ed Oliver and Terrel Bernard),3.07,1.79,5.0,2023,66
1.0,1:17,4.0,5.0,BUF 26,11.0,0.0,Brandon McManus 44 yard field goal good,1.79,3.0,5.0,2023,66
1.0,1:13,,,JAX 35,11.0,0.0,"Brandon McManus kicks off 62 yards,",0.0,0.61,5.0,2023,66
1.0,1:13,1.0,10.0,BUF 25,11.0,0.0,Josh Allen pass incomplete short right,0.61,0.06,5.0,2023,66
1.0,1:08,2.0,10.0,BUF 25,11.0,0.0,Josh Allen pass complete short left to Gabriel Davis for 9 yards (tackle by Darious Williams and Foyesade Oluokun),0.06,0.56,5.0,2023,66
1.0,0:34,3.0,1.0,BUF 34,11.0,0.0,Damien Harris left guard for 2 yards (tackle by Chad Muma and Roy Robertson-Harris),0.56,1.33,5.0,2023,66
1.0,0:12,1.0,10.0,BUF 36,11.0,0.0,Josh Allen pass complete short left to Dawson Knox for 1 yard (tackle by Rayshawn Jenkins),1.33,0.93,5.0,2023,66
2.0,15:00,2.0,9.0,BUF 37,11.0,0.0,Damien Harris left guard for 6 yards (tackle by Tyler Lacy),0.93,1.03,5.0,2023,66
2.0,14:21,3.0,3.0,BUF 43,11.0,0.0,Josh Allen pass incomplete short right intended for Dawson Knox,1.03,-0.52,5.0,2023,66
2.0,14:13,4.0,3.0,BUF 43,11.0,0.0,Sam Martin punts 35 yards out of bounds,-0.52,-0.41,5.0,2023,66
2.0,14:08,1.0,10.0,JAX 22,11.0,0.0,"Penalty on Brandon Scherff: False Start, 5 yards (accepted) (no play)",0.41,-0.12,5.0,2023,66
2.0,14:08,1.0,15.0,JAX 17,11.0,0.0,Trevor Lawrence pass complete short left to Zay Jones for 10 yards (tackle by Dane Jackson),-0.12,0.54,5.0,2023,66
2.0,13:36,2.0,5.0,JAX 27,11.0,0.0,Travis Etienne right tackle for 1 yard (tackle by Jordan Poyer and Dorian Williams),0.54,-0.03,5.0,2023,66
2.0,12:56,,,,,,Timeout #1 by Jacksonville Jaguars,,,5.0,2023,66
2.0,12:56,3.0,4.0,JAX 28,11.0,0.0,"Trevor Lawrence pass complete short right to Evan Engram for 5 yards (tackle by Dorian Williams) BUF challenged the pass completion ruling, and the play was upheld.",-0.03,1.14,5.0,2023,66
2.0,12:33,1.0,10.0,JAX 33,11.0,0.0,Travis Etienne right tackle for 3 yards (tackle by Kaiir Elam),1.14,1.0,5.0,2023,66
2.0,11:54,2.0,7.0,JAX 36,11.0,0.0,"Trevor Lawrence pass complete short middle to Travis Etienne for no gain. Penalty on Dorian Williams: Illegal Contact, 5 yards (accepted) (no play)",1.0,1.66,5.0,2023,66
2.0,11:32,1.0,10.0,JAX 41,11.0,0.0,Travis Etienne right tackle for 5 yards (tackle by Jordan Phillips),1.66,1.8,5.0,2023,66
2.0,10:52,2.0,5.0,JAX 46,11.0,0.0,"Christian Kirk right end for 6 yards (tackle by Micah Hyde). Penalty on Anton Harrison: Offensive Holding, 10 yards (accepted)",1.8,1.26,5.0,2023,66
2.0,10:29,2.0,9.0,JAX 42,11.0,0.0,Trevor Lawrence pass incomplete short middle intended for Brenton Strange (defended by Dorian Williams),1.26,0.56,5.0,2023,66
2.0,10:25,3.0,9.0,JAX 42,11.0,0.0,Trevor Lawrence pass incomplete deep right intended for Zay Jones,0.56,-0.59,5.0,2023,66
2.0,10:21,4.0,9.0,JAX 42,11.0,0.0,"Logan Cooke punts 44 yards, fair catch by Deonte Harty at BUF-14. Penalty on Ja'Marcus Ingram: Offensive Holding, 7 yards (accepted)",-0.59,0.38,5.0,2023,66
2.0,10:15,1.0,10.0,BUF 7,11.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 15 yards,-0.38,0.41,5.0,2023,66
2.0,9:50,1.0,10.0,BUF 22,11.0,0.0,Josh Allen pass complete short left to Gabriel Davis for 9 yards (tackle by Darious Williams),0.41,1.08,5.0,2023,66
2.0,9:14,2.0,1.0,BUF 31,11.0,0.0,James Cook right end for -6 yards (tackle by Rayshawn Jenkins),1.08,-0.43,5.0,2023,66
2.0,8:35,3.0,7.0,BUF 25,11.0,0.0,Josh Allen pass complete short right to Latavius Murray for 1 yard (tackle by Tyson Campbell),-0.43,-1.63,5.0,2023,66
2.0,7:57,4.0,6.0,BUF 26,11.0,0.0,"Sam Martin punts 53 yards, fair catch by Jamal Agnew at JAC-21",-1.63,-0.34,5.0,2023,66
2.0,7:51,1.0,10.0,JAX 21,11.0,0.0,Trevor Lawrence pass complete short right to Christian Kirk for 5 yards (tackle by Taron Johnson),0.34,0.48,5.0,2023,66
2.0,7:06,2.0,5.0,JAX 26,11.0,0.0,"Trevor Lawrence pass complete short right to Luke Farrell for no gain (tackle by Micah Hyde). Penalty on Anton Harrison: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.48,-0.2,5.0,2023,66
2.0,6:32,2.0,10.0,JAX 21,11.0,0.0,Trevor Lawrence pass incomplete short left intended for Evan Engram,-0.2,-0.89,5.0,2023,66
2.0,6:28,3.0,10.0,JAX 21,11.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 8 yards (tackle by Terrel Bernard),-0.89,-1.44,5.0,2023,66
2.0,5:52,4.0,2.0,JAX 29,11.0,0.0,"Logan Cooke punts 57 yards, fair catch by Deonte Harty at BUF-14",-1.44,0.28,5.0,2023,66
2.0,5:44,1.0,10.0,BUF 14,11.0,0.0,Josh Allen pass incomplete short right intended for Stefon Diggs (defended by Tyson Campbell),-0.28,-0.75,5.0,2023,66
2.0,5:40,2.0,10.0,BUF 14,11.0,0.0,Latavius Murray right tackle for 4 yards (tackle by Chad Muma),-0.75,-0.92,5.0,2023,66
2.0,4:59,3.0,6.0,BUF 18,11.0,0.0,Josh Allen pass complete deep left to Deonte Harty for 19 yards (tackle by Darious Williams),-0.92,1.4,5.0,2023,66
2.0,4:16,1.0,10.0,BUF 37,11.0,0.0,"Josh Allen pass complete short middle to James Cook for 18 yards (tackle by Foyesade Oluokun). Penalty on Foyesade Oluokun: Illegal Contact, 5 yards (declined)",1.4,2.59,5.0,2023,66
2.0,3:52,1.0,10.0,JAX 45,11.0,0.0,Josh Allen scrambles right end for 7 yards (tackle by K'Lavon Chaisson and Tyson Campbell),2.59,2.99,5.0,2023,66
2.0,3:13,2.0,3.0,JAX 38,11.0,0.0,Latavius Murray right guard for 2 yards (tackle by Rayshawn Jenkins),2.99,2.54,5.0,2023,66
2.0,2:35,3.0,1.0,JAX 36,11.0,0.0,Josh Allen scrambles left end for 5 yards (tackle by Josh Allen),2.54,3.51,5.0,2023,66
2.0,2:00,1.0,10.0,JAX 31,11.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 6 yards (tackle by Darious Williams),3.51,3.78,5.0,2023,66
2.0,1:29,2.0,4.0,JAX 25,11.0,0.0,Josh Allen pass incomplete short right,3.78,3.07,5.0,2023,66
2.0,1:23,3.0,4.0,JAX 25,11.0,0.0,Josh Allen pass complete short left to Gabriel Davis for 10 yards,3.07,4.58,5.0,2023,66
2.0,1:19,1.0,10.0,JAX 15,11.0,6.0,"Josh Allen pass complete short right to Stefon Diggs for 15 yards, touchdown",4.58,7.0,5.0,2023,66
2.0,1:14,,,JAX 15,11.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,5.0,2023,66
2.0,1:14,,,BUF 35,11.0,7.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,66
2.0,1:14,1.0,10.0,JAX 25,11.0,7.0,Trevor Lawrence pass complete short middle to Travis Etienne for 10 yards (tackle by Micah Hyde and Terrel Bernard),0.61,1.27,5.0,2023,66
2.0,0:56,1.0,10.0,JAX 35,11.0,7.0,Trevor Lawrence pass complete short right to Zay Jones for 7 yards (tackle by Kaiir Elam),1.27,1.67,5.0,2023,66
2.0,0:52,2.0,3.0,JAX 42,11.0,7.0,Trevor Lawrence pass complete short middle to Travis Etienne for 22 yards (tackle by Tyrel Dodson),1.67,3.18,5.0,2023,66
2.0,0:44,,,,,,Timeout #2 by Jacksonville Jaguars,,,5.0,2023,66
2.0,0:44,1.0,10.0,BUF 36,11.0,7.0,Trevor Lawrence pass complete short left to Calvin Ridley for 16 yards (tackle by Kaiir Elam),3.18,4.24,5.0,2023,66
2.0,0:39,1.0,10.0,BUF 20,11.0,7.0,Trevor Lawrence pass complete short right to Christian Kirk for 8 yards (tackle by Dane Jackson),4.24,5.04,5.0,2023,66
2.0,0:21,2.0,2.0,BUF 12,11.0,7.0,Trevor Lawrence pass incomplete short right intended for Calvin Ridley,5.04,4.34,5.0,2023,66
2.0,0:17,,,,,,Timeout #3 by Buffalo Bills,,,5.0,2023,66
2.0,0:17,3.0,2.0,BUF 12,11.0,7.0,"Trevor Lawrence sacked by A.J. Epenesa for -11 yards. Trevor Lawrence fumbles (forced by A.J. Epenesa), recovered by A.J. Epenesa at BUF-23",4.34,-0.48,5.0,2023,66
2.0,0:10,1.0,10.0,BUF 23,11.0,7.0,Josh Allen kneels for -1 yards,0.48,-0.2,5.0,2023,66
3.0,15:00,,,JAX 35,11.0,7.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,66
3.0,15:00,1.0,10.0,BUF 25,11.0,7.0,Josh Allen pass complete short right to Stefon Diggs for 14 yards (tackle by Darious Williams),0.61,1.53,5.0,2023,66
3.0,14:24,1.0,10.0,BUF 39,11.0,7.0,James Cook right tackle for no gain (tackle by Travon Walker and Tyson Campbell),1.53,0.99,5.0,2023,66
3.0,13:56,2.0,10.0,BUF 39,11.0,7.0,Josh Allen pass incomplete short left intended for Gabriel Davis,0.99,0.3,5.0,2023,66
3.0,13:52,3.0,10.0,BUF 39,11.0,7.0,Josh Allen pass incomplete short right,0.3,-0.78,5.0,2023,66
3.0,13:46,4.0,10.0,BUF 39,11.0,7.0,"Sam Martin punts 50 yards, returned by Jamal Agnew for no gain (tackle by Kingsley Jonathan). Penalty on Montaric Brown: Offensive Holding, 5 yards (accepted)",-0.78,0.38,5.0,2023,66
3.0,13:34,1.0,10.0,JAX 6,11.0,7.0,"Penalty on Cam Robinson: False Start, 3 yards (accepted) (no play)",-0.38,-0.49,5.0,2023,66
3.0,13:34,1.0,13.0,JAX 3,11.0,7.0,Travis Etienne right guard for 2 yards (tackle by Jordan Phillips and Ed Oliver),-0.49,-0.85,5.0,2023,66
3.0,12:54,2.0,11.0,JAX 5,11.0,7.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk (defended by A.J. Epenesa),-0.85,-1.54,5.0,2023,66
3.0,12:51,3.0,11.0,JAX 5,11.0,7.0,"Trevor Lawrence pass incomplete deep middle intended for Calvin Ridley. Penalty on Jordan Poyer: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",-1.54,0.28,5.0,2023,66
3.0,12:46,1.0,10.0,JAX 20,11.0,7.0,Trevor Lawrence scrambles left end for 11 yards (tackle by Terrel Bernard),0.28,1.0,5.0,2023,66
3.0,12:08,1.0,10.0,JAX 31,11.0,7.0,Travis Etienne left end for 31 yards (tackle by Taron Johnson),1.0,3.05,5.0,2023,66
3.0,11:31,1.0,10.0,BUF 38,11.0,7.0,Trevor Lawrence sacked by A.J. Epenesa for -7 yards,3.05,1.56,5.0,2023,66
3.0,10:41,2.0,17.0,BUF 45,11.0,7.0,"Luke Fortner aborted snap, recovered by Trevor Lawrence at JAC-46 Trevor Lawrence sacked by Leonard Floyd for -14 yards. Trevor Lawrence fumbles, ball out of bounds at JAC-36 (forced by Leonard Floyd). Trevor Lawrence fumbles out of bounds",1.56,-1.62,5.0,2023,66
3.0,10:20,3.0,36.0,JAX 36,11.0,7.0,Tank Bigsby up the middle for 7 yards (tackle by Kingsley Jonathan and Ed Oliver),-1.62,-0.52,5.0,2023,66
3.0,9:30,4.0,29.0,JAX 43,11.0,7.0,"Logan Cooke punts 46 yards, returned by Deonte Harty for 9 yards (tackle by Chad Muma). Penalty on Trent Sherfield: Offensive Illegal Block Above the Waist, 14 yards (declined) . Penalty on Tyler Matakevich: Unnecessary Roughness / Defense, 10 yards (accepted)",-0.52,0.38,5.0,2023,66
3.0,9:30,1.0,10.0,BUF 10,11.0,7.0,Josh Allen pass complete deep right to Stefon Diggs for 48 yards (tackle by Andre Cisco),-0.38,2.79,5.0,2023,66
3.0,8:57,1.0,10.0,JAX 42,11.0,7.0,Josh Allen pass complete short right to James Cook for no gain (tackle by Foyesade Oluokun),2.79,2.24,5.0,2023,66
3.0,8:15,2.0,10.0,JAX 42,11.0,7.0,Josh Allen pass incomplete short right intended for Gabriel Davis,2.24,1.55,5.0,2023,66
3.0,8:10,3.0,10.0,JAX 42,11.0,7.0,"Josh Allen pass incomplete deep left intended for Dawson Knox. Penalty on Connor McGovern: Offensive Holding, 10 yards (declined)",1.55,0.46,5.0,2023,66
3.0,8:03,4.0,10.0,JAX 42,11.0,7.0,"Sam Martin punts 34 yards, fair catch by Jamal Agnew at JAC-8",0.46,0.38,5.0,2023,66
3.0,7:56,1.0,10.0,JAX 8,11.0,7.0,Travis Etienne left tackle for -1 yards (tackle by Tyrel Dodson),-0.38,-0.85,5.0,2023,66
3.0,7:16,2.0,11.0,JAX 7,11.0,7.0,Trevor Lawrence pass incomplete short middle intended for Evan Engram (defended by Jordan Phillips),-0.85,-1.54,5.0,2023,66
3.0,7:12,3.0,11.0,JAX 7,11.0,7.0,Trevor Lawrence pass complete short left to Calvin Ridley for 16 yards (tackle by Kaiir Elam),-1.54,0.48,5.0,2023,66
3.0,6:26,1.0,10.0,JAX 23,11.0,7.0,Travis Etienne right end for 3 yards (tackle by Dorian Williams),0.48,0.34,5.0,2023,66
3.0,5:45,2.0,7.0,JAX 26,11.0,7.0,Trevor Lawrence pass incomplete short right intended for Tim Jones,0.34,-0.36,5.0,2023,66
3.0,5:40,3.0,7.0,JAX 26,11.0,7.0,Trevor Lawrence pass complete short left to Calvin Ridley for 10 yards (tackle by Micah Hyde),-0.36,1.33,5.0,2023,66
3.0,5:09,1.0,10.0,JAX 36,11.0,7.0,Trevor Lawrence scrambles left end for 3 yards (tackle by Kaiir Elam),1.33,1.2,5.0,2023,66
3.0,4:34,2.0,7.0,JAX 39,11.0,7.0,Trevor Lawrence pass complete short middle to Evan Engram for 6 yards (tackle by Tyrel Dodson and Terrel Bernard),1.2,1.29,5.0,2023,66
3.0,3:53,3.0,1.0,JAX 45,11.0,7.0,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by Terrel Bernard),1.29,2.39,5.0,2023,66
3.0,3:18,1.0,10.0,BUF 48,11.0,7.0,Trevor Lawrence pass complete short left to Christian Kirk for 8 yards (tackle by Cameron Lewis),2.39,2.93,5.0,2023,66
3.0,2:46,2.0,2.0,BUF 40,11.0,7.0,Trevor Lawrence up the middle for 1 yard (tackle by Terrel Bernard),2.93,2.34,5.0,2023,66
3.0,2:04,3.0,1.0,BUF 39,11.0,7.0,Travis Etienne left tackle for 1 yard (tackle by Terrel Bernard and Jordan Poyer),2.34,3.05,5.0,2023,66
3.0,1:38,1.0,10.0,BUF 38,11.0,7.0,Jamal Agnew right end for 1 yard (tackle by Taron Johnson),3.05,2.64,5.0,2023,66
3.0,1:02,2.0,9.0,BUF 37,11.0,7.0,Trevor Lawrence pass complete short right to Calvin Ridley for 14 yards (tackle by Kaiir Elam),2.64,4.04,5.0,2023,66
3.0,0:29,1.0,10.0,BUF 23,11.0,7.0,Travis Etienne up the middle for -1 yards (tackle by Ed Oliver and Kaiir Elam),4.04,3.36,5.0,2023,66
4.0,15:00,2.0,11.0,BUF 24,11.0,7.0,Trevor Lawrence pass incomplete short left intended for Evan Engram (defended by A.J. Epenesa),3.36,2.68,5.0,2023,66
4.0,14:58,3.0,11.0,BUF 24,11.0,7.0,"Trevor Lawrence sacked by Ed Oliver for -5 yards. Trevor Lawrence fumbles (forced by Ed Oliver), recovered by Tyrel Dodson at BUF-32",2.68,-1.07,5.0,2023,66
4.0,14:49,1.0,10.0,BUF 32,11.0,7.0,Josh Allen pass complete short middle to Dalton Kincaid for 14 yards (tackle by Andre Cisco),1.07,1.99,5.0,2023,66
4.0,14:04,1.0,10.0,BUF 46,11.0,7.0,Damien Harris right guard for 5 yards (tackle by Rayshawn Jenkins),1.99,2.13,5.0,2023,66
4.0,13:30,2.0,5.0,JAX 49,11.0,7.0,"Josh Allen pass incomplete short left intended for Quintin Morris. Penalty on Dion Dawkins: Offensive Holding, 10 yards (accepted) (no play)",2.13,0.78,5.0,2023,66
4.0,13:23,2.0,15.0,BUF 41,11.0,7.0,Josh Allen pass incomplete deep right intended for Dawson Knox (defended by Rayshawn Jenkins),0.78,0.1,5.0,2023,66
4.0,13:16,,,,,,Timeout #1 by Buffalo Bills,,,5.0,2023,66
4.0,13:16,3.0,15.0,BUF 41,11.0,7.0,Josh Allen pass deep right intended for Stefon Diggs is intercepted by Darious Williams at JAC-7 and returned for no gain (tackle by Stefon Diggs),0.1,0.38,5.0,2023,66
4.0,13:06,1.0,10.0,JAX 7,11.0,7.0,Trevor Lawrence pass complete deep right to Calvin Ridley for 20 yards (tackle by Kaiir Elam and Micah Hyde),-0.38,0.74,5.0,2023,66
4.0,12:22,1.0,10.0,JAX 27,11.0,7.0,Trevor Lawrence scrambles up the middle for 7 yards (tackle by Terrel Bernard),0.74,1.14,5.0,2023,66
4.0,11:44,2.0,3.0,JAX 34,11.0,7.0,Travis Etienne left guard for 2 yards (tackle by A.J. Epenesa and Terrel Bernard),1.14,0.7,5.0,2023,66
4.0,11:08,3.0,1.0,JAX 36,11.0,7.0,"Penalty on Brenton Strange: False Start, 4 yards (accepted) (no play)",0.7,0.17,5.0,2023,66
4.0,11:00,3.0,5.0,JAX 32,11.0,7.0,"Trevor Lawrence pass complete short right to Travis Etienne for 10 yards. Penalty on A.J. Epenesa: Defensive Offside, 5 yards (declined)",0.17,1.73,5.0,2023,66
4.0,10:33,1.0,10.0,JAX 42,11.0,7.0,Trevor Lawrence sacked by Leonard Floyd for no gain,1.73,1.19,5.0,2023,66
4.0,9:47,2.0,10.0,JAX 42,11.0,7.0,"Trevor Lawrence pass incomplete deep left intended for Christian Kirk. Penalty on Taron Johnson: Defensive Pass Interference, 26 yards (accepted) (no play)",1.19,3.45,5.0,2023,66
4.0,9:41,1.0,10.0,BUF 32,11.0,7.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk (defended by Tyrel Dodson),3.45,2.9,5.0,2023,66
4.0,9:38,2.0,10.0,BUF 32,11.0,7.0,Trevor Lawrence scrambles right end for 5 yards (tackle by Kaiir Elam),2.9,2.87,5.0,2023,66
4.0,8:57,3.0,5.0,BUF 27,11.0,7.0,Travis Etienne right end for 10 yards (tackle by Dane Jackson),2.87,4.44,5.0,2023,66
4.0,8:22,1.0,10.0,BUF 17,11.0,7.0,Travis Etienne right tackle for 11 yards (tackle by Terrel Bernard and Kendal Vickers),4.44,5.83,5.0,2023,66
4.0,7:50,1.0,6.0,BUF 6,17.0,7.0,"Travis Etienne right end for 6 yards, touchdown",5.83,7.0,5.0,2023,66
4.0,7:44,,,BUF 15,18.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,5.0,2023,66
4.0,7:44,,,JAX 35,18.0,7.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,66
4.0,7:44,1.0,10.0,BUF 25,18.0,7.0,"Josh Allen pass complete short right to Stefon Diggs for 5 yards (tackle by Tyson Campbell). Penalty on O'Cyrus Torrence: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,5.0,2023,66
4.0,7:24,1.0,20.0,BUF 15,18.0,7.0,Josh Allen pass complete deep right to Gabriel Davis for 24 yards (tackle by Andre Cisco),-0.41,1.53,5.0,2023,66
4.0,6:57,1.0,10.0,BUF 39,18.0,7.0,"Josh Allen scrambles up the middle for no gain (tackle by Andre Cisco). Penalty on O'Cyrus Torrence: Offensive Holding, 10 yards (accepted) (no play)",1.53,0.87,5.0,2023,66
4.0,6:35,1.0,20.0,BUF 29,18.0,7.0,Josh Allen pass complete short left to Dawson Knox for 11 yards (tackle by Adam Gotsis),0.87,1.12,5.0,2023,66
4.0,6:12,2.0,9.0,BUF 40,18.0,7.0,Josh Allen pass complete short right to James Cook for 7 yards (tackle by Foyesade Oluokun),1.12,1.36,5.0,2023,66
4.0,5:50,3.0,2.0,BUF 47,18.0,7.0,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Darious Williams),1.36,2.59,5.0,2023,66
4.0,5:24,1.0,10.0,JAX 45,18.0,7.0,"Josh Allen pass complete short left to Trent Sherfield for 3 yards (tackle by Chad Muma). Penalty on Chad Muma: Unnecessary Roughness / Defense, 15 yards (accepted) . Penalty on Jeremiah Ledbetter: Roughing the Passer, 15 yards (declined) . Penalty on Chad Muma: Unnecessary Roughness / Defense, 15 yards (accepted) . Penalty on Jeremiah Ledbetter: Roughing the Passer, 15 yards (declined)",2.59,3.78,5.0,2023,66
4.0,5:13,1.0,10.0,JAX 27,18.0,7.0,James Cook up the middle for -2 yards (tackle by Folorunso Fatukasi and Foyesade Oluokun),3.78,2.96,5.0,2023,66
4.0,4:50,2.0,12.0,JAX 29,18.0,7.0,Josh Allen pass complete short right to Khalil Shakir for 11 yards (tackle by Tre Herndon),2.96,3.84,5.0,2023,66
4.0,4:21,3.0,1.0,JAX 18,18.0,7.0,"Josh Allen sacked by Josh Allen for no gain. Penalty on Josh Allen: Roughing the Passer, 9 yards (accepted) (no play)",3.84,5.14,5.0,2023,66
4.0,4:16,1.0,9.0,JAX 9,18.0,7.0,Josh Allen pass incomplete short right intended for Stefon Diggs,5.14,4.38,5.0,2023,66
