Quarter,Time,Down,ToGo,Location,GNB,LVR,Detail,EPB,EPA,week,year,game_id
1.0,6:33,4.0,15.0,LVR 38,0.0,0.0,AJ Cole punts 55 yards out of bounds,-0.85,0.38,5.0,2023,78
1.0,6:30,1.0,10.0,GNB 7,0.0,0.0,AJ Dillon right guard for 8 yards (tackle by Divine Deablo),-0.38,-0.14,5.0,2023,78
1.0,5:53,2.0,2.0,GNB 15,0.0,0.0,"AJ Dillon for 5 yards (tackle by Robert Spillane and Tyree Wilson). Penalty on Maxx Crosby: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.14,1.27,5.0,2023,78
1.0,5:27,1.0,10.0,GNB 35,0.0,0.0,Jordan Love scrambles left tackle for 26 yards (tackle by Marcus Epps),1.27,2.98,5.0,2023,78
1.0,4:47,1.0,10.0,LVR 39,0.0,0.0,Jordan Love pass complete short right to Josiah Deguara for 19 yards (tackle by Roderic Teamer),2.98,4.24,5.0,2023,78
1.0,4:06,1.0,10.0,LVR 20,0.0,0.0,Christian Watson left end for -5 yards (tackle by Divine Deablo),4.24,3.02,5.0,2023,78
1.0,3:27,2.0,15.0,LVR 25,0.0,0.0,Jordan Love pass complete short left to Jayden Reed for 7 yards (tackle by Divine Deablo and Malcolm Koonce),3.02,3.22,5.0,2023,78
1.0,2:46,3.0,8.0,LVR 18,0.0,0.0,"Jordan Love pass incomplete short middle. Penalty on Josh Myers: Ineligible Downfield Pass, 5 yards (declined)",3.22,2.25,5.0,2023,78
1.0,2:41,4.0,8.0,LVR 18,3.0,0.0,Anders Carlson 37 yard field goal good,2.25,3.0,5.0,2023,78
1.0,2:38,,,GNB 35,3.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,78
1.0,2:38,1.0,10.0,LVR 25,3.0,0.0,Jimmy Garoppolo pass complete short right to Michael Mayer for 19 yards (tackle by Darnell Savage and Rudy Ford),0.61,1.86,5.0,2023,78
1.0,1:57,1.0,10.0,LVR 44,3.0,0.0,"Penalty on Tre Tucker: False Start, 5 yards (accepted) (no play)",1.86,1.53,5.0,2023,78
1.0,1:36,1.0,15.0,LVR 39,3.0,0.0,Tre Tucker left end for 16 yards (tackle by Rudy Ford),1.53,2.59,5.0,2023,78
1.0,0:58,1.0,10.0,GNB 45,3.0,0.0,Josh Jacobs right guard for 5 yards (tackle by Rashan Gary),2.59,2.72,5.0,2023,78
1.0,0:21,2.0,5.0,GNB 40,3.0,0.0,Jimmy Garoppolo pass incomplete short left intended for Jakobi Meyers (defended by Rasul Douglas),2.72,2.01,5.0,2023,78
1.0,0:15,3.0,5.0,GNB 40,3.0,0.0,Jimmy Garoppolo sacked by Preston Smith for -7 yards,2.01,0.13,5.0,2023,78
2.0,15:00,4.0,12.0,GNB 47,3.0,0.0,"AJ Cole punts 37 yards, fair catch by Jayden Reed at GB-10",0.13,0.38,5.0,2023,78
2.0,14:53,1.0,10.0,GNB 10,3.0,0.0,Jordan Love pass complete short right to Ben Sims for 12 yards (tackle by Divine Deablo),-0.38,0.41,5.0,2023,78
2.0,14:14,1.0,10.0,GNB 22,3.0,0.0,Patrick Taylor left guard for -3 yards (tackle by Maxx Crosby),0.41,-0.6,5.0,2023,78
2.0,13:35,2.0,13.0,GNB 19,3.0,0.0,Jordan Love pass complete short middle to Patrick Taylor for 2 yards (tackle by Divine Deablo),-0.6,-0.96,5.0,2023,78
2.0,12:49,3.0,11.0,GNB 21,3.0,0.0,Jordan Love pass incomplete short right intended for Patrick Taylor,-0.96,-1.96,5.0,2023,78
2.0,12:45,4.0,11.0,GNB 21,3.0,0.0,Daniel Whelan punts 41 yards downed by Jonathan Owens,-1.96,-1.47,5.0,2023,78
2.0,12:37,1.0,10.0,LVR 38,3.0,0.0,Josh Jacobs up the middle for 9 yards (tackle by Rudy Ford and Darnell Savage),1.47,2.14,5.0,2023,78
2.0,12:06,2.0,1.0,LVR 47,3.0,0.0,Jimmy Garoppolo up the middle for 3 yards (tackle by Quay Walker),2.14,2.26,5.0,2023,78
2.0,11:27,1.0,10.0,LVR 50,3.0,0.0,Josh Jacobs sacked by Kingsley Enagbare for -4 yards,2.26,1.17,5.0,2023,78
2.0,10:31,2.0,14.0,LVR 46,3.0,0.0,Jimmy Garoppolo scrambles up the middle for 3 yards (tackle by Preston Smith),1.17,0.89,5.0,2023,78
2.0,9:56,3.0,11.0,LVR 49,3.0,0.0,"Jimmy Garoppolo pass complete short left to Ameer Abdullah for 10 yards (tackle by Rudy Ford and Quay Walker) Replay Assistant challenged the first down ruling, and the original play was overturned. Jimmy Garoppolo pass complete short left to Ameer Abdullah for 11 yards and Rudy Ford and Quay Walker)",0.89,2.92,5.0,2023,78
2.0,9:42,1.0,10.0,GNB 40,3.0,0.0,Josh Jacobs left guard for 5 yards (tackle by Lukas Van Ness and Colby Wooden),2.92,3.05,5.0,2023,78
2.0,9:09,2.0,5.0,GNB 35,3.0,0.0,Jimmy Garoppolo pass complete short left to Josh Jacobs for no gain (tackle by Lukas Van Ness),3.05,2.34,5.0,2023,78
2.0,8:29,3.0,5.0,GNB 35,3.0,0.0,Jimmy Garoppolo pass complete short right to Jakobi Meyers for 10 yards (tackle by Eric Wilson),2.34,3.91,5.0,2023,78
2.0,7:44,1.0,10.0,GNB 25,3.0,0.0,"Penalty on Kenny Clark: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.91,4.64,5.0,2023,78
2.0,7:27,1.0,5.0,GNB 20,3.0,0.0,Josh Jacobs right guard for 3 yards (tackle by Karl Brooks and Rashan Gary),4.64,4.55,5.0,2023,78
2.0,6:48,2.0,2.0,GNB 17,3.0,0.0,Josh Jacobs right guard for 1 yard (tackle by Karl Brooks and Eric Wilson),4.55,4.06,5.0,2023,78
2.0,6:11,3.0,1.0,GNB 16,3.0,0.0,Jakobi Meyers left end for no gain (tackle by Rasul Douglas),4.06,2.53,5.0,2023,78
2.0,5:26,4.0,1.0,GNB 16,3.0,0.0,DeAndre Carter left end for 3 yards (tackle by Keisean Nixon),2.53,4.71,5.0,2023,78
2.0,4:54,1.0,10.0,GNB 13,3.0,0.0,Josh Jacobs right guard for 4 yards (tackle by Tedarrell Slaton and Kingsley Enagbare),4.71,4.77,5.0,2023,78
2.0,4:13,2.0,6.0,GNB 9,3.0,6.0,"Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 9 yards, touchdown",4.77,7.0,5.0,2023,78
2.0,4:09,,,GNB 15,3.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,5.0,2023,78
2.0,4:09,,,LVR 35,3.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,78
2.0,4:09,1.0,10.0,GNB 25,3.0,7.0,Jordan Love pass short left intended for Romeo Doubs is intercepted by Robert Spillane at GB-31 and returned for 24 yards (tackle by Jayden Reed),0.61,-5.6,5.0,2023,78
2.0,4:00,1.0,7.0,GNB 7,3.0,7.0,Josh Jacobs up the middle for -1 yards (tackle by Isaiah McDuffie and Preston Smith),5.6,4.57,5.0,2023,78
2.0,3:16,2.0,8.0,GNB 8,3.0,7.0,Jimmy Garoppolo pass complete short left to Josh Jacobs for no gain (tackle by Keisean Nixon),4.57,3.58,5.0,2023,78
2.0,2:38,3.0,8.0,GNB 8,3.0,7.0,Jimmy Garoppolo pass incomplete short left intended for DeAndre Carter (defended by Preston Smith),3.58,2.95,5.0,2023,78
2.0,2:35,4.0,8.0,GNB 8,3.0,10.0,Daniel Carlson 26 yard field goal good,2.95,3.0,5.0,2023,78
2.0,2:32,,,LVR 35,3.0,10.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,78
2.0,2:32,1.0,10.0,GNB 25,3.0,10.0,AJ Dillon left guard for -1 yards (tackle by Maxx Crosby and Adam Butler),0.61,-0.07,5.0,2023,78
2.0,2:00,2.0,11.0,GNB 24,3.0,10.0,Jordan Love pass incomplete short right intended for Patrick Taylor,-0.07,-0.76,5.0,2023,78
2.0,1:53,3.0,11.0,GNB 24,3.0,10.0,Jordan Love pass complete short right to Luke Musgrave for 4 yards (tackle by Tyler Hall),-0.76,-1.5,5.0,2023,78
2.0,1:06,4.0,7.0,GNB 28,3.0,10.0,"Daniel Whelan punts 54 yards, returned by DeAndre Carter for 6 yards (tackle by Jonathan Owens and Tucker Kraft)",-1.5,-0.54,5.0,2023,78
2.0,0:55,1.0,10.0,LVR 24,3.0,10.0,DeAndre Carter right end for no gain (tackle by Isaiah McDuffie),0.54,0.0,5.0,2023,78
2.0,0:47,,,,,,Timeout #1 by Green Bay Packers,,,5.0,2023,78
2.0,0:47,2.0,10.0,LVR 24,3.0,10.0,Jimmy Garoppolo pass incomplete short left intended for Hunter Renfrow,0.0,-0.69,5.0,2023,78
2.0,0:42,3.0,10.0,LVR 24,3.0,10.0,Jimmy Garoppolo pass complete deep middle to Jakobi Meyers for 18 yards (tackle by Isaiah McDuffie),-0.69,1.73,5.0,2023,78
2.0,0:35,,,,,,Timeout #2 by Las Vegas Raiders,,,5.0,2023,78
2.0,0:35,1.0,10.0,LVR 42,3.0,10.0,Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 16 yards (tackle by Jaire Alexander and Eric Wilson),1.73,2.79,5.0,2023,78
2.0,0:26,,,,,,Timeout #3 by Las Vegas Raiders,,,5.0,2023,78
2.0,0:26,1.0,10.0,GNB 42,3.0,10.0,Jimmy Garoppolo pass complete short middle to Hunter Renfrow for 7 yards (tackle by Keisean Nixon),2.79,3.19,5.0,2023,78
2.0,0:16,2.0,3.0,GNB 35,3.0,10.0,Jimmy Garoppolo spiked the ball,3.19,2.48,5.0,2023,78
2.0,0:15,,,,,,Timeout #2 by Green Bay Packers,,,5.0,2023,78
2.0,0:15,3.0,3.0,GNB 35,3.0,10.0,Jimmy Garoppolo pass incomplete short right,2.48,0.99,5.0,2023,78
2.0,0:12,,,,,,Timeout #3 by Green Bay Packers,,,5.0,2023,78
2.0,0:12,4.0,3.0,GNB 35,3.0,10.0,Daniel Carlson 53 yard field goal no good blocked by Yosh Nijman,0.99,-1.8,5.0,2023,78
2.0,0:07,1.0,10.0,GNB 43,3.0,10.0,Jordan Love scrambles right end for 11 yards (tackle by Tyler Hall),1.8,2.52,5.0,2023,78
3.0,15:00,,,GNB 35,3.0,10.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,78
3.0,15:00,1.0,10.0,LVR 25,3.0,10.0,Jimmy Garoppolo pass complete short right to Austin Hooper for 7 yards (tackle by Isaiah McDuffie and Rudy Ford),0.61,1.01,5.0,2023,78
3.0,14:20,2.0,3.0,LVR 32,3.0,10.0,Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 8 yards (tackle by Eric Wilson),1.01,1.6,5.0,2023,78
3.0,13:35,1.0,10.0,LVR 40,3.0,10.0,Josh Jacobs left tackle for -3 yards (tackle by Kingsley Enagbare),1.6,0.65,5.0,2023,78
3.0,13:00,2.0,13.0,LVR 37,3.0,10.0,Jimmy Garoppolo pass short middle intended for Jakobi Meyers is intercepted by Rudy Ford at LV-46 and returned for 9 yards (tackle by Austin Hooper),0.65,-3.12,5.0,2023,78
3.0,12:49,1.0,10.0,LVR 37,3.0,10.0,AJ Dillon left tackle for 5 yards (tackle by Malcolm Koonce and Amik Robertson),3.12,3.25,5.0,2023,78
3.0,12:25,2.0,5.0,LVR 32,3.0,10.0,Jordan Love sacked by Tre'von Moehrig for no gain,3.25,2.54,5.0,2023,78
3.0,11:43,3.0,5.0,LVR 32,3.0,10.0,Jordan Love pass complete short right to Luke Musgrave for 3 yards (tackle by Tre'von Moehrig),2.54,1.6,5.0,2023,78
3.0,11:14,4.0,2.0,LVR 29,3.0,10.0,AJ Dillon up the middle for 3 yards (tackle by Bilal Nichols and Maxx Crosby),1.6,3.84,5.0,2023,78
3.0,10:34,1.0,10.0,LVR 26,3.0,10.0,AJ Dillon left guard for 6 yards (tackle by Robert Spillane and Tre'von Moehrig),3.84,4.11,5.0,2023,78
3.0,9:53,2.0,4.0,LVR 20,3.0,10.0,AJ Dillon left tackle for 11 yards (tackle by Tre'von Moehrig),4.11,5.14,5.0,2023,78
3.0,9:12,1.0,9.0,LVR 9,3.0,10.0,AJ Dillon up the middle for 4 yards (tackle by Byron Young),5.14,5.15,5.0,2023,78
3.0,8:32,2.0,5.0,LVR 5,9.0,10.0,"AJ Dillon up the middle for 5 yards, touchdown",5.15,7.0,5.0,2023,78
3.0,8:27,,,LVR 15,10.0,10.0,Anders Carlson kicks extra point good,0.0,0.0,5.0,2023,78
3.0,8:27,,,GNB 35,10.0,10.0,"Anders Carlson kicks off 66 yards, returned by DeAndre Carter for 29 yards (tackle by Corey Ballentine and Eric Wilson)",0.0,0.81,5.0,2023,78
3.0,8:21,1.0,10.0,LVR 28,10.0,10.0,Jimmy Garoppolo pass incomplete short right intended for Michael Mayer,0.81,0.26,5.0,2023,78
3.0,8:14,2.0,10.0,LVR 28,10.0,10.0,Jimmy Garoppolo pass complete short left to Josh Jacobs for 4 yards (tackle by Rudy Ford),0.26,0.1,5.0,2023,78
3.0,7:35,3.0,6.0,LVR 32,10.0,10.0,Jimmy Garoppolo pass incomplete short left intended for Tre Tucker,0.1,-1.24,5.0,2023,78
3.0,7:27,4.0,6.0,LVR 32,10.0,10.0,"AJ Cole punts 53 yards, returned by Keisean Nixon for 2 yards (tackle by Ameer Abdullah)",-1.24,0.06,5.0,2023,78
3.0,7:15,1.0,10.0,GNB 17,10.0,10.0,"Jordan Love pass complete deep left to Christian Watson for 77 yards (tackle by Marcus Peters). Penalty on Marcus Peters: Horse Collar Tackle, 3 yards (accepted)",-0.06,6.51,5.0,2023,78
3.0,6:48,1.0,3.0,LVR 3,10.0,10.0,AJ Dillon right guard for -2 yards (tackle by Maxx Crosby),6.51,5.15,5.0,2023,78
3.0,6:05,2.0,5.0,LVR 5,10.0,10.0,AJ Dillon up the middle for 1 yard (tackle by Bilal Nichols and John Jenkins),5.15,4.49,5.0,2023,78
3.0,5:26,3.0,4.0,LVR 4,10.0,10.0,Jordan Love pass incomplete short left intended for Romeo Doubs,4.49,3.03,5.0,2023,78
3.0,5:19,4.0,4.0,LVR 4,13.0,10.0,Anders Carlson 22 yard field goal good,3.03,3.0,5.0,2023,78
3.0,5:16,,,GNB 35,13.0,10.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,78
3.0,5:16,1.0,10.0,LVR 25,13.0,10.0,Josh Jacobs right tackle for 24 yards (tackle by Jaire Alexander and Rudy Ford),0.61,2.19,5.0,2023,78
3.0,4:37,1.0,10.0,LVR 49,13.0,10.0,Josh Jacobs right guard for 6 yards (tackle by Eric Wilson and Rashan Gary),2.19,2.46,5.0,2023,78
3.0,4:02,2.0,4.0,GNB 45,13.0,10.0,Josh Jacobs right end for no gain (tackle by Rudy Ford and Isaiah McDuffie),2.46,1.75,5.0,2023,78
3.0,3:23,3.0,4.0,GNB 45,13.0,10.0,Jimmy Garoppolo pass complete short left to Jakobi Meyers for 8 yards (tackle by Keisean Nixon),1.75,3.12,5.0,2023,78
3.0,2:44,1.0,10.0,GNB 37,13.0,10.0,Jimmy Garoppolo pass incomplete short left intended for Jakobi Meyers (defended by Rasul Douglas),3.12,2.57,5.0,2023,78
3.0,2:38,2.0,10.0,GNB 37,13.0,10.0,Jimmy Garoppolo pass complete short middle to Davante Adams for 21 yards (tackle by Isaiah McDuffie),2.57,4.51,5.0,2023,78
3.0,1:58,1.0,10.0,GNB 16,13.0,10.0,Jimmy Garoppolo pass complete short left to Davante Adams for 5 yards (tackle by Rasul Douglas),4.51,4.76,5.0,2023,78
3.0,1:19,2.0,5.0,GNB 11,13.0,10.0,Josh Jacobs right guard for 2 yards (tackle by Kenny Clark and Tedarrell Slaton),4.76,4.39,5.0,2023,78
3.0,0:35,,,,,,Timeout #1 by Las Vegas Raiders,,,5.0,2023,78
3.0,0:35,3.0,3.0,GNB 9,13.0,10.0,Jimmy Garoppolo pass complete short left to Davante Adams for 7 yards (tackle by Isaiah McDuffie),4.39,6.74,5.0,2023,78
4.0,15:00,1.0,2.0,GNB 2,13.0,16.0,"Josh Jacobs up the middle for 2 yards, touchdown",6.74,7.0,5.0,2023,78
4.0,14:56,,,GNB 15,13.0,17.0,Daniel Carlson kicks extra point good,0.0,0.0,5.0,2023,78
4.0,14:56,,,LVR 35,13.0,17.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,78
4.0,14:56,1.0,10.0,GNB 25,13.0,17.0,AJ Dillon left tackle for 3 yards (tackle by Adam Butler),0.61,0.47,5.0,2023,78
4.0,14:20,2.0,7.0,GNB 28,13.0,17.0,Jordan Love pass incomplete deep middle intended for Christian Watson,0.47,-0.23,5.0,2023,78
4.0,14:13,3.0,7.0,GNB 28,13.0,17.0,Jordan Love pass complete short right to Dontayvion Wicks for 10 yards (tackle by Marcus Peters),-0.23,1.47,5.0,2023,78
4.0,13:37,1.0,10.0,GNB 38,13.0,17.0,AJ Dillon left tackle for 6 yards (tackle by Robert Spillane and Divine Deablo),1.47,1.73,5.0,2023,78
4.0,12:56,2.0,4.0,GNB 44,13.0,17.0,Jordan Love pass complete short left to Romeo Doubs for 4 yards (tackle by Amik Robertson),1.73,2.13,5.0,2023,78
4.0,12:13,1.0,10.0,GNB 48,13.0,17.0,AJ Dillon up the middle for 3 yards (tackle by Divine Deablo and John Jenkins),2.13,1.99,5.0,2023,78
4.0,11:29,2.0,7.0,LVR 49,13.0,17.0,AJ Dillon right guard for 3 yards (tackle by Divine Deablo and John Jenkins),1.99,1.68,5.0,2023,78
4.0,10:46,3.0,4.0,LVR 46,13.0,17.0,Jordan Love pass complete short right to Luke Musgrave for 6 yards (tackle by Divine Deablo),1.68,2.92,5.0,2023,78
4.0,10:06,1.0,10.0,LVR 40,13.0,17.0,Jordan Love sacked by Maxx Crosby for -7 yards,2.92,1.43,5.0,2023,78
4.0,9:22,2.0,17.0,LVR 47,13.0,17.0,Jordan Love pass short right (defended by Marcus Peters) intended for Christian Watson is intercepted by Robert Spillane at LV-38 and returned for 4 yards (tackle by Patrick Taylor),1.43,-1.73,5.0,2023,78
4.0,9:11,1.0,10.0,LVR 42,13.0,17.0,Jimmy Garoppolo pass complete short left to Jakobi Meyers for 6 yards (tackle by Rasul Douglas),1.73,2.0,5.0,2023,78
4.0,8:40,2.0,4.0,LVR 48,13.0,17.0,Josh Jacobs left guard for 1 yard (tackle by Rudy Ford),2.0,1.42,5.0,2023,78
4.0,8:01,3.0,3.0,LVR 49,13.0,17.0,Jimmy Garoppolo sacked by Rashan Gary for -5 yards,1.42,-0.46,5.0,2023,78
4.0,7:10,4.0,8.0,LVR 44,13.0,17.0,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",-0.46,-0.78,5.0,2023,78
4.0,7:10,4.0,13.0,LVR 39,13.0,17.0,"AJ Cole punts 44 yards, fair catch by Jayden Reed at GB-17",-0.78,0.06,5.0,2023,78
4.0,7:03,1.0,10.0,GNB 17,13.0,17.0,"Jordan Love scrambles left end for no gain (tackle by Robert Spillane). Penalty on Tucker Kraft: Offensive Holding, 8 yards (accepted) (no play)",-0.06,-0.68,5.0,2023,78
4.0,6:34,1.0,18.0,GNB 9,13.0,17.0,Jordan Love pass complete short left to Christian Watson for 8 yards (tackle by Robert Spillane and Roderic Teamer),-0.68,-0.58,5.0,2023,78
4.0,5:53,2.0,10.0,GNB 17,13.0,17.0,Jordan Love pass incomplete short left intended for AJ Dillon,-0.58,-1.25,5.0,2023,78
4.0,5:50,3.0,10.0,GNB 17,13.0,17.0,Jordan Love pass incomplete deep middle intended for Christian Watson,-1.25,-2.32,5.0,2023,78
4.0,5:43,4.0,10.0,GNB 17,13.0,17.0,"Daniel Whelan punts 50 yards, fair catch by DeAndre Carter at LV-33",-2.32,-1.14,5.0,2023,78
4.0,5:35,1.0,10.0,LVR 33,13.0,17.0,Josh Jacobs right guard for 2 yards (tackle by Isaiah McDuffie and Eric Wilson),1.14,0.86,5.0,2023,78
4.0,4:52,2.0,8.0,LVR 35,13.0,17.0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 11 yards (tackle by Keisean Nixon and Eric Wilson),0.86,1.99,5.0,2023,78
4.0,4:12,1.0,10.0,LVR 46,13.0,17.0,Josh Jacobs up the middle for 8 yards (tackle by Jaire Alexander),1.99,2.53,5.0,2023,78
4.0,3:30,2.0,2.0,GNB 46,13.0,17.0,Josh Jacobs left tackle for 4 yards (tackle by Isaiah McDuffie),2.53,2.79,5.0,2023,78
4.0,3:23,,,,,,Timeout #1 by Green Bay Packers,,,5.0,2023,78
4.0,3:23,1.0,10.0,GNB 42,13.0,17.0,Josh Jacobs right guard for -1 yards (tackle by Jonathan Owens and Kenny Clark),2.79,2.11,5.0,2023,78
4.0,2:43,2.0,11.0,GNB 43,13.0,17.0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 5 yards (tackle by Kenny Clark),2.11,2.08,5.0,2023,78
4.0,2:35,,,,,,Timeout #2 by Green Bay Packers,,,5.0,2023,78
4.0,2:35,3.0,6.0,GNB 38,13.0,17.0,Ameer Abdullah up the middle for 4 yards (tackle by Devonte Wyatt and Kenny Clark),2.08,1.1,5.0,2023,78
4.0,2:00,4.0,2.0,GNB 34,13.0,17.0,Daniel Carlson 52 yard field goal no good,1.1,-1.73,5.0,2023,78
4.0,1:56,1.0,10.0,GNB 42,13.0,17.0,Jordan Love pass complete short right to Luke Musgrave for 7 yards (tackle by Marcus Peters),1.73,2.13,5.0,2023,78
4.0,1:51,2.0,3.0,GNB 49,13.0,17.0,"Jordan Love pass complete to Patrick Taylor for 2 yards Replay Assistant challenged the short of the line to gain ruling, and the original play was overturned. Jordan Love pass complete short right to Patrick Taylor for 3 yards (tackle by Marcus Peters)",2.13,2.39,5.0,2023,78
4.0,1:47,1.0,10.0,LVR 48,13.0,17.0,Jordan Love pass complete short left to Luke Musgrave for 8 yards (tackle by Tyler Hall and Robert Spillane),2.39,2.93,5.0,2023,78
4.0,1:28,2.0,2.0,LVR 40,13.0,17.0,Jordan Love pass incomplete short left intended for Patrick Taylor,2.93,2.21,5.0,2023,78
4.0,1:22,3.0,2.0,LVR 40,13.0,17.0,Patrick Taylor up the middle for 5 yards (tackle by Bilal Nichols),2.21,3.25,5.0,2023,78
4.0,0:59,1.0,10.0,LVR 35,13.0,17.0,Jordan Love pass incomplete short right intended for Romeo Doubs,3.25,2.7,5.0,2023,78
4.0,0:55,2.0,10.0,LVR 35,13.0,17.0,Jordan Love pass incomplete short middle intended for Luke Musgrave,2.7,2.01,5.0,2023,78
4.0,0:51,3.0,10.0,LVR 35,13.0,17.0,Jordan Love pass deep left intended for Christian Watson is intercepted by Amik Robertson in end zone and returned for no gain,2.01,-0.28,5.0,2023,78
4.0,0:44,1.0,10.0,LVR 20,13.0,17.0,Jimmy Garoppolo kneels for -1 yards,0.28,-0.46,5.0,2023,78
4.0,0:12,2.0,11.0,LVR 19,13.0,17.0,Jimmy Garoppolo kneels for -1 yards,-0.46,-1.33,5.0,2023,78
